,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
89922,proton,All_or_Total,4,All_or_Total,Other,Lab,4000000.0,98220.85064535752,0.0058,0.0017,0.0,0.0,Other,"E.A.Skakun,ET.AL. (87)   ",A0338,5,No Pointer,42,"42-MO-100(P,N)43-TC-100,,SIG",Excitation functions and isomer ratios for up-to-9 MeV proton interactions with Zr and Mo isotope nuclei.,1987,E.A.Skakun+,4UKRKFT,2008/06/02,"Jour. Izv. Rossiiskoi Akademii Nauk, Ser.Fiz. Vol.59, Issue.5, p.177, 1995",A0338005,A0338,"(J,IZV,59,(5),177,1995)",1,1,0,100Mo,Mo,58,100,I,5.801986042015973,0.1378838201620405,Other,-86193.025,0.302,8604.662,0.003,-172.08,1.371,99907467.976,0.3229999999999999,14219.69,0.35,19484.26,8.46,-3179.09,0.32,3034.36,0.17,-15861.38,10.51,-6936.48,0.94,8294.24,0.38,11146.65,12.0,-980.25,17.64,8042.38,5.01,4276.81,4.26,2396.04,0.51,-11146.65,-8294.24,-18028.7139,-15804.1479,-15537.0549,-18181.5794,-19484.26,-14219.69,-3179.09,-954.4265,-11146.65,-8294.24,-6069.674,-7718.826499999999,-5737.8951,-10310.6735,-15079.0335,-11146.65,-8922.083999999999,-8294.24,-9546.9189,-11766.2196,-2037.0109999999995,-5653.1756,-190.67200000000005,12283.3794,8667.2149
89923,proton,All_or_Total,4,All_or_Total,Other,Lab,4500000.0,110498.4569760272,0.0225,0.004,0.0,0.0,Other,"E.A.Skakun,ET.AL. (87)   ",A0338,5,No Pointer,42,"42-MO-100(P,N)43-TC-100,,SIG",Excitation functions and isomer ratios for up-to-9 MeV proton interactions with Zr and Mo isotope nuclei.,1987,E.A.Skakun+,4UKRKFT,2008/06/02,"Jour. Izv. Rossiiskoi Akademii Nauk, Ser.Fiz. Vol.59, Issue.5, p.177, 1995",A0338005,A0338,"(J,IZV,59,(5),177,1995)",1,1,0,100Mo,Mo,58,100,I,5.801986042015973,0.1378838201620405,Other,-86193.025,0.302,8604.662,0.003,-172.08,1.371,99907467.976,0.3229999999999999,14219.69,0.35,19484.26,8.46,-3179.09,0.32,3034.36,0.17,-15861.38,10.51,-6936.48,0.94,8294.24,0.38,11146.65,12.0,-980.25,17.64,8042.38,5.01,4276.81,4.26,2396.04,0.51,-11146.65,-8294.24,-18028.7139,-15804.1479,-15537.0549,-18181.5794,-19484.26,-14219.69,-3179.09,-954.4265,-11146.65,-8294.24,-6069.674,-7718.826499999999,-5737.8951,-10310.6735,-15079.0335,-11146.65,-8922.083999999999,-8294.24,-9546.9189,-11766.2196,-2037.0109999999995,-5653.1756,-190.67200000000005,12283.3794,8667.2149
89924,proton,All_or_Total,4,All_or_Total,Other,Lab,5000000.0,122776.06330669687,0.04,0.007,0.0,0.0,Other,"E.A.Skakun,ET.AL. (87)   ",A0338,5,No Pointer,42,"42-MO-100(P,N)43-TC-100,,SIG",Excitation functions and isomer ratios for up-to-9 MeV proton interactions with Zr and Mo isotope nuclei.,1987,E.A.Skakun+,4UKRKFT,2008/06/02,"Jour. Izv. Rossiiskoi Akademii Nauk, Ser.Fiz. Vol.59, Issue.5, p.177, 1995",A0338005,A0338,"(J,IZV,59,(5),177,1995)",1,1,0,100Mo,Mo,58,100,I,5.801986042015973,0.1378838201620405,Other,-86193.025,0.302,8604.662,0.003,-172.08,1.371,99907467.976,0.3229999999999999,14219.69,0.35,19484.26,8.46,-3179.09,0.32,3034.36,0.17,-15861.38,10.51,-6936.48,0.94,8294.24,0.38,11146.65,12.0,-980.25,17.64,8042.38,5.01,4276.81,4.26,2396.04,0.51,-11146.65,-8294.24,-18028.7139,-15804.1479,-15537.0549,-18181.5794,-19484.26,-14219.69,-3179.09,-954.4265,-11146.65,-8294.24,-6069.674,-7718.826499999999,-5737.8951,-10310.6735,-15079.0335,-11146.65,-8922.083999999999,-8294.24,-9546.9189,-11766.2196,-2037.0109999999995,-5653.1756,-190.67200000000005,12283.3794,8667.2149
89925,proton,All_or_Total,4,All_or_Total,Other,Lab,5500000.0,135053.66963736658,0.104,0.017,0.0,0.0,Other,"E.A.Skakun,ET.AL. (87)   ",A0338,5,No Pointer,42,"42-MO-100(P,N)43-TC-100,,SIG",Excitation functions and isomer ratios for up-to-9 MeV proton interactions with Zr and Mo isotope nuclei.,1987,E.A.Skakun+,4UKRKFT,2008/06/02,"Jour. Izv. Rossiiskoi Akademii Nauk, Ser.Fiz. Vol.59, Issue.5, p.177, 1995",A0338005,A0338,"(J,IZV,59,(5),177,1995)",1,1,0,100Mo,Mo,58,100,I,5.801986042015973,0.1378838201620405,Other,-86193.025,0.302,8604.662,0.003,-172.08,1.371,99907467.976,0.3229999999999999,14219.69,0.35,19484.26,8.46,-3179.09,0.32,3034.36,0.17,-15861.38,10.51,-6936.48,0.94,8294.24,0.38,11146.65,12.0,-980.25,17.64,8042.38,5.01,4276.81,4.26,2396.04,0.51,-11146.65,-8294.24,-18028.7139,-15804.1479,-15537.0549,-18181.5794,-19484.26,-14219.69,-3179.09,-954.4265,-11146.65,-8294.24,-6069.674,-7718.826499999999,-5737.8951,-10310.6735,-15079.0335,-11146.65,-8922.083999999999,-8294.24,-9546.9189,-11766.2196,-2037.0109999999995,-5653.1756,-190.67200000000005,12283.3794,8667.2149
89926,proton,All_or_Total,4,All_or_Total,Other,Lab,6000000.0,147331.2759680363,0.13,0.021,0.0,0.0,Other,"E.A.Skakun,ET.AL. (87)   ",A0338,5,No Pointer,42,"42-MO-100(P,N)43-TC-100,,SIG",Excitation functions and isomer ratios for up-to-9 MeV proton interactions with Zr and Mo isotope nuclei.,1987,E.A.Skakun+,4UKRKFT,2008/06/02,"Jour. Izv. Rossiiskoi Akademii Nauk, Ser.Fiz. Vol.59, Issue.5, p.177, 1995",A0338005,A0338,"(J,IZV,59,(5),177,1995)",1,1,0,100Mo,Mo,58,100,I,5.801986042015973,0.1378838201620405,Other,-86193.025,0.302,8604.662,0.003,-172.08,1.371,99907467.976,0.3229999999999999,14219.69,0.35,19484.26,8.46,-3179.09,0.32,3034.36,0.17,-15861.38,10.51,-6936.48,0.94,8294.24,0.38,11146.65,12.0,-980.25,17.64,8042.38,5.01,4276.81,4.26,2396.04,0.51,-11146.65,-8294.24,-18028.7139,-15804.1479,-15537.0549,-18181.5794,-19484.26,-14219.69,-3179.09,-954.4265,-11146.65,-8294.24,-6069.674,-7718.826499999999,-5737.8951,-10310.6735,-15079.0335,-11146.65,-8922.083999999999,-8294.24,-9546.9189,-11766.2196,-2037.0109999999995,-5653.1756,-190.67200000000005,12283.3794,8667.2149
89927,proton,All_or_Total,4,All_or_Total,Other,Lab,6500000.0,159608.88229870595,0.256,0.04,0.0,0.0,Other,"E.A.Skakun,ET.AL. (87)   ",A0338,5,No Pointer,42,"42-MO-100(P,N)43-TC-100,,SIG",Excitation functions and isomer ratios for up-to-9 MeV proton interactions with Zr and Mo isotope nuclei.,1987,E.A.Skakun+,4UKRKFT,2008/06/02,"Jour. Izv. Rossiiskoi Akademii Nauk, Ser.Fiz. Vol.59, Issue.5, p.177, 1995",A0338005,A0338,"(J,IZV,59,(5),177,1995)",1,1,0,100Mo,Mo,58,100,I,5.801986042015973,0.1378838201620405,Other,-86193.025,0.302,8604.662,0.003,-172.08,1.371,99907467.976,0.3229999999999999,14219.69,0.35,19484.26,8.46,-3179.09,0.32,3034.36,0.17,-15861.38,10.51,-6936.48,0.94,8294.24,0.38,11146.65,12.0,-980.25,17.64,8042.38,5.01,4276.81,4.26,2396.04,0.51,-11146.65,-8294.24,-18028.7139,-15804.1479,-15537.0549,-18181.5794,-19484.26,-14219.69,-3179.09,-954.4265,-11146.65,-8294.24,-6069.674,-7718.826499999999,-5737.8951,-10310.6735,-15079.0335,-11146.65,-8922.083999999999,-8294.24,-9546.9189,-11766.2196,-2037.0109999999995,-5653.1756,-190.67200000000005,12283.3794,8667.2149
89928,proton,All_or_Total,4,All_or_Total,Other,Lab,7000000.0,171886.48862937564,0.351,0.055,0.0,0.0,Other,"E.A.Skakun,ET.AL. (87)   ",A0338,5,No Pointer,42,"42-MO-100(P,N)43-TC-100,,SIG",Excitation functions and isomer ratios for up-to-9 MeV proton interactions with Zr and Mo isotope nuclei.,1987,E.A.Skakun+,4UKRKFT,2008/06/02,"Jour. Izv. Rossiiskoi Akademii Nauk, Ser.Fiz. Vol.59, Issue.5, p.177, 1995",A0338005,A0338,"(J,IZV,59,(5),177,1995)",1,1,0,100Mo,Mo,58,100,I,5.801986042015973,0.1378838201620405,Other,-86193.025,0.302,8604.662,0.003,-172.08,1.371,99907467.976,0.3229999999999999,14219.69,0.35,19484.26,8.46,-3179.09,0.32,3034.36,0.17,-15861.38,10.51,-6936.48,0.94,8294.24,0.38,11146.65,12.0,-980.25,17.64,8042.38,5.01,4276.81,4.26,2396.04,0.51,-11146.65,-8294.24,-18028.7139,-15804.1479,-15537.0549,-18181.5794,-19484.26,-14219.69,-3179.09,-954.4265,-11146.65,-8294.24,-6069.674,-7718.826499999999,-5737.8951,-10310.6735,-15079.0335,-11146.65,-8922.083999999999,-8294.24,-9546.9189,-11766.2196,-2037.0109999999995,-5653.1756,-190.67200000000005,12283.3794,8667.2149
89929,proton,All_or_Total,4,All_or_Total,Other,Lab,7500000.0,184164.09496004533,0.403,0.063,0.0,0.0,Other,"E.A.Skakun,ET.AL. (87)   ",A0338,5,No Pointer,42,"42-MO-100(P,N)43-TC-100,,SIG",Excitation functions and isomer ratios for up-to-9 MeV proton interactions with Zr and Mo isotope nuclei.,1987,E.A.Skakun+,4UKRKFT,2008/06/02,"Jour. Izv. Rossiiskoi Akademii Nauk, Ser.Fiz. Vol.59, Issue.5, p.177, 1995",A0338005,A0338,"(J,IZV,59,(5),177,1995)",1,1,0,100Mo,Mo,58,100,I,5.801986042015973,0.1378838201620405,Other,-86193.025,0.302,8604.662,0.003,-172.08,1.371,99907467.976,0.3229999999999999,14219.69,0.35,19484.26,8.46,-3179.09,0.32,3034.36,0.17,-15861.38,10.51,-6936.48,0.94,8294.24,0.38,11146.65,12.0,-980.25,17.64,8042.38,5.01,4276.81,4.26,2396.04,0.51,-11146.65,-8294.24,-18028.7139,-15804.1479,-15537.0549,-18181.5794,-19484.26,-14219.69,-3179.09,-954.4265,-11146.65,-8294.24,-6069.674,-7718.826499999999,-5737.8951,-10310.6735,-15079.0335,-11146.65,-8922.083999999999,-8294.24,-9546.9189,-11766.2196,-2037.0109999999995,-5653.1756,-190.67200000000005,12283.3794,8667.2149
89930,proton,All_or_Total,4,All_or_Total,Other,Lab,8000000.0,196441.70129071505,0.562,0.063,0.0,0.0,Other,"E.A.Skakun,ET.AL. (87)   ",A0338,5,No Pointer,42,"42-MO-100(P,N)43-TC-100,,SIG",Excitation functions and isomer ratios for up-to-9 MeV proton interactions with Zr and Mo isotope nuclei.,1987,E.A.Skakun+,4UKRKFT,2008/06/02,"Jour. Izv. Rossiiskoi Akademii Nauk, Ser.Fiz. Vol.59, Issue.5, p.177, 1995",A0338005,A0338,"(J,IZV,59,(5),177,1995)",1,1,0,100Mo,Mo,58,100,I,5.801986042015973,0.1378838201620405,Other,-86193.025,0.302,8604.662,0.003,-172.08,1.371,99907467.976,0.3229999999999999,14219.69,0.35,19484.26,8.46,-3179.09,0.32,3034.36,0.17,-15861.38,10.51,-6936.48,0.94,8294.24,0.38,11146.65,12.0,-980.25,17.64,8042.38,5.01,4276.81,4.26,2396.04,0.51,-11146.65,-8294.24,-18028.7139,-15804.1479,-15537.0549,-18181.5794,-19484.26,-14219.69,-3179.09,-954.4265,-11146.65,-8294.24,-6069.674,-7718.826499999999,-5737.8951,-10310.6735,-15079.0335,-11146.65,-8922.083999999999,-8294.24,-9546.9189,-11766.2196,-2037.0109999999995,-5653.1756,-190.67200000000005,12283.3794,8667.2149
89931,proton,All_or_Total,4,All_or_Total,Other,Lab,8500000.0,208719.3076213847,0.62,0.1,0.0,0.0,Other,"E.A.Skakun,ET.AL. (87)   ",A0338,5,No Pointer,42,"42-MO-100(P,N)43-TC-100,,SIG",Excitation functions and isomer ratios for up-to-9 MeV proton interactions with Zr and Mo isotope nuclei.,1987,E.A.Skakun+,4UKRKFT,2008/06/02,"Jour. Izv. Rossiiskoi Akademii Nauk, Ser.Fiz. Vol.59, Issue.5, p.177, 1995",A0338005,A0338,"(J,IZV,59,(5),177,1995)",1,1,0,100Mo,Mo,58,100,I,5.801986042015973,0.1378838201620405,Other,-86193.025,0.302,8604.662,0.003,-172.08,1.371,99907467.976,0.3229999999999999,14219.69,0.35,19484.26,8.46,-3179.09,0.32,3034.36,0.17,-15861.38,10.51,-6936.48,0.94,8294.24,0.38,11146.65,12.0,-980.25,17.64,8042.38,5.01,4276.81,4.26,2396.04,0.51,-11146.65,-8294.24,-18028.7139,-15804.1479,-15537.0549,-18181.5794,-19484.26,-14219.69,-3179.09,-954.4265,-11146.65,-8294.24,-6069.674,-7718.826499999999,-5737.8951,-10310.6735,-15079.0335,-11146.65,-8922.083999999999,-8294.24,-9546.9189,-11766.2196,-2037.0109999999995,-5653.1756,-190.67200000000005,12283.3794,8667.2149
