,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
91095,proton,All_or_Total,3,All_or_Total,Other,Lab,10140000.0,480000.0,0.751,0.071,0.0,0.0,Other,"B.D.WILKINS,ET.AL. (63)  ",O0741,9,No Pointer,45,"45-RH-103(P,NON),,SIG",10-MeV Proton Reaction Cross Sections For Several Elements.,1963,B.D.Wilkins+,1USALRL,2000/04/04,"Prog. Oak Ridge National Lab. Reports No.2910, p.25, 1960",O0741009,O0741,"(P,ORNL-2910,25,1960)",1,1,0,103Rh,Rh,58,103,I,5.859435184566997,0.1365319309456819,Other,-88031.70800000001,2.301,8584.192,0.022,-574.519,2.42,102905494.068,2.47,16761.93,6.18,16265.06,24.11,-3128.76,2.46,-3229.02,4.7,-10747.8,9.44,-8199.85,2.29,9319.71,6.79,6214.24,2.26,-13399.12,9.9,10637.21,2.26,6059.74,2.28,3635.64,2.66,-6214.24,-9319.71,-15433.8839,-13209.317900000002,-13754.1249,-16941.9794,-16265.06,-16761.93,-3128.76,-1356.8655,-6214.24,-9319.71,-7095.143999999998,-8982.1965,-8280.1351,-7715.843500000003,-9965.4535,-6214.24,-3989.674,-9319.71,-6952.0889000000025,-8547.0196,-3062.480999999999,-720.7655999999997,-593.111,11257.9094,13599.6249
91096,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,2305000.0,56599.76518438727,1.09e-05,1.095477535827004e-06,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (60)  ",T0135,6,No Pointer,45,"45-RH-103(P,N)46-PD-103,,SIG","Cross Sections for (p,n) Reactions in Intermediate- Weight Nuclei",1960,C.H.Johnson+,1USAORL,2000/11/03,"Jour. Physical Review Vol.136, p.B1719, 1964",T0135006,T0135,"(J,PR,136,B1719,196412)",1,1,0,103Rh,Rh,58,103,I,5.859435184566997,0.1365319309456819,Other,-88031.70800000001,2.301,8584.192,0.022,-574.519,2.42,102905494.068,2.47,16761.93,6.18,16265.06,24.11,-3128.76,2.46,-3229.02,4.7,-10747.8,9.44,-8199.85,2.29,9319.71,6.79,6214.24,2.26,-13399.12,9.9,10637.21,2.26,6059.74,2.28,3635.64,2.66,-6214.24,-9319.71,-15433.8839,-13209.317900000002,-13754.1249,-16941.9794,-16265.06,-16761.93,-3128.76,-1356.8655,-6214.24,-9319.71,-7095.143999999998,-8982.1965,-8280.1351,-7715.843500000003,-9965.4535,-6214.24,-3989.674,-9319.71,-6952.0889000000025,-8547.0196,-3062.480999999999,-720.7655999999997,-593.111,11257.9094,13599.6249
91097,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,2405000.0,59055.286450521206,1.34e-05,1.346733851383656e-06,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (60)  ",T0135,6,No Pointer,45,"45-RH-103(P,N)46-PD-103,,SIG","Cross Sections for (p,n) Reactions in Intermediate- Weight Nuclei",1960,C.H.Johnson+,1USAORL,2000/11/03,"Jour. Physical Review Vol.136, p.B1719, 1964",T0135006,T0135,"(J,PR,136,B1719,196412)",1,1,0,103Rh,Rh,58,103,I,5.859435184566997,0.1365319309456819,Other,-88031.70800000001,2.301,8584.192,0.022,-574.519,2.42,102905494.068,2.47,16761.93,6.18,16265.06,24.11,-3128.76,2.46,-3229.02,4.7,-10747.8,9.44,-8199.85,2.29,9319.71,6.79,6214.24,2.26,-13399.12,9.9,10637.21,2.26,6059.74,2.28,3635.64,2.66,-6214.24,-9319.71,-15433.8839,-13209.317900000002,-13754.1249,-16941.9794,-16265.06,-16761.93,-3128.76,-1356.8655,-6214.24,-9319.71,-7095.143999999998,-8982.1965,-8280.1351,-7715.843500000003,-9965.4535,-6214.24,-3989.674,-9319.71,-6952.0889000000025,-8547.0196,-3062.480999999999,-720.7655999999997,-593.111,11257.9094,13599.6249
91098,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,2495000.0,61265.25559004175,3.24e-05,3.256281849614213e-06,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (60)  ",T0135,6,No Pointer,45,"45-RH-103(P,N)46-PD-103,,SIG","Cross Sections for (p,n) Reactions in Intermediate- Weight Nuclei",1960,C.H.Johnson+,1USAORL,2000/11/03,"Jour. Physical Review Vol.136, p.B1719, 1964",T0135006,T0135,"(J,PR,136,B1719,196412)",1,1,0,103Rh,Rh,58,103,I,5.859435184566997,0.1365319309456819,Other,-88031.70800000001,2.301,8584.192,0.022,-574.519,2.42,102905494.068,2.47,16761.93,6.18,16265.06,24.11,-3128.76,2.46,-3229.02,4.7,-10747.8,9.44,-8199.85,2.29,9319.71,6.79,6214.24,2.26,-13399.12,9.9,10637.21,2.26,6059.74,2.28,3635.64,2.66,-6214.24,-9319.71,-15433.8839,-13209.317900000002,-13754.1249,-16941.9794,-16265.06,-16761.93,-3128.76,-1356.8655,-6214.24,-9319.71,-7095.143999999998,-8982.1965,-8280.1351,-7715.843500000003,-9965.4535,-6214.24,-3989.674,-9319.71,-6952.0889000000025,-8547.0196,-3062.480999999999,-720.7655999999997,-593.111,11257.9094,13599.6249
91099,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,2615000.0,64211.88110940248,5.73e-05,5.758794752558469e-06,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (60)  ",T0135,6,No Pointer,45,"45-RH-103(P,N)46-PD-103,,SIG","Cross Sections for (p,n) Reactions in Intermediate- Weight Nuclei",1960,C.H.Johnson+,1USAORL,2000/11/03,"Jour. Physical Review Vol.136, p.B1719, 1964",T0135006,T0135,"(J,PR,136,B1719,196412)",1,1,0,103Rh,Rh,58,103,I,5.859435184566997,0.1365319309456819,Other,-88031.70800000001,2.301,8584.192,0.022,-574.519,2.42,102905494.068,2.47,16761.93,6.18,16265.06,24.11,-3128.76,2.46,-3229.02,4.7,-10747.8,9.44,-8199.85,2.29,9319.71,6.79,6214.24,2.26,-13399.12,9.9,10637.21,2.26,6059.74,2.28,3635.64,2.66,-6214.24,-9319.71,-15433.8839,-13209.317900000002,-13754.1249,-16941.9794,-16265.06,-16761.93,-3128.76,-1356.8655,-6214.24,-9319.71,-7095.143999999998,-8982.1965,-8280.1351,-7715.843500000003,-9965.4535,-6214.24,-3989.674,-9319.71,-6952.0889000000025,-8547.0196,-3062.480999999999,-720.7655999999997,-593.111,11257.9094,13599.6249
91100,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,2725000.0,66912.9545021498,9.38e-05,9.427136959685592e-06,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (60)  ",T0135,6,No Pointer,45,"45-RH-103(P,N)46-PD-103,,SIG","Cross Sections for (p,n) Reactions in Intermediate- Weight Nuclei",1960,C.H.Johnson+,1USAORL,2000/11/03,"Jour. Physical Review Vol.136, p.B1719, 1964",T0135006,T0135,"(J,PR,136,B1719,196412)",1,1,0,103Rh,Rh,58,103,I,5.859435184566997,0.1365319309456819,Other,-88031.70800000001,2.301,8584.192,0.022,-574.519,2.42,102905494.068,2.47,16761.93,6.18,16265.06,24.11,-3128.76,2.46,-3229.02,4.7,-10747.8,9.44,-8199.85,2.29,9319.71,6.79,6214.24,2.26,-13399.12,9.9,10637.21,2.26,6059.74,2.28,3635.64,2.66,-6214.24,-9319.71,-15433.8839,-13209.317900000002,-13754.1249,-16941.9794,-16265.06,-16761.93,-3128.76,-1356.8655,-6214.24,-9319.71,-7095.143999999998,-8982.1965,-8280.1351,-7715.843500000003,-9965.4535,-6214.24,-3989.674,-9319.71,-6952.0889000000025,-8547.0196,-3062.480999999999,-720.7655999999997,-593.111,11257.9094,13599.6249
91101,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,2850000.0,69982.35608481723,0.00016,1.6080404195625746e-05,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (60)  ",T0135,6,No Pointer,45,"45-RH-103(P,N)46-PD-103,,SIG","Cross Sections for (p,n) Reactions in Intermediate- Weight Nuclei",1960,C.H.Johnson+,1USAORL,2000/11/03,"Jour. Physical Review Vol.136, p.B1719, 1964",T0135006,T0135,"(J,PR,136,B1719,196412)",1,1,0,103Rh,Rh,58,103,I,5.859435184566997,0.1365319309456819,Other,-88031.70800000001,2.301,8584.192,0.022,-574.519,2.42,102905494.068,2.47,16761.93,6.18,16265.06,24.11,-3128.76,2.46,-3229.02,4.7,-10747.8,9.44,-8199.85,2.29,9319.71,6.79,6214.24,2.26,-13399.12,9.9,10637.21,2.26,6059.74,2.28,3635.64,2.66,-6214.24,-9319.71,-15433.8839,-13209.317900000002,-13754.1249,-16941.9794,-16265.06,-16761.93,-3128.76,-1356.8655,-6214.24,-9319.71,-7095.143999999998,-8982.1965,-8280.1351,-7715.843500000003,-9965.4535,-6214.24,-3989.674,-9319.71,-6952.0889000000025,-8547.0196,-3062.480999999999,-720.7655999999997,-593.111,11257.9094,13599.6249
91102,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,2945000.0,72315.10128764447,0.000234,2.351759113610265e-05,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (60)  ",T0135,6,No Pointer,45,"45-RH-103(P,N)46-PD-103,,SIG","Cross Sections for (p,n) Reactions in Intermediate- Weight Nuclei",1960,C.H.Johnson+,1USAORL,2000/11/03,"Jour. Physical Review Vol.136, p.B1719, 1964",T0135006,T0135,"(J,PR,136,B1719,196412)",1,1,0,103Rh,Rh,58,103,I,5.859435184566997,0.1365319309456819,Other,-88031.70800000001,2.301,8584.192,0.022,-574.519,2.42,102905494.068,2.47,16761.93,6.18,16265.06,24.11,-3128.76,2.46,-3229.02,4.7,-10747.8,9.44,-8199.85,2.29,9319.71,6.79,6214.24,2.26,-13399.12,9.9,10637.21,2.26,6059.74,2.28,3635.64,2.66,-6214.24,-9319.71,-15433.8839,-13209.317900000002,-13754.1249,-16941.9794,-16265.06,-16761.93,-3128.76,-1356.8655,-6214.24,-9319.71,-7095.143999999998,-8982.1965,-8280.1351,-7715.843500000003,-9965.4535,-6214.24,-3989.674,-9319.71,-6952.0889000000025,-8547.0196,-3062.480999999999,-720.7655999999997,-593.111,11257.9094,13599.6249
91103,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,3075000.0,75507.2789336186,0.000378,3.798995491216583e-05,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (60)  ",T0135,6,No Pointer,45,"45-RH-103(P,N)46-PD-103,,SIG","Cross Sections for (p,n) Reactions in Intermediate- Weight Nuclei",1960,C.H.Johnson+,1USAORL,2000/11/03,"Jour. Physical Review Vol.136, p.B1719, 1964",T0135006,T0135,"(J,PR,136,B1719,196412)",1,1,0,103Rh,Rh,58,103,I,5.859435184566997,0.1365319309456819,Other,-88031.70800000001,2.301,8584.192,0.022,-574.519,2.42,102905494.068,2.47,16761.93,6.18,16265.06,24.11,-3128.76,2.46,-3229.02,4.7,-10747.8,9.44,-8199.85,2.29,9319.71,6.79,6214.24,2.26,-13399.12,9.9,10637.21,2.26,6059.74,2.28,3635.64,2.66,-6214.24,-9319.71,-15433.8839,-13209.317900000002,-13754.1249,-16941.9794,-16265.06,-16761.93,-3128.76,-1356.8655,-6214.24,-9319.71,-7095.143999999998,-8982.1965,-8280.1351,-7715.843500000003,-9965.4535,-6214.24,-3989.674,-9319.71,-6952.0889000000025,-8547.0196,-3062.480999999999,-720.7655999999997,-593.111,11257.9094,13599.6249
91104,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,3185000.0,78208.35232636592,0.000545,5.477387679135019e-05,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (60)  ",T0135,6,No Pointer,45,"45-RH-103(P,N)46-PD-103,,SIG","Cross Sections for (p,n) Reactions in Intermediate- Weight Nuclei",1960,C.H.Johnson+,1USAORL,2000/11/03,"Jour. Physical Review Vol.136, p.B1719, 1964",T0135006,T0135,"(J,PR,136,B1719,196412)",1,1,0,103Rh,Rh,58,103,I,5.859435184566997,0.1365319309456819,Other,-88031.70800000001,2.301,8584.192,0.022,-574.519,2.42,102905494.068,2.47,16761.93,6.18,16265.06,24.11,-3128.76,2.46,-3229.02,4.7,-10747.8,9.44,-8199.85,2.29,9319.71,6.79,6214.24,2.26,-13399.12,9.9,10637.21,2.26,6059.74,2.28,3635.64,2.66,-6214.24,-9319.71,-15433.8839,-13209.317900000002,-13754.1249,-16941.9794,-16265.06,-16761.93,-3128.76,-1356.8655,-6214.24,-9319.71,-7095.143999999998,-8982.1965,-8280.1351,-7715.843500000003,-9965.4535,-6214.24,-3989.674,-9319.71,-6952.0889000000025,-8547.0196,-3062.480999999999,-720.7655999999997,-593.111,11257.9094,13599.6249
