,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
91852,proton,All_or_Total,3,All_or_Total,Other,Lab,98900000.0,1791552.2841935167,1.189,0.033292,0.0,0.0,Other,"P.KIRKBY,ET.AL. (66)     ",O0340,19,No Pointer,46,"46-PD-0(P,NON),,SIG,,,EXP",Faraday-Cup Measurement of Proton Total Reaction Cross Sections at 100 MeV.,1966,P.Kirkby+,1CANMCG,1997/06/05,"Jour. Physical Review Vol.115, p.925, 1959",O0340019,O0340,"(J,PR,115,925,195908)",1,1,0,106Pd,Pd,60,106,N,5.91577936395421,0.1352315478285968,Other,-89162.70749999999,1.122,8575.321,0.0104999999999999,-2156.0985,3.7435,106420000.0,1.204,16879.195,1.115,16059.21,1.905,-3055.3500000000004,1.1949999999999998,-3429.7200000000003,0.945,-9436.58,2.59,-11140.38,4.359999999999999,8327.529999999999,0.49,9046.385,2.465,-13816.87,4.67,9043.63,2.555,3108.86,4.529999999999999,4670.495,1.2,-9046.385,-8327.529999999999,-17027.4639,-14802.8979,-16705.004900000004,-15907.1244,-16059.21,-16879.195,-3055.3500000000004,-2938.445,-9046.385,-8327.529999999999,-6102.964,-11922.7265,-8397.4001,-9309.4235,-8654.2335,-9046.385,-6821.819,-8327.529999999999,-8545.6689,-8341.1696,-2070.3009999999995,-3552.9106,-2174.6905,12250.0894,10767.4799
91853,proton,All_or_Total,4,All_or_Total,Other,Lab,3600000.0,88398.76558082177,0.0015,0.000225,0.0,0.0,Other,R.D.ALBERT (59)          ,T0130,17,No Pointer,46,"46-PD-0(P,N),,SIG","(p,n) Cross Section and Proton Optical-Model Parameters in the 4 to 5.5 MeV Energy Region",1959,R.D.Albert,1USALRL,2001/07/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.84, p.015802, 2011",T0130017,T0130,"(J,PR/C,84,015802,2011)",1,1,0,106Pd,Pd,60,106,N,5.91577936395421,0.1352315478285968,Other,-89162.70749999999,1.122,8575.321,0.0104999999999999,-2156.0985,3.7435,106420000.0,1.204,16879.195,1.115,16059.21,1.905,-3055.3500000000004,1.1949999999999998,-3429.7200000000003,0.945,-9436.58,2.59,-11140.38,4.359999999999999,8327.529999999999,0.49,9046.385,2.465,-13816.87,4.67,9043.63,2.555,3108.86,4.529999999999999,4670.495,1.2,-9046.385,-8327.529999999999,-17027.4639,-14802.8979,-16705.004900000004,-15907.1244,-16059.21,-16879.195,-3055.3500000000004,-2938.445,-9046.385,-8327.529999999999,-6102.964,-11922.7265,-8397.4001,-9309.4235,-8654.2335,-9046.385,-6821.819,-8327.529999999999,-8545.6689,-8341.1696,-2070.3009999999995,-3552.9106,-2174.6905,12250.0894,10767.4799
91854,proton,All_or_Total,4,All_or_Total,Other,Lab,4500000.0,110498.4569760272,0.012,0.0018,0.0,0.0,Other,R.D.ALBERT (59)          ,T0130,17,No Pointer,46,"46-PD-0(P,N),,SIG","(p,n) Cross Section and Proton Optical-Model Parameters in the 4 to 5.5 MeV Energy Region",1959,R.D.Albert,1USALRL,2001/07/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.84, p.015802, 2011",T0130017,T0130,"(J,PR/C,84,015802,2011)",1,1,0,106Pd,Pd,60,106,N,5.91577936395421,0.1352315478285968,Other,-89162.70749999999,1.122,8575.321,0.0104999999999999,-2156.0985,3.7435,106420000.0,1.204,16879.195,1.115,16059.21,1.905,-3055.3500000000004,1.1949999999999998,-3429.7200000000003,0.945,-9436.58,2.59,-11140.38,4.359999999999999,8327.529999999999,0.49,9046.385,2.465,-13816.87,4.67,9043.63,2.555,3108.86,4.529999999999999,4670.495,1.2,-9046.385,-8327.529999999999,-17027.4639,-14802.8979,-16705.004900000004,-15907.1244,-16059.21,-16879.195,-3055.3500000000004,-2938.445,-9046.385,-8327.529999999999,-6102.964,-11922.7265,-8397.4001,-9309.4235,-8654.2335,-9046.385,-6821.819,-8327.529999999999,-8545.6689,-8341.1696,-2070.3009999999995,-3552.9106,-2174.6905,12250.0894,10767.4799
91855,proton,All_or_Total,4,All_or_Total,Other,Lab,5000000.0,122776.06330669687,0.026,0.0039,0.0,0.0,Other,R.D.ALBERT (59)          ,T0130,17,No Pointer,46,"46-PD-0(P,N),,SIG","(p,n) Cross Section and Proton Optical-Model Parameters in the 4 to 5.5 MeV Energy Region",1959,R.D.Albert,1USALRL,2001/07/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.84, p.015802, 2011",T0130017,T0130,"(J,PR/C,84,015802,2011)",1,1,0,106Pd,Pd,60,106,N,5.91577936395421,0.1352315478285968,Other,-89162.70749999999,1.122,8575.321,0.0104999999999999,-2156.0985,3.7435,106420000.0,1.204,16879.195,1.115,16059.21,1.905,-3055.3500000000004,1.1949999999999998,-3429.7200000000003,0.945,-9436.58,2.59,-11140.38,4.359999999999999,8327.529999999999,0.49,9046.385,2.465,-13816.87,4.67,9043.63,2.555,3108.86,4.529999999999999,4670.495,1.2,-9046.385,-8327.529999999999,-17027.4639,-14802.8979,-16705.004900000004,-15907.1244,-16059.21,-16879.195,-3055.3500000000004,-2938.445,-9046.385,-8327.529999999999,-6102.964,-11922.7265,-8397.4001,-9309.4235,-8654.2335,-9046.385,-6821.819,-8327.529999999999,-8545.6689,-8341.1696,-2070.3009999999995,-3552.9106,-2174.6905,12250.0894,10767.4799
91856,proton,All_or_Total,4,All_or_Total,Other,Lab,5500000.0,135053.66963736658,0.056,0.0084,0.0,0.0,Other,R.D.ALBERT (59)          ,T0130,17,No Pointer,46,"46-PD-0(P,N),,SIG","(p,n) Cross Section and Proton Optical-Model Parameters in the 4 to 5.5 MeV Energy Region",1959,R.D.Albert,1USALRL,2001/07/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.84, p.015802, 2011",T0130017,T0130,"(J,PR/C,84,015802,2011)",1,1,0,106Pd,Pd,60,106,N,5.91577936395421,0.1352315478285968,Other,-89162.70749999999,1.122,8575.321,0.0104999999999999,-2156.0985,3.7435,106420000.0,1.204,16879.195,1.115,16059.21,1.905,-3055.3500000000004,1.1949999999999998,-3429.7200000000003,0.945,-9436.58,2.59,-11140.38,4.359999999999999,8327.529999999999,0.49,9046.385,2.465,-13816.87,4.67,9043.63,2.555,3108.86,4.529999999999999,4670.495,1.2,-9046.385,-8327.529999999999,-17027.4639,-14802.8979,-16705.004900000004,-15907.1244,-16059.21,-16879.195,-3055.3500000000004,-2938.445,-9046.385,-8327.529999999999,-6102.964,-11922.7265,-8397.4001,-9309.4235,-8654.2335,-9046.385,-6821.819,-8327.529999999999,-8545.6689,-8341.1696,-2070.3009999999995,-3552.9106,-2174.6905,12250.0894,10767.4799
91857,proton,All_or_Total,4,All_or_Total,Other,Lab,7000000.0,171886.48862937564,0.2,0.03,0.0,0.0,Other,R.D.ALBERT (59)          ,T0130,17,No Pointer,46,"46-PD-0(P,N),,SIG","(p,n) Cross Section and Proton Optical-Model Parameters in the 4 to 5.5 MeV Energy Region",1959,R.D.Albert,1USALRL,2001/07/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.84, p.015802, 2011",T0130017,T0130,"(J,PR/C,84,015802,2011)",1,1,0,106Pd,Pd,60,106,N,5.91577936395421,0.1352315478285968,Other,-89162.70749999999,1.122,8575.321,0.0104999999999999,-2156.0985,3.7435,106420000.0,1.204,16879.195,1.115,16059.21,1.905,-3055.3500000000004,1.1949999999999998,-3429.7200000000003,0.945,-9436.58,2.59,-11140.38,4.359999999999999,8327.529999999999,0.49,9046.385,2.465,-13816.87,4.67,9043.63,2.555,3108.86,4.529999999999999,4670.495,1.2,-9046.385,-8327.529999999999,-17027.4639,-14802.8979,-16705.004900000004,-15907.1244,-16059.21,-16879.195,-3055.3500000000004,-2938.445,-9046.385,-8327.529999999999,-6102.964,-11922.7265,-8397.4001,-9309.4235,-8654.2335,-9046.385,-6821.819,-8327.529999999999,-8545.6689,-8341.1696,-2070.3009999999995,-3552.9106,-2174.6905,12250.0894,10767.4799
91858,proton,All_or_Total,4,All_or_Total,Other,Lab,8100000.0,198897.22255684895,0.293,0.04395,0.0,0.0,Other,R.D.ALBERT (59)          ,T0130,17,No Pointer,46,"46-PD-0(P,N),,SIG","(p,n) Cross Section and Proton Optical-Model Parameters in the 4 to 5.5 MeV Energy Region",1959,R.D.Albert,1USALRL,2001/07/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.84, p.015802, 2011",T0130017,T0130,"(J,PR/C,84,015802,2011)",1,1,0,106Pd,Pd,60,106,N,5.91577936395421,0.1352315478285968,Other,-89162.70749999999,1.122,8575.321,0.0104999999999999,-2156.0985,3.7435,106420000.0,1.204,16879.195,1.115,16059.21,1.905,-3055.3500000000004,1.1949999999999998,-3429.7200000000003,0.945,-9436.58,2.59,-11140.38,4.359999999999999,8327.529999999999,0.49,9046.385,2.465,-13816.87,4.67,9043.63,2.555,3108.86,4.529999999999999,4670.495,1.2,-9046.385,-8327.529999999999,-17027.4639,-14802.8979,-16705.004900000004,-15907.1244,-16059.21,-16879.195,-3055.3500000000004,-2938.445,-9046.385,-8327.529999999999,-6102.964,-11922.7265,-8397.4001,-9309.4235,-8654.2335,-9046.385,-6821.819,-8327.529999999999,-8545.6689,-8341.1696,-2070.3009999999995,-3552.9106,-2174.6905,12250.0894,10767.4799
91859,proton,All_or_Total,9000,All_or_Total,Other,Center_of_Mass,2687000.0,68492.79013544568,7.3e-05,5e-06,0.0,0.0,Other,"I.Dillmann,ET.AL. (11)   ",O1917,6,No Pointer,46,"46-PD-0(P,X)47-AG-105,,SIG",Cross section for proton-induced reactions on Pd isotopes at energies relevant for the gamma process.,2011,I.Dillmann+,2GERKFK,2014/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.268, p.2303, 2010",O1917006,O1917,"(J,NIM/B,268,2303,2010)",1,1,0,106Pd,Pd,60,106,N,5.91577936395421,0.1352315478285968,Other,-89162.70749999999,1.122,8575.321,0.0104999999999999,-2156.0985,3.7435,106420000.0,1.204,16879.195,1.115,16059.21,1.905,-3055.3500000000004,1.1949999999999998,-3429.7200000000003,0.945,-9436.58,2.59,-11140.38,4.359999999999999,8327.529999999999,0.49,9046.385,2.465,-13816.87,4.67,9043.63,2.555,3108.86,4.529999999999999,4670.495,1.2,-9046.385,-8327.529999999999,-17027.4639,-14802.8979,-16705.004900000004,-15907.1244,-16059.21,-16879.195,-3055.3500000000004,-2938.445,-9046.385,-8327.529999999999,-6102.964,-11922.7265,-8397.4001,-9309.4235,-8654.2335,-9046.385,-6821.819,-8327.529999999999,-8545.6689,-8341.1696,-2070.3009999999995,-3552.9106,-2174.6905,12250.0894,10767.4799
91860,proton,All_or_Total,9000,All_or_Total,Other,Center_of_Mass,2933000.0,74763.4363480693,0.000185,1.3e-05,0.0,0.0,Other,"I.Dillmann,ET.AL. (11)   ",O1917,6,No Pointer,46,"46-PD-0(P,X)47-AG-105,,SIG",Cross section for proton-induced reactions on Pd isotopes at energies relevant for the gamma process.,2011,I.Dillmann+,2GERKFK,2014/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.268, p.2303, 2010",O1917006,O1917,"(J,NIM/B,268,2303,2010)",1,1,0,106Pd,Pd,60,106,N,5.91577936395421,0.1352315478285968,Other,-89162.70749999999,1.122,8575.321,0.0104999999999999,-2156.0985,3.7435,106420000.0,1.204,16879.195,1.115,16059.21,1.905,-3055.3500000000004,1.1949999999999998,-3429.7200000000003,0.945,-9436.58,2.59,-11140.38,4.359999999999999,8327.529999999999,0.49,9046.385,2.465,-13816.87,4.67,9043.63,2.555,3108.86,4.529999999999999,4670.495,1.2,-9046.385,-8327.529999999999,-17027.4639,-14802.8979,-16705.004900000004,-15907.1244,-16059.21,-16879.195,-3055.3500000000004,-2938.445,-9046.385,-8327.529999999999,-6102.964,-11922.7265,-8397.4001,-9309.4235,-8654.2335,-9046.385,-6821.819,-8327.529999999999,-8545.6689,-8341.1696,-2070.3009999999995,-3552.9106,-2174.6905,12250.0894,10767.4799
91861,proton,All_or_Total,9000,All_or_Total,Other,Center_of_Mass,3178000.0,81008.59212893428,0.00047,3e-05,0.0,0.0,Other,"I.Dillmann,ET.AL. (11)   ",O1917,6,No Pointer,46,"46-PD-0(P,X)47-AG-105,,SIG",Cross section for proton-induced reactions on Pd isotopes at energies relevant for the gamma process.,2011,I.Dillmann+,2GERKFK,2014/02/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.268, p.2303, 2010",O1917006,O1917,"(J,NIM/B,268,2303,2010)",1,1,0,106Pd,Pd,60,106,N,5.91577936395421,0.1352315478285968,Other,-89162.70749999999,1.122,8575.321,0.0104999999999999,-2156.0985,3.7435,106420000.0,1.204,16879.195,1.115,16059.21,1.905,-3055.3500000000004,1.1949999999999998,-3429.7200000000003,0.945,-9436.58,2.59,-11140.38,4.359999999999999,8327.529999999999,0.49,9046.385,2.465,-13816.87,4.67,9043.63,2.555,3108.86,4.529999999999999,4670.495,1.2,-9046.385,-8327.529999999999,-17027.4639,-14802.8979,-16705.004900000004,-15907.1244,-16059.21,-16879.195,-3055.3500000000004,-2938.445,-9046.385,-8327.529999999999,-6102.964,-11922.7265,-8397.4001,-9309.4235,-8654.2335,-9046.385,-6821.819,-8327.529999999999,-8545.6689,-8341.1696,-2070.3009999999995,-3552.9106,-2174.6905,12250.0894,10767.4799
