,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
93905,proton,All_or_Total,3,All_or_Total,Other,Lab,9650000.0,350000.0,0.702,0.067,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,12,No Pointer,47,"47-AG-107(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Physical Review Vol.128, p.280, 1962",D0314012,D0314,"(J,PR,128,280,1962)",1,1,0,107Ag,Ag,60,107,I,5.93432424815425,0.1348089464860002,Other,-88406.67,2.382,8553.9,0.022,-1416.409,2.567,106905091.531,2.557,17478.47,5.03,15133.37,3.28,-2799.88,3.31,-4842.41,11.3,-9333.01,5.8,-9345.85,2.33,9535.6,3.56,5788.11,2.33,-17753.43,4.78,10722.02,2.34,5852.49,2.45,4199.08,3.31,-5788.11,-9535.6,-15349.0739,-13124.5079,-13961.3749,-16378.5394,-15133.37,-17478.47,-2799.88,-2198.7555,-5788.11,-9535.6,-7311.0340000000015,-10128.1965,-8996.6751,-7631.033500000001,-8550.6635,-5788.11,-3563.5440000000003,-9535.6,-6867.278900000001,-7415.329600000001,-3278.371,-294.6355999999996,-1435.001,11042.0194,14025.7549
93906,proton,All_or_Total,3,All_or_Total,Other,Lab,10160000.0,340000.0,0.769,0.06,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,12,No Pointer,47,"47-AG-107(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Physical Review Vol.128, p.280, 1962",D0314012,D0314,"(J,PR,128,280,1962)",1,1,0,107Ag,Ag,60,107,I,5.93432424815425,0.1348089464860002,Other,-88406.67,2.382,8553.9,0.022,-1416.409,2.567,106905091.531,2.557,17478.47,5.03,15133.37,3.28,-2799.88,3.31,-4842.41,11.3,-9333.01,5.8,-9345.85,2.33,9535.6,3.56,5788.11,2.33,-17753.43,4.78,10722.02,2.34,5852.49,2.45,4199.08,3.31,-5788.11,-9535.6,-15349.0739,-13124.5079,-13961.3749,-16378.5394,-15133.37,-17478.47,-2799.88,-2198.7555,-5788.11,-9535.6,-7311.0340000000015,-10128.1965,-8996.6751,-7631.033500000001,-8550.6635,-5788.11,-3563.5440000000003,-9535.6,-6867.278900000001,-7415.329600000001,-3278.371,-294.6355999999996,-1435.001,11042.0194,14025.7549
93907,proton,All_or_Total,3,All_or_Total,Other,Lab,10670000.0,330000.0,0.788,0.054,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,12,No Pointer,47,"47-AG-107(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Physical Review Vol.128, p.280, 1962",D0314012,D0314,"(J,PR,128,280,1962)",1,1,0,107Ag,Ag,60,107,I,5.93432424815425,0.1348089464860002,Other,-88406.67,2.382,8553.9,0.022,-1416.409,2.567,106905091.531,2.557,17478.47,5.03,15133.37,3.28,-2799.88,3.31,-4842.41,11.3,-9333.01,5.8,-9345.85,2.33,9535.6,3.56,5788.11,2.33,-17753.43,4.78,10722.02,2.34,5852.49,2.45,4199.08,3.31,-5788.11,-9535.6,-15349.0739,-13124.5079,-13961.3749,-16378.5394,-15133.37,-17478.47,-2799.88,-2198.7555,-5788.11,-9535.6,-7311.0340000000015,-10128.1965,-8996.6751,-7631.033500000001,-8550.6635,-5788.11,-3563.5440000000003,-9535.6,-6867.278900000001,-7415.329600000001,-3278.371,-294.6355999999996,-1435.001,11042.0194,14025.7549
93908,proton,All_or_Total,3,All_or_Total,Other,Lab,11180000.0,320000.0,0.817,0.049,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,12,No Pointer,47,"47-AG-107(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Physical Review Vol.128, p.280, 1962",D0314012,D0314,"(J,PR,128,280,1962)",1,1,0,107Ag,Ag,60,107,I,5.93432424815425,0.1348089464860002,Other,-88406.67,2.382,8553.9,0.022,-1416.409,2.567,106905091.531,2.557,17478.47,5.03,15133.37,3.28,-2799.88,3.31,-4842.41,11.3,-9333.01,5.8,-9345.85,2.33,9535.6,3.56,5788.11,2.33,-17753.43,4.78,10722.02,2.34,5852.49,2.45,4199.08,3.31,-5788.11,-9535.6,-15349.0739,-13124.5079,-13961.3749,-16378.5394,-15133.37,-17478.47,-2799.88,-2198.7555,-5788.11,-9535.6,-7311.0340000000015,-10128.1965,-8996.6751,-7631.033500000001,-8550.6635,-5788.11,-3563.5440000000003,-9535.6,-6867.278900000001,-7415.329600000001,-3278.371,-294.6355999999996,-1435.001,11042.0194,14025.7549
93909,proton,All_or_Total,4,All_or_Total,Other,Lab,1900000.0,46654.90405654482,6e-05,6.030151573359654e-06,0.0,0.0,Other,"J.WING,ET.AL. (62)       ",T0124,6,No Pointer,47,"47-AG-107(P,N)48-CD-107,,SIG","(p,n) Cross Sections of V51, Cr52, Cu63, Cu65, Ag107, Ag109, Cd111, Cd114, and La139 from 5 to 10.5 MeV",1962,J.Wing+,1USAANL,2000/11/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.9, p.1819, 1974",T0124006,T0124,"(J,PR/C,9,1819,1974)",1,1,0,107Ag,Ag,60,107,I,5.93432424815425,0.1348089464860002,Other,-88406.67,2.382,8553.9,0.022,-1416.409,2.567,106905091.531,2.557,17478.47,5.03,15133.37,3.28,-2799.88,3.31,-4842.41,11.3,-9333.01,5.8,-9345.85,2.33,9535.6,3.56,5788.11,2.33,-17753.43,4.78,10722.02,2.34,5852.49,2.45,4199.08,3.31,-5788.11,-9535.6,-15349.0739,-13124.5079,-13961.3749,-16378.5394,-15133.37,-17478.47,-2799.88,-2198.7555,-5788.11,-9535.6,-7311.0340000000015,-10128.1965,-8996.6751,-7631.033500000001,-8550.6635,-5788.11,-3563.5440000000003,-9535.6,-6867.278900000001,-7415.329600000001,-3278.371,-294.6355999999996,-1435.001,11042.0194,14025.7549
93910,proton,All_or_Total,4,All_or_Total,Other,Lab,3200000.0,78576.68051628601,0.0005,5.025126311133045e-05,0.0,0.0,Other,"J.WING,ET.AL. (62)       ",T0124,6,No Pointer,47,"47-AG-107(P,N)48-CD-107,,SIG","(p,n) Cross Sections of V51, Cr52, Cu63, Cu65, Ag107, Ag109, Cd111, Cd114, and La139 from 5 to 10.5 MeV",1962,J.Wing+,1USAANL,2000/11/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.9, p.1819, 1974",T0124006,T0124,"(J,PR/C,9,1819,1974)",1,1,0,107Ag,Ag,60,107,I,5.93432424815425,0.1348089464860002,Other,-88406.67,2.382,8553.9,0.022,-1416.409,2.567,106905091.531,2.557,17478.47,5.03,15133.37,3.28,-2799.88,3.31,-4842.41,11.3,-9333.01,5.8,-9345.85,2.33,9535.6,3.56,5788.11,2.33,-17753.43,4.78,10722.02,2.34,5852.49,2.45,4199.08,3.31,-5788.11,-9535.6,-15349.0739,-13124.5079,-13961.3749,-16378.5394,-15133.37,-17478.47,-2799.88,-2198.7555,-5788.11,-9535.6,-7311.0340000000015,-10128.1965,-8996.6751,-7631.033500000001,-8550.6635,-5788.11,-3563.5440000000003,-9535.6,-6867.278900000001,-7415.329600000001,-3278.371,-294.6355999999996,-1435.001,11042.0194,14025.7549
93911,proton,All_or_Total,4,All_or_Total,Other,Lab,4900000.0,120320.54204056296,0.019,0.0019095479982305,0.0,0.0,Other,"J.WING,ET.AL. (62)       ",T0124,6,No Pointer,47,"47-AG-107(P,N)48-CD-107,,SIG","(p,n) Cross Sections of V51, Cr52, Cu63, Cu65, Ag107, Ag109, Cd111, Cd114, and La139 from 5 to 10.5 MeV",1962,J.Wing+,1USAANL,2000/11/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.9, p.1819, 1974",T0124006,T0124,"(J,PR/C,9,1819,1974)",1,1,0,107Ag,Ag,60,107,I,5.93432424815425,0.1348089464860002,Other,-88406.67,2.382,8553.9,0.022,-1416.409,2.567,106905091.531,2.557,17478.47,5.03,15133.37,3.28,-2799.88,3.31,-4842.41,11.3,-9333.01,5.8,-9345.85,2.33,9535.6,3.56,5788.11,2.33,-17753.43,4.78,10722.02,2.34,5852.49,2.45,4199.08,3.31,-5788.11,-9535.6,-15349.0739,-13124.5079,-13961.3749,-16378.5394,-15133.37,-17478.47,-2799.88,-2198.7555,-5788.11,-9535.6,-7311.0340000000015,-10128.1965,-8996.6751,-7631.033500000001,-8550.6635,-5788.11,-3563.5440000000003,-9535.6,-6867.278900000001,-7415.329600000001,-3278.371,-294.6355999999996,-1435.001,11042.0194,14025.7549
93912,proton,All_or_Total,4,All_or_Total,Other,Lab,5000000.0,122776.06330669687,0.024,0.0024120606293438,0.0,0.0,Other,"J.WING,ET.AL. (62)       ",T0124,6,No Pointer,47,"47-AG-107(P,N)48-CD-107,,SIG","(p,n) Cross Sections of V51, Cr52, Cu63, Cu65, Ag107, Ag109, Cd111, Cd114, and La139 from 5 to 10.5 MeV",1962,J.Wing+,1USAANL,2000/11/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.9, p.1819, 1974",T0124006,T0124,"(J,PR/C,9,1819,1974)",1,1,0,107Ag,Ag,60,107,I,5.93432424815425,0.1348089464860002,Other,-88406.67,2.382,8553.9,0.022,-1416.409,2.567,106905091.531,2.557,17478.47,5.03,15133.37,3.28,-2799.88,3.31,-4842.41,11.3,-9333.01,5.8,-9345.85,2.33,9535.6,3.56,5788.11,2.33,-17753.43,4.78,10722.02,2.34,5852.49,2.45,4199.08,3.31,-5788.11,-9535.6,-15349.0739,-13124.5079,-13961.3749,-16378.5394,-15133.37,-17478.47,-2799.88,-2198.7555,-5788.11,-9535.6,-7311.0340000000015,-10128.1965,-8996.6751,-7631.033500000001,-8550.6635,-5788.11,-3563.5440000000003,-9535.6,-6867.278900000001,-7415.329600000001,-3278.371,-294.6355999999996,-1435.001,11042.0194,14025.7549
93913,proton,All_or_Total,4,All_or_Total,Other,Lab,5100000.0,300000.0,0.038,0.006,0.0,0.0,Other,"J.WING,ET.AL. (62)       ",T0124,6,No Pointer,47,"47-AG-107(P,N)48-CD-107,,SIG","(p,n) Cross Sections of V51, Cr52, Cu63, Cu65, Ag107, Ag109, Cd111, Cd114, and La139 from 5 to 10.5 MeV",1962,J.Wing+,1USAANL,2000/11/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.9, p.1819, 1974",T0124006,T0124,"(J,PR/C,9,1819,1974)",1,1,0,107Ag,Ag,60,107,I,5.93432424815425,0.1348089464860002,Other,-88406.67,2.382,8553.9,0.022,-1416.409,2.567,106905091.531,2.557,17478.47,5.03,15133.37,3.28,-2799.88,3.31,-4842.41,11.3,-9333.01,5.8,-9345.85,2.33,9535.6,3.56,5788.11,2.33,-17753.43,4.78,10722.02,2.34,5852.49,2.45,4199.08,3.31,-5788.11,-9535.6,-15349.0739,-13124.5079,-13961.3749,-16378.5394,-15133.37,-17478.47,-2799.88,-2198.7555,-5788.11,-9535.6,-7311.0340000000015,-10128.1965,-8996.6751,-7631.033500000001,-8550.6635,-5788.11,-3563.5440000000003,-9535.6,-6867.278900000001,-7415.329600000001,-3278.371,-294.6355999999996,-1435.001,11042.0194,14025.7549
93914,proton,All_or_Total,4,All_or_Total,Other,Lab,6000000.0,147331.2759680363,0.098,0.0098492475698207,0.0,0.0,Other,"J.WING,ET.AL. (62)       ",T0124,6,No Pointer,47,"47-AG-107(P,N)48-CD-107,,SIG","(p,n) Cross Sections of V51, Cr52, Cu63, Cu65, Ag107, Ag109, Cd111, Cd114, and La139 from 5 to 10.5 MeV",1962,J.Wing+,1USAANL,2000/11/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.9, p.1819, 1974",T0124006,T0124,"(J,PR/C,9,1819,1974)",1,1,0,107Ag,Ag,60,107,I,5.93432424815425,0.1348089464860002,Other,-88406.67,2.382,8553.9,0.022,-1416.409,2.567,106905091.531,2.557,17478.47,5.03,15133.37,3.28,-2799.88,3.31,-4842.41,11.3,-9333.01,5.8,-9345.85,2.33,9535.6,3.56,5788.11,2.33,-17753.43,4.78,10722.02,2.34,5852.49,2.45,4199.08,3.31,-5788.11,-9535.6,-15349.0739,-13124.5079,-13961.3749,-16378.5394,-15133.37,-17478.47,-2799.88,-2198.7555,-5788.11,-9535.6,-7311.0340000000015,-10128.1965,-8996.6751,-7631.033500000001,-8550.6635,-5788.11,-3563.5440000000003,-9535.6,-6867.278900000001,-7415.329600000001,-3278.371,-294.6355999999996,-1435.001,11042.0194,14025.7549
