,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
97114,proton,All_or_Total,4,M,Other,Lab,3560000.0,87416.55707436819,0.00019,1.909547998230557e-05,0.0,0.0,Other,"J.-P.Blaser,ET.AL. (51)  ",B0048,12,No Pointer,48,"48-CD-114(P,N)49-IN-114-M,,SIG","Fonctions d`excitation de la reaction (p,n). I",1951,J.-P.Blaser+,2SWTETH,2019/01/00,"Jour. Physical Review Vol.128, p.280, 1962",B0048012,B0048,"(J,PR,128,280,1962)",1,1,0,114Cd,Cd,66,114,I,6.061009482299848,0.1319912140603417,Other,-90014.93199999999,0.276,8531.513,0.002,-1445.132,0.382,113903364.99,0.296,15582.71,0.25,18271.31,6.55,-4108.94,0.63,544.79,0.28,-13712.81,6.95,-8719.13,0.3,9042.97,0.14,10277.08,16.64,-8126.36,27.95,7279.59,2.44,3064.57,1.46,1617.36,0.75,-10277.08,-9042.97,-18791.5039,-16566.9379,-16749.2949,-18960.2594,-18271.31,-15582.71,-4108.94,-2227.4785,-10277.08,-9042.97,-6818.404,-9501.4765,-7100.915099999997,-11073.463500000002,-12930.4635,-10277.08,-8052.514,-9042.97,-10309.7089,-10553.2696,-2785.7409999999986,-4783.6056,-1463.7240000000004,11534.6494,9536.7849
97115,proton,All_or_Total,4,M,Other,Lab,3830000.0,94046.46449292982,0.00045,4.52261368001974e-05,0.0,0.0,Other,"J.-P.Blaser,ET.AL. (51)  ",B0048,12,No Pointer,48,"48-CD-114(P,N)49-IN-114-M,,SIG","Fonctions d`excitation de la reaction (p,n). I",1951,J.-P.Blaser+,2SWTETH,2019/01/00,"Jour. Physical Review Vol.128, p.280, 1962",B0048012,B0048,"(J,PR,128,280,1962)",1,1,0,114Cd,Cd,66,114,I,6.061009482299848,0.1319912140603417,Other,-90014.93199999999,0.276,8531.513,0.002,-1445.132,0.382,113903364.99,0.296,15582.71,0.25,18271.31,6.55,-4108.94,0.63,544.79,0.28,-13712.81,6.95,-8719.13,0.3,9042.97,0.14,10277.08,16.64,-8126.36,27.95,7279.59,2.44,3064.57,1.46,1617.36,0.75,-10277.08,-9042.97,-18791.5039,-16566.9379,-16749.2949,-18960.2594,-18271.31,-15582.71,-4108.94,-2227.4785,-10277.08,-9042.97,-6818.404,-9501.4765,-7100.915099999997,-11073.463500000002,-12930.4635,-10277.08,-8052.514,-9042.97,-10309.7089,-10553.2696,-2785.7409999999986,-4783.6056,-1463.7240000000004,11534.6494,9536.7849
97116,proton,All_or_Total,4,M,Other,Lab,4040000.0,99203.05915181107,0.00083,8.341709676480855e-05,0.0,0.0,Other,"J.-P.Blaser,ET.AL. (51)  ",B0048,12,No Pointer,48,"48-CD-114(P,N)49-IN-114-M,,SIG","Fonctions d`excitation de la reaction (p,n). I",1951,J.-P.Blaser+,2SWTETH,2019/01/00,"Jour. Physical Review Vol.128, p.280, 1962",B0048012,B0048,"(J,PR,128,280,1962)",1,1,0,114Cd,Cd,66,114,I,6.061009482299848,0.1319912140603417,Other,-90014.93199999999,0.276,8531.513,0.002,-1445.132,0.382,113903364.99,0.296,15582.71,0.25,18271.31,6.55,-4108.94,0.63,544.79,0.28,-13712.81,6.95,-8719.13,0.3,9042.97,0.14,10277.08,16.64,-8126.36,27.95,7279.59,2.44,3064.57,1.46,1617.36,0.75,-10277.08,-9042.97,-18791.5039,-16566.9379,-16749.2949,-18960.2594,-18271.31,-15582.71,-4108.94,-2227.4785,-10277.08,-9042.97,-6818.404,-9501.4765,-7100.915099999997,-11073.463500000002,-12930.4635,-10277.08,-8052.514,-9042.97,-10309.7089,-10553.2696,-2785.7409999999986,-4783.6056,-1463.7240000000004,11534.6494,9536.7849
97117,proton,All_or_Total,4,M,Other,Lab,4260000.0,104605.20593730576,0.0015,0.0001507537893339,0.0,0.0,Other,"J.-P.Blaser,ET.AL. (51)  ",B0048,12,No Pointer,48,"48-CD-114(P,N)49-IN-114-M,,SIG","Fonctions d`excitation de la reaction (p,n). I",1951,J.-P.Blaser+,2SWTETH,2019/01/00,"Jour. Physical Review Vol.128, p.280, 1962",B0048012,B0048,"(J,PR,128,280,1962)",1,1,0,114Cd,Cd,66,114,I,6.061009482299848,0.1319912140603417,Other,-90014.93199999999,0.276,8531.513,0.002,-1445.132,0.382,113903364.99,0.296,15582.71,0.25,18271.31,6.55,-4108.94,0.63,544.79,0.28,-13712.81,6.95,-8719.13,0.3,9042.97,0.14,10277.08,16.64,-8126.36,27.95,7279.59,2.44,3064.57,1.46,1617.36,0.75,-10277.08,-9042.97,-18791.5039,-16566.9379,-16749.2949,-18960.2594,-18271.31,-15582.71,-4108.94,-2227.4785,-10277.08,-9042.97,-6818.404,-9501.4765,-7100.915099999997,-11073.463500000002,-12930.4635,-10277.08,-8052.514,-9042.97,-10309.7089,-10553.2696,-2785.7409999999986,-4783.6056,-1463.7240000000004,11534.6494,9536.7849
97118,proton,All_or_Total,4,M,Other,Lab,4460000.0,109516.24846957363,0.0026,0.0002613065681789,0.0,0.0,Other,"J.-P.Blaser,ET.AL. (51)  ",B0048,12,No Pointer,48,"48-CD-114(P,N)49-IN-114-M,,SIG","Fonctions d`excitation de la reaction (p,n). I",1951,J.-P.Blaser+,2SWTETH,2019/01/00,"Jour. Physical Review Vol.128, p.280, 1962",B0048012,B0048,"(J,PR,128,280,1962)",1,1,0,114Cd,Cd,66,114,I,6.061009482299848,0.1319912140603417,Other,-90014.93199999999,0.276,8531.513,0.002,-1445.132,0.382,113903364.99,0.296,15582.71,0.25,18271.31,6.55,-4108.94,0.63,544.79,0.28,-13712.81,6.95,-8719.13,0.3,9042.97,0.14,10277.08,16.64,-8126.36,27.95,7279.59,2.44,3064.57,1.46,1617.36,0.75,-10277.08,-9042.97,-18791.5039,-16566.9379,-16749.2949,-18960.2594,-18271.31,-15582.71,-4108.94,-2227.4785,-10277.08,-9042.97,-6818.404,-9501.4765,-7100.915099999997,-11073.463500000002,-12930.4635,-10277.08,-8052.514,-9042.97,-10309.7089,-10553.2696,-2785.7409999999986,-4783.6056,-1463.7240000000004,11534.6494,9536.7849
97119,proton,All_or_Total,4,M,Other,Lab,4660000.0,114427.29100184151,0.0041,0.0004120603575129,0.0,0.0,Other,"J.-P.Blaser,ET.AL. (51)  ",B0048,12,No Pointer,48,"48-CD-114(P,N)49-IN-114-M,,SIG","Fonctions d`excitation de la reaction (p,n). I",1951,J.-P.Blaser+,2SWTETH,2019/01/00,"Jour. Physical Review Vol.128, p.280, 1962",B0048012,B0048,"(J,PR,128,280,1962)",1,1,0,114Cd,Cd,66,114,I,6.061009482299848,0.1319912140603417,Other,-90014.93199999999,0.276,8531.513,0.002,-1445.132,0.382,113903364.99,0.296,15582.71,0.25,18271.31,6.55,-4108.94,0.63,544.79,0.28,-13712.81,6.95,-8719.13,0.3,9042.97,0.14,10277.08,16.64,-8126.36,27.95,7279.59,2.44,3064.57,1.46,1617.36,0.75,-10277.08,-9042.97,-18791.5039,-16566.9379,-16749.2949,-18960.2594,-18271.31,-15582.71,-4108.94,-2227.4785,-10277.08,-9042.97,-6818.404,-9501.4765,-7100.915099999997,-11073.463500000002,-12930.4635,-10277.08,-8052.514,-9042.97,-10309.7089,-10553.2696,-2785.7409999999986,-4783.6056,-1463.7240000000004,11534.6494,9536.7849
97120,proton,All_or_Total,4,M,Other,Lab,4860000.0,119338.33353410938,0.0059,0.0005929649047136,0.0,0.0,Other,"J.-P.Blaser,ET.AL. (51)  ",B0048,12,No Pointer,48,"48-CD-114(P,N)49-IN-114-M,,SIG","Fonctions d`excitation de la reaction (p,n). I",1951,J.-P.Blaser+,2SWTETH,2019/01/00,"Jour. Physical Review Vol.128, p.280, 1962",B0048012,B0048,"(J,PR,128,280,1962)",1,1,0,114Cd,Cd,66,114,I,6.061009482299848,0.1319912140603417,Other,-90014.93199999999,0.276,8531.513,0.002,-1445.132,0.382,113903364.99,0.296,15582.71,0.25,18271.31,6.55,-4108.94,0.63,544.79,0.28,-13712.81,6.95,-8719.13,0.3,9042.97,0.14,10277.08,16.64,-8126.36,27.95,7279.59,2.44,3064.57,1.46,1617.36,0.75,-10277.08,-9042.97,-18791.5039,-16566.9379,-16749.2949,-18960.2594,-18271.31,-15582.71,-4108.94,-2227.4785,-10277.08,-9042.97,-6818.404,-9501.4765,-7100.915099999997,-11073.463500000002,-12930.4635,-10277.08,-8052.514,-9042.97,-10309.7089,-10553.2696,-2785.7409999999986,-4783.6056,-1463.7240000000004,11534.6494,9536.7849
97121,proton,All_or_Total,4,M,Other,Lab,5050000.0,124003.82393976388,0.0091,0.0009145729886262,0.0,0.0,Other,"J.-P.Blaser,ET.AL. (51)  ",B0048,12,No Pointer,48,"48-CD-114(P,N)49-IN-114-M,,SIG","Fonctions d`excitation de la reaction (p,n). I",1951,J.-P.Blaser+,2SWTETH,2019/01/00,"Jour. Physical Review Vol.128, p.280, 1962",B0048012,B0048,"(J,PR,128,280,1962)",1,1,0,114Cd,Cd,66,114,I,6.061009482299848,0.1319912140603417,Other,-90014.93199999999,0.276,8531.513,0.002,-1445.132,0.382,113903364.99,0.296,15582.71,0.25,18271.31,6.55,-4108.94,0.63,544.79,0.28,-13712.81,6.95,-8719.13,0.3,9042.97,0.14,10277.08,16.64,-8126.36,27.95,7279.59,2.44,3064.57,1.46,1617.36,0.75,-10277.08,-9042.97,-18791.5039,-16566.9379,-16749.2949,-18960.2594,-18271.31,-15582.71,-4108.94,-2227.4785,-10277.08,-9042.97,-6818.404,-9501.4765,-7100.915099999997,-11073.463500000002,-12930.4635,-10277.08,-8052.514,-9042.97,-10309.7089,-10553.2696,-2785.7409999999986,-4783.6056,-1463.7240000000004,11534.6494,9536.7849
97122,proton,All_or_Total,4,M,Other,Lab,5240000.0,128669.31434541834,0.012,0.0012060303146719,0.0,0.0,Other,"J.-P.Blaser,ET.AL. (51)  ",B0048,12,No Pointer,48,"48-CD-114(P,N)49-IN-114-M,,SIG","Fonctions d`excitation de la reaction (p,n). I",1951,J.-P.Blaser+,2SWTETH,2019/01/00,"Jour. Physical Review Vol.128, p.280, 1962",B0048012,B0048,"(J,PR,128,280,1962)",1,1,0,114Cd,Cd,66,114,I,6.061009482299848,0.1319912140603417,Other,-90014.93199999999,0.276,8531.513,0.002,-1445.132,0.382,113903364.99,0.296,15582.71,0.25,18271.31,6.55,-4108.94,0.63,544.79,0.28,-13712.81,6.95,-8719.13,0.3,9042.97,0.14,10277.08,16.64,-8126.36,27.95,7279.59,2.44,3064.57,1.46,1617.36,0.75,-10277.08,-9042.97,-18791.5039,-16566.9379,-16749.2949,-18960.2594,-18271.31,-15582.71,-4108.94,-2227.4785,-10277.08,-9042.97,-6818.404,-9501.4765,-7100.915099999997,-11073.463500000002,-12930.4635,-10277.08,-8052.514,-9042.97,-10309.7089,-10553.2696,-2785.7409999999986,-4783.6056,-1463.7240000000004,11534.6494,9536.7849
97123,proton,All_or_Total,4,M,Other,Lab,5410000.0,132843.70049784603,0.016,0.0016080404195625,0.0,0.0,Other,"J.-P.Blaser,ET.AL. (51)  ",B0048,12,No Pointer,48,"48-CD-114(P,N)49-IN-114-M,,SIG","Fonctions d`excitation de la reaction (p,n). I",1951,J.-P.Blaser+,2SWTETH,2019/01/00,"Jour. Physical Review Vol.128, p.280, 1962",B0048012,B0048,"(J,PR,128,280,1962)",1,1,0,114Cd,Cd,66,114,I,6.061009482299848,0.1319912140603417,Other,-90014.93199999999,0.276,8531.513,0.002,-1445.132,0.382,113903364.99,0.296,15582.71,0.25,18271.31,6.55,-4108.94,0.63,544.79,0.28,-13712.81,6.95,-8719.13,0.3,9042.97,0.14,10277.08,16.64,-8126.36,27.95,7279.59,2.44,3064.57,1.46,1617.36,0.75,-10277.08,-9042.97,-18791.5039,-16566.9379,-16749.2949,-18960.2594,-18271.31,-15582.71,-4108.94,-2227.4785,-10277.08,-9042.97,-6818.404,-9501.4765,-7100.915099999997,-11073.463500000002,-12930.4635,-10277.08,-8052.514,-9042.97,-10309.7089,-10553.2696,-2785.7409999999986,-4783.6056,-1463.7240000000004,11534.6494,9536.7849
