,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
97957,proton,All_or_Total,3,All_or_Total,Other,Lab,9250000.0,250000.0,0.645,0.085,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,14,No Pointer,49,"49-IN-0(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",D0314014,D0314,"(J,CJP,44,1847,66)",1,1,0,115In,In,66,115,N,6.078680163867849,0.1316075165058465,Other,-88893.0475,0.1159999999999999,8509.0815,0.001,1886.855,0.1249999999999999,114818000.0,0.1239999999999999,16067.22,0.28,17492.175,10.605,-3918.38,1.945,-1980.27,10.595,-11225.295,11.415,-6667.584999999999,0.125,7911.290000000001,0.26,7132.31,0.485,-11978.03,62.735,11346.865,0.295,5780.08,0.29,3558.625,9.53,-7132.31,-7911.290000000001,-14724.2289,-12499.6629,-14033.7849,-17018.9944,-17492.175,-16067.22,-3918.38,1104.5084999999997,-7132.31,-7911.290000000001,-5686.724,-7449.931499999999,-7585.425099999999,-7006.188500000002,-10442.9485,-7132.31,-4907.744000000001,-7911.290000000001,-6242.433900000002,-9774.1346,-1654.0610000000004,-1638.8356,1868.263,12666.3294,12681.5549
97958,proton,All_or_Total,3,All_or_Total,Other,Lab,9760000.0,240000.0,0.694,0.076,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,14,No Pointer,49,"49-IN-0(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",D0314014,D0314,"(J,CJP,44,1847,66)",1,1,0,115In,In,66,115,N,6.078680163867849,0.1316075165058465,Other,-88893.0475,0.1159999999999999,8509.0815,0.001,1886.855,0.1249999999999999,114818000.0,0.1239999999999999,16067.22,0.28,17492.175,10.605,-3918.38,1.945,-1980.27,10.595,-11225.295,11.415,-6667.584999999999,0.125,7911.290000000001,0.26,7132.31,0.485,-11978.03,62.735,11346.865,0.295,5780.08,0.29,3558.625,9.53,-7132.31,-7911.290000000001,-14724.2289,-12499.6629,-14033.7849,-17018.9944,-17492.175,-16067.22,-3918.38,1104.5084999999997,-7132.31,-7911.290000000001,-5686.724,-7449.931499999999,-7585.425099999999,-7006.188500000002,-10442.9485,-7132.31,-4907.744000000001,-7911.290000000001,-6242.433900000002,-9774.1346,-1654.0610000000004,-1638.8356,1868.263,12666.3294,12681.5549
97959,proton,All_or_Total,3,All_or_Total,Other,Lab,10270000.0,230000.0,0.777,0.067,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,14,No Pointer,49,"49-IN-0(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",D0314014,D0314,"(J,CJP,44,1847,66)",1,1,0,115In,In,66,115,N,6.078680163867849,0.1316075165058465,Other,-88893.0475,0.1159999999999999,8509.0815,0.001,1886.855,0.1249999999999999,114818000.0,0.1239999999999999,16067.22,0.28,17492.175,10.605,-3918.38,1.945,-1980.27,10.595,-11225.295,11.415,-6667.584999999999,0.125,7911.290000000001,0.26,7132.31,0.485,-11978.03,62.735,11346.865,0.295,5780.08,0.29,3558.625,9.53,-7132.31,-7911.290000000001,-14724.2289,-12499.6629,-14033.7849,-17018.9944,-17492.175,-16067.22,-3918.38,1104.5084999999997,-7132.31,-7911.290000000001,-5686.724,-7449.931499999999,-7585.425099999999,-7006.188500000002,-10442.9485,-7132.31,-4907.744000000001,-7911.290000000001,-6242.433900000002,-9774.1346,-1654.0610000000004,-1638.8356,1868.263,12666.3294,12681.5549
97960,proton,All_or_Total,3,All_or_Total,Other,Lab,10780000.0,220000.0,0.807,0.06,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,14,No Pointer,49,"49-IN-0(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",D0314014,D0314,"(J,CJP,44,1847,66)",1,1,0,115In,In,66,115,N,6.078680163867849,0.1316075165058465,Other,-88893.0475,0.1159999999999999,8509.0815,0.001,1886.855,0.1249999999999999,114818000.0,0.1239999999999999,16067.22,0.28,17492.175,10.605,-3918.38,1.945,-1980.27,10.595,-11225.295,11.415,-6667.584999999999,0.125,7911.290000000001,0.26,7132.31,0.485,-11978.03,62.735,11346.865,0.295,5780.08,0.29,3558.625,9.53,-7132.31,-7911.290000000001,-14724.2289,-12499.6629,-14033.7849,-17018.9944,-17492.175,-16067.22,-3918.38,1104.5084999999997,-7132.31,-7911.290000000001,-5686.724,-7449.931499999999,-7585.425099999999,-7006.188500000002,-10442.9485,-7132.31,-4907.744000000001,-7911.290000000001,-6242.433900000002,-9774.1346,-1654.0610000000004,-1638.8356,1868.263,12666.3294,12681.5549
97961,proton,All_or_Total,3,All_or_Total,Other,Lab,99300000.0,1798798.1983864126,1.275,0.0357,0.0,0.0,Other,"P.KIRKBY,ET.AL. (66)     ",O0340,22,No Pointer,49,"49-IN-0(P,NON),,SIG,,,EXP",Faraday-Cup Measurement of Proton Total Reaction Cross Sections at 100 MeV.,1966,P.Kirkby+,1CANMCG,1997/06/05,"Jour. Arkiv foer Fysik Vol.19, p.527, 1961",O0340022,O0340,"(J,AF,19,527,1961)",1,1,0,115In,In,66,115,N,6.078680163867849,0.1316075165058465,Other,-88893.0475,0.1159999999999999,8509.0815,0.001,1886.855,0.1249999999999999,114818000.0,0.1239999999999999,16067.22,0.28,17492.175,10.605,-3918.38,1.945,-1980.27,10.595,-11225.295,11.415,-6667.584999999999,0.125,7911.290000000001,0.26,7132.31,0.485,-11978.03,62.735,11346.865,0.295,5780.08,0.29,3558.625,9.53,-7132.31,-7911.290000000001,-14724.2289,-12499.6629,-14033.7849,-17018.9944,-17492.175,-16067.22,-3918.38,1104.5084999999997,-7132.31,-7911.290000000001,-5686.724,-7449.931499999999,-7585.425099999999,-7006.188500000002,-10442.9485,-7132.31,-4907.744000000001,-7911.290000000001,-6242.433900000002,-9774.1346,-1654.0610000000004,-1638.8356,1868.263,12666.3294,12681.5549
97962,proton,All_or_Total,3,All_or_Total,Other,Lab,179600000.0,3253415.4726102687,1.165,0.034,0.0,0.0,Other,"A.Johansson,ET.AL. (61)  ",D0533,8,No Pointer,49,"49-IN-0(P,NON),,SIG",Total nuclear reaction cross sections for 180 MeV protons,1961,A.Johansson+,2SWDUPP,2013/06/00,"Jour. Physical Review Vol.169, p.974, 1968",D0533008,D0533,"(J,PR,169,974,1968)",1,1,0,115In,In,66,115,N,6.078680163867849,0.1316075165058465,Other,-88893.0475,0.1159999999999999,8509.0815,0.001,1886.855,0.1249999999999999,114818000.0,0.1239999999999999,16067.22,0.28,17492.175,10.605,-3918.38,1.945,-1980.27,10.595,-11225.295,11.415,-6667.584999999999,0.125,7911.290000000001,0.26,7132.31,0.485,-11978.03,62.735,11346.865,0.295,5780.08,0.29,3558.625,9.53,-7132.31,-7911.290000000001,-14724.2289,-12499.6629,-14033.7849,-17018.9944,-17492.175,-16067.22,-3918.38,1104.5084999999997,-7132.31,-7911.290000000001,-5686.724,-7449.931499999999,-7585.425099999999,-7006.188500000002,-10442.9485,-7132.31,-4907.744000000001,-7911.290000000001,-6242.433900000002,-9774.1346,-1654.0610000000004,-1638.8356,1868.263,12666.3294,12681.5549
97963,proton,All_or_Total,4,All_or_Total,Other,Lab,2581000.0,63377.00387891693,1.19e-05,1.1959800620496649e-06,0.0,0.0,Other,"C.H.Johnson,ET.AL. (68)  ",C0775,4,No Pointer,49,"49-IN-0(P,N),,SIG","Use of the (p,n) Reaction to Measure Proton Atomic Stopping Powers in Ag, Cd, In, and Sn",1968,C.H.Johnson+,1USAORL,2001/01/02,"Jour. Physical Review Vol.115, p.925, 1959",C0775004,C0775,"(J,PR,115,925,195908)",1,1,0,115In,In,66,115,N,6.078680163867849,0.1316075165058465,Other,-88893.0475,0.1159999999999999,8509.0815,0.001,1886.855,0.1249999999999999,114818000.0,0.1239999999999999,16067.22,0.28,17492.175,10.605,-3918.38,1.945,-1980.27,10.595,-11225.295,11.415,-6667.584999999999,0.125,7911.290000000001,0.26,7132.31,0.485,-11978.03,62.735,11346.865,0.295,5780.08,0.29,3558.625,9.53,-7132.31,-7911.290000000001,-14724.2289,-12499.6629,-14033.7849,-17018.9944,-17492.175,-16067.22,-3918.38,1104.5084999999997,-7132.31,-7911.290000000001,-5686.724,-7449.931499999999,-7585.425099999999,-7006.188500000002,-10442.9485,-7132.31,-4907.744000000001,-7911.290000000001,-6242.433900000002,-9774.1346,-1654.0610000000004,-1638.8356,1868.263,12666.3294,12681.5549
97964,proton,All_or_Total,4,All_or_Total,Other,Lab,2803000.0,68828.26108973428,3.5e-05,3.517588417793131e-06,0.0,0.0,Other,"C.H.Johnson,ET.AL. (68)  ",C0775,4,No Pointer,49,"49-IN-0(P,N),,SIG","Use of the (p,n) Reaction to Measure Proton Atomic Stopping Powers in Ag, Cd, In, and Sn",1968,C.H.Johnson+,1USAORL,2001/01/02,"Jour. Physical Review Vol.115, p.925, 1959",C0775004,C0775,"(J,PR,115,925,195908)",1,1,0,115In,In,66,115,N,6.078680163867849,0.1316075165058465,Other,-88893.0475,0.1159999999999999,8509.0815,0.001,1886.855,0.1249999999999999,114818000.0,0.1239999999999999,16067.22,0.28,17492.175,10.605,-3918.38,1.945,-1980.27,10.595,-11225.295,11.415,-6667.584999999999,0.125,7911.290000000001,0.26,7132.31,0.485,-11978.03,62.735,11346.865,0.295,5780.08,0.29,3558.625,9.53,-7132.31,-7911.290000000001,-14724.2289,-12499.6629,-14033.7849,-17018.9944,-17492.175,-16067.22,-3918.38,1104.5084999999997,-7132.31,-7911.290000000001,-5686.724,-7449.931499999999,-7585.425099999999,-7006.188500000002,-10442.9485,-7132.31,-4907.744000000001,-7911.290000000001,-6242.433900000002,-9774.1346,-1654.0610000000004,-1638.8356,1868.263,12666.3294,12681.5549
97965,proton,All_or_Total,4,All_or_Total,Other,Lab,2941000.0,72216.88043699911,6.6e-05,6.63316673069562e-06,0.0,0.0,Other,"C.H.Johnson,ET.AL. (68)  ",C0775,4,No Pointer,49,"49-IN-0(P,N),,SIG","Use of the (p,n) Reaction to Measure Proton Atomic Stopping Powers in Ag, Cd, In, and Sn",1968,C.H.Johnson+,1USAORL,2001/01/02,"Jour. Physical Review Vol.115, p.925, 1959",C0775004,C0775,"(J,PR,115,925,195908)",1,1,0,115In,In,66,115,N,6.078680163867849,0.1316075165058465,Other,-88893.0475,0.1159999999999999,8509.0815,0.001,1886.855,0.1249999999999999,114818000.0,0.1239999999999999,16067.22,0.28,17492.175,10.605,-3918.38,1.945,-1980.27,10.595,-11225.295,11.415,-6667.584999999999,0.125,7911.290000000001,0.26,7132.31,0.485,-11978.03,62.735,11346.865,0.295,5780.08,0.29,3558.625,9.53,-7132.31,-7911.290000000001,-14724.2289,-12499.6629,-14033.7849,-17018.9944,-17492.175,-16067.22,-3918.38,1104.5084999999997,-7132.31,-7911.290000000001,-5686.724,-7449.931499999999,-7585.425099999999,-7006.188500000002,-10442.9485,-7132.31,-4907.744000000001,-7911.290000000001,-6242.433900000002,-9774.1346,-1654.0610000000004,-1638.8356,1868.263,12666.3294,12681.5549
97966,proton,All_or_Total,4,All_or_Total,Other,Lab,3034000.0,74500.51521450367,0.0001,1.005025262226609e-05,0.0,0.0,Other,"C.H.Johnson,ET.AL. (68)  ",C0775,4,No Pointer,49,"49-IN-0(P,N),,SIG","Use of the (p,n) Reaction to Measure Proton Atomic Stopping Powers in Ag, Cd, In, and Sn",1968,C.H.Johnson+,1USAORL,2001/01/02,"Jour. Physical Review Vol.115, p.925, 1959",C0775004,C0775,"(J,PR,115,925,195908)",1,1,0,115In,In,66,115,N,6.078680163867849,0.1316075165058465,Other,-88893.0475,0.1159999999999999,8509.0815,0.001,1886.855,0.1249999999999999,114818000.0,0.1239999999999999,16067.22,0.28,17492.175,10.605,-3918.38,1.945,-1980.27,10.595,-11225.295,11.415,-6667.584999999999,0.125,7911.290000000001,0.26,7132.31,0.485,-11978.03,62.735,11346.865,0.295,5780.08,0.29,3558.625,9.53,-7132.31,-7911.290000000001,-14724.2289,-12499.6629,-14033.7849,-17018.9944,-17492.175,-16067.22,-3918.38,1104.5084999999997,-7132.31,-7911.290000000001,-5686.724,-7449.931499999999,-7585.425099999999,-7006.188500000002,-10442.9485,-7132.31,-4907.744000000001,-7911.290000000001,-6242.433900000002,-9774.1346,-1654.0610000000004,-1638.8356,1868.263,12666.3294,12681.5549
