,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
3897,proton,All_or_Total,3,All_or_Total,Other,Lab,47400000.0,75000.0,0.346,0.013,0.0,0.0,Other,"T.N.NASR,ET.AL. (78)     ",O0746,3,No Pointer,5,"5-B-0(P,NON),,SIG",Measurements of the Total Reaction Cross Section For Protons on Ti and B Between 20 and 50 MeV.,1978,T.N.Nasr+,1CANMNA,2000/04/04,"Jour. Canadian Journal of Physics Vol.56, p.56, 1978",O0746003,O0746,"(J,CJP,56,56,1978)",1,1,0,11B,B,6,11,N,2.779975113211644,0.2877723603344699,Other,11018.552,0.6665,6779.477500000001,0.0555,5693.854,0.6910000000000001,10811000.0,0.7155,17357.635,1.11,32563.155,6.49,-9332.815,0.665,-9802.26,23.905,-33160.86,7.09,-10226.8,0.6950000000000001,7411.924999999999,0.67,12662.745,0.71,-35608.929083404146,-536.7372621034906,9751.385,0.7,7737.545,0.68,-6285.4,0.6900000000000001,-12662.745,-7411.924999999999,-16319.7089,-14095.1429,-12076.3199,-26863.0194,-32563.155,-17357.635,-9332.815,4911.5075,-12662.745,-7411.924999999999,-5187.359,-11009.1465,-8875.840099999998,-8601.668500000002,-32378.5135,-12662.745,-10438.179,-7411.924999999999,-7837.913900000001,-24845.1146,-1154.6959999999997,-7169.2706,5675.261999999998,13165.6944,7151.1199000000015
3898,proton,All_or_Total,3,All_or_Total,Other,Lab,44800000.0,75000.0,0.356,0.013,0.0,0.0,Other,"T.N.NASR,ET.AL. (78)     ",O0746,3,No Pointer,5,"5-B-0(P,NON),,SIG",Measurements of the Total Reaction Cross Section For Protons on Ti and B Between 20 and 50 MeV.,1978,T.N.Nasr+,1CANMNA,2000/04/04,"Jour. Canadian Journal of Physics Vol.56, p.56, 1978",O0746003,O0746,"(J,CJP,56,56,1978)",1,1,0,11B,B,6,11,N,2.779975113211644,0.2877723603344699,Other,11018.552,0.6665,6779.477500000001,0.0555,5693.854,0.6910000000000001,10811000.0,0.7155,17357.635,1.11,32563.155,6.49,-9332.815,0.665,-9802.26,23.905,-33160.86,7.09,-10226.8,0.6950000000000001,7411.924999999999,0.67,12662.745,0.71,-35608.929083404146,-536.7372621034906,9751.385,0.7,7737.545,0.68,-6285.4,0.6900000000000001,-12662.745,-7411.924999999999,-16319.7089,-14095.1429,-12076.3199,-26863.0194,-32563.155,-17357.635,-9332.815,4911.5075,-12662.745,-7411.924999999999,-5187.359,-11009.1465,-8875.840099999998,-8601.668500000002,-32378.5135,-12662.745,-10438.179,-7411.924999999999,-7837.913900000001,-24845.1146,-1154.6959999999997,-7169.2706,5675.261999999998,13165.6944,7151.1199000000015
3899,proton,All_or_Total,3,All_or_Total,Other,Lab,39800000.0,75000.0,0.388,0.013,0.0,0.0,Other,"T.N.NASR,ET.AL. (78)     ",O0746,3,No Pointer,5,"5-B-0(P,NON),,SIG",Measurements of the Total Reaction Cross Section For Protons on Ti and B Between 20 and 50 MeV.,1978,T.N.Nasr+,1CANMNA,2000/04/04,"Jour. Canadian Journal of Physics Vol.56, p.56, 1978",O0746003,O0746,"(J,CJP,56,56,1978)",1,1,0,11B,B,6,11,N,2.779975113211644,0.2877723603344699,Other,11018.552,0.6665,6779.477500000001,0.0555,5693.854,0.6910000000000001,10811000.0,0.7155,17357.635,1.11,32563.155,6.49,-9332.815,0.665,-9802.26,23.905,-33160.86,7.09,-10226.8,0.6950000000000001,7411.924999999999,0.67,12662.745,0.71,-35608.929083404146,-536.7372621034906,9751.385,0.7,7737.545,0.68,-6285.4,0.6900000000000001,-12662.745,-7411.924999999999,-16319.7089,-14095.1429,-12076.3199,-26863.0194,-32563.155,-17357.635,-9332.815,4911.5075,-12662.745,-7411.924999999999,-5187.359,-11009.1465,-8875.840099999998,-8601.668500000002,-32378.5135,-12662.745,-10438.179,-7411.924999999999,-7837.913900000001,-24845.1146,-1154.6959999999997,-7169.2706,5675.261999999998,13165.6944,7151.1199000000015
3900,proton,All_or_Total,3,All_or_Total,Other,Lab,34800000.0,75000.0,0.424,0.013,0.0,0.0,Other,"T.N.NASR,ET.AL. (78)     ",O0746,3,No Pointer,5,"5-B-0(P,NON),,SIG",Measurements of the Total Reaction Cross Section For Protons on Ti and B Between 20 and 50 MeV.,1978,T.N.Nasr+,1CANMNA,2000/04/04,"Jour. Canadian Journal of Physics Vol.56, p.56, 1978",O0746003,O0746,"(J,CJP,56,56,1978)",1,1,0,11B,B,6,11,N,2.779975113211644,0.2877723603344699,Other,11018.552,0.6665,6779.477500000001,0.0555,5693.854,0.6910000000000001,10811000.0,0.7155,17357.635,1.11,32563.155,6.49,-9332.815,0.665,-9802.26,23.905,-33160.86,7.09,-10226.8,0.6950000000000001,7411.924999999999,0.67,12662.745,0.71,-35608.929083404146,-536.7372621034906,9751.385,0.7,7737.545,0.68,-6285.4,0.6900000000000001,-12662.745,-7411.924999999999,-16319.7089,-14095.1429,-12076.3199,-26863.0194,-32563.155,-17357.635,-9332.815,4911.5075,-12662.745,-7411.924999999999,-5187.359,-11009.1465,-8875.840099999998,-8601.668500000002,-32378.5135,-12662.745,-10438.179,-7411.924999999999,-7837.913900000001,-24845.1146,-1154.6959999999997,-7169.2706,5675.261999999998,13165.6944,7151.1199000000015
3901,proton,All_or_Total,3,All_or_Total,Other,Lab,29800000.0,75000.0,0.458,0.016,0.0,0.0,Other,"T.N.NASR,ET.AL. (78)     ",O0746,3,No Pointer,5,"5-B-0(P,NON),,SIG",Measurements of the Total Reaction Cross Section For Protons on Ti and B Between 20 and 50 MeV.,1978,T.N.Nasr+,1CANMNA,2000/04/04,"Jour. Canadian Journal of Physics Vol.56, p.56, 1978",O0746003,O0746,"(J,CJP,56,56,1978)",1,1,0,11B,B,6,11,N,2.779975113211644,0.2877723603344699,Other,11018.552,0.6665,6779.477500000001,0.0555,5693.854,0.6910000000000001,10811000.0,0.7155,17357.635,1.11,32563.155,6.49,-9332.815,0.665,-9802.26,23.905,-33160.86,7.09,-10226.8,0.6950000000000001,7411.924999999999,0.67,12662.745,0.71,-35608.929083404146,-536.7372621034906,9751.385,0.7,7737.545,0.68,-6285.4,0.6900000000000001,-12662.745,-7411.924999999999,-16319.7089,-14095.1429,-12076.3199,-26863.0194,-32563.155,-17357.635,-9332.815,4911.5075,-12662.745,-7411.924999999999,-5187.359,-11009.1465,-8875.840099999998,-8601.668500000002,-32378.5135,-12662.745,-10438.179,-7411.924999999999,-7837.913900000001,-24845.1146,-1154.6959999999997,-7169.2706,5675.261999999998,13165.6944,7151.1199000000015
3902,proton,All_or_Total,3,All_or_Total,Other,Lab,24800000.0,75000.0,0.509,0.018,0.0,0.0,Other,"T.N.NASR,ET.AL. (78)     ",O0746,3,No Pointer,5,"5-B-0(P,NON),,SIG",Measurements of the Total Reaction Cross Section For Protons on Ti and B Between 20 and 50 MeV.,1978,T.N.Nasr+,1CANMNA,2000/04/04,"Jour. Canadian Journal of Physics Vol.56, p.56, 1978",O0746003,O0746,"(J,CJP,56,56,1978)",1,1,0,11B,B,6,11,N,2.779975113211644,0.2877723603344699,Other,11018.552,0.6665,6779.477500000001,0.0555,5693.854,0.6910000000000001,10811000.0,0.7155,17357.635,1.11,32563.155,6.49,-9332.815,0.665,-9802.26,23.905,-33160.86,7.09,-10226.8,0.6950000000000001,7411.924999999999,0.67,12662.745,0.71,-35608.929083404146,-536.7372621034906,9751.385,0.7,7737.545,0.68,-6285.4,0.6900000000000001,-12662.745,-7411.924999999999,-16319.7089,-14095.1429,-12076.3199,-26863.0194,-32563.155,-17357.635,-9332.815,4911.5075,-12662.745,-7411.924999999999,-5187.359,-11009.1465,-8875.840099999998,-8601.668500000002,-32378.5135,-12662.745,-10438.179,-7411.924999999999,-7837.913900000001,-24845.1146,-1154.6959999999997,-7169.2706,5675.261999999998,13165.6944,7151.1199000000015
3903,proton,All_or_Total,3,All_or_Total,Other,Lab,22200000.0,75000.0,0.535,0.019,0.0,0.0,Other,"T.N.NASR,ET.AL. (78)     ",O0746,3,No Pointer,5,"5-B-0(P,NON),,SIG",Measurements of the Total Reaction Cross Section For Protons on Ti and B Between 20 and 50 MeV.,1978,T.N.Nasr+,1CANMNA,2000/04/04,"Jour. Canadian Journal of Physics Vol.56, p.56, 1978",O0746003,O0746,"(J,CJP,56,56,1978)",1,1,0,11B,B,6,11,N,2.779975113211644,0.2877723603344699,Other,11018.552,0.6665,6779.477500000001,0.0555,5693.854,0.6910000000000001,10811000.0,0.7155,17357.635,1.11,32563.155,6.49,-9332.815,0.665,-9802.26,23.905,-33160.86,7.09,-10226.8,0.6950000000000001,7411.924999999999,0.67,12662.745,0.71,-35608.929083404146,-536.7372621034906,9751.385,0.7,7737.545,0.68,-6285.4,0.6900000000000001,-12662.745,-7411.924999999999,-16319.7089,-14095.1429,-12076.3199,-26863.0194,-32563.155,-17357.635,-9332.815,4911.5075,-12662.745,-7411.924999999999,-5187.359,-11009.1465,-8875.840099999998,-8601.668500000002,-32378.5135,-12662.745,-10438.179,-7411.924999999999,-7837.913900000001,-24845.1146,-1154.6959999999997,-7169.2706,5675.261999999998,13165.6944,7151.1199000000015
3904,proton,All_or_Total,3,All_or_Total,Other,Lab,19200000.0,75000.0,0.576,0.023,0.0,0.0,Other,"T.N.NASR,ET.AL. (78)     ",O0746,3,No Pointer,5,"5-B-0(P,NON),,SIG",Measurements of the Total Reaction Cross Section For Protons on Ti and B Between 20 and 50 MeV.,1978,T.N.Nasr+,1CANMNA,2000/04/04,"Jour. Canadian Journal of Physics Vol.56, p.56, 1978",O0746003,O0746,"(J,CJP,56,56,1978)",1,1,0,11B,B,6,11,N,2.779975113211644,0.2877723603344699,Other,11018.552,0.6665,6779.477500000001,0.0555,5693.854,0.6910000000000001,10811000.0,0.7155,17357.635,1.11,32563.155,6.49,-9332.815,0.665,-9802.26,23.905,-33160.86,7.09,-10226.8,0.6950000000000001,7411.924999999999,0.67,12662.745,0.71,-35608.929083404146,-536.7372621034906,9751.385,0.7,7737.545,0.68,-6285.4,0.6900000000000001,-12662.745,-7411.924999999999,-16319.7089,-14095.1429,-12076.3199,-26863.0194,-32563.155,-17357.635,-9332.815,4911.5075,-12662.745,-7411.924999999999,-5187.359,-11009.1465,-8875.840099999998,-8601.668500000002,-32378.5135,-12662.745,-10438.179,-7411.924999999999,-7837.913900000001,-24845.1146,-1154.6959999999997,-7169.2706,5675.261999999998,13165.6944,7151.1199000000015
3905,proton,All_or_Total,3,All_or_Total,Other,Lab,565000000.0,10234853.79746549,1.087,0.025,0.0,0.0,Other,"P.U.RENBERG,ET.AL. (72)  ",O0213,12,1,5,"5-B-CMP(P,NON),,SIG,,,EXP",Reaction Cross Sections For Protons in the Energy Range 220-570 MeV.,1972,P.U.Renberg+,2ZZZCER,1997/06/02,"Jour. Nuclear Physics, Section A Vol.183, p.81, 1972",O02130121,O0213,"(J,NP/A,183,81,72)",1,1,0,11B,B,6,11,N,2.779975113211644,0.2877723603344699,Other,11018.552,0.6665,6779.477500000001,0.0555,5693.854,0.6910000000000001,10811000.0,0.7155,17357.635,1.11,32563.155,6.49,-9332.815,0.665,-9802.26,23.905,-33160.86,7.09,-10226.8,0.6950000000000001,7411.924999999999,0.67,12662.745,0.71,-35608.929083404146,-536.7372621034906,9751.385,0.7,7737.545,0.68,-6285.4,0.6900000000000001,-12662.745,-7411.924999999999,-16319.7089,-14095.1429,-12076.3199,-26863.0194,-32563.155,-17357.635,-9332.815,4911.5075,-12662.745,-7411.924999999999,-5187.359,-11009.1465,-8875.840099999998,-8601.668500000002,-32378.5135,-12662.745,-10438.179,-7411.924999999999,-7837.913900000001,-24845.1146,-1154.6959999999997,-7169.2706,5675.261999999998,13165.6944,7151.1199000000015
3906,proton,All_or_Total,3,All_or_Total,Other,Lab,497000000.0,9003048.384673184,1.07,0.024,0.0,0.0,Other,"P.U.RENBERG,ET.AL. (72)  ",O0213,12,1,5,"5-B-CMP(P,NON),,SIG,,,EXP",Reaction Cross Sections For Protons in the Energy Range 220-570 MeV.,1972,P.U.Renberg+,2ZZZCER,1997/06/02,"Jour. Nuclear Physics, Section A Vol.183, p.81, 1972",O02130121,O0213,"(J,NP/A,183,81,72)",1,1,0,11B,B,6,11,N,2.779975113211644,0.2877723603344699,Other,11018.552,0.6665,6779.477500000001,0.0555,5693.854,0.6910000000000001,10811000.0,0.7155,17357.635,1.11,32563.155,6.49,-9332.815,0.665,-9802.26,23.905,-33160.86,7.09,-10226.8,0.6950000000000001,7411.924999999999,0.67,12662.745,0.71,-35608.929083404146,-536.7372621034906,9751.385,0.7,7737.545,0.68,-6285.4,0.6900000000000001,-12662.745,-7411.924999999999,-16319.7089,-14095.1429,-12076.3199,-26863.0194,-32563.155,-17357.635,-9332.815,4911.5075,-12662.745,-7411.924999999999,-5187.359,-11009.1465,-8875.840099999998,-8601.668500000002,-32378.5135,-12662.745,-10438.179,-7411.924999999999,-7837.913900000001,-24845.1146,-1154.6959999999997,-7169.2706,5675.261999999998,13165.6944,7151.1199000000015
