,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
101268,proton,All_or_Total,4,M,Other,Lab,4200000.0,103131.8931776254,0.003,0.0007,0.0,0.0,Other,"V.G.Batii,ET.AL. (84)    ",A0207,3,A,51,"51-SB-123(P,N)52-TE-123-M,,SIG","Excitation functions of Sb-121(p,n)Te-121-m,g and Sb-123(p,n)Te-123-m reactions.",1984,V.G.Batii+,4UKRKFT,2014/08/05,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.562, p.717, 2006",A0207003A,A0207,"(J,NIM/A,562,717,2006)",1,1,0,123Sb,Sb,72,123,I,6.216487291585738,0.1286900402873551,Other,-89224.069,1.506,8472.328000000001,0.012,-51.913,0.066,122904214.016,1.616,15766.38,2.13,17966.04,27.44,-3949.7,7.44,-1280.34,3.45,-12940.3,50.07,-6980.93,0.1,8960.02,2.13,6571.71,2.66,-8180.42,12.2,10684.0,1.7,6738.35,1.67,2150.7,40.03,-6571.71,-8960.02,-15387.0939,-13162.5279,-13075.5149,-18426.9194,-17966.04,-15766.38,-3949.7,-834.2595,-6571.71,-8960.02,-6735.4540000000015,-7763.2765,-7284.585099999997,-7669.053500000003,-12157.9535,-6571.71,-4347.144,-8960.02,-6905.2989000000025,-10247.9996,-2702.791,-1078.2356,-70.505,11617.5994,13242.1549
101269,proton,All_or_Total,4,M,Other,Lab,5200000.0,127687.10583896477,0.017,0.0021,0.0,0.0,Other,"V.G.Batii,ET.AL. (84)    ",A0207,3,A,51,"51-SB-123(P,N)52-TE-123-M,,SIG","Excitation functions of Sb-121(p,n)Te-121-m,g and Sb-123(p,n)Te-123-m reactions.",1984,V.G.Batii+,4UKRKFT,2014/08/05,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.562, p.717, 2006",A0207003A,A0207,"(J,NIM/A,562,717,2006)",1,1,0,123Sb,Sb,72,123,I,6.216487291585738,0.1286900402873551,Other,-89224.069,1.506,8472.328000000001,0.012,-51.913,0.066,122904214.016,1.616,15766.38,2.13,17966.04,27.44,-3949.7,7.44,-1280.34,3.45,-12940.3,50.07,-6980.93,0.1,8960.02,2.13,6571.71,2.66,-8180.42,12.2,10684.0,1.7,6738.35,1.67,2150.7,40.03,-6571.71,-8960.02,-15387.0939,-13162.5279,-13075.5149,-18426.9194,-17966.04,-15766.38,-3949.7,-834.2595,-6571.71,-8960.02,-6735.4540000000015,-7763.2765,-7284.585099999997,-7669.053500000003,-12157.9535,-6571.71,-4347.144,-8960.02,-6905.2989000000025,-10247.9996,-2702.791,-1078.2356,-70.505,11617.5994,13242.1549
101270,proton,All_or_Total,4,M,Other,Lab,6100000.0,149786.79723417023,0.0397,0.0045,0.0,0.0,Other,"V.G.Batii,ET.AL. (84)    ",A0207,3,A,51,"51-SB-123(P,N)52-TE-123-M,,SIG","Excitation functions of Sb-121(p,n)Te-121-m,g and Sb-123(p,n)Te-123-m reactions.",1984,V.G.Batii+,4UKRKFT,2014/08/05,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.562, p.717, 2006",A0207003A,A0207,"(J,NIM/A,562,717,2006)",1,1,0,123Sb,Sb,72,123,I,6.216487291585738,0.1286900402873551,Other,-89224.069,1.506,8472.328000000001,0.012,-51.913,0.066,122904214.016,1.616,15766.38,2.13,17966.04,27.44,-3949.7,7.44,-1280.34,3.45,-12940.3,50.07,-6980.93,0.1,8960.02,2.13,6571.71,2.66,-8180.42,12.2,10684.0,1.7,6738.35,1.67,2150.7,40.03,-6571.71,-8960.02,-15387.0939,-13162.5279,-13075.5149,-18426.9194,-17966.04,-15766.38,-3949.7,-834.2595,-6571.71,-8960.02,-6735.4540000000015,-7763.2765,-7284.585099999997,-7669.053500000003,-12157.9535,-6571.71,-4347.144,-8960.02,-6905.2989000000025,-10247.9996,-2702.791,-1078.2356,-70.505,11617.5994,13242.1549
101271,proton,All_or_Total,4,M,Other,Lab,6900000.0,169430.9673632417,0.061,0.007,0.0,0.0,Other,"V.G.Batii,ET.AL. (84)    ",A0207,3,A,51,"51-SB-123(P,N)52-TE-123-M,,SIG","Excitation functions of Sb-121(p,n)Te-121-m,g and Sb-123(p,n)Te-123-m reactions.",1984,V.G.Batii+,4UKRKFT,2014/08/05,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.562, p.717, 2006",A0207003A,A0207,"(J,NIM/A,562,717,2006)",1,1,0,123Sb,Sb,72,123,I,6.216487291585738,0.1286900402873551,Other,-89224.069,1.506,8472.328000000001,0.012,-51.913,0.066,122904214.016,1.616,15766.38,2.13,17966.04,27.44,-3949.7,7.44,-1280.34,3.45,-12940.3,50.07,-6980.93,0.1,8960.02,2.13,6571.71,2.66,-8180.42,12.2,10684.0,1.7,6738.35,1.67,2150.7,40.03,-6571.71,-8960.02,-15387.0939,-13162.5279,-13075.5149,-18426.9194,-17966.04,-15766.38,-3949.7,-834.2595,-6571.71,-8960.02,-6735.4540000000015,-7763.2765,-7284.585099999997,-7669.053500000003,-12157.9535,-6571.71,-4347.144,-8960.02,-6905.2989000000025,-10247.9996,-2702.791,-1078.2356,-70.505,11617.5994,13242.1549
101272,proton,All_or_Total,4,M,Other,Lab,7600000.0,186619.6162261793,0.109,0.012,0.0,0.0,Other,"V.G.Batii,ET.AL. (84)    ",A0207,3,A,51,"51-SB-123(P,N)52-TE-123-M,,SIG","Excitation functions of Sb-121(p,n)Te-121-m,g and Sb-123(p,n)Te-123-m reactions.",1984,V.G.Batii+,4UKRKFT,2014/08/05,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.562, p.717, 2006",A0207003A,A0207,"(J,NIM/A,562,717,2006)",1,1,0,123Sb,Sb,72,123,I,6.216487291585738,0.1286900402873551,Other,-89224.069,1.506,8472.328000000001,0.012,-51.913,0.066,122904214.016,1.616,15766.38,2.13,17966.04,27.44,-3949.7,7.44,-1280.34,3.45,-12940.3,50.07,-6980.93,0.1,8960.02,2.13,6571.71,2.66,-8180.42,12.2,10684.0,1.7,6738.35,1.67,2150.7,40.03,-6571.71,-8960.02,-15387.0939,-13162.5279,-13075.5149,-18426.9194,-17966.04,-15766.38,-3949.7,-834.2595,-6571.71,-8960.02,-6735.4540000000015,-7763.2765,-7284.585099999997,-7669.053500000003,-12157.9535,-6571.71,-4347.144,-8960.02,-6905.2989000000025,-10247.9996,-2702.791,-1078.2356,-70.505,11617.5994,13242.1549
101273,proton,All_or_Total,4,M,Other,Lab,8300000.0,203808.26508911685,0.143,0.016,0.0,0.0,Other,"V.G.Batii,ET.AL. (84)    ",A0207,3,A,51,"51-SB-123(P,N)52-TE-123-M,,SIG","Excitation functions of Sb-121(p,n)Te-121-m,g and Sb-123(p,n)Te-123-m reactions.",1984,V.G.Batii+,4UKRKFT,2014/08/05,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.562, p.717, 2006",A0207003A,A0207,"(J,NIM/A,562,717,2006)",1,1,0,123Sb,Sb,72,123,I,6.216487291585738,0.1286900402873551,Other,-89224.069,1.506,8472.328000000001,0.012,-51.913,0.066,122904214.016,1.616,15766.38,2.13,17966.04,27.44,-3949.7,7.44,-1280.34,3.45,-12940.3,50.07,-6980.93,0.1,8960.02,2.13,6571.71,2.66,-8180.42,12.2,10684.0,1.7,6738.35,1.67,2150.7,40.03,-6571.71,-8960.02,-15387.0939,-13162.5279,-13075.5149,-18426.9194,-17966.04,-15766.38,-3949.7,-834.2595,-6571.71,-8960.02,-6735.4540000000015,-7763.2765,-7284.585099999997,-7669.053500000003,-12157.9535,-6571.71,-4347.144,-8960.02,-6905.2989000000025,-10247.9996,-2702.791,-1078.2356,-70.505,11617.5994,13242.1549
101274,proton,All_or_Total,4,M,Other,Lab,9000000.0,220996.9139520544,0.172,0.019,0.0,0.0,Other,"V.G.Batii,ET.AL. (84)    ",A0207,3,A,51,"51-SB-123(P,N)52-TE-123-M,,SIG","Excitation functions of Sb-121(p,n)Te-121-m,g and Sb-123(p,n)Te-123-m reactions.",1984,V.G.Batii+,4UKRKFT,2014/08/05,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.562, p.717, 2006",A0207003A,A0207,"(J,NIM/A,562,717,2006)",1,1,0,123Sb,Sb,72,123,I,6.216487291585738,0.1286900402873551,Other,-89224.069,1.506,8472.328000000001,0.012,-51.913,0.066,122904214.016,1.616,15766.38,2.13,17966.04,27.44,-3949.7,7.44,-1280.34,3.45,-12940.3,50.07,-6980.93,0.1,8960.02,2.13,6571.71,2.66,-8180.42,12.2,10684.0,1.7,6738.35,1.67,2150.7,40.03,-6571.71,-8960.02,-15387.0939,-13162.5279,-13075.5149,-18426.9194,-17966.04,-15766.38,-3949.7,-834.2595,-6571.71,-8960.02,-6735.4540000000015,-7763.2765,-7284.585099999997,-7669.053500000003,-12157.9535,-6571.71,-4347.144,-8960.02,-6905.2989000000025,-10247.9996,-2702.791,-1078.2356,-70.505,11617.5994,13242.1549
101275,proton,All_or_Total,4,M,Other,Lab,4375400.0,467270.0,0.064075,0.009512,0.0,0.0,Other,"B.P.Singh,ET.AL. (06)    ",D6012,6,No Pointer,51,"51-SB-123(P,N)52-TE-123-M,,SIG",A study of pre-equilibrium emission in some proton- and alpha-induced reactions,2006,B.P.Singh+,3INDMUA,2009/11/02,"Jour. Izv. Rossiiskoi Akademii Nauk, Ser.Fiz. Vol.48, p.194, 1984",D6012006,D6012,"(J,IZV,48,194,1984)",1,1,0,123Sb,Sb,72,123,I,6.216487291585738,0.1286900402873551,Other,-89224.069,1.506,8472.328000000001,0.012,-51.913,0.066,122904214.016,1.616,15766.38,2.13,17966.04,27.44,-3949.7,7.44,-1280.34,3.45,-12940.3,50.07,-6980.93,0.1,8960.02,2.13,6571.71,2.66,-8180.42,12.2,10684.0,1.7,6738.35,1.67,2150.7,40.03,-6571.71,-8960.02,-15387.0939,-13162.5279,-13075.5149,-18426.9194,-17966.04,-15766.38,-3949.7,-834.2595,-6571.71,-8960.02,-6735.4540000000015,-7763.2765,-7284.585099999997,-7669.053500000003,-12157.9535,-6571.71,-4347.144,-8960.02,-6905.2989000000025,-10247.9996,-2702.791,-1078.2356,-70.505,11617.5994,13242.1549
101276,proton,All_or_Total,4,M,Other,Lab,4587700.0,509750.0,0.078783,0.010137,0.0,0.0,Other,"B.P.Singh,ET.AL. (06)    ",D6012,6,No Pointer,51,"51-SB-123(P,N)52-TE-123-M,,SIG",A study of pre-equilibrium emission in some proton- and alpha-induced reactions,2006,B.P.Singh+,3INDMUA,2009/11/02,"Jour. Izv. Rossiiskoi Akademii Nauk, Ser.Fiz. Vol.48, p.194, 1984",D6012006,D6012,"(J,IZV,48,194,1984)",1,1,0,123Sb,Sb,72,123,I,6.216487291585738,0.1286900402873551,Other,-89224.069,1.506,8472.328000000001,0.012,-51.913,0.066,122904214.016,1.616,15766.38,2.13,17966.04,27.44,-3949.7,7.44,-1280.34,3.45,-12940.3,50.07,-6980.93,0.1,8960.02,2.13,6571.71,2.66,-8180.42,12.2,10684.0,1.7,6738.35,1.67,2150.7,40.03,-6571.71,-8960.02,-15387.0939,-13162.5279,-13075.5149,-18426.9194,-17966.04,-15766.38,-3949.7,-834.2595,-6571.71,-8960.02,-6735.4540000000015,-7763.2765,-7284.585099999997,-7669.053500000003,-12157.9535,-6571.71,-4347.144,-8960.02,-6905.2989000000025,-10247.9996,-2702.791,-1078.2356,-70.505,11617.5994,13242.1549
101277,proton,All_or_Total,4,M,Other,Lab,5267300.0,552230.0,0.10378,0.017411,0.0,0.0,Other,"B.P.Singh,ET.AL. (06)    ",D6012,6,No Pointer,51,"51-SB-123(P,N)52-TE-123-M,,SIG",A study of pre-equilibrium emission in some proton- and alpha-induced reactions,2006,B.P.Singh+,3INDMUA,2009/11/02,"Jour. Izv. Rossiiskoi Akademii Nauk, Ser.Fiz. Vol.48, p.194, 1984",D6012006,D6012,"(J,IZV,48,194,1984)",1,1,0,123Sb,Sb,72,123,I,6.216487291585738,0.1286900402873551,Other,-89224.069,1.506,8472.328000000001,0.012,-51.913,0.066,122904214.016,1.616,15766.38,2.13,17966.04,27.44,-3949.7,7.44,-1280.34,3.45,-12940.3,50.07,-6980.93,0.1,8960.02,2.13,6571.71,2.66,-8180.42,12.2,10684.0,1.7,6738.35,1.67,2150.7,40.03,-6571.71,-8960.02,-15387.0939,-13162.5279,-13075.5149,-18426.9194,-17966.04,-15766.38,-3949.7,-834.2595,-6571.71,-8960.02,-6735.4540000000015,-7763.2765,-7284.585099999997,-7669.053500000003,-12157.9535,-6571.71,-4347.144,-8960.02,-6905.2989000000025,-10247.9996,-2702.791,-1078.2356,-70.505,11617.5994,13242.1549
