,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
103604,proton,All_or_Total,4,All_or_Total,Preliminary,Lab,4800000.0,117865.02077442902,0.0072,0.0007236181888031,0.0,0.0,Other,"B.Scholten,ET.AL. (07)   ",D4202,2,No Pointer,52,"52-TE-126(P,N)53-I-126,,SIG","Comparative studies on the production of the medically important radionuclide 124I via p-, d-, 3He- and alpha-particle induced reactions",2007,B.Scholten+,2GERJUL,2008/10/05,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",D4202002,D4202,"(J,ZET,43,1672,1962)",1,1,0,126Te,Te,74,126,I,6.26662241870573,0.1276604758588961,Other,-90065.34800000001,1.504,8463.248,0.012,-2154.031,3.677,125903310.866,1.614,15682.66,0.09,16409.1,1.51,-2548.93,2.66,-918.39,3.81,-11457.94,1.52,-9299.46,0.1,9113.69,0.08,9098.04,2.12,-7395.45,12.59,8265.71,0.16,4022.78,0.14,3397.23,2.66,-9098.04,-9113.69,-17805.3839,-15580.817900000002,-15791.0849,-17180.3894,-16409.1,-15682.66,-2548.93,-2936.3775,-9098.04,-9113.69,-6889.124000000002,-10081.8065,-7200.865099999999,-10087.343500000004,-10675.5935,-9098.04,-6873.474000000001,-9113.69,-9323.588900000002,-8691.059599999999,-2856.461,-3604.565600000001,-2172.623,11463.9294,10715.8249
103605,proton,All_or_Total,4,All_or_Total,Preliminary,Lab,5600000.0,137509.1909035005,0.0331,0.00332663361797,0.0,0.0,Other,"B.Scholten,ET.AL. (07)   ",D4202,2,No Pointer,52,"52-TE-126(P,N)53-I-126,,SIG","Comparative studies on the production of the medically important radionuclide 124I via p-, d-, 3He- and alpha-particle induced reactions",2007,B.Scholten+,2GERJUL,2008/10/05,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",D4202002,D4202,"(J,ZET,43,1672,1962)",1,1,0,126Te,Te,74,126,I,6.26662241870573,0.1276604758588961,Other,-90065.34800000001,1.504,8463.248,0.012,-2154.031,3.677,125903310.866,1.614,15682.66,0.09,16409.1,1.51,-2548.93,2.66,-918.39,3.81,-11457.94,1.52,-9299.46,0.1,9113.69,0.08,9098.04,2.12,-7395.45,12.59,8265.71,0.16,4022.78,0.14,3397.23,2.66,-9098.04,-9113.69,-17805.3839,-15580.817900000002,-15791.0849,-17180.3894,-16409.1,-15682.66,-2548.93,-2936.3775,-9098.04,-9113.69,-6889.124000000002,-10081.8065,-7200.865099999999,-10087.343500000004,-10675.5935,-9098.04,-6873.474000000001,-9113.69,-9323.588900000002,-8691.059599999999,-2856.461,-3604.565600000001,-2172.623,11463.9294,10715.8249
103606,proton,All_or_Total,4,All_or_Total,Preliminary,Lab,6300000.0,154697.8397664381,0.0633,0.0063618099098944,0.0,0.0,Other,"B.Scholten,ET.AL. (07)   ",D4202,2,No Pointer,52,"52-TE-126(P,N)53-I-126,,SIG","Comparative studies on the production of the medically important radionuclide 124I via p-, d-, 3He- and alpha-particle induced reactions",2007,B.Scholten+,2GERJUL,2008/10/05,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",D4202002,D4202,"(J,ZET,43,1672,1962)",1,1,0,126Te,Te,74,126,I,6.26662241870573,0.1276604758588961,Other,-90065.34800000001,1.504,8463.248,0.012,-2154.031,3.677,125903310.866,1.614,15682.66,0.09,16409.1,1.51,-2548.93,2.66,-918.39,3.81,-11457.94,1.52,-9299.46,0.1,9113.69,0.08,9098.04,2.12,-7395.45,12.59,8265.71,0.16,4022.78,0.14,3397.23,2.66,-9098.04,-9113.69,-17805.3839,-15580.817900000002,-15791.0849,-17180.3894,-16409.1,-15682.66,-2548.93,-2936.3775,-9098.04,-9113.69,-6889.124000000002,-10081.8065,-7200.865099999999,-10087.343500000004,-10675.5935,-9098.04,-6873.474000000001,-9113.69,-9323.588900000002,-8691.059599999999,-2856.461,-3604.565600000001,-2172.623,11463.9294,10715.8249
103607,proton,All_or_Total,4,All_or_Total,Preliminary,Lab,7100000.0,174342.0098955096,0.1363,0.0136984943241486,0.0,0.0,Other,"B.Scholten,ET.AL. (07)   ",D4202,2,No Pointer,52,"52-TE-126(P,N)53-I-126,,SIG","Comparative studies on the production of the medically important radionuclide 124I via p-, d-, 3He- and alpha-particle induced reactions",2007,B.Scholten+,2GERJUL,2008/10/05,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",D4202002,D4202,"(J,ZET,43,1672,1962)",1,1,0,126Te,Te,74,126,I,6.26662241870573,0.1276604758588961,Other,-90065.34800000001,1.504,8463.248,0.012,-2154.031,3.677,125903310.866,1.614,15682.66,0.09,16409.1,1.51,-2548.93,2.66,-918.39,3.81,-11457.94,1.52,-9299.46,0.1,9113.69,0.08,9098.04,2.12,-7395.45,12.59,8265.71,0.16,4022.78,0.14,3397.23,2.66,-9098.04,-9113.69,-17805.3839,-15580.817900000002,-15791.0849,-17180.3894,-16409.1,-15682.66,-2548.93,-2936.3775,-9098.04,-9113.69,-6889.124000000002,-10081.8065,-7200.865099999999,-10087.343500000004,-10675.5935,-9098.04,-6873.474000000001,-9113.69,-9323.588900000002,-8691.059599999999,-2856.461,-3604.565600000001,-2172.623,11463.9294,10715.8249
103608,proton,All_or_Total,4,All_or_Total,Preliminary,Lab,7700000.0,189075.1374923132,0.2534,0.0254673401448222,0.0,0.0,Other,"B.Scholten,ET.AL. (07)   ",D4202,2,No Pointer,52,"52-TE-126(P,N)53-I-126,,SIG","Comparative studies on the production of the medically important radionuclide 124I via p-, d-, 3He- and alpha-particle induced reactions",2007,B.Scholten+,2GERJUL,2008/10/05,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",D4202002,D4202,"(J,ZET,43,1672,1962)",1,1,0,126Te,Te,74,126,I,6.26662241870573,0.1276604758588961,Other,-90065.34800000001,1.504,8463.248,0.012,-2154.031,3.677,125903310.866,1.614,15682.66,0.09,16409.1,1.51,-2548.93,2.66,-918.39,3.81,-11457.94,1.52,-9299.46,0.1,9113.69,0.08,9098.04,2.12,-7395.45,12.59,8265.71,0.16,4022.78,0.14,3397.23,2.66,-9098.04,-9113.69,-17805.3839,-15580.817900000002,-15791.0849,-17180.3894,-16409.1,-15682.66,-2548.93,-2936.3775,-9098.04,-9113.69,-6889.124000000002,-10081.8065,-7200.865099999999,-10087.343500000004,-10675.5935,-9098.04,-6873.474000000001,-9113.69,-9323.588900000002,-8691.059599999999,-2856.461,-3604.565600000001,-2172.623,11463.9294,10715.8249
103609,proton,All_or_Total,4,All_or_Total,Preliminary,Lab,8900000.0,218541.39268592047,0.2852,0.0286633204787028,0.0,0.0,Other,"B.Scholten,ET.AL. (07)   ",D4202,2,No Pointer,52,"52-TE-126(P,N)53-I-126,,SIG","Comparative studies on the production of the medically important radionuclide 124I via p-, d-, 3He- and alpha-particle induced reactions",2007,B.Scholten+,2GERJUL,2008/10/05,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",D4202002,D4202,"(J,ZET,43,1672,1962)",1,1,0,126Te,Te,74,126,I,6.26662241870573,0.1276604758588961,Other,-90065.34800000001,1.504,8463.248,0.012,-2154.031,3.677,125903310.866,1.614,15682.66,0.09,16409.1,1.51,-2548.93,2.66,-918.39,3.81,-11457.94,1.52,-9299.46,0.1,9113.69,0.08,9098.04,2.12,-7395.45,12.59,8265.71,0.16,4022.78,0.14,3397.23,2.66,-9098.04,-9113.69,-17805.3839,-15580.817900000002,-15791.0849,-17180.3894,-16409.1,-15682.66,-2548.93,-2936.3775,-9098.04,-9113.69,-6889.124000000002,-10081.8065,-7200.865099999999,-10087.343500000004,-10675.5935,-9098.04,-6873.474000000001,-9113.69,-9323.588900000002,-8691.059599999999,-2856.461,-3604.565600000001,-2172.623,11463.9294,10715.8249
103610,proton,All_or_Total,4,All_or_Total,Preliminary,Lab,10100000.0,248007.6478795277,0.3455,0.0347236228099293,0.0,0.0,Other,"B.Scholten,ET.AL. (07)   ",D4202,2,No Pointer,52,"52-TE-126(P,N)53-I-126,,SIG","Comparative studies on the production of the medically important radionuclide 124I via p-, d-, 3He- and alpha-particle induced reactions",2007,B.Scholten+,2GERJUL,2008/10/05,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",D4202002,D4202,"(J,ZET,43,1672,1962)",1,1,0,126Te,Te,74,126,I,6.26662241870573,0.1276604758588961,Other,-90065.34800000001,1.504,8463.248,0.012,-2154.031,3.677,125903310.866,1.614,15682.66,0.09,16409.1,1.51,-2548.93,2.66,-918.39,3.81,-11457.94,1.52,-9299.46,0.1,9113.69,0.08,9098.04,2.12,-7395.45,12.59,8265.71,0.16,4022.78,0.14,3397.23,2.66,-9098.04,-9113.69,-17805.3839,-15580.817900000002,-15791.0849,-17180.3894,-16409.1,-15682.66,-2548.93,-2936.3775,-9098.04,-9113.69,-6889.124000000002,-10081.8065,-7200.865099999999,-10087.343500000004,-10675.5935,-9098.04,-6873.474000000001,-9113.69,-9323.588900000002,-8691.059599999999,-2856.461,-3604.565600000001,-2172.623,11463.9294,10715.8249
103611,proton,All_or_Total,4,All_or_Total,Preliminary,Lab,11100000.0,272562.8605408671,0.3257,0.0327336727907206,0.0,0.0,Other,"B.Scholten,ET.AL. (07)   ",D4202,2,No Pointer,52,"52-TE-126(P,N)53-I-126,,SIG","Comparative studies on the production of the medically important radionuclide 124I via p-, d-, 3He- and alpha-particle induced reactions",2007,B.Scholten+,2GERJUL,2008/10/05,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",D4202002,D4202,"(J,ZET,43,1672,1962)",1,1,0,126Te,Te,74,126,I,6.26662241870573,0.1276604758588961,Other,-90065.34800000001,1.504,8463.248,0.012,-2154.031,3.677,125903310.866,1.614,15682.66,0.09,16409.1,1.51,-2548.93,2.66,-918.39,3.81,-11457.94,1.52,-9299.46,0.1,9113.69,0.08,9098.04,2.12,-7395.45,12.59,8265.71,0.16,4022.78,0.14,3397.23,2.66,-9098.04,-9113.69,-17805.3839,-15580.817900000002,-15791.0849,-17180.3894,-16409.1,-15682.66,-2548.93,-2936.3775,-9098.04,-9113.69,-6889.124000000002,-10081.8065,-7200.865099999999,-10087.343500000004,-10675.5935,-9098.04,-6873.474000000001,-9113.69,-9323.588900000002,-8691.059599999999,-2856.461,-3604.565600000001,-2172.623,11463.9294,10715.8249
103612,proton,All_or_Total,4,All_or_Total,Preliminary,Lab,12200000.0,299573.59446834045,0.3209,0.0322512606648518,0.0,0.0,Other,"B.Scholten,ET.AL. (07)   ",D4202,2,No Pointer,52,"52-TE-126(P,N)53-I-126,,SIG","Comparative studies on the production of the medically important radionuclide 124I via p-, d-, 3He- and alpha-particle induced reactions",2007,B.Scholten+,2GERJUL,2008/10/05,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",D4202002,D4202,"(J,ZET,43,1672,1962)",1,1,0,126Te,Te,74,126,I,6.26662241870573,0.1276604758588961,Other,-90065.34800000001,1.504,8463.248,0.012,-2154.031,3.677,125903310.866,1.614,15682.66,0.09,16409.1,1.51,-2548.93,2.66,-918.39,3.81,-11457.94,1.52,-9299.46,0.1,9113.69,0.08,9098.04,2.12,-7395.45,12.59,8265.71,0.16,4022.78,0.14,3397.23,2.66,-9098.04,-9113.69,-17805.3839,-15580.817900000002,-15791.0849,-17180.3894,-16409.1,-15682.66,-2548.93,-2936.3775,-9098.04,-9113.69,-6889.124000000002,-10081.8065,-7200.865099999999,-10087.343500000004,-10675.5935,-9098.04,-6873.474000000001,-9113.69,-9323.588900000002,-8691.059599999999,-2856.461,-3604.565600000001,-2172.623,11463.9294,10715.8249
103613,proton,All_or_Total,4,All_or_Total,Preliminary,Lab,13000000.0,319217.7645974119,0.2389,0.0240100535145936,0.0,0.0,Other,"B.Scholten,ET.AL. (07)   ",D4202,2,No Pointer,52,"52-TE-126(P,N)53-I-126,,SIG","Comparative studies on the production of the medically important radionuclide 124I via p-, d-, 3He- and alpha-particle induced reactions",2007,B.Scholten+,2GERJUL,2008/10/05,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.43, p.1672, 1962",D4202002,D4202,"(J,ZET,43,1672,1962)",1,1,0,126Te,Te,74,126,I,6.26662241870573,0.1276604758588961,Other,-90065.34800000001,1.504,8463.248,0.012,-2154.031,3.677,125903310.866,1.614,15682.66,0.09,16409.1,1.51,-2548.93,2.66,-918.39,3.81,-11457.94,1.52,-9299.46,0.1,9113.69,0.08,9098.04,2.12,-7395.45,12.59,8265.71,0.16,4022.78,0.14,3397.23,2.66,-9098.04,-9113.69,-17805.3839,-15580.817900000002,-15791.0849,-17180.3894,-16409.1,-15682.66,-2548.93,-2936.3775,-9098.04,-9113.69,-6889.124000000002,-10081.8065,-7200.865099999999,-10087.343500000004,-10675.5935,-9098.04,-6873.474000000001,-9113.69,-9323.588900000002,-8691.059599999999,-2856.461,-3604.565600000001,-2172.623,11463.9294,10715.8249
