,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
109522,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,2000000.0,50980.86351726512,0.00189,inf,0.0,0.0,Other,"C.Vermeulen,ET.AL. (07)  ",O1511,9,1,57,"57-LA-0(P,X)58-CE-139,,SIG,,,DERIV",Production of Ce-139 by proton-induced reactions on Pr-141 and La-nat,2007,C.Vermeulen+,3SAFITH,2019/10/03,"Jour. Physical Review Vol.139, p.B1513, 1965",O15110091,O1511,"(J,PR,139,B1513,1965)",1,1,0,139La,La,82,139,N,6.475126834225366,0.1235497034237949,Other,-85771.04149999999,2.009,8366.536,0.014,1740.9339999999995,4.34,138905000.0,2.156,15083.745,2.555,15632.71,5.695,-1235.79,2.49,-1017.5949999999998,6.895,-11266.085,6.545,-6582.969999999999,5.77,6969.665,1.28,6472.3150000000005,2.01,-7913.945,19.03,12931.2,2.01,7397.09,2.01,6317.515,2.38,-6472.3150000000005,-6969.665,-13139.8939,-10915.3279,-12416.7749,-14260.1044,-15632.71,-15083.745,-1235.79,958.5875,-6472.3150000000005,-6969.665,-4745.099000000001,-7365.3165,-6601.950099999999,-5421.853500000002,-10483.7385,-6472.3150000000005,-4247.749,-6969.665,-4658.098900000003,-7914.669599999999,-712.4359999999997,-978.8406,1722.342,13607.9544,13341.5499
109523,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,3000000.0,76471.29527589768,0.00395,inf,0.0,0.0,Other,"C.Vermeulen,ET.AL. (07)  ",O1511,9,1,57,"57-LA-0(P,X)58-CE-139,,SIG,,,DERIV",Production of Ce-139 by proton-induced reactions on Pr-141 and La-nat,2007,C.Vermeulen+,3SAFITH,2019/10/03,"Jour. Physical Review Vol.139, p.B1513, 1965",O15110091,O1511,"(J,PR,139,B1513,1965)",1,1,0,139La,La,82,139,N,6.475126834225366,0.1235497034237949,Other,-85771.04149999999,2.009,8366.536,0.014,1740.9339999999995,4.34,138905000.0,2.156,15083.745,2.555,15632.71,5.695,-1235.79,2.49,-1017.5949999999998,6.895,-11266.085,6.545,-6582.969999999999,5.77,6969.665,1.28,6472.3150000000005,2.01,-7913.945,19.03,12931.2,2.01,7397.09,2.01,6317.515,2.38,-6472.3150000000005,-6969.665,-13139.8939,-10915.3279,-12416.7749,-14260.1044,-15632.71,-15083.745,-1235.79,958.5875,-6472.3150000000005,-6969.665,-4745.099000000001,-7365.3165,-6601.950099999999,-5421.853500000002,-10483.7385,-6472.3150000000005,-4247.749,-6969.665,-4658.098900000003,-7914.669599999999,-712.4359999999997,-978.8406,1722.342,13607.9544,13341.5499
109524,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,4000000.0,101961.72703453024,0.00877,inf,0.0,0.0,Other,"C.Vermeulen,ET.AL. (07)  ",O1511,9,1,57,"57-LA-0(P,X)58-CE-139,,SIG,,,DERIV",Production of Ce-139 by proton-induced reactions on Pr-141 and La-nat,2007,C.Vermeulen+,3SAFITH,2019/10/03,"Jour. Physical Review Vol.139, p.B1513, 1965",O15110091,O1511,"(J,PR,139,B1513,1965)",1,1,0,139La,La,82,139,N,6.475126834225366,0.1235497034237949,Other,-85771.04149999999,2.009,8366.536,0.014,1740.9339999999995,4.34,138905000.0,2.156,15083.745,2.555,15632.71,5.695,-1235.79,2.49,-1017.5949999999998,6.895,-11266.085,6.545,-6582.969999999999,5.77,6969.665,1.28,6472.3150000000005,2.01,-7913.945,19.03,12931.2,2.01,7397.09,2.01,6317.515,2.38,-6472.3150000000005,-6969.665,-13139.8939,-10915.3279,-12416.7749,-14260.1044,-15632.71,-15083.745,-1235.79,958.5875,-6472.3150000000005,-6969.665,-4745.099000000001,-7365.3165,-6601.950099999999,-5421.853500000002,-10483.7385,-6472.3150000000005,-4247.749,-6969.665,-4658.098900000003,-7914.669599999999,-712.4359999999997,-978.8406,1722.342,13607.9544,13341.5499
109525,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,5000000.0,127452.1587931628,0.02,inf,0.0,0.0,Other,"C.Vermeulen,ET.AL. (07)  ",O1511,9,1,57,"57-LA-0(P,X)58-CE-139,,SIG,,,DERIV",Production of Ce-139 by proton-induced reactions on Pr-141 and La-nat,2007,C.Vermeulen+,3SAFITH,2019/10/03,"Jour. Physical Review Vol.139, p.B1513, 1965",O15110091,O1511,"(J,PR,139,B1513,1965)",1,1,0,139La,La,82,139,N,6.475126834225366,0.1235497034237949,Other,-85771.04149999999,2.009,8366.536,0.014,1740.9339999999995,4.34,138905000.0,2.156,15083.745,2.555,15632.71,5.695,-1235.79,2.49,-1017.5949999999998,6.895,-11266.085,6.545,-6582.969999999999,5.77,6969.665,1.28,6472.3150000000005,2.01,-7913.945,19.03,12931.2,2.01,7397.09,2.01,6317.515,2.38,-6472.3150000000005,-6969.665,-13139.8939,-10915.3279,-12416.7749,-14260.1044,-15632.71,-15083.745,-1235.79,958.5875,-6472.3150000000005,-6969.665,-4745.099000000001,-7365.3165,-6601.950099999999,-5421.853500000002,-10483.7385,-6472.3150000000005,-4247.749,-6969.665,-4658.098900000003,-7914.669599999999,-712.4359999999997,-978.8406,1722.342,13607.9544,13341.5499
109526,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,6000000.0,152942.59055179535,0.0455,inf,0.0,0.0,Other,"C.Vermeulen,ET.AL. (07)  ",O1511,9,1,57,"57-LA-0(P,X)58-CE-139,,SIG,,,DERIV",Production of Ce-139 by proton-induced reactions on Pr-141 and La-nat,2007,C.Vermeulen+,3SAFITH,2019/10/03,"Jour. Physical Review Vol.139, p.B1513, 1965",O15110091,O1511,"(J,PR,139,B1513,1965)",1,1,0,139La,La,82,139,N,6.475126834225366,0.1235497034237949,Other,-85771.04149999999,2.009,8366.536,0.014,1740.9339999999995,4.34,138905000.0,2.156,15083.745,2.555,15632.71,5.695,-1235.79,2.49,-1017.5949999999998,6.895,-11266.085,6.545,-6582.969999999999,5.77,6969.665,1.28,6472.3150000000005,2.01,-7913.945,19.03,12931.2,2.01,7397.09,2.01,6317.515,2.38,-6472.3150000000005,-6969.665,-13139.8939,-10915.3279,-12416.7749,-14260.1044,-15632.71,-15083.745,-1235.79,958.5875,-6472.3150000000005,-6969.665,-4745.099000000001,-7365.3165,-6601.950099999999,-5421.853500000002,-10483.7385,-6472.3150000000005,-4247.749,-6969.665,-4658.098900000003,-7914.669599999999,-712.4359999999997,-978.8406,1722.342,13607.9544,13341.5499
109527,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,7000000.0,178433.0223104279,0.099,inf,0.0,0.0,Other,"C.Vermeulen,ET.AL. (07)  ",O1511,9,1,57,"57-LA-0(P,X)58-CE-139,,SIG,,,DERIV",Production of Ce-139 by proton-induced reactions on Pr-141 and La-nat,2007,C.Vermeulen+,3SAFITH,2019/10/03,"Jour. Physical Review Vol.139, p.B1513, 1965",O15110091,O1511,"(J,PR,139,B1513,1965)",1,1,0,139La,La,82,139,N,6.475126834225366,0.1235497034237949,Other,-85771.04149999999,2.009,8366.536,0.014,1740.9339999999995,4.34,138905000.0,2.156,15083.745,2.555,15632.71,5.695,-1235.79,2.49,-1017.5949999999998,6.895,-11266.085,6.545,-6582.969999999999,5.77,6969.665,1.28,6472.3150000000005,2.01,-7913.945,19.03,12931.2,2.01,7397.09,2.01,6317.515,2.38,-6472.3150000000005,-6969.665,-13139.8939,-10915.3279,-12416.7749,-14260.1044,-15632.71,-15083.745,-1235.79,958.5875,-6472.3150000000005,-6969.665,-4745.099000000001,-7365.3165,-6601.950099999999,-5421.853500000002,-10483.7385,-6472.3150000000005,-4247.749,-6969.665,-4658.098900000003,-7914.669599999999,-712.4359999999997,-978.8406,1722.342,13607.9544,13341.5499
109528,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,8000000.0,203923.45406906048,0.1926,inf,0.0,0.0,Other,"C.Vermeulen,ET.AL. (07)  ",O1511,9,1,57,"57-LA-0(P,X)58-CE-139,,SIG,,,DERIV",Production of Ce-139 by proton-induced reactions on Pr-141 and La-nat,2007,C.Vermeulen+,3SAFITH,2019/10/03,"Jour. Physical Review Vol.139, p.B1513, 1965",O15110091,O1511,"(J,PR,139,B1513,1965)",1,1,0,139La,La,82,139,N,6.475126834225366,0.1235497034237949,Other,-85771.04149999999,2.009,8366.536,0.014,1740.9339999999995,4.34,138905000.0,2.156,15083.745,2.555,15632.71,5.695,-1235.79,2.49,-1017.5949999999998,6.895,-11266.085,6.545,-6582.969999999999,5.77,6969.665,1.28,6472.3150000000005,2.01,-7913.945,19.03,12931.2,2.01,7397.09,2.01,6317.515,2.38,-6472.3150000000005,-6969.665,-13139.8939,-10915.3279,-12416.7749,-14260.1044,-15632.71,-15083.745,-1235.79,958.5875,-6472.3150000000005,-6969.665,-4745.099000000001,-7365.3165,-6601.950099999999,-5421.853500000002,-10483.7385,-6472.3150000000005,-4247.749,-6969.665,-4658.098900000003,-7914.669599999999,-712.4359999999997,-978.8406,1722.342,13607.9544,13341.5499
109529,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,9000000.0,229413.88582769304,0.303,inf,0.0,0.0,Other,"C.Vermeulen,ET.AL. (07)  ",O1511,9,1,57,"57-LA-0(P,X)58-CE-139,,SIG,,,DERIV",Production of Ce-139 by proton-induced reactions on Pr-141 and La-nat,2007,C.Vermeulen+,3SAFITH,2019/10/03,"Jour. Physical Review Vol.139, p.B1513, 1965",O15110091,O1511,"(J,PR,139,B1513,1965)",1,1,0,139La,La,82,139,N,6.475126834225366,0.1235497034237949,Other,-85771.04149999999,2.009,8366.536,0.014,1740.9339999999995,4.34,138905000.0,2.156,15083.745,2.555,15632.71,5.695,-1235.79,2.49,-1017.5949999999998,6.895,-11266.085,6.545,-6582.969999999999,5.77,6969.665,1.28,6472.3150000000005,2.01,-7913.945,19.03,12931.2,2.01,7397.09,2.01,6317.515,2.38,-6472.3150000000005,-6969.665,-13139.8939,-10915.3279,-12416.7749,-14260.1044,-15632.71,-15083.745,-1235.79,958.5875,-6472.3150000000005,-6969.665,-4745.099000000001,-7365.3165,-6601.950099999999,-5421.853500000002,-10483.7385,-6472.3150000000005,-4247.749,-6969.665,-4658.098900000003,-7914.669599999999,-712.4359999999997,-978.8406,1722.342,13607.9544,13341.5499
109530,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,10000000.0,254904.3175863256,0.3532,inf,0.0,0.0,Other,"C.Vermeulen,ET.AL. (07)  ",O1511,9,1,57,"57-LA-0(P,X)58-CE-139,,SIG,,,DERIV",Production of Ce-139 by proton-induced reactions on Pr-141 and La-nat,2007,C.Vermeulen+,3SAFITH,2019/10/03,"Jour. Physical Review Vol.139, p.B1513, 1965",O15110091,O1511,"(J,PR,139,B1513,1965)",1,1,0,139La,La,82,139,N,6.475126834225366,0.1235497034237949,Other,-85771.04149999999,2.009,8366.536,0.014,1740.9339999999995,4.34,138905000.0,2.156,15083.745,2.555,15632.71,5.695,-1235.79,2.49,-1017.5949999999998,6.895,-11266.085,6.545,-6582.969999999999,5.77,6969.665,1.28,6472.3150000000005,2.01,-7913.945,19.03,12931.2,2.01,7397.09,2.01,6317.515,2.38,-6472.3150000000005,-6969.665,-13139.8939,-10915.3279,-12416.7749,-14260.1044,-15632.71,-15083.745,-1235.79,958.5875,-6472.3150000000005,-6969.665,-4745.099000000001,-7365.3165,-6601.950099999999,-5421.853500000002,-10483.7385,-6472.3150000000005,-4247.749,-6969.665,-4658.098900000003,-7914.669599999999,-712.4359999999997,-978.8406,1722.342,13607.9544,13341.5499
109531,proton,All_or_Total,9000,All_or_Total,Dependent,Lab,11000000.0,280394.74934495817,0.3087,inf,0.0,0.0,Other,"C.Vermeulen,ET.AL. (07)  ",O1511,9,1,57,"57-LA-0(P,X)58-CE-139,,SIG,,,DERIV",Production of Ce-139 by proton-induced reactions on Pr-141 and La-nat,2007,C.Vermeulen+,3SAFITH,2019/10/03,"Jour. Physical Review Vol.139, p.B1513, 1965",O15110091,O1511,"(J,PR,139,B1513,1965)",1,1,0,139La,La,82,139,N,6.475126834225366,0.1235497034237949,Other,-85771.04149999999,2.009,8366.536,0.014,1740.9339999999995,4.34,138905000.0,2.156,15083.745,2.555,15632.71,5.695,-1235.79,2.49,-1017.5949999999998,6.895,-11266.085,6.545,-6582.969999999999,5.77,6969.665,1.28,6472.3150000000005,2.01,-7913.945,19.03,12931.2,2.01,7397.09,2.01,6317.515,2.38,-6472.3150000000005,-6969.665,-13139.8939,-10915.3279,-12416.7749,-14260.1044,-15632.71,-15083.745,-1235.79,958.5875,-6472.3150000000005,-6969.665,-4745.099000000001,-7365.3165,-6601.950099999999,-5421.853500000002,-10483.7385,-6472.3150000000005,-4247.749,-6969.665,-4658.098900000003,-7914.669599999999,-712.4359999999997,-978.8406,1722.342,13607.9544,13341.5499
