,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
109926,proton,All_or_Total,18,All_or_Total,Correlated,Lab,190000000.0,3948453.3640578655,7.4e-06,3.7e-06,0.0,0.0,Other,"F.D.Becchetti,ET.AL. (83)",T0116,3,1,58,"58-CE-0(P,F),,SIG,,,DERIV",190 MeV proton-induced symmetric and asymmetric fission,1983,F.D.Becchetti+,1USAMHG,2010/07/05,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.412, p.46, 2017",T01160031,T0116,"(J,NIM/B,412,46,2017)",1,1,0,140Ce,Ce,82,140,N,6.490617627313879,0.1232548342754674,Other,-87511.9755,4.413,8373.356,0.0315,-2758.532,4.498,140116000.0,4.737,16909.855,6.025,14098.48,4.425000000000001,-1568.1799999999998,4.42,-4375.55,15.885,-8213.25,4.425000000000001,-11606.935,10.385,8323.900000000001,7.745,7928.25,4.56,-13593.895,12.835,10028.765,5.21,3941.16,27.975,6438.505,4.425000000000001,-7928.25,-8323.900000000001,-16042.3289,-13817.762900000002,-15872.7049,-14139.1144,-14098.48,-16909.855,-1568.1799999999998,-3540.8785,-7928.25,-8323.900000000001,-6099.334000000001,-12389.2815,-8428.060099999999,-8324.288500000002,-7430.9035,-7928.25,-5703.684000000001,-8323.900000000001,-7560.533900000002,-6380.4396,-2066.6710000000003,-2434.7756000000004,-2777.124,12253.7194,11885.6149
109927,proton,All_or_Total,9000,All_or_Total,Other,Lab,8380000.0,1070000.0,0.00517,0.00096,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4378,2,No Pointer,58,"58-CE-0(P,X)59-PR-142,,SIG",Activation cross-section measurement of proton induced reactions on cerium,2017,F.Tarkanyi+,3HUNDEB,2017/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.412, p.46, 2017",D4378002,D4378,"(J,NIM/B,412,46,2017)",1,1,0,140Ce,Ce,82,140,N,6.490617627313879,0.1232548342754674,Other,-87511.9755,4.413,8373.356,0.0315,-2758.532,4.498,140116000.0,4.737,16909.855,6.025,14098.48,4.425000000000001,-1568.1799999999998,4.42,-4375.55,15.885,-8213.25,4.425000000000001,-11606.935,10.385,8323.900000000001,7.745,7928.25,4.56,-13593.895,12.835,10028.765,5.21,3941.16,27.975,6438.505,4.425000000000001,-7928.25,-8323.900000000001,-16042.3289,-13817.762900000002,-15872.7049,-14139.1144,-14098.48,-16909.855,-1568.1799999999998,-3540.8785,-7928.25,-8323.900000000001,-6099.334000000001,-12389.2815,-8428.060099999999,-8324.288500000002,-7430.9035,-7928.25,-5703.684000000001,-8323.900000000001,-7560.533900000002,-6380.4396,-2066.6710000000003,-2434.7756000000004,-2777.124,12253.7194,11885.6149
109928,proton,All_or_Total,9000,All_or_Total,Other,Lab,11020000.0,970000.0,0.01032,0.00223,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4378,2,No Pointer,58,"58-CE-0(P,X)59-PR-142,,SIG",Activation cross-section measurement of proton induced reactions on cerium,2017,F.Tarkanyi+,3HUNDEB,2017/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.412, p.46, 2017",D4378002,D4378,"(J,NIM/B,412,46,2017)",1,1,0,140Ce,Ce,82,140,N,6.490617627313879,0.1232548342754674,Other,-87511.9755,4.413,8373.356,0.0315,-2758.532,4.498,140116000.0,4.737,16909.855,6.025,14098.48,4.425000000000001,-1568.1799999999998,4.42,-4375.55,15.885,-8213.25,4.425000000000001,-11606.935,10.385,8323.900000000001,7.745,7928.25,4.56,-13593.895,12.835,10028.765,5.21,3941.16,27.975,6438.505,4.425000000000001,-7928.25,-8323.900000000001,-16042.3289,-13817.762900000002,-15872.7049,-14139.1144,-14098.48,-16909.855,-1568.1799999999998,-3540.8785,-7928.25,-8323.900000000001,-6099.334000000001,-12389.2815,-8428.060099999999,-8324.288500000002,-7430.9035,-7928.25,-5703.684000000001,-8323.900000000001,-7560.533900000002,-6380.4396,-2066.6710000000003,-2434.7756000000004,-2777.124,12253.7194,11885.6149
109929,proton,All_or_Total,9000,All_or_Total,Other,Lab,12860000.0,910000.0,0.00755,0.00255,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4378,2,No Pointer,58,"58-CE-0(P,X)59-PR-142,,SIG",Activation cross-section measurement of proton induced reactions on cerium,2017,F.Tarkanyi+,3HUNDEB,2017/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.412, p.46, 2017",D4378002,D4378,"(J,NIM/B,412,46,2017)",1,1,0,140Ce,Ce,82,140,N,6.490617627313879,0.1232548342754674,Other,-87511.9755,4.413,8373.356,0.0315,-2758.532,4.498,140116000.0,4.737,16909.855,6.025,14098.48,4.425000000000001,-1568.1799999999998,4.42,-4375.55,15.885,-8213.25,4.425000000000001,-11606.935,10.385,8323.900000000001,7.745,7928.25,4.56,-13593.895,12.835,10028.765,5.21,3941.16,27.975,6438.505,4.425000000000001,-7928.25,-8323.900000000001,-16042.3289,-13817.762900000002,-15872.7049,-14139.1144,-14098.48,-16909.855,-1568.1799999999998,-3540.8785,-7928.25,-8323.900000000001,-6099.334000000001,-12389.2815,-8428.060099999999,-8324.288500000002,-7430.9035,-7928.25,-5703.684000000001,-8323.900000000001,-7560.533900000002,-6380.4396,-2066.6710000000003,-2434.7756000000004,-2777.124,12253.7194,11885.6149
109930,proton,All_or_Total,9000,All_or_Total,Other,Lab,16100000.0,800000.0,0.00283,0.00064,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4378,2,No Pointer,58,"58-CE-0(P,X)59-PR-142,,SIG",Activation cross-section measurement of proton induced reactions on cerium,2017,F.Tarkanyi+,3HUNDEB,2017/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.412, p.46, 2017",D4378002,D4378,"(J,NIM/B,412,46,2017)",1,1,0,140Ce,Ce,82,140,N,6.490617627313879,0.1232548342754674,Other,-87511.9755,4.413,8373.356,0.0315,-2758.532,4.498,140116000.0,4.737,16909.855,6.025,14098.48,4.425000000000001,-1568.1799999999998,4.42,-4375.55,15.885,-8213.25,4.425000000000001,-11606.935,10.385,8323.900000000001,7.745,7928.25,4.56,-13593.895,12.835,10028.765,5.21,3941.16,27.975,6438.505,4.425000000000001,-7928.25,-8323.900000000001,-16042.3289,-13817.762900000002,-15872.7049,-14139.1144,-14098.48,-16909.855,-1568.1799999999998,-3540.8785,-7928.25,-8323.900000000001,-6099.334000000001,-12389.2815,-8428.060099999999,-8324.288500000002,-7430.9035,-7928.25,-5703.684000000001,-8323.900000000001,-7560.533900000002,-6380.4396,-2066.6710000000003,-2434.7756000000004,-2777.124,12253.7194,11885.6149
109931,proton,All_or_Total,9000,All_or_Total,Other,Lab,20960000.0,630000.0,0.0014,0.00049,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4378,2,No Pointer,58,"58-CE-0(P,X)59-PR-142,,SIG",Activation cross-section measurement of proton induced reactions on cerium,2017,F.Tarkanyi+,3HUNDEB,2017/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.412, p.46, 2017",D4378002,D4378,"(J,NIM/B,412,46,2017)",1,1,0,140Ce,Ce,82,140,N,6.490617627313879,0.1232548342754674,Other,-87511.9755,4.413,8373.356,0.0315,-2758.532,4.498,140116000.0,4.737,16909.855,6.025,14098.48,4.425000000000001,-1568.1799999999998,4.42,-4375.55,15.885,-8213.25,4.425000000000001,-11606.935,10.385,8323.900000000001,7.745,7928.25,4.56,-13593.895,12.835,10028.765,5.21,3941.16,27.975,6438.505,4.425000000000001,-7928.25,-8323.900000000001,-16042.3289,-13817.762900000002,-15872.7049,-14139.1144,-14098.48,-16909.855,-1568.1799999999998,-3540.8785,-7928.25,-8323.900000000001,-6099.334000000001,-12389.2815,-8428.060099999999,-8324.288500000002,-7430.9035,-7928.25,-5703.684000000001,-8323.900000000001,-7560.533900000002,-6380.4396,-2066.6710000000003,-2434.7756000000004,-2777.124,12253.7194,11885.6149
109932,proton,All_or_Total,9000,All_or_Total,Other,Lab,23060000.0,550000.0,0.00104,0.00035,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4378,2,No Pointer,58,"58-CE-0(P,X)59-PR-142,,SIG",Activation cross-section measurement of proton induced reactions on cerium,2017,F.Tarkanyi+,3HUNDEB,2017/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.412, p.46, 2017",D4378002,D4378,"(J,NIM/B,412,46,2017)",1,1,0,140Ce,Ce,82,140,N,6.490617627313879,0.1232548342754674,Other,-87511.9755,4.413,8373.356,0.0315,-2758.532,4.498,140116000.0,4.737,16909.855,6.025,14098.48,4.425000000000001,-1568.1799999999998,4.42,-4375.55,15.885,-8213.25,4.425000000000001,-11606.935,10.385,8323.900000000001,7.745,7928.25,4.56,-13593.895,12.835,10028.765,5.21,3941.16,27.975,6438.505,4.425000000000001,-7928.25,-8323.900000000001,-16042.3289,-13817.762900000002,-15872.7049,-14139.1144,-14098.48,-16909.855,-1568.1799999999998,-3540.8785,-7928.25,-8323.900000000001,-6099.334000000001,-12389.2815,-8428.060099999999,-8324.288500000002,-7430.9035,-7928.25,-5703.684000000001,-8323.900000000001,-7560.533900000002,-6380.4396,-2066.6710000000003,-2434.7756000000004,-2777.124,12253.7194,11885.6149
109933,proton,All_or_Total,9000,All_or_Total,Other,Lab,26810000.0,420000.0,0.00271,0.0006,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4378,2,No Pointer,58,"58-CE-0(P,X)59-PR-142,,SIG",Activation cross-section measurement of proton induced reactions on cerium,2017,F.Tarkanyi+,3HUNDEB,2017/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.412, p.46, 2017",D4378002,D4378,"(J,NIM/B,412,46,2017)",1,1,0,140Ce,Ce,82,140,N,6.490617627313879,0.1232548342754674,Other,-87511.9755,4.413,8373.356,0.0315,-2758.532,4.498,140116000.0,4.737,16909.855,6.025,14098.48,4.425000000000001,-1568.1799999999998,4.42,-4375.55,15.885,-8213.25,4.425000000000001,-11606.935,10.385,8323.900000000001,7.745,7928.25,4.56,-13593.895,12.835,10028.765,5.21,3941.16,27.975,6438.505,4.425000000000001,-7928.25,-8323.900000000001,-16042.3289,-13817.762900000002,-15872.7049,-14139.1144,-14098.48,-16909.855,-1568.1799999999998,-3540.8785,-7928.25,-8323.900000000001,-6099.334000000001,-12389.2815,-8428.060099999999,-8324.288500000002,-7430.9035,-7928.25,-5703.684000000001,-8323.900000000001,-7560.533900000002,-6380.4396,-2066.6710000000003,-2434.7756000000004,-2777.124,12253.7194,11885.6149
109934,proton,All_or_Total,9000,All_or_Total,Other,Lab,29070000.0,340000.0,0.00162,0.00036,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4378,2,No Pointer,58,"58-CE-0(P,X)59-PR-142,,SIG",Activation cross-section measurement of proton induced reactions on cerium,2017,F.Tarkanyi+,3HUNDEB,2017/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.412, p.46, 2017",D4378002,D4378,"(J,NIM/B,412,46,2017)",1,1,0,140Ce,Ce,82,140,N,6.490617627313879,0.1232548342754674,Other,-87511.9755,4.413,8373.356,0.0315,-2758.532,4.498,140116000.0,4.737,16909.855,6.025,14098.48,4.425000000000001,-1568.1799999999998,4.42,-4375.55,15.885,-8213.25,4.425000000000001,-11606.935,10.385,8323.900000000001,7.745,7928.25,4.56,-13593.895,12.835,10028.765,5.21,3941.16,27.975,6438.505,4.425000000000001,-7928.25,-8323.900000000001,-16042.3289,-13817.762900000002,-15872.7049,-14139.1144,-14098.48,-16909.855,-1568.1799999999998,-3540.8785,-7928.25,-8323.900000000001,-6099.334000000001,-12389.2815,-8428.060099999999,-8324.288500000002,-7430.9035,-7928.25,-5703.684000000001,-8323.900000000001,-7560.533900000002,-6380.4396,-2066.6710000000003,-2434.7756000000004,-2777.124,12253.7194,11885.6149
109935,proton,All_or_Total,9000,All_or_Total,Other,Lab,16100000.0,800000.0,0.17762,0.02286,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4378,3,No Pointer,58,"58-CE-0(P,X)59-PR-139,,SIG",Activation cross-section measurement of proton induced reactions on cerium,2017,F.Tarkanyi+,3HUNDEB,2017/11/03,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.412, p.46, 2017",D4378003,D4378,"(J,NIM/B,412,46,2017)",1,1,0,140Ce,Ce,82,140,N,6.490617627313879,0.1232548342754674,Other,-87511.9755,4.413,8373.356,0.0315,-2758.532,4.498,140116000.0,4.737,16909.855,6.025,14098.48,4.425000000000001,-1568.1799999999998,4.42,-4375.55,15.885,-8213.25,4.425000000000001,-11606.935,10.385,8323.900000000001,7.745,7928.25,4.56,-13593.895,12.835,10028.765,5.21,3941.16,27.975,6438.505,4.425000000000001,-7928.25,-8323.900000000001,-16042.3289,-13817.762900000002,-15872.7049,-14139.1144,-14098.48,-16909.855,-1568.1799999999998,-3540.8785,-7928.25,-8323.900000000001,-6099.334000000001,-12389.2815,-8428.060099999999,-8324.288500000002,-7430.9035,-7928.25,-5703.684000000001,-8323.900000000001,-7560.533900000002,-6380.4396,-2066.6710000000003,-2434.7756000000004,-2777.124,12253.7194,11885.6149
