,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
110397,proton,All_or_Total,3,All_or_Total,Other,Lab,98600000.0,1786117.8485488447,1.446,0.040488,0.0,0.0,Other,"P.KIRKBY,ET.AL. (66)     ",O0340,25,No Pointer,59,"59-PR-141(P,NON),,SIG,,,EXP",Faraday-Cup Measurement of Proton Total Reaction Cross Sections at 100 MeV.,1966,P.Kirkby+,1CANMCG,1997/06/05,"Jour. Nuclear Physics Vol.23, p.164, 1961",O0340025,O0340,"(J,NP,23,164,1961)",1,1,0,141Pr,Pr,82,141,I,6.506034829242751,0.1229627601137686,Other,-86015.644,1.665,8353.992,0.012,-1823.014,2.809,140907658.403,1.787,17339.48,7.81,13367.37,2.02,-1299.87,2.34,-5492.72,14.07,-8988.74,2.02,-9828.05,3.83,9398.87,6.12,5228.53,1.2,-16090.01,12.74,11643.02,7.23,6419.33,4.92,6149.94,3.19,-5228.53,-9398.87,-14428.0739,-12203.5079,-13394.5349,-14427.6794,-13367.37,-17339.48,-1299.87,-2605.3605,-5228.53,-9398.87,-7174.304000000001,-10610.3965,-8857.685099999999,-6710.033500000001,-8206.3935,-5228.53,-3003.9640000000004,-9398.87,-5946.278900000001,-5649.329600000001,-3141.6410000000005,264.9444000000003,-1841.606,11178.7494,14585.334900000002
110398,proton,All_or_Total,4,All_or_Total,Other,Lab,5000000.0,122776.06330669687,0.001949,0.0001958794236079,0.0,0.0,Other,"J.Olkowsky,ET.AL. (61)   ",O2104,2,No Pointer,59,"59-PR-141(P,N)60-ND-141,,SIG","Excitation function of Pr-141 (p,n) Nd-141 up to 11.1 MeV.",1961,J.Olkowsky+,2FR PAR,2020/02/03,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.44, p.1770, 1963",O2104002,O2104,"(J,ZET,44,1770,196306)",1,1,0,141Pr,Pr,82,141,I,6.506034829242751,0.1229627601137686,Other,-86015.644,1.665,8353.992,0.012,-1823.014,2.809,140907658.403,1.787,17339.48,7.81,13367.37,2.02,-1299.87,2.34,-5492.72,14.07,-8988.74,2.02,-9828.05,3.83,9398.87,6.12,5228.53,1.2,-16090.01,12.74,11643.02,7.23,6419.33,4.92,6149.94,3.19,-5228.53,-9398.87,-14428.0739,-12203.5079,-13394.5349,-14427.6794,-13367.37,-17339.48,-1299.87,-2605.3605,-5228.53,-9398.87,-7174.304000000001,-10610.3965,-8857.685099999999,-6710.033500000001,-8206.3935,-5228.53,-3003.9640000000004,-9398.87,-5946.278900000001,-5649.329600000001,-3141.6410000000005,264.9444000000003,-1841.606,11178.7494,14585.334900000002
110399,proton,All_or_Total,4,All_or_Total,Other,Lab,5020000.0,123267.16755992368,0.001333,0.0001339698674548,0.0,0.0,Other,"J.Olkowsky,ET.AL. (61)   ",O2104,2,No Pointer,59,"59-PR-141(P,N)60-ND-141,,SIG","Excitation function of Pr-141 (p,n) Nd-141 up to 11.1 MeV.",1961,J.Olkowsky+,2FR PAR,2020/02/03,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.44, p.1770, 1963",O2104002,O2104,"(J,ZET,44,1770,196306)",1,1,0,141Pr,Pr,82,141,I,6.506034829242751,0.1229627601137686,Other,-86015.644,1.665,8353.992,0.012,-1823.014,2.809,140907658.403,1.787,17339.48,7.81,13367.37,2.02,-1299.87,2.34,-5492.72,14.07,-8988.74,2.02,-9828.05,3.83,9398.87,6.12,5228.53,1.2,-16090.01,12.74,11643.02,7.23,6419.33,4.92,6149.94,3.19,-5228.53,-9398.87,-14428.0739,-12203.5079,-13394.5349,-14427.6794,-13367.37,-17339.48,-1299.87,-2605.3605,-5228.53,-9398.87,-7174.304000000001,-10610.3965,-8857.685099999999,-6710.033500000001,-8206.3935,-5228.53,-3003.9640000000004,-9398.87,-5946.278900000001,-5649.329600000001,-3141.6410000000005,264.9444000000003,-1841.606,11178.7494,14585.334900000002
110400,proton,All_or_Total,4,All_or_Total,Other,Lab,5390000.0,132352.59624461926,0.003311,0.0003327638643232,0.0,0.0,Other,"J.Olkowsky,ET.AL. (61)   ",O2104,2,No Pointer,59,"59-PR-141(P,N)60-ND-141,,SIG","Excitation function of Pr-141 (p,n) Nd-141 up to 11.1 MeV.",1961,J.Olkowsky+,2FR PAR,2020/02/03,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.44, p.1770, 1963",O2104002,O2104,"(J,ZET,44,1770,196306)",1,1,0,141Pr,Pr,82,141,I,6.506034829242751,0.1229627601137686,Other,-86015.644,1.665,8353.992,0.012,-1823.014,2.809,140907658.403,1.787,17339.48,7.81,13367.37,2.02,-1299.87,2.34,-5492.72,14.07,-8988.74,2.02,-9828.05,3.83,9398.87,6.12,5228.53,1.2,-16090.01,12.74,11643.02,7.23,6419.33,4.92,6149.94,3.19,-5228.53,-9398.87,-14428.0739,-12203.5079,-13394.5349,-14427.6794,-13367.37,-17339.48,-1299.87,-2605.3605,-5228.53,-9398.87,-7174.304000000001,-10610.3965,-8857.685099999999,-6710.033500000001,-8206.3935,-5228.53,-3003.9640000000004,-9398.87,-5946.278900000001,-5649.329600000001,-3141.6410000000005,264.9444000000003,-1841.606,11178.7494,14585.334900000002
110401,proton,All_or_Total,4,All_or_Total,Other,Lab,5500000.0,135053.66963736658,0.002912,0.0002926633563603,0.0,0.0,Other,"J.Olkowsky,ET.AL. (61)   ",O2104,2,No Pointer,59,"59-PR-141(P,N)60-ND-141,,SIG","Excitation function of Pr-141 (p,n) Nd-141 up to 11.1 MeV.",1961,J.Olkowsky+,2FR PAR,2020/02/03,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.44, p.1770, 1963",O2104002,O2104,"(J,ZET,44,1770,196306)",1,1,0,141Pr,Pr,82,141,I,6.506034829242751,0.1229627601137686,Other,-86015.644,1.665,8353.992,0.012,-1823.014,2.809,140907658.403,1.787,17339.48,7.81,13367.37,2.02,-1299.87,2.34,-5492.72,14.07,-8988.74,2.02,-9828.05,3.83,9398.87,6.12,5228.53,1.2,-16090.01,12.74,11643.02,7.23,6419.33,4.92,6149.94,3.19,-5228.53,-9398.87,-14428.0739,-12203.5079,-13394.5349,-14427.6794,-13367.37,-17339.48,-1299.87,-2605.3605,-5228.53,-9398.87,-7174.304000000001,-10610.3965,-8857.685099999999,-6710.033500000001,-8206.3935,-5228.53,-3003.9640000000004,-9398.87,-5946.278900000001,-5649.329600000001,-3141.6410000000005,264.9444000000003,-1841.606,11178.7494,14585.334900000002
110402,proton,All_or_Total,4,All_or_Total,Other,Lab,5830000.0,143156.8898156086,0.006217,0.0006248242055262,0.0,0.0,Other,"J.Olkowsky,ET.AL. (61)   ",O2104,2,No Pointer,59,"59-PR-141(P,N)60-ND-141,,SIG","Excitation function of Pr-141 (p,n) Nd-141 up to 11.1 MeV.",1961,J.Olkowsky+,2FR PAR,2020/02/03,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.44, p.1770, 1963",O2104002,O2104,"(J,ZET,44,1770,196306)",1,1,0,141Pr,Pr,82,141,I,6.506034829242751,0.1229627601137686,Other,-86015.644,1.665,8353.992,0.012,-1823.014,2.809,140907658.403,1.787,17339.48,7.81,13367.37,2.02,-1299.87,2.34,-5492.72,14.07,-8988.74,2.02,-9828.05,3.83,9398.87,6.12,5228.53,1.2,-16090.01,12.74,11643.02,7.23,6419.33,4.92,6149.94,3.19,-5228.53,-9398.87,-14428.0739,-12203.5079,-13394.5349,-14427.6794,-13367.37,-17339.48,-1299.87,-2605.3605,-5228.53,-9398.87,-7174.304000000001,-10610.3965,-8857.685099999999,-6710.033500000001,-8206.3935,-5228.53,-3003.9640000000004,-9398.87,-5946.278900000001,-5649.329600000001,-3141.6410000000005,264.9444000000003,-1841.606,11178.7494,14585.334900000002
110403,proton,All_or_Total,4,All_or_Total,Other,Lab,5960000.0,146349.0674615827,0.006026,0.0006056282230177,0.0,0.0,Other,"J.Olkowsky,ET.AL. (61)   ",O2104,2,No Pointer,59,"59-PR-141(P,N)60-ND-141,,SIG","Excitation function of Pr-141 (p,n) Nd-141 up to 11.1 MeV.",1961,J.Olkowsky+,2FR PAR,2020/02/03,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.44, p.1770, 1963",O2104002,O2104,"(J,ZET,44,1770,196306)",1,1,0,141Pr,Pr,82,141,I,6.506034829242751,0.1229627601137686,Other,-86015.644,1.665,8353.992,0.012,-1823.014,2.809,140907658.403,1.787,17339.48,7.81,13367.37,2.02,-1299.87,2.34,-5492.72,14.07,-8988.74,2.02,-9828.05,3.83,9398.87,6.12,5228.53,1.2,-16090.01,12.74,11643.02,7.23,6419.33,4.92,6149.94,3.19,-5228.53,-9398.87,-14428.0739,-12203.5079,-13394.5349,-14427.6794,-13367.37,-17339.48,-1299.87,-2605.3605,-5228.53,-9398.87,-7174.304000000001,-10610.3965,-8857.685099999999,-6710.033500000001,-8206.3935,-5228.53,-3003.9640000000004,-9398.87,-5946.278900000001,-5649.329600000001,-3141.6410000000005,264.9444000000003,-1841.606,11178.7494,14585.334900000002
110404,proton,All_or_Total,4,All_or_Total,Other,Lab,6200000.0,152242.31850030416,0.01297,0.0013035177651079,0.0,0.0,Other,"J.Olkowsky,ET.AL. (61)   ",O2104,2,No Pointer,59,"59-PR-141(P,N)60-ND-141,,SIG","Excitation function of Pr-141 (p,n) Nd-141 up to 11.1 MeV.",1961,J.Olkowsky+,2FR PAR,2020/02/03,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.44, p.1770, 1963",O2104002,O2104,"(J,ZET,44,1770,196306)",1,1,0,141Pr,Pr,82,141,I,6.506034829242751,0.1229627601137686,Other,-86015.644,1.665,8353.992,0.012,-1823.014,2.809,140907658.403,1.787,17339.48,7.81,13367.37,2.02,-1299.87,2.34,-5492.72,14.07,-8988.74,2.02,-9828.05,3.83,9398.87,6.12,5228.53,1.2,-16090.01,12.74,11643.02,7.23,6419.33,4.92,6149.94,3.19,-5228.53,-9398.87,-14428.0739,-12203.5079,-13394.5349,-14427.6794,-13367.37,-17339.48,-1299.87,-2605.3605,-5228.53,-9398.87,-7174.304000000001,-10610.3965,-8857.685099999999,-6710.033500000001,-8206.3935,-5228.53,-3003.9640000000004,-9398.87,-5946.278900000001,-5649.329600000001,-3141.6410000000005,264.9444000000003,-1841.606,11178.7494,14585.334900000002
110405,proton,All_or_Total,4,All_or_Total,Other,Lab,6720000.0,165011.02908420062,0.02236,0.0022472364863386,0.0,0.0,Other,"J.Olkowsky,ET.AL. (61)   ",O2104,2,No Pointer,59,"59-PR-141(P,N)60-ND-141,,SIG","Excitation function of Pr-141 (p,n) Nd-141 up to 11.1 MeV.",1961,J.Olkowsky+,2FR PAR,2020/02/03,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.44, p.1770, 1963",O2104002,O2104,"(J,ZET,44,1770,196306)",1,1,0,141Pr,Pr,82,141,I,6.506034829242751,0.1229627601137686,Other,-86015.644,1.665,8353.992,0.012,-1823.014,2.809,140907658.403,1.787,17339.48,7.81,13367.37,2.02,-1299.87,2.34,-5492.72,14.07,-8988.74,2.02,-9828.05,3.83,9398.87,6.12,5228.53,1.2,-16090.01,12.74,11643.02,7.23,6419.33,4.92,6149.94,3.19,-5228.53,-9398.87,-14428.0739,-12203.5079,-13394.5349,-14427.6794,-13367.37,-17339.48,-1299.87,-2605.3605,-5228.53,-9398.87,-7174.304000000001,-10610.3965,-8857.685099999999,-6710.033500000001,-8206.3935,-5228.53,-3003.9640000000004,-9398.87,-5946.278900000001,-5649.329600000001,-3141.6410000000005,264.9444000000003,-1841.606,11178.7494,14585.334900000002
110406,proton,All_or_Total,4,All_or_Total,Other,Lab,6940000.0,170413.1758696953,0.03465,0.0034824125336152,0.0,0.0,Other,"J.Olkowsky,ET.AL. (61)   ",O2104,2,No Pointer,59,"59-PR-141(P,N)60-ND-141,,SIG","Excitation function of Pr-141 (p,n) Nd-141 up to 11.1 MeV.",1961,J.Olkowsky+,2FR PAR,2020/02/03,"Jour. Zhurnal Eksperimental`noi i Teoret. Fiziki Vol.44, p.1770, 1963",O2104002,O2104,"(J,ZET,44,1770,196306)",1,1,0,141Pr,Pr,82,141,I,6.506034829242751,0.1229627601137686,Other,-86015.644,1.665,8353.992,0.012,-1823.014,2.809,140907658.403,1.787,17339.48,7.81,13367.37,2.02,-1299.87,2.34,-5492.72,14.07,-8988.74,2.02,-9828.05,3.83,9398.87,6.12,5228.53,1.2,-16090.01,12.74,11643.02,7.23,6419.33,4.92,6149.94,3.19,-5228.53,-9398.87,-14428.0739,-12203.5079,-13394.5349,-14427.6794,-13367.37,-17339.48,-1299.87,-2605.3605,-5228.53,-9398.87,-7174.304000000001,-10610.3965,-8857.685099999999,-6710.033500000001,-8206.3935,-5228.53,-3003.9640000000004,-9398.87,-5946.278900000001,-5649.329600000001,-3141.6410000000005,264.9444000000003,-1841.606,11178.7494,14585.334900000002
