,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
110882,proton,All_or_Total,3,All_or_Total,Other,Lab,98600000.0,1786117.8485488447,1.496,0.041888,0.0,0.0,Other,"P.KIRKBY,ET.AL. (66)     ",O0340,26,No Pointer,60,"60-ND-0(P,NON),,SIG,,,EXP",Faraday-Cup Measurement of Proton Total Reaction Cross Sections at 100 MeV.,1966,P.Kirkby+,1CANMCG,1997/06/05,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.314, p.1425, 2017",O0340026,O0340,"(J,JRN,314,1425,2017)",1,1,0,144Nd,Nd,84,144,N,6.551853485522241,0.122102852539022,Other,-82589.954,1.3755,8318.054499999998,0.0095,-1248.1705,2.591,144242000.00000003,1.476,13756.48,0.1649999999999999,14097.965,2.205,1739.635,1.585,-1281.525,0.8300000000000001,-8859.654999999999,2.375,-8472.900000000001,2.67,6786.175,0.14,7969.545,1.89,-10247.04,23.87,11548.715,1.4049999999999998,7175.66,1.43,8039.5,1.895,-7969.545,-6786.175,-14522.3789,-12297.8129,-12638.2049,-12538.1194,-14097.965,-13756.48,1739.635,-2030.517,-7969.545,-6786.175,-4561.609,-9255.2465,-5274.6851,-6804.338500000002,-8077.3085,-7969.545,-5744.979000000001,-6786.175,-6040.583900000001,-6379.924599999999,-528.9459999999997,-2476.0706,-1266.7625,13791.4444,11844.3199
110883,proton,All_or_Total,9000,All_or_Total,Other,Lab,6000000.0,530000.0,0.00074,8e-05,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4376,2,No Pointer,60,"60-ND-0(P,X)61-PM-150,,SIG",Activation cross sections of proton induced nuclear reactions on neodymium up to 65 MeV,2017,F.Tarkanyi+,3HUNDEB,2017/11/02,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.314, p.1425, 2017",D4376002,D4376,"(J,JRN,314,1425,2017)",1,1,0,144Nd,Nd,84,144,N,6.551853485522241,0.122102852539022,Other,-82589.954,1.3755,8318.054499999998,0.0095,-1248.1705,2.591,144242000.00000003,1.476,13756.48,0.1649999999999999,14097.965,2.205,1739.635,1.585,-1281.525,0.8300000000000001,-8859.654999999999,2.375,-8472.900000000001,2.67,6786.175,0.14,7969.545,1.89,-10247.04,23.87,11548.715,1.4049999999999998,7175.66,1.43,8039.5,1.895,-7969.545,-6786.175,-14522.3789,-12297.8129,-12638.2049,-12538.1194,-14097.965,-13756.48,1739.635,-2030.517,-7969.545,-6786.175,-4561.609,-9255.2465,-5274.6851,-6804.338500000002,-8077.3085,-7969.545,-5744.979000000001,-6786.175,-6040.583900000001,-6379.924599999999,-528.9459999999997,-2476.0706,-1266.7625,13791.4444,11844.3199
110884,proton,All_or_Total,9000,All_or_Total,Other,Lab,7800000.0,460000.0,0.00358,0.0004,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4376,2,No Pointer,60,"60-ND-0(P,X)61-PM-150,,SIG",Activation cross sections of proton induced nuclear reactions on neodymium up to 65 MeV,2017,F.Tarkanyi+,3HUNDEB,2017/11/02,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.314, p.1425, 2017",D4376002,D4376,"(J,JRN,314,1425,2017)",1,1,0,144Nd,Nd,84,144,N,6.551853485522241,0.122102852539022,Other,-82589.954,1.3755,8318.054499999998,0.0095,-1248.1705,2.591,144242000.00000003,1.476,13756.48,0.1649999999999999,14097.965,2.205,1739.635,1.585,-1281.525,0.8300000000000001,-8859.654999999999,2.375,-8472.900000000001,2.67,6786.175,0.14,7969.545,1.89,-10247.04,23.87,11548.715,1.4049999999999998,7175.66,1.43,8039.5,1.895,-7969.545,-6786.175,-14522.3789,-12297.8129,-12638.2049,-12538.1194,-14097.965,-13756.48,1739.635,-2030.517,-7969.545,-6786.175,-4561.609,-9255.2465,-5274.6851,-6804.338500000002,-8077.3085,-7969.545,-5744.979000000001,-6786.175,-6040.583900000001,-6379.924599999999,-528.9459999999997,-2476.0706,-1266.7625,13791.4444,11844.3199
110885,proton,All_or_Total,9000,All_or_Total,Other,Lab,9450000.0,390000.0,0.00301,0.00034,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4376,2,No Pointer,60,"60-ND-0(P,X)61-PM-150,,SIG",Activation cross sections of proton induced nuclear reactions on neodymium up to 65 MeV,2017,F.Tarkanyi+,3HUNDEB,2017/11/02,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.314, p.1425, 2017",D4376002,D4376,"(J,JRN,314,1425,2017)",1,1,0,144Nd,Nd,84,144,N,6.551853485522241,0.122102852539022,Other,-82589.954,1.3755,8318.054499999998,0.0095,-1248.1705,2.591,144242000.00000003,1.476,13756.48,0.1649999999999999,14097.965,2.205,1739.635,1.585,-1281.525,0.8300000000000001,-8859.654999999999,2.375,-8472.900000000001,2.67,6786.175,0.14,7969.545,1.89,-10247.04,23.87,11548.715,1.4049999999999998,7175.66,1.43,8039.5,1.895,-7969.545,-6786.175,-14522.3789,-12297.8129,-12638.2049,-12538.1194,-14097.965,-13756.48,1739.635,-2030.517,-7969.545,-6786.175,-4561.609,-9255.2465,-5274.6851,-6804.338500000002,-8077.3085,-7969.545,-5744.979000000001,-6786.175,-6040.583900000001,-6379.924599999999,-528.9459999999997,-2476.0706,-1266.7625,13791.4444,11844.3199
110886,proton,All_or_Total,9000,All_or_Total,Other,Lab,10880000.0,340000.0,0.00215,0.00024,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4376,2,No Pointer,60,"60-ND-0(P,X)61-PM-150,,SIG",Activation cross sections of proton induced nuclear reactions on neodymium up to 65 MeV,2017,F.Tarkanyi+,3HUNDEB,2017/11/02,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.314, p.1425, 2017",D4376002,D4376,"(J,JRN,314,1425,2017)",1,1,0,144Nd,Nd,84,144,N,6.551853485522241,0.122102852539022,Other,-82589.954,1.3755,8318.054499999998,0.0095,-1248.1705,2.591,144242000.00000003,1.476,13756.48,0.1649999999999999,14097.965,2.205,1739.635,1.585,-1281.525,0.8300000000000001,-8859.654999999999,2.375,-8472.900000000001,2.67,6786.175,0.14,7969.545,1.89,-10247.04,23.87,11548.715,1.4049999999999998,7175.66,1.43,8039.5,1.895,-7969.545,-6786.175,-14522.3789,-12297.8129,-12638.2049,-12538.1194,-14097.965,-13756.48,1739.635,-2030.517,-7969.545,-6786.175,-4561.609,-9255.2465,-5274.6851,-6804.338500000002,-8077.3085,-7969.545,-5744.979000000001,-6786.175,-6040.583900000001,-6379.924599999999,-528.9459999999997,-2476.0706,-1266.7625,13791.4444,11844.3199
110887,proton,All_or_Total,9000,All_or_Total,Other,Lab,12030000.0,290000.0,0.00177,0.0002,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4376,2,No Pointer,60,"60-ND-0(P,X)61-PM-150,,SIG",Activation cross sections of proton induced nuclear reactions on neodymium up to 65 MeV,2017,F.Tarkanyi+,3HUNDEB,2017/11/02,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.314, p.1425, 2017",D4376002,D4376,"(J,JRN,314,1425,2017)",1,1,0,144Nd,Nd,84,144,N,6.551853485522241,0.122102852539022,Other,-82589.954,1.3755,8318.054499999998,0.0095,-1248.1705,2.591,144242000.00000003,1.476,13756.48,0.1649999999999999,14097.965,2.205,1739.635,1.585,-1281.525,0.8300000000000001,-8859.654999999999,2.375,-8472.900000000001,2.67,6786.175,0.14,7969.545,1.89,-10247.04,23.87,11548.715,1.4049999999999998,7175.66,1.43,8039.5,1.895,-7969.545,-6786.175,-14522.3789,-12297.8129,-12638.2049,-12538.1194,-14097.965,-13756.48,1739.635,-2030.517,-7969.545,-6786.175,-4561.609,-9255.2465,-5274.6851,-6804.338500000002,-8077.3085,-7969.545,-5744.979000000001,-6786.175,-6040.583900000001,-6379.924599999999,-528.9459999999997,-2476.0706,-1266.7625,13791.4444,11844.3199
110888,proton,All_or_Total,9000,All_or_Total,Other,Lab,13240000.0,240000.0,0.00149,0.00017,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4376,2,No Pointer,60,"60-ND-0(P,X)61-PM-150,,SIG",Activation cross sections of proton induced nuclear reactions on neodymium up to 65 MeV,2017,F.Tarkanyi+,3HUNDEB,2017/11/02,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.314, p.1425, 2017",D4376002,D4376,"(J,JRN,314,1425,2017)",1,1,0,144Nd,Nd,84,144,N,6.551853485522241,0.122102852539022,Other,-82589.954,1.3755,8318.054499999998,0.0095,-1248.1705,2.591,144242000.00000003,1.476,13756.48,0.1649999999999999,14097.965,2.205,1739.635,1.585,-1281.525,0.8300000000000001,-8859.654999999999,2.375,-8472.900000000001,2.67,6786.175,0.14,7969.545,1.89,-10247.04,23.87,11548.715,1.4049999999999998,7175.66,1.43,8039.5,1.895,-7969.545,-6786.175,-14522.3789,-12297.8129,-12638.2049,-12538.1194,-14097.965,-13756.48,1739.635,-2030.517,-7969.545,-6786.175,-4561.609,-9255.2465,-5274.6851,-6804.338500000002,-8077.3085,-7969.545,-5744.979000000001,-6786.175,-6040.583900000001,-6379.924599999999,-528.9459999999997,-2476.0706,-1266.7625,13791.4444,11844.3199
110889,proton,All_or_Total,9000,All_or_Total,Other,Lab,14320000.0,200000.0,0.00145,0.00016,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4376,2,No Pointer,60,"60-ND-0(P,X)61-PM-150,,SIG",Activation cross sections of proton induced nuclear reactions on neodymium up to 65 MeV,2017,F.Tarkanyi+,3HUNDEB,2017/11/02,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.314, p.1425, 2017",D4376002,D4376,"(J,JRN,314,1425,2017)",1,1,0,144Nd,Nd,84,144,N,6.551853485522241,0.122102852539022,Other,-82589.954,1.3755,8318.054499999998,0.0095,-1248.1705,2.591,144242000.00000003,1.476,13756.48,0.1649999999999999,14097.965,2.205,1739.635,1.585,-1281.525,0.8300000000000001,-8859.654999999999,2.375,-8472.900000000001,2.67,6786.175,0.14,7969.545,1.89,-10247.04,23.87,11548.715,1.4049999999999998,7175.66,1.43,8039.5,1.895,-7969.545,-6786.175,-14522.3789,-12297.8129,-12638.2049,-12538.1194,-14097.965,-13756.48,1739.635,-2030.517,-7969.545,-6786.175,-4561.609,-9255.2465,-5274.6851,-6804.338500000002,-8077.3085,-7969.545,-5744.979000000001,-6786.175,-6040.583900000001,-6379.924599999999,-528.9459999999997,-2476.0706,-1266.7625,13791.4444,11844.3199
110890,proton,All_or_Total,9000,All_or_Total,Other,Lab,29930000.0,1330000.0,0.00085,0.00013,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4376,2,No Pointer,60,"60-ND-0(P,X)61-PM-150,,SIG",Activation cross sections of proton induced nuclear reactions on neodymium up to 65 MeV,2017,F.Tarkanyi+,3HUNDEB,2017/11/02,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.314, p.1425, 2017",D4376002,D4376,"(J,JRN,314,1425,2017)",1,1,0,144Nd,Nd,84,144,N,6.551853485522241,0.122102852539022,Other,-82589.954,1.3755,8318.054499999998,0.0095,-1248.1705,2.591,144242000.00000003,1.476,13756.48,0.1649999999999999,14097.965,2.205,1739.635,1.585,-1281.525,0.8300000000000001,-8859.654999999999,2.375,-8472.900000000001,2.67,6786.175,0.14,7969.545,1.89,-10247.04,23.87,11548.715,1.4049999999999998,7175.66,1.43,8039.5,1.895,-7969.545,-6786.175,-14522.3789,-12297.8129,-12638.2049,-12538.1194,-14097.965,-13756.48,1739.635,-2030.517,-7969.545,-6786.175,-4561.609,-9255.2465,-5274.6851,-6804.338500000002,-8077.3085,-7969.545,-5744.979000000001,-6786.175,-6040.583900000001,-6379.924599999999,-528.9459999999997,-2476.0706,-1266.7625,13791.4444,11844.3199
110891,proton,All_or_Total,9000,All_or_Total,Other,Lab,31110000.0,1290000.0,0.00088,0.00014,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4376,2,No Pointer,60,"60-ND-0(P,X)61-PM-150,,SIG",Activation cross sections of proton induced nuclear reactions on neodymium up to 65 MeV,2017,F.Tarkanyi+,3HUNDEB,2017/11/02,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.314, p.1425, 2017",D4376002,D4376,"(J,JRN,314,1425,2017)",1,1,0,144Nd,Nd,84,144,N,6.551853485522241,0.122102852539022,Other,-82589.954,1.3755,8318.054499999998,0.0095,-1248.1705,2.591,144242000.00000003,1.476,13756.48,0.1649999999999999,14097.965,2.205,1739.635,1.585,-1281.525,0.8300000000000001,-8859.654999999999,2.375,-8472.900000000001,2.67,6786.175,0.14,7969.545,1.89,-10247.04,23.87,11548.715,1.4049999999999998,7175.66,1.43,8039.5,1.895,-7969.545,-6786.175,-14522.3789,-12297.8129,-12638.2049,-12538.1194,-14097.965,-13756.48,1739.635,-2030.517,-7969.545,-6786.175,-4561.609,-9255.2465,-5274.6851,-6804.338500000002,-8077.3085,-7969.545,-5744.979000000001,-6786.175,-6040.583900000001,-6379.924599999999,-528.9459999999997,-2476.0706,-1266.7625,13791.4444,11844.3199
