,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
112628,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,4430000.0,37000.0,0.000512,6.8e-05,0.0,0.0,Other,"I.Gheorghe,ET.AL. (14)   ",D0742,2,No Pointer,62,"62-SM-147(P,N)63-EU-147,,SIG","Absolute Cross Sections for Proton Induced Reactions on 147,149Sm Below the Coulomb Barrier",2014,I.Gheorghe+,3RUMBUC,2014/10/03,"Jour. Romanian Journal of Physics Vol.55, p.1006, 2010",D0742002,D0742,"(J,RJP,55,1006,2010)",1,1,0,147Sm,Sm,85,147,I,6.597040109880094,0.1212665053835091,Other,-79266.354,1.372,8280.575,0.009,-1721.598,2.281,146914904.064,1.473,14757.67,0.91,12412.34,0.41,2310.96,0.35,-3909.41,1.46,-5629.46,0.41,-10220.13,5.95,6341.36,2.83,7101.02,4.12,-15070.32,8.95,12711.93,2.54,7013.79,2.66,10128.0,0.35,-7101.02,-6341.36,-13359.1639,-11134.5979,-12800.0749,-10449.6194,-12412.34,-14757.67,2310.96,-2503.9445,-7101.02,-6341.36,-4116.794,-11002.4765,-6275.875099999998,-5641.123500000002,-4847.1135,-7101.02,-4876.4540000000015,-6341.36,-4877.368900000001,-4694.2996,-84.1309999999994,-1607.5456000000006,-1740.19,14236.2594,12712.8449
112629,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,5240000.0,108000.0,0.00392,0.00054,0.0,0.0,Other,"I.Gheorghe,ET.AL. (14)   ",D0742,2,No Pointer,62,"62-SM-147(P,N)63-EU-147,,SIG","Absolute Cross Sections for Proton Induced Reactions on 147,149Sm Below the Coulomb Barrier",2014,I.Gheorghe+,3RUMBUC,2014/10/03,"Jour. Romanian Journal of Physics Vol.55, p.1006, 2010",D0742002,D0742,"(J,RJP,55,1006,2010)",1,1,0,147Sm,Sm,85,147,I,6.597040109880094,0.1212665053835091,Other,-79266.354,1.372,8280.575,0.009,-1721.598,2.281,146914904.064,1.473,14757.67,0.91,12412.34,0.41,2310.96,0.35,-3909.41,1.46,-5629.46,0.41,-10220.13,5.95,6341.36,2.83,7101.02,4.12,-15070.32,8.95,12711.93,2.54,7013.79,2.66,10128.0,0.35,-7101.02,-6341.36,-13359.1639,-11134.5979,-12800.0749,-10449.6194,-12412.34,-14757.67,2310.96,-2503.9445,-7101.02,-6341.36,-4116.794,-11002.4765,-6275.875099999998,-5641.123500000002,-4847.1135,-7101.02,-4876.4540000000015,-6341.36,-4877.368900000001,-4694.2996,-84.1309999999994,-1607.5456000000006,-1740.19,14236.2594,12712.8449
112630,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,6464000.0,35000.0,0.028,0.0038,0.0,0.0,Other,"I.Gheorghe,ET.AL. (14)   ",D0742,2,No Pointer,62,"62-SM-147(P,N)63-EU-147,,SIG","Absolute Cross Sections for Proton Induced Reactions on 147,149Sm Below the Coulomb Barrier",2014,I.Gheorghe+,3RUMBUC,2014/10/03,"Jour. Romanian Journal of Physics Vol.55, p.1006, 2010",D0742002,D0742,"(J,RJP,55,1006,2010)",1,1,0,147Sm,Sm,85,147,I,6.597040109880094,0.1212665053835091,Other,-79266.354,1.372,8280.575,0.009,-1721.598,2.281,146914904.064,1.473,14757.67,0.91,12412.34,0.41,2310.96,0.35,-3909.41,1.46,-5629.46,0.41,-10220.13,5.95,6341.36,2.83,7101.02,4.12,-15070.32,8.95,12711.93,2.54,7013.79,2.66,10128.0,0.35,-7101.02,-6341.36,-13359.1639,-11134.5979,-12800.0749,-10449.6194,-12412.34,-14757.67,2310.96,-2503.9445,-7101.02,-6341.36,-4116.794,-11002.4765,-6275.875099999998,-5641.123500000002,-4847.1135,-7101.02,-4876.4540000000015,-6341.36,-4877.368900000001,-4694.2996,-84.1309999999994,-1607.5456000000006,-1740.19,14236.2594,12712.8449
112631,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,7509000.0,103000.0,0.1037,0.0093,0.0,0.0,Other,"I.Gheorghe,ET.AL. (14)   ",D0742,2,No Pointer,62,"62-SM-147(P,N)63-EU-147,,SIG","Absolute Cross Sections for Proton Induced Reactions on 147,149Sm Below the Coulomb Barrier",2014,I.Gheorghe+,3RUMBUC,2014/10/03,"Jour. Romanian Journal of Physics Vol.55, p.1006, 2010",D0742002,D0742,"(J,RJP,55,1006,2010)",1,1,0,147Sm,Sm,85,147,I,6.597040109880094,0.1212665053835091,Other,-79266.354,1.372,8280.575,0.009,-1721.598,2.281,146914904.064,1.473,14757.67,0.91,12412.34,0.41,2310.96,0.35,-3909.41,1.46,-5629.46,0.41,-10220.13,5.95,6341.36,2.83,7101.02,4.12,-15070.32,8.95,12711.93,2.54,7013.79,2.66,10128.0,0.35,-7101.02,-6341.36,-13359.1639,-11134.5979,-12800.0749,-10449.6194,-12412.34,-14757.67,2310.96,-2503.9445,-7101.02,-6341.36,-4116.794,-11002.4765,-6275.875099999998,-5641.123500000002,-4847.1135,-7101.02,-4876.4540000000015,-6341.36,-4877.368900000001,-4694.2996,-84.1309999999994,-1607.5456000000006,-1740.19,14236.2594,12712.8449
112632,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,8509000.0,34000.0,0.218,0.019,0.0,0.0,Other,"I.Gheorghe,ET.AL. (14)   ",D0742,2,No Pointer,62,"62-SM-147(P,N)63-EU-147,,SIG","Absolute Cross Sections for Proton Induced Reactions on 147,149Sm Below the Coulomb Barrier",2014,I.Gheorghe+,3RUMBUC,2014/10/03,"Jour. Romanian Journal of Physics Vol.55, p.1006, 2010",D0742002,D0742,"(J,RJP,55,1006,2010)",1,1,0,147Sm,Sm,85,147,I,6.597040109880094,0.1212665053835091,Other,-79266.354,1.372,8280.575,0.009,-1721.598,2.281,146914904.064,1.473,14757.67,0.91,12412.34,0.41,2310.96,0.35,-3909.41,1.46,-5629.46,0.41,-10220.13,5.95,6341.36,2.83,7101.02,4.12,-15070.32,8.95,12711.93,2.54,7013.79,2.66,10128.0,0.35,-7101.02,-6341.36,-13359.1639,-11134.5979,-12800.0749,-10449.6194,-12412.34,-14757.67,2310.96,-2503.9445,-7101.02,-6341.36,-4116.794,-11002.4765,-6275.875099999998,-5641.123500000002,-4847.1135,-7101.02,-4876.4540000000015,-6341.36,-4877.368900000001,-4694.2996,-84.1309999999994,-1607.5456000000006,-1740.19,14236.2594,12712.8449
112633,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,5240000.0,110000.0,0.0028805,0.00032864,0.0,0.0,Other,"M.Ivascu,ET.AL. (10)     ",D0646,4,No Pointer,62,"62-SM-147(P,N)63-EU-147,,SIG",Astrophysical S factor for proton capture on 147Sm and 149Sm,2010,M.Ivascu+,3RUMBUC,2011/02/03,"Jour. Jour. of Nuclear Science and Technology Vol.39, Issue.4, p.329, 2002",D0646004,D0646,"(J,NST,39,(4),329,200204)",1,1,0,147Sm,Sm,85,147,I,6.597040109880094,0.1212665053835091,Other,-79266.354,1.372,8280.575,0.009,-1721.598,2.281,146914904.064,1.473,14757.67,0.91,12412.34,0.41,2310.96,0.35,-3909.41,1.46,-5629.46,0.41,-10220.13,5.95,6341.36,2.83,7101.02,4.12,-15070.32,8.95,12711.93,2.54,7013.79,2.66,10128.0,0.35,-7101.02,-6341.36,-13359.1639,-11134.5979,-12800.0749,-10449.6194,-12412.34,-14757.67,2310.96,-2503.9445,-7101.02,-6341.36,-4116.794,-11002.4765,-6275.875099999998,-5641.123500000002,-4847.1135,-7101.02,-4876.4540000000015,-6341.36,-4877.368900000001,-4694.2996,-84.1309999999994,-1607.5456000000006,-1740.19,14236.2594,12712.8449
112634,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,5240000.0,110000.0,0.0028525,0.00033331,0.0,0.0,Other,"M.Ivascu,ET.AL. (10)     ",D0646,4,No Pointer,62,"62-SM-147(P,N)63-EU-147,,SIG",Astrophysical S factor for proton capture on 147Sm and 149Sm,2010,M.Ivascu+,3RUMBUC,2011/02/03,"Jour. Jour. of Nuclear Science and Technology Vol.39, Issue.4, p.329, 2002",D0646004,D0646,"(J,NST,39,(4),329,200204)",1,1,0,147Sm,Sm,85,147,I,6.597040109880094,0.1212665053835091,Other,-79266.354,1.372,8280.575,0.009,-1721.598,2.281,146914904.064,1.473,14757.67,0.91,12412.34,0.41,2310.96,0.35,-3909.41,1.46,-5629.46,0.41,-10220.13,5.95,6341.36,2.83,7101.02,4.12,-15070.32,8.95,12711.93,2.54,7013.79,2.66,10128.0,0.35,-7101.02,-6341.36,-13359.1639,-11134.5979,-12800.0749,-10449.6194,-12412.34,-14757.67,2310.96,-2503.9445,-7101.02,-6341.36,-4116.794,-11002.4765,-6275.875099999998,-5641.123500000002,-4847.1135,-7101.02,-4876.4540000000015,-6341.36,-4877.368900000001,-4694.2996,-84.1309999999994,-1607.5456000000006,-1740.19,14236.2594,12712.8449
112635,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,5240000.0,110000.0,0.0028363,0.00023191,0.0,0.0,Other,"M.Ivascu,ET.AL. (10)     ",D0646,4,No Pointer,62,"62-SM-147(P,N)63-EU-147,,SIG",Astrophysical S factor for proton capture on 147Sm and 149Sm,2010,M.Ivascu+,3RUMBUC,2011/02/03,"Jour. Jour. of Nuclear Science and Technology Vol.39, Issue.4, p.329, 2002",D0646004,D0646,"(J,NST,39,(4),329,200204)",1,1,0,147Sm,Sm,85,147,I,6.597040109880094,0.1212665053835091,Other,-79266.354,1.372,8280.575,0.009,-1721.598,2.281,146914904.064,1.473,14757.67,0.91,12412.34,0.41,2310.96,0.35,-3909.41,1.46,-5629.46,0.41,-10220.13,5.95,6341.36,2.83,7101.02,4.12,-15070.32,8.95,12711.93,2.54,7013.79,2.66,10128.0,0.35,-7101.02,-6341.36,-13359.1639,-11134.5979,-12800.0749,-10449.6194,-12412.34,-14757.67,2310.96,-2503.9445,-7101.02,-6341.36,-4116.794,-11002.4765,-6275.875099999998,-5641.123500000002,-4847.1135,-7101.02,-4876.4540000000015,-6341.36,-4877.368900000001,-4694.2996,-84.1309999999994,-1607.5456000000006,-1740.19,14236.2594,12712.8449
112636,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,5240000.0,110000.0,0.0028873,0.00022272,0.0,0.0,Other,"M.Ivascu,ET.AL. (10)     ",D0646,4,No Pointer,62,"62-SM-147(P,N)63-EU-147,,SIG",Astrophysical S factor for proton capture on 147Sm and 149Sm,2010,M.Ivascu+,3RUMBUC,2011/02/03,"Jour. Jour. of Nuclear Science and Technology Vol.39, Issue.4, p.329, 2002",D0646004,D0646,"(J,NST,39,(4),329,200204)",1,1,0,147Sm,Sm,85,147,I,6.597040109880094,0.1212665053835091,Other,-79266.354,1.372,8280.575,0.009,-1721.598,2.281,146914904.064,1.473,14757.67,0.91,12412.34,0.41,2310.96,0.35,-3909.41,1.46,-5629.46,0.41,-10220.13,5.95,6341.36,2.83,7101.02,4.12,-15070.32,8.95,12711.93,2.54,7013.79,2.66,10128.0,0.35,-7101.02,-6341.36,-13359.1639,-11134.5979,-12800.0749,-10449.6194,-12412.34,-14757.67,2310.96,-2503.9445,-7101.02,-6341.36,-4116.794,-11002.4765,-6275.875099999998,-5641.123500000002,-4847.1135,-7101.02,-4876.4540000000015,-6341.36,-4877.368900000001,-4694.2996,-84.1309999999994,-1607.5456000000006,-1740.19,14236.2594,12712.8449
112637,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,5240000.0,110000.0,0.0031396,0.00025123,0.0,0.0,Other,"M.Ivascu,ET.AL. (10)     ",D0646,4,No Pointer,62,"62-SM-147(P,N)63-EU-147,,SIG",Astrophysical S factor for proton capture on 147Sm and 149Sm,2010,M.Ivascu+,3RUMBUC,2011/02/03,"Jour. Jour. of Nuclear Science and Technology Vol.39, Issue.4, p.329, 2002",D0646004,D0646,"(J,NST,39,(4),329,200204)",1,1,0,147Sm,Sm,85,147,I,6.597040109880094,0.1212665053835091,Other,-79266.354,1.372,8280.575,0.009,-1721.598,2.281,146914904.064,1.473,14757.67,0.91,12412.34,0.41,2310.96,0.35,-3909.41,1.46,-5629.46,0.41,-10220.13,5.95,6341.36,2.83,7101.02,4.12,-15070.32,8.95,12711.93,2.54,7013.79,2.66,10128.0,0.35,-7101.02,-6341.36,-13359.1639,-11134.5979,-12800.0749,-10449.6194,-12412.34,-14757.67,2310.96,-2503.9445,-7101.02,-6341.36,-4116.794,-11002.4765,-6275.875099999998,-5641.123500000002,-4847.1135,-7101.02,-4876.4540000000015,-6341.36,-4877.368900000001,-4694.2996,-84.1309999999994,-1607.5456000000006,-1740.19,14236.2594,12712.8449
