,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
7022,proton,All_or_Total,4,All_or_Total,Other,Lab,680000.0,16697.544609710778,0.00017,1.7085429457852354e-05,0.0,0.0,Other,"J.H.Gibbons,ET.AL. (59)  ",T0010,11,No Pointer,6,"6-C-14(P,N)7-N-14,,SIG",Total neutron yields from light elements under proton and alpha bombardment,1959,J.H.Gibbons+,1USAORL,1999/10/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.43, p.883, 1991",T0010011,T0010,"(J,PR/C,43,883,1991)",1,1,0,14C,C,8,14,I,3.012677830219037,0.2655444906771979,Other,3019.89278,0.00376,7520.319,0.0,156.476,0.004,14003241.98843,0.00403,13122.74,0.0,36635.81,1.91,-12012.51,0.08,-4987.89,0.03,-37928.15,10.18,-10396.91,0.27,8176.43,0.0,20831.02,1.0,-34308.0904087456,-221.6738887121492,361.3,1.32,-783.76,0.01,-11510.87,0.24,-20831.02,-8176.43,-25709.7939,-23485.2279,-20597.6249,-32088.4894,-36635.81,-13122.74,-12012.51,-625.8705,-20831.02,-8176.43,-5951.864000000001,-11179.2565,-4640.945099999999,-17991.753500000006,-37145.8035,-20831.02,-18606.454,-8176.43,-17227.998900000002,-28917.7696,-1919.201,-15337.5456,137.884,12401.1894,-1017.1551
7023,proton,All_or_Total,4,All_or_Total,Other,Lab,693000.0,17016.76237430819,0.00022,2.21105557689854e-05,0.0,0.0,Other,"J.H.Gibbons,ET.AL. (59)  ",T0010,11,No Pointer,6,"6-C-14(P,N)7-N-14,,SIG",Total neutron yields from light elements under proton and alpha bombardment,1959,J.H.Gibbons+,1USAORL,1999/10/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.43, p.883, 1991",T0010011,T0010,"(J,PR/C,43,883,1991)",1,1,0,14C,C,8,14,I,3.012677830219037,0.2655444906771979,Other,3019.89278,0.00376,7520.319,0.0,156.476,0.004,14003241.98843,0.00403,13122.74,0.0,36635.81,1.91,-12012.51,0.08,-4987.89,0.03,-37928.15,10.18,-10396.91,0.27,8176.43,0.0,20831.02,1.0,-34308.0904087456,-221.6738887121492,361.3,1.32,-783.76,0.01,-11510.87,0.24,-20831.02,-8176.43,-25709.7939,-23485.2279,-20597.6249,-32088.4894,-36635.81,-13122.74,-12012.51,-625.8705,-20831.02,-8176.43,-5951.864000000001,-11179.2565,-4640.945099999999,-17991.753500000006,-37145.8035,-20831.02,-18606.454,-8176.43,-17227.998900000002,-28917.7696,-1919.201,-15337.5456,137.884,12401.1894,-1017.1551
7024,proton,All_or_Total,4,All_or_Total,Other,Lab,707000.0,17360.53535156694,0.00027,2.7135682080118443e-05,0.0,0.0,Other,"J.H.Gibbons,ET.AL. (59)  ",T0010,11,No Pointer,6,"6-C-14(P,N)7-N-14,,SIG",Total neutron yields from light elements under proton and alpha bombardment,1959,J.H.Gibbons+,1USAORL,1999/10/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.43, p.883, 1991",T0010011,T0010,"(J,PR/C,43,883,1991)",1,1,0,14C,C,8,14,I,3.012677830219037,0.2655444906771979,Other,3019.89278,0.00376,7520.319,0.0,156.476,0.004,14003241.98843,0.00403,13122.74,0.0,36635.81,1.91,-12012.51,0.08,-4987.89,0.03,-37928.15,10.18,-10396.91,0.27,8176.43,0.0,20831.02,1.0,-34308.0904087456,-221.6738887121492,361.3,1.32,-783.76,0.01,-11510.87,0.24,-20831.02,-8176.43,-25709.7939,-23485.2279,-20597.6249,-32088.4894,-36635.81,-13122.74,-12012.51,-625.8705,-20831.02,-8176.43,-5951.864000000001,-11179.2565,-4640.945099999999,-17991.753500000006,-37145.8035,-20831.02,-18606.454,-8176.43,-17227.998900000002,-28917.7696,-1919.201,-15337.5456,137.884,12401.1894,-1017.1551
7025,proton,All_or_Total,4,All_or_Total,Other,Lab,721000.0,17704.308328825693,0.00032,3.216080839125149e-05,0.0,0.0,Other,"J.H.Gibbons,ET.AL. (59)  ",T0010,11,No Pointer,6,"6-C-14(P,N)7-N-14,,SIG",Total neutron yields from light elements under proton and alpha bombardment,1959,J.H.Gibbons+,1USAORL,1999/10/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.43, p.883, 1991",T0010011,T0010,"(J,PR/C,43,883,1991)",1,1,0,14C,C,8,14,I,3.012677830219037,0.2655444906771979,Other,3019.89278,0.00376,7520.319,0.0,156.476,0.004,14003241.98843,0.00403,13122.74,0.0,36635.81,1.91,-12012.51,0.08,-4987.89,0.03,-37928.15,10.18,-10396.91,0.27,8176.43,0.0,20831.02,1.0,-34308.0904087456,-221.6738887121492,361.3,1.32,-783.76,0.01,-11510.87,0.24,-20831.02,-8176.43,-25709.7939,-23485.2279,-20597.6249,-32088.4894,-36635.81,-13122.74,-12012.51,-625.8705,-20831.02,-8176.43,-5951.864000000001,-11179.2565,-4640.945099999999,-17991.753500000006,-37145.8035,-20831.02,-18606.454,-8176.43,-17227.998900000002,-28917.7696,-1919.201,-15337.5456,137.884,12401.1894,-1017.1551
7026,proton,All_or_Total,4,All_or_Total,Other,Lab,736000.0,18072.63651874578,0.00035,3.517588417793131e-05,0.0,0.0,Other,"J.H.Gibbons,ET.AL. (59)  ",T0010,11,No Pointer,6,"6-C-14(P,N)7-N-14,,SIG",Total neutron yields from light elements under proton and alpha bombardment,1959,J.H.Gibbons+,1USAORL,1999/10/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.43, p.883, 1991",T0010011,T0010,"(J,PR/C,43,883,1991)",1,1,0,14C,C,8,14,I,3.012677830219037,0.2655444906771979,Other,3019.89278,0.00376,7520.319,0.0,156.476,0.004,14003241.98843,0.00403,13122.74,0.0,36635.81,1.91,-12012.51,0.08,-4987.89,0.03,-37928.15,10.18,-10396.91,0.27,8176.43,0.0,20831.02,1.0,-34308.0904087456,-221.6738887121492,361.3,1.32,-783.76,0.01,-11510.87,0.24,-20831.02,-8176.43,-25709.7939,-23485.2279,-20597.6249,-32088.4894,-36635.81,-13122.74,-12012.51,-625.8705,-20831.02,-8176.43,-5951.864000000001,-11179.2565,-4640.945099999999,-17991.753500000006,-37145.8035,-20831.02,-18606.454,-8176.43,-17227.998900000002,-28917.7696,-1919.201,-15337.5456,137.884,12401.1894,-1017.1551
7027,proton,All_or_Total,4,All_or_Total,Other,Lab,764000.0,18760.182473263285,0.00058,5.829146520914333e-05,0.0,0.0,Other,"J.H.Gibbons,ET.AL. (59)  ",T0010,11,No Pointer,6,"6-C-14(P,N)7-N-14,,SIG",Total neutron yields from light elements under proton and alpha bombardment,1959,J.H.Gibbons+,1USAORL,1999/10/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.43, p.883, 1991",T0010011,T0010,"(J,PR/C,43,883,1991)",1,1,0,14C,C,8,14,I,3.012677830219037,0.2655444906771979,Other,3019.89278,0.00376,7520.319,0.0,156.476,0.004,14003241.98843,0.00403,13122.74,0.0,36635.81,1.91,-12012.51,0.08,-4987.89,0.03,-37928.15,10.18,-10396.91,0.27,8176.43,0.0,20831.02,1.0,-34308.0904087456,-221.6738887121492,361.3,1.32,-783.76,0.01,-11510.87,0.24,-20831.02,-8176.43,-25709.7939,-23485.2279,-20597.6249,-32088.4894,-36635.81,-13122.74,-12012.51,-625.8705,-20831.02,-8176.43,-5951.864000000001,-11179.2565,-4640.945099999999,-17991.753500000006,-37145.8035,-20831.02,-18606.454,-8176.43,-17227.998900000002,-28917.7696,-1919.201,-15337.5456,137.884,12401.1894,-1017.1551
7028,proton,All_or_Total,4,All_or_Total,Other,Lab,794000.0,19496.838853103465,0.00065,6.532664204472957e-05,0.0,0.0,Other,"J.H.Gibbons,ET.AL. (59)  ",T0010,11,No Pointer,6,"6-C-14(P,N)7-N-14,,SIG",Total neutron yields from light elements under proton and alpha bombardment,1959,J.H.Gibbons+,1USAORL,1999/10/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.43, p.883, 1991",T0010011,T0010,"(J,PR/C,43,883,1991)",1,1,0,14C,C,8,14,I,3.012677830219037,0.2655444906771979,Other,3019.89278,0.00376,7520.319,0.0,156.476,0.004,14003241.98843,0.00403,13122.74,0.0,36635.81,1.91,-12012.51,0.08,-4987.89,0.03,-37928.15,10.18,-10396.91,0.27,8176.43,0.0,20831.02,1.0,-34308.0904087456,-221.6738887121492,361.3,1.32,-783.76,0.01,-11510.87,0.24,-20831.02,-8176.43,-25709.7939,-23485.2279,-20597.6249,-32088.4894,-36635.81,-13122.74,-12012.51,-625.8705,-20831.02,-8176.43,-5951.864000000001,-11179.2565,-4640.945099999999,-17991.753500000006,-37145.8035,-20831.02,-18606.454,-8176.43,-17227.998900000002,-28917.7696,-1919.201,-15337.5456,137.884,12401.1894,-1017.1551
7029,proton,All_or_Total,4,All_or_Total,Other,Lab,824000.0,20233.49523294365,0.00064,6.432161678250298e-05,0.0,0.0,Other,"J.H.Gibbons,ET.AL. (59)  ",T0010,11,No Pointer,6,"6-C-14(P,N)7-N-14,,SIG",Total neutron yields from light elements under proton and alpha bombardment,1959,J.H.Gibbons+,1USAORL,1999/10/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.43, p.883, 1991",T0010011,T0010,"(J,PR/C,43,883,1991)",1,1,0,14C,C,8,14,I,3.012677830219037,0.2655444906771979,Other,3019.89278,0.00376,7520.319,0.0,156.476,0.004,14003241.98843,0.00403,13122.74,0.0,36635.81,1.91,-12012.51,0.08,-4987.89,0.03,-37928.15,10.18,-10396.91,0.27,8176.43,0.0,20831.02,1.0,-34308.0904087456,-221.6738887121492,361.3,1.32,-783.76,0.01,-11510.87,0.24,-20831.02,-8176.43,-25709.7939,-23485.2279,-20597.6249,-32088.4894,-36635.81,-13122.74,-12012.51,-625.8705,-20831.02,-8176.43,-5951.864000000001,-11179.2565,-4640.945099999999,-17991.753500000006,-37145.8035,-20831.02,-18606.454,-8176.43,-17227.998900000002,-28917.7696,-1919.201,-15337.5456,137.884,12401.1894,-1017.1551
7030,proton,All_or_Total,4,All_or_Total,Other,Lab,855000.0,20994.70682544517,0.0008,8.040202097812872e-05,0.0,0.0,Other,"J.H.Gibbons,ET.AL. (59)  ",T0010,11,No Pointer,6,"6-C-14(P,N)7-N-14,,SIG",Total neutron yields from light elements under proton and alpha bombardment,1959,J.H.Gibbons+,1USAORL,1999/10/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.43, p.883, 1991",T0010011,T0010,"(J,PR/C,43,883,1991)",1,1,0,14C,C,8,14,I,3.012677830219037,0.2655444906771979,Other,3019.89278,0.00376,7520.319,0.0,156.476,0.004,14003241.98843,0.00403,13122.74,0.0,36635.81,1.91,-12012.51,0.08,-4987.89,0.03,-37928.15,10.18,-10396.91,0.27,8176.43,0.0,20831.02,1.0,-34308.0904087456,-221.6738887121492,361.3,1.32,-783.76,0.01,-11510.87,0.24,-20831.02,-8176.43,-25709.7939,-23485.2279,-20597.6249,-32088.4894,-36635.81,-13122.74,-12012.51,-625.8705,-20831.02,-8176.43,-5951.864000000001,-11179.2565,-4640.945099999999,-17991.753500000006,-37145.8035,-20831.02,-18606.454,-8176.43,-17227.998900000002,-28917.7696,-1919.201,-15337.5456,137.884,12401.1894,-1017.1551
7031,proton,All_or_Total,4,All_or_Total,Other,Lab,886000.0,21755.91841794669,0.00086,8.643217255148837e-05,0.0,0.0,Other,"J.H.Gibbons,ET.AL. (59)  ",T0010,11,No Pointer,6,"6-C-14(P,N)7-N-14,,SIG",Total neutron yields from light elements under proton and alpha bombardment,1959,J.H.Gibbons+,1USAORL,1999/10/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.43, p.883, 1991",T0010011,T0010,"(J,PR/C,43,883,1991)",1,1,0,14C,C,8,14,I,3.012677830219037,0.2655444906771979,Other,3019.89278,0.00376,7520.319,0.0,156.476,0.004,14003241.98843,0.00403,13122.74,0.0,36635.81,1.91,-12012.51,0.08,-4987.89,0.03,-37928.15,10.18,-10396.91,0.27,8176.43,0.0,20831.02,1.0,-34308.0904087456,-221.6738887121492,361.3,1.32,-783.76,0.01,-11510.87,0.24,-20831.02,-8176.43,-25709.7939,-23485.2279,-20597.6249,-32088.4894,-36635.81,-13122.74,-12012.51,-625.8705,-20831.02,-8176.43,-5951.864000000001,-11179.2565,-4640.945099999999,-17991.753500000006,-37145.8035,-20831.02,-18606.454,-8176.43,-17227.998900000002,-28917.7696,-1919.201,-15337.5456,137.884,12401.1894,-1017.1551
