,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
111987,proton,All_or_Total,18,All_or_Total,Approved_by_Author,Lab,200000000.0,4156266.69900828,4e-05,7e-06,0.0,0.0,Other,"O.E.Shigaev,ET.AL. (73)  ",A0047,10,No Pointer,62,"62-SM-0(P,F),,SIG",The definition of anisotropy and fission cross sections as a function of Z**2/A at the proton energy 200 MeV,1973,O.E.Shigaev+,4RUSRI,2008/06/03,"Jour. Yadernaya Fizika Vol.35, p.567, 1982",A0047010,A0047,"(J,YF,35,567,1982)",1,1,0,150Sm,Sm,88,150,N,6.641616057391318,0.1204526116967716,Other,-75813.709,1.2735,8252.795999999998,0.0085,-1091.1655,3.3595,150360000.0,1.3675000000000002,13720.345,0.64,14499.915,1.865,1297.6799999999998,0.96,-837.37,4.415,-9075.07,1.04,-8268.35,4.98,6791.59,0.245,8271.98,10.955,-6782.705,3.705,11362.08,3.745,7004.335,3.265,7610.065,1.415,-8271.98,-6791.59,-14709.0139,-12484.4479,-12809.5299,-12967.5544,-14499.915,-13720.345,1297.6799999999998,-1873.5120000000004,-8271.98,-6791.59,-4567.024,-9050.6965,-5238.5501,-6990.973500000002,-8292.7235,-8271.98,-6047.414000000001,-6791.59,-6227.218900000002,-6781.8746,-534.3609999999999,-2778.5056000000004,-1109.7575000000004,13786.0294,11541.8849
111988,proton,All_or_Total,18,All_or_Total,Other,Center_of_Mass,200000000.0,4156266.69900828,1.16,0.03,0.0,0.0,Other,"O.E.Shigaev,ET.AL. (82)  ",O0630,5,2,62,"62-SM-0(P,F),,DA,FF,RSD",Anisotropy and cross sections of fission of intermediate nuclei (100 <= A <= 150) induced by 155- and 200-MeV protons,1982,O.E.Shigaev+,4RUSRI,2012/06/06,"Jour. Yadernaya Fizika Vol.28, p.572, 1978",O06300052,O0630,"(J,YF,28,572,1978)",1,1,0,150Sm,Sm,88,150,N,6.641616057391318,0.1204526116967716,Other,-75813.709,1.2735,8252.795999999998,0.0085,-1091.1655,3.3595,150360000.0,1.3675000000000002,13720.345,0.64,14499.915,1.865,1297.6799999999998,0.96,-837.37,4.415,-9075.07,1.04,-8268.35,4.98,6791.59,0.245,8271.98,10.955,-6782.705,3.705,11362.08,3.745,7004.335,3.265,7610.065,1.415,-8271.98,-6791.59,-14709.0139,-12484.4479,-12809.5299,-12967.5544,-14499.915,-13720.345,1297.6799999999998,-1873.5120000000004,-8271.98,-6791.59,-4567.024,-9050.6965,-5238.5501,-6990.973500000002,-8292.7235,-8271.98,-6047.414000000001,-6791.59,-6227.218900000002,-6781.8746,-534.3609999999999,-2778.5056000000004,-1109.7575000000004,13786.0294,11541.8849
111989,proton,All_or_Total,18,All_or_Total,Approved_by_Author,Lab,1000000000.0,20781333.495041404,0.00078,0.00011,0.0,0.0,Other,"B.A.Bochagov,ET.AL. (78) ",A0029,12,No Pointer,62,"62-SM-0(P,F),,SIG","Determination of the fission cross sections of 238U, 235U, 232Th, 209Bi, 208-206Pb, 197Au, 181Ta, Yb, and Sm bombarded by 1-GeV protons",1978,B.A.Bochagov+,4RUSRI,2020/05/04,"Jour. Zeitschrift fuer Physik A, Hadrons and Nuclei Vol.302, p.143, 1981",A0029012,A0029,"(J,ZP/A,302,143,1981)",1,1,0,150Sm,Sm,88,150,N,6.641616057391318,0.1204526116967716,Other,-75813.709,1.2735,8252.795999999998,0.0085,-1091.1655,3.3595,150360000.0,1.3675000000000002,13720.345,0.64,14499.915,1.865,1297.6799999999998,0.96,-837.37,4.415,-9075.07,1.04,-8268.35,4.98,6791.59,0.245,8271.98,10.955,-6782.705,3.705,11362.08,3.745,7004.335,3.265,7610.065,1.415,-8271.98,-6791.59,-14709.0139,-12484.4479,-12809.5299,-12967.5544,-14499.915,-13720.345,1297.6799999999998,-1873.5120000000004,-8271.98,-6791.59,-4567.024,-9050.6965,-5238.5501,-6990.973500000002,-8292.7235,-8271.98,-6047.414000000001,-6791.59,-6227.218900000002,-6781.8746,-534.3609999999999,-2778.5056000000004,-1109.7575000000004,13786.0294,11541.8849
111990,proton,All_or_Total,18,All_or_Total,Other,Lab,1000000000.0,20781333.495041404,0.0131,0.002,0.0,0.0,Other,"L.A.Vaishnene,ET.AL. (81)",O0008,10,No Pointer,62,"62-SM-0(P,F),,SIG",Fission cross sections of medium-weight and heavy nuclei induced by 1 GeV protons,1981,L.A.Vaishnene+,4RUSLIN,2019/02/05,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.346, p.26, 2015",O0008010,O0008,"(J,NIM/B,346,26,2015)",1,1,0,150Sm,Sm,88,150,N,6.641616057391318,0.1204526116967716,Other,-75813.709,1.2735,8252.795999999998,0.0085,-1091.1655,3.3595,150360000.0,1.3675000000000002,13720.345,0.64,14499.915,1.865,1297.6799999999998,0.96,-837.37,4.415,-9075.07,1.04,-8268.35,4.98,6791.59,0.245,8271.98,10.955,-6782.705,3.705,11362.08,3.745,7004.335,3.265,7610.065,1.415,-8271.98,-6791.59,-14709.0139,-12484.4479,-12809.5299,-12967.5544,-14499.915,-13720.345,1297.6799999999998,-1873.5120000000004,-8271.98,-6791.59,-4567.024,-9050.6965,-5238.5501,-6990.973500000002,-8292.7235,-8271.98,-6047.414000000001,-6791.59,-6227.218900000002,-6781.8746,-534.3609999999999,-2778.5056000000004,-1109.7575000000004,13786.0294,11541.8849
111991,proton,All_or_Total,9000,M1,Other,Lab,6000000.0,1000000.0,0.0029,0.0003,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (15)   ",D4325,4,No Pointer,62,"62-SM-0(P,X)63-EU-152-M1,,SIG",Activation cross-sections of proton induced reactions on natSm up to 65 MeV,2015,F.Tarkanyi+,3HUNDEB,2015/03/01,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.346, p.26, 2015",D4325004,D4325,"(J,NIM/B,346,26,2015)",1,1,0,150Sm,Sm,88,150,N,6.641616057391318,0.1204526116967716,Other,-75813.709,1.2735,8252.795999999998,0.0085,-1091.1655,3.3595,150360000.0,1.3675000000000002,13720.345,0.64,14499.915,1.865,1297.6799999999998,0.96,-837.37,4.415,-9075.07,1.04,-8268.35,4.98,6791.59,0.245,8271.98,10.955,-6782.705,3.705,11362.08,3.745,7004.335,3.265,7610.065,1.415,-8271.98,-6791.59,-14709.0139,-12484.4479,-12809.5299,-12967.5544,-14499.915,-13720.345,1297.6799999999998,-1873.5120000000004,-8271.98,-6791.59,-4567.024,-9050.6965,-5238.5501,-6990.973500000002,-8292.7235,-8271.98,-6047.414000000001,-6791.59,-6227.218900000002,-6781.8746,-534.3609999999999,-2778.5056000000004,-1109.7575000000004,13786.0294,11541.8849
111992,proton,All_or_Total,9000,M1,Other,Lab,8400000.0,900000.0,0.0165,0.0019,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (15)   ",D4325,4,No Pointer,62,"62-SM-0(P,X)63-EU-152-M1,,SIG",Activation cross-sections of proton induced reactions on natSm up to 65 MeV,2015,F.Tarkanyi+,3HUNDEB,2015/03/01,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.346, p.26, 2015",D4325004,D4325,"(J,NIM/B,346,26,2015)",1,1,0,150Sm,Sm,88,150,N,6.641616057391318,0.1204526116967716,Other,-75813.709,1.2735,8252.795999999998,0.0085,-1091.1655,3.3595,150360000.0,1.3675000000000002,13720.345,0.64,14499.915,1.865,1297.6799999999998,0.96,-837.37,4.415,-9075.07,1.04,-8268.35,4.98,6791.59,0.245,8271.98,10.955,-6782.705,3.705,11362.08,3.745,7004.335,3.265,7610.065,1.415,-8271.98,-6791.59,-14709.0139,-12484.4479,-12809.5299,-12967.5544,-14499.915,-13720.345,1297.6799999999998,-1873.5120000000004,-8271.98,-6791.59,-4567.024,-9050.6965,-5238.5501,-6990.973500000002,-8292.7235,-8271.98,-6047.414000000001,-6791.59,-6227.218900000002,-6781.8746,-534.3609999999999,-2778.5056000000004,-1109.7575000000004,13786.0294,11541.8849
111993,proton,All_or_Total,9000,M1,Other,Lab,11300000.0,800000.0,0.0157,0.0018,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (15)   ",D4325,4,No Pointer,62,"62-SM-0(P,X)63-EU-152-M1,,SIG",Activation cross-sections of proton induced reactions on natSm up to 65 MeV,2015,F.Tarkanyi+,3HUNDEB,2015/03/01,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.346, p.26, 2015",D4325004,D4325,"(J,NIM/B,346,26,2015)",1,1,0,150Sm,Sm,88,150,N,6.641616057391318,0.1204526116967716,Other,-75813.709,1.2735,8252.795999999998,0.0085,-1091.1655,3.3595,150360000.0,1.3675000000000002,13720.345,0.64,14499.915,1.865,1297.6799999999998,0.96,-837.37,4.415,-9075.07,1.04,-8268.35,4.98,6791.59,0.245,8271.98,10.955,-6782.705,3.705,11362.08,3.745,7004.335,3.265,7610.065,1.415,-8271.98,-6791.59,-14709.0139,-12484.4479,-12809.5299,-12967.5544,-14499.915,-13720.345,1297.6799999999998,-1873.5120000000004,-8271.98,-6791.59,-4567.024,-9050.6965,-5238.5501,-6990.973500000002,-8292.7235,-8271.98,-6047.414000000001,-6791.59,-6227.218900000002,-6781.8746,-534.3609999999999,-2778.5056000000004,-1109.7575000000004,13786.0294,11541.8849
111994,proton,All_or_Total,9000,M1,Other,Lab,13700000.0,800000.0,0.0063,0.0008,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (15)   ",D4325,4,No Pointer,62,"62-SM-0(P,X)63-EU-152-M1,,SIG",Activation cross-sections of proton induced reactions on natSm up to 65 MeV,2015,F.Tarkanyi+,3HUNDEB,2015/03/01,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.346, p.26, 2015",D4325004,D4325,"(J,NIM/B,346,26,2015)",1,1,0,150Sm,Sm,88,150,N,6.641616057391318,0.1204526116967716,Other,-75813.709,1.2735,8252.795999999998,0.0085,-1091.1655,3.3595,150360000.0,1.3675000000000002,13720.345,0.64,14499.915,1.865,1297.6799999999998,0.96,-837.37,4.415,-9075.07,1.04,-8268.35,4.98,6791.59,0.245,8271.98,10.955,-6782.705,3.705,11362.08,3.745,7004.335,3.265,7610.065,1.415,-8271.98,-6791.59,-14709.0139,-12484.4479,-12809.5299,-12967.5544,-14499.915,-13720.345,1297.6799999999998,-1873.5120000000004,-8271.98,-6791.59,-4567.024,-9050.6965,-5238.5501,-6990.973500000002,-8292.7235,-8271.98,-6047.414000000001,-6791.59,-6227.218900000002,-6781.8746,-534.3609999999999,-2778.5056000000004,-1109.7575000000004,13786.0294,11541.8849
111995,proton,All_or_Total,9000,M1,Other,Lab,15800000.0,800000.0,0.0036,0.0006,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (15)   ",D4325,4,No Pointer,62,"62-SM-0(P,X)63-EU-152-M1,,SIG",Activation cross-sections of proton induced reactions on natSm up to 65 MeV,2015,F.Tarkanyi+,3HUNDEB,2015/03/01,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.346, p.26, 2015",D4325004,D4325,"(J,NIM/B,346,26,2015)",1,1,0,150Sm,Sm,88,150,N,6.641616057391318,0.1204526116967716,Other,-75813.709,1.2735,8252.795999999998,0.0085,-1091.1655,3.3595,150360000.0,1.3675000000000002,13720.345,0.64,14499.915,1.865,1297.6799999999998,0.96,-837.37,4.415,-9075.07,1.04,-8268.35,4.98,6791.59,0.245,8271.98,10.955,-6782.705,3.705,11362.08,3.745,7004.335,3.265,7610.065,1.415,-8271.98,-6791.59,-14709.0139,-12484.4479,-12809.5299,-12967.5544,-14499.915,-13720.345,1297.6799999999998,-1873.5120000000004,-8271.98,-6791.59,-4567.024,-9050.6965,-5238.5501,-6990.973500000002,-8292.7235,-8271.98,-6047.414000000001,-6791.59,-6227.218900000002,-6781.8746,-534.3609999999999,-2778.5056000000004,-1109.7575000000004,13786.0294,11541.8849
111996,proton,All_or_Total,9000,M1,Other,Lab,17700000.0,700000.0,0.0047,0.0007,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (15)   ",D4325,4,No Pointer,62,"62-SM-0(P,X)63-EU-152-M1,,SIG",Activation cross-sections of proton induced reactions on natSm up to 65 MeV,2015,F.Tarkanyi+,3HUNDEB,2015/03/01,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.346, p.26, 2015",D4325004,D4325,"(J,NIM/B,346,26,2015)",1,1,0,150Sm,Sm,88,150,N,6.641616057391318,0.1204526116967716,Other,-75813.709,1.2735,8252.795999999998,0.0085,-1091.1655,3.3595,150360000.0,1.3675000000000002,13720.345,0.64,14499.915,1.865,1297.6799999999998,0.96,-837.37,4.415,-9075.07,1.04,-8268.35,4.98,6791.59,0.245,8271.98,10.955,-6782.705,3.705,11362.08,3.745,7004.335,3.265,7610.065,1.415,-8271.98,-6791.59,-14709.0139,-12484.4479,-12809.5299,-12967.5544,-14499.915,-13720.345,1297.6799999999998,-1873.5120000000004,-8271.98,-6791.59,-4567.024,-9050.6965,-5238.5501,-6990.973500000002,-8292.7235,-8271.98,-6047.414000000001,-6791.59,-6227.218900000002,-6781.8746,-534.3609999999999,-2778.5056000000004,-1109.7575000000004,13786.0294,11541.8849
