,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
112829,proton,All_or_Total,4,All_or_Total,Other,Lab,4720000.0,115900.60376152188,0.00162,3e-05,0.0,0.0,Other,"H.I.West Jr,ET.AL. (89)  ",A0433,2,No Pointer,63,"63-EU-151(P,N)64-GD-151,,SIG",Proton and deuteron excitation functions for Eu-151 and Eu-153.,1989,H.I.West Jr+,1USALRL,2011/03/02,"Rept. Brookhaven National Laboratory Reports No.42382, p.87, 1989",A0433002,A0433,"(R,BNL-NCS-42382,87,1989)",1,1,0,151Eu,Eu,88,151,I,6.656342527018733,0.1201861227472479,Other,-74652.854,1.325,8239.296999999999,0.009,-464.116,2.779,150919856.86,1.422,14354.38,3.77,13166.54,1.98,1964.49,1.07,-3029.35,3.98,-8344.69,20.01,-6960.24,6.01,7931.94,6.18,4890.69,0.55,-11030.12,8.34,13193.69,0.66,9547.47,1.02,7859.26,5.61,-4890.69,-7931.94,-12877.4039,-10652.8379,-10266.3949,-12718.3594,-13166.54,-14354.38,1964.49,-1246.4625,-4890.69,-7931.94,-5707.374,-7742.5864999999985,-5872.5850999999975,-5159.363500000001,-7562.343500000001,-4890.69,-2666.1240000000003,-7931.94,-4395.608900000001,-5448.499600000001,-1674.710999999999,602.7844000000006,-482.708,12645.6794,14923.174900000002
112830,proton,All_or_Total,4,All_or_Total,Other,Lab,5500000.0,135053.66963736658,0.00644,6e-05,0.0,0.0,Other,"H.I.West Jr,ET.AL. (89)  ",A0433,2,No Pointer,63,"63-EU-151(P,N)64-GD-151,,SIG",Proton and deuteron excitation functions for Eu-151 and Eu-153.,1989,H.I.West Jr+,1USALRL,2011/03/02,"Rept. Brookhaven National Laboratory Reports No.42382, p.87, 1989",A0433002,A0433,"(R,BNL-NCS-42382,87,1989)",1,1,0,151Eu,Eu,88,151,I,6.656342527018733,0.1201861227472479,Other,-74652.854,1.325,8239.296999999999,0.009,-464.116,2.779,150919856.86,1.422,14354.38,3.77,13166.54,1.98,1964.49,1.07,-3029.35,3.98,-8344.69,20.01,-6960.24,6.01,7931.94,6.18,4890.69,0.55,-11030.12,8.34,13193.69,0.66,9547.47,1.02,7859.26,5.61,-4890.69,-7931.94,-12877.4039,-10652.8379,-10266.3949,-12718.3594,-13166.54,-14354.38,1964.49,-1246.4625,-4890.69,-7931.94,-5707.374,-7742.5864999999985,-5872.5850999999975,-5159.363500000001,-7562.343500000001,-4890.69,-2666.1240000000003,-7931.94,-4395.608900000001,-5448.499600000001,-1674.710999999999,602.7844000000006,-482.708,12645.6794,14923.174900000002
112831,proton,All_or_Total,4,All_or_Total,Other,Lab,5710000.0,140210.26429624786,0.0074,5e-05,0.0,0.0,Other,"H.I.West Jr,ET.AL. (89)  ",A0433,2,No Pointer,63,"63-EU-151(P,N)64-GD-151,,SIG",Proton and deuteron excitation functions for Eu-151 and Eu-153.,1989,H.I.West Jr+,1USALRL,2011/03/02,"Rept. Brookhaven National Laboratory Reports No.42382, p.87, 1989",A0433002,A0433,"(R,BNL-NCS-42382,87,1989)",1,1,0,151Eu,Eu,88,151,I,6.656342527018733,0.1201861227472479,Other,-74652.854,1.325,8239.296999999999,0.009,-464.116,2.779,150919856.86,1.422,14354.38,3.77,13166.54,1.98,1964.49,1.07,-3029.35,3.98,-8344.69,20.01,-6960.24,6.01,7931.94,6.18,4890.69,0.55,-11030.12,8.34,13193.69,0.66,9547.47,1.02,7859.26,5.61,-4890.69,-7931.94,-12877.4039,-10652.8379,-10266.3949,-12718.3594,-13166.54,-14354.38,1964.49,-1246.4625,-4890.69,-7931.94,-5707.374,-7742.5864999999985,-5872.5850999999975,-5159.363500000001,-7562.343500000001,-4890.69,-2666.1240000000003,-7931.94,-4395.608900000001,-5448.499600000001,-1674.710999999999,602.7844000000006,-482.708,12645.6794,14923.174900000002
112832,proton,All_or_Total,4,All_or_Total,Other,Lab,5910000.0,145121.30682851572,0.01154,0.0001,0.0,0.0,Other,"H.I.West Jr,ET.AL. (89)  ",A0433,2,No Pointer,63,"63-EU-151(P,N)64-GD-151,,SIG",Proton and deuteron excitation functions for Eu-151 and Eu-153.,1989,H.I.West Jr+,1USALRL,2011/03/02,"Rept. Brookhaven National Laboratory Reports No.42382, p.87, 1989",A0433002,A0433,"(R,BNL-NCS-42382,87,1989)",1,1,0,151Eu,Eu,88,151,I,6.656342527018733,0.1201861227472479,Other,-74652.854,1.325,8239.296999999999,0.009,-464.116,2.779,150919856.86,1.422,14354.38,3.77,13166.54,1.98,1964.49,1.07,-3029.35,3.98,-8344.69,20.01,-6960.24,6.01,7931.94,6.18,4890.69,0.55,-11030.12,8.34,13193.69,0.66,9547.47,1.02,7859.26,5.61,-4890.69,-7931.94,-12877.4039,-10652.8379,-10266.3949,-12718.3594,-13166.54,-14354.38,1964.49,-1246.4625,-4890.69,-7931.94,-5707.374,-7742.5864999999985,-5872.5850999999975,-5159.363500000001,-7562.343500000001,-4890.69,-2666.1240000000003,-7931.94,-4395.608900000001,-5448.499600000001,-1674.710999999999,602.7844000000006,-482.708,12645.6794,14923.174900000002
112833,proton,All_or_Total,4,All_or_Total,Other,Lab,6030000.0,148067.93234787646,0.01198,0.0001,0.0,0.0,Other,"H.I.West Jr,ET.AL. (89)  ",A0433,2,No Pointer,63,"63-EU-151(P,N)64-GD-151,,SIG",Proton and deuteron excitation functions for Eu-151 and Eu-153.,1989,H.I.West Jr+,1USALRL,2011/03/02,"Rept. Brookhaven National Laboratory Reports No.42382, p.87, 1989",A0433002,A0433,"(R,BNL-NCS-42382,87,1989)",1,1,0,151Eu,Eu,88,151,I,6.656342527018733,0.1201861227472479,Other,-74652.854,1.325,8239.296999999999,0.009,-464.116,2.779,150919856.86,1.422,14354.38,3.77,13166.54,1.98,1964.49,1.07,-3029.35,3.98,-8344.69,20.01,-6960.24,6.01,7931.94,6.18,4890.69,0.55,-11030.12,8.34,13193.69,0.66,9547.47,1.02,7859.26,5.61,-4890.69,-7931.94,-12877.4039,-10652.8379,-10266.3949,-12718.3594,-13166.54,-14354.38,1964.49,-1246.4625,-4890.69,-7931.94,-5707.374,-7742.5864999999985,-5872.5850999999975,-5159.363500000001,-7562.343500000001,-4890.69,-2666.1240000000003,-7931.94,-4395.608900000001,-5448.499600000001,-1674.710999999999,602.7844000000006,-482.708,12645.6794,14923.174900000002
112834,proton,All_or_Total,4,All_or_Total,Other,Lab,6120000.0,150277.901487397,0.0155,0.0001,0.0,0.0,Other,"H.I.West Jr,ET.AL. (89)  ",A0433,2,No Pointer,63,"63-EU-151(P,N)64-GD-151,,SIG",Proton and deuteron excitation functions for Eu-151 and Eu-153.,1989,H.I.West Jr+,1USALRL,2011/03/02,"Rept. Brookhaven National Laboratory Reports No.42382, p.87, 1989",A0433002,A0433,"(R,BNL-NCS-42382,87,1989)",1,1,0,151Eu,Eu,88,151,I,6.656342527018733,0.1201861227472479,Other,-74652.854,1.325,8239.296999999999,0.009,-464.116,2.779,150919856.86,1.422,14354.38,3.77,13166.54,1.98,1964.49,1.07,-3029.35,3.98,-8344.69,20.01,-6960.24,6.01,7931.94,6.18,4890.69,0.55,-11030.12,8.34,13193.69,0.66,9547.47,1.02,7859.26,5.61,-4890.69,-7931.94,-12877.4039,-10652.8379,-10266.3949,-12718.3594,-13166.54,-14354.38,1964.49,-1246.4625,-4890.69,-7931.94,-5707.374,-7742.5864999999985,-5872.5850999999975,-5159.363500000001,-7562.343500000001,-4890.69,-2666.1240000000003,-7931.94,-4395.608900000001,-5448.499600000001,-1674.710999999999,602.7844000000006,-482.708,12645.6794,14923.174900000002
112835,proton,All_or_Total,4,All_or_Total,Other,Lab,6380000.0,156662.25677934525,0.0203,0.0002,0.0,0.0,Other,"H.I.West Jr,ET.AL. (89)  ",A0433,2,No Pointer,63,"63-EU-151(P,N)64-GD-151,,SIG",Proton and deuteron excitation functions for Eu-151 and Eu-153.,1989,H.I.West Jr+,1USALRL,2011/03/02,"Rept. Brookhaven National Laboratory Reports No.42382, p.87, 1989",A0433002,A0433,"(R,BNL-NCS-42382,87,1989)",1,1,0,151Eu,Eu,88,151,I,6.656342527018733,0.1201861227472479,Other,-74652.854,1.325,8239.296999999999,0.009,-464.116,2.779,150919856.86,1.422,14354.38,3.77,13166.54,1.98,1964.49,1.07,-3029.35,3.98,-8344.69,20.01,-6960.24,6.01,7931.94,6.18,4890.69,0.55,-11030.12,8.34,13193.69,0.66,9547.47,1.02,7859.26,5.61,-4890.69,-7931.94,-12877.4039,-10652.8379,-10266.3949,-12718.3594,-13166.54,-14354.38,1964.49,-1246.4625,-4890.69,-7931.94,-5707.374,-7742.5864999999985,-5872.5850999999975,-5159.363500000001,-7562.343500000001,-4890.69,-2666.1240000000003,-7931.94,-4395.608900000001,-5448.499600000001,-1674.710999999999,602.7844000000006,-482.708,12645.6794,14923.174900000002
112836,proton,All_or_Total,4,All_or_Total,Other,Lab,6420000.0,157644.46528579883,0.0249,0.0005,0.0,0.0,Other,"H.I.West Jr,ET.AL. (89)  ",A0433,2,No Pointer,63,"63-EU-151(P,N)64-GD-151,,SIG",Proton and deuteron excitation functions for Eu-151 and Eu-153.,1989,H.I.West Jr+,1USALRL,2011/03/02,"Rept. Brookhaven National Laboratory Reports No.42382, p.87, 1989",A0433002,A0433,"(R,BNL-NCS-42382,87,1989)",1,1,0,151Eu,Eu,88,151,I,6.656342527018733,0.1201861227472479,Other,-74652.854,1.325,8239.296999999999,0.009,-464.116,2.779,150919856.86,1.422,14354.38,3.77,13166.54,1.98,1964.49,1.07,-3029.35,3.98,-8344.69,20.01,-6960.24,6.01,7931.94,6.18,4890.69,0.55,-11030.12,8.34,13193.69,0.66,9547.47,1.02,7859.26,5.61,-4890.69,-7931.94,-12877.4039,-10652.8379,-10266.3949,-12718.3594,-13166.54,-14354.38,1964.49,-1246.4625,-4890.69,-7931.94,-5707.374,-7742.5864999999985,-5872.5850999999975,-5159.363500000001,-7562.343500000001,-4890.69,-2666.1240000000003,-7931.94,-4395.608900000001,-5448.499600000001,-1674.710999999999,602.7844000000006,-482.708,12645.6794,14923.174900000002
112837,proton,All_or_Total,4,All_or_Total,Other,Lab,6630000.0,162801.05994468008,0.0305,0.0005,0.0,0.0,Other,"H.I.West Jr,ET.AL. (89)  ",A0433,2,No Pointer,63,"63-EU-151(P,N)64-GD-151,,SIG",Proton and deuteron excitation functions for Eu-151 and Eu-153.,1989,H.I.West Jr+,1USALRL,2011/03/02,"Rept. Brookhaven National Laboratory Reports No.42382, p.87, 1989",A0433002,A0433,"(R,BNL-NCS-42382,87,1989)",1,1,0,151Eu,Eu,88,151,I,6.656342527018733,0.1201861227472479,Other,-74652.854,1.325,8239.296999999999,0.009,-464.116,2.779,150919856.86,1.422,14354.38,3.77,13166.54,1.98,1964.49,1.07,-3029.35,3.98,-8344.69,20.01,-6960.24,6.01,7931.94,6.18,4890.69,0.55,-11030.12,8.34,13193.69,0.66,9547.47,1.02,7859.26,5.61,-4890.69,-7931.94,-12877.4039,-10652.8379,-10266.3949,-12718.3594,-13166.54,-14354.38,1964.49,-1246.4625,-4890.69,-7931.94,-5707.374,-7742.5864999999985,-5872.5850999999975,-5159.363500000001,-7562.343500000001,-4890.69,-2666.1240000000003,-7931.94,-4395.608900000001,-5448.499600000001,-1674.710999999999,602.7844000000006,-482.708,12645.6794,14923.174900000002
112838,proton,All_or_Total,4,All_or_Total,Other,Lab,6930000.0,170167.6237430819,0.0427,0.0007,0.0,0.0,Other,"H.I.West Jr,ET.AL. (89)  ",A0433,2,No Pointer,63,"63-EU-151(P,N)64-GD-151,,SIG",Proton and deuteron excitation functions for Eu-151 and Eu-153.,1989,H.I.West Jr+,1USALRL,2011/03/02,"Rept. Brookhaven National Laboratory Reports No.42382, p.87, 1989",A0433002,A0433,"(R,BNL-NCS-42382,87,1989)",1,1,0,151Eu,Eu,88,151,I,6.656342527018733,0.1201861227472479,Other,-74652.854,1.325,8239.296999999999,0.009,-464.116,2.779,150919856.86,1.422,14354.38,3.77,13166.54,1.98,1964.49,1.07,-3029.35,3.98,-8344.69,20.01,-6960.24,6.01,7931.94,6.18,4890.69,0.55,-11030.12,8.34,13193.69,0.66,9547.47,1.02,7859.26,5.61,-4890.69,-7931.94,-12877.4039,-10652.8379,-10266.3949,-12718.3594,-13166.54,-14354.38,1964.49,-1246.4625,-4890.69,-7931.94,-5707.374,-7742.5864999999985,-5872.5850999999975,-5159.363500000001,-7562.343500000001,-4890.69,-2666.1240000000003,-7931.94,-4395.608900000001,-5448.499600000001,-1674.710999999999,602.7844000000006,-482.708,12645.6794,14923.174900000002
