,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
113310,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,20000000.0,362295.7096447961,1.521,0.142,0.0,0.0,Other,"R.ABEGG,ET.AL. (79)      ",C0601,2,No Pointer,65,"65-TB-159(P,NON),,SIG","Measurement of the proton total reaction cross section for 159Tb, 181Ta and 197Au between 20 and 48 MeV",1979,R.Abegg+,1CANMNA,2000/03/02,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",C0601002,C0601,"(J,CJP,44,1847,66)",1,1,0,159Tb,Tb,94,159,I,6.771876893721474,0.1181356383991146,Other,-69532.363,1.256,8188.8,0.008,-365.229,1.162,158925353.933,1.348,14911.57,0.8,14651.4,4.26,-139.19,1.15,-2202.83,2.92,-9566.15,10.33,-7196.33,2.44,8133.01,0.64,6131.79,0.76,-8961.97,27.97,12001.92,0.76,7866.61,0.77,6196.59,3.49,-6131.79,-8133.01,-14069.1739,-11844.6079,-11947.2549,-14381.0294,-14651.4,-14911.57,-139.19,-1147.5755,-6131.79,-8133.01,-5908.444,-7978.6765,-6429.775099999999,-6351.133500000003,-8783.8035,-6131.79,-3907.224,-8133.01,-5587.378900000002,-6933.3596,-1875.781,-638.3155999999999,-383.821,12444.6094,13682.0749
113311,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,25000000.0,452869.6370559951,1.656,0.092,0.0,0.0,Other,"R.ABEGG,ET.AL. (79)      ",C0601,2,No Pointer,65,"65-TB-159(P,NON),,SIG","Measurement of the proton total reaction cross section for 159Tb, 181Ta and 197Au between 20 and 48 MeV",1979,R.Abegg+,1CANMNA,2000/03/02,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",C0601002,C0601,"(J,CJP,44,1847,66)",1,1,0,159Tb,Tb,94,159,I,6.771876893721474,0.1181356383991146,Other,-69532.363,1.256,8188.8,0.008,-365.229,1.162,158925353.933,1.348,14911.57,0.8,14651.4,4.26,-139.19,1.15,-2202.83,2.92,-9566.15,10.33,-7196.33,2.44,8133.01,0.64,6131.79,0.76,-8961.97,27.97,12001.92,0.76,7866.61,0.77,6196.59,3.49,-6131.79,-8133.01,-14069.1739,-11844.6079,-11947.2549,-14381.0294,-14651.4,-14911.57,-139.19,-1147.5755,-6131.79,-8133.01,-5908.444,-7978.6765,-6429.775099999999,-6351.133500000003,-8783.8035,-6131.79,-3907.224,-8133.01,-5587.378900000002,-6933.3596,-1875.781,-638.3155999999999,-383.821,12444.6094,13682.0749
113312,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,30000000.0,543443.5644671941,1.696,0.074,0.0,0.0,Other,"R.ABEGG,ET.AL. (79)      ",C0601,2,No Pointer,65,"65-TB-159(P,NON),,SIG","Measurement of the proton total reaction cross section for 159Tb, 181Ta and 197Au between 20 and 48 MeV",1979,R.Abegg+,1CANMNA,2000/03/02,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",C0601002,C0601,"(J,CJP,44,1847,66)",1,1,0,159Tb,Tb,94,159,I,6.771876893721474,0.1181356383991146,Other,-69532.363,1.256,8188.8,0.008,-365.229,1.162,158925353.933,1.348,14911.57,0.8,14651.4,4.26,-139.19,1.15,-2202.83,2.92,-9566.15,10.33,-7196.33,2.44,8133.01,0.64,6131.79,0.76,-8961.97,27.97,12001.92,0.76,7866.61,0.77,6196.59,3.49,-6131.79,-8133.01,-14069.1739,-11844.6079,-11947.2549,-14381.0294,-14651.4,-14911.57,-139.19,-1147.5755,-6131.79,-8133.01,-5908.444,-7978.6765,-6429.775099999999,-6351.133500000003,-8783.8035,-6131.79,-3907.224,-8133.01,-5587.378900000002,-6933.3596,-1875.781,-638.3155999999999,-383.821,12444.6094,13682.0749
113313,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,35000000.0,634017.4918783932,1.755,0.071,0.0,0.0,Other,"R.ABEGG,ET.AL. (79)      ",C0601,2,No Pointer,65,"65-TB-159(P,NON),,SIG","Measurement of the proton total reaction cross section for 159Tb, 181Ta and 197Au between 20 and 48 MeV",1979,R.Abegg+,1CANMNA,2000/03/02,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",C0601002,C0601,"(J,CJP,44,1847,66)",1,1,0,159Tb,Tb,94,159,I,6.771876893721474,0.1181356383991146,Other,-69532.363,1.256,8188.8,0.008,-365.229,1.162,158925353.933,1.348,14911.57,0.8,14651.4,4.26,-139.19,1.15,-2202.83,2.92,-9566.15,10.33,-7196.33,2.44,8133.01,0.64,6131.79,0.76,-8961.97,27.97,12001.92,0.76,7866.61,0.77,6196.59,3.49,-6131.79,-8133.01,-14069.1739,-11844.6079,-11947.2549,-14381.0294,-14651.4,-14911.57,-139.19,-1147.5755,-6131.79,-8133.01,-5908.444,-7978.6765,-6429.775099999999,-6351.133500000003,-8783.8035,-6131.79,-3907.224,-8133.01,-5587.378900000002,-6933.3596,-1875.781,-638.3155999999999,-383.821,12444.6094,13682.0749
113314,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,40000000.0,724591.4192895922,1.738,0.068,0.0,0.0,Other,"R.ABEGG,ET.AL. (79)      ",C0601,2,No Pointer,65,"65-TB-159(P,NON),,SIG","Measurement of the proton total reaction cross section for 159Tb, 181Ta and 197Au between 20 and 48 MeV",1979,R.Abegg+,1CANMNA,2000/03/02,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",C0601002,C0601,"(J,CJP,44,1847,66)",1,1,0,159Tb,Tb,94,159,I,6.771876893721474,0.1181356383991146,Other,-69532.363,1.256,8188.8,0.008,-365.229,1.162,158925353.933,1.348,14911.57,0.8,14651.4,4.26,-139.19,1.15,-2202.83,2.92,-9566.15,10.33,-7196.33,2.44,8133.01,0.64,6131.79,0.76,-8961.97,27.97,12001.92,0.76,7866.61,0.77,6196.59,3.49,-6131.79,-8133.01,-14069.1739,-11844.6079,-11947.2549,-14381.0294,-14651.4,-14911.57,-139.19,-1147.5755,-6131.79,-8133.01,-5908.444,-7978.6765,-6429.775099999999,-6351.133500000003,-8783.8035,-6131.79,-3907.224,-8133.01,-5587.378900000002,-6933.3596,-1875.781,-638.3155999999999,-383.821,12444.6094,13682.0749
113315,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,45000000.0,815165.3467007913,1.716,0.069,0.0,0.0,Other,"R.ABEGG,ET.AL. (79)      ",C0601,2,No Pointer,65,"65-TB-159(P,NON),,SIG","Measurement of the proton total reaction cross section for 159Tb, 181Ta and 197Au between 20 and 48 MeV",1979,R.Abegg+,1CANMNA,2000/03/02,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",C0601002,C0601,"(J,CJP,44,1847,66)",1,1,0,159Tb,Tb,94,159,I,6.771876893721474,0.1181356383991146,Other,-69532.363,1.256,8188.8,0.008,-365.229,1.162,158925353.933,1.348,14911.57,0.8,14651.4,4.26,-139.19,1.15,-2202.83,2.92,-9566.15,10.33,-7196.33,2.44,8133.01,0.64,6131.79,0.76,-8961.97,27.97,12001.92,0.76,7866.61,0.77,6196.59,3.49,-6131.79,-8133.01,-14069.1739,-11844.6079,-11947.2549,-14381.0294,-14651.4,-14911.57,-139.19,-1147.5755,-6131.79,-8133.01,-5908.444,-7978.6765,-6429.775099999999,-6351.133500000003,-8783.8035,-6131.79,-3907.224,-8133.01,-5587.378900000002,-6933.3596,-1875.781,-638.3155999999999,-383.821,12444.6094,13682.0749
113316,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,47500000.0,860452.3104063907,1.79,0.072,0.0,0.0,Other,"R.ABEGG,ET.AL. (79)      ",C0601,2,No Pointer,65,"65-TB-159(P,NON),,SIG","Measurement of the proton total reaction cross section for 159Tb, 181Ta and 197Au between 20 and 48 MeV",1979,R.Abegg+,1CANMNA,2000/03/02,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",C0601002,C0601,"(J,CJP,44,1847,66)",1,1,0,159Tb,Tb,94,159,I,6.771876893721474,0.1181356383991146,Other,-69532.363,1.256,8188.8,0.008,-365.229,1.162,158925353.933,1.348,14911.57,0.8,14651.4,4.26,-139.19,1.15,-2202.83,2.92,-9566.15,10.33,-7196.33,2.44,8133.01,0.64,6131.79,0.76,-8961.97,27.97,12001.92,0.76,7866.61,0.77,6196.59,3.49,-6131.79,-8133.01,-14069.1739,-11844.6079,-11947.2549,-14381.0294,-14651.4,-14911.57,-139.19,-1147.5755,-6131.79,-8133.01,-5908.444,-7978.6765,-6429.775099999999,-6351.133500000003,-8783.8035,-6131.79,-3907.224,-8133.01,-5587.378900000002,-6933.3596,-1875.781,-638.3155999999999,-383.821,12444.6094,13682.0749
113317,proton,All_or_Total,3,All_or_Total,Other,Lab,98700000.0,1787929.3270970688,1.619,0.045332,0.0,0.0,Other,"P.KIRKBY,ET.AL. (66)     ",O0340,29,No Pointer,65,"65-TB-159(P,NON),,SIG,,,EXP",Faraday-Cup Measurement of Proton Total Reaction Cross Sections at 100 MeV.,1966,P.Kirkby+,1CANMCG,1997/06/05,"Jour. Applied Radiation and Isotopes Vol.127, p.7, 2017",O0340029,O0340,"(J,ARI,127,7,2017)",1,1,0,159Tb,Tb,94,159,I,6.771876893721474,0.1181356383991146,Other,-69532.363,1.256,8188.8,0.008,-365.229,1.162,158925353.933,1.348,14911.57,0.8,14651.4,4.26,-139.19,1.15,-2202.83,2.92,-9566.15,10.33,-7196.33,2.44,8133.01,0.64,6131.79,0.76,-8961.97,27.97,12001.92,0.76,7866.61,0.77,6196.59,3.49,-6131.79,-8133.01,-14069.1739,-11844.6079,-11947.2549,-14381.0294,-14651.4,-14911.57,-139.19,-1147.5755,-6131.79,-8133.01,-5908.444,-7978.6765,-6429.775099999999,-6351.133500000003,-8783.8035,-6131.79,-3907.224,-8133.01,-5587.378900000002,-6933.3596,-1875.781,-638.3155999999999,-383.821,12444.6094,13682.0749
113318,proton,All_or_Total,4,All_or_Total,Other,Lab,5760000.0,1160000.0,0.12959,0.01457,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4370,2,No Pointer,65,"65-TB-159(P,N)66-DY-159,,SIG",Activation cross-sections of longer-lived radioisotopes of proton induced nuclear reactions on terbium up to 65 MeV,2017,F.Tarkanyi+,3HUNDEB,2017/05/03,"Conf. 6th Int.Nat.Conf.Nucl.& Part.Phys.,Luxor,Egypt 2007 p.209, 2007",D4370002,D4370,"(C,2007LUXOR,,209,2007)",1,1,0,159Tb,Tb,94,159,I,6.771876893721474,0.1181356383991146,Other,-69532.363,1.256,8188.8,0.008,-365.229,1.162,158925353.933,1.348,14911.57,0.8,14651.4,4.26,-139.19,1.15,-2202.83,2.92,-9566.15,10.33,-7196.33,2.44,8133.01,0.64,6131.79,0.76,-8961.97,27.97,12001.92,0.76,7866.61,0.77,6196.59,3.49,-6131.79,-8133.01,-14069.1739,-11844.6079,-11947.2549,-14381.0294,-14651.4,-14911.57,-139.19,-1147.5755,-6131.79,-8133.01,-5908.444,-7978.6765,-6429.775099999999,-6351.133500000003,-8783.8035,-6131.79,-3907.224,-8133.01,-5587.378900000002,-6933.3596,-1875.781,-638.3155999999999,-383.821,12444.6094,13682.0749
113319,proton,All_or_Total,4,All_or_Total,Other,Lab,8150000.0,1080000.0,0.20064,0.02255,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (17)   ",D4370,2,No Pointer,65,"65-TB-159(P,N)66-DY-159,,SIG",Activation cross-sections of longer-lived radioisotopes of proton induced nuclear reactions on terbium up to 65 MeV,2017,F.Tarkanyi+,3HUNDEB,2017/05/03,"Conf. 6th Int.Nat.Conf.Nucl.& Part.Phys.,Luxor,Egypt 2007 p.209, 2007",D4370002,D4370,"(C,2007LUXOR,,209,2007)",1,1,0,159Tb,Tb,94,159,I,6.771876893721474,0.1181356383991146,Other,-69532.363,1.256,8188.8,0.008,-365.229,1.162,158925353.933,1.348,14911.57,0.8,14651.4,4.26,-139.19,1.15,-2202.83,2.92,-9566.15,10.33,-7196.33,2.44,8133.01,0.64,6131.79,0.76,-8961.97,27.97,12001.92,0.76,7866.61,0.77,6196.59,3.49,-6131.79,-8133.01,-14069.1739,-11844.6079,-11947.2549,-14381.0294,-14651.4,-14911.57,-139.19,-1147.5755,-6131.79,-8133.01,-5908.444,-7978.6765,-6429.775099999999,-6351.133500000003,-8783.8035,-6131.79,-3907.224,-8133.01,-5587.378900000002,-6933.3596,-1875.781,-638.3155999999999,-383.821,12444.6094,13682.0749
