,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
8593,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,3700000.0,90854.2868469557,4e-05,4.0201010489064365e-06,0.0,0.0,Other,"S.Takacs,ET.AL. (03)     ",D4111,4,1,7,"7-N-15(P,N)8-O-15,,SIG,,,RECOM",Validation and upgrading of the recommended cross section data of charged particle reactions used for production of PET radioisotopes,2003,S.Takacs+,3HUNDEB,2019/08/04,"Jour. Radiochimica Acta Vol.36, p.159, 1984",D41110041,D4111,"(J,RCA,36,159,1984)",1,1,0,15N,N,8,15,I,3.082765092913087,0.2595072851444651,Other,101.43871,0.0006,7699.46,0.0,-2754.166,0.491,15000108.89894,0.00065,21386.68,0.27,31038.45,1.0,-10991.18,0.01,-16465.31,14.0,-30851.22,21.21,-15977.66,0.03,10833.3,0.0,10207.42,0.0,-44784.622533187896,332.6926666673847,7687.24,0.0,4965.49,0.0,-7621.56,1.32,-10207.42,-10833.3,-18383.8539,-16159.2879,-14848.3749,-28199.1794,-31038.45,-21386.68,-10991.18,-3536.5125,-10207.42,-10833.3,-8608.734,-16760.0065,-12904.8851,-10665.813500000002,-30068.8735,-10207.42,-7982.854,-10833.3,-9902.058900000002,-23320.4096,-4576.070999999999,-4713.9456,-2772.758,9744.3194,9606.4449
8594,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,3800000.0,93309.80811308965,0.0063,0.0006331659152027,0.0,0.0,Other,"S.Takacs,ET.AL. (03)     ",D4111,4,1,7,"7-N-15(P,N)8-O-15,,SIG,,,RECOM",Validation and upgrading of the recommended cross section data of charged particle reactions used for production of PET radioisotopes,2003,S.Takacs+,3HUNDEB,2019/08/04,"Jour. Radiochimica Acta Vol.36, p.159, 1984",D41110041,D4111,"(J,RCA,36,159,1984)",1,1,0,15N,N,8,15,I,3.082765092913087,0.2595072851444651,Other,101.43871,0.0006,7699.46,0.0,-2754.166,0.491,15000108.89894,0.00065,21386.68,0.27,31038.45,1.0,-10991.18,0.01,-16465.31,14.0,-30851.22,21.21,-15977.66,0.03,10833.3,0.0,10207.42,0.0,-44784.622533187896,332.6926666673847,7687.24,0.0,4965.49,0.0,-7621.56,1.32,-10207.42,-10833.3,-18383.8539,-16159.2879,-14848.3749,-28199.1794,-31038.45,-21386.68,-10991.18,-3536.5125,-10207.42,-10833.3,-8608.734,-16760.0065,-12904.8851,-10665.813500000002,-30068.8735,-10207.42,-7982.854,-10833.3,-9902.058900000002,-23320.4096,-4576.070999999999,-4713.9456,-2772.758,9744.3194,9606.4449
8595,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,3900000.0,95765.32937922358,0.021,0.0021105530506758,0.0,0.0,Other,"S.Takacs,ET.AL. (03)     ",D4111,4,1,7,"7-N-15(P,N)8-O-15,,SIG,,,RECOM",Validation and upgrading of the recommended cross section data of charged particle reactions used for production of PET radioisotopes,2003,S.Takacs+,3HUNDEB,2019/08/04,"Jour. Radiochimica Acta Vol.36, p.159, 1984",D41110041,D4111,"(J,RCA,36,159,1984)",1,1,0,15N,N,8,15,I,3.082765092913087,0.2595072851444651,Other,101.43871,0.0006,7699.46,0.0,-2754.166,0.491,15000108.89894,0.00065,21386.68,0.27,31038.45,1.0,-10991.18,0.01,-16465.31,14.0,-30851.22,21.21,-15977.66,0.03,10833.3,0.0,10207.42,0.0,-44784.622533187896,332.6926666673847,7687.24,0.0,4965.49,0.0,-7621.56,1.32,-10207.42,-10833.3,-18383.8539,-16159.2879,-14848.3749,-28199.1794,-31038.45,-21386.68,-10991.18,-3536.5125,-10207.42,-10833.3,-8608.734,-16760.0065,-12904.8851,-10665.813500000002,-30068.8735,-10207.42,-7982.854,-10833.3,-9902.058900000002,-23320.4096,-4576.070999999999,-4713.9456,-2772.758,9744.3194,9606.4449
8596,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,4000000.0,98220.85064535752,0.0257,0.0025829149239223,0.0,0.0,Other,"S.Takacs,ET.AL. (03)     ",D4111,4,1,7,"7-N-15(P,N)8-O-15,,SIG,,,RECOM",Validation and upgrading of the recommended cross section data of charged particle reactions used for production of PET radioisotopes,2003,S.Takacs+,3HUNDEB,2019/08/04,"Jour. Radiochimica Acta Vol.36, p.159, 1984",D41110041,D4111,"(J,RCA,36,159,1984)",1,1,0,15N,N,8,15,I,3.082765092913087,0.2595072851444651,Other,101.43871,0.0006,7699.46,0.0,-2754.166,0.491,15000108.89894,0.00065,21386.68,0.27,31038.45,1.0,-10991.18,0.01,-16465.31,14.0,-30851.22,21.21,-15977.66,0.03,10833.3,0.0,10207.42,0.0,-44784.622533187896,332.6926666673847,7687.24,0.0,4965.49,0.0,-7621.56,1.32,-10207.42,-10833.3,-18383.8539,-16159.2879,-14848.3749,-28199.1794,-31038.45,-21386.68,-10991.18,-3536.5125,-10207.42,-10833.3,-8608.734,-16760.0065,-12904.8851,-10665.813500000002,-30068.8735,-10207.42,-7982.854,-10833.3,-9902.058900000002,-23320.4096,-4576.070999999999,-4713.9456,-2772.758,9744.3194,9606.4449
8597,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,4100000.0,100676.37191149146,0.0303,0.0030452265445466,0.0,0.0,Other,"S.Takacs,ET.AL. (03)     ",D4111,4,1,7,"7-N-15(P,N)8-O-15,,SIG,,,RECOM",Validation and upgrading of the recommended cross section data of charged particle reactions used for production of PET radioisotopes,2003,S.Takacs+,3HUNDEB,2019/08/04,"Jour. Radiochimica Acta Vol.36, p.159, 1984",D41110041,D4111,"(J,RCA,36,159,1984)",1,1,0,15N,N,8,15,I,3.082765092913087,0.2595072851444651,Other,101.43871,0.0006,7699.46,0.0,-2754.166,0.491,15000108.89894,0.00065,21386.68,0.27,31038.45,1.0,-10991.18,0.01,-16465.31,14.0,-30851.22,21.21,-15977.66,0.03,10833.3,0.0,10207.42,0.0,-44784.622533187896,332.6926666673847,7687.24,0.0,4965.49,0.0,-7621.56,1.32,-10207.42,-10833.3,-18383.8539,-16159.2879,-14848.3749,-28199.1794,-31038.45,-21386.68,-10991.18,-3536.5125,-10207.42,-10833.3,-8608.734,-16760.0065,-12904.8851,-10665.813500000002,-30068.8735,-10207.42,-7982.854,-10833.3,-9902.058900000002,-23320.4096,-4576.070999999999,-4713.9456,-2772.758,9744.3194,9606.4449
8598,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,4200000.0,103131.8931776254,0.0298,0.0029949752814352,0.0,0.0,Other,"S.Takacs,ET.AL. (03)     ",D4111,4,1,7,"7-N-15(P,N)8-O-15,,SIG,,,RECOM",Validation and upgrading of the recommended cross section data of charged particle reactions used for production of PET radioisotopes,2003,S.Takacs+,3HUNDEB,2019/08/04,"Jour. Radiochimica Acta Vol.36, p.159, 1984",D41110041,D4111,"(J,RCA,36,159,1984)",1,1,0,15N,N,8,15,I,3.082765092913087,0.2595072851444651,Other,101.43871,0.0006,7699.46,0.0,-2754.166,0.491,15000108.89894,0.00065,21386.68,0.27,31038.45,1.0,-10991.18,0.01,-16465.31,14.0,-30851.22,21.21,-15977.66,0.03,10833.3,0.0,10207.42,0.0,-44784.622533187896,332.6926666673847,7687.24,0.0,4965.49,0.0,-7621.56,1.32,-10207.42,-10833.3,-18383.8539,-16159.2879,-14848.3749,-28199.1794,-31038.45,-21386.68,-10991.18,-3536.5125,-10207.42,-10833.3,-8608.734,-16760.0065,-12904.8851,-10665.813500000002,-30068.8735,-10207.42,-7982.854,-10833.3,-9902.058900000002,-23320.4096,-4576.070999999999,-4713.9456,-2772.758,9744.3194,9606.4449
8599,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,4300000.0,105587.41444375932,0.0367,0.0036884427123716,0.0,0.0,Other,"S.Takacs,ET.AL. (03)     ",D4111,4,1,7,"7-N-15(P,N)8-O-15,,SIG,,,RECOM",Validation and upgrading of the recommended cross section data of charged particle reactions used for production of PET radioisotopes,2003,S.Takacs+,3HUNDEB,2019/08/04,"Jour. Radiochimica Acta Vol.36, p.159, 1984",D41110041,D4111,"(J,RCA,36,159,1984)",1,1,0,15N,N,8,15,I,3.082765092913087,0.2595072851444651,Other,101.43871,0.0006,7699.46,0.0,-2754.166,0.491,15000108.89894,0.00065,21386.68,0.27,31038.45,1.0,-10991.18,0.01,-16465.31,14.0,-30851.22,21.21,-15977.66,0.03,10833.3,0.0,10207.42,0.0,-44784.622533187896,332.6926666673847,7687.24,0.0,4965.49,0.0,-7621.56,1.32,-10207.42,-10833.3,-18383.8539,-16159.2879,-14848.3749,-28199.1794,-31038.45,-21386.68,-10991.18,-3536.5125,-10207.42,-10833.3,-8608.734,-16760.0065,-12904.8851,-10665.813500000002,-30068.8735,-10207.42,-7982.854,-10833.3,-9902.058900000002,-23320.4096,-4576.070999999999,-4713.9456,-2772.758,9744.3194,9606.4449
8600,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,4400000.0,108042.93570989328,0.0541,0.0054371866686459,0.0,0.0,Other,"S.Takacs,ET.AL. (03)     ",D4111,4,1,7,"7-N-15(P,N)8-O-15,,SIG,,,RECOM",Validation and upgrading of the recommended cross section data of charged particle reactions used for production of PET radioisotopes,2003,S.Takacs+,3HUNDEB,2019/08/04,"Jour. Radiochimica Acta Vol.36, p.159, 1984",D41110041,D4111,"(J,RCA,36,159,1984)",1,1,0,15N,N,8,15,I,3.082765092913087,0.2595072851444651,Other,101.43871,0.0006,7699.46,0.0,-2754.166,0.491,15000108.89894,0.00065,21386.68,0.27,31038.45,1.0,-10991.18,0.01,-16465.31,14.0,-30851.22,21.21,-15977.66,0.03,10833.3,0.0,10207.42,0.0,-44784.622533187896,332.6926666673847,7687.24,0.0,4965.49,0.0,-7621.56,1.32,-10207.42,-10833.3,-18383.8539,-16159.2879,-14848.3749,-28199.1794,-31038.45,-21386.68,-10991.18,-3536.5125,-10207.42,-10833.3,-8608.734,-16760.0065,-12904.8851,-10665.813500000002,-30068.8735,-10207.42,-7982.854,-10833.3,-9902.058900000002,-23320.4096,-4576.070999999999,-4713.9456,-2772.758,9744.3194,9606.4449
8601,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,4500000.0,110498.4569760272,0.0433,0.0043517593854412,0.0,0.0,Other,"S.Takacs,ET.AL. (03)     ",D4111,4,1,7,"7-N-15(P,N)8-O-15,,SIG,,,RECOM",Validation and upgrading of the recommended cross section data of charged particle reactions used for production of PET radioisotopes,2003,S.Takacs+,3HUNDEB,2019/08/04,"Jour. Radiochimica Acta Vol.36, p.159, 1984",D41110041,D4111,"(J,RCA,36,159,1984)",1,1,0,15N,N,8,15,I,3.082765092913087,0.2595072851444651,Other,101.43871,0.0006,7699.46,0.0,-2754.166,0.491,15000108.89894,0.00065,21386.68,0.27,31038.45,1.0,-10991.18,0.01,-16465.31,14.0,-30851.22,21.21,-15977.66,0.03,10833.3,0.0,10207.42,0.0,-44784.622533187896,332.6926666673847,7687.24,0.0,4965.49,0.0,-7621.56,1.32,-10207.42,-10833.3,-18383.8539,-16159.2879,-14848.3749,-28199.1794,-31038.45,-21386.68,-10991.18,-3536.5125,-10207.42,-10833.3,-8608.734,-16760.0065,-12904.8851,-10665.813500000002,-30068.8735,-10207.42,-7982.854,-10833.3,-9902.058900000002,-23320.4096,-4576.070999999999,-4713.9456,-2772.758,9744.3194,9606.4449
8602,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,4600000.0,112953.97824216116,0.0302,0.0030351762919243,0.0,0.0,Other,"S.Takacs,ET.AL. (03)     ",D4111,4,1,7,"7-N-15(P,N)8-O-15,,SIG,,,RECOM",Validation and upgrading of the recommended cross section data of charged particle reactions used for production of PET radioisotopes,2003,S.Takacs+,3HUNDEB,2019/08/04,"Jour. Radiochimica Acta Vol.36, p.159, 1984",D41110041,D4111,"(J,RCA,36,159,1984)",1,1,0,15N,N,8,15,I,3.082765092913087,0.2595072851444651,Other,101.43871,0.0006,7699.46,0.0,-2754.166,0.491,15000108.89894,0.00065,21386.68,0.27,31038.45,1.0,-10991.18,0.01,-16465.31,14.0,-30851.22,21.21,-15977.66,0.03,10833.3,0.0,10207.42,0.0,-44784.622533187896,332.6926666673847,7687.24,0.0,4965.49,0.0,-7621.56,1.32,-10207.42,-10833.3,-18383.8539,-16159.2879,-14848.3749,-28199.1794,-31038.45,-21386.68,-10991.18,-3536.5125,-10207.42,-10833.3,-8608.734,-16760.0065,-12904.8851,-10665.813500000002,-30068.8735,-10207.42,-7982.854,-10833.3,-9902.058900000002,-23320.4096,-4576.070999999999,-4713.9456,-2772.758,9744.3194,9606.4449
8603,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,4700000.0,115409.49950829508,0.0226,0.0022713570926321,0.0,0.0,Other,"S.Takacs,ET.AL. (03)     ",D4111,4,1,7,"7-N-15(P,N)8-O-15,,SIG,,,RECOM",Validation and upgrading of the recommended cross section data of charged particle reactions used for production of PET radioisotopes,2003,S.Takacs+,3HUNDEB,2019/08/04,"Jour. Radiochimica Acta Vol.36, p.159, 1984",D41110041,D4111,"(J,RCA,36,159,1984)",1,1,0,15N,N,8,15,I,3.082765092913087,0.2595072851444651,Other,101.43871,0.0006,7699.46,0.0,-2754.166,0.491,15000108.89894,0.00065,21386.68,0.27,31038.45,1.0,-10991.18,0.01,-16465.31,14.0,-30851.22,21.21,-15977.66,0.03,10833.3,0.0,10207.42,0.0,-44784.622533187896,332.6926666673847,7687.24,0.0,4965.49,0.0,-7621.56,1.32,-10207.42,-10833.3,-18383.8539,-16159.2879,-14848.3749,-28199.1794,-31038.45,-21386.68,-10991.18,-3536.5125,-10207.42,-10833.3,-8608.734,-16760.0065,-12904.8851,-10665.813500000002,-30068.8735,-10207.42,-7982.854,-10833.3,-9902.058900000002,-23320.4096,-4576.070999999999,-4713.9456,-2772.758,9744.3194,9606.4449
8604,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,4800000.0,117865.02077442902,0.02,0.0020100505244532,0.0,0.0,Other,"S.Takacs,ET.AL. (03)     ",D4111,4,1,7,"7-N-15(P,N)8-O-15,,SIG,,,RECOM",Validation and upgrading of the recommended cross section data of charged particle reactions used for production of PET radioisotopes,2003,S.Takacs+,3HUNDEB,2019/08/04,"Jour. Radiochimica Acta Vol.36, p.159, 1984",D41110041,D4111,"(J,RCA,36,159,1984)",1,1,0,15N,N,8,15,I,3.082765092913087,0.2595072851444651,Other,101.43871,0.0006,7699.46,0.0,-2754.166,0.491,15000108.89894,0.00065,21386.68,0.27,31038.45,1.0,-10991.18,0.01,-16465.31,14.0,-30851.22,21.21,-15977.66,0.03,10833.3,0.0,10207.42,0.0,-44784.622533187896,332.6926666673847,7687.24,0.0,4965.49,0.0,-7621.56,1.32,-10207.42,-10833.3,-18383.8539,-16159.2879,-14848.3749,-28199.1794,-31038.45,-21386.68,-10991.18,-3536.5125,-10207.42,-10833.3,-8608.734,-16760.0065,-12904.8851,-10665.813500000002,-30068.8735,-10207.42,-7982.854,-10833.3,-9902.058900000002,-23320.4096,-4576.070999999999,-4713.9456,-2772.758,9744.3194,9606.4449
