,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
113743,proton,All_or_Total,3,All_or_Total,Other,Lab,98200000.0,1778871.9343559488,1.63,0.04564,0.0,0.0,Other,"P.KIRKBY,ET.AL. (66)     ",O0340,30,No Pointer,66,"66-DY-0(P,NON),,SIG,,,EXP",Faraday-Cup Measurement of Proton Total Reaction Cross Sections at 100 MeV.,1966,P.Kirkby+,1CANMCG,1997/06/05,"Jour. Journal of Inorganic and Nuclear Chemistry Vol.26, p.479, 1964",O0340030,O0340,"(J,JIN,26,479,1964)",1,1,0,163Dy,Dy,97,163,N,6.828194464101747,0.1171612794869691,Other,-66174.5675,0.766,8160.2495,0.005,-494.6485,0.7170000000000001,162500000.0,0.822,14198.56,0.08,15859.4,2.765,-347.895,1.155,-619.265,2.345,-10666.395,6.220000000000001,-8035.950000000001,1.59,6964.56,0.06,8327.52,20.18,-6016.3150000000005,15.364999999999998,11105.015,18.81,6338.41,1.215,6195.615,1.37,-8327.52,-6964.56,-14966.0789,-12741.512900000002,-13475.4549,-14382.004399999998,-15859.4,-14198.56,-347.895,-1276.995,-8327.52,-6964.56,-4739.994,-8818.2965,-5716.7651,-7248.038500000002,-9884.0485,-8327.52,-6102.9540000000015,-6964.56,-6484.283900000002,-8141.359600000001,-707.3309999999997,-2834.0456000000004,-513.2405,13613.0594,11486.3449
113744,proton,All_or_Total,9000,M,Other,Lab,9000000.0,229413.88582769304,0.027,inf,0.0,0.0,Other,"M.May,ET.AL. (64)        ",C2018,2,No Pointer,66,"66-DY-0(P,X)67-HO-162-M,,SIG",Spallation products produced by bombardment of dysprosium with protons of energies 9-87 MeV,1964,M.May+,1CANMCG,2013/07/05,"Jour. Journal of Inorganic and Nuclear Chemistry Vol.26, p.479, 1964",C2018002,C2018,"(J,JIN,26,479,1964)",1,1,0,163Dy,Dy,97,163,N,6.828194464101747,0.1171612794869691,Other,-66174.5675,0.766,8160.2495,0.005,-494.6485,0.7170000000000001,162500000.0,0.822,14198.56,0.08,15859.4,2.765,-347.895,1.155,-619.265,2.345,-10666.395,6.220000000000001,-8035.950000000001,1.59,6964.56,0.06,8327.52,20.18,-6016.3150000000005,15.364999999999998,11105.015,18.81,6338.41,1.215,6195.615,1.37,-8327.52,-6964.56,-14966.0789,-12741.512900000002,-13475.4549,-14382.004399999998,-15859.4,-14198.56,-347.895,-1276.995,-8327.52,-6964.56,-4739.994,-8818.2965,-5716.7651,-7248.038500000002,-9884.0485,-8327.52,-6102.9540000000015,-6964.56,-6484.283900000002,-8141.359600000001,-707.3309999999997,-2834.0456000000004,-513.2405,13613.0594,11486.3449
113745,proton,All_or_Total,9000,M,Other,Lab,13000000.0,331375.6128622233,0.077,inf,0.0,0.0,Other,"M.May,ET.AL. (64)        ",C2018,2,No Pointer,66,"66-DY-0(P,X)67-HO-162-M,,SIG",Spallation products produced by bombardment of dysprosium with protons of energies 9-87 MeV,1964,M.May+,1CANMCG,2013/07/05,"Jour. Journal of Inorganic and Nuclear Chemistry Vol.26, p.479, 1964",C2018002,C2018,"(J,JIN,26,479,1964)",1,1,0,163Dy,Dy,97,163,N,6.828194464101747,0.1171612794869691,Other,-66174.5675,0.766,8160.2495,0.005,-494.6485,0.7170000000000001,162500000.0,0.822,14198.56,0.08,15859.4,2.765,-347.895,1.155,-619.265,2.345,-10666.395,6.220000000000001,-8035.950000000001,1.59,6964.56,0.06,8327.52,20.18,-6016.3150000000005,15.364999999999998,11105.015,18.81,6338.41,1.215,6195.615,1.37,-8327.52,-6964.56,-14966.0789,-12741.512900000002,-13475.4549,-14382.004399999998,-15859.4,-14198.56,-347.895,-1276.995,-8327.52,-6964.56,-4739.994,-8818.2965,-5716.7651,-7248.038500000002,-9884.0485,-8327.52,-6102.9540000000015,-6964.56,-6484.283900000002,-8141.359600000001,-707.3309999999997,-2834.0456000000004,-513.2405,13613.0594,11486.3449
113746,proton,All_or_Total,9000,M,Other,Lab,18000000.0,458827.7716553861,0.056,inf,0.0,0.0,Other,"M.May,ET.AL. (64)        ",C2018,2,No Pointer,66,"66-DY-0(P,X)67-HO-162-M,,SIG",Spallation products produced by bombardment of dysprosium with protons of energies 9-87 MeV,1964,M.May+,1CANMCG,2013/07/05,"Jour. Journal of Inorganic and Nuclear Chemistry Vol.26, p.479, 1964",C2018002,C2018,"(J,JIN,26,479,1964)",1,1,0,163Dy,Dy,97,163,N,6.828194464101747,0.1171612794869691,Other,-66174.5675,0.766,8160.2495,0.005,-494.6485,0.7170000000000001,162500000.0,0.822,14198.56,0.08,15859.4,2.765,-347.895,1.155,-619.265,2.345,-10666.395,6.220000000000001,-8035.950000000001,1.59,6964.56,0.06,8327.52,20.18,-6016.3150000000005,15.364999999999998,11105.015,18.81,6338.41,1.215,6195.615,1.37,-8327.52,-6964.56,-14966.0789,-12741.512900000002,-13475.4549,-14382.004399999998,-15859.4,-14198.56,-347.895,-1276.995,-8327.52,-6964.56,-4739.994,-8818.2965,-5716.7651,-7248.038500000002,-9884.0485,-8327.52,-6102.9540000000015,-6964.56,-6484.283900000002,-8141.359600000001,-707.3309999999997,-2834.0456000000004,-513.2405,13613.0594,11486.3449
113747,proton,All_or_Total,9000,M,Other,Lab,23000000.0,586279.9304485489,0.046,inf,0.0,0.0,Other,"M.May,ET.AL. (64)        ",C2018,2,No Pointer,66,"66-DY-0(P,X)67-HO-162-M,,SIG",Spallation products produced by bombardment of dysprosium with protons of energies 9-87 MeV,1964,M.May+,1CANMCG,2013/07/05,"Jour. Journal of Inorganic and Nuclear Chemistry Vol.26, p.479, 1964",C2018002,C2018,"(J,JIN,26,479,1964)",1,1,0,163Dy,Dy,97,163,N,6.828194464101747,0.1171612794869691,Other,-66174.5675,0.766,8160.2495,0.005,-494.6485,0.7170000000000001,162500000.0,0.822,14198.56,0.08,15859.4,2.765,-347.895,1.155,-619.265,2.345,-10666.395,6.220000000000001,-8035.950000000001,1.59,6964.56,0.06,8327.52,20.18,-6016.3150000000005,15.364999999999998,11105.015,18.81,6338.41,1.215,6195.615,1.37,-8327.52,-6964.56,-14966.0789,-12741.512900000002,-13475.4549,-14382.004399999998,-15859.4,-14198.56,-347.895,-1276.995,-8327.52,-6964.56,-4739.994,-8818.2965,-5716.7651,-7248.038500000002,-9884.0485,-8327.52,-6102.9540000000015,-6964.56,-6484.283900000002,-8141.359600000001,-707.3309999999997,-2834.0456000000004,-513.2405,13613.0594,11486.3449
113748,proton,All_or_Total,9000,M,Other,Lab,26000000.0,662751.2257244466,0.048,inf,0.0,0.0,Other,"M.May,ET.AL. (64)        ",C2018,2,No Pointer,66,"66-DY-0(P,X)67-HO-162-M,,SIG",Spallation products produced by bombardment of dysprosium with protons of energies 9-87 MeV,1964,M.May+,1CANMCG,2013/07/05,"Jour. Journal of Inorganic and Nuclear Chemistry Vol.26, p.479, 1964",C2018002,C2018,"(J,JIN,26,479,1964)",1,1,0,163Dy,Dy,97,163,N,6.828194464101747,0.1171612794869691,Other,-66174.5675,0.766,8160.2495,0.005,-494.6485,0.7170000000000001,162500000.0,0.822,14198.56,0.08,15859.4,2.765,-347.895,1.155,-619.265,2.345,-10666.395,6.220000000000001,-8035.950000000001,1.59,6964.56,0.06,8327.52,20.18,-6016.3150000000005,15.364999999999998,11105.015,18.81,6338.41,1.215,6195.615,1.37,-8327.52,-6964.56,-14966.0789,-12741.512900000002,-13475.4549,-14382.004399999998,-15859.4,-14198.56,-347.895,-1276.995,-8327.52,-6964.56,-4739.994,-8818.2965,-5716.7651,-7248.038500000002,-9884.0485,-8327.52,-6102.9540000000015,-6964.56,-6484.283900000002,-8141.359600000001,-707.3309999999997,-2834.0456000000004,-513.2405,13613.0594,11486.3449
113749,proton,All_or_Total,9000,M,Other,Lab,33000000.0,841184.2480348744,0.02,inf,0.0,0.0,Other,"M.May,ET.AL. (64)        ",C2018,2,No Pointer,66,"66-DY-0(P,X)67-HO-162-M,,SIG",Spallation products produced by bombardment of dysprosium with protons of energies 9-87 MeV,1964,M.May+,1CANMCG,2013/07/05,"Jour. Journal of Inorganic and Nuclear Chemistry Vol.26, p.479, 1964",C2018002,C2018,"(J,JIN,26,479,1964)",1,1,0,163Dy,Dy,97,163,N,6.828194464101747,0.1171612794869691,Other,-66174.5675,0.766,8160.2495,0.005,-494.6485,0.7170000000000001,162500000.0,0.822,14198.56,0.08,15859.4,2.765,-347.895,1.155,-619.265,2.345,-10666.395,6.220000000000001,-8035.950000000001,1.59,6964.56,0.06,8327.52,20.18,-6016.3150000000005,15.364999999999998,11105.015,18.81,6338.41,1.215,6195.615,1.37,-8327.52,-6964.56,-14966.0789,-12741.512900000002,-13475.4549,-14382.004399999998,-15859.4,-14198.56,-347.895,-1276.995,-8327.52,-6964.56,-4739.994,-8818.2965,-5716.7651,-7248.038500000002,-9884.0485,-8327.52,-6102.9540000000015,-6964.56,-6484.283900000002,-8141.359600000001,-707.3309999999997,-2834.0456000000004,-513.2405,13613.0594,11486.3449
113750,proton,All_or_Total,9000,All_or_Total,Other,Lab,9000000.0,229413.88582769304,0.003,inf,0.0,0.0,Other,"M.May,ET.AL. (64)        ",C2018,3,No Pointer,66,"66-DY-0(P,X)67-HO-161,,SIG",Spallation products produced by bombardment of dysprosium with protons of energies 9-87 MeV,1964,M.May+,1CANMCG,2013/07/05,"Jour. Journal of Inorganic and Nuclear Chemistry Vol.26, p.479, 1964",C2018003,C2018,"(J,JIN,26,479,1964)",1,1,0,163Dy,Dy,97,163,N,6.828194464101747,0.1171612794869691,Other,-66174.5675,0.766,8160.2495,0.005,-494.6485,0.7170000000000001,162500000.0,0.822,14198.56,0.08,15859.4,2.765,-347.895,1.155,-619.265,2.345,-10666.395,6.220000000000001,-8035.950000000001,1.59,6964.56,0.06,8327.52,20.18,-6016.3150000000005,15.364999999999998,11105.015,18.81,6338.41,1.215,6195.615,1.37,-8327.52,-6964.56,-14966.0789,-12741.512900000002,-13475.4549,-14382.004399999998,-15859.4,-14198.56,-347.895,-1276.995,-8327.52,-6964.56,-4739.994,-8818.2965,-5716.7651,-7248.038500000002,-9884.0485,-8327.52,-6102.9540000000015,-6964.56,-6484.283900000002,-8141.359600000001,-707.3309999999997,-2834.0456000000004,-513.2405,13613.0594,11486.3449
113751,proton,All_or_Total,9000,All_or_Total,Other,Lab,13000000.0,331375.6128622233,0.37,inf,0.0,0.0,Other,"M.May,ET.AL. (64)        ",C2018,3,No Pointer,66,"66-DY-0(P,X)67-HO-161,,SIG",Spallation products produced by bombardment of dysprosium with protons of energies 9-87 MeV,1964,M.May+,1CANMCG,2013/07/05,"Jour. Journal of Inorganic and Nuclear Chemistry Vol.26, p.479, 1964",C2018003,C2018,"(J,JIN,26,479,1964)",1,1,0,163Dy,Dy,97,163,N,6.828194464101747,0.1171612794869691,Other,-66174.5675,0.766,8160.2495,0.005,-494.6485,0.7170000000000001,162500000.0,0.822,14198.56,0.08,15859.4,2.765,-347.895,1.155,-619.265,2.345,-10666.395,6.220000000000001,-8035.950000000001,1.59,6964.56,0.06,8327.52,20.18,-6016.3150000000005,15.364999999999998,11105.015,18.81,6338.41,1.215,6195.615,1.37,-8327.52,-6964.56,-14966.0789,-12741.512900000002,-13475.4549,-14382.004399999998,-15859.4,-14198.56,-347.895,-1276.995,-8327.52,-6964.56,-4739.994,-8818.2965,-5716.7651,-7248.038500000002,-9884.0485,-8327.52,-6102.9540000000015,-6964.56,-6484.283900000002,-8141.359600000001,-707.3309999999997,-2834.0456000000004,-513.2405,13613.0594,11486.3449
113752,proton,All_or_Total,9000,All_or_Total,Other,Lab,18000000.0,458827.7716553861,0.42,inf,0.0,0.0,Other,"M.May,ET.AL. (64)        ",C2018,3,No Pointer,66,"66-DY-0(P,X)67-HO-161,,SIG",Spallation products produced by bombardment of dysprosium with protons of energies 9-87 MeV,1964,M.May+,1CANMCG,2013/07/05,"Jour. Journal of Inorganic and Nuclear Chemistry Vol.26, p.479, 1964",C2018003,C2018,"(J,JIN,26,479,1964)",1,1,0,163Dy,Dy,97,163,N,6.828194464101747,0.1171612794869691,Other,-66174.5675,0.766,8160.2495,0.005,-494.6485,0.7170000000000001,162500000.0,0.822,14198.56,0.08,15859.4,2.765,-347.895,1.155,-619.265,2.345,-10666.395,6.220000000000001,-8035.950000000001,1.59,6964.56,0.06,8327.52,20.18,-6016.3150000000005,15.364999999999998,11105.015,18.81,6338.41,1.215,6195.615,1.37,-8327.52,-6964.56,-14966.0789,-12741.512900000002,-13475.4549,-14382.004399999998,-15859.4,-14198.56,-347.895,-1276.995,-8327.52,-6964.56,-4739.994,-8818.2965,-5716.7651,-7248.038500000002,-9884.0485,-8327.52,-6102.9540000000015,-6964.56,-6484.283900000002,-8141.359600000001,-707.3309999999997,-2834.0456000000004,-513.2405,13613.0594,11486.3449
