,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
114084,proton,All_or_Total,3,All_or_Total,Other,Lab,99100000.0,1795175.2412899646,1.64,0.04592,0.0,0.0,Other,"P.KIRKBY,ET.AL. (66)     ",O0340,31,No Pointer,67,"67-HO-165(P,NON),,SIG,,,EXP",Faraday-Cup Measurement of Proton Total Reaction Cross Sections at 100 MeV.,1966,P.Kirkby+,1CANMCG,1997/06/05,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.266, p.3346, 2008",O0340031,O0340,"(J,NIM/B,266,3346,2008)",1,1,0,165Ho,Ho,98,165,I,6.856008190540772,0.1166859749531453,Other,-64899.006,1.01,8146.964,0.006,-377.396,1.033,164930328.04700002,1.084,14663.3,0.83,14880.88,4.08,137.67,1.45,-1969.39,1.84,-10110.01,100.0,-7027.43,0.83,7988.82,1.15,6220.01,0.83,-8456.76,26.56,12192.97,0.83,8146.53,0.83,6423.35,36.37,-6220.01,-7988.82,-13878.1239,-11653.557900000002,-11667.334900000002,-14154.2694,-14880.88,-14663.3,137.67,-1159.7424999999996,-6220.01,-7988.82,-5764.254,-7809.7765,-6181.505099999999,-6160.0835000000025,-9327.6635,-6220.01,-3995.444,-7988.82,-5396.328900000002,-7162.839599999998,-1731.5909999999994,-726.5356000000003,-395.988,12588.7994,13593.8549
114085,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,5500000.0,800000.0,0.00438,0.00051,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (08)   ",D4201,2,No Pointer,67,"67-HO-165(P,N)68-ER-165,,SIG","Experimental study of the 165Ho(p,n) nuclear reaction for production of the therapeutic radioisotope 165Er",2008,F.Tarkanyi+,3HUNDEB,2008/08/04,"Jour. Radiochimica Acta Vol.92, p.219, 2004",D4201002,D4201,"(J,RCA,92,219,2004)",1,1,0,165Ho,Ho,98,165,I,6.856008190540772,0.1166859749531453,Other,-64899.006,1.01,8146.964,0.006,-377.396,1.033,164930328.04700002,1.084,14663.3,0.83,14880.88,4.08,137.67,1.45,-1969.39,1.84,-10110.01,100.0,-7027.43,0.83,7988.82,1.15,6220.01,0.83,-8456.76,26.56,12192.97,0.83,8146.53,0.83,6423.35,36.37,-6220.01,-7988.82,-13878.1239,-11653.557900000002,-11667.334900000002,-14154.2694,-14880.88,-14663.3,137.67,-1159.7424999999996,-6220.01,-7988.82,-5764.254,-7809.7765,-6181.505099999999,-6160.0835000000025,-9327.6635,-6220.01,-3995.444,-7988.82,-5396.328900000002,-7162.839599999998,-1731.5909999999994,-726.5356000000003,-395.988,12588.7994,13593.8549
114086,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,7000000.0,700000.0,0.0289,0.0033,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (08)   ",D4201,2,No Pointer,67,"67-HO-165(P,N)68-ER-165,,SIG","Experimental study of the 165Ho(p,n) nuclear reaction for production of the therapeutic radioisotope 165Er",2008,F.Tarkanyi+,3HUNDEB,2008/08/04,"Jour. Radiochimica Acta Vol.92, p.219, 2004",D4201002,D4201,"(J,RCA,92,219,2004)",1,1,0,165Ho,Ho,98,165,I,6.856008190540772,0.1166859749531453,Other,-64899.006,1.01,8146.964,0.006,-377.396,1.033,164930328.04700002,1.084,14663.3,0.83,14880.88,4.08,137.67,1.45,-1969.39,1.84,-10110.01,100.0,-7027.43,0.83,7988.82,1.15,6220.01,0.83,-8456.76,26.56,12192.97,0.83,8146.53,0.83,6423.35,36.37,-6220.01,-7988.82,-13878.1239,-11653.557900000002,-11667.334900000002,-14154.2694,-14880.88,-14663.3,137.67,-1159.7424999999996,-6220.01,-7988.82,-5764.254,-7809.7765,-6181.505099999999,-6160.0835000000025,-9327.6635,-6220.01,-3995.444,-7988.82,-5396.328900000002,-7162.839599999998,-1731.5909999999994,-726.5356000000003,-395.988,12588.7994,13593.8549
114087,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,8300000.0,600000.0,0.135,0.015,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (08)   ",D4201,2,No Pointer,67,"67-HO-165(P,N)68-ER-165,,SIG","Experimental study of the 165Ho(p,n) nuclear reaction for production of the therapeutic radioisotope 165Er",2008,F.Tarkanyi+,3HUNDEB,2008/08/04,"Jour. Radiochimica Acta Vol.92, p.219, 2004",D4201002,D4201,"(J,RCA,92,219,2004)",1,1,0,165Ho,Ho,98,165,I,6.856008190540772,0.1166859749531453,Other,-64899.006,1.01,8146.964,0.006,-377.396,1.033,164930328.04700002,1.084,14663.3,0.83,14880.88,4.08,137.67,1.45,-1969.39,1.84,-10110.01,100.0,-7027.43,0.83,7988.82,1.15,6220.01,0.83,-8456.76,26.56,12192.97,0.83,8146.53,0.83,6423.35,36.37,-6220.01,-7988.82,-13878.1239,-11653.557900000002,-11667.334900000002,-14154.2694,-14880.88,-14663.3,137.67,-1159.7424999999996,-6220.01,-7988.82,-5764.254,-7809.7765,-6181.505099999999,-6160.0835000000025,-9327.6635,-6220.01,-3995.444,-7988.82,-5396.328900000002,-7162.839599999998,-1731.5909999999994,-726.5356000000003,-395.988,12588.7994,13593.8549
114088,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,9500000.0,600000.0,0.172,0.019,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (08)   ",D4201,2,No Pointer,67,"67-HO-165(P,N)68-ER-165,,SIG","Experimental study of the 165Ho(p,n) nuclear reaction for production of the therapeutic radioisotope 165Er",2008,F.Tarkanyi+,3HUNDEB,2008/08/04,"Jour. Radiochimica Acta Vol.92, p.219, 2004",D4201002,D4201,"(J,RCA,92,219,2004)",1,1,0,165Ho,Ho,98,165,I,6.856008190540772,0.1166859749531453,Other,-64899.006,1.01,8146.964,0.006,-377.396,1.033,164930328.04700002,1.084,14663.3,0.83,14880.88,4.08,137.67,1.45,-1969.39,1.84,-10110.01,100.0,-7027.43,0.83,7988.82,1.15,6220.01,0.83,-8456.76,26.56,12192.97,0.83,8146.53,0.83,6423.35,36.37,-6220.01,-7988.82,-13878.1239,-11653.557900000002,-11667.334900000002,-14154.2694,-14880.88,-14663.3,137.67,-1159.7424999999996,-6220.01,-7988.82,-5764.254,-7809.7765,-6181.505099999999,-6160.0835000000025,-9327.6635,-6220.01,-3995.444,-7988.82,-5396.328900000002,-7162.839599999998,-1731.5909999999994,-726.5356000000003,-395.988,12588.7994,13593.8549
114089,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,10600000.0,500000.0,0.151,0.017,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (08)   ",D4201,2,No Pointer,67,"67-HO-165(P,N)68-ER-165,,SIG","Experimental study of the 165Ho(p,n) nuclear reaction for production of the therapeutic radioisotope 165Er",2008,F.Tarkanyi+,3HUNDEB,2008/08/04,"Jour. Radiochimica Acta Vol.92, p.219, 2004",D4201002,D4201,"(J,RCA,92,219,2004)",1,1,0,165Ho,Ho,98,165,I,6.856008190540772,0.1166859749531453,Other,-64899.006,1.01,8146.964,0.006,-377.396,1.033,164930328.04700002,1.084,14663.3,0.83,14880.88,4.08,137.67,1.45,-1969.39,1.84,-10110.01,100.0,-7027.43,0.83,7988.82,1.15,6220.01,0.83,-8456.76,26.56,12192.97,0.83,8146.53,0.83,6423.35,36.37,-6220.01,-7988.82,-13878.1239,-11653.557900000002,-11667.334900000002,-14154.2694,-14880.88,-14663.3,137.67,-1159.7424999999996,-6220.01,-7988.82,-5764.254,-7809.7765,-6181.505099999999,-6160.0835000000025,-9327.6635,-6220.01,-3995.444,-7988.82,-5396.328900000002,-7162.839599999998,-1731.5909999999994,-726.5356000000003,-395.988,12588.7994,13593.8549
114090,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,11600000.0,400000.0,0.119,0.014,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (08)   ",D4201,2,No Pointer,67,"67-HO-165(P,N)68-ER-165,,SIG","Experimental study of the 165Ho(p,n) nuclear reaction for production of the therapeutic radioisotope 165Er",2008,F.Tarkanyi+,3HUNDEB,2008/08/04,"Jour. Radiochimica Acta Vol.92, p.219, 2004",D4201002,D4201,"(J,RCA,92,219,2004)",1,1,0,165Ho,Ho,98,165,I,6.856008190540772,0.1166859749531453,Other,-64899.006,1.01,8146.964,0.006,-377.396,1.033,164930328.04700002,1.084,14663.3,0.83,14880.88,4.08,137.67,1.45,-1969.39,1.84,-10110.01,100.0,-7027.43,0.83,7988.82,1.15,6220.01,0.83,-8456.76,26.56,12192.97,0.83,8146.53,0.83,6423.35,36.37,-6220.01,-7988.82,-13878.1239,-11653.557900000002,-11667.334900000002,-14154.2694,-14880.88,-14663.3,137.67,-1159.7424999999996,-6220.01,-7988.82,-5764.254,-7809.7765,-6181.505099999999,-6160.0835000000025,-9327.6635,-6220.01,-3995.444,-7988.82,-5396.328900000002,-7162.839599999998,-1731.5909999999994,-726.5356000000003,-395.988,12588.7994,13593.8549
114091,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,12500000.0,400000.0,0.1,0.011,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (08)   ",D4201,2,No Pointer,67,"67-HO-165(P,N)68-ER-165,,SIG","Experimental study of the 165Ho(p,n) nuclear reaction for production of the therapeutic radioisotope 165Er",2008,F.Tarkanyi+,3HUNDEB,2008/08/04,"Jour. Radiochimica Acta Vol.92, p.219, 2004",D4201002,D4201,"(J,RCA,92,219,2004)",1,1,0,165Ho,Ho,98,165,I,6.856008190540772,0.1166859749531453,Other,-64899.006,1.01,8146.964,0.006,-377.396,1.033,164930328.04700002,1.084,14663.3,0.83,14880.88,4.08,137.67,1.45,-1969.39,1.84,-10110.01,100.0,-7027.43,0.83,7988.82,1.15,6220.01,0.83,-8456.76,26.56,12192.97,0.83,8146.53,0.83,6423.35,36.37,-6220.01,-7988.82,-13878.1239,-11653.557900000002,-11667.334900000002,-14154.2694,-14880.88,-14663.3,137.67,-1159.7424999999996,-6220.01,-7988.82,-5764.254,-7809.7765,-6181.505099999999,-6160.0835000000025,-9327.6635,-6220.01,-3995.444,-7988.82,-5396.328900000002,-7162.839599999998,-1731.5909999999994,-726.5356000000003,-395.988,12588.7994,13593.8549
114092,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,13400000.0,400000.0,0.0833,0.0094,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (08)   ",D4201,2,No Pointer,67,"67-HO-165(P,N)68-ER-165,,SIG","Experimental study of the 165Ho(p,n) nuclear reaction for production of the therapeutic radioisotope 165Er",2008,F.Tarkanyi+,3HUNDEB,2008/08/04,"Jour. Radiochimica Acta Vol.92, p.219, 2004",D4201002,D4201,"(J,RCA,92,219,2004)",1,1,0,165Ho,Ho,98,165,I,6.856008190540772,0.1166859749531453,Other,-64899.006,1.01,8146.964,0.006,-377.396,1.033,164930328.04700002,1.084,14663.3,0.83,14880.88,4.08,137.67,1.45,-1969.39,1.84,-10110.01,100.0,-7027.43,0.83,7988.82,1.15,6220.01,0.83,-8456.76,26.56,12192.97,0.83,8146.53,0.83,6423.35,36.37,-6220.01,-7988.82,-13878.1239,-11653.557900000002,-11667.334900000002,-14154.2694,-14880.88,-14663.3,137.67,-1159.7424999999996,-6220.01,-7988.82,-5764.254,-7809.7765,-6181.505099999999,-6160.0835000000025,-9327.6635,-6220.01,-3995.444,-7988.82,-5396.328900000002,-7162.839599999998,-1731.5909999999994,-726.5356000000003,-395.988,12588.7994,13593.8549
114093,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,14200000.0,300000.0,0.0722,0.0086,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (08)   ",D4201,2,No Pointer,67,"67-HO-165(P,N)68-ER-165,,SIG","Experimental study of the 165Ho(p,n) nuclear reaction for production of the therapeutic radioisotope 165Er",2008,F.Tarkanyi+,3HUNDEB,2008/08/04,"Jour. Radiochimica Acta Vol.92, p.219, 2004",D4201002,D4201,"(J,RCA,92,219,2004)",1,1,0,165Ho,Ho,98,165,I,6.856008190540772,0.1166859749531453,Other,-64899.006,1.01,8146.964,0.006,-377.396,1.033,164930328.04700002,1.084,14663.3,0.83,14880.88,4.08,137.67,1.45,-1969.39,1.84,-10110.01,100.0,-7027.43,0.83,7988.82,1.15,6220.01,0.83,-8456.76,26.56,12192.97,0.83,8146.53,0.83,6423.35,36.37,-6220.01,-7988.82,-13878.1239,-11653.557900000002,-11667.334900000002,-14154.2694,-14880.88,-14663.3,137.67,-1159.7424999999996,-6220.01,-7988.82,-5764.254,-7809.7765,-6181.505099999999,-6160.0835000000025,-9327.6635,-6220.01,-3995.444,-7988.82,-5396.328900000002,-7162.839599999998,-1731.5909999999994,-726.5356000000003,-395.988,12588.7994,13593.8549
