,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
114593,proton,All_or_Total,3,All_or_Total,Other,Lab,99300000.0,1798798.1983864126,1.637,0.045836,0.0,0.0,Other,"P.KIRKBY,ET.AL. (66)     ",O0340,32,No Pointer,69,"69-TM-169(P,NON),,SIG,,,EXP",Faraday-Cup Measurement of Proton Total Reaction Cross Sections at 100 MeV.,1966,P.Kirkby+,1CANMCG,1997/06/05,"Jour. Jour. of Physics, Conference Series Vol.312, p.042007, 2011",O0340032,O0340,"(J,JP/CS,312,042007,2011)",1,1,0,169Tm,Tm,100,169,I,6.910968517098589,0.1157580153954834,Other,-61275.212,0.812,8114.473000000001,0.005,-897.65,1.141,168934218.35,0.871,14874.21,1.02,13572.53,5.32,1198.88,1.06,-3190.65,3.21,-8503.01,30.02,-7764.63,1.13,8033.61,1.5,5573.01,1.1,-10984.78,27.96,12726.77,1.1,8514.88,1.1,7442.52,1.06,-5573.01,-8033.61,-13344.3239,-11119.7579,-11298.9849,-13135.0994,-13572.53,-14874.21,1198.88,-1679.9965,-5573.01,-8033.61,-5809.044,-8546.9765,-6392.415099999997,-5626.283500000001,-7720.6635000000015,-5573.01,-3348.4440000000004,-8033.61,-4862.528900000001,-5854.489600000001,-1776.3809999999994,-79.53560000000016,-916.242,12544.0094,14240.8549
114594,proton,All_or_Total,4,All_or_Total,Preliminary,Center_of_Mass,3300000.0,100000.0,5.4e-07,5.4271364160236896e-08,0.0,0.0,Other,"K.Sonnabend,ET.AL. (11)  ",C1887,2,No Pointer,69,"69-TM-169(P,N)70-YB-169,,SIG",Activation Experiments for p-Process Nucleosynthesis,2011,K.Sonnabend+,2GERTHD,2012/01/04,"Jour. Applied Radiation and Isotopes Vol.63, p.235, 2005",C1887002,C1887,"(J,ARI,63,235,2005)",1,1,0,169Tm,Tm,100,169,I,6.910968517098589,0.1157580153954834,Other,-61275.212,0.812,8114.473000000001,0.005,-897.65,1.141,168934218.35,0.871,14874.21,1.02,13572.53,5.32,1198.88,1.06,-3190.65,3.21,-8503.01,30.02,-7764.63,1.13,8033.61,1.5,5573.01,1.1,-10984.78,27.96,12726.77,1.1,8514.88,1.1,7442.52,1.06,-5573.01,-8033.61,-13344.3239,-11119.7579,-11298.9849,-13135.0994,-13572.53,-14874.21,1198.88,-1679.9965,-5573.01,-8033.61,-5809.044,-8546.9765,-6392.415099999997,-5626.283500000001,-7720.6635000000015,-5573.01,-3348.4440000000004,-8033.61,-4862.528900000001,-5854.489600000001,-1776.3809999999994,-79.53560000000016,-916.242,12544.0094,14240.8549
114595,proton,All_or_Total,4,All_or_Total,Preliminary,Center_of_Mass,3700000.0,100000.0,3.6e-06,3.618090944015792e-07,0.0,0.0,Other,"K.Sonnabend,ET.AL. (11)  ",C1887,2,No Pointer,69,"69-TM-169(P,N)70-YB-169,,SIG",Activation Experiments for p-Process Nucleosynthesis,2011,K.Sonnabend+,2GERTHD,2012/01/04,"Jour. Applied Radiation and Isotopes Vol.63, p.235, 2005",C1887002,C1887,"(J,ARI,63,235,2005)",1,1,0,169Tm,Tm,100,169,I,6.910968517098589,0.1157580153954834,Other,-61275.212,0.812,8114.473000000001,0.005,-897.65,1.141,168934218.35,0.871,14874.21,1.02,13572.53,5.32,1198.88,1.06,-3190.65,3.21,-8503.01,30.02,-7764.63,1.13,8033.61,1.5,5573.01,1.1,-10984.78,27.96,12726.77,1.1,8514.88,1.1,7442.52,1.06,-5573.01,-8033.61,-13344.3239,-11119.7579,-11298.9849,-13135.0994,-13572.53,-14874.21,1198.88,-1679.9965,-5573.01,-8033.61,-5809.044,-8546.9765,-6392.415099999997,-5626.283500000001,-7720.6635000000015,-5573.01,-3348.4440000000004,-8033.61,-4862.528900000001,-5854.489600000001,-1776.3809999999994,-79.53560000000016,-916.242,12544.0094,14240.8549
114596,proton,All_or_Total,4,All_or_Total,Preliminary,Center_of_Mass,4000000.0,100000.0,1.3e-05,1.3065328408945915e-06,0.0,0.0,Other,"K.Sonnabend,ET.AL. (11)  ",C1887,2,No Pointer,69,"69-TM-169(P,N)70-YB-169,,SIG",Activation Experiments for p-Process Nucleosynthesis,2011,K.Sonnabend+,2GERTHD,2012/01/04,"Jour. Applied Radiation and Isotopes Vol.63, p.235, 2005",C1887002,C1887,"(J,ARI,63,235,2005)",1,1,0,169Tm,Tm,100,169,I,6.910968517098589,0.1157580153954834,Other,-61275.212,0.812,8114.473000000001,0.005,-897.65,1.141,168934218.35,0.871,14874.21,1.02,13572.53,5.32,1198.88,1.06,-3190.65,3.21,-8503.01,30.02,-7764.63,1.13,8033.61,1.5,5573.01,1.1,-10984.78,27.96,12726.77,1.1,8514.88,1.1,7442.52,1.06,-5573.01,-8033.61,-13344.3239,-11119.7579,-11298.9849,-13135.0994,-13572.53,-14874.21,1198.88,-1679.9965,-5573.01,-8033.61,-5809.044,-8546.9765,-6392.415099999997,-5626.283500000001,-7720.6635000000015,-5573.01,-3348.4440000000004,-8033.61,-4862.528900000001,-5854.489600000001,-1776.3809999999994,-79.53560000000016,-916.242,12544.0094,14240.8549
114597,proton,All_or_Total,4,All_or_Total,Preliminary,Center_of_Mass,4500000.0,100000.0,7.5e-05,7.537689466699567e-06,0.0,0.0,Other,"K.Sonnabend,ET.AL. (11)  ",C1887,2,No Pointer,69,"69-TM-169(P,N)70-YB-169,,SIG",Activation Experiments for p-Process Nucleosynthesis,2011,K.Sonnabend+,2GERTHD,2012/01/04,"Jour. Applied Radiation and Isotopes Vol.63, p.235, 2005",C1887002,C1887,"(J,ARI,63,235,2005)",1,1,0,169Tm,Tm,100,169,I,6.910968517098589,0.1157580153954834,Other,-61275.212,0.812,8114.473000000001,0.005,-897.65,1.141,168934218.35,0.871,14874.21,1.02,13572.53,5.32,1198.88,1.06,-3190.65,3.21,-8503.01,30.02,-7764.63,1.13,8033.61,1.5,5573.01,1.1,-10984.78,27.96,12726.77,1.1,8514.88,1.1,7442.52,1.06,-5573.01,-8033.61,-13344.3239,-11119.7579,-11298.9849,-13135.0994,-13572.53,-14874.21,1198.88,-1679.9965,-5573.01,-8033.61,-5809.044,-8546.9765,-6392.415099999997,-5626.283500000001,-7720.6635000000015,-5573.01,-3348.4440000000004,-8033.61,-4862.528900000001,-5854.489600000001,-1776.3809999999994,-79.53560000000016,-916.242,12544.0094,14240.8549
114598,proton,All_or_Total,4,All_or_Total,Preliminary,Center_of_Mass,5000000.0,100000.0,0.00027,2.7135682080118443e-05,0.0,0.0,Other,"K.Sonnabend,ET.AL. (11)  ",C1887,2,No Pointer,69,"69-TM-169(P,N)70-YB-169,,SIG",Activation Experiments for p-Process Nucleosynthesis,2011,K.Sonnabend+,2GERTHD,2012/01/04,"Jour. Applied Radiation and Isotopes Vol.63, p.235, 2005",C1887002,C1887,"(J,ARI,63,235,2005)",1,1,0,169Tm,Tm,100,169,I,6.910968517098589,0.1157580153954834,Other,-61275.212,0.812,8114.473000000001,0.005,-897.65,1.141,168934218.35,0.871,14874.21,1.02,13572.53,5.32,1198.88,1.06,-3190.65,3.21,-8503.01,30.02,-7764.63,1.13,8033.61,1.5,5573.01,1.1,-10984.78,27.96,12726.77,1.1,8514.88,1.1,7442.52,1.06,-5573.01,-8033.61,-13344.3239,-11119.7579,-11298.9849,-13135.0994,-13572.53,-14874.21,1198.88,-1679.9965,-5573.01,-8033.61,-5809.044,-8546.9765,-6392.415099999997,-5626.283500000001,-7720.6635000000015,-5573.01,-3348.4440000000004,-8033.61,-4862.528900000001,-5854.489600000001,-1776.3809999999994,-79.53560000000016,-916.242,12544.0094,14240.8549
114599,proton,All_or_Total,4,All_or_Total,Preliminary,Center_of_Mass,5500000.0,100000.0,0.00093,9.346734938707464e-05,0.0,0.0,Other,"K.Sonnabend,ET.AL. (11)  ",C1887,2,No Pointer,69,"69-TM-169(P,N)70-YB-169,,SIG",Activation Experiments for p-Process Nucleosynthesis,2011,K.Sonnabend+,2GERTHD,2012/01/04,"Jour. Applied Radiation and Isotopes Vol.63, p.235, 2005",C1887002,C1887,"(J,ARI,63,235,2005)",1,1,0,169Tm,Tm,100,169,I,6.910968517098589,0.1157580153954834,Other,-61275.212,0.812,8114.473000000001,0.005,-897.65,1.141,168934218.35,0.871,14874.21,1.02,13572.53,5.32,1198.88,1.06,-3190.65,3.21,-8503.01,30.02,-7764.63,1.13,8033.61,1.5,5573.01,1.1,-10984.78,27.96,12726.77,1.1,8514.88,1.1,7442.52,1.06,-5573.01,-8033.61,-13344.3239,-11119.7579,-11298.9849,-13135.0994,-13572.53,-14874.21,1198.88,-1679.9965,-5573.01,-8033.61,-5809.044,-8546.9765,-6392.415099999997,-5626.283500000001,-7720.6635000000015,-5573.01,-3348.4440000000004,-8033.61,-4862.528900000001,-5854.489600000001,-1776.3809999999994,-79.53560000000016,-916.242,12544.0094,14240.8549
114600,proton,All_or_Total,4,All_or_Total,Preliminary,Center_of_Mass,6200000.0,100000.0,0.0035,0.0003517588417793,0.0,0.0,Other,"K.Sonnabend,ET.AL. (11)  ",C1887,2,No Pointer,69,"69-TM-169(P,N)70-YB-169,,SIG",Activation Experiments for p-Process Nucleosynthesis,2011,K.Sonnabend+,2GERTHD,2012/01/04,"Jour. Applied Radiation and Isotopes Vol.63, p.235, 2005",C1887002,C1887,"(J,ARI,63,235,2005)",1,1,0,169Tm,Tm,100,169,I,6.910968517098589,0.1157580153954834,Other,-61275.212,0.812,8114.473000000001,0.005,-897.65,1.141,168934218.35,0.871,14874.21,1.02,13572.53,5.32,1198.88,1.06,-3190.65,3.21,-8503.01,30.02,-7764.63,1.13,8033.61,1.5,5573.01,1.1,-10984.78,27.96,12726.77,1.1,8514.88,1.1,7442.52,1.06,-5573.01,-8033.61,-13344.3239,-11119.7579,-11298.9849,-13135.0994,-13572.53,-14874.21,1198.88,-1679.9965,-5573.01,-8033.61,-5809.044,-8546.9765,-6392.415099999997,-5626.283500000001,-7720.6635000000015,-5573.01,-3348.4440000000004,-8033.61,-4862.528900000001,-5854.489600000001,-1776.3809999999994,-79.53560000000016,-916.242,12544.0094,14240.8549
114601,proton,All_or_Total,4,All_or_Total,Preliminary,Center_of_Mass,7000000.0,100000.0,0.014,0.0014070353671172,0.0,0.0,Other,"K.Sonnabend,ET.AL. (11)  ",C1887,2,No Pointer,69,"69-TM-169(P,N)70-YB-169,,SIG",Activation Experiments for p-Process Nucleosynthesis,2011,K.Sonnabend+,2GERTHD,2012/01/04,"Jour. Applied Radiation and Isotopes Vol.63, p.235, 2005",C1887002,C1887,"(J,ARI,63,235,2005)",1,1,0,169Tm,Tm,100,169,I,6.910968517098589,0.1157580153954834,Other,-61275.212,0.812,8114.473000000001,0.005,-897.65,1.141,168934218.35,0.871,14874.21,1.02,13572.53,5.32,1198.88,1.06,-3190.65,3.21,-8503.01,30.02,-7764.63,1.13,8033.61,1.5,5573.01,1.1,-10984.78,27.96,12726.77,1.1,8514.88,1.1,7442.52,1.06,-5573.01,-8033.61,-13344.3239,-11119.7579,-11298.9849,-13135.0994,-13572.53,-14874.21,1198.88,-1679.9965,-5573.01,-8033.61,-5809.044,-8546.9765,-6392.415099999997,-5626.283500000001,-7720.6635000000015,-5573.01,-3348.4440000000004,-8033.61,-4862.528900000001,-5854.489600000001,-1776.3809999999994,-79.53560000000016,-916.242,12544.0094,14240.8549
114602,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,4800000.0,600000.0,0.0002,0.0001,0.0,0.0,Other,"I.Spahn,ET.AL. (05)      ",D4148,2,No Pointer,69,"69-TM-169(P,N)70-YB-169,,SIG,,,EXP","Cross-section measurement of the 169Tm(p,n) reaction for the production of the therapeutic radionuclide 169-Yb and comparison with its reactor-based generation",2005,I.Spahn+,2GERJUL,2005/07/02,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.471, p.13, 2020",D4148002,D4148,"(J,NIM/B,471,13,2020)",1,1,0,169Tm,Tm,100,169,I,6.910968517098589,0.1157580153954834,Other,-61275.212,0.812,8114.473000000001,0.005,-897.65,1.141,168934218.35,0.871,14874.21,1.02,13572.53,5.32,1198.88,1.06,-3190.65,3.21,-8503.01,30.02,-7764.63,1.13,8033.61,1.5,5573.01,1.1,-10984.78,27.96,12726.77,1.1,8514.88,1.1,7442.52,1.06,-5573.01,-8033.61,-13344.3239,-11119.7579,-11298.9849,-13135.0994,-13572.53,-14874.21,1198.88,-1679.9965,-5573.01,-8033.61,-5809.044,-8546.9765,-6392.415099999997,-5626.283500000001,-7720.6635000000015,-5573.01,-3348.4440000000004,-8033.61,-4862.528900000001,-5854.489600000001,-1776.3809999999994,-79.53560000000016,-916.242,12544.0094,14240.8549
