,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
9491,proton,All_or_Total,3,All_or_Total,Other,Lab,552000000.0,9999361.586196372,0.29,0.015,0.0,0.0,Other,"P.U.RENBERG,ET.AL. (72)  ",O0213,13,O,8,"8-O-0(P,NON),,SIG,,,CALC",Reaction Cross Sections For Protons in the Energy Range 220-570 MeV.,1972,P.U.Renberg+,2ZZZCER,1997/06/02,"Jour. Canadian Journal of Chemistry Vol.44, p.2749, 1966",O0213013O,O0213,"(J,CJC,44,2749,66)",1,1,0,16O,O,8,16,N,3.149802624737183,0.2539841683149119,Other,-2772.882415,0.00041,7863.467000000001,0.0,-9088.8595,4.2845,15999000.0,0.000435,24347.21,0.26,23797.345,0.4,-6760.305,0.0,-23016.495,10.415,-21845.495,2.1900000000000004,-24467.7,11.16,9903.5,0.245,12954.525,1.15,-55794.372633341,-281.7065465076686,6455.495000000001,0.0,-2013.28,0.135,-198.9300000000001,0.0,-12954.525,-9903.5,-19615.5989,-17391.032900000002,-21827.1449,-20776.5494,-23797.345,-24347.21,-6760.305,-9871.206,-12954.525,-9903.5,-7678.933999999999,-25250.0465,-15865.4151,-11897.558500000005,-21063.1485,-12954.525,-10729.959,-9903.5,-11133.803900000004,-16079.3046,-3646.271,-7461.0506,-9107.4515,10674.1194,6859.339900000001
9492,proton,All_or_Total,3,All_or_Total,Other,Lab,464000000.0,8405260.46375927,0.288,0.015,0.0,0.0,Other,"P.U.RENBERG,ET.AL. (72)  ",O0213,13,O,8,"8-O-0(P,NON),,SIG,,,CALC",Reaction Cross Sections For Protons in the Energy Range 220-570 MeV.,1972,P.U.Renberg+,2ZZZCER,1997/06/02,"Jour. Canadian Journal of Chemistry Vol.44, p.2749, 1966",O0213013O,O0213,"(J,CJC,44,2749,66)",1,1,0,16O,O,8,16,N,3.149802624737183,0.2539841683149119,Other,-2772.882415,0.00041,7863.467000000001,0.0,-9088.8595,4.2845,15999000.0,0.000435,24347.21,0.26,23797.345,0.4,-6760.305,0.0,-23016.495,10.415,-21845.495,2.1900000000000004,-24467.7,11.16,9903.5,0.245,12954.525,1.15,-55794.372633341,-281.7065465076686,6455.495000000001,0.0,-2013.28,0.135,-198.9300000000001,0.0,-12954.525,-9903.5,-19615.5989,-17391.032900000002,-21827.1449,-20776.5494,-23797.345,-24347.21,-6760.305,-9871.206,-12954.525,-9903.5,-7678.933999999999,-25250.0465,-15865.4151,-11897.558500000005,-21063.1485,-12954.525,-10729.959,-9903.5,-11133.803900000004,-16079.3046,-3646.271,-7461.0506,-9107.4515,10674.1194,6859.339900000001
9493,proton,All_or_Total,3,All_or_Total,Other,Lab,345000000.0,6249600.991372732,0.282,0.014,0.0,0.0,Other,"P.U.RENBERG,ET.AL. (72)  ",O0213,13,O,8,"8-O-0(P,NON),,SIG,,,CALC",Reaction Cross Sections For Protons in the Energy Range 220-570 MeV.,1972,P.U.Renberg+,2ZZZCER,1997/06/02,"Jour. Canadian Journal of Chemistry Vol.44, p.2749, 1966",O0213013O,O0213,"(J,CJC,44,2749,66)",1,1,0,16O,O,8,16,N,3.149802624737183,0.2539841683149119,Other,-2772.882415,0.00041,7863.467000000001,0.0,-9088.8595,4.2845,15999000.0,0.000435,24347.21,0.26,23797.345,0.4,-6760.305,0.0,-23016.495,10.415,-21845.495,2.1900000000000004,-24467.7,11.16,9903.5,0.245,12954.525,1.15,-55794.372633341,-281.7065465076686,6455.495000000001,0.0,-2013.28,0.135,-198.9300000000001,0.0,-12954.525,-9903.5,-19615.5989,-17391.032900000002,-21827.1449,-20776.5494,-23797.345,-24347.21,-6760.305,-9871.206,-12954.525,-9903.5,-7678.933999999999,-25250.0465,-15865.4151,-11897.558500000005,-21063.1485,-12954.525,-10729.959,-9903.5,-11133.803900000004,-16079.3046,-3646.271,-7461.0506,-9107.4515,10674.1194,6859.339900000001
9494,proton,All_or_Total,3,All_or_Total,Other,Lab,231000000.0,4184515.446397395,0.295,0.012,0.0,0.0,Other,"P.U.RENBERG,ET.AL. (72)  ",O0213,13,O,8,"8-O-0(P,NON),,SIG,,,CALC",Reaction Cross Sections For Protons in the Energy Range 220-570 MeV.,1972,P.U.Renberg+,2ZZZCER,1997/06/02,"Jour. Canadian Journal of Chemistry Vol.44, p.2749, 1966",O0213013O,O0213,"(J,CJC,44,2749,66)",1,1,0,16O,O,8,16,N,3.149802624737183,0.2539841683149119,Other,-2772.882415,0.00041,7863.467000000001,0.0,-9088.8595,4.2845,15999000.0,0.000435,24347.21,0.26,23797.345,0.4,-6760.305,0.0,-23016.495,10.415,-21845.495,2.1900000000000004,-24467.7,11.16,9903.5,0.245,12954.525,1.15,-55794.372633341,-281.7065465076686,6455.495000000001,0.0,-2013.28,0.135,-198.9300000000001,0.0,-12954.525,-9903.5,-19615.5989,-17391.032900000002,-21827.1449,-20776.5494,-23797.345,-24347.21,-6760.305,-9871.206,-12954.525,-9903.5,-7678.933999999999,-25250.0465,-15865.4151,-11897.558500000005,-21063.1485,-12954.525,-10729.959,-9903.5,-11133.803900000004,-16079.3046,-3646.271,-7461.0506,-9107.4515,10674.1194,6859.339900000001
9495,proton,All_or_Total,9000,All_or_Total,Other,Lab,30000000.0,2000000.0,0.0029,0.000493,0.0,0.0,Other,"M.S.LAFLEUR,ET.AL. (66)  ",C0401,2,No Pointer,8,"8-O-0(P,X)4-BE-7,,SIG",Formation of 7Be in nuclear reactions induced by 85-MeV protons,1966,M.S.Lafleur+,1CANMCG,1997/04/05,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.82, p.9, 1993",C0401002,C0401,"(J,NIM/B,82,9,1993)",1,1,0,16O,O,8,16,N,3.149802624737183,0.2539841683149119,Other,-2772.882415,0.00041,7863.467000000001,0.0,-9088.8595,4.2845,15999000.0,0.000435,24347.21,0.26,23797.345,0.4,-6760.305,0.0,-23016.495,10.415,-21845.495,2.1900000000000004,-24467.7,11.16,9903.5,0.245,12954.525,1.15,-55794.372633341,-281.7065465076686,6455.495000000001,0.0,-2013.28,0.135,-198.9300000000001,0.0,-12954.525,-9903.5,-19615.5989,-17391.032900000002,-21827.1449,-20776.5494,-23797.345,-24347.21,-6760.305,-9871.206,-12954.525,-9903.5,-7678.933999999999,-25250.0465,-15865.4151,-11897.558500000005,-21063.1485,-12954.525,-10729.959,-9903.5,-11133.803900000004,-16079.3046,-3646.271,-7461.0506,-9107.4515,10674.1194,6859.339900000001
9496,proton,All_or_Total,9000,All_or_Total,Other,Lab,45000000.0,2000000.0,0.0053,0.000901,0.0,0.0,Other,"M.S.LAFLEUR,ET.AL. (66)  ",C0401,2,No Pointer,8,"8-O-0(P,X)4-BE-7,,SIG",Formation of 7Be in nuclear reactions induced by 85-MeV protons,1966,M.S.Lafleur+,1CANMCG,1997/04/05,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.82, p.9, 1993",C0401002,C0401,"(J,NIM/B,82,9,1993)",1,1,0,16O,O,8,16,N,3.149802624737183,0.2539841683149119,Other,-2772.882415,0.00041,7863.467000000001,0.0,-9088.8595,4.2845,15999000.0,0.000435,24347.21,0.26,23797.345,0.4,-6760.305,0.0,-23016.495,10.415,-21845.495,2.1900000000000004,-24467.7,11.16,9903.5,0.245,12954.525,1.15,-55794.372633341,-281.7065465076686,6455.495000000001,0.0,-2013.28,0.135,-198.9300000000001,0.0,-12954.525,-9903.5,-19615.5989,-17391.032900000002,-21827.1449,-20776.5494,-23797.345,-24347.21,-6760.305,-9871.206,-12954.525,-9903.5,-7678.933999999999,-25250.0465,-15865.4151,-11897.558500000005,-21063.1485,-12954.525,-10729.959,-9903.5,-11133.803900000004,-16079.3046,-3646.271,-7461.0506,-9107.4515,10674.1194,6859.339900000001
9497,proton,All_or_Total,9000,All_or_Total,Other,Lab,60000000.0,2000000.0,0.0099,0.001683,0.0,0.0,Other,"M.S.LAFLEUR,ET.AL. (66)  ",C0401,2,No Pointer,8,"8-O-0(P,X)4-BE-7,,SIG",Formation of 7Be in nuclear reactions induced by 85-MeV protons,1966,M.S.Lafleur+,1CANMCG,1997/04/05,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.82, p.9, 1993",C0401002,C0401,"(J,NIM/B,82,9,1993)",1,1,0,16O,O,8,16,N,3.149802624737183,0.2539841683149119,Other,-2772.882415,0.00041,7863.467000000001,0.0,-9088.8595,4.2845,15999000.0,0.000435,24347.21,0.26,23797.345,0.4,-6760.305,0.0,-23016.495,10.415,-21845.495,2.1900000000000004,-24467.7,11.16,9903.5,0.245,12954.525,1.15,-55794.372633341,-281.7065465076686,6455.495000000001,0.0,-2013.28,0.135,-198.9300000000001,0.0,-12954.525,-9903.5,-19615.5989,-17391.032900000002,-21827.1449,-20776.5494,-23797.345,-24347.21,-6760.305,-9871.206,-12954.525,-9903.5,-7678.933999999999,-25250.0465,-15865.4151,-11897.558500000005,-21063.1485,-12954.525,-10729.959,-9903.5,-11133.803900000004,-16079.3046,-3646.271,-7461.0506,-9107.4515,10674.1194,6859.339900000001
9498,proton,All_or_Total,9000,All_or_Total,Other,Lab,70000000.0,2000000.0,0.0095,0.001615,0.0,0.0,Other,"M.S.LAFLEUR,ET.AL. (66)  ",C0401,2,No Pointer,8,"8-O-0(P,X)4-BE-7,,SIG",Formation of 7Be in nuclear reactions induced by 85-MeV protons,1966,M.S.Lafleur+,1CANMCG,1997/04/05,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.82, p.9, 1993",C0401002,C0401,"(J,NIM/B,82,9,1993)",1,1,0,16O,O,8,16,N,3.149802624737183,0.2539841683149119,Other,-2772.882415,0.00041,7863.467000000001,0.0,-9088.8595,4.2845,15999000.0,0.000435,24347.21,0.26,23797.345,0.4,-6760.305,0.0,-23016.495,10.415,-21845.495,2.1900000000000004,-24467.7,11.16,9903.5,0.245,12954.525,1.15,-55794.372633341,-281.7065465076686,6455.495000000001,0.0,-2013.28,0.135,-198.9300000000001,0.0,-12954.525,-9903.5,-19615.5989,-17391.032900000002,-21827.1449,-20776.5494,-23797.345,-24347.21,-6760.305,-9871.206,-12954.525,-9903.5,-7678.933999999999,-25250.0465,-15865.4151,-11897.558500000005,-21063.1485,-12954.525,-10729.959,-9903.5,-11133.803900000004,-16079.3046,-3646.271,-7461.0506,-9107.4515,10674.1194,6859.339900000001
9499,proton,All_or_Total,9000,All_or_Total,Other,Lab,85000000.0,2000000.0,0.009,0.00153,0.0,0.0,Other,"M.S.LAFLEUR,ET.AL. (66)  ",C0401,2,No Pointer,8,"8-O-0(P,X)4-BE-7,,SIG",Formation of 7Be in nuclear reactions induced by 85-MeV protons,1966,M.S.Lafleur+,1CANMCG,1997/04/05,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.82, p.9, 1993",C0401002,C0401,"(J,NIM/B,82,9,1993)",1,1,0,16O,O,8,16,N,3.149802624737183,0.2539841683149119,Other,-2772.882415,0.00041,7863.467000000001,0.0,-9088.8595,4.2845,15999000.0,0.000435,24347.21,0.26,23797.345,0.4,-6760.305,0.0,-23016.495,10.415,-21845.495,2.1900000000000004,-24467.7,11.16,9903.5,0.245,12954.525,1.15,-55794.372633341,-281.7065465076686,6455.495000000001,0.0,-2013.28,0.135,-198.9300000000001,0.0,-12954.525,-9903.5,-19615.5989,-17391.032900000002,-21827.1449,-20776.5494,-23797.345,-24347.21,-6760.305,-9871.206,-12954.525,-9903.5,-7678.933999999999,-25250.0465,-15865.4151,-11897.558500000005,-21063.1485,-12954.525,-10729.959,-9903.5,-11133.803900000004,-16079.3046,-3646.271,-7461.0506,-9107.4515,10674.1194,6859.339900000001
9500,proton,All_or_Total,9000,All_or_Total,Other,Lab,33500000.0,2440000.0,0.000987,7.89e-05,0.0,0.0,Other,"R.Bodemann,ET.AL. (93)   ",O0282,4,No Pointer,8,"8-O-0(P,X)4-BE-7,,SIG","Production of residual nuclei by proton-induced reactions on C, N, O, Mg, Al and Si.",1993,R.Bodemann+,2GERKLN,2006/02/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.129, p.153, 1997",O0282004,O0282,"(J,NIM/B,129,153,1997)",1,1,0,16O,O,8,16,N,3.149802624737183,0.2539841683149119,Other,-2772.882415,0.00041,7863.467000000001,0.0,-9088.8595,4.2845,15999000.0,0.000435,24347.21,0.26,23797.345,0.4,-6760.305,0.0,-23016.495,10.415,-21845.495,2.1900000000000004,-24467.7,11.16,9903.5,0.245,12954.525,1.15,-55794.372633341,-281.7065465076686,6455.495000000001,0.0,-2013.28,0.135,-198.9300000000001,0.0,-12954.525,-9903.5,-19615.5989,-17391.032900000002,-21827.1449,-20776.5494,-23797.345,-24347.21,-6760.305,-9871.206,-12954.525,-9903.5,-7678.933999999999,-25250.0465,-15865.4151,-11897.558500000005,-21063.1485,-12954.525,-10729.959,-9903.5,-11133.803900000004,-16079.3046,-3646.271,-7461.0506,-9107.4515,10674.1194,6859.339900000001
