,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
114752,proton,All_or_Total,18,All_or_Total,Approved_by_Author,Lab,155000000.0,3221106.6917314176,0.00055,5e-05,0.0,0.0,Other,"O.E.Shigaev,ET.AL. (73)  ",A0047,9,No Pointer,70,"70-YB-0(P,F),,SIG",The definition of anisotropy and fission cross sections as a function of Z**2/A at the proton energy 200 MeV,1973,O.E.Shigaev+,4RUSRI,2008/06/03,"Jour. Yadernaya Fizika Vol.28, p.572, 1978",A0047009,A0047,"(J,YF,28,572,1978)",1,1,0,173Yb,Yb,103,173,N,6.965068319428278,0.1148588877109058,Other,-58403.3355,0.0125,8092.428,0.0,-1594.888,1.9515,173054000.0,0.013,14510.605,0.01,14067.46,1.5550000000000002,1128.885,1.1749999999999998,-2496.33,26.185,-8591.02,2.785,-9192.465,2.1,7193.525,0.02,7399.969999999999,3.2350000000000003,-9491.05,27.94,11810.544999999998,0.885,6996.25,0.805,7758.960000000001,1.365,-7399.969999999999,-7193.525,-14260.548900000002,-12035.982900000005,-12817.6149,-12818.6594,-14067.46,-14510.605,1128.885,-2377.2345,-7399.969999999999,-7193.525,-4968.959000000001,-9974.8115,-6028.810099999999,-6542.508500000003,-7808.673499999999,-7399.969999999999,-5175.404,-7193.525,-5778.7539000000015,-6349.419599999998,-936.2959999999996,-1906.4956,-1613.48,13384.0944,12413.894900000005
114753,proton,All_or_Total,18,All_or_Total,Approved_by_Author,Lab,200000000.0,4156266.69900828,0.0011,0.0001,0.0,0.0,Other,"O.E.Shigaev,ET.AL. (73)  ",A0047,9,No Pointer,70,"70-YB-0(P,F),,SIG",The definition of anisotropy and fission cross sections as a function of Z**2/A at the proton energy 200 MeV,1973,O.E.Shigaev+,4RUSRI,2008/06/03,"Jour. Yadernaya Fizika Vol.28, p.572, 1978",A0047009,A0047,"(J,YF,28,572,1978)",1,1,0,173Yb,Yb,103,173,N,6.965068319428278,0.1148588877109058,Other,-58403.3355,0.0125,8092.428,0.0,-1594.888,1.9515,173054000.0,0.013,14510.605,0.01,14067.46,1.5550000000000002,1128.885,1.1749999999999998,-2496.33,26.185,-8591.02,2.785,-9192.465,2.1,7193.525,0.02,7399.969999999999,3.2350000000000003,-9491.05,27.94,11810.544999999998,0.885,6996.25,0.805,7758.960000000001,1.365,-7399.969999999999,-7193.525,-14260.548900000002,-12035.982900000005,-12817.6149,-12818.6594,-14067.46,-14510.605,1128.885,-2377.2345,-7399.969999999999,-7193.525,-4968.959000000001,-9974.8115,-6028.810099999999,-6542.508500000003,-7808.673499999999,-7399.969999999999,-5175.404,-7193.525,-5778.7539000000015,-6349.419599999998,-936.2959999999996,-1906.4956,-1613.48,13384.0944,12413.894900000005
114754,proton,All_or_Total,18,All_or_Total,Approved_by_Author,Lab,1000000000.0,20781333.495041404,0.0114,0.001,0.0,0.0,Other,"B.A.Bochagov,ET.AL. (78) ",A0029,11,No Pointer,70,"70-YB-0(P,F),,SIG","Determination of the fission cross sections of 238U, 235U, 232Th, 209Bi, 208-206Pb, 197Au, 181Ta, Yb, and Sm bombarded by 1-GeV protons",1978,B.A.Bochagov+,4RUSRI,2020/05/04,"Jour. Zeitschrift fuer Physik A, Hadrons and Nuclei Vol.302, p.143, 1981",A0029011,A0029,"(J,ZP/A,302,143,1981)",1,1,0,173Yb,Yb,103,173,N,6.965068319428278,0.1148588877109058,Other,-58403.3355,0.0125,8092.428,0.0,-1594.888,1.9515,173054000.0,0.013,14510.605,0.01,14067.46,1.5550000000000002,1128.885,1.1749999999999998,-2496.33,26.185,-8591.02,2.785,-9192.465,2.1,7193.525,0.02,7399.969999999999,3.2350000000000003,-9491.05,27.94,11810.544999999998,0.885,6996.25,0.805,7758.960000000001,1.365,-7399.969999999999,-7193.525,-14260.548900000002,-12035.982900000005,-12817.6149,-12818.6594,-14067.46,-14510.605,1128.885,-2377.2345,-7399.969999999999,-7193.525,-4968.959000000001,-9974.8115,-6028.810099999999,-6542.508500000003,-7808.673499999999,-7399.969999999999,-5175.404,-7193.525,-5778.7539000000015,-6349.419599999998,-936.2959999999996,-1906.4956,-1613.48,13384.0944,12413.894900000005
114755,proton,All_or_Total,18,All_or_Total,Other,Lab,1000000000.0,20781333.495041404,0.0097,0.0015,0.0,0.0,Other,"L.A.Vaishnene,ET.AL. (81)",O0008,7,No Pointer,70,"70-YB-0(P,F),,SIG",Fission cross sections of medium-weight and heavy nuclei induced by 1 GeV protons,1981,L.A.Vaishnene+,4RUSLIN,2019/02/05,"Jour. Yadernaya Fizika Vol.19, p.756, 1974",O0008007,O0008,"(J,YF,19,756,1974)",1,1,0,173Yb,Yb,103,173,N,6.965068319428278,0.1148588877109058,Other,-58403.3355,0.0125,8092.428,0.0,-1594.888,1.9515,173054000.0,0.013,14510.605,0.01,14067.46,1.5550000000000002,1128.885,1.1749999999999998,-2496.33,26.185,-8591.02,2.785,-9192.465,2.1,7193.525,0.02,7399.969999999999,3.2350000000000003,-9491.05,27.94,11810.544999999998,0.885,6996.25,0.805,7758.960000000001,1.365,-7399.969999999999,-7193.525,-14260.548900000002,-12035.982900000005,-12817.6149,-12818.6594,-14067.46,-14510.605,1128.885,-2377.2345,-7399.969999999999,-7193.525,-4968.959000000001,-9974.8115,-6028.810099999999,-6542.508500000003,-7808.673499999999,-7399.969999999999,-5175.404,-7193.525,-5778.7539000000015,-6349.419599999998,-936.2959999999996,-1906.4956,-1613.48,13384.0944,12413.894900000005
114756,proton,All_or_Total,18,All_or_Total,Dependent,Lab,1000000000.0,20781333.495041404,0.0045,0.0008,0.0,0.0,Other,"A.A.Kotov,ET.AL. (74)    ",O0375,5,A,70,"70-YB-0(P,F),,SIG",Angular correlations of fragments from binary nuclear fission induced by 1 GeV protons.,1974,A.A.Kotov+,4RUSLIN,2005/02/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.267, p.2789, 2009",O0375005A,O0375,"(J,NIM/B,267,2789,2009)",1,1,0,173Yb,Yb,103,173,N,6.965068319428278,0.1148588877109058,Other,-58403.3355,0.0125,8092.428,0.0,-1594.888,1.9515,173054000.0,0.013,14510.605,0.01,14067.46,1.5550000000000002,1128.885,1.1749999999999998,-2496.33,26.185,-8591.02,2.785,-9192.465,2.1,7193.525,0.02,7399.969999999999,3.2350000000000003,-9491.05,27.94,11810.544999999998,0.885,6996.25,0.805,7758.960000000001,1.365,-7399.969999999999,-7193.525,-14260.548900000002,-12035.982900000005,-12817.6149,-12818.6594,-14067.46,-14510.605,1128.885,-2377.2345,-7399.969999999999,-7193.525,-4968.959000000001,-9974.8115,-6028.810099999999,-6542.508500000003,-7808.673499999999,-7399.969999999999,-5175.404,-7193.525,-5778.7539000000015,-6349.419599999998,-936.2959999999996,-1906.4956,-1613.48,13384.0944,12413.894900000005
114757,proton,All_or_Total,9000,All_or_Total,Approved_by_Author,Lab,4600000.0,600000.0,4.5e-05,1.1e-05,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (09)   ",D4218,3,No Pointer,70,"70-YB-0(P,X)71-LU-172,,SIG",Activation cross sections of proton induced nuclear reactions on ytterbium up to 70 MeV,2009,F.Tarkanyi+,3HUNDEB,2009/06/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.267, p.2789, 2009",D4218003,D4218,"(J,NIM/B,267,2789,2009)",1,1,0,173Yb,Yb,103,173,N,6.965068319428278,0.1148588877109058,Other,-58403.3355,0.0125,8092.428,0.0,-1594.888,1.9515,173054000.0,0.013,14510.605,0.01,14067.46,1.5550000000000002,1128.885,1.1749999999999998,-2496.33,26.185,-8591.02,2.785,-9192.465,2.1,7193.525,0.02,7399.969999999999,3.2350000000000003,-9491.05,27.94,11810.544999999998,0.885,6996.25,0.805,7758.960000000001,1.365,-7399.969999999999,-7193.525,-14260.548900000002,-12035.982900000005,-12817.6149,-12818.6594,-14067.46,-14510.605,1128.885,-2377.2345,-7399.969999999999,-7193.525,-4968.959000000001,-9974.8115,-6028.810099999999,-6542.508500000003,-7808.673499999999,-7399.969999999999,-5175.404,-7193.525,-5778.7539000000015,-6349.419599999998,-936.2959999999996,-1906.4956,-1613.48,13384.0944,12413.894900000005
114758,proton,All_or_Total,9000,All_or_Total,Approved_by_Author,Lab,6400000.0,600000.0,0.00153,0.00017,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (09)   ",D4218,3,No Pointer,70,"70-YB-0(P,X)71-LU-172,,SIG",Activation cross sections of proton induced nuclear reactions on ytterbium up to 70 MeV,2009,F.Tarkanyi+,3HUNDEB,2009/06/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.267, p.2789, 2009",D4218003,D4218,"(J,NIM/B,267,2789,2009)",1,1,0,173Yb,Yb,103,173,N,6.965068319428278,0.1148588877109058,Other,-58403.3355,0.0125,8092.428,0.0,-1594.888,1.9515,173054000.0,0.013,14510.605,0.01,14067.46,1.5550000000000002,1128.885,1.1749999999999998,-2496.33,26.185,-8591.02,2.785,-9192.465,2.1,7193.525,0.02,7399.969999999999,3.2350000000000003,-9491.05,27.94,11810.544999999998,0.885,6996.25,0.805,7758.960000000001,1.365,-7399.969999999999,-7193.525,-14260.548900000002,-12035.982900000005,-12817.6149,-12818.6594,-14067.46,-14510.605,1128.885,-2377.2345,-7399.969999999999,-7193.525,-4968.959000000001,-9974.8115,-6028.810099999999,-6542.508500000003,-7808.673499999999,-7399.969999999999,-5175.404,-7193.525,-5778.7539000000015,-6349.419599999998,-936.2959999999996,-1906.4956,-1613.48,13384.0944,12413.894900000005
114759,proton,All_or_Total,9000,All_or_Total,Approved_by_Author,Lab,8000000.0,500000.0,0.0116,0.0013,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (09)   ",D4218,3,No Pointer,70,"70-YB-0(P,X)71-LU-172,,SIG",Activation cross sections of proton induced nuclear reactions on ytterbium up to 70 MeV,2009,F.Tarkanyi+,3HUNDEB,2009/06/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.267, p.2789, 2009",D4218003,D4218,"(J,NIM/B,267,2789,2009)",1,1,0,173Yb,Yb,103,173,N,6.965068319428278,0.1148588877109058,Other,-58403.3355,0.0125,8092.428,0.0,-1594.888,1.9515,173054000.0,0.013,14510.605,0.01,14067.46,1.5550000000000002,1128.885,1.1749999999999998,-2496.33,26.185,-8591.02,2.785,-9192.465,2.1,7193.525,0.02,7399.969999999999,3.2350000000000003,-9491.05,27.94,11810.544999999998,0.885,6996.25,0.805,7758.960000000001,1.365,-7399.969999999999,-7193.525,-14260.548900000002,-12035.982900000005,-12817.6149,-12818.6594,-14067.46,-14510.605,1128.885,-2377.2345,-7399.969999999999,-7193.525,-4968.959000000001,-9974.8115,-6028.810099999999,-6542.508500000003,-7808.673499999999,-7399.969999999999,-5175.404,-7193.525,-5778.7539000000015,-6349.419599999998,-936.2959999999996,-1906.4956,-1613.48,13384.0944,12413.894900000005
114760,proton,All_or_Total,9000,All_or_Total,Approved_by_Author,Lab,9300000.0,500000.0,0.0254,0.0029,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (09)   ",D4218,3,No Pointer,70,"70-YB-0(P,X)71-LU-172,,SIG",Activation cross sections of proton induced nuclear reactions on ytterbium up to 70 MeV,2009,F.Tarkanyi+,3HUNDEB,2009/06/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.267, p.2789, 2009",D4218003,D4218,"(J,NIM/B,267,2789,2009)",1,1,0,173Yb,Yb,103,173,N,6.965068319428278,0.1148588877109058,Other,-58403.3355,0.0125,8092.428,0.0,-1594.888,1.9515,173054000.0,0.013,14510.605,0.01,14067.46,1.5550000000000002,1128.885,1.1749999999999998,-2496.33,26.185,-8591.02,2.785,-9192.465,2.1,7193.525,0.02,7399.969999999999,3.2350000000000003,-9491.05,27.94,11810.544999999998,0.885,6996.25,0.805,7758.960000000001,1.365,-7399.969999999999,-7193.525,-14260.548900000002,-12035.982900000005,-12817.6149,-12818.6594,-14067.46,-14510.605,1128.885,-2377.2345,-7399.969999999999,-7193.525,-4968.959000000001,-9974.8115,-6028.810099999999,-6542.508500000003,-7808.673499999999,-7399.969999999999,-5175.404,-7193.525,-5778.7539000000015,-6349.419599999998,-936.2959999999996,-1906.4956,-1613.48,13384.0944,12413.894900000005
114761,proton,All_or_Total,9000,All_or_Total,Approved_by_Author,Lab,10600000.0,500000.0,0.0676,0.0076,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (09)   ",D4218,3,No Pointer,70,"70-YB-0(P,X)71-LU-172,,SIG",Activation cross sections of proton induced nuclear reactions on ytterbium up to 70 MeV,2009,F.Tarkanyi+,3HUNDEB,2009/06/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.267, p.2789, 2009",D4218003,D4218,"(J,NIM/B,267,2789,2009)",1,1,0,173Yb,Yb,103,173,N,6.965068319428278,0.1148588877109058,Other,-58403.3355,0.0125,8092.428,0.0,-1594.888,1.9515,173054000.0,0.013,14510.605,0.01,14067.46,1.5550000000000002,1128.885,1.1749999999999998,-2496.33,26.185,-8591.02,2.785,-9192.465,2.1,7193.525,0.02,7399.969999999999,3.2350000000000003,-9491.05,27.94,11810.544999999998,0.885,6996.25,0.805,7758.960000000001,1.365,-7399.969999999999,-7193.525,-14260.548900000002,-12035.982900000005,-12817.6149,-12818.6594,-14067.46,-14510.605,1128.885,-2377.2345,-7399.969999999999,-7193.525,-4968.959000000001,-9974.8115,-6028.810099999999,-6542.508500000003,-7808.673499999999,-7399.969999999999,-5175.404,-7193.525,-5778.7539000000015,-6349.419599999998,-936.2959999999996,-1906.4956,-1613.48,13384.0944,12413.894900000005
