,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
116280,proton,All_or_Total,4,M,Dependent,Lab,6180000.0,151751.21424707735,0.00014,6e-05,0.0,0.0,Other,"V.G.Batij,ET.AL. (86)    ",A0676,4,No Pointer,72,"72-HF-180(P,N)73-TA-180-M,,SIG,,,CALC","Identifying the excitation cross section of 180-m-Ta (half-life >1.E+13 years) isomer in a (P,N) reaction.",1986,V.G.Batij+,4UKRKFT,2004/03/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.26, p.435, 1982",A0676004,A0676,"(J,PR/C,26,435,198208)",1,1,0,180Hf,Hf,108,180,I,7.057770216607713,0.1133502473794785,Other,-49779.348,1.419,8034.93,0.008,-846.471,2.269,179946559.66900003,1.5219999999999998,13486.75,0.17,14661.81,10.1,1287.05,1.42,-143.23,0.28,-10531.0,196.0,-7493.34,0.44,7387.76,0.15,8009.4,5.06,-5421.54,16.45,11269.24,2.06,7468.51,0.81,6853.45,1.44,-8009.4,-7387.76,-14801.8539,-12577.2879,-12345.3549,-13724.1694,-14661.81,-13486.75,1287.05,-1628.8175,-8009.4,-7387.76,-5163.194,-8275.6865,-5004.955099999999,-7083.813500000002,-9748.6535,-8009.4,-5784.834,-7387.76,-6320.058900000003,-6943.7696,-1130.531,-2515.9256,-865.063,13189.8594,11804.4649
116281,proton,All_or_Total,4,M,Dependent,Lab,6680000.0,164028.82057774704,0.00047,0.0001,0.0,0.0,Other,"V.G.Batij,ET.AL. (86)    ",A0676,4,No Pointer,72,"72-HF-180(P,N)73-TA-180-M,,SIG,,,CALC","Identifying the excitation cross section of 180-m-Ta (half-life >1.E+13 years) isomer in a (P,N) reaction.",1986,V.G.Batij+,4UKRKFT,2004/03/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.26, p.435, 1982",A0676004,A0676,"(J,PR/C,26,435,198208)",1,1,0,180Hf,Hf,108,180,I,7.057770216607713,0.1133502473794785,Other,-49779.348,1.419,8034.93,0.008,-846.471,2.269,179946559.66900003,1.5219999999999998,13486.75,0.17,14661.81,10.1,1287.05,1.42,-143.23,0.28,-10531.0,196.0,-7493.34,0.44,7387.76,0.15,8009.4,5.06,-5421.54,16.45,11269.24,2.06,7468.51,0.81,6853.45,1.44,-8009.4,-7387.76,-14801.8539,-12577.2879,-12345.3549,-13724.1694,-14661.81,-13486.75,1287.05,-1628.8175,-8009.4,-7387.76,-5163.194,-8275.6865,-5004.955099999999,-7083.813500000002,-9748.6535,-8009.4,-5784.834,-7387.76,-6320.058900000003,-6943.7696,-1130.531,-2515.9256,-865.063,13189.8594,11804.4649
116282,proton,All_or_Total,4,M,Dependent,Lab,7180000.0,176306.42690841673,0.00085,0.00014,0.0,0.0,Other,"V.G.Batij,ET.AL. (86)    ",A0676,4,No Pointer,72,"72-HF-180(P,N)73-TA-180-M,,SIG,,,CALC","Identifying the excitation cross section of 180-m-Ta (half-life >1.E+13 years) isomer in a (P,N) reaction.",1986,V.G.Batij+,4UKRKFT,2004/03/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.26, p.435, 1982",A0676004,A0676,"(J,PR/C,26,435,198208)",1,1,0,180Hf,Hf,108,180,I,7.057770216607713,0.1133502473794785,Other,-49779.348,1.419,8034.93,0.008,-846.471,2.269,179946559.66900003,1.5219999999999998,13486.75,0.17,14661.81,10.1,1287.05,1.42,-143.23,0.28,-10531.0,196.0,-7493.34,0.44,7387.76,0.15,8009.4,5.06,-5421.54,16.45,11269.24,2.06,7468.51,0.81,6853.45,1.44,-8009.4,-7387.76,-14801.8539,-12577.2879,-12345.3549,-13724.1694,-14661.81,-13486.75,1287.05,-1628.8175,-8009.4,-7387.76,-5163.194,-8275.6865,-5004.955099999999,-7083.813500000002,-9748.6535,-8009.4,-5784.834,-7387.76,-6320.058900000003,-6943.7696,-1130.531,-2515.9256,-865.063,13189.8594,11804.4649
116283,proton,All_or_Total,4,M,Dependent,Lab,7680000.0,188584.0332390864,0.00173,0.00027,0.0,0.0,Other,"V.G.Batij,ET.AL. (86)    ",A0676,4,No Pointer,72,"72-HF-180(P,N)73-TA-180-M,,SIG,,,CALC","Identifying the excitation cross section of 180-m-Ta (half-life >1.E+13 years) isomer in a (P,N) reaction.",1986,V.G.Batij+,4UKRKFT,2004/03/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.26, p.435, 1982",A0676004,A0676,"(J,PR/C,26,435,198208)",1,1,0,180Hf,Hf,108,180,I,7.057770216607713,0.1133502473794785,Other,-49779.348,1.419,8034.93,0.008,-846.471,2.269,179946559.66900003,1.5219999999999998,13486.75,0.17,14661.81,10.1,1287.05,1.42,-143.23,0.28,-10531.0,196.0,-7493.34,0.44,7387.76,0.15,8009.4,5.06,-5421.54,16.45,11269.24,2.06,7468.51,0.81,6853.45,1.44,-8009.4,-7387.76,-14801.8539,-12577.2879,-12345.3549,-13724.1694,-14661.81,-13486.75,1287.05,-1628.8175,-8009.4,-7387.76,-5163.194,-8275.6865,-5004.955099999999,-7083.813500000002,-9748.6535,-8009.4,-5784.834,-7387.76,-6320.058900000003,-6943.7696,-1130.531,-2515.9256,-865.063,13189.8594,11804.4649
116284,proton,All_or_Total,4,M,Dependent,Lab,8180000.0,200861.6395697561,0.0045,0.0007,0.0,0.0,Other,"V.G.Batij,ET.AL. (86)    ",A0676,4,No Pointer,72,"72-HF-180(P,N)73-TA-180-M,,SIG,,,CALC","Identifying the excitation cross section of 180-m-Ta (half-life >1.E+13 years) isomer in a (P,N) reaction.",1986,V.G.Batij+,4UKRKFT,2004/03/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.26, p.435, 1982",A0676004,A0676,"(J,PR/C,26,435,198208)",1,1,0,180Hf,Hf,108,180,I,7.057770216607713,0.1133502473794785,Other,-49779.348,1.419,8034.93,0.008,-846.471,2.269,179946559.66900003,1.5219999999999998,13486.75,0.17,14661.81,10.1,1287.05,1.42,-143.23,0.28,-10531.0,196.0,-7493.34,0.44,7387.76,0.15,8009.4,5.06,-5421.54,16.45,11269.24,2.06,7468.51,0.81,6853.45,1.44,-8009.4,-7387.76,-14801.8539,-12577.2879,-12345.3549,-13724.1694,-14661.81,-13486.75,1287.05,-1628.8175,-8009.4,-7387.76,-5163.194,-8275.6865,-5004.955099999999,-7083.813500000002,-9748.6535,-8009.4,-5784.834,-7387.76,-6320.058900000003,-6943.7696,-1130.531,-2515.9256,-865.063,13189.8594,11804.4649
116285,proton,All_or_Total,4,Ground,Approved_by_Author,Lab,6500000.0,159608.88229870595,0.0058,0.0005,0.0,0.0,Other,"E.B.NORMAN,ET.AL. (82)   ",C0467,5,No Pointer,72,"72-HF-180(P,N)73-TA-180-G,,SIG","180Ta-g,m production cross section from the 180Hf(p,n) reaction",1982,E.B.Norman+,1USAANL,1999/09/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.26, p.435, 1982",C0467005,C0467,"(J,PR/C,26,435,198208)",1,1,0,180Hf,Hf,108,180,I,7.057770216607713,0.1133502473794785,Other,-49779.348,1.419,8034.93,0.008,-846.471,2.269,179946559.66900003,1.5219999999999998,13486.75,0.17,14661.81,10.1,1287.05,1.42,-143.23,0.28,-10531.0,196.0,-7493.34,0.44,7387.76,0.15,8009.4,5.06,-5421.54,16.45,11269.24,2.06,7468.51,0.81,6853.45,1.44,-8009.4,-7387.76,-14801.8539,-12577.2879,-12345.3549,-13724.1694,-14661.81,-13486.75,1287.05,-1628.8175,-8009.4,-7387.76,-5163.194,-8275.6865,-5004.955099999999,-7083.813500000002,-9748.6535,-8009.4,-5784.834,-7387.76,-6320.058900000003,-6943.7696,-1130.531,-2515.9256,-865.063,13189.8594,11804.4649
116286,proton,All_or_Total,4,Ground,Approved_by_Author,Lab,7000000.0,171886.48862937564,0.0135,0.0011,0.0,0.0,Other,"E.B.NORMAN,ET.AL. (82)   ",C0467,5,No Pointer,72,"72-HF-180(P,N)73-TA-180-G,,SIG","180Ta-g,m production cross section from the 180Hf(p,n) reaction",1982,E.B.Norman+,1USAANL,1999/09/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.26, p.435, 1982",C0467005,C0467,"(J,PR/C,26,435,198208)",1,1,0,180Hf,Hf,108,180,I,7.057770216607713,0.1133502473794785,Other,-49779.348,1.419,8034.93,0.008,-846.471,2.269,179946559.66900003,1.5219999999999998,13486.75,0.17,14661.81,10.1,1287.05,1.42,-143.23,0.28,-10531.0,196.0,-7493.34,0.44,7387.76,0.15,8009.4,5.06,-5421.54,16.45,11269.24,2.06,7468.51,0.81,6853.45,1.44,-8009.4,-7387.76,-14801.8539,-12577.2879,-12345.3549,-13724.1694,-14661.81,-13486.75,1287.05,-1628.8175,-8009.4,-7387.76,-5163.194,-8275.6865,-5004.955099999999,-7083.813500000002,-9748.6535,-8009.4,-5784.834,-7387.76,-6320.058900000003,-6943.7696,-1130.531,-2515.9256,-865.063,13189.8594,11804.4649
116287,proton,All_or_Total,4,Ground,Approved_by_Author,Lab,7500000.0,184164.09496004533,0.0257,0.002,0.0,0.0,Other,"E.B.NORMAN,ET.AL. (82)   ",C0467,5,No Pointer,72,"72-HF-180(P,N)73-TA-180-G,,SIG","180Ta-g,m production cross section from the 180Hf(p,n) reaction",1982,E.B.Norman+,1USAANL,1999/09/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.26, p.435, 1982",C0467005,C0467,"(J,PR/C,26,435,198208)",1,1,0,180Hf,Hf,108,180,I,7.057770216607713,0.1133502473794785,Other,-49779.348,1.419,8034.93,0.008,-846.471,2.269,179946559.66900003,1.5219999999999998,13486.75,0.17,14661.81,10.1,1287.05,1.42,-143.23,0.28,-10531.0,196.0,-7493.34,0.44,7387.76,0.15,8009.4,5.06,-5421.54,16.45,11269.24,2.06,7468.51,0.81,6853.45,1.44,-8009.4,-7387.76,-14801.8539,-12577.2879,-12345.3549,-13724.1694,-14661.81,-13486.75,1287.05,-1628.8175,-8009.4,-7387.76,-5163.194,-8275.6865,-5004.955099999999,-7083.813500000002,-9748.6535,-8009.4,-5784.834,-7387.76,-6320.058900000003,-6943.7696,-1130.531,-2515.9256,-865.063,13189.8594,11804.4649
116288,proton,All_or_Total,4,Ground,Approved_by_Author,Lab,8000000.0,196441.70129071505,0.0456,0.0037,0.0,0.0,Other,"E.B.NORMAN,ET.AL. (82)   ",C0467,5,No Pointer,72,"72-HF-180(P,N)73-TA-180-G,,SIG","180Ta-g,m production cross section from the 180Hf(p,n) reaction",1982,E.B.Norman+,1USAANL,1999/09/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.26, p.435, 1982",C0467005,C0467,"(J,PR/C,26,435,198208)",1,1,0,180Hf,Hf,108,180,I,7.057770216607713,0.1133502473794785,Other,-49779.348,1.419,8034.93,0.008,-846.471,2.269,179946559.66900003,1.5219999999999998,13486.75,0.17,14661.81,10.1,1287.05,1.42,-143.23,0.28,-10531.0,196.0,-7493.34,0.44,7387.76,0.15,8009.4,5.06,-5421.54,16.45,11269.24,2.06,7468.51,0.81,6853.45,1.44,-8009.4,-7387.76,-14801.8539,-12577.2879,-12345.3549,-13724.1694,-14661.81,-13486.75,1287.05,-1628.8175,-8009.4,-7387.76,-5163.194,-8275.6865,-5004.955099999999,-7083.813500000002,-9748.6535,-8009.4,-5784.834,-7387.76,-6320.058900000003,-6943.7696,-1130.531,-2515.9256,-865.063,13189.8594,11804.4649
116289,proton,All_or_Total,4,Ground,Approved_by_Author,Lab,8500000.0,208719.3076213847,0.0664,0.0052,0.0,0.0,Other,"E.B.NORMAN,ET.AL. (82)   ",C0467,5,No Pointer,72,"72-HF-180(P,N)73-TA-180-G,,SIG","180Ta-g,m production cross section from the 180Hf(p,n) reaction",1982,E.B.Norman+,1USAANL,1999/09/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.26, p.435, 1982",C0467005,C0467,"(J,PR/C,26,435,198208)",1,1,0,180Hf,Hf,108,180,I,7.057770216607713,0.1133502473794785,Other,-49779.348,1.419,8034.93,0.008,-846.471,2.269,179946559.66900003,1.5219999999999998,13486.75,0.17,14661.81,10.1,1287.05,1.42,-143.23,0.28,-10531.0,196.0,-7493.34,0.44,7387.76,0.15,8009.4,5.06,-5421.54,16.45,11269.24,2.06,7468.51,0.81,6853.45,1.44,-8009.4,-7387.76,-14801.8539,-12577.2879,-12345.3549,-13724.1694,-14661.81,-13486.75,1287.05,-1628.8175,-8009.4,-7387.76,-5163.194,-8275.6865,-5004.955099999999,-7083.813500000002,-9748.6535,-8009.4,-5784.834,-7387.76,-6320.058900000003,-6943.7696,-1130.531,-2515.9256,-865.063,13189.8594,11804.4649
