,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
122644,proton,All_or_Total,3,All_or_Total,Other,Lab,99300000.0,1798798.1983864126,1.815,0.05082,0.0,0.0,Other,"P.KIRKBY,ET.AL. (66)     ",O0340,37,No Pointer,78,"78-PT-0(P,NON),,SIG,,,EXP",Faraday-Cup Measurement of Proton Total Reaction Cross Sections at 100 MeV.,1966,P.Kirkby+,1CANMCG,1997/06/05,"Jour. Physical Review Vol.159, p.1022, 1967",O0340037,O0340,"(J,PR,159,1022,1967)",1,1,0,195Pt,Pt,117,195,N,7.248612497061247,0.110365949390223,Other,-33776.9595,0.4995,7931.246499999999,0.003,-1387.4755,1.5585,195084000.0,0.5355000000000001,14535.565,1.91,13716.66,2.275,1349.6,0.49,-2178.295,13.035,-8151.23,2.325,-9039.9,5.395,7228.44,0.7050000000000001,7531.96,1.255,-9819.145,17.705,11619.745,1.25,6859.255,1.235,8008.13,1.3849999999999998,-7531.96,-7228.44,-14451.3489,-12226.782900000002,-12954.6099,-12569.4894,-13716.66,-14535.565,1349.6,-2169.822,-7531.96,-7228.44,-5003.874000000001,-9822.2465,-6053.770099999998,-6733.308500000002,-7368.8835,-7531.96,-5307.394,-7228.44,-5969.553900000002,-5998.6196,-971.2110000000002,-2038.4856000000004,-1406.0675,13349.1794,12281.9049
122645,proton,All_or_Total,16,All_or_Total,Other,Lab,9700000.0,227334.37590261284,0.008,0.004,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (67)   ",C0695,7,No Pointer,78,"78-PT-0(P,2N),,SIG","Neutron Production in Ag, Ta, Au, Pt, and Pb by the Interaction of 7.5-14-MeV Protons",1967,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Yadernaya Fizika Vol.2, p.682, 1965",C0695007,C0695,"(J,YF,2,682,1965)",1,1,0,195Pt,Pt,117,195,N,7.248612497061247,0.110365949390223,Other,-33776.9595,0.4995,7931.246499999999,0.003,-1387.4755,1.5585,195084000.0,0.5355000000000001,14535.565,1.91,13716.66,2.275,1349.6,0.49,-2178.295,13.035,-8151.23,2.325,-9039.9,5.395,7228.44,0.7050000000000001,7531.96,1.255,-9819.145,17.705,11619.745,1.25,6859.255,1.235,8008.13,1.3849999999999998,-7531.96,-7228.44,-14451.3489,-12226.782900000002,-12954.6099,-12569.4894,-13716.66,-14535.565,1349.6,-2169.822,-7531.96,-7228.44,-5003.874000000001,-9822.2465,-6053.770099999998,-6733.308500000002,-7368.8835,-7531.96,-5307.394,-7228.44,-5969.553900000002,-5998.6196,-971.2110000000002,-2038.4856000000004,-1406.0675,13349.1794,12281.9049
122646,proton,All_or_Total,16,All_or_Total,Other,Lab,10000000.0,234365.3359820751,0.021,0.009,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (67)   ",C0695,7,No Pointer,78,"78-PT-0(P,2N),,SIG","Neutron Production in Ag, Ta, Au, Pt, and Pb by the Interaction of 7.5-14-MeV Protons",1967,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Yadernaya Fizika Vol.2, p.682, 1965",C0695007,C0695,"(J,YF,2,682,1965)",1,1,0,195Pt,Pt,117,195,N,7.248612497061247,0.110365949390223,Other,-33776.9595,0.4995,7931.246499999999,0.003,-1387.4755,1.5585,195084000.0,0.5355000000000001,14535.565,1.91,13716.66,2.275,1349.6,0.49,-2178.295,13.035,-8151.23,2.325,-9039.9,5.395,7228.44,0.7050000000000001,7531.96,1.255,-9819.145,17.705,11619.745,1.25,6859.255,1.235,8008.13,1.3849999999999998,-7531.96,-7228.44,-14451.3489,-12226.782900000002,-12954.6099,-12569.4894,-13716.66,-14535.565,1349.6,-2169.822,-7531.96,-7228.44,-5003.874000000001,-9822.2465,-6053.770099999998,-6733.308500000002,-7368.8835,-7531.96,-5307.394,-7228.44,-5969.553900000002,-5998.6196,-971.2110000000002,-2038.4856000000004,-1406.0675,13349.1794,12281.9049
122647,proton,All_or_Total,16,All_or_Total,Other,Lab,10600000.0,248427.2561409996,0.064,0.006,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (67)   ",C0695,7,No Pointer,78,"78-PT-0(P,2N),,SIG","Neutron Production in Ag, Ta, Au, Pt, and Pb by the Interaction of 7.5-14-MeV Protons",1967,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Yadernaya Fizika Vol.2, p.682, 1965",C0695007,C0695,"(J,YF,2,682,1965)",1,1,0,195Pt,Pt,117,195,N,7.248612497061247,0.110365949390223,Other,-33776.9595,0.4995,7931.246499999999,0.003,-1387.4755,1.5585,195084000.0,0.5355000000000001,14535.565,1.91,13716.66,2.275,1349.6,0.49,-2178.295,13.035,-8151.23,2.325,-9039.9,5.395,7228.44,0.7050000000000001,7531.96,1.255,-9819.145,17.705,11619.745,1.25,6859.255,1.235,8008.13,1.3849999999999998,-7531.96,-7228.44,-14451.3489,-12226.782900000002,-12954.6099,-12569.4894,-13716.66,-14535.565,1349.6,-2169.822,-7531.96,-7228.44,-5003.874000000001,-9822.2465,-6053.770099999998,-6733.308500000002,-7368.8835,-7531.96,-5307.394,-7228.44,-5969.553900000002,-5998.6196,-971.2110000000002,-2038.4856000000004,-1406.0675,13349.1794,12281.9049
122648,proton,All_or_Total,16,All_or_Total,Other,Lab,11100000.0,260145.52294010337,0.11,0.013,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (67)   ",C0695,7,No Pointer,78,"78-PT-0(P,2N),,SIG","Neutron Production in Ag, Ta, Au, Pt, and Pb by the Interaction of 7.5-14-MeV Protons",1967,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Yadernaya Fizika Vol.2, p.682, 1965",C0695007,C0695,"(J,YF,2,682,1965)",1,1,0,195Pt,Pt,117,195,N,7.248612497061247,0.110365949390223,Other,-33776.9595,0.4995,7931.246499999999,0.003,-1387.4755,1.5585,195084000.0,0.5355000000000001,14535.565,1.91,13716.66,2.275,1349.6,0.49,-2178.295,13.035,-8151.23,2.325,-9039.9,5.395,7228.44,0.7050000000000001,7531.96,1.255,-9819.145,17.705,11619.745,1.25,6859.255,1.235,8008.13,1.3849999999999998,-7531.96,-7228.44,-14451.3489,-12226.782900000002,-12954.6099,-12569.4894,-13716.66,-14535.565,1349.6,-2169.822,-7531.96,-7228.44,-5003.874000000001,-9822.2465,-6053.770099999998,-6733.308500000002,-7368.8835,-7531.96,-5307.394,-7228.44,-5969.553900000002,-5998.6196,-971.2110000000002,-2038.4856000000004,-1406.0675,13349.1794,12281.9049
122649,proton,All_or_Total,16,All_or_Total,Other,Lab,11500000.0,269520.1363793864,0.199,0.01,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (67)   ",C0695,7,No Pointer,78,"78-PT-0(P,2N),,SIG","Neutron Production in Ag, Ta, Au, Pt, and Pb by the Interaction of 7.5-14-MeV Protons",1967,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Yadernaya Fizika Vol.2, p.682, 1965",C0695007,C0695,"(J,YF,2,682,1965)",1,1,0,195Pt,Pt,117,195,N,7.248612497061247,0.110365949390223,Other,-33776.9595,0.4995,7931.246499999999,0.003,-1387.4755,1.5585,195084000.0,0.5355000000000001,14535.565,1.91,13716.66,2.275,1349.6,0.49,-2178.295,13.035,-8151.23,2.325,-9039.9,5.395,7228.44,0.7050000000000001,7531.96,1.255,-9819.145,17.705,11619.745,1.25,6859.255,1.235,8008.13,1.3849999999999998,-7531.96,-7228.44,-14451.3489,-12226.782900000002,-12954.6099,-12569.4894,-13716.66,-14535.565,1349.6,-2169.822,-7531.96,-7228.44,-5003.874000000001,-9822.2465,-6053.770099999998,-6733.308500000002,-7368.8835,-7531.96,-5307.394,-7228.44,-5969.553900000002,-5998.6196,-971.2110000000002,-2038.4856000000004,-1406.0675,13349.1794,12281.9049
122650,proton,All_or_Total,16,All_or_Total,Other,Lab,12100000.0,283582.0565383109,0.344,0.018,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (67)   ",C0695,7,No Pointer,78,"78-PT-0(P,2N),,SIG","Neutron Production in Ag, Ta, Au, Pt, and Pb by the Interaction of 7.5-14-MeV Protons",1967,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Yadernaya Fizika Vol.2, p.682, 1965",C0695007,C0695,"(J,YF,2,682,1965)",1,1,0,195Pt,Pt,117,195,N,7.248612497061247,0.110365949390223,Other,-33776.9595,0.4995,7931.246499999999,0.003,-1387.4755,1.5585,195084000.0,0.5355000000000001,14535.565,1.91,13716.66,2.275,1349.6,0.49,-2178.295,13.035,-8151.23,2.325,-9039.9,5.395,7228.44,0.7050000000000001,7531.96,1.255,-9819.145,17.705,11619.745,1.25,6859.255,1.235,8008.13,1.3849999999999998,-7531.96,-7228.44,-14451.3489,-12226.782900000002,-12954.6099,-12569.4894,-13716.66,-14535.565,1349.6,-2169.822,-7531.96,-7228.44,-5003.874000000001,-9822.2465,-6053.770099999998,-6733.308500000002,-7368.8835,-7531.96,-5307.394,-7228.44,-5969.553900000002,-5998.6196,-971.2110000000002,-2038.4856000000004,-1406.0675,13349.1794,12281.9049
122651,proton,All_or_Total,16,All_or_Total,Other,Lab,12300000.0,288269.3632579524,0.34,0.02,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (67)   ",C0695,7,No Pointer,78,"78-PT-0(P,2N),,SIG","Neutron Production in Ag, Ta, Au, Pt, and Pb by the Interaction of 7.5-14-MeV Protons",1967,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Yadernaya Fizika Vol.2, p.682, 1965",C0695007,C0695,"(J,YF,2,682,1965)",1,1,0,195Pt,Pt,117,195,N,7.248612497061247,0.110365949390223,Other,-33776.9595,0.4995,7931.246499999999,0.003,-1387.4755,1.5585,195084000.0,0.5355000000000001,14535.565,1.91,13716.66,2.275,1349.6,0.49,-2178.295,13.035,-8151.23,2.325,-9039.9,5.395,7228.44,0.7050000000000001,7531.96,1.255,-9819.145,17.705,11619.745,1.25,6859.255,1.235,8008.13,1.3849999999999998,-7531.96,-7228.44,-14451.3489,-12226.782900000002,-12954.6099,-12569.4894,-13716.66,-14535.565,1349.6,-2169.822,-7531.96,-7228.44,-5003.874000000001,-9822.2465,-6053.770099999998,-6733.308500000002,-7368.8835,-7531.96,-5307.394,-7228.44,-5969.553900000002,-5998.6196,-971.2110000000002,-2038.4856000000004,-1406.0675,13349.1794,12281.9049
122652,proton,All_or_Total,16,All_or_Total,Other,Lab,12900000.0,302331.28341687686,0.504,0.022,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (67)   ",C0695,7,No Pointer,78,"78-PT-0(P,2N),,SIG","Neutron Production in Ag, Ta, Au, Pt, and Pb by the Interaction of 7.5-14-MeV Protons",1967,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Yadernaya Fizika Vol.2, p.682, 1965",C0695007,C0695,"(J,YF,2,682,1965)",1,1,0,195Pt,Pt,117,195,N,7.248612497061247,0.110365949390223,Other,-33776.9595,0.4995,7931.246499999999,0.003,-1387.4755,1.5585,195084000.0,0.5355000000000001,14535.565,1.91,13716.66,2.275,1349.6,0.49,-2178.295,13.035,-8151.23,2.325,-9039.9,5.395,7228.44,0.7050000000000001,7531.96,1.255,-9819.145,17.705,11619.745,1.25,6859.255,1.235,8008.13,1.3849999999999998,-7531.96,-7228.44,-14451.3489,-12226.782900000002,-12954.6099,-12569.4894,-13716.66,-14535.565,1349.6,-2169.822,-7531.96,-7228.44,-5003.874000000001,-9822.2465,-6053.770099999998,-6733.308500000002,-7368.8835,-7531.96,-5307.394,-7228.44,-5969.553900000002,-5998.6196,-971.2110000000002,-2038.4856000000004,-1406.0675,13349.1794,12281.9049
122653,proton,All_or_Total,16,All_or_Total,Other,Lab,13200000.0,309362.2434963391,0.583,0.027,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (67)   ",C0695,7,No Pointer,78,"78-PT-0(P,2N),,SIG","Neutron Production in Ag, Ta, Au, Pt, and Pb by the Interaction of 7.5-14-MeV Protons",1967,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Yadernaya Fizika Vol.2, p.682, 1965",C0695007,C0695,"(J,YF,2,682,1965)",1,1,0,195Pt,Pt,117,195,N,7.248612497061247,0.110365949390223,Other,-33776.9595,0.4995,7931.246499999999,0.003,-1387.4755,1.5585,195084000.0,0.5355000000000001,14535.565,1.91,13716.66,2.275,1349.6,0.49,-2178.295,13.035,-8151.23,2.325,-9039.9,5.395,7228.44,0.7050000000000001,7531.96,1.255,-9819.145,17.705,11619.745,1.25,6859.255,1.235,8008.13,1.3849999999999998,-7531.96,-7228.44,-14451.3489,-12226.782900000002,-12954.6099,-12569.4894,-13716.66,-14535.565,1349.6,-2169.822,-7531.96,-7228.44,-5003.874000000001,-9822.2465,-6053.770099999998,-6733.308500000002,-7368.8835,-7531.96,-5307.394,-7228.44,-5969.553900000002,-5998.6196,-971.2110000000002,-2038.4856000000004,-1406.0675,13349.1794,12281.9049
