,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
123280,proton,All_or_Total,3,All_or_Total,Other,Lab,10080000.0,420000.0,0.15,0.25,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,15,No Pointer,79,"79-AU-197(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Nuclear Instrum.and Methods in Physics Res. Vol.35, p.235, 1965",D0314015,D0314,"(J,NIM,35,235,1965)",1,1,0,197Au,Au,118,197,I,7.273309834371201,0.1099911894608794,Other,-31139.738,0.542,7915.654,0.003,-599.509,3.202,196966570.114,0.581,14715.34,1.13,14025.43,1.36,971.58,1.35,-2798.09,16.33,-8993.22,38.41,-7385.11,2.94,8072.35,2.94,5784.2,0.53,-11452.55,8.35,12364.92,0.53,8484.39,0.54,7038.37,1.36,-5784.2,-8072.35,-13706.1739,-11481.6079,-11329.4749,-13539.2494,-14025.43,-14715.34,971.58,-1381.8555,-5784.2,-8072.35,-5847.7840000000015,-8167.456499999998,-6233.545099999999,-5988.133500000003,-8210.8735,-5784.2,-3559.634,-8072.35,-5224.3789000000015,-6307.3896,-1815.121,-290.72559999999976,-618.101,12505.2694,14029.6649
123281,proton,All_or_Total,3,All_or_Total,Other,Lab,10080000.0,690000.0,0.15,0.25,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0337,2,No Pointer,79,"79-AU-197(P,NON),,SIG",A method for the measurement of total reaction cross-sections fr charged particles,1965,K.Bearpark+,2UK OXF,2005/04/06,"Jour. Physical Review Vol.129, p.2198, 1963",D0337002,D0337,"(J,PR,129,2198,1963)",1,1,0,197Au,Au,118,197,I,7.273309834371201,0.1099911894608794,Other,-31139.738,0.542,7915.654,0.003,-599.509,3.202,196966570.114,0.581,14715.34,1.13,14025.43,1.36,971.58,1.35,-2798.09,16.33,-8993.22,38.41,-7385.11,2.94,8072.35,2.94,5784.2,0.53,-11452.55,8.35,12364.92,0.53,8484.39,0.54,7038.37,1.36,-5784.2,-8072.35,-13706.1739,-11481.6079,-11329.4749,-13539.2494,-14025.43,-14715.34,971.58,-1381.8555,-5784.2,-8072.35,-5847.7840000000015,-8167.456499999998,-6233.545099999999,-5988.133500000003,-8210.8735,-5784.2,-3559.634,-8072.35,-5224.3789000000015,-6307.3896,-1815.121,-290.72559999999976,-618.101,12505.2694,14029.6649
123282,proton,All_or_Total,3,All_or_Total,Other,Lab,10120000.0,500000.0,0.173,0.107,0.0,0.0,Other,"B.D.WILKINS,ET.AL. (63)  ",O0741,5,No Pointer,79,"79-AU-197(P,NON),,SIG",10-MeV Proton Reaction Cross Sections For Several Elements.,1963,B.D.Wilkins+,1USALRL,2000/04/04,"Jour. Nuclear Instrum.and Methods in Physics Res. Vol.66, p.13, 1968",O0741005,O0741,"(J,NIM,66,13,1968)",1,1,0,197Au,Au,118,197,I,7.273309834371201,0.1099911894608794,Other,-31139.738,0.542,7915.654,0.003,-599.509,3.202,196966570.114,0.581,14715.34,1.13,14025.43,1.36,971.58,1.35,-2798.09,16.33,-8993.22,38.41,-7385.11,2.94,8072.35,2.94,5784.2,0.53,-11452.55,8.35,12364.92,0.53,8484.39,0.54,7038.37,1.36,-5784.2,-8072.35,-13706.1739,-11481.6079,-11329.4749,-13539.2494,-14025.43,-14715.34,971.58,-1381.8555,-5784.2,-8072.35,-5847.7840000000015,-8167.456499999998,-6233.545099999999,-5988.133500000003,-8210.8735,-5784.2,-3559.634,-8072.35,-5224.3789000000015,-6307.3896,-1815.121,-290.72559999999976,-618.101,12505.2694,14029.6649
123283,proton,All_or_Total,3,All_or_Total,Other,Lab,9900000.0,500000.0,0.162,0.104,0.0,0.0,Other,"B.D.WILKINS,ET.AL. (63)  ",O0741,5,No Pointer,79,"79-AU-197(P,NON),,SIG",10-MeV Proton Reaction Cross Sections For Several Elements.,1963,B.D.Wilkins+,1USALRL,2000/04/04,"Jour. Nuclear Instrum.and Methods in Physics Res. Vol.66, p.13, 1968",O0741005,O0741,"(J,NIM,66,13,1968)",1,1,0,197Au,Au,118,197,I,7.273309834371201,0.1099911894608794,Other,-31139.738,0.542,7915.654,0.003,-599.509,3.202,196966570.114,0.581,14715.34,1.13,14025.43,1.36,971.58,1.35,-2798.09,16.33,-8993.22,38.41,-7385.11,2.94,8072.35,2.94,5784.2,0.53,-11452.55,8.35,12364.92,0.53,8484.39,0.54,7038.37,1.36,-5784.2,-8072.35,-13706.1739,-11481.6079,-11329.4749,-13539.2494,-14025.43,-14715.34,971.58,-1381.8555,-5784.2,-8072.35,-5847.7840000000015,-8167.456499999998,-6233.545099999999,-5988.133500000003,-8210.8735,-5784.2,-3559.634,-8072.35,-5224.3789000000015,-6307.3896,-1815.121,-290.72559999999976,-618.101,12505.2694,14029.6649
123284,proton,All_or_Total,3,All_or_Total,Other,Lab,15800000.0,286213.6106193889,0.971,0.207,0.0,0.0,Other,"C.Hojvat,ET.AL. (68)     ",C1864,2,No Pointer,79,"79-AU-197(P,NON),,SIG",An associated particle method for measuring total proton reaction cross sections at 15.8 MeV,1968,C.Hojvat+,1CANUBC,2011/10/01,"Jour. Nuclear Physics, Section A Vol.324, p.109, 1979",C1864002,C1864,"(J,NP/A,324,109,1979)",1,1,0,197Au,Au,118,197,I,7.273309834371201,0.1099911894608794,Other,-31139.738,0.542,7915.654,0.003,-599.509,3.202,196966570.114,0.581,14715.34,1.13,14025.43,1.36,971.58,1.35,-2798.09,16.33,-8993.22,38.41,-7385.11,2.94,8072.35,2.94,5784.2,0.53,-11452.55,8.35,12364.92,0.53,8484.39,0.54,7038.37,1.36,-5784.2,-8072.35,-13706.1739,-11481.6079,-11329.4749,-13539.2494,-14025.43,-14715.34,971.58,-1381.8555,-5784.2,-8072.35,-5847.7840000000015,-8167.456499999998,-6233.545099999999,-5988.133500000003,-8210.8735,-5784.2,-3559.634,-8072.35,-5224.3789000000015,-6307.3896,-1815.121,-290.72559999999976,-618.101,12505.2694,14029.6649
123285,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,20100000.0,364107.18819302006,1.344,0.16,0.0,0.0,Other,"R.ABEGG,ET.AL. (79)      ",C0601,4,No Pointer,79,"79-AU-197(P,NON),,SIG","Measurement of the proton total reaction cross section for 159Tb, 181Ta and 197Au between 20 and 48 MeV",1979,R.Abegg+,1CANMNA,2000/03/02,"Jour. Nuclear Physics Vol.50, p.145, 1964",C0601004,C0601,"(J,NP,50,145,64)",1,1,0,197Au,Au,118,197,I,7.273309834371201,0.1099911894608794,Other,-31139.738,0.542,7915.654,0.003,-599.509,3.202,196966570.114,0.581,14715.34,1.13,14025.43,1.36,971.58,1.35,-2798.09,16.33,-8993.22,38.41,-7385.11,2.94,8072.35,2.94,5784.2,0.53,-11452.55,8.35,12364.92,0.53,8484.39,0.54,7038.37,1.36,-5784.2,-8072.35,-13706.1739,-11481.6079,-11329.4749,-13539.2494,-14025.43,-14715.34,971.58,-1381.8555,-5784.2,-8072.35,-5847.7840000000015,-8167.456499999998,-6233.545099999999,-5988.133500000003,-8210.8735,-5784.2,-3559.634,-8072.35,-5224.3789000000015,-6307.3896,-1815.121,-290.72559999999976,-618.101,12505.2694,14029.6649
123286,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,25100000.0,454681.1156042191,1.549,0.118,0.0,0.0,Other,"R.ABEGG,ET.AL. (79)      ",C0601,4,No Pointer,79,"79-AU-197(P,NON),,SIG","Measurement of the proton total reaction cross section for 159Tb, 181Ta and 197Au between 20 and 48 MeV",1979,R.Abegg+,1CANMNA,2000/03/02,"Jour. Nuclear Physics Vol.50, p.145, 1964",C0601004,C0601,"(J,NP,50,145,64)",1,1,0,197Au,Au,118,197,I,7.273309834371201,0.1099911894608794,Other,-31139.738,0.542,7915.654,0.003,-599.509,3.202,196966570.114,0.581,14715.34,1.13,14025.43,1.36,971.58,1.35,-2798.09,16.33,-8993.22,38.41,-7385.11,2.94,8072.35,2.94,5784.2,0.53,-11452.55,8.35,12364.92,0.53,8484.39,0.54,7038.37,1.36,-5784.2,-8072.35,-13706.1739,-11481.6079,-11329.4749,-13539.2494,-14025.43,-14715.34,971.58,-1381.8555,-5784.2,-8072.35,-5847.7840000000015,-8167.456499999998,-6233.545099999999,-5988.133500000003,-8210.8735,-5784.2,-3559.634,-8072.35,-5224.3789000000015,-6307.3896,-1815.121,-290.72559999999976,-618.101,12505.2694,14029.6649
123287,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,30100000.0,545255.0430154181,1.718,0.109,0.0,0.0,Other,"R.ABEGG,ET.AL. (79)      ",C0601,4,No Pointer,79,"79-AU-197(P,NON),,SIG","Measurement of the proton total reaction cross section for 159Tb, 181Ta and 197Au between 20 and 48 MeV",1979,R.Abegg+,1CANMNA,2000/03/02,"Jour. Nuclear Physics Vol.50, p.145, 1964",C0601004,C0601,"(J,NP,50,145,64)",1,1,0,197Au,Au,118,197,I,7.273309834371201,0.1099911894608794,Other,-31139.738,0.542,7915.654,0.003,-599.509,3.202,196966570.114,0.581,14715.34,1.13,14025.43,1.36,971.58,1.35,-2798.09,16.33,-8993.22,38.41,-7385.11,2.94,8072.35,2.94,5784.2,0.53,-11452.55,8.35,12364.92,0.53,8484.39,0.54,7038.37,1.36,-5784.2,-8072.35,-13706.1739,-11481.6079,-11329.4749,-13539.2494,-14025.43,-14715.34,971.58,-1381.8555,-5784.2,-8072.35,-5847.7840000000015,-8167.456499999998,-6233.545099999999,-5988.133500000003,-8210.8735,-5784.2,-3559.634,-8072.35,-5224.3789000000015,-6307.3896,-1815.121,-290.72559999999976,-618.101,12505.2694,14029.6649
123288,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,35100000.0,635828.9704266172,1.743,0.103,0.0,0.0,Other,"R.ABEGG,ET.AL. (79)      ",C0601,4,No Pointer,79,"79-AU-197(P,NON),,SIG","Measurement of the proton total reaction cross section for 159Tb, 181Ta and 197Au between 20 and 48 MeV",1979,R.Abegg+,1CANMNA,2000/03/02,"Jour. Nuclear Physics Vol.50, p.145, 1964",C0601004,C0601,"(J,NP,50,145,64)",1,1,0,197Au,Au,118,197,I,7.273309834371201,0.1099911894608794,Other,-31139.738,0.542,7915.654,0.003,-599.509,3.202,196966570.114,0.581,14715.34,1.13,14025.43,1.36,971.58,1.35,-2798.09,16.33,-8993.22,38.41,-7385.11,2.94,8072.35,2.94,5784.2,0.53,-11452.55,8.35,12364.92,0.53,8484.39,0.54,7038.37,1.36,-5784.2,-8072.35,-13706.1739,-11481.6079,-11329.4749,-13539.2494,-14025.43,-14715.34,971.58,-1381.8555,-5784.2,-8072.35,-5847.7840000000015,-8167.456499999998,-6233.545099999999,-5988.133500000003,-8210.8735,-5784.2,-3559.634,-8072.35,-5224.3789000000015,-6307.3896,-1815.121,-290.72559999999976,-618.101,12505.2694,14029.6649
123289,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,40100000.0,726402.8978378162,1.731,0.098,0.0,0.0,Other,"R.ABEGG,ET.AL. (79)      ",C0601,4,No Pointer,79,"79-AU-197(P,NON),,SIG","Measurement of the proton total reaction cross section for 159Tb, 181Ta and 197Au between 20 and 48 MeV",1979,R.Abegg+,1CANMNA,2000/03/02,"Jour. Nuclear Physics Vol.50, p.145, 1964",C0601004,C0601,"(J,NP,50,145,64)",1,1,0,197Au,Au,118,197,I,7.273309834371201,0.1099911894608794,Other,-31139.738,0.542,7915.654,0.003,-599.509,3.202,196966570.114,0.581,14715.34,1.13,14025.43,1.36,971.58,1.35,-2798.09,16.33,-8993.22,38.41,-7385.11,2.94,8072.35,2.94,5784.2,0.53,-11452.55,8.35,12364.92,0.53,8484.39,0.54,7038.37,1.36,-5784.2,-8072.35,-13706.1739,-11481.6079,-11329.4749,-13539.2494,-14025.43,-14715.34,971.58,-1381.8555,-5784.2,-8072.35,-5847.7840000000015,-8167.456499999998,-6233.545099999999,-5988.133500000003,-8210.8735,-5784.2,-3559.634,-8072.35,-5224.3789000000015,-6307.3896,-1815.121,-290.72559999999976,-618.101,12505.2694,14029.6649
