,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
123242,proton,All_or_Total,4,Ground,Approved_by_Author,Lab,6000000.0,2100000.0,0.0005,0.0001,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (04)   ",D4154,2,No Pointer,78,"78-PT-198(P,N)79-AU-198-G,,SIG",Cross sections for production of the therapeutic radioisotopes 198Au and 199Au in proton and deuteron induced reactions on 198Pt,2004,F.Tarkanyi+,2BLGVUB,2019/08/06,"Jour. Nuclear Physics, Section A Vol.169, p.177, 1971",D4154002,D4154,"(J,NP/A,169,177,71)",1,1,0,198Pt,Pt,120,198,I,7.285595854064319,0.109805706496019,Other,-29903.999,2.1,7914.15,0.011,-323.219,2.059,197967896.73400003,2.254,13402.12,2.07,16204.84,40.0,106.19,3.14,1050.31,2.1,-11884.0,196.0,-6835.58,2.06,7555.57,2.06,8928.86,20.0,-3836.51,9.0,10242.3,38.47,6652.31,2.43,5254.0,55.93,-8928.86,-7555.57,-15828.7939,-13604.227900000002,-13161.5549,-15323.6194,-16204.84,-13402.12,106.19,-1105.5655,-8928.86,-7555.57,-5331.004,-7617.9265,-4920.3251,-8110.753500000002,-11101.6535,-8928.86,-6704.294000000001,-7555.57,-7346.998900000002,-8486.7996,-1298.3409999999994,-3435.3856000000005,-341.811,13022.0494,10885.0049
123243,proton,All_or_Total,4,Ground,Approved_by_Author,Lab,8000000.0,1900000.0,0.0146,0.0018,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (04)   ",D4154,2,No Pointer,78,"78-PT-198(P,N)79-AU-198-G,,SIG",Cross sections for production of the therapeutic radioisotopes 198Au and 199Au in proton and deuteron induced reactions on 198Pt,2004,F.Tarkanyi+,2BLGVUB,2019/08/06,"Jour. Nuclear Physics, Section A Vol.169, p.177, 1971",D4154002,D4154,"(J,NP/A,169,177,71)",1,1,0,198Pt,Pt,120,198,I,7.285595854064319,0.109805706496019,Other,-29903.999,2.1,7914.15,0.011,-323.219,2.059,197967896.73400003,2.254,13402.12,2.07,16204.84,40.0,106.19,3.14,1050.31,2.1,-11884.0,196.0,-6835.58,2.06,7555.57,2.06,8928.86,20.0,-3836.51,9.0,10242.3,38.47,6652.31,2.43,5254.0,55.93,-8928.86,-7555.57,-15828.7939,-13604.227900000002,-13161.5549,-15323.6194,-16204.84,-13402.12,106.19,-1105.5655,-8928.86,-7555.57,-5331.004,-7617.9265,-4920.3251,-8110.753500000002,-11101.6535,-8928.86,-6704.294000000001,-7555.57,-7346.998900000002,-8486.7996,-1298.3409999999994,-3435.3856000000005,-341.811,13022.0494,10885.0049
123244,proton,All_or_Total,4,Ground,Approved_by_Author,Lab,9700000.0,1700000.0,0.0488,0.0078,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (04)   ",D4154,2,No Pointer,78,"78-PT-198(P,N)79-AU-198-G,,SIG",Cross sections for production of the therapeutic radioisotopes 198Au and 199Au in proton and deuteron induced reactions on 198Pt,2004,F.Tarkanyi+,2BLGVUB,2019/08/06,"Jour. Nuclear Physics, Section A Vol.169, p.177, 1971",D4154002,D4154,"(J,NP/A,169,177,71)",1,1,0,198Pt,Pt,120,198,I,7.285595854064319,0.109805706496019,Other,-29903.999,2.1,7914.15,0.011,-323.219,2.059,197967896.73400003,2.254,13402.12,2.07,16204.84,40.0,106.19,3.14,1050.31,2.1,-11884.0,196.0,-6835.58,2.06,7555.57,2.06,8928.86,20.0,-3836.51,9.0,10242.3,38.47,6652.31,2.43,5254.0,55.93,-8928.86,-7555.57,-15828.7939,-13604.227900000002,-13161.5549,-15323.6194,-16204.84,-13402.12,106.19,-1105.5655,-8928.86,-7555.57,-5331.004,-7617.9265,-4920.3251,-8110.753500000002,-11101.6535,-8928.86,-6704.294000000001,-7555.57,-7346.998900000002,-8486.7996,-1298.3409999999994,-3435.3856000000005,-341.811,13022.0494,10885.0049
123245,proton,All_or_Total,4,Ground,Approved_by_Author,Lab,11200000.0,1500000.0,0.0558,0.0091,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (04)   ",D4154,2,No Pointer,78,"78-PT-198(P,N)79-AU-198-G,,SIG",Cross sections for production of the therapeutic radioisotopes 198Au and 199Au in proton and deuteron induced reactions on 198Pt,2004,F.Tarkanyi+,2BLGVUB,2019/08/06,"Jour. Nuclear Physics, Section A Vol.169, p.177, 1971",D4154002,D4154,"(J,NP/A,169,177,71)",1,1,0,198Pt,Pt,120,198,I,7.285595854064319,0.109805706496019,Other,-29903.999,2.1,7914.15,0.011,-323.219,2.059,197967896.73400003,2.254,13402.12,2.07,16204.84,40.0,106.19,3.14,1050.31,2.1,-11884.0,196.0,-6835.58,2.06,7555.57,2.06,8928.86,20.0,-3836.51,9.0,10242.3,38.47,6652.31,2.43,5254.0,55.93,-8928.86,-7555.57,-15828.7939,-13604.227900000002,-13161.5549,-15323.6194,-16204.84,-13402.12,106.19,-1105.5655,-8928.86,-7555.57,-5331.004,-7617.9265,-4920.3251,-8110.753500000002,-11101.6535,-8928.86,-6704.294000000001,-7555.57,-7346.998900000002,-8486.7996,-1298.3409999999994,-3435.3856000000005,-341.811,13022.0494,10885.0049
123246,proton,All_or_Total,4,Ground,Approved_by_Author,Lab,12600000.0,1400000.0,0.0466,0.0086,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (04)   ",D4154,2,No Pointer,78,"78-PT-198(P,N)79-AU-198-G,,SIG",Cross sections for production of the therapeutic radioisotopes 198Au and 199Au in proton and deuteron induced reactions on 198Pt,2004,F.Tarkanyi+,2BLGVUB,2019/08/06,"Jour. Nuclear Physics, Section A Vol.169, p.177, 1971",D4154002,D4154,"(J,NP/A,169,177,71)",1,1,0,198Pt,Pt,120,198,I,7.285595854064319,0.109805706496019,Other,-29903.999,2.1,7914.15,0.011,-323.219,2.059,197967896.73400003,2.254,13402.12,2.07,16204.84,40.0,106.19,3.14,1050.31,2.1,-11884.0,196.0,-6835.58,2.06,7555.57,2.06,8928.86,20.0,-3836.51,9.0,10242.3,38.47,6652.31,2.43,5254.0,55.93,-8928.86,-7555.57,-15828.7939,-13604.227900000002,-13161.5549,-15323.6194,-16204.84,-13402.12,106.19,-1105.5655,-8928.86,-7555.57,-5331.004,-7617.9265,-4920.3251,-8110.753500000002,-11101.6535,-8928.86,-6704.294000000001,-7555.57,-7346.998900000002,-8486.7996,-1298.3409999999994,-3435.3856000000005,-341.811,13022.0494,10885.0049
123247,proton,All_or_Total,4,Ground,Approved_by_Author,Lab,13900000.0,1200000.0,0.0295,0.0083,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (04)   ",D4154,2,No Pointer,78,"78-PT-198(P,N)79-AU-198-G,,SIG",Cross sections for production of the therapeutic radioisotopes 198Au and 199Au in proton and deuteron induced reactions on 198Pt,2004,F.Tarkanyi+,2BLGVUB,2019/08/06,"Jour. Nuclear Physics, Section A Vol.169, p.177, 1971",D4154002,D4154,"(J,NP/A,169,177,71)",1,1,0,198Pt,Pt,120,198,I,7.285595854064319,0.109805706496019,Other,-29903.999,2.1,7914.15,0.011,-323.219,2.059,197967896.73400003,2.254,13402.12,2.07,16204.84,40.0,106.19,3.14,1050.31,2.1,-11884.0,196.0,-6835.58,2.06,7555.57,2.06,8928.86,20.0,-3836.51,9.0,10242.3,38.47,6652.31,2.43,5254.0,55.93,-8928.86,-7555.57,-15828.7939,-13604.227900000002,-13161.5549,-15323.6194,-16204.84,-13402.12,106.19,-1105.5655,-8928.86,-7555.57,-5331.004,-7617.9265,-4920.3251,-8110.753500000002,-11101.6535,-8928.86,-6704.294000000001,-7555.57,-7346.998900000002,-8486.7996,-1298.3409999999994,-3435.3856000000005,-341.811,13022.0494,10885.0049
123248,proton,All_or_Total,4,Ground,Approved_by_Author,Lab,15100000.0,1100000.0,0.0274,0.0107,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (04)   ",D4154,2,No Pointer,78,"78-PT-198(P,N)79-AU-198-G,,SIG",Cross sections for production of the therapeutic radioisotopes 198Au and 199Au in proton and deuteron induced reactions on 198Pt,2004,F.Tarkanyi+,2BLGVUB,2019/08/06,"Jour. Nuclear Physics, Section A Vol.169, p.177, 1971",D4154002,D4154,"(J,NP/A,169,177,71)",1,1,0,198Pt,Pt,120,198,I,7.285595854064319,0.109805706496019,Other,-29903.999,2.1,7914.15,0.011,-323.219,2.059,197967896.73400003,2.254,13402.12,2.07,16204.84,40.0,106.19,3.14,1050.31,2.1,-11884.0,196.0,-6835.58,2.06,7555.57,2.06,8928.86,20.0,-3836.51,9.0,10242.3,38.47,6652.31,2.43,5254.0,55.93,-8928.86,-7555.57,-15828.7939,-13604.227900000002,-13161.5549,-15323.6194,-16204.84,-13402.12,106.19,-1105.5655,-8928.86,-7555.57,-5331.004,-7617.9265,-4920.3251,-8110.753500000002,-11101.6535,-8928.86,-6704.294000000001,-7555.57,-7346.998900000002,-8486.7996,-1298.3409999999994,-3435.3856000000005,-341.811,13022.0494,10885.0049
123249,proton,All_or_Total,4,Ground,Approved_by_Author,Lab,16300000.0,1000000.0,0.0307,0.0099,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (04)   ",D4154,2,No Pointer,78,"78-PT-198(P,N)79-AU-198-G,,SIG",Cross sections for production of the therapeutic radioisotopes 198Au and 199Au in proton and deuteron induced reactions on 198Pt,2004,F.Tarkanyi+,2BLGVUB,2019/08/06,"Jour. Nuclear Physics, Section A Vol.169, p.177, 1971",D4154002,D4154,"(J,NP/A,169,177,71)",1,1,0,198Pt,Pt,120,198,I,7.285595854064319,0.109805706496019,Other,-29903.999,2.1,7914.15,0.011,-323.219,2.059,197967896.73400003,2.254,13402.12,2.07,16204.84,40.0,106.19,3.14,1050.31,2.1,-11884.0,196.0,-6835.58,2.06,7555.57,2.06,8928.86,20.0,-3836.51,9.0,10242.3,38.47,6652.31,2.43,5254.0,55.93,-8928.86,-7555.57,-15828.7939,-13604.227900000002,-13161.5549,-15323.6194,-16204.84,-13402.12,106.19,-1105.5655,-8928.86,-7555.57,-5331.004,-7617.9265,-4920.3251,-8110.753500000002,-11101.6535,-8928.86,-6704.294000000001,-7555.57,-7346.998900000002,-8486.7996,-1298.3409999999994,-3435.3856000000005,-341.811,13022.0494,10885.0049
123250,proton,All_or_Total,4,Ground,Approved_by_Author,Lab,17400000.0,800000.0,0.0453,0.0119,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (04)   ",D4154,2,No Pointer,78,"78-PT-198(P,N)79-AU-198-G,,SIG",Cross sections for production of the therapeutic radioisotopes 198Au and 199Au in proton and deuteron induced reactions on 198Pt,2004,F.Tarkanyi+,2BLGVUB,2019/08/06,"Jour. Nuclear Physics, Section A Vol.169, p.177, 1971",D4154002,D4154,"(J,NP/A,169,177,71)",1,1,0,198Pt,Pt,120,198,I,7.285595854064319,0.109805706496019,Other,-29903.999,2.1,7914.15,0.011,-323.219,2.059,197967896.73400003,2.254,13402.12,2.07,16204.84,40.0,106.19,3.14,1050.31,2.1,-11884.0,196.0,-6835.58,2.06,7555.57,2.06,8928.86,20.0,-3836.51,9.0,10242.3,38.47,6652.31,2.43,5254.0,55.93,-8928.86,-7555.57,-15828.7939,-13604.227900000002,-13161.5549,-15323.6194,-16204.84,-13402.12,106.19,-1105.5655,-8928.86,-7555.57,-5331.004,-7617.9265,-4920.3251,-8110.753500000002,-11101.6535,-8928.86,-6704.294000000001,-7555.57,-7346.998900000002,-8486.7996,-1298.3409999999994,-3435.3856000000005,-341.811,13022.0494,10885.0049
123251,proton,All_or_Total,4,Ground,Approved_by_Author,Lab,18400000.0,700000.0,0.0379,0.0131,0.0,0.0,Other,"F.Tarkanyi,ET.AL. (04)   ",D4154,2,No Pointer,78,"78-PT-198(P,N)79-AU-198-G,,SIG",Cross sections for production of the therapeutic radioisotopes 198Au and 199Au in proton and deuteron induced reactions on 198Pt,2004,F.Tarkanyi+,2BLGVUB,2019/08/06,"Jour. Nuclear Physics, Section A Vol.169, p.177, 1971",D4154002,D4154,"(J,NP/A,169,177,71)",1,1,0,198Pt,Pt,120,198,I,7.285595854064319,0.109805706496019,Other,-29903.999,2.1,7914.15,0.011,-323.219,2.059,197967896.73400003,2.254,13402.12,2.07,16204.84,40.0,106.19,3.14,1050.31,2.1,-11884.0,196.0,-6835.58,2.06,7555.57,2.06,8928.86,20.0,-3836.51,9.0,10242.3,38.47,6652.31,2.43,5254.0,55.93,-8928.86,-7555.57,-15828.7939,-13604.227900000002,-13161.5549,-15323.6194,-16204.84,-13402.12,106.19,-1105.5655,-8928.86,-7555.57,-5331.004,-7617.9265,-4920.3251,-8110.753500000002,-11101.6535,-8928.86,-6704.294000000001,-7555.57,-7346.998900000002,-8486.7996,-1298.3409999999994,-3435.3856000000005,-341.811,13022.0494,10885.0049
