,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
12570,proton,All_or_Total,3,All_or_Total,Dependent,Lab,46300000.0,75000.0,2.773,0.08,0.0,0.0,Other,"W.F.MCGILL,ET.AL. (74)   ",O0325,5,No Pointer,9,"9-F-19(P,NON),,SIG,,,EXP",Measurementys of the Proton Total Reaction Cross Section For Light Nuclei Between 20 and 48 MeV.,1974,W.F.Mcgill+,1USACLA,1997/04/01,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",O0325005,O0325,"(J,CJP,44,1847,66)",1,1,0,19F,F,10,19,I,3.335502060902431,0.2398439531419619,Other,-1487.4442,0.00086,7779.018,0.0,-3239.494,0.16,18998403.16288,0.00093,19581.78,0.25,23935.46,15.0,-4013.8,0.0,-14416.83,10.54,-21889.58,18.57,-14876.38,0.36,10431.87,0.46,7993.6,0.0,-52925.77538417975,133.97018181846747,10032.13,0.0,8113.61,0.0,-1524.95,2.3,-7993.6,-10431.87,-16038.9639,-13814.397900000002,-11700.2549,-22102.5694,-23935.46,-19581.78,-4013.8,-4021.8405,-7993.6,-10431.87,-8207.304,-15658.7265,-11099.985099999998,-8320.923500000003,-21107.2335,-7993.6,-5769.0340000000015,-10431.87,-7557.168900000002,-16217.4196,-4174.641000000001,-2500.1256000000008,-3258.086,10145.7494,11820.2649
12571,proton,All_or_Total,3,All_or_Total,Dependent,Lab,43300000.0,75000.0,2.838,0.071,0.0,0.0,Other,"W.F.MCGILL,ET.AL. (74)   ",O0325,5,No Pointer,9,"9-F-19(P,NON),,SIG,,,EXP",Measurementys of the Proton Total Reaction Cross Section For Light Nuclei Between 20 and 48 MeV.,1974,W.F.Mcgill+,1USACLA,1997/04/01,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",O0325005,O0325,"(J,CJP,44,1847,66)",1,1,0,19F,F,10,19,I,3.335502060902431,0.2398439531419619,Other,-1487.4442,0.00086,7779.018,0.0,-3239.494,0.16,18998403.16288,0.00093,19581.78,0.25,23935.46,15.0,-4013.8,0.0,-14416.83,10.54,-21889.58,18.57,-14876.38,0.36,10431.87,0.46,7993.6,0.0,-52925.77538417975,133.97018181846747,10032.13,0.0,8113.61,0.0,-1524.95,2.3,-7993.6,-10431.87,-16038.9639,-13814.397900000002,-11700.2549,-22102.5694,-23935.46,-19581.78,-4013.8,-4021.8405,-7993.6,-10431.87,-8207.304,-15658.7265,-11099.985099999998,-8320.923500000003,-21107.2335,-7993.6,-5769.0340000000015,-10431.87,-7557.168900000002,-16217.4196,-4174.641000000001,-2500.1256000000008,-3258.086,10145.7494,11820.2649
12572,proton,All_or_Total,3,All_or_Total,Dependent,Lab,39900000.0,75000.0,2.928,0.073,0.0,0.0,Other,"W.F.MCGILL,ET.AL. (74)   ",O0325,5,No Pointer,9,"9-F-19(P,NON),,SIG,,,EXP",Measurementys of the Proton Total Reaction Cross Section For Light Nuclei Between 20 and 48 MeV.,1974,W.F.Mcgill+,1USACLA,1997/04/01,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",O0325005,O0325,"(J,CJP,44,1847,66)",1,1,0,19F,F,10,19,I,3.335502060902431,0.2398439531419619,Other,-1487.4442,0.00086,7779.018,0.0,-3239.494,0.16,18998403.16288,0.00093,19581.78,0.25,23935.46,15.0,-4013.8,0.0,-14416.83,10.54,-21889.58,18.57,-14876.38,0.36,10431.87,0.46,7993.6,0.0,-52925.77538417975,133.97018181846747,10032.13,0.0,8113.61,0.0,-1524.95,2.3,-7993.6,-10431.87,-16038.9639,-13814.397900000002,-11700.2549,-22102.5694,-23935.46,-19581.78,-4013.8,-4021.8405,-7993.6,-10431.87,-8207.304,-15658.7265,-11099.985099999998,-8320.923500000003,-21107.2335,-7993.6,-5769.0340000000015,-10431.87,-7557.168900000002,-16217.4196,-4174.641000000001,-2500.1256000000008,-3258.086,10145.7494,11820.2649
12573,proton,All_or_Total,3,All_or_Total,Dependent,Lab,36900000.0,75000.0,3.044,0.069,0.0,0.0,Other,"W.F.MCGILL,ET.AL. (74)   ",O0325,5,No Pointer,9,"9-F-19(P,NON),,SIG,,,EXP",Measurementys of the Proton Total Reaction Cross Section For Light Nuclei Between 20 and 48 MeV.,1974,W.F.Mcgill+,1USACLA,1997/04/01,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",O0325005,O0325,"(J,CJP,44,1847,66)",1,1,0,19F,F,10,19,I,3.335502060902431,0.2398439531419619,Other,-1487.4442,0.00086,7779.018,0.0,-3239.494,0.16,18998403.16288,0.00093,19581.78,0.25,23935.46,15.0,-4013.8,0.0,-14416.83,10.54,-21889.58,18.57,-14876.38,0.36,10431.87,0.46,7993.6,0.0,-52925.77538417975,133.97018181846747,10032.13,0.0,8113.61,0.0,-1524.95,2.3,-7993.6,-10431.87,-16038.9639,-13814.397900000002,-11700.2549,-22102.5694,-23935.46,-19581.78,-4013.8,-4021.8405,-7993.6,-10431.87,-8207.304,-15658.7265,-11099.985099999998,-8320.923500000003,-21107.2335,-7993.6,-5769.0340000000015,-10431.87,-7557.168900000002,-16217.4196,-4174.641000000001,-2500.1256000000008,-3258.086,10145.7494,11820.2649
12574,proton,All_or_Total,3,All_or_Total,Dependent,Lab,34300000.0,75000.0,3.139,0.069,0.0,0.0,Other,"W.F.MCGILL,ET.AL. (74)   ",O0325,5,No Pointer,9,"9-F-19(P,NON),,SIG,,,EXP",Measurementys of the Proton Total Reaction Cross Section For Light Nuclei Between 20 and 48 MeV.,1974,W.F.Mcgill+,1USACLA,1997/04/01,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",O0325005,O0325,"(J,CJP,44,1847,66)",1,1,0,19F,F,10,19,I,3.335502060902431,0.2398439531419619,Other,-1487.4442,0.00086,7779.018,0.0,-3239.494,0.16,18998403.16288,0.00093,19581.78,0.25,23935.46,15.0,-4013.8,0.0,-14416.83,10.54,-21889.58,18.57,-14876.38,0.36,10431.87,0.46,7993.6,0.0,-52925.77538417975,133.97018181846747,10032.13,0.0,8113.61,0.0,-1524.95,2.3,-7993.6,-10431.87,-16038.9639,-13814.397900000002,-11700.2549,-22102.5694,-23935.46,-19581.78,-4013.8,-4021.8405,-7993.6,-10431.87,-8207.304,-15658.7265,-11099.985099999998,-8320.923500000003,-21107.2335,-7993.6,-5769.0340000000015,-10431.87,-7557.168900000002,-16217.4196,-4174.641000000001,-2500.1256000000008,-3258.086,10145.7494,11820.2649
12575,proton,All_or_Total,3,All_or_Total,Dependent,Lab,30400000.0,75000.0,3.318,0.075,0.0,0.0,Other,"W.F.MCGILL,ET.AL. (74)   ",O0325,5,No Pointer,9,"9-F-19(P,NON),,SIG,,,EXP",Measurementys of the Proton Total Reaction Cross Section For Light Nuclei Between 20 and 48 MeV.,1974,W.F.Mcgill+,1USACLA,1997/04/01,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",O0325005,O0325,"(J,CJP,44,1847,66)",1,1,0,19F,F,10,19,I,3.335502060902431,0.2398439531419619,Other,-1487.4442,0.00086,7779.018,0.0,-3239.494,0.16,18998403.16288,0.00093,19581.78,0.25,23935.46,15.0,-4013.8,0.0,-14416.83,10.54,-21889.58,18.57,-14876.38,0.36,10431.87,0.46,7993.6,0.0,-52925.77538417975,133.97018181846747,10032.13,0.0,8113.61,0.0,-1524.95,2.3,-7993.6,-10431.87,-16038.9639,-13814.397900000002,-11700.2549,-22102.5694,-23935.46,-19581.78,-4013.8,-4021.8405,-7993.6,-10431.87,-8207.304,-15658.7265,-11099.985099999998,-8320.923500000003,-21107.2335,-7993.6,-5769.0340000000015,-10431.87,-7557.168900000002,-16217.4196,-4174.641000000001,-2500.1256000000008,-3258.086,10145.7494,11820.2649
12576,proton,All_or_Total,3,All_or_Total,Dependent,Lab,27400000.0,75000.0,3.438,0.078,0.0,0.0,Other,"W.F.MCGILL,ET.AL. (74)   ",O0325,5,No Pointer,9,"9-F-19(P,NON),,SIG,,,EXP",Measurementys of the Proton Total Reaction Cross Section For Light Nuclei Between 20 and 48 MeV.,1974,W.F.Mcgill+,1USACLA,1997/04/01,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",O0325005,O0325,"(J,CJP,44,1847,66)",1,1,0,19F,F,10,19,I,3.335502060902431,0.2398439531419619,Other,-1487.4442,0.00086,7779.018,0.0,-3239.494,0.16,18998403.16288,0.00093,19581.78,0.25,23935.46,15.0,-4013.8,0.0,-14416.83,10.54,-21889.58,18.57,-14876.38,0.36,10431.87,0.46,7993.6,0.0,-52925.77538417975,133.97018181846747,10032.13,0.0,8113.61,0.0,-1524.95,2.3,-7993.6,-10431.87,-16038.9639,-13814.397900000002,-11700.2549,-22102.5694,-23935.46,-19581.78,-4013.8,-4021.8405,-7993.6,-10431.87,-8207.304,-15658.7265,-11099.985099999998,-8320.923500000003,-21107.2335,-7993.6,-5769.0340000000015,-10431.87,-7557.168900000002,-16217.4196,-4174.641000000001,-2500.1256000000008,-3258.086,10145.7494,11820.2649
12577,proton,All_or_Total,3,All_or_Total,Dependent,Lab,24900000.0,75000.0,3.562,0.086,0.0,0.0,Other,"W.F.MCGILL,ET.AL. (74)   ",O0325,5,No Pointer,9,"9-F-19(P,NON),,SIG,,,EXP",Measurementys of the Proton Total Reaction Cross Section For Light Nuclei Between 20 and 48 MeV.,1974,W.F.Mcgill+,1USACLA,1997/04/01,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",O0325005,O0325,"(J,CJP,44,1847,66)",1,1,0,19F,F,10,19,I,3.335502060902431,0.2398439531419619,Other,-1487.4442,0.00086,7779.018,0.0,-3239.494,0.16,18998403.16288,0.00093,19581.78,0.25,23935.46,15.0,-4013.8,0.0,-14416.83,10.54,-21889.58,18.57,-14876.38,0.36,10431.87,0.46,7993.6,0.0,-52925.77538417975,133.97018181846747,10032.13,0.0,8113.61,0.0,-1524.95,2.3,-7993.6,-10431.87,-16038.9639,-13814.397900000002,-11700.2549,-22102.5694,-23935.46,-19581.78,-4013.8,-4021.8405,-7993.6,-10431.87,-8207.304,-15658.7265,-11099.985099999998,-8320.923500000003,-21107.2335,-7993.6,-5769.0340000000015,-10431.87,-7557.168900000002,-16217.4196,-4174.641000000001,-2500.1256000000008,-3258.086,10145.7494,11820.2649
12578,proton,All_or_Total,3,All_or_Total,Other,Lab,99100000.0,1795175.2412899646,0.353,0.009884,0.0,0.0,Other,"P.KIRKBY,ET.AL. (66)     ",O0340,4,No Pointer,9,"9-F-19(P,NON),,SIG,,,EXP",Faraday-Cup Measurement of Proton Total Reaction Cross Sections at 100 MeV.,1966,P.Kirkby+,1CANMCG,1997/06/05,"Jour. Nuclear Physics, Section A Vol.115, p.120, 1968",O0340004,O0340,"(J,NP/A,115,120,1968)",1,1,0,19F,F,10,19,I,3.335502060902431,0.2398439531419619,Other,-1487.4442,0.00086,7779.018,0.0,-3239.494,0.16,18998403.16288,0.00093,19581.78,0.25,23935.46,15.0,-4013.8,0.0,-14416.83,10.54,-21889.58,18.57,-14876.38,0.36,10431.87,0.46,7993.6,0.0,-52925.77538417975,133.97018181846747,10032.13,0.0,8113.61,0.0,-1524.95,2.3,-7993.6,-10431.87,-16038.9639,-13814.397900000002,-11700.2549,-22102.5694,-23935.46,-19581.78,-4013.8,-4021.8405,-7993.6,-10431.87,-8207.304,-15658.7265,-11099.985099999998,-8320.923500000003,-21107.2335,-7993.6,-5769.0340000000015,-10431.87,-7557.168900000002,-16217.4196,-4174.641000000001,-2500.1256000000008,-3258.086,10145.7494,11820.2649
12579,proton,All_or_Total,4,All_or_Total,Other,Lab,4040000.0,5000.0,0.001,0.0001,0.0,0.0,Other,"F.L.RIFFLE,ET.AL. (68)   ",C0483,2,No Pointer,9,"9-F-19(P,N)10-NE-19,,SIG","Measurement of the absolute total cross section for the reaction 19F(p,n)19Ne.",1968,F.L.Riffle+,1USAOSU,1999/04/04,"Jour. Helvetica Physica Acta Vol.24, p.465, 1951",C0483002,C0483,"(J,HPA,24,465,1951)",1,1,0,19F,F,10,19,I,3.335502060902431,0.2398439531419619,Other,-1487.4442,0.00086,7779.018,0.0,-3239.494,0.16,18998403.16288,0.00093,19581.78,0.25,23935.46,15.0,-4013.8,0.0,-14416.83,10.54,-21889.58,18.57,-14876.38,0.36,10431.87,0.46,7993.6,0.0,-52925.77538417975,133.97018181846747,10032.13,0.0,8113.61,0.0,-1524.95,2.3,-7993.6,-10431.87,-16038.9639,-13814.397900000002,-11700.2549,-22102.5694,-23935.46,-19581.78,-4013.8,-4021.8405,-7993.6,-10431.87,-8207.304,-15658.7265,-11099.985099999998,-8320.923500000003,-21107.2335,-7993.6,-5769.0340000000015,-10431.87,-7557.168900000002,-16217.4196,-4174.641000000001,-2500.1256000000008,-3258.086,10145.7494,11820.2649
