,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
125854,proton,All_or_Total,9000,M,Other,Lab,7100000.0,1100000.0,0.0001,1e-05,0.0,0.0,Other,"A.Hermanne,ET.AL. (16)   ",D4346,5,No Pointer,80,"80-HG-0(P,X)81-TL-198-M,,SIG",Experimental cross-sections for proton induced nuclear reactions on mercury up to 65 MeV,2016,A.Hermanne+,2BLGVUB,2016/05/02,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.378, p.12, 2016",D4346005,D4346,"(J,NIM/B,378,12,2016)",1,1,0,201Hg,Hg,121,201,N,7.322207503313315,0.1092566687898421,Other,-28582.906000000003,0.62,7901.727500000001,0.0035,-1468.8719999999998,9.957999999999998,200590000.0,0.6655,14475.35,0.59,14514.505,2.19,524.3050000000001,0.755,-2821.865,12.345,-8877.955,11.155,-9100.91,16.86,7129.555,0.35,7704.96,13.669999999999998,-11851.435,6.275,11465.165,0.71,6641.405000000001,0.71,7225.37,1.4300000000000002,-7704.96,-7129.555,-14605.9289,-12381.3629,-13172.4599,-13352.2494,-14514.505,-14475.35,524.3050000000001,-2251.2185,-7704.96,-7129.555,-4904.9890000000005,-9883.2565,-5993.5551,-6887.888500000003,-8095.6085,-7704.96,-5480.394,-7129.555,-6124.1339000000025,-6796.464599999998,-872.3260000000001,-2211.4856,-1487.464,13448.0644,12108.9049
125855,proton,All_or_Total,9000,M,Other,Lab,8800000.0,800000.0,0.0016,0.0002,0.0,0.0,Other,"A.Hermanne,ET.AL. (16)   ",D4346,5,No Pointer,80,"80-HG-0(P,X)81-TL-198-M,,SIG",Experimental cross-sections for proton induced nuclear reactions on mercury up to 65 MeV,2016,A.Hermanne+,2BLGVUB,2016/05/02,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.378, p.12, 2016",D4346005,D4346,"(J,NIM/B,378,12,2016)",1,1,0,201Hg,Hg,121,201,N,7.322207503313315,0.1092566687898421,Other,-28582.906000000003,0.62,7901.727500000001,0.0035,-1468.8719999999998,9.957999999999998,200590000.0,0.6655,14475.35,0.59,14514.505,2.19,524.3050000000001,0.755,-2821.865,12.345,-8877.955,11.155,-9100.91,16.86,7129.555,0.35,7704.96,13.669999999999998,-11851.435,6.275,11465.165,0.71,6641.405000000001,0.71,7225.37,1.4300000000000002,-7704.96,-7129.555,-14605.9289,-12381.3629,-13172.4599,-13352.2494,-14514.505,-14475.35,524.3050000000001,-2251.2185,-7704.96,-7129.555,-4904.9890000000005,-9883.2565,-5993.5551,-6887.888500000003,-8095.6085,-7704.96,-5480.394,-7129.555,-6124.1339000000025,-6796.464599999998,-872.3260000000001,-2211.4856,-1487.464,13448.0644,12108.9049
125856,proton,All_or_Total,9000,M,Other,Lab,10300000.0,600000.0,0.0074,0.0009,0.0,0.0,Other,"A.Hermanne,ET.AL. (16)   ",D4346,5,No Pointer,80,"80-HG-0(P,X)81-TL-198-M,,SIG",Experimental cross-sections for proton induced nuclear reactions on mercury up to 65 MeV,2016,A.Hermanne+,2BLGVUB,2016/05/02,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.378, p.12, 2016",D4346005,D4346,"(J,NIM/B,378,12,2016)",1,1,0,201Hg,Hg,121,201,N,7.322207503313315,0.1092566687898421,Other,-28582.906000000003,0.62,7901.727500000001,0.0035,-1468.8719999999998,9.957999999999998,200590000.0,0.6655,14475.35,0.59,14514.505,2.19,524.3050000000001,0.755,-2821.865,12.345,-8877.955,11.155,-9100.91,16.86,7129.555,0.35,7704.96,13.669999999999998,-11851.435,6.275,11465.165,0.71,6641.405000000001,0.71,7225.37,1.4300000000000002,-7704.96,-7129.555,-14605.9289,-12381.3629,-13172.4599,-13352.2494,-14514.505,-14475.35,524.3050000000001,-2251.2185,-7704.96,-7129.555,-4904.9890000000005,-9883.2565,-5993.5551,-6887.888500000003,-8095.6085,-7704.96,-5480.394,-7129.555,-6124.1339000000025,-6796.464599999998,-872.3260000000001,-2211.4856,-1487.464,13448.0644,12108.9049
125857,proton,All_or_Total,9000,M,Other,Lab,11600000.0,500000.0,0.0177,0.0021,0.0,0.0,Other,"A.Hermanne,ET.AL. (16)   ",D4346,5,No Pointer,80,"80-HG-0(P,X)81-TL-198-M,,SIG",Experimental cross-sections for proton induced nuclear reactions on mercury up to 65 MeV,2016,A.Hermanne+,2BLGVUB,2016/05/02,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.378, p.12, 2016",D4346005,D4346,"(J,NIM/B,378,12,2016)",1,1,0,201Hg,Hg,121,201,N,7.322207503313315,0.1092566687898421,Other,-28582.906000000003,0.62,7901.727500000001,0.0035,-1468.8719999999998,9.957999999999998,200590000.0,0.6655,14475.35,0.59,14514.505,2.19,524.3050000000001,0.755,-2821.865,12.345,-8877.955,11.155,-9100.91,16.86,7129.555,0.35,7704.96,13.669999999999998,-11851.435,6.275,11465.165,0.71,6641.405000000001,0.71,7225.37,1.4300000000000002,-7704.96,-7129.555,-14605.9289,-12381.3629,-13172.4599,-13352.2494,-14514.505,-14475.35,524.3050000000001,-2251.2185,-7704.96,-7129.555,-4904.9890000000005,-9883.2565,-5993.5551,-6887.888500000003,-8095.6085,-7704.96,-5480.394,-7129.555,-6124.1339000000025,-6796.464599999998,-872.3260000000001,-2211.4856,-1487.464,13448.0644,12108.9049
125858,proton,All_or_Total,9000,M,Other,Lab,12700000.0,400000.0,0.033,0.004,0.0,0.0,Other,"A.Hermanne,ET.AL. (16)   ",D4346,5,No Pointer,80,"80-HG-0(P,X)81-TL-198-M,,SIG",Experimental cross-sections for proton induced nuclear reactions on mercury up to 65 MeV,2016,A.Hermanne+,2BLGVUB,2016/05/02,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.378, p.12, 2016",D4346005,D4346,"(J,NIM/B,378,12,2016)",1,1,0,201Hg,Hg,121,201,N,7.322207503313315,0.1092566687898421,Other,-28582.906000000003,0.62,7901.727500000001,0.0035,-1468.8719999999998,9.957999999999998,200590000.0,0.6655,14475.35,0.59,14514.505,2.19,524.3050000000001,0.755,-2821.865,12.345,-8877.955,11.155,-9100.91,16.86,7129.555,0.35,7704.96,13.669999999999998,-11851.435,6.275,11465.165,0.71,6641.405000000001,0.71,7225.37,1.4300000000000002,-7704.96,-7129.555,-14605.9289,-12381.3629,-13172.4599,-13352.2494,-14514.505,-14475.35,524.3050000000001,-2251.2185,-7704.96,-7129.555,-4904.9890000000005,-9883.2565,-5993.5551,-6887.888500000003,-8095.6085,-7704.96,-5480.394,-7129.555,-6124.1339000000025,-6796.464599999998,-872.3260000000001,-2211.4856,-1487.464,13448.0644,12108.9049
125859,proton,All_or_Total,9000,M,Other,Lab,12700000.0,2600000.0,0.051,0.006,0.0,0.0,Other,"A.Hermanne,ET.AL. (16)   ",D4346,5,No Pointer,80,"80-HG-0(P,X)81-TL-198-M,,SIG",Experimental cross-sections for proton induced nuclear reactions on mercury up to 65 MeV,2016,A.Hermanne+,2BLGVUB,2016/05/02,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.378, p.12, 2016",D4346005,D4346,"(J,NIM/B,378,12,2016)",1,1,0,201Hg,Hg,121,201,N,7.322207503313315,0.1092566687898421,Other,-28582.906000000003,0.62,7901.727500000001,0.0035,-1468.8719999999998,9.957999999999998,200590000.0,0.6655,14475.35,0.59,14514.505,2.19,524.3050000000001,0.755,-2821.865,12.345,-8877.955,11.155,-9100.91,16.86,7129.555,0.35,7704.96,13.669999999999998,-11851.435,6.275,11465.165,0.71,6641.405000000001,0.71,7225.37,1.4300000000000002,-7704.96,-7129.555,-14605.9289,-12381.3629,-13172.4599,-13352.2494,-14514.505,-14475.35,524.3050000000001,-2251.2185,-7704.96,-7129.555,-4904.9890000000005,-9883.2565,-5993.5551,-6887.888500000003,-8095.6085,-7704.96,-5480.394,-7129.555,-6124.1339000000025,-6796.464599999998,-872.3260000000001,-2211.4856,-1487.464,13448.0644,12108.9049
125860,proton,All_or_Total,9000,M,Other,Lab,13400000.0,2500000.0,0.048,0.006,0.0,0.0,Other,"A.Hermanne,ET.AL. (16)   ",D4346,5,No Pointer,80,"80-HG-0(P,X)81-TL-198-M,,SIG",Experimental cross-sections for proton induced nuclear reactions on mercury up to 65 MeV,2016,A.Hermanne+,2BLGVUB,2016/05/02,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.378, p.12, 2016",D4346005,D4346,"(J,NIM/B,378,12,2016)",1,1,0,201Hg,Hg,121,201,N,7.322207503313315,0.1092566687898421,Other,-28582.906000000003,0.62,7901.727500000001,0.0035,-1468.8719999999998,9.957999999999998,200590000.0,0.6655,14475.35,0.59,14514.505,2.19,524.3050000000001,0.755,-2821.865,12.345,-8877.955,11.155,-9100.91,16.86,7129.555,0.35,7704.96,13.669999999999998,-11851.435,6.275,11465.165,0.71,6641.405000000001,0.71,7225.37,1.4300000000000002,-7704.96,-7129.555,-14605.9289,-12381.3629,-13172.4599,-13352.2494,-14514.505,-14475.35,524.3050000000001,-2251.2185,-7704.96,-7129.555,-4904.9890000000005,-9883.2565,-5993.5551,-6887.888500000003,-8095.6085,-7704.96,-5480.394,-7129.555,-6124.1339000000025,-6796.464599999998,-872.3260000000001,-2211.4856,-1487.464,13448.0644,12108.9049
125861,proton,All_or_Total,9000,M,Other,Lab,13900000.0,300000.0,0.049,0.006,0.0,0.0,Other,"A.Hermanne,ET.AL. (16)   ",D4346,5,No Pointer,80,"80-HG-0(P,X)81-TL-198-M,,SIG",Experimental cross-sections for proton induced nuclear reactions on mercury up to 65 MeV,2016,A.Hermanne+,2BLGVUB,2016/05/02,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.378, p.12, 2016",D4346005,D4346,"(J,NIM/B,378,12,2016)",1,1,0,201Hg,Hg,121,201,N,7.322207503313315,0.1092566687898421,Other,-28582.906000000003,0.62,7901.727500000001,0.0035,-1468.8719999999998,9.957999999999998,200590000.0,0.6655,14475.35,0.59,14514.505,2.19,524.3050000000001,0.755,-2821.865,12.345,-8877.955,11.155,-9100.91,16.86,7129.555,0.35,7704.96,13.669999999999998,-11851.435,6.275,11465.165,0.71,6641.405000000001,0.71,7225.37,1.4300000000000002,-7704.96,-7129.555,-14605.9289,-12381.3629,-13172.4599,-13352.2494,-14514.505,-14475.35,524.3050000000001,-2251.2185,-7704.96,-7129.555,-4904.9890000000005,-9883.2565,-5993.5551,-6887.888500000003,-8095.6085,-7704.96,-5480.394,-7129.555,-6124.1339000000025,-6796.464599999998,-872.3260000000001,-2211.4856,-1487.464,13448.0644,12108.9049
125862,proton,All_or_Total,9000,M,Other,Lab,14000000.0,2400000.0,0.039,0.005,0.0,0.0,Other,"A.Hermanne,ET.AL. (16)   ",D4346,5,No Pointer,80,"80-HG-0(P,X)81-TL-198-M,,SIG",Experimental cross-sections for proton induced nuclear reactions on mercury up to 65 MeV,2016,A.Hermanne+,2BLGVUB,2016/05/02,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.378, p.12, 2016",D4346005,D4346,"(J,NIM/B,378,12,2016)",1,1,0,201Hg,Hg,121,201,N,7.322207503313315,0.1092566687898421,Other,-28582.906000000003,0.62,7901.727500000001,0.0035,-1468.8719999999998,9.957999999999998,200590000.0,0.6655,14475.35,0.59,14514.505,2.19,524.3050000000001,0.755,-2821.865,12.345,-8877.955,11.155,-9100.91,16.86,7129.555,0.35,7704.96,13.669999999999998,-11851.435,6.275,11465.165,0.71,6641.405000000001,0.71,7225.37,1.4300000000000002,-7704.96,-7129.555,-14605.9289,-12381.3629,-13172.4599,-13352.2494,-14514.505,-14475.35,524.3050000000001,-2251.2185,-7704.96,-7129.555,-4904.9890000000005,-9883.2565,-5993.5551,-6887.888500000003,-8095.6085,-7704.96,-5480.394,-7129.555,-6124.1339000000025,-6796.464599999998,-872.3260000000001,-2211.4856,-1487.464,13448.0644,12108.9049
125863,proton,All_or_Total,9000,M,Other,Lab,14600000.0,2300000.0,0.056,0.007,0.0,0.0,Other,"A.Hermanne,ET.AL. (16)   ",D4346,5,No Pointer,80,"80-HG-0(P,X)81-TL-198-M,,SIG",Experimental cross-sections for proton induced nuclear reactions on mercury up to 65 MeV,2016,A.Hermanne+,2BLGVUB,2016/05/02,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.B Vol.378, p.12, 2016",D4346005,D4346,"(J,NIM/B,378,12,2016)",1,1,0,201Hg,Hg,121,201,N,7.322207503313315,0.1092566687898421,Other,-28582.906000000003,0.62,7901.727500000001,0.0035,-1468.8719999999998,9.957999999999998,200590000.0,0.6655,14475.35,0.59,14514.505,2.19,524.3050000000001,0.755,-2821.865,12.345,-8877.955,11.155,-9100.91,16.86,7129.555,0.35,7704.96,13.669999999999998,-11851.435,6.275,11465.165,0.71,6641.405000000001,0.71,7225.37,1.4300000000000002,-7704.96,-7129.555,-14605.9289,-12381.3629,-13172.4599,-13352.2494,-14514.505,-14475.35,524.3050000000001,-2251.2185,-7704.96,-7129.555,-4904.9890000000005,-9883.2565,-5993.5551,-6887.888500000003,-8095.6085,-7704.96,-5480.394,-7129.555,-6124.1339000000025,-6796.464599999998,-872.3260000000001,-2211.4856,-1487.464,13448.0644,12108.9049
