,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
131707,proton,All_or_Total,18,All_or_Total,Dependent,Lab,64000000.0,2000000.0,0.0418,0.00418,0.0,0.0,Other,"A.N.Smirnov,ET.AL. (04)  ",O1837,5,No Pointer,82,"82-PB-204(P,F),,SIG",Correlation of intermediate energy proton- and neutron- induced fission cross sections in the lead-bismuth region. Measurement of neutron-induced fission cross section,2004,A.N.Smirnov+,4RUSRI,2010/01/04,"Jour. Atomnaya Energiya Vol.33, p.979, 1972",O1837005,O1837,"(J,AE,33,979,1972)",1,1,0,204Pb,Pb,122,204,I,7.35845664610417,0.1087184498699939,Other,-25109.892000000003,1.146,7879.932,0.006,-4463.996,9.248,203973043.42,1.23,15311.91,3.92,12342.51,1.05,1968.46,1.14,-6768.65,10.95,-7129.6,1.26,-11656.38,12.82,8394.65,6.46,6637.49,0.34,-17139.7,7.36,11581.13,1.57,6935.0,14.15,8199.05,1.06,-6637.49,-8394.65,-14489.9639,-12265.397900000002,-12878.8649,-12378.5694,-12342.51,-15311.91,1968.46,-5246.3425,-6637.49,-8394.65,-6170.084,-12438.7265,-6830.115099999999,-6771.923500000003,-6347.253500000002,-6637.49,-4412.924,-8394.65,-6008.168900000002,-4624.4696,-2137.421,-1144.0155999999995,-4482.588,12182.9694,13176.3749
131708,proton,All_or_Total,18,All_or_Total,Dependent,Lab,94000000.0,2000000.0,0.092,0.0092,0.0,0.0,Other,"A.N.Smirnov,ET.AL. (04)  ",O1837,5,No Pointer,82,"82-PB-204(P,F),,SIG",Correlation of intermediate energy proton- and neutron- induced fission cross sections in the lead-bismuth region. Measurement of neutron-induced fission cross section,2004,A.N.Smirnov+,4RUSRI,2010/01/04,"Jour. Atomnaya Energiya Vol.33, p.979, 1972",O1837005,O1837,"(J,AE,33,979,1972)",1,1,0,204Pb,Pb,122,204,I,7.35845664610417,0.1087184498699939,Other,-25109.892000000003,1.146,7879.932,0.006,-4463.996,9.248,203973043.42,1.23,15311.91,3.92,12342.51,1.05,1968.46,1.14,-6768.65,10.95,-7129.6,1.26,-11656.38,12.82,8394.65,6.46,6637.49,0.34,-17139.7,7.36,11581.13,1.57,6935.0,14.15,8199.05,1.06,-6637.49,-8394.65,-14489.9639,-12265.397900000002,-12878.8649,-12378.5694,-12342.51,-15311.91,1968.46,-5246.3425,-6637.49,-8394.65,-6170.084,-12438.7265,-6830.115099999999,-6771.923500000003,-6347.253500000002,-6637.49,-4412.924,-8394.65,-6008.168900000002,-4624.4696,-2137.421,-1144.0155999999995,-4482.588,12182.9694,13176.3749
131709,proton,All_or_Total,18,All_or_Total,Dependent,Lab,167000000.0,2000000.0,0.1524,0.01524,0.0,0.0,Other,"A.N.Smirnov,ET.AL. (04)  ",O1837,5,No Pointer,82,"82-PB-204(P,F),,SIG",Correlation of intermediate energy proton- and neutron- induced fission cross sections in the lead-bismuth region. Measurement of neutron-induced fission cross section,2004,A.N.Smirnov+,4RUSRI,2010/01/04,"Jour. Atomnaya Energiya Vol.33, p.979, 1972",O1837005,O1837,"(J,AE,33,979,1972)",1,1,0,204Pb,Pb,122,204,I,7.35845664610417,0.1087184498699939,Other,-25109.892000000003,1.146,7879.932,0.006,-4463.996,9.248,203973043.42,1.23,15311.91,3.92,12342.51,1.05,1968.46,1.14,-6768.65,10.95,-7129.6,1.26,-11656.38,12.82,8394.65,6.46,6637.49,0.34,-17139.7,7.36,11581.13,1.57,6935.0,14.15,8199.05,1.06,-6637.49,-8394.65,-14489.9639,-12265.397900000002,-12878.8649,-12378.5694,-12342.51,-15311.91,1968.46,-5246.3425,-6637.49,-8394.65,-6170.084,-12438.7265,-6830.115099999999,-6771.923500000003,-6347.253500000002,-6637.49,-4412.924,-8394.65,-6008.168900000002,-4624.4696,-2137.421,-1144.0155999999995,-4482.588,12182.9694,13176.3749
131710,proton,All_or_Total,18,All_or_Total,Other,Lab,65000000.0,1350786.6771776911,0.0198,0.00297,0.0,0.0,Other,"G.N.Flerov,ET.AL. (72)   ",O0619,3,No Pointer,82,"82-PB-204(P,F),,SIG",Origin of tracks of fission products in lead glasses.,1972,G.N.Flerov+,4ZZZDUB,2012/06/05,"Conf. Conf.on Nucl.Data for Sci.and Techn., Santa Fe 2004 p.637, 2004",O0619003,O0619,"(C,2004SANTA,,637,2004)",1,1,0,204Pb,Pb,122,204,I,7.35845664610417,0.1087184498699939,Other,-25109.892000000003,1.146,7879.932,0.006,-4463.996,9.248,203973043.42,1.23,15311.91,3.92,12342.51,1.05,1968.46,1.14,-6768.65,10.95,-7129.6,1.26,-11656.38,12.82,8394.65,6.46,6637.49,0.34,-17139.7,7.36,11581.13,1.57,6935.0,14.15,8199.05,1.06,-6637.49,-8394.65,-14489.9639,-12265.397900000002,-12878.8649,-12378.5694,-12342.51,-15311.91,1968.46,-5246.3425,-6637.49,-8394.65,-6170.084,-12438.7265,-6830.115099999999,-6771.923500000003,-6347.253500000002,-6637.49,-4412.924,-8394.65,-6008.168900000002,-4624.4696,-2137.421,-1144.0155999999995,-4482.588,12182.9694,13176.3749
131711,proton,All_or_Total,18,All_or_Total,Other,Lab,81000000.0,1683288.0130983535,0.0316,0.00474,0.0,0.0,Other,"G.N.Flerov,ET.AL. (72)   ",O0619,3,No Pointer,82,"82-PB-204(P,F),,SIG",Origin of tracks of fission products in lead glasses.,1972,G.N.Flerov+,4ZZZDUB,2012/06/05,"Conf. Conf.on Nucl.Data for Sci.and Techn., Santa Fe 2004 p.637, 2004",O0619003,O0619,"(C,2004SANTA,,637,2004)",1,1,0,204Pb,Pb,122,204,I,7.35845664610417,0.1087184498699939,Other,-25109.892000000003,1.146,7879.932,0.006,-4463.996,9.248,203973043.42,1.23,15311.91,3.92,12342.51,1.05,1968.46,1.14,-6768.65,10.95,-7129.6,1.26,-11656.38,12.82,8394.65,6.46,6637.49,0.34,-17139.7,7.36,11581.13,1.57,6935.0,14.15,8199.05,1.06,-6637.49,-8394.65,-14489.9639,-12265.397900000002,-12878.8649,-12378.5694,-12342.51,-15311.91,1968.46,-5246.3425,-6637.49,-8394.65,-6170.084,-12438.7265,-6830.115099999999,-6771.923500000003,-6347.253500000002,-6637.49,-4412.924,-8394.65,-6008.168900000002,-4624.4696,-2137.421,-1144.0155999999995,-4482.588,12182.9694,13176.3749
131712,proton,All_or_Total,18,All_or_Total,Other,Lab,100000000.0,2078133.34950414,0.0378,0.00567,0.0,0.0,Other,"G.N.Flerov,ET.AL. (72)   ",O0619,3,No Pointer,82,"82-PB-204(P,F),,SIG",Origin of tracks of fission products in lead glasses.,1972,G.N.Flerov+,4ZZZDUB,2012/06/05,"Conf. Conf.on Nucl.Data for Sci.and Techn., Santa Fe 2004 p.637, 2004",O0619003,O0619,"(C,2004SANTA,,637,2004)",1,1,0,204Pb,Pb,122,204,I,7.35845664610417,0.1087184498699939,Other,-25109.892000000003,1.146,7879.932,0.006,-4463.996,9.248,203973043.42,1.23,15311.91,3.92,12342.51,1.05,1968.46,1.14,-6768.65,10.95,-7129.6,1.26,-11656.38,12.82,8394.65,6.46,6637.49,0.34,-17139.7,7.36,11581.13,1.57,6935.0,14.15,8199.05,1.06,-6637.49,-8394.65,-14489.9639,-12265.397900000002,-12878.8649,-12378.5694,-12342.51,-15311.91,1968.46,-5246.3425,-6637.49,-8394.65,-6170.084,-12438.7265,-6830.115099999999,-6771.923500000003,-6347.253500000002,-6637.49,-4412.924,-8394.65,-6008.168900000002,-4624.4696,-2137.421,-1144.0155999999995,-4482.588,12182.9694,13176.3749
131713,proton,All_or_Total,18,All_or_Total,Other,Lab,130000000.0,2701573.3543553823,0.0583,0.008745,0.0,0.0,Other,"G.N.Flerov,ET.AL. (72)   ",O0619,3,No Pointer,82,"82-PB-204(P,F),,SIG",Origin of tracks of fission products in lead glasses.,1972,G.N.Flerov+,4ZZZDUB,2012/06/05,"Conf. Conf.on Nucl.Data for Sci.and Techn., Santa Fe 2004 p.637, 2004",O0619003,O0619,"(C,2004SANTA,,637,2004)",1,1,0,204Pb,Pb,122,204,I,7.35845664610417,0.1087184498699939,Other,-25109.892000000003,1.146,7879.932,0.006,-4463.996,9.248,203973043.42,1.23,15311.91,3.92,12342.51,1.05,1968.46,1.14,-6768.65,10.95,-7129.6,1.26,-11656.38,12.82,8394.65,6.46,6637.49,0.34,-17139.7,7.36,11581.13,1.57,6935.0,14.15,8199.05,1.06,-6637.49,-8394.65,-14489.9639,-12265.397900000002,-12878.8649,-12378.5694,-12342.51,-15311.91,1968.46,-5246.3425,-6637.49,-8394.65,-6170.084,-12438.7265,-6830.115099999999,-6771.923500000003,-6347.253500000002,-6637.49,-4412.924,-8394.65,-6008.168900000002,-4624.4696,-2137.421,-1144.0155999999995,-4482.588,12182.9694,13176.3749
131714,proton,All_or_Total,18,All_or_Total,Correlated,Lab,97500000.0,2000000.0,0.106,0.0106,0.0,0.0,Other,"A.N.Smirnov,ET.AL. (04)  ",O1837,4,No Pointer,82,"82-PB-204(P,F),,SIG",Correlation of intermediate energy proton- and neutron- induced fission cross sections in the lead-bismuth region. Measurement of neutron-induced fission cross section,2004,A.N.Smirnov+,4RUSRI,2010/01/04,"Jour. Radiochimica Acta Vol.65, p.151, 1994",O1837004,O1837,"(J,RCA,65,151,1994)",1,1,0,204Pb,Pb,122,204,I,7.35845664610417,0.1087184498699939,Other,-25109.892000000003,1.146,7879.932,0.006,-4463.996,9.248,203973043.42,1.23,15311.91,3.92,12342.51,1.05,1968.46,1.14,-6768.65,10.95,-7129.6,1.26,-11656.38,12.82,8394.65,6.46,6637.49,0.34,-17139.7,7.36,11581.13,1.57,6935.0,14.15,8199.05,1.06,-6637.49,-8394.65,-14489.9639,-12265.397900000002,-12878.8649,-12378.5694,-12342.51,-15311.91,1968.46,-5246.3425,-6637.49,-8394.65,-6170.084,-12438.7265,-6830.115099999999,-6771.923500000003,-6347.253500000002,-6637.49,-4412.924,-8394.65,-6008.168900000002,-4624.4696,-2137.421,-1144.0155999999995,-4482.588,12182.9694,13176.3749
131715,proton,All_or_Total,18,All_or_Total,Correlated,Lab,177300000.0,1200000.0,0.179,0.0179,0.0,0.0,Other,"A.N.Smirnov,ET.AL. (04)  ",O1837,4,No Pointer,82,"82-PB-204(P,F),,SIG",Correlation of intermediate energy proton- and neutron- induced fission cross sections in the lead-bismuth region. Measurement of neutron-induced fission cross section,2004,A.N.Smirnov+,4RUSRI,2010/01/04,"Jour. Radiochimica Acta Vol.65, p.151, 1994",O1837004,O1837,"(J,RCA,65,151,1994)",1,1,0,204Pb,Pb,122,204,I,7.35845664610417,0.1087184498699939,Other,-25109.892000000003,1.146,7879.932,0.006,-4463.996,9.248,203973043.42,1.23,15311.91,3.92,12342.51,1.05,1968.46,1.14,-6768.65,10.95,-7129.6,1.26,-11656.38,12.82,8394.65,6.46,6637.49,0.34,-17139.7,7.36,11581.13,1.57,6935.0,14.15,8199.05,1.06,-6637.49,-8394.65,-14489.9639,-12265.397900000002,-12878.8649,-12378.5694,-12342.51,-15311.91,1968.46,-5246.3425,-6637.49,-8394.65,-6170.084,-12438.7265,-6830.115099999999,-6771.923500000003,-6347.253500000002,-6637.49,-4412.924,-8394.65,-6008.168900000002,-4624.4696,-2137.421,-1144.0155999999995,-4482.588,12182.9694,13176.3749
131716,proton,All_or_Total,9000,M,Other,Lab,39700000.0,1011970.1408177126,0.01,0.002,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (94) ",O0297,4,No Pointer,82,"82-PB-204(P,X)82-PB-202-M,,SIG","Excitation functions for the formation of Pb-200,201 and Pb-202 by proton induced nuclear reactions on enriched Pb-204.",1994,N.G.Zaitseva+,4ZZZDUB,2020/10/01,"Jour. Radiochimica Acta Vol.65, p.151, 1994",O0297004,O0297,"(J,RCA,65,151,1994)",1,1,0,204Pb,Pb,122,204,I,7.35845664610417,0.1087184498699939,Other,-25109.892000000003,1.146,7879.932,0.006,-4463.996,9.248,203973043.42,1.23,15311.91,3.92,12342.51,1.05,1968.46,1.14,-6768.65,10.95,-7129.6,1.26,-11656.38,12.82,8394.65,6.46,6637.49,0.34,-17139.7,7.36,11581.13,1.57,6935.0,14.15,8199.05,1.06,-6637.49,-8394.65,-14489.9639,-12265.397900000002,-12878.8649,-12378.5694,-12342.51,-15311.91,1968.46,-5246.3425,-6637.49,-8394.65,-6170.084,-12438.7265,-6830.115099999999,-6771.923500000003,-6347.253500000002,-6637.49,-4412.924,-8394.65,-6008.168900000002,-4624.4696,-2137.421,-1144.0155999999995,-4482.588,12182.9694,13176.3749
