,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
128245,proton,All_or_Total,3,All_or_Total,Other,Lab,9920000.0,480000.0,0.216,0.148,0.0,0.0,Other,"B.D.WILKINS,ET.AL. (63)  ",O0741,19,No Pointer,82,"82-PB-0(P,NON),,SIG",10-MeV Proton Reaction Cross Sections For Several Elements.,1963,B.D.Wilkins+,1USALRL,2000/04/04,"Jour. Physical Review Vol.140, p.B575, 1965",O0741019,O0741,"(J,PR,140,B575,1965)",1,1,0,207Pb,Pb,125,207,N,7.394352124625895,0.1081906820931218,Other,-22100.3225,1.1475,7868.6595,0.006,-2637.8975,2.0655,207200000.0,1.2305,14465.045,0.11,15061.495,12.055,454.465,1.225,-4792.635,3.935,-10672.67,25.12,-10130.19,4.835,7052.825,0.075,7745.385,3.01,-12955.145,9.825,11647.605,0.565,6847.24,0.375,7035.02,2.4400000000000004,-7745.385,-7052.825,-14423.4889,-12198.9229,-12966.6249,-13542.5994,-15061.495,-14465.045,454.465,-3420.244,-7745.385,-7052.825,-4828.259,-10912.5365,-5983.250099999999,-6705.448500000002,-9890.3235,-7745.385,-5520.819,-7052.825,-5941.693900000002,-7343.4546,-795.5959999999995,-2251.9106,-2656.4895,13524.7944,12068.479900000002
128246,proton,All_or_Total,3,All_or_Total,Other,Lab,16310000.0,295452.1512153312,1.33,0.18,0.0,0.0,Other,"R.E.Pollock,ET.AL. (65)  ",O0368,7,No Pointer,82,"82-PB-0(P,NON),,SIG",Proton total reaction cross sections at 16.4 MeV.,1965,R.E.Pollock+,1USAPTN,2004/07/04,"Jour. Nuclear Physics Vol.12, p.241, 1959",O0368007,O0368,"(J,NP,12,241,1959)",1,1,0,207Pb,Pb,125,207,N,7.394352124625895,0.1081906820931218,Other,-22100.3225,1.1475,7868.6595,0.006,-2637.8975,2.0655,207200000.0,1.2305,14465.045,0.11,15061.495,12.055,454.465,1.225,-4792.635,3.935,-10672.67,25.12,-10130.19,4.835,7052.825,0.075,7745.385,3.01,-12955.145,9.825,11647.605,0.565,6847.24,0.375,7035.02,2.4400000000000004,-7745.385,-7052.825,-14423.4889,-12198.9229,-12966.6249,-13542.5994,-15061.495,-14465.045,454.465,-3420.244,-7745.385,-7052.825,-4828.259,-10912.5365,-5983.250099999999,-6705.448500000002,-9890.3235,-7745.385,-5520.819,-7052.825,-5941.693900000002,-7343.4546,-795.5959999999995,-2251.9106,-2656.4895,13524.7944,12068.479900000002
128247,proton,All_or_Total,3,All_or_Total,Other,Lab,34000000.0,2500000.0,1.775,0.12,0.0,0.0,Other,T.J.Gooding (59)         ,O0732,6,No Pointer,82,"82-PB-0(P,NON),,SIG",Proton total reaction cross sections at 34 MeV.,1959,T.J.Gooding,1USAMIN,2017/09/03,"Jour. Physical Review Vol.117, p.1334, 1960",O0732006,O0732,"(J,PR,117,1334,1960)",1,1,0,207Pb,Pb,125,207,N,7.394352124625895,0.1081906820931218,Other,-22100.3225,1.1475,7868.6595,0.006,-2637.8975,2.0655,207200000.0,1.2305,14465.045,0.11,15061.495,12.055,454.465,1.225,-4792.635,3.935,-10672.67,25.12,-10130.19,4.835,7052.825,0.075,7745.385,3.01,-12955.145,9.825,11647.605,0.565,6847.24,0.375,7035.02,2.4400000000000004,-7745.385,-7052.825,-14423.4889,-12198.9229,-12966.6249,-13542.5994,-15061.495,-14465.045,454.465,-3420.244,-7745.385,-7052.825,-4828.259,-10912.5365,-5983.250099999999,-6705.448500000002,-9890.3235,-7745.385,-5520.819,-7052.825,-5941.693900000002,-7343.4546,-795.5959999999995,-2251.9106,-2656.4895,13524.7944,12068.479900000002
128248,proton,All_or_Total,3,All_or_Total,Other,Lab,61000000.0,4500000.0,1.49,0.077,0.0,0.0,Other,"V.MEYER,ET.AL. (60)      ",O0475,6,No Pointer,82,"82-PB-0(P,NON),,SIG",Total Reaction Cross Sections of Several Nuclei For 61-MeV Protons.,1960,V.Meyer+,1USAMIN,2000/04/03,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",O0475006,O0475,"(J,CJP,44,1847,66)",1,1,0,207Pb,Pb,125,207,N,7.394352124625895,0.1081906820931218,Other,-22100.3225,1.1475,7868.6595,0.006,-2637.8975,2.0655,207200000.0,1.2305,14465.045,0.11,15061.495,12.055,454.465,1.225,-4792.635,3.935,-10672.67,25.12,-10130.19,4.835,7052.825,0.075,7745.385,3.01,-12955.145,9.825,11647.605,0.565,6847.24,0.375,7035.02,2.4400000000000004,-7745.385,-7052.825,-14423.4889,-12198.9229,-12966.6249,-13542.5994,-15061.495,-14465.045,454.465,-3420.244,-7745.385,-7052.825,-4828.259,-10912.5365,-5983.250099999999,-6705.448500000002,-9890.3235,-7745.385,-5520.819,-7052.825,-5941.693900000002,-7343.4546,-795.5959999999995,-2251.9106,-2656.4895,13524.7944,12068.479900000002
128249,proton,All_or_Total,3,All_or_Total,Other,Lab,99200000.0,1796986.7198381887,1.831,0.051268,0.0,0.0,Other,"P.KIRKBY,ET.AL. (66)     ",O0340,40,No Pointer,82,"82-PB-0(P,NON),,SIG,,,EXP",Faraday-Cup Measurement of Proton Total Reaction Cross Sections at 100 MeV.,1966,P.Kirkby+,1CANMCG,1997/06/05,"Jour. Nuclear Physics Vol.29, p.474, 1962",O0340040,O0340,"(J,NP,29,474,1962)",1,1,0,207Pb,Pb,125,207,N,7.394352124625895,0.1081906820931218,Other,-22100.3225,1.1475,7868.6595,0.006,-2637.8975,2.0655,207200000.0,1.2305,14465.045,0.11,15061.495,12.055,454.465,1.225,-4792.635,3.935,-10672.67,25.12,-10130.19,4.835,7052.825,0.075,7745.385,3.01,-12955.145,9.825,11647.605,0.565,6847.24,0.375,7035.02,2.4400000000000004,-7745.385,-7052.825,-14423.4889,-12198.9229,-12966.6249,-13542.5994,-15061.495,-14465.045,454.465,-3420.244,-7745.385,-7052.825,-4828.259,-10912.5365,-5983.250099999999,-6705.448500000002,-9890.3235,-7745.385,-5520.819,-7052.825,-5941.693900000002,-7343.4546,-795.5959999999995,-2251.9106,-2656.4895,13524.7944,12068.479900000002
128250,proton,All_or_Total,3,All_or_Total,Other,Lab,133000000.0,5000000.0,1.834,0.062,0.0,0.0,Other,"R.Goloskie,ET.AL. (62)   ",C1211,6,No Pointer,82,"82-PB-0(P,NON),,SIG",Measurement of proton inelastic cross sections between 77 MeV and 133 MeV,1962,R.Goloskie+,1USAHRV,2012/06/06,"Jour. Proc.Physical Society (London), Section A Vol.67, p.125, 1954",C1211006,C1211,"(J,PPS/A,67,125,1954)",1,1,0,207Pb,Pb,125,207,N,7.394352124625895,0.1081906820931218,Other,-22100.3225,1.1475,7868.6595,0.006,-2637.8975,2.0655,207200000.0,1.2305,14465.045,0.11,15061.495,12.055,454.465,1.225,-4792.635,3.935,-10672.67,25.12,-10130.19,4.835,7052.825,0.075,7745.385,3.01,-12955.145,9.825,11647.605,0.565,6847.24,0.375,7035.02,2.4400000000000004,-7745.385,-7052.825,-14423.4889,-12198.9229,-12966.6249,-13542.5994,-15061.495,-14465.045,454.465,-3420.244,-7745.385,-7052.825,-4828.259,-10912.5365,-5983.250099999999,-6705.448500000002,-9890.3235,-7745.385,-5520.819,-7052.825,-5941.693900000002,-7343.4546,-795.5959999999995,-2251.9106,-2656.4895,13524.7944,12068.479900000002
128251,proton,All_or_Total,3,All_or_Total,Other,Lab,113000000.0,5000000.0,1.716,0.056,0.0,0.0,Other,"R.Goloskie,ET.AL. (62)   ",C1211,6,No Pointer,82,"82-PB-0(P,NON),,SIG",Measurement of proton inelastic cross sections between 77 MeV and 133 MeV,1962,R.Goloskie+,1USAHRV,2012/06/06,"Jour. Proc.Physical Society (London), Section A Vol.67, p.125, 1954",C1211006,C1211,"(J,PPS/A,67,125,1954)",1,1,0,207Pb,Pb,125,207,N,7.394352124625895,0.1081906820931218,Other,-22100.3225,1.1475,7868.6595,0.006,-2637.8975,2.0655,207200000.0,1.2305,14465.045,0.11,15061.495,12.055,454.465,1.225,-4792.635,3.935,-10672.67,25.12,-10130.19,4.835,7052.825,0.075,7745.385,3.01,-12955.145,9.825,11647.605,0.565,6847.24,0.375,7035.02,2.4400000000000004,-7745.385,-7052.825,-14423.4889,-12198.9229,-12966.6249,-13542.5994,-15061.495,-14465.045,454.465,-3420.244,-7745.385,-7052.825,-4828.259,-10912.5365,-5983.250099999999,-6705.448500000002,-9890.3235,-7745.385,-5520.819,-7052.825,-5941.693900000002,-7343.4546,-795.5959999999995,-2251.9106,-2656.4895,13524.7944,12068.479900000002
128252,proton,All_or_Total,3,All_or_Total,Other,Lab,95000000.0,5000000.0,1.756,0.067,0.0,0.0,Other,"R.Goloskie,ET.AL. (62)   ",C1211,6,No Pointer,82,"82-PB-0(P,NON),,SIG",Measurement of proton inelastic cross sections between 77 MeV and 133 MeV,1962,R.Goloskie+,1USAHRV,2012/06/06,"Jour. Proc.Physical Society (London), Section A Vol.67, p.125, 1954",C1211006,C1211,"(J,PPS/A,67,125,1954)",1,1,0,207Pb,Pb,125,207,N,7.394352124625895,0.1081906820931218,Other,-22100.3225,1.1475,7868.6595,0.006,-2637.8975,2.0655,207200000.0,1.2305,14465.045,0.11,15061.495,12.055,454.465,1.225,-4792.635,3.935,-10672.67,25.12,-10130.19,4.835,7052.825,0.075,7745.385,3.01,-12955.145,9.825,11647.605,0.565,6847.24,0.375,7035.02,2.4400000000000004,-7745.385,-7052.825,-14423.4889,-12198.9229,-12966.6249,-13542.5994,-15061.495,-14465.045,454.465,-3420.244,-7745.385,-7052.825,-4828.259,-10912.5365,-5983.250099999999,-6705.448500000002,-9890.3235,-7745.385,-5520.819,-7052.825,-5941.693900000002,-7343.4546,-795.5959999999995,-2251.9106,-2656.4895,13524.7944,12068.479900000002
128253,proton,All_or_Total,3,All_or_Total,Other,Lab,77000000.0,5000000.0,1.665,0.06,0.0,0.0,Other,"R.Goloskie,ET.AL. (62)   ",C1211,6,No Pointer,82,"82-PB-0(P,NON),,SIG",Measurement of proton inelastic cross sections between 77 MeV and 133 MeV,1962,R.Goloskie+,1USAHRV,2012/06/06,"Jour. Proc.Physical Society (London), Section A Vol.67, p.125, 1954",C1211006,C1211,"(J,PPS/A,67,125,1954)",1,1,0,207Pb,Pb,125,207,N,7.394352124625895,0.1081906820931218,Other,-22100.3225,1.1475,7868.6595,0.006,-2637.8975,2.0655,207200000.0,1.2305,14465.045,0.11,15061.495,12.055,454.465,1.225,-4792.635,3.935,-10672.67,25.12,-10130.19,4.835,7052.825,0.075,7745.385,3.01,-12955.145,9.825,11647.605,0.565,6847.24,0.375,7035.02,2.4400000000000004,-7745.385,-7052.825,-14423.4889,-12198.9229,-12966.6249,-13542.5994,-15061.495,-14465.045,454.465,-3420.244,-7745.385,-7052.825,-4828.259,-10912.5365,-5983.250099999999,-6705.448500000002,-9890.3235,-7745.385,-5520.819,-7052.825,-5941.693900000002,-7343.4546,-795.5959999999995,-2251.9106,-2656.4895,13524.7944,12068.479900000002
128254,proton,All_or_Total,3,All_or_Total,Other,Lab,134000000.0,4000000.0,1.782,0.143,0.0,0.0,Other,"J.M.Cassels,ET.AL. (54)  ",O1947,6,No Pointer,82,"82-PB-0(P,NON),,SIG",Absorption cross sections for 134 MeV protons.,1954,J.M.Cassels+,2UK HAR,2021/01/05,"Jour. Jour. of Nuclear Science and Technology Suppl. Vol.2, Issue.1, p.269, 2002",O1947006,O1947,"(J,NSTS,2,(1),269,2002)",1,1,0,207Pb,Pb,125,207,N,7.394352124625895,0.1081906820931218,Other,-22100.3225,1.1475,7868.6595,0.006,-2637.8975,2.0655,207200000.0,1.2305,14465.045,0.11,15061.495,12.055,454.465,1.225,-4792.635,3.935,-10672.67,25.12,-10130.19,4.835,7052.825,0.075,7745.385,3.01,-12955.145,9.825,11647.605,0.565,6847.24,0.375,7035.02,2.4400000000000004,-7745.385,-7052.825,-14423.4889,-12198.9229,-12966.6249,-13542.5994,-15061.495,-14465.045,454.465,-3420.244,-7745.385,-7052.825,-4828.259,-10912.5365,-5983.250099999999,-6705.448500000002,-9890.3235,-7745.385,-5520.819,-7052.825,-5941.693900000002,-7343.4546,-795.5959999999995,-2251.9106,-2656.4895,13524.7944,12068.479900000002
