,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
13628,proton,All_or_Total,9000,All_or_Total,Other,Lab,23800000.0,260000.0,0.0317,0.000951,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (95)  ",C0779,2,No Pointer,10,"10-NE-0(P,X)9-F-18,,SIG",Cyclotron Production of PET Radionuclides: No-carrier- added Fluorine-18 with High-Energy Protons on Natural Neon Gas Targets,1995,M.C.Lagunas-Solar+,1USADAV,2001/02/04,"Jour. Physical Review Vol.169, p.836, 1968",C0779002,C0779,"(J,PR,169,836,1968)",1,1,0,20Ne,Ne,10,20,N,3.393022020743633,0.2357780159129847,Other,-6386.853275,0.0197849999999999,8001.976500000001,0.001,-8719.84,0.6020000000000001,20180000.0,0.02134,26064.32,0.26,22239.815,1.32,-6038.885,0.02,-20577.625,1.31,-17240.339999999997,1.765,-24348.17,5.824999999999999,11813.23,0.1,12923.37,0.025,-53278.741843772455,112.4327472529852,4631.115,0.25,-2935.205,0.355,55.33500000000004,0.02,-12923.37,-11813.23,-21439.9789,-19215.4129,-22749.0699,-20522.2844,-22239.815,-26064.32,-6038.885,-9502.1865,-12923.37,-11813.23,-9588.664,-25130.5165,-17582.5251,-13721.9385,-16457.9935,-12923.37,-10698.804,-11813.23,-12958.1839,-14521.7746,-5556.001000000001,-7429.8956,-8738.432,8764.3894,6890.494900000001
13629,proton,All_or_Total,9000,All_or_Total,Other,Lab,28900000.0,260000.0,0.0482,0.001446,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (95)  ",C0779,2,No Pointer,10,"10-NE-0(P,X)9-F-18,,SIG",Cyclotron Production of PET Radionuclides: No-carrier- added Fluorine-18 with High-Energy Protons on Natural Neon Gas Targets,1995,M.C.Lagunas-Solar+,1USADAV,2001/02/04,"Jour. Physical Review Vol.169, p.836, 1968",C0779002,C0779,"(J,PR,169,836,1968)",1,1,0,20Ne,Ne,10,20,N,3.393022020743633,0.2357780159129847,Other,-6386.853275,0.0197849999999999,8001.976500000001,0.001,-8719.84,0.6020000000000001,20180000.0,0.02134,26064.32,0.26,22239.815,1.32,-6038.885,0.02,-20577.625,1.31,-17240.339999999997,1.765,-24348.17,5.824999999999999,11813.23,0.1,12923.37,0.025,-53278.741843772455,112.4327472529852,4631.115,0.25,-2935.205,0.355,55.33500000000004,0.02,-12923.37,-11813.23,-21439.9789,-19215.4129,-22749.0699,-20522.2844,-22239.815,-26064.32,-6038.885,-9502.1865,-12923.37,-11813.23,-9588.664,-25130.5165,-17582.5251,-13721.9385,-16457.9935,-12923.37,-10698.804,-11813.23,-12958.1839,-14521.7746,-5556.001000000001,-7429.8956,-8738.432,8764.3894,6890.494900000001
13630,proton,All_or_Total,9000,All_or_Total,Other,Lab,34000000.0,260000.0,0.0232,0.000696,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (95)  ",C0779,2,No Pointer,10,"10-NE-0(P,X)9-F-18,,SIG",Cyclotron Production of PET Radionuclides: No-carrier- added Fluorine-18 with High-Energy Protons on Natural Neon Gas Targets,1995,M.C.Lagunas-Solar+,1USADAV,2001/02/04,"Jour. Physical Review Vol.169, p.836, 1968",C0779002,C0779,"(J,PR,169,836,1968)",1,1,0,20Ne,Ne,10,20,N,3.393022020743633,0.2357780159129847,Other,-6386.853275,0.0197849999999999,8001.976500000001,0.001,-8719.84,0.6020000000000001,20180000.0,0.02134,26064.32,0.26,22239.815,1.32,-6038.885,0.02,-20577.625,1.31,-17240.339999999997,1.765,-24348.17,5.824999999999999,11813.23,0.1,12923.37,0.025,-53278.741843772455,112.4327472529852,4631.115,0.25,-2935.205,0.355,55.33500000000004,0.02,-12923.37,-11813.23,-21439.9789,-19215.4129,-22749.0699,-20522.2844,-22239.815,-26064.32,-6038.885,-9502.1865,-12923.37,-11813.23,-9588.664,-25130.5165,-17582.5251,-13721.9385,-16457.9935,-12923.37,-10698.804,-11813.23,-12958.1839,-14521.7746,-5556.001000000001,-7429.8956,-8738.432,8764.3894,6890.494900000001
13631,proton,All_or_Total,9000,All_or_Total,Other,Lab,39100000.0,260000.0,0.018,0.00054,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (95)  ",C0779,2,No Pointer,10,"10-NE-0(P,X)9-F-18,,SIG",Cyclotron Production of PET Radionuclides: No-carrier- added Fluorine-18 with High-Energy Protons on Natural Neon Gas Targets,1995,M.C.Lagunas-Solar+,1USADAV,2001/02/04,"Jour. Physical Review Vol.169, p.836, 1968",C0779002,C0779,"(J,PR,169,836,1968)",1,1,0,20Ne,Ne,10,20,N,3.393022020743633,0.2357780159129847,Other,-6386.853275,0.0197849999999999,8001.976500000001,0.001,-8719.84,0.6020000000000001,20180000.0,0.02134,26064.32,0.26,22239.815,1.32,-6038.885,0.02,-20577.625,1.31,-17240.339999999997,1.765,-24348.17,5.824999999999999,11813.23,0.1,12923.37,0.025,-53278.741843772455,112.4327472529852,4631.115,0.25,-2935.205,0.355,55.33500000000004,0.02,-12923.37,-11813.23,-21439.9789,-19215.4129,-22749.0699,-20522.2844,-22239.815,-26064.32,-6038.885,-9502.1865,-12923.37,-11813.23,-9588.664,-25130.5165,-17582.5251,-13721.9385,-16457.9935,-12923.37,-10698.804,-11813.23,-12958.1839,-14521.7746,-5556.001000000001,-7429.8956,-8738.432,8764.3894,6890.494900000001
13632,proton,All_or_Total,9000,All_or_Total,Other,Lab,44200000.0,260000.0,0.024,0.00072,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (95)  ",C0779,2,No Pointer,10,"10-NE-0(P,X)9-F-18,,SIG",Cyclotron Production of PET Radionuclides: No-carrier- added Fluorine-18 with High-Energy Protons on Natural Neon Gas Targets,1995,M.C.Lagunas-Solar+,1USADAV,2001/02/04,"Jour. Physical Review Vol.169, p.836, 1968",C0779002,C0779,"(J,PR,169,836,1968)",1,1,0,20Ne,Ne,10,20,N,3.393022020743633,0.2357780159129847,Other,-6386.853275,0.0197849999999999,8001.976500000001,0.001,-8719.84,0.6020000000000001,20180000.0,0.02134,26064.32,0.26,22239.815,1.32,-6038.885,0.02,-20577.625,1.31,-17240.339999999997,1.765,-24348.17,5.824999999999999,11813.23,0.1,12923.37,0.025,-53278.741843772455,112.4327472529852,4631.115,0.25,-2935.205,0.355,55.33500000000004,0.02,-12923.37,-11813.23,-21439.9789,-19215.4129,-22749.0699,-20522.2844,-22239.815,-26064.32,-6038.885,-9502.1865,-12923.37,-11813.23,-9588.664,-25130.5165,-17582.5251,-13721.9385,-16457.9935,-12923.37,-10698.804,-11813.23,-12958.1839,-14521.7746,-5556.001000000001,-7429.8956,-8738.432,8764.3894,6890.494900000001
13633,proton,All_or_Total,9000,All_or_Total,Other,Lab,49200000.0,260000.0,0.0216,0.000648,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (95)  ",C0779,2,No Pointer,10,"10-NE-0(P,X)9-F-18,,SIG",Cyclotron Production of PET Radionuclides: No-carrier- added Fluorine-18 with High-Energy Protons on Natural Neon Gas Targets,1995,M.C.Lagunas-Solar+,1USADAV,2001/02/04,"Jour. Physical Review Vol.169, p.836, 1968",C0779002,C0779,"(J,PR,169,836,1968)",1,1,0,20Ne,Ne,10,20,N,3.393022020743633,0.2357780159129847,Other,-6386.853275,0.0197849999999999,8001.976500000001,0.001,-8719.84,0.6020000000000001,20180000.0,0.02134,26064.32,0.26,22239.815,1.32,-6038.885,0.02,-20577.625,1.31,-17240.339999999997,1.765,-24348.17,5.824999999999999,11813.23,0.1,12923.37,0.025,-53278.741843772455,112.4327472529852,4631.115,0.25,-2935.205,0.355,55.33500000000004,0.02,-12923.37,-11813.23,-21439.9789,-19215.4129,-22749.0699,-20522.2844,-22239.815,-26064.32,-6038.885,-9502.1865,-12923.37,-11813.23,-9588.664,-25130.5165,-17582.5251,-13721.9385,-16457.9935,-12923.37,-10698.804,-11813.23,-12958.1839,-14521.7746,-5556.001000000001,-7429.8956,-8738.432,8764.3894,6890.494900000001
13634,proton,All_or_Total,9000,All_or_Total,Other,Lab,54300000.0,260000.0,0.0227,0.000681,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (95)  ",C0779,2,No Pointer,10,"10-NE-0(P,X)9-F-18,,SIG",Cyclotron Production of PET Radionuclides: No-carrier- added Fluorine-18 with High-Energy Protons on Natural Neon Gas Targets,1995,M.C.Lagunas-Solar+,1USADAV,2001/02/04,"Jour. Physical Review Vol.169, p.836, 1968",C0779002,C0779,"(J,PR,169,836,1968)",1,1,0,20Ne,Ne,10,20,N,3.393022020743633,0.2357780159129847,Other,-6386.853275,0.0197849999999999,8001.976500000001,0.001,-8719.84,0.6020000000000001,20180000.0,0.02134,26064.32,0.26,22239.815,1.32,-6038.885,0.02,-20577.625,1.31,-17240.339999999997,1.765,-24348.17,5.824999999999999,11813.23,0.1,12923.37,0.025,-53278.741843772455,112.4327472529852,4631.115,0.25,-2935.205,0.355,55.33500000000004,0.02,-12923.37,-11813.23,-21439.9789,-19215.4129,-22749.0699,-20522.2844,-22239.815,-26064.32,-6038.885,-9502.1865,-12923.37,-11813.23,-9588.664,-25130.5165,-17582.5251,-13721.9385,-16457.9935,-12923.37,-10698.804,-11813.23,-12958.1839,-14521.7746,-5556.001000000001,-7429.8956,-8738.432,8764.3894,6890.494900000001
13635,proton,All_or_Total,9000,All_or_Total,Other,Lab,59300000.0,260000.0,0.0168,0.000504,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (95)  ",C0779,2,No Pointer,10,"10-NE-0(P,X)9-F-18,,SIG",Cyclotron Production of PET Radionuclides: No-carrier- added Fluorine-18 with High-Energy Protons on Natural Neon Gas Targets,1995,M.C.Lagunas-Solar+,1USADAV,2001/02/04,"Jour. Physical Review Vol.169, p.836, 1968",C0779002,C0779,"(J,PR,169,836,1968)",1,1,0,20Ne,Ne,10,20,N,3.393022020743633,0.2357780159129847,Other,-6386.853275,0.0197849999999999,8001.976500000001,0.001,-8719.84,0.6020000000000001,20180000.0,0.02134,26064.32,0.26,22239.815,1.32,-6038.885,0.02,-20577.625,1.31,-17240.339999999997,1.765,-24348.17,5.824999999999999,11813.23,0.1,12923.37,0.025,-53278.741843772455,112.4327472529852,4631.115,0.25,-2935.205,0.355,55.33500000000004,0.02,-12923.37,-11813.23,-21439.9789,-19215.4129,-22749.0699,-20522.2844,-22239.815,-26064.32,-6038.885,-9502.1865,-12923.37,-11813.23,-9588.664,-25130.5165,-17582.5251,-13721.9385,-16457.9935,-12923.37,-10698.804,-11813.23,-12958.1839,-14521.7746,-5556.001000000001,-7429.8956,-8738.432,8764.3894,6890.494900000001
13636,proton,All_or_Total,9000,All_or_Total,Other,Lab,66900000.0,260000.0,0.0211,0.000633,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (95)  ",C0779,2,No Pointer,10,"10-NE-0(P,X)9-F-18,,SIG",Cyclotron Production of PET Radionuclides: No-carrier- added Fluorine-18 with High-Energy Protons on Natural Neon Gas Targets,1995,M.C.Lagunas-Solar+,1USADAV,2001/02/04,"Jour. Physical Review Vol.169, p.836, 1968",C0779002,C0779,"(J,PR,169,836,1968)",1,1,0,20Ne,Ne,10,20,N,3.393022020743633,0.2357780159129847,Other,-6386.853275,0.0197849999999999,8001.976500000001,0.001,-8719.84,0.6020000000000001,20180000.0,0.02134,26064.32,0.26,22239.815,1.32,-6038.885,0.02,-20577.625,1.31,-17240.339999999997,1.765,-24348.17,5.824999999999999,11813.23,0.1,12923.37,0.025,-53278.741843772455,112.4327472529852,4631.115,0.25,-2935.205,0.355,55.33500000000004,0.02,-12923.37,-11813.23,-21439.9789,-19215.4129,-22749.0699,-20522.2844,-22239.815,-26064.32,-6038.885,-9502.1865,-12923.37,-11813.23,-9588.664,-25130.5165,-17582.5251,-13721.9385,-16457.9935,-12923.37,-10698.804,-11813.23,-12958.1839,-14521.7746,-5556.001000000001,-7429.8956,-8738.432,8764.3894,6890.494900000001
13637,proton,All_or_Total,9000,All_or_Total,Other,Lab,156000000.0,3976507.35434668,6.6e-06,1.4e-06,0.0,0.0,Other,"I.Dostrovsky,ET.AL. (68) ",C0237,9,1,10,"10-NE-0(P,X)3-LI-9,,SIG","(p,xp) and (p,xpya) Reactions of 156-MeV Protons with Light Targets (A=11 to A=27)",1968,I.Dostrovsky+,2FR PAR,2004/08/01,"Jour. Physical Review Vol.169, p.836, 1968",C02370091,C0237,"(J,PR,169,836,1968)",1,1,0,20Ne,Ne,10,20,N,3.393022020743633,0.2357780159129847,Other,-6386.853275,0.0197849999999999,8001.976500000001,0.001,-8719.84,0.6020000000000001,20180000.0,0.02134,26064.32,0.26,22239.815,1.32,-6038.885,0.02,-20577.625,1.31,-17240.339999999997,1.765,-24348.17,5.824999999999999,11813.23,0.1,12923.37,0.025,-53278.741843772455,112.4327472529852,4631.115,0.25,-2935.205,0.355,55.33500000000004,0.02,-12923.37,-11813.23,-21439.9789,-19215.4129,-22749.0699,-20522.2844,-22239.815,-26064.32,-6038.885,-9502.1865,-12923.37,-11813.23,-9588.664,-25130.5165,-17582.5251,-13721.9385,-16457.9935,-12923.37,-10698.804,-11813.23,-12958.1839,-14521.7746,-5556.001000000001,-7429.8956,-8738.432,8764.3894,6890.494900000001
