,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
136918,proton,All_or_Total,16,All_or_Total,Approved_by_Author,Lab,10600000.0,200000.0,0.0026,0.0004,0.0,0.0,Other,"A.Morgenstern,ET.AL. (08)",D0562,2,No Pointer,91,"91-PA-231(P,2N)92-U-230,,SIG",Production of 230U/226Th for Targeted Alpha Therapy via Proton Irradiation of 231Pa,2008,A.Morgenstern+,2ZZZITU,2019/08/03,"Jour. Nuclear Physics, Section A Vol.576, p.267, 1994",D0562002,D0562,"(J,NP/A,576,267,1994)",1,1,0,231Pa,Pa,140,231,I,7.669740549577448,0.1043060055068061,Other,33424.404,1.7719999999999998,7618.425999999998,0.008,-381.611,2.033,231035882.575,1.902,12615.14,2.85,11843.47,12.24,5149.91,0.83,-2200.11,50.55,-7702.95,15.93,-6261.91,4.71,6820.52,3.18,4727.16,1.46,-8986.0,300.0,14549.63,2.57,11517.47,1.95,10176.08,2.29,-4727.16,-6820.52,-11521.4639,-9296.897900000002,-8296.394900000001,-10401.5394,-11843.47,-12615.14,5149.91,-1163.9575,-4727.16,-6820.52,-4595.9540000000015,-7044.2565,-4133.345099999999,-3803.4235000000026,-6920.6035,-4727.16,-2502.594,-6820.52,-3039.6689000000024,-4125.4296,-563.2910000000003,766.3144000000003,-400.203,13757.0994,15086.7049
136919,proton,All_or_Total,16,All_or_Total,Approved_by_Author,Lab,10600000.0,200000.0,0.0028,0.0005,0.0,0.0,Other,"A.Morgenstern,ET.AL. (08)",D0562,2,No Pointer,91,"91-PA-231(P,2N)92-U-230,,SIG",Production of 230U/226Th for Targeted Alpha Therapy via Proton Irradiation of 231Pa,2008,A.Morgenstern+,2ZZZITU,2019/08/03,"Jour. Nuclear Physics, Section A Vol.576, p.267, 1994",D0562002,D0562,"(J,NP/A,576,267,1994)",1,1,0,231Pa,Pa,140,231,I,7.669740549577448,0.1043060055068061,Other,33424.404,1.7719999999999998,7618.425999999998,0.008,-381.611,2.033,231035882.575,1.902,12615.14,2.85,11843.47,12.24,5149.91,0.83,-2200.11,50.55,-7702.95,15.93,-6261.91,4.71,6820.52,3.18,4727.16,1.46,-8986.0,300.0,14549.63,2.57,11517.47,1.95,10176.08,2.29,-4727.16,-6820.52,-11521.4639,-9296.897900000002,-8296.394900000001,-10401.5394,-11843.47,-12615.14,5149.91,-1163.9575,-4727.16,-6820.52,-4595.9540000000015,-7044.2565,-4133.345099999999,-3803.4235000000026,-6920.6035,-4727.16,-2502.594,-6820.52,-3039.6689000000024,-4125.4296,-563.2910000000003,766.3144000000003,-400.203,13757.0994,15086.7049
136920,proton,All_or_Total,16,All_or_Total,Approved_by_Author,Lab,11500000.0,200000.0,0.005,0.0008,0.0,0.0,Other,"A.Morgenstern,ET.AL. (08)",D0562,2,No Pointer,91,"91-PA-231(P,2N)92-U-230,,SIG",Production of 230U/226Th for Targeted Alpha Therapy via Proton Irradiation of 231Pa,2008,A.Morgenstern+,2ZZZITU,2019/08/03,"Jour. Nuclear Physics, Section A Vol.576, p.267, 1994",D0562002,D0562,"(J,NP/A,576,267,1994)",1,1,0,231Pa,Pa,140,231,I,7.669740549577448,0.1043060055068061,Other,33424.404,1.7719999999999998,7618.425999999998,0.008,-381.611,2.033,231035882.575,1.902,12615.14,2.85,11843.47,12.24,5149.91,0.83,-2200.11,50.55,-7702.95,15.93,-6261.91,4.71,6820.52,3.18,4727.16,1.46,-8986.0,300.0,14549.63,2.57,11517.47,1.95,10176.08,2.29,-4727.16,-6820.52,-11521.4639,-9296.897900000002,-8296.394900000001,-10401.5394,-11843.47,-12615.14,5149.91,-1163.9575,-4727.16,-6820.52,-4595.9540000000015,-7044.2565,-4133.345099999999,-3803.4235000000026,-6920.6035,-4727.16,-2502.594,-6820.52,-3039.6689000000024,-4125.4296,-563.2910000000003,766.3144000000003,-400.203,13757.0994,15086.7049
136921,proton,All_or_Total,16,All_or_Total,Approved_by_Author,Lab,11800000.0,200000.0,0.0128,0.002,0.0,0.0,Other,"A.Morgenstern,ET.AL. (08)",D0562,2,No Pointer,91,"91-PA-231(P,2N)92-U-230,,SIG",Production of 230U/226Th for Targeted Alpha Therapy via Proton Irradiation of 231Pa,2008,A.Morgenstern+,2ZZZITU,2019/08/03,"Jour. Nuclear Physics, Section A Vol.576, p.267, 1994",D0562002,D0562,"(J,NP/A,576,267,1994)",1,1,0,231Pa,Pa,140,231,I,7.669740549577448,0.1043060055068061,Other,33424.404,1.7719999999999998,7618.425999999998,0.008,-381.611,2.033,231035882.575,1.902,12615.14,2.85,11843.47,12.24,5149.91,0.83,-2200.11,50.55,-7702.95,15.93,-6261.91,4.71,6820.52,3.18,4727.16,1.46,-8986.0,300.0,14549.63,2.57,11517.47,1.95,10176.08,2.29,-4727.16,-6820.52,-11521.4639,-9296.897900000002,-8296.394900000001,-10401.5394,-11843.47,-12615.14,5149.91,-1163.9575,-4727.16,-6820.52,-4595.9540000000015,-7044.2565,-4133.345099999999,-3803.4235000000026,-6920.6035,-4727.16,-2502.594,-6820.52,-3039.6689000000024,-4125.4296,-563.2910000000003,766.3144000000003,-400.203,13757.0994,15086.7049
136922,proton,All_or_Total,16,All_or_Total,Approved_by_Author,Lab,12500000.0,200000.0,0.0139,0.0022,0.0,0.0,Other,"A.Morgenstern,ET.AL. (08)",D0562,2,No Pointer,91,"91-PA-231(P,2N)92-U-230,,SIG",Production of 230U/226Th for Targeted Alpha Therapy via Proton Irradiation of 231Pa,2008,A.Morgenstern+,2ZZZITU,2019/08/03,"Jour. Nuclear Physics, Section A Vol.576, p.267, 1994",D0562002,D0562,"(J,NP/A,576,267,1994)",1,1,0,231Pa,Pa,140,231,I,7.669740549577448,0.1043060055068061,Other,33424.404,1.7719999999999998,7618.425999999998,0.008,-381.611,2.033,231035882.575,1.902,12615.14,2.85,11843.47,12.24,5149.91,0.83,-2200.11,50.55,-7702.95,15.93,-6261.91,4.71,6820.52,3.18,4727.16,1.46,-8986.0,300.0,14549.63,2.57,11517.47,1.95,10176.08,2.29,-4727.16,-6820.52,-11521.4639,-9296.897900000002,-8296.394900000001,-10401.5394,-11843.47,-12615.14,5149.91,-1163.9575,-4727.16,-6820.52,-4595.9540000000015,-7044.2565,-4133.345099999999,-3803.4235000000026,-6920.6035,-4727.16,-2502.594,-6820.52,-3039.6689000000024,-4125.4296,-563.2910000000003,766.3144000000003,-400.203,13757.0994,15086.7049
136923,proton,All_or_Total,16,All_or_Total,Approved_by_Author,Lab,12800000.0,200000.0,0.019,0.003,0.0,0.0,Other,"A.Morgenstern,ET.AL. (08)",D0562,2,No Pointer,91,"91-PA-231(P,2N)92-U-230,,SIG",Production of 230U/226Th for Targeted Alpha Therapy via Proton Irradiation of 231Pa,2008,A.Morgenstern+,2ZZZITU,2019/08/03,"Jour. Nuclear Physics, Section A Vol.576, p.267, 1994",D0562002,D0562,"(J,NP/A,576,267,1994)",1,1,0,231Pa,Pa,140,231,I,7.669740549577448,0.1043060055068061,Other,33424.404,1.7719999999999998,7618.425999999998,0.008,-381.611,2.033,231035882.575,1.902,12615.14,2.85,11843.47,12.24,5149.91,0.83,-2200.11,50.55,-7702.95,15.93,-6261.91,4.71,6820.52,3.18,4727.16,1.46,-8986.0,300.0,14549.63,2.57,11517.47,1.95,10176.08,2.29,-4727.16,-6820.52,-11521.4639,-9296.897900000002,-8296.394900000001,-10401.5394,-11843.47,-12615.14,5149.91,-1163.9575,-4727.16,-6820.52,-4595.9540000000015,-7044.2565,-4133.345099999999,-3803.4235000000026,-6920.6035,-4727.16,-2502.594,-6820.52,-3039.6689000000024,-4125.4296,-563.2910000000003,766.3144000000003,-400.203,13757.0994,15086.7049
136924,proton,All_or_Total,16,All_or_Total,Approved_by_Author,Lab,13500000.0,200000.0,0.0236,0.0038,0.0,0.0,Other,"A.Morgenstern,ET.AL. (08)",D0562,2,No Pointer,91,"91-PA-231(P,2N)92-U-230,,SIG",Production of 230U/226Th for Targeted Alpha Therapy via Proton Irradiation of 231Pa,2008,A.Morgenstern+,2ZZZITU,2019/08/03,"Jour. Nuclear Physics, Section A Vol.576, p.267, 1994",D0562002,D0562,"(J,NP/A,576,267,1994)",1,1,0,231Pa,Pa,140,231,I,7.669740549577448,0.1043060055068061,Other,33424.404,1.7719999999999998,7618.425999999998,0.008,-381.611,2.033,231035882.575,1.902,12615.14,2.85,11843.47,12.24,5149.91,0.83,-2200.11,50.55,-7702.95,15.93,-6261.91,4.71,6820.52,3.18,4727.16,1.46,-8986.0,300.0,14549.63,2.57,11517.47,1.95,10176.08,2.29,-4727.16,-6820.52,-11521.4639,-9296.897900000002,-8296.394900000001,-10401.5394,-11843.47,-12615.14,5149.91,-1163.9575,-4727.16,-6820.52,-4595.9540000000015,-7044.2565,-4133.345099999999,-3803.4235000000026,-6920.6035,-4727.16,-2502.594,-6820.52,-3039.6689000000024,-4125.4296,-563.2910000000003,766.3144000000003,-400.203,13757.0994,15086.7049
136925,proton,All_or_Total,16,All_or_Total,Approved_by_Author,Lab,13600000.0,200000.0,0.0319,0.0051,0.0,0.0,Other,"A.Morgenstern,ET.AL. (08)",D0562,2,No Pointer,91,"91-PA-231(P,2N)92-U-230,,SIG",Production of 230U/226Th for Targeted Alpha Therapy via Proton Irradiation of 231Pa,2008,A.Morgenstern+,2ZZZITU,2019/08/03,"Jour. Nuclear Physics, Section A Vol.576, p.267, 1994",D0562002,D0562,"(J,NP/A,576,267,1994)",1,1,0,231Pa,Pa,140,231,I,7.669740549577448,0.1043060055068061,Other,33424.404,1.7719999999999998,7618.425999999998,0.008,-381.611,2.033,231035882.575,1.902,12615.14,2.85,11843.47,12.24,5149.91,0.83,-2200.11,50.55,-7702.95,15.93,-6261.91,4.71,6820.52,3.18,4727.16,1.46,-8986.0,300.0,14549.63,2.57,11517.47,1.95,10176.08,2.29,-4727.16,-6820.52,-11521.4639,-9296.897900000002,-8296.394900000001,-10401.5394,-11843.47,-12615.14,5149.91,-1163.9575,-4727.16,-6820.52,-4595.9540000000015,-7044.2565,-4133.345099999999,-3803.4235000000026,-6920.6035,-4727.16,-2502.594,-6820.52,-3039.6689000000024,-4125.4296,-563.2910000000003,766.3144000000003,-400.203,13757.0994,15086.7049
136926,proton,All_or_Total,16,All_or_Total,Approved_by_Author,Lab,14600000.0,200000.0,0.0332,0.0053,0.0,0.0,Other,"A.Morgenstern,ET.AL. (08)",D0562,2,No Pointer,91,"91-PA-231(P,2N)92-U-230,,SIG",Production of 230U/226Th for Targeted Alpha Therapy via Proton Irradiation of 231Pa,2008,A.Morgenstern+,2ZZZITU,2019/08/03,"Jour. Nuclear Physics, Section A Vol.576, p.267, 1994",D0562002,D0562,"(J,NP/A,576,267,1994)",1,1,0,231Pa,Pa,140,231,I,7.669740549577448,0.1043060055068061,Other,33424.404,1.7719999999999998,7618.425999999998,0.008,-381.611,2.033,231035882.575,1.902,12615.14,2.85,11843.47,12.24,5149.91,0.83,-2200.11,50.55,-7702.95,15.93,-6261.91,4.71,6820.52,3.18,4727.16,1.46,-8986.0,300.0,14549.63,2.57,11517.47,1.95,10176.08,2.29,-4727.16,-6820.52,-11521.4639,-9296.897900000002,-8296.394900000001,-10401.5394,-11843.47,-12615.14,5149.91,-1163.9575,-4727.16,-6820.52,-4595.9540000000015,-7044.2565,-4133.345099999999,-3803.4235000000026,-6920.6035,-4727.16,-2502.594,-6820.52,-3039.6689000000024,-4125.4296,-563.2910000000003,766.3144000000003,-400.203,13757.0994,15086.7049
136927,proton,All_or_Total,16,All_or_Total,Approved_by_Author,Lab,14700000.0,200000.0,0.027,0.0043,0.0,0.0,Other,"A.Morgenstern,ET.AL. (08)",D0562,2,No Pointer,91,"91-PA-231(P,2N)92-U-230,,SIG",Production of 230U/226Th for Targeted Alpha Therapy via Proton Irradiation of 231Pa,2008,A.Morgenstern+,2ZZZITU,2019/08/03,"Jour. Nuclear Physics, Section A Vol.576, p.267, 1994",D0562002,D0562,"(J,NP/A,576,267,1994)",1,1,0,231Pa,Pa,140,231,I,7.669740549577448,0.1043060055068061,Other,33424.404,1.7719999999999998,7618.425999999998,0.008,-381.611,2.033,231035882.575,1.902,12615.14,2.85,11843.47,12.24,5149.91,0.83,-2200.11,50.55,-7702.95,15.93,-6261.91,4.71,6820.52,3.18,4727.16,1.46,-8986.0,300.0,14549.63,2.57,11517.47,1.95,10176.08,2.29,-4727.16,-6820.52,-11521.4639,-9296.897900000002,-8296.394900000001,-10401.5394,-11843.47,-12615.14,5149.91,-1163.9575,-4727.16,-6820.52,-4595.9540000000015,-7044.2565,-4133.345099999999,-3803.4235000000026,-6920.6035,-4727.16,-2502.594,-6820.52,-3039.6689000000024,-4125.4296,-563.2910000000003,766.3144000000003,-400.203,13757.0994,15086.7049
