,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
137430,proton,All_or_Total,16,All_or_Total,Other,Lab,13000000.0,304674.93677669764,2e-08,2.5936062286047995e-09,0.0,0.0,Other,"N.L.Lark,ET.AL. (69)     ",O2328,4,No Pointer,92,"92-U-234(P,2N)93-NP-233,,SIG","Spontaneously fissioning isomers in U, Np, Pu and Am isotopes",1969,N.L.Lark+,2DENNBI,2019/12/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.10, p.231, 1974",O2328004,O2328,"(J,PR/C,10,231,197407)",1,1,0,234U,U,142,234,I,7.702800184686297,0.1038583347378601,Other,38145.025,1.13,7600.715,0.005,-1809.846,8.321,234040950.37,1.213,12607.14,1.57,11879.7,0.92,4857.52,0.68,-2204.95,6.81,-7875.66,0.93,-7874.88,50.97,6845.47,2.0,6633.42,0.82,-8579.61,17.42,12909.2,7.59,9584.68,1.48,9975.54,0.69,-6633.42,-6845.47,-13161.8939,-10937.3279,-10229.1849,-10602.0794,-11879.7,-12607.14,4857.52,-2592.1925,-6633.42,-6845.47,-4620.904,-8657.2265,-4125.345099999999,-5443.853500000001,-7093.3135,-6633.42,-4408.854,-6845.47,-4680.098900000001,-4161.659600000001,-588.241,-1139.9456,-1828.438,13732.149399999998,13180.4449
137431,proton,All_or_Total,18,All_or_Total,Dependent,Lab,5000000.0,103906.667475207,3.5158e-06,4.5e-07,0.0,0.0,Other,"J.R.Boyce,ET.AL. (74)    ",T0296,5,No Pointer,92,"92-U-234(P,F),,SIG",Absolute cross sections for proton-induced fission of the uranium isotopes.,1974,J.R.Boyce+,1USADKE,2004/07/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.5, p.1380, 1972",T0296005,T0296,"(J,PR/C,5,1380,1972)",1,1,0,234U,U,142,234,I,7.702800184686297,0.1038583347378601,Other,38145.025,1.13,7600.715,0.005,-1809.846,8.321,234040950.37,1.213,12607.14,1.57,11879.7,0.92,4857.52,0.68,-2204.95,6.81,-7875.66,0.93,-7874.88,50.97,6845.47,2.0,6633.42,0.82,-8579.61,17.42,12909.2,7.59,9584.68,1.48,9975.54,0.69,-6633.42,-6845.47,-13161.8939,-10937.3279,-10229.1849,-10602.0794,-11879.7,-12607.14,4857.52,-2592.1925,-6633.42,-6845.47,-4620.904,-8657.2265,-4125.345099999999,-5443.853500000001,-7093.3135,-6633.42,-4408.854,-6845.47,-4680.098900000001,-4161.659600000001,-588.241,-1139.9456,-1828.438,13732.149399999998,13180.4449
137432,proton,All_or_Total,18,All_or_Total,Dependent,Lab,5250000.0,109102.00084896736,8.506e-06,7e-07,0.0,0.0,Other,"J.R.Boyce,ET.AL. (74)    ",T0296,5,No Pointer,92,"92-U-234(P,F),,SIG",Absolute cross sections for proton-induced fission of the uranium isotopes.,1974,J.R.Boyce+,1USADKE,2004/07/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.5, p.1380, 1972",T0296005,T0296,"(J,PR/C,5,1380,1972)",1,1,0,234U,U,142,234,I,7.702800184686297,0.1038583347378601,Other,38145.025,1.13,7600.715,0.005,-1809.846,8.321,234040950.37,1.213,12607.14,1.57,11879.7,0.92,4857.52,0.68,-2204.95,6.81,-7875.66,0.93,-7874.88,50.97,6845.47,2.0,6633.42,0.82,-8579.61,17.42,12909.2,7.59,9584.68,1.48,9975.54,0.69,-6633.42,-6845.47,-13161.8939,-10937.3279,-10229.1849,-10602.0794,-11879.7,-12607.14,4857.52,-2592.1925,-6633.42,-6845.47,-4620.904,-8657.2265,-4125.345099999999,-5443.853500000001,-7093.3135,-6633.42,-4408.854,-6845.47,-4680.098900000001,-4161.659600000001,-588.241,-1139.9456,-1828.438,13732.149399999998,13180.4449
137433,proton,All_or_Total,18,All_or_Total,Dependent,Lab,5500000.0,114297.33422272772,2.0075e-05,1.4e-06,0.0,0.0,Other,"J.R.Boyce,ET.AL. (74)    ",T0296,5,No Pointer,92,"92-U-234(P,F),,SIG",Absolute cross sections for proton-induced fission of the uranium isotopes.,1974,J.R.Boyce+,1USADKE,2004/07/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.5, p.1380, 1972",T0296005,T0296,"(J,PR/C,5,1380,1972)",1,1,0,234U,U,142,234,I,7.702800184686297,0.1038583347378601,Other,38145.025,1.13,7600.715,0.005,-1809.846,8.321,234040950.37,1.213,12607.14,1.57,11879.7,0.92,4857.52,0.68,-2204.95,6.81,-7875.66,0.93,-7874.88,50.97,6845.47,2.0,6633.42,0.82,-8579.61,17.42,12909.2,7.59,9584.68,1.48,9975.54,0.69,-6633.42,-6845.47,-13161.8939,-10937.3279,-10229.1849,-10602.0794,-11879.7,-12607.14,4857.52,-2592.1925,-6633.42,-6845.47,-4620.904,-8657.2265,-4125.345099999999,-5443.853500000001,-7093.3135,-6633.42,-4408.854,-6845.47,-4680.098900000001,-4161.659600000001,-588.241,-1139.9456,-1828.438,13732.149399999998,13180.4449
137434,proton,All_or_Total,18,All_or_Total,Dependent,Lab,5750000.0,119492.66759648809,3.8944e-05,2.2e-06,0.0,0.0,Other,"J.R.Boyce,ET.AL. (74)    ",T0296,5,No Pointer,92,"92-U-234(P,F),,SIG",Absolute cross sections for proton-induced fission of the uranium isotopes.,1974,J.R.Boyce+,1USADKE,2004/07/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.5, p.1380, 1972",T0296005,T0296,"(J,PR/C,5,1380,1972)",1,1,0,234U,U,142,234,I,7.702800184686297,0.1038583347378601,Other,38145.025,1.13,7600.715,0.005,-1809.846,8.321,234040950.37,1.213,12607.14,1.57,11879.7,0.92,4857.52,0.68,-2204.95,6.81,-7875.66,0.93,-7874.88,50.97,6845.47,2.0,6633.42,0.82,-8579.61,17.42,12909.2,7.59,9584.68,1.48,9975.54,0.69,-6633.42,-6845.47,-13161.8939,-10937.3279,-10229.1849,-10602.0794,-11879.7,-12607.14,4857.52,-2592.1925,-6633.42,-6845.47,-4620.904,-8657.2265,-4125.345099999999,-5443.853500000001,-7093.3135,-6633.42,-4408.854,-6845.47,-4680.098900000001,-4161.659600000001,-588.241,-1139.9456,-1828.438,13732.149399999998,13180.4449
137435,proton,All_or_Total,18,All_or_Total,Dependent,Lab,6000000.0,124688.0009702484,7.6739e-05,3.1e-06,0.0,0.0,Other,"J.R.Boyce,ET.AL. (74)    ",T0296,5,No Pointer,92,"92-U-234(P,F),,SIG",Absolute cross sections for proton-induced fission of the uranium isotopes.,1974,J.R.Boyce+,1USADKE,2004/07/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.5, p.1380, 1972",T0296005,T0296,"(J,PR/C,5,1380,1972)",1,1,0,234U,U,142,234,I,7.702800184686297,0.1038583347378601,Other,38145.025,1.13,7600.715,0.005,-1809.846,8.321,234040950.37,1.213,12607.14,1.57,11879.7,0.92,4857.52,0.68,-2204.95,6.81,-7875.66,0.93,-7874.88,50.97,6845.47,2.0,6633.42,0.82,-8579.61,17.42,12909.2,7.59,9584.68,1.48,9975.54,0.69,-6633.42,-6845.47,-13161.8939,-10937.3279,-10229.1849,-10602.0794,-11879.7,-12607.14,4857.52,-2592.1925,-6633.42,-6845.47,-4620.904,-8657.2265,-4125.345099999999,-5443.853500000001,-7093.3135,-6633.42,-4408.854,-6845.47,-4680.098900000001,-4161.659600000001,-588.241,-1139.9456,-1828.438,13732.149399999998,13180.4449
137436,proton,All_or_Total,18,All_or_Total,Dependent,Lab,6250000.0,129883.33434400876,0.0001505,4.3e-06,0.0,0.0,Other,"J.R.Boyce,ET.AL. (74)    ",T0296,5,No Pointer,92,"92-U-234(P,F),,SIG",Absolute cross sections for proton-induced fission of the uranium isotopes.,1974,J.R.Boyce+,1USADKE,2004/07/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.5, p.1380, 1972",T0296005,T0296,"(J,PR/C,5,1380,1972)",1,1,0,234U,U,142,234,I,7.702800184686297,0.1038583347378601,Other,38145.025,1.13,7600.715,0.005,-1809.846,8.321,234040950.37,1.213,12607.14,1.57,11879.7,0.92,4857.52,0.68,-2204.95,6.81,-7875.66,0.93,-7874.88,50.97,6845.47,2.0,6633.42,0.82,-8579.61,17.42,12909.2,7.59,9584.68,1.48,9975.54,0.69,-6633.42,-6845.47,-13161.8939,-10937.3279,-10229.1849,-10602.0794,-11879.7,-12607.14,4857.52,-2592.1925,-6633.42,-6845.47,-4620.904,-8657.2265,-4125.345099999999,-5443.853500000001,-7093.3135,-6633.42,-4408.854,-6845.47,-4680.098900000001,-4161.659600000001,-588.241,-1139.9456,-1828.438,13732.149399999998,13180.4449
137437,proton,All_or_Total,18,All_or_Total,Dependent,Lab,6500000.0,135078.66771776913,0.00026632,8.2e-06,0.0,0.0,Other,"J.R.Boyce,ET.AL. (74)    ",T0296,5,No Pointer,92,"92-U-234(P,F),,SIG",Absolute cross sections for proton-induced fission of the uranium isotopes.,1974,J.R.Boyce+,1USADKE,2004/07/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.5, p.1380, 1972",T0296005,T0296,"(J,PR/C,5,1380,1972)",1,1,0,234U,U,142,234,I,7.702800184686297,0.1038583347378601,Other,38145.025,1.13,7600.715,0.005,-1809.846,8.321,234040950.37,1.213,12607.14,1.57,11879.7,0.92,4857.52,0.68,-2204.95,6.81,-7875.66,0.93,-7874.88,50.97,6845.47,2.0,6633.42,0.82,-8579.61,17.42,12909.2,7.59,9584.68,1.48,9975.54,0.69,-6633.42,-6845.47,-13161.8939,-10937.3279,-10229.1849,-10602.0794,-11879.7,-12607.14,4857.52,-2592.1925,-6633.42,-6845.47,-4620.904,-8657.2265,-4125.345099999999,-5443.853500000001,-7093.3135,-6633.42,-4408.854,-6845.47,-4680.098900000001,-4161.659600000001,-588.241,-1139.9456,-1828.438,13732.149399999998,13180.4449
137438,proton,All_or_Total,18,All_or_Total,Dependent,Lab,6750000.0,140274.00109152947,0.0004511,1.7e-05,0.0,0.0,Other,"J.R.Boyce,ET.AL. (74)    ",T0296,5,No Pointer,92,"92-U-234(P,F),,SIG",Absolute cross sections for proton-induced fission of the uranium isotopes.,1974,J.R.Boyce+,1USADKE,2004/07/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.5, p.1380, 1972",T0296005,T0296,"(J,PR/C,5,1380,1972)",1,1,0,234U,U,142,234,I,7.702800184686297,0.1038583347378601,Other,38145.025,1.13,7600.715,0.005,-1809.846,8.321,234040950.37,1.213,12607.14,1.57,11879.7,0.92,4857.52,0.68,-2204.95,6.81,-7875.66,0.93,-7874.88,50.97,6845.47,2.0,6633.42,0.82,-8579.61,17.42,12909.2,7.59,9584.68,1.48,9975.54,0.69,-6633.42,-6845.47,-13161.8939,-10937.3279,-10229.1849,-10602.0794,-11879.7,-12607.14,4857.52,-2592.1925,-6633.42,-6845.47,-4620.904,-8657.2265,-4125.345099999999,-5443.853500000001,-7093.3135,-6633.42,-4408.854,-6845.47,-4680.098900000001,-4161.659600000001,-588.241,-1139.9456,-1828.438,13732.149399999998,13180.4449
137439,proton,All_or_Total,18,All_or_Total,Dependent,Lab,7000000.0,145469.3344652898,0.00076504,1.7e-05,0.0,0.0,Other,"J.R.Boyce,ET.AL. (74)    ",T0296,5,No Pointer,92,"92-U-234(P,F),,SIG",Absolute cross sections for proton-induced fission of the uranium isotopes.,1974,J.R.Boyce+,1USADKE,2004/07/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.5, p.1380, 1972",T0296005,T0296,"(J,PR/C,5,1380,1972)",1,1,0,234U,U,142,234,I,7.702800184686297,0.1038583347378601,Other,38145.025,1.13,7600.715,0.005,-1809.846,8.321,234040950.37,1.213,12607.14,1.57,11879.7,0.92,4857.52,0.68,-2204.95,6.81,-7875.66,0.93,-7874.88,50.97,6845.47,2.0,6633.42,0.82,-8579.61,17.42,12909.2,7.59,9584.68,1.48,9975.54,0.69,-6633.42,-6845.47,-13161.8939,-10937.3279,-10229.1849,-10602.0794,-11879.7,-12607.14,4857.52,-2592.1925,-6633.42,-6845.47,-4620.904,-8657.2265,-4125.345099999999,-5443.853500000001,-7093.3135,-6633.42,-4408.854,-6845.47,-4680.098900000001,-4161.659600000001,-588.241,-1139.9456,-1828.438,13732.149399999998,13180.4449
