,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
139043,proton,All_or_Total,16,All_or_Total,Dependent,Lab,8000000.0,187492.26878566007,1.73e-06,2.2434693877431517e-07,0.0,0.0,Other,"V.METAG,ET.AL. (73)      ",B0007,2,1,95,"95-AM-241(P,2N)96-CM-240,,SIG,,,EXP",Neutron-Fission Competition Near Threshold --- The Influence of Shells and Pairing on the Decay of The Cm-241 Compound Nucleus.,1973,V.Metag+,2DENCOP,2001/12/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.44, p.1405, 1991",B00070021,B0007,"(J,PR/C,44,1405,1991)",1,1,0,241Am,Am,146,241,I,7.778855316507572,0.1028428949311235,Other,52934.395,1.114,7543.278,0.005,-767.434,1.168,241056827.413,1.195,12598.66,1.68,10954.6,0.97,5637.82,0.12,-3097.0,200.0,-6670.85,17.02,-6861.23,1.74,6647.09,13.79,4479.96,0.17,-10929.0,225.0,15056.92,0.29,11635.24,0.39,11126.14,0.23,-4479.96,-6647.09,-11014.1739,-8789.6079,-8178.624900000002,-9451.4794,-10954.6,-12598.66,5637.82,-1549.7804999999996,-4479.96,-6647.09,-4422.524,-7643.576499999999,-4116.865099999999,-3296.1335000000013,-5888.503500000002,-4479.96,-2255.394,-6647.09,-2532.378900000001,-3236.5596000000005,-389.8609999999998,1013.5144,-786.0260000000001,13930.5294,15333.9049
139044,proton,All_or_Total,16,All_or_Total,Dependent,Lab,8200000.0,192179.5755053016,7.6e-06,9.85570366869824e-07,0.0,0.0,Other,"V.METAG,ET.AL. (73)      ",B0007,2,1,95,"95-AM-241(P,2N)96-CM-240,,SIG,,,EXP",Neutron-Fission Competition Near Threshold --- The Influence of Shells and Pairing on the Decay of The Cm-241 Compound Nucleus.,1973,V.Metag+,2DENCOP,2001/12/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.44, p.1405, 1991",B00070021,B0007,"(J,PR/C,44,1405,1991)",1,1,0,241Am,Am,146,241,I,7.778855316507572,0.1028428949311235,Other,52934.395,1.114,7543.278,0.005,-767.434,1.168,241056827.413,1.195,12598.66,1.68,10954.6,0.97,5637.82,0.12,-3097.0,200.0,-6670.85,17.02,-6861.23,1.74,6647.09,13.79,4479.96,0.17,-10929.0,225.0,15056.92,0.29,11635.24,0.39,11126.14,0.23,-4479.96,-6647.09,-11014.1739,-8789.6079,-8178.624900000002,-9451.4794,-10954.6,-12598.66,5637.82,-1549.7804999999996,-4479.96,-6647.09,-4422.524,-7643.576499999999,-4116.865099999999,-3296.1335000000013,-5888.503500000002,-4479.96,-2255.394,-6647.09,-2532.378900000001,-3236.5596000000005,-389.8609999999998,1013.5144,-786.0260000000001,13930.5294,15333.9049
139045,proton,All_or_Total,16,All_or_Total,Dependent,Lab,8500000.0,199210.53558476383,3.54e-05,4.590683024630495e-06,0.0,0.0,Other,"V.METAG,ET.AL. (73)      ",B0007,2,1,95,"95-AM-241(P,2N)96-CM-240,,SIG,,,EXP",Neutron-Fission Competition Near Threshold --- The Influence of Shells and Pairing on the Decay of The Cm-241 Compound Nucleus.,1973,V.Metag+,2DENCOP,2001/12/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.44, p.1405, 1991",B00070021,B0007,"(J,PR/C,44,1405,1991)",1,1,0,241Am,Am,146,241,I,7.778855316507572,0.1028428949311235,Other,52934.395,1.114,7543.278,0.005,-767.434,1.168,241056827.413,1.195,12598.66,1.68,10954.6,0.97,5637.82,0.12,-3097.0,200.0,-6670.85,17.02,-6861.23,1.74,6647.09,13.79,4479.96,0.17,-10929.0,225.0,15056.92,0.29,11635.24,0.39,11126.14,0.23,-4479.96,-6647.09,-11014.1739,-8789.6079,-8178.624900000002,-9451.4794,-10954.6,-12598.66,5637.82,-1549.7804999999996,-4479.96,-6647.09,-4422.524,-7643.576499999999,-4116.865099999999,-3296.1335000000013,-5888.503500000002,-4479.96,-2255.394,-6647.09,-2532.378900000001,-3236.5596000000005,-389.8609999999998,1013.5144,-786.0260000000001,13930.5294,15333.9049
139046,proton,All_or_Total,16,All_or_Total,Dependent,Lab,9000000.0,210928.8023838676,8.16e-05,1.0581913412707584e-05,0.0,0.0,Other,"V.METAG,ET.AL. (73)      ",B0007,2,1,95,"95-AM-241(P,2N)96-CM-240,,SIG,,,EXP",Neutron-Fission Competition Near Threshold --- The Influence of Shells and Pairing on the Decay of The Cm-241 Compound Nucleus.,1973,V.Metag+,2DENCOP,2001/12/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.44, p.1405, 1991",B00070021,B0007,"(J,PR/C,44,1405,1991)",1,1,0,241Am,Am,146,241,I,7.778855316507572,0.1028428949311235,Other,52934.395,1.114,7543.278,0.005,-767.434,1.168,241056827.413,1.195,12598.66,1.68,10954.6,0.97,5637.82,0.12,-3097.0,200.0,-6670.85,17.02,-6861.23,1.74,6647.09,13.79,4479.96,0.17,-10929.0,225.0,15056.92,0.29,11635.24,0.39,11126.14,0.23,-4479.96,-6647.09,-11014.1739,-8789.6079,-8178.624900000002,-9451.4794,-10954.6,-12598.66,5637.82,-1549.7804999999996,-4479.96,-6647.09,-4422.524,-7643.576499999999,-4116.865099999999,-3296.1335000000013,-5888.503500000002,-4479.96,-2255.394,-6647.09,-2532.378900000001,-3236.5596000000005,-389.8609999999998,1013.5144,-786.0260000000001,13930.5294,15333.9049
139047,proton,All_or_Total,16,All_or_Total,Dependent,Lab,9500000.0,222647.06918297132,0.00025,3.242007785756e-05,0.0,0.0,Other,"V.METAG,ET.AL. (73)      ",B0007,2,1,95,"95-AM-241(P,2N)96-CM-240,,SIG,,,EXP",Neutron-Fission Competition Near Threshold --- The Influence of Shells and Pairing on the Decay of The Cm-241 Compound Nucleus.,1973,V.Metag+,2DENCOP,2001/12/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.44, p.1405, 1991",B00070021,B0007,"(J,PR/C,44,1405,1991)",1,1,0,241Am,Am,146,241,I,7.778855316507572,0.1028428949311235,Other,52934.395,1.114,7543.278,0.005,-767.434,1.168,241056827.413,1.195,12598.66,1.68,10954.6,0.97,5637.82,0.12,-3097.0,200.0,-6670.85,17.02,-6861.23,1.74,6647.09,13.79,4479.96,0.17,-10929.0,225.0,15056.92,0.29,11635.24,0.39,11126.14,0.23,-4479.96,-6647.09,-11014.1739,-8789.6079,-8178.624900000002,-9451.4794,-10954.6,-12598.66,5637.82,-1549.7804999999996,-4479.96,-6647.09,-4422.524,-7643.576499999999,-4116.865099999999,-3296.1335000000013,-5888.503500000002,-4479.96,-2255.394,-6647.09,-2532.378900000001,-3236.5596000000005,-389.8609999999998,1013.5144,-786.0260000000001,13930.5294,15333.9049
139048,proton,All_or_Total,16,All_or_Total,Dependent,Lab,10000000.0,234365.3359820751,0.000447,5.796709920931727e-05,0.0,0.0,Other,"V.METAG,ET.AL. (73)      ",B0007,2,1,95,"95-AM-241(P,2N)96-CM-240,,SIG,,,EXP",Neutron-Fission Competition Near Threshold --- The Influence of Shells and Pairing on the Decay of The Cm-241 Compound Nucleus.,1973,V.Metag+,2DENCOP,2001/12/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.44, p.1405, 1991",B00070021,B0007,"(J,PR/C,44,1405,1991)",1,1,0,241Am,Am,146,241,I,7.778855316507572,0.1028428949311235,Other,52934.395,1.114,7543.278,0.005,-767.434,1.168,241056827.413,1.195,12598.66,1.68,10954.6,0.97,5637.82,0.12,-3097.0,200.0,-6670.85,17.02,-6861.23,1.74,6647.09,13.79,4479.96,0.17,-10929.0,225.0,15056.92,0.29,11635.24,0.39,11126.14,0.23,-4479.96,-6647.09,-11014.1739,-8789.6079,-8178.624900000002,-9451.4794,-10954.6,-12598.66,5637.82,-1549.7804999999996,-4479.96,-6647.09,-4422.524,-7643.576499999999,-4116.865099999999,-3296.1335000000013,-5888.503500000002,-4479.96,-2255.394,-6647.09,-2532.378900000001,-3236.5596000000005,-389.8609999999998,1013.5144,-786.0260000000001,13930.5294,15333.9049
139049,proton,All_or_Total,16,All_or_Total,Dependent,Lab,10500000.0,246083.60278117887,0.000781,0.000101280323227,0.0,0.0,Other,"V.METAG,ET.AL. (73)      ",B0007,2,1,95,"95-AM-241(P,2N)96-CM-240,,SIG,,,EXP",Neutron-Fission Competition Near Threshold --- The Influence of Shells and Pairing on the Decay of The Cm-241 Compound Nucleus.,1973,V.Metag+,2DENCOP,2001/12/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.44, p.1405, 1991",B00070021,B0007,"(J,PR/C,44,1405,1991)",1,1,0,241Am,Am,146,241,I,7.778855316507572,0.1028428949311235,Other,52934.395,1.114,7543.278,0.005,-767.434,1.168,241056827.413,1.195,12598.66,1.68,10954.6,0.97,5637.82,0.12,-3097.0,200.0,-6670.85,17.02,-6861.23,1.74,6647.09,13.79,4479.96,0.17,-10929.0,225.0,15056.92,0.29,11635.24,0.39,11126.14,0.23,-4479.96,-6647.09,-11014.1739,-8789.6079,-8178.624900000002,-9451.4794,-10954.6,-12598.66,5637.82,-1549.7804999999996,-4479.96,-6647.09,-4422.524,-7643.576499999999,-4116.865099999999,-3296.1335000000013,-5888.503500000002,-4479.96,-2255.394,-6647.09,-2532.378900000001,-3236.5596000000005,-389.8609999999998,1013.5144,-786.0260000000001,13930.5294,15333.9049
139050,proton,All_or_Total,16,All_or_Total,Dependent,Lab,11000000.0,257801.86958028263,0.00159,0.000206191695174,0.0,0.0,Other,"V.METAG,ET.AL. (73)      ",B0007,2,1,95,"95-AM-241(P,2N)96-CM-240,,SIG,,,EXP",Neutron-Fission Competition Near Threshold --- The Influence of Shells and Pairing on the Decay of The Cm-241 Compound Nucleus.,1973,V.Metag+,2DENCOP,2001/12/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.44, p.1405, 1991",B00070021,B0007,"(J,PR/C,44,1405,1991)",1,1,0,241Am,Am,146,241,I,7.778855316507572,0.1028428949311235,Other,52934.395,1.114,7543.278,0.005,-767.434,1.168,241056827.413,1.195,12598.66,1.68,10954.6,0.97,5637.82,0.12,-3097.0,200.0,-6670.85,17.02,-6861.23,1.74,6647.09,13.79,4479.96,0.17,-10929.0,225.0,15056.92,0.29,11635.24,0.39,11126.14,0.23,-4479.96,-6647.09,-11014.1739,-8789.6079,-8178.624900000002,-9451.4794,-10954.6,-12598.66,5637.82,-1549.7804999999996,-4479.96,-6647.09,-4422.524,-7643.576499999999,-4116.865099999999,-3296.1335000000013,-5888.503500000002,-4479.96,-2255.394,-6647.09,-2532.378900000001,-3236.5596000000005,-389.8609999999998,1013.5144,-786.0260000000001,13930.5294,15333.9049
139051,proton,All_or_Total,16,All_or_Total,Dependent,Lab,11500000.0,269520.1363793864,0.00207,0.0002684382446605,0.0,0.0,Other,"V.METAG,ET.AL. (73)      ",B0007,2,1,95,"95-AM-241(P,2N)96-CM-240,,SIG,,,EXP",Neutron-Fission Competition Near Threshold --- The Influence of Shells and Pairing on the Decay of The Cm-241 Compound Nucleus.,1973,V.Metag+,2DENCOP,2001/12/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.44, p.1405, 1991",B00070021,B0007,"(J,PR/C,44,1405,1991)",1,1,0,241Am,Am,146,241,I,7.778855316507572,0.1028428949311235,Other,52934.395,1.114,7543.278,0.005,-767.434,1.168,241056827.413,1.195,12598.66,1.68,10954.6,0.97,5637.82,0.12,-3097.0,200.0,-6670.85,17.02,-6861.23,1.74,6647.09,13.79,4479.96,0.17,-10929.0,225.0,15056.92,0.29,11635.24,0.39,11126.14,0.23,-4479.96,-6647.09,-11014.1739,-8789.6079,-8178.624900000002,-9451.4794,-10954.6,-12598.66,5637.82,-1549.7804999999996,-4479.96,-6647.09,-4422.524,-7643.576499999999,-4116.865099999999,-3296.1335000000013,-5888.503500000002,-4479.96,-2255.394,-6647.09,-2532.378900000001,-3236.5596000000005,-389.8609999999998,1013.5144,-786.0260000000001,13930.5294,15333.9049
139052,proton,All_or_Total,16,All_or_Total,Dependent,Lab,12000000.0,281238.4031784901,0.00338,0.0004383194526342,0.0,0.0,Other,"V.METAG,ET.AL. (73)      ",B0007,2,1,95,"95-AM-241(P,2N)96-CM-240,,SIG,,,EXP",Neutron-Fission Competition Near Threshold --- The Influence of Shells and Pairing on the Decay of The Cm-241 Compound Nucleus.,1973,V.Metag+,2DENCOP,2001/12/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.44, p.1405, 1991",B00070021,B0007,"(J,PR/C,44,1405,1991)",1,1,0,241Am,Am,146,241,I,7.778855316507572,0.1028428949311235,Other,52934.395,1.114,7543.278,0.005,-767.434,1.168,241056827.413,1.195,12598.66,1.68,10954.6,0.97,5637.82,0.12,-3097.0,200.0,-6670.85,17.02,-6861.23,1.74,6647.09,13.79,4479.96,0.17,-10929.0,225.0,15056.92,0.29,11635.24,0.39,11126.14,0.23,-4479.96,-6647.09,-11014.1739,-8789.6079,-8178.624900000002,-9451.4794,-10954.6,-12598.66,5637.82,-1549.7804999999996,-4479.96,-6647.09,-4422.524,-7643.576499999999,-4116.865099999999,-3296.1335000000013,-5888.503500000002,-4479.96,-2255.394,-6647.09,-2532.378900000001,-3236.5596000000005,-389.8609999999998,1013.5144,-786.0260000000001,13930.5294,15333.9049
