,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
16253,proton,All_or_Total,4,All_or_Total,Other,Lab,5066500.0,124408.98494867596,0.00037109,3.7295482455967234e-05,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",D0095,7,No Pointer,12,"12-MG-25(P,N)13-AL-25,,SIG","Excitation functions of the (p,n) reaction for light elements",1951,J.P.Blaser+,2SWTZUR,2004/04/04,"Jour. Canadian Journal of Physics Vol.58, p.697, 1980",D0095007,D0095,"(J,CJP,58,697,1980)",1,1,0,25Mg,Mg,13,25,I,3.6550221727660825,0.2188769211746172,Other,-13192.783,0.047,8223.502,0.002,-4276.808,0.045,24985836.964,0.05,23861.9,0.17,22616.68,0.11,-9885.92,0.06,-17020.11,10.0,-14530.11,0.51,-21215.23,0.24,7330.53,0.05,12063.85,0.05,-39863.216883839865,96.91971428591695,7047.88,0.05,-3147.22,0.18,478.34,0.05,-12063.85,-7330.53,-19023.2139,-16798.6479,-22961.0849,-20099.2794,-22616.68,-23861.9,-9885.92,-5059.1545,-12063.85,-7330.53,-5105.964,-21997.5765,-15380.1051,-11305.1735,-13747.7635,-12063.85,-9839.284,-7330.53,-10541.4189,-14898.6396,-1073.3009999999997,-6570.3756,-4295.4,13247.0894,7750.0149
16254,proton,All_or_Total,4,All_or_Total,Other,Lab,5126700.0,125887.2087508886,0.00048917,4.916282075233903e-05,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",D0095,7,No Pointer,12,"12-MG-25(P,N)13-AL-25,,SIG","Excitation functions of the (p,n) reaction for light elements",1951,J.P.Blaser+,2SWTZUR,2004/04/04,"Jour. Canadian Journal of Physics Vol.58, p.697, 1980",D0095007,D0095,"(J,CJP,58,697,1980)",1,1,0,25Mg,Mg,13,25,I,3.6550221727660825,0.2188769211746172,Other,-13192.783,0.047,8223.502,0.002,-4276.808,0.045,24985836.964,0.05,23861.9,0.17,22616.68,0.11,-9885.92,0.06,-17020.11,10.0,-14530.11,0.51,-21215.23,0.24,7330.53,0.05,12063.85,0.05,-39863.216883839865,96.91971428591695,7047.88,0.05,-3147.22,0.18,478.34,0.05,-12063.85,-7330.53,-19023.2139,-16798.6479,-22961.0849,-20099.2794,-22616.68,-23861.9,-9885.92,-5059.1545,-12063.85,-7330.53,-5105.964,-21997.5765,-15380.1051,-11305.1735,-13747.7635,-12063.85,-9839.284,-7330.53,-10541.4189,-14898.6396,-1073.3009999999997,-6570.3756,-4295.4,13247.0894,7750.0149
16255,proton,All_or_Total,4,All_or_Total,Other,Lab,5193100.0,127517.67487160151,0.001212,0.0001218090617818,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",D0095,7,No Pointer,12,"12-MG-25(P,N)13-AL-25,,SIG","Excitation functions of the (p,n) reaction for light elements",1951,J.P.Blaser+,2SWTZUR,2004/04/04,"Jour. Canadian Journal of Physics Vol.58, p.697, 1980",D0095007,D0095,"(J,CJP,58,697,1980)",1,1,0,25Mg,Mg,13,25,I,3.6550221727660825,0.2188769211746172,Other,-13192.783,0.047,8223.502,0.002,-4276.808,0.045,24985836.964,0.05,23861.9,0.17,22616.68,0.11,-9885.92,0.06,-17020.11,10.0,-14530.11,0.51,-21215.23,0.24,7330.53,0.05,12063.85,0.05,-39863.216883839865,96.91971428591695,7047.88,0.05,-3147.22,0.18,478.34,0.05,-12063.85,-7330.53,-19023.2139,-16798.6479,-22961.0849,-20099.2794,-22616.68,-23861.9,-9885.92,-5059.1545,-12063.85,-7330.53,-5105.964,-21997.5765,-15380.1051,-11305.1735,-13747.7635,-12063.85,-9839.284,-7330.53,-10541.4189,-14898.6396,-1073.3009999999997,-6570.3756,-4295.4,13247.0894,7750.0149
16256,proton,All_or_Total,4,All_or_Total,Other,Lab,5242800.0,128738.0689408701,0.0030937,0.000310924665375,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",D0095,7,No Pointer,12,"12-MG-25(P,N)13-AL-25,,SIG","Excitation functions of the (p,n) reaction for light elements",1951,J.P.Blaser+,2SWTZUR,2004/04/04,"Jour. Canadian Journal of Physics Vol.58, p.697, 1980",D0095007,D0095,"(J,CJP,58,697,1980)",1,1,0,25Mg,Mg,13,25,I,3.6550221727660825,0.2188769211746172,Other,-13192.783,0.047,8223.502,0.002,-4276.808,0.045,24985836.964,0.05,23861.9,0.17,22616.68,0.11,-9885.92,0.06,-17020.11,10.0,-14530.11,0.51,-21215.23,0.24,7330.53,0.05,12063.85,0.05,-39863.216883839865,96.91971428591695,7047.88,0.05,-3147.22,0.18,478.34,0.05,-12063.85,-7330.53,-19023.2139,-16798.6479,-22961.0849,-20099.2794,-22616.68,-23861.9,-9885.92,-5059.1545,-12063.85,-7330.53,-5105.964,-21997.5765,-15380.1051,-11305.1735,-13747.7635,-12063.85,-9839.284,-7330.53,-10541.4189,-14898.6396,-1073.3009999999997,-6570.3756,-4295.4,13247.0894,7750.0149
16257,proton,All_or_Total,4,All_or_Total,Other,Lab,5302400.0,130201.55961548592,0.0092934,0.0009340101771976,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",D0095,7,No Pointer,12,"12-MG-25(P,N)13-AL-25,,SIG","Excitation functions of the (p,n) reaction for light elements",1951,J.P.Blaser+,2SWTZUR,2004/04/04,"Jour. Canadian Journal of Physics Vol.58, p.697, 1980",D0095007,D0095,"(J,CJP,58,697,1980)",1,1,0,25Mg,Mg,13,25,I,3.6550221727660825,0.2188769211746172,Other,-13192.783,0.047,8223.502,0.002,-4276.808,0.045,24985836.964,0.05,23861.9,0.17,22616.68,0.11,-9885.92,0.06,-17020.11,10.0,-14530.11,0.51,-21215.23,0.24,7330.53,0.05,12063.85,0.05,-39863.216883839865,96.91971428591695,7047.88,0.05,-3147.22,0.18,478.34,0.05,-12063.85,-7330.53,-19023.2139,-16798.6479,-22961.0849,-20099.2794,-22616.68,-23861.9,-9885.92,-5059.1545,-12063.85,-7330.53,-5105.964,-21997.5765,-15380.1051,-11305.1735,-13747.7635,-12063.85,-9839.284,-7330.53,-10541.4189,-14898.6396,-1073.3009999999997,-6570.3756,-4295.4,13247.0894,7750.0149
16258,proton,All_or_Total,4,All_or_Total,Other,Lab,5359000.0,131591.38465211773,0.018005,0.001809547984639,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",D0095,7,No Pointer,12,"12-MG-25(P,N)13-AL-25,,SIG","Excitation functions of the (p,n) reaction for light elements",1951,J.P.Blaser+,2SWTZUR,2004/04/04,"Jour. Canadian Journal of Physics Vol.58, p.697, 1980",D0095007,D0095,"(J,CJP,58,697,1980)",1,1,0,25Mg,Mg,13,25,I,3.6550221727660825,0.2188769211746172,Other,-13192.783,0.047,8223.502,0.002,-4276.808,0.045,24985836.964,0.05,23861.9,0.17,22616.68,0.11,-9885.92,0.06,-17020.11,10.0,-14530.11,0.51,-21215.23,0.24,7330.53,0.05,12063.85,0.05,-39863.216883839865,96.91971428591695,7047.88,0.05,-3147.22,0.18,478.34,0.05,-12063.85,-7330.53,-19023.2139,-16798.6479,-22961.0849,-20099.2794,-22616.68,-23861.9,-9885.92,-5059.1545,-12063.85,-7330.53,-5105.964,-21997.5765,-15380.1051,-11305.1735,-13747.7635,-12063.85,-9839.284,-7330.53,-10541.4189,-14898.6396,-1073.3009999999997,-6570.3756,-4295.4,13247.0894,7750.0149
16259,proton,All_or_Total,4,All_or_Total,Other,Lab,5415300.0,132973.84312495115,0.026618,0.0026751762429947,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",D0095,7,No Pointer,12,"12-MG-25(P,N)13-AL-25,,SIG","Excitation functions of the (p,n) reaction for light elements",1951,J.P.Blaser+,2SWTZUR,2004/04/04,"Jour. Canadian Journal of Physics Vol.58, p.697, 1980",D0095007,D0095,"(J,CJP,58,697,1980)",1,1,0,25Mg,Mg,13,25,I,3.6550221727660825,0.2188769211746172,Other,-13192.783,0.047,8223.502,0.002,-4276.808,0.045,24985836.964,0.05,23861.9,0.17,22616.68,0.11,-9885.92,0.06,-17020.11,10.0,-14530.11,0.51,-21215.23,0.24,7330.53,0.05,12063.85,0.05,-39863.216883839865,96.91971428591695,7047.88,0.05,-3147.22,0.18,478.34,0.05,-12063.85,-7330.53,-19023.2139,-16798.6479,-22961.0849,-20099.2794,-22616.68,-23861.9,-9885.92,-5059.1545,-12063.85,-7330.53,-5105.964,-21997.5765,-15380.1051,-11305.1735,-13747.7635,-12063.85,-9839.284,-7330.53,-10541.4189,-14898.6396,-1073.3009999999997,-6570.3756,-4295.4,13247.0894,7750.0149
16260,proton,All_or_Total,4,All_or_Total,Other,Lab,5467200.0,134248.25866207466,0.033149,0.0033315582417549,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",D0095,7,No Pointer,12,"12-MG-25(P,N)13-AL-25,,SIG","Excitation functions of the (p,n) reaction for light elements",1951,J.P.Blaser+,2SWTZUR,2004/04/04,"Jour. Canadian Journal of Physics Vol.58, p.697, 1980",D0095007,D0095,"(J,CJP,58,697,1980)",1,1,0,25Mg,Mg,13,25,I,3.6550221727660825,0.2188769211746172,Other,-13192.783,0.047,8223.502,0.002,-4276.808,0.045,24985836.964,0.05,23861.9,0.17,22616.68,0.11,-9885.92,0.06,-17020.11,10.0,-14530.11,0.51,-21215.23,0.24,7330.53,0.05,12063.85,0.05,-39863.216883839865,96.91971428591695,7047.88,0.05,-3147.22,0.18,478.34,0.05,-12063.85,-7330.53,-19023.2139,-16798.6479,-22961.0849,-20099.2794,-22616.68,-23861.9,-9885.92,-5059.1545,-12063.85,-7330.53,-5105.964,-21997.5765,-15380.1051,-11305.1735,-13747.7635,-12063.85,-9839.284,-7330.53,-10541.4189,-14898.6396,-1073.3009999999997,-6570.3756,-4295.4,13247.0894,7750.0149
16261,proton,All_or_Total,4,All_or_Total,Other,Lab,5525700.0,135684.738602763,0.03268,0.0032844225569565,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",D0095,7,No Pointer,12,"12-MG-25(P,N)13-AL-25,,SIG","Excitation functions of the (p,n) reaction for light elements",1951,J.P.Blaser+,2SWTZUR,2004/04/04,"Jour. Canadian Journal of Physics Vol.58, p.697, 1980",D0095007,D0095,"(J,CJP,58,697,1980)",1,1,0,25Mg,Mg,13,25,I,3.6550221727660825,0.2188769211746172,Other,-13192.783,0.047,8223.502,0.002,-4276.808,0.045,24985836.964,0.05,23861.9,0.17,22616.68,0.11,-9885.92,0.06,-17020.11,10.0,-14530.11,0.51,-21215.23,0.24,7330.53,0.05,12063.85,0.05,-39863.216883839865,96.91971428591695,7047.88,0.05,-3147.22,0.18,478.34,0.05,-12063.85,-7330.53,-19023.2139,-16798.6479,-22961.0849,-20099.2794,-22616.68,-23861.9,-9885.92,-5059.1545,-12063.85,-7330.53,-5105.964,-21997.5765,-15380.1051,-11305.1735,-13747.7635,-12063.85,-9839.284,-7330.53,-10541.4189,-14898.6396,-1073.3009999999997,-6570.3756,-4295.4,13247.0894,7750.0149
16262,proton,All_or_Total,4,All_or_Total,Other,Lab,5581400.0,137052.4639479996,0.034444,0.0034617090132133,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",D0095,7,No Pointer,12,"12-MG-25(P,N)13-AL-25,,SIG","Excitation functions of the (p,n) reaction for light elements",1951,J.P.Blaser+,2SWTZUR,2004/04/04,"Jour. Canadian Journal of Physics Vol.58, p.697, 1980",D0095007,D0095,"(J,CJP,58,697,1980)",1,1,0,25Mg,Mg,13,25,I,3.6550221727660825,0.2188769211746172,Other,-13192.783,0.047,8223.502,0.002,-4276.808,0.045,24985836.964,0.05,23861.9,0.17,22616.68,0.11,-9885.92,0.06,-17020.11,10.0,-14530.11,0.51,-21215.23,0.24,7330.53,0.05,12063.85,0.05,-39863.216883839865,96.91971428591695,7047.88,0.05,-3147.22,0.18,478.34,0.05,-12063.85,-7330.53,-19023.2139,-16798.6479,-22961.0849,-20099.2794,-22616.68,-23861.9,-9885.92,-5059.1545,-12063.85,-7330.53,-5105.964,-21997.5765,-15380.1051,-11305.1735,-13747.7635,-12063.85,-9839.284,-7330.53,-10541.4189,-14898.6396,-1073.3009999999997,-6570.3756,-4295.4,13247.0894,7750.0149
