,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
17370,proton,All_or_Total,3,All_or_Total,Other,Lab,8800000.0,159410.1122437103,0.674,0.045,0.0,0.0,Other,"P.J.Bulman,ET.AL. (65)   ",D0535,2,No Pointer,13,"13-AL-27(P,NON),,SIG",Proton reaction cross sections at 8.8 MeV,1965,P.J.Bulman+,2UK BIR,2009/06/00,"Jour. Nuclear Physics Vol.73, p.206, 1965",D0535002,D0535,"(J,NP,73,206,1965)",1,1,0,27Al,Al,14,27,I,3.75,0.2133333333333333,Other,-17196.861,0.047,8331.553,0.002,-4812.359,0.096,26981538.408000004,0.05,24423.52,0.08,22416.99,1.2,-10091.92,0.05,-16474.4,26.34,-17625.05,3.5,-18127.16,0.12,13058.03,0.08,8271.29,0.06,-38546.01024317128,17.565750000030164,6706.73,0.07,1600.76,0.05,-3132.56,0.05,-8271.29,-13058.03,-19364.3639,-17139.7979,-18213.1049,-23710.1794,-22416.99,-24423.52,-10091.92,-5594.7055,-8271.29,-13058.03,-10833.464,-18909.5065,-15941.7251,-11646.323500000002,-16842.7035,-8271.29,-6046.724000000001,-13058.03,-10882.568900000002,-14698.949600000002,-6800.801,-2777.8156000000013,-4830.951,7519.589399999999,11542.5749
17371,proton,All_or_Total,3,All_or_Total,Other,Lab,8870000.0,130000.0,0.65,0.026,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,2,No Pointer,13,"13-AL-27(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Physical Review Vol.129, p.2198, 1963",D0314002,D0314,"(J,PR,129,2198,1963)",1,1,0,27Al,Al,14,27,I,3.75,0.2133333333333333,Other,-17196.861,0.047,8331.553,0.002,-4812.359,0.096,26981538.408000004,0.05,24423.52,0.08,22416.99,1.2,-10091.92,0.05,-16474.4,26.34,-17625.05,3.5,-18127.16,0.12,13058.03,0.08,8271.29,0.06,-38546.01024317128,17.565750000030164,6706.73,0.07,1600.76,0.05,-3132.56,0.05,-8271.29,-13058.03,-19364.3639,-17139.7979,-18213.1049,-23710.1794,-22416.99,-24423.52,-10091.92,-5594.7055,-8271.29,-13058.03,-10833.464,-18909.5065,-15941.7251,-11646.323500000002,-16842.7035,-8271.29,-6046.724000000001,-13058.03,-10882.568900000002,-14698.949600000002,-6800.801,-2777.8156000000013,-4830.951,7519.589399999999,11542.5749
17372,proton,All_or_Total,3,All_or_Total,Other,Lab,9370000.0,120000.0,0.65,0.026,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,2,No Pointer,13,"13-AL-27(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Physical Review Vol.129, p.2198, 1963",D0314002,D0314,"(J,PR,129,2198,1963)",1,1,0,27Al,Al,14,27,I,3.75,0.2133333333333333,Other,-17196.861,0.047,8331.553,0.002,-4812.359,0.096,26981538.408000004,0.05,24423.52,0.08,22416.99,1.2,-10091.92,0.05,-16474.4,26.34,-17625.05,3.5,-18127.16,0.12,13058.03,0.08,8271.29,0.06,-38546.01024317128,17.565750000030164,6706.73,0.07,1600.76,0.05,-3132.56,0.05,-8271.29,-13058.03,-19364.3639,-17139.7979,-18213.1049,-23710.1794,-22416.99,-24423.52,-10091.92,-5594.7055,-8271.29,-13058.03,-10833.464,-18909.5065,-15941.7251,-11646.323500000002,-16842.7035,-8271.29,-6046.724000000001,-13058.03,-10882.568900000002,-14698.949600000002,-6800.801,-2777.8156000000013,-4830.951,7519.589399999999,11542.5749
17373,proton,All_or_Total,3,All_or_Total,Other,Lab,9880000.0,120000.0,0.594,0.026,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,2,No Pointer,13,"13-AL-27(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Physical Review Vol.129, p.2198, 1963",D0314002,D0314,"(J,PR,129,2198,1963)",1,1,0,27Al,Al,14,27,I,3.75,0.2133333333333333,Other,-17196.861,0.047,8331.553,0.002,-4812.359,0.096,26981538.408000004,0.05,24423.52,0.08,22416.99,1.2,-10091.92,0.05,-16474.4,26.34,-17625.05,3.5,-18127.16,0.12,13058.03,0.08,8271.29,0.06,-38546.01024317128,17.565750000030164,6706.73,0.07,1600.76,0.05,-3132.56,0.05,-8271.29,-13058.03,-19364.3639,-17139.7979,-18213.1049,-23710.1794,-22416.99,-24423.52,-10091.92,-5594.7055,-8271.29,-13058.03,-10833.464,-18909.5065,-15941.7251,-11646.323500000002,-16842.7035,-8271.29,-6046.724000000001,-13058.03,-10882.568900000002,-14698.949600000002,-6800.801,-2777.8156000000013,-4830.951,7519.589399999999,11542.5749
17374,proton,All_or_Total,3,All_or_Total,Other,Lab,10390000.0,110000.0,0.61,0.026,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,2,No Pointer,13,"13-AL-27(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Physical Review Vol.129, p.2198, 1963",D0314002,D0314,"(J,PR,129,2198,1963)",1,1,0,27Al,Al,14,27,I,3.75,0.2133333333333333,Other,-17196.861,0.047,8331.553,0.002,-4812.359,0.096,26981538.408000004,0.05,24423.52,0.08,22416.99,1.2,-10091.92,0.05,-16474.4,26.34,-17625.05,3.5,-18127.16,0.12,13058.03,0.08,8271.29,0.06,-38546.01024317128,17.565750000030164,6706.73,0.07,1600.76,0.05,-3132.56,0.05,-8271.29,-13058.03,-19364.3639,-17139.7979,-18213.1049,-23710.1794,-22416.99,-24423.52,-10091.92,-5594.7055,-8271.29,-13058.03,-10833.464,-18909.5065,-15941.7251,-11646.323500000002,-16842.7035,-8271.29,-6046.724000000001,-13058.03,-10882.568900000002,-14698.949600000002,-6800.801,-2777.8156000000013,-4830.951,7519.589399999999,11542.5749
17375,proton,All_or_Total,3,All_or_Total,Other,Lab,10120000.0,500000.0,0.704,0.028,0.0,0.0,Other,"B.D.WILKINS,ET.AL. (63)  ",O0741,4,No Pointer,13,"13-AL-27(P,NON),,SIG",10-MeV Proton Reaction Cross Sections For Several Elements.,1963,B.D.Wilkins+,1USALRL,2000/04/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.487, Issue.3, p.565, 2002",O0741004,O0741,"(J,NIM/A,487,(3),565,200207)",1,1,0,27Al,Al,14,27,I,3.75,0.2133333333333333,Other,-17196.861,0.047,8331.553,0.002,-4812.359,0.096,26981538.408000004,0.05,24423.52,0.08,22416.99,1.2,-10091.92,0.05,-16474.4,26.34,-17625.05,3.5,-18127.16,0.12,13058.03,0.08,8271.29,0.06,-38546.01024317128,17.565750000030164,6706.73,0.07,1600.76,0.05,-3132.56,0.05,-8271.29,-13058.03,-19364.3639,-17139.7979,-18213.1049,-23710.1794,-22416.99,-24423.52,-10091.92,-5594.7055,-8271.29,-13058.03,-10833.464,-18909.5065,-15941.7251,-11646.323500000002,-16842.7035,-8271.29,-6046.724000000001,-13058.03,-10882.568900000002,-14698.949600000002,-6800.801,-2777.8156000000013,-4830.951,7519.589399999999,11542.5749
17376,proton,All_or_Total,3,All_or_Total,Other,Lab,9900000.0,500000.0,0.656,0.028,0.0,0.0,Other,"B.D.WILKINS,ET.AL. (63)  ",O0741,4,No Pointer,13,"13-AL-27(P,NON),,SIG",10-MeV Proton Reaction Cross Sections For Several Elements.,1963,B.D.Wilkins+,1USALRL,2000/04/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.487, Issue.3, p.565, 2002",O0741004,O0741,"(J,NIM/A,487,(3),565,200207)",1,1,0,27Al,Al,14,27,I,3.75,0.2133333333333333,Other,-17196.861,0.047,8331.553,0.002,-4812.359,0.096,26981538.408000004,0.05,24423.52,0.08,22416.99,1.2,-10091.92,0.05,-16474.4,26.34,-17625.05,3.5,-18127.16,0.12,13058.03,0.08,8271.29,0.06,-38546.01024317128,17.565750000030164,6706.73,0.07,1600.76,0.05,-3132.56,0.05,-8271.29,-13058.03,-19364.3639,-17139.7979,-18213.1049,-23710.1794,-22416.99,-24423.52,-10091.92,-5594.7055,-8271.29,-13058.03,-10833.464,-18909.5065,-15941.7251,-11646.323500000002,-16842.7035,-8271.29,-6046.724000000001,-13058.03,-10882.568900000002,-14698.949600000002,-6800.801,-2777.8156000000013,-4830.951,7519.589399999999,11542.5749
17377,proton,All_or_Total,3,All_or_Total,Other,Lab,15000000.0,271721.78223359707,0.636,0.0366801082791051,0.0,0.0,Other,"N.Okumura,ET.AL. (02)    ",E2041,3,No Pointer,13,"13-AL-27(P,NON),,SIG",Measuring system of proton total reaction cross-sections at tandem energy region,2002,N.Okumura+,2JPNTSU,2008/01/04,"Jour. Physical Review Vol.140, p.B575, 1965",E2041003,E2041,"(J,PR,140,B575,1965)",1,1,0,27Al,Al,14,27,I,3.75,0.2133333333333333,Other,-17196.861,0.047,8331.553,0.002,-4812.359,0.096,26981538.408000004,0.05,24423.52,0.08,22416.99,1.2,-10091.92,0.05,-16474.4,26.34,-17625.05,3.5,-18127.16,0.12,13058.03,0.08,8271.29,0.06,-38546.01024317128,17.565750000030164,6706.73,0.07,1600.76,0.05,-3132.56,0.05,-8271.29,-13058.03,-19364.3639,-17139.7979,-18213.1049,-23710.1794,-22416.99,-24423.52,-10091.92,-5594.7055,-8271.29,-13058.03,-10833.464,-18909.5065,-15941.7251,-11646.323500000002,-16842.7035,-8271.29,-6046.724000000001,-13058.03,-10882.568900000002,-14698.949600000002,-6800.801,-2777.8156000000013,-4830.951,7519.589399999999,11542.5749
17378,proton,All_or_Total,3,All_or_Total,Other,Lab,15750000.0,285307.87134527694,0.661,0.0381219364347303,0.0,0.0,Other,"N.Okumura,ET.AL. (02)    ",E2041,3,No Pointer,13,"13-AL-27(P,NON),,SIG",Measuring system of proton total reaction cross-sections at tandem energy region,2002,N.Okumura+,2JPNTSU,2008/01/04,"Jour. Physical Review Vol.140, p.B575, 1965",E2041003,E2041,"(J,PR,140,B575,1965)",1,1,0,27Al,Al,14,27,I,3.75,0.2133333333333333,Other,-17196.861,0.047,8331.553,0.002,-4812.359,0.096,26981538.408000004,0.05,24423.52,0.08,22416.99,1.2,-10091.92,0.05,-16474.4,26.34,-17625.05,3.5,-18127.16,0.12,13058.03,0.08,8271.29,0.06,-38546.01024317128,17.565750000030164,6706.73,0.07,1600.76,0.05,-3132.56,0.05,-8271.29,-13058.03,-19364.3639,-17139.7979,-18213.1049,-23710.1794,-22416.99,-24423.52,-10091.92,-5594.7055,-8271.29,-13058.03,-10833.464,-18909.5065,-15941.7251,-11646.323500000002,-16842.7035,-8271.29,-6046.724000000001,-13058.03,-10882.568900000002,-14698.949600000002,-6800.801,-2777.8156000000013,-4830.951,7519.589399999999,11542.5749
17379,proton,All_or_Total,3,All_or_Total,Other,Lab,16250000.0,294365.26408639684,0.68,0.0392177258330055,0.0,0.0,Other,"N.Okumura,ET.AL. (02)    ",E2041,3,No Pointer,13,"13-AL-27(P,NON),,SIG",Measuring system of proton total reaction cross-sections at tandem energy region,2002,N.Okumura+,2JPNTSU,2008/01/04,"Jour. Physical Review Vol.140, p.B575, 1965",E2041003,E2041,"(J,PR,140,B575,1965)",1,1,0,27Al,Al,14,27,I,3.75,0.2133333333333333,Other,-17196.861,0.047,8331.553,0.002,-4812.359,0.096,26981538.408000004,0.05,24423.52,0.08,22416.99,1.2,-10091.92,0.05,-16474.4,26.34,-17625.05,3.5,-18127.16,0.12,13058.03,0.08,8271.29,0.06,-38546.01024317128,17.565750000030164,6706.73,0.07,1600.76,0.05,-3132.56,0.05,-8271.29,-13058.03,-19364.3639,-17139.7979,-18213.1049,-23710.1794,-22416.99,-24423.52,-10091.92,-5594.7055,-8271.29,-13058.03,-10833.464,-18909.5065,-15941.7251,-11646.323500000002,-16842.7035,-8271.29,-6046.724000000001,-13058.03,-10882.568900000002,-14698.949600000002,-6800.801,-2777.8156000000013,-4830.951,7519.589399999999,11542.5749
