,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
20887,proton,All_or_Total,3,All_or_Total,Other,Lab,14000000.0,253606.99675135728,0.589,0.0339694713465297,0.0,0.0,Other,"N.Okumura,ET.AL. (02)    ",E2041,2,1,14,"14-SI-0(P,NON),,SIG",Measuring system of proton total reaction cross-sections at tandem energy region,2002,N.Okumura+,2JPNTSU,2008/01/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.487, Issue.3, p.565, 2002",E20410021,E2041,"(J,NIM/A,487,(3),565,200207)",1,1,0,28Si,Si,14,28,N,3.795736214844578,0.2107628019226718,Other,-16938.648650000003,0.053745,8286.0425,0.002,-13003.5495,13.746,28086000.0,0.05776,31424.435,5.055,16812.925,0.075,-9660.025,0.1,-27489.0,280.5,-8827.039999999999,0.08,-30135.325,111.17,15247.205,0.13,9524.11,0.09,-55197.33137542711,-188.26214743751024,4335.219999999999,0.1,-7592.17,0.16,2270.9300000000003,0.08,-9524.11,-15247.205,-21735.8739,-19511.3079,-27406.0349,-18306.6894,-16812.925,-31424.435,-9660.025,-13785.896,-9524.11,-15247.205,-13022.639,-30917.6715,-22942.6401,-14017.833500000004,-8044.693499999999,-9524.11,-7299.544,-15247.205,-13254.078900000002,-9094.8846,-8989.975999999999,-4030.6356,-13022.1415,5330.4144,10289.7549
20888,proton,All_or_Total,3,All_or_Total,Other,Lab,15000000.0,271721.78223359707,0.62,0.035757338259505,0.0,0.0,Other,"N.Okumura,ET.AL. (02)    ",E2041,2,1,14,"14-SI-0(P,NON),,SIG",Measuring system of proton total reaction cross-sections at tandem energy region,2002,N.Okumura+,2JPNTSU,2008/01/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.487, Issue.3, p.565, 2002",E20410021,E2041,"(J,NIM/A,487,(3),565,200207)",1,1,0,28Si,Si,14,28,N,3.795736214844578,0.2107628019226718,Other,-16938.648650000003,0.053745,8286.0425,0.002,-13003.5495,13.746,28086000.0,0.05776,31424.435,5.055,16812.925,0.075,-9660.025,0.1,-27489.0,280.5,-8827.039999999999,0.08,-30135.325,111.17,15247.205,0.13,9524.11,0.09,-55197.33137542711,-188.26214743751024,4335.219999999999,0.1,-7592.17,0.16,2270.9300000000003,0.08,-9524.11,-15247.205,-21735.8739,-19511.3079,-27406.0349,-18306.6894,-16812.925,-31424.435,-9660.025,-13785.896,-9524.11,-15247.205,-13022.639,-30917.6715,-22942.6401,-14017.833500000004,-8044.693499999999,-9524.11,-7299.544,-15247.205,-13254.078900000002,-9094.8846,-8989.975999999999,-4030.6356,-13022.1415,5330.4144,10289.7549
20889,proton,All_or_Total,3,All_or_Total,Other,Lab,15500000.0,280779.17497471697,0.643,0.0370838201626802,0.0,0.0,Other,"N.Okumura,ET.AL. (02)    ",E2041,2,1,14,"14-SI-0(P,NON),,SIG",Measuring system of proton total reaction cross-sections at tandem energy region,2002,N.Okumura+,2JPNTSU,2008/01/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.487, Issue.3, p.565, 2002",E20410021,E2041,"(J,NIM/A,487,(3),565,200207)",1,1,0,28Si,Si,14,28,N,3.795736214844578,0.2107628019226718,Other,-16938.648650000003,0.053745,8286.0425,0.002,-13003.5495,13.746,28086000.0,0.05776,31424.435,5.055,16812.925,0.075,-9660.025,0.1,-27489.0,280.5,-8827.039999999999,0.08,-30135.325,111.17,15247.205,0.13,9524.11,0.09,-55197.33137542711,-188.26214743751024,4335.219999999999,0.1,-7592.17,0.16,2270.9300000000003,0.08,-9524.11,-15247.205,-21735.8739,-19511.3079,-27406.0349,-18306.6894,-16812.925,-31424.435,-9660.025,-13785.896,-9524.11,-15247.205,-13022.639,-30917.6715,-22942.6401,-14017.833500000004,-8044.693499999999,-9524.11,-7299.544,-15247.205,-13254.078900000002,-9094.8846,-8989.975999999999,-4030.6356,-13022.1415,5330.4144,10289.7549
20890,proton,All_or_Total,3,All_or_Total,Other,Lab,15750000.0,285307.87134527694,0.618,0.035641992007055,0.0,0.0,Other,"N.Okumura,ET.AL. (02)    ",E2041,2,1,14,"14-SI-0(P,NON),,SIG",Measuring system of proton total reaction cross-sections at tandem energy region,2002,N.Okumura+,2JPNTSU,2008/01/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.487, Issue.3, p.565, 2002",E20410021,E2041,"(J,NIM/A,487,(3),565,200207)",1,1,0,28Si,Si,14,28,N,3.795736214844578,0.2107628019226718,Other,-16938.648650000003,0.053745,8286.0425,0.002,-13003.5495,13.746,28086000.0,0.05776,31424.435,5.055,16812.925,0.075,-9660.025,0.1,-27489.0,280.5,-8827.039999999999,0.08,-30135.325,111.17,15247.205,0.13,9524.11,0.09,-55197.33137542711,-188.26214743751024,4335.219999999999,0.1,-7592.17,0.16,2270.9300000000003,0.08,-9524.11,-15247.205,-21735.8739,-19511.3079,-27406.0349,-18306.6894,-16812.925,-31424.435,-9660.025,-13785.896,-9524.11,-15247.205,-13022.639,-30917.6715,-22942.6401,-14017.833500000004,-8044.693499999999,-9524.11,-7299.544,-15247.205,-13254.078900000002,-9094.8846,-8989.975999999999,-4030.6356,-13022.1415,5330.4144,10289.7549
20891,proton,All_or_Total,3,All_or_Total,Other,Lab,16000000.0,289836.56771583686,0.591,0.0340848175989797,0.0,0.0,Other,"N.Okumura,ET.AL. (02)    ",E2041,2,1,14,"14-SI-0(P,NON),,SIG",Measuring system of proton total reaction cross-sections at tandem energy region,2002,N.Okumura+,2JPNTSU,2008/01/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.487, Issue.3, p.565, 2002",E20410021,E2041,"(J,NIM/A,487,(3),565,200207)",1,1,0,28Si,Si,14,28,N,3.795736214844578,0.2107628019226718,Other,-16938.648650000003,0.053745,8286.0425,0.002,-13003.5495,13.746,28086000.0,0.05776,31424.435,5.055,16812.925,0.075,-9660.025,0.1,-27489.0,280.5,-8827.039999999999,0.08,-30135.325,111.17,15247.205,0.13,9524.11,0.09,-55197.33137542711,-188.26214743751024,4335.219999999999,0.1,-7592.17,0.16,2270.9300000000003,0.08,-9524.11,-15247.205,-21735.8739,-19511.3079,-27406.0349,-18306.6894,-16812.925,-31424.435,-9660.025,-13785.896,-9524.11,-15247.205,-13022.639,-30917.6715,-22942.6401,-14017.833500000004,-8044.693499999999,-9524.11,-7299.544,-15247.205,-13254.078900000002,-9094.8846,-8989.975999999999,-4030.6356,-13022.1415,5330.4144,10289.7549
20892,proton,All_or_Total,3,All_or_Total,Other,Lab,16250000.0,294365.26408639684,0.69,0.0397944570952555,0.0,0.0,Other,"N.Okumura,ET.AL. (02)    ",E2041,2,1,14,"14-SI-0(P,NON),,SIG",Measuring system of proton total reaction cross-sections at tandem energy region,2002,N.Okumura+,2JPNTSU,2008/01/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.487, Issue.3, p.565, 2002",E20410021,E2041,"(J,NIM/A,487,(3),565,200207)",1,1,0,28Si,Si,14,28,N,3.795736214844578,0.2107628019226718,Other,-16938.648650000003,0.053745,8286.0425,0.002,-13003.5495,13.746,28086000.0,0.05776,31424.435,5.055,16812.925,0.075,-9660.025,0.1,-27489.0,280.5,-8827.039999999999,0.08,-30135.325,111.17,15247.205,0.13,9524.11,0.09,-55197.33137542711,-188.26214743751024,4335.219999999999,0.1,-7592.17,0.16,2270.9300000000003,0.08,-9524.11,-15247.205,-21735.8739,-19511.3079,-27406.0349,-18306.6894,-16812.925,-31424.435,-9660.025,-13785.896,-9524.11,-15247.205,-13022.639,-30917.6715,-22942.6401,-14017.833500000004,-8044.693499999999,-9524.11,-7299.544,-15247.205,-13254.078900000002,-9094.8846,-8989.975999999999,-4030.6356,-13022.1415,5330.4144,10289.7549
20893,proton,All_or_Total,3,All_or_Total,Other,Lab,16500000.0,298893.9604569568,0.63,0.0363340695217551,0.0,0.0,Other,"N.Okumura,ET.AL. (02)    ",E2041,2,1,14,"14-SI-0(P,NON),,SIG",Measuring system of proton total reaction cross-sections at tandem energy region,2002,N.Okumura+,2JPNTSU,2008/01/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.487, Issue.3, p.565, 2002",E20410021,E2041,"(J,NIM/A,487,(3),565,200207)",1,1,0,28Si,Si,14,28,N,3.795736214844578,0.2107628019226718,Other,-16938.648650000003,0.053745,8286.0425,0.002,-13003.5495,13.746,28086000.0,0.05776,31424.435,5.055,16812.925,0.075,-9660.025,0.1,-27489.0,280.5,-8827.039999999999,0.08,-30135.325,111.17,15247.205,0.13,9524.11,0.09,-55197.33137542711,-188.26214743751024,4335.219999999999,0.1,-7592.17,0.16,2270.9300000000003,0.08,-9524.11,-15247.205,-21735.8739,-19511.3079,-27406.0349,-18306.6894,-16812.925,-31424.435,-9660.025,-13785.896,-9524.11,-15247.205,-13022.639,-30917.6715,-22942.6401,-14017.833500000004,-8044.693499999999,-9524.11,-7299.544,-15247.205,-13254.078900000002,-9094.8846,-8989.975999999999,-4030.6356,-13022.1415,5330.4144,10289.7549
20894,proton,All_or_Total,3,All_or_Total,Other,Lab,17000000.0,307951.35319807666,0.621,0.03581501138573,0.0,0.0,Other,"N.Okumura,ET.AL. (02)    ",E2041,2,1,14,"14-SI-0(P,NON),,SIG",Measuring system of proton total reaction cross-sections at tandem energy region,2002,N.Okumura+,2JPNTSU,2008/01/04,"Jour. Nucl. Instrum. Methods in Physics Res., Sect.A Vol.487, Issue.3, p.565, 2002",E20410021,E2041,"(J,NIM/A,487,(3),565,200207)",1,1,0,28Si,Si,14,28,N,3.795736214844578,0.2107628019226718,Other,-16938.648650000003,0.053745,8286.0425,0.002,-13003.5495,13.746,28086000.0,0.05776,31424.435,5.055,16812.925,0.075,-9660.025,0.1,-27489.0,280.5,-8827.039999999999,0.08,-30135.325,111.17,15247.205,0.13,9524.11,0.09,-55197.33137542711,-188.26214743751024,4335.219999999999,0.1,-7592.17,0.16,2270.9300000000003,0.08,-9524.11,-15247.205,-21735.8739,-19511.3079,-27406.0349,-18306.6894,-16812.925,-31424.435,-9660.025,-13785.896,-9524.11,-15247.205,-13022.639,-30917.6715,-22942.6401,-14017.833500000004,-8044.693499999999,-9524.11,-7299.544,-15247.205,-13254.078900000002,-9094.8846,-8989.975999999999,-4030.6356,-13022.1415,5330.4144,10289.7549
20895,proton,All_or_Total,3,All_or_Total,Other,Lab,14000000.0,253606.99675135728,0.741,0.042735786532731,0.0,0.0,Other,"N.Okumura,ET.AL. (02)    ",E2041,2,2,14,"14-SI-0(P,NON),,SIG",Measuring system of proton total reaction cross-sections at tandem energy region,2002,N.Okumura+,2JPNTSU,2008/01/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.12, p.1093, 1975",E20410022,E2041,"(J,PR/C,12,1093,1975)",1,1,0,28Si,Si,14,28,N,3.795736214844578,0.2107628019226718,Other,-16938.648650000003,0.053745,8286.0425,0.002,-13003.5495,13.746,28086000.0,0.05776,31424.435,5.055,16812.925,0.075,-9660.025,0.1,-27489.0,280.5,-8827.039999999999,0.08,-30135.325,111.17,15247.205,0.13,9524.11,0.09,-55197.33137542711,-188.26214743751024,4335.219999999999,0.1,-7592.17,0.16,2270.9300000000003,0.08,-9524.11,-15247.205,-21735.8739,-19511.3079,-27406.0349,-18306.6894,-16812.925,-31424.435,-9660.025,-13785.896,-9524.11,-15247.205,-13022.639,-30917.6715,-22942.6401,-14017.833500000004,-8044.693499999999,-9524.11,-7299.544,-15247.205,-13254.078900000002,-9094.8846,-8989.975999999999,-4030.6356,-13022.1415,5330.4144,10289.7549
20896,proton,All_or_Total,3,All_or_Total,Other,Lab,15000000.0,271721.78223359707,0.772,0.0445236534457062,0.0,0.0,Other,"N.Okumura,ET.AL. (02)    ",E2041,2,2,14,"14-SI-0(P,NON),,SIG",Measuring system of proton total reaction cross-sections at tandem energy region,2002,N.Okumura+,2JPNTSU,2008/01/04,"Jour. Physical Review, Part C, Nuclear Physics Vol.12, p.1093, 1975",E20410022,E2041,"(J,PR/C,12,1093,1975)",1,1,0,28Si,Si,14,28,N,3.795736214844578,0.2107628019226718,Other,-16938.648650000003,0.053745,8286.0425,0.002,-13003.5495,13.746,28086000.0,0.05776,31424.435,5.055,16812.925,0.075,-9660.025,0.1,-27489.0,280.5,-8827.039999999999,0.08,-30135.325,111.17,15247.205,0.13,9524.11,0.09,-55197.33137542711,-188.26214743751024,4335.219999999999,0.1,-7592.17,0.16,2270.9300000000003,0.08,-9524.11,-15247.205,-21735.8739,-19511.3079,-27406.0349,-18306.6894,-16812.925,-31424.435,-9660.025,-13785.896,-9524.11,-15247.205,-13022.639,-30917.6715,-22942.6401,-14017.833500000004,-8044.693499999999,-9524.11,-7299.544,-15247.205,-13254.078900000002,-9094.8846,-8989.975999999999,-4030.6356,-13022.1415,5330.4144,10289.7549
