,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
22476,proton,All_or_Total,51,All_or_Total,Other,Lab,6540000.0,46014.83636211732,0.054,0.0074509013464328,1270000.0,2313881.3584273406,Level,J.Kokame (61)            ,F0257,13,No Pointer,15,"15-P-31(P,INL)15-P-31,PAR,SIG",Inelastic scattering of protons from several light odd-even nuclei in the energy range from 6 MeV to 7.5 MeV,1961,J.Kokame,2JPNKTO,2020/07/02,"Jour. Applied Radiation and Isotopes Vol.30, p.33, 1979",F0257013,F0257,"(J,ARI,30,33,1979)",1,1,0,31P,P,16,31,I,3.926725815489241,0.2037320754212949,Other,-24440.54095,0.00067,8481.167,0.0,-5398.016,0.229,30973761.99863,0.00072,23630.33,0.36,20810.72,0.34,-9668.6,0.05,-17405.99,3.45,-15864.67,2.89,-18452.6,0.21,12311.0,0.07,7296.55,0.02,-41865.3985290476,-29.37725000007299,8165.34,0.0,1916.31,0.0,-1943.49,0.08,-7296.55,-12311.0,-17905.7539,-15681.1879,-17897.5549,-22521.1094,-20810.72,-23630.33,-9668.6,-6180.362499999998,-7296.55,-12311.0,-10086.434,-19234.9465,-15148.5351,-10187.713500000002,-15082.3235,-7296.55,-5071.984,-12311.0,-9423.9589,-13092.6796,-6053.771,-1803.0756,-5416.607999999998,8266.6194,12517.3149
22477,proton,All_or_Total,51,All_or_Total,Other,Lab,6720000.0,47281.29974823064,0.0524,0.0072301338991311,1270000.0,2313881.3584273406,Level,J.Kokame (61)            ,F0257,13,No Pointer,15,"15-P-31(P,INL)15-P-31,PAR,SIG",Inelastic scattering of protons from several light odd-even nuclei in the energy range from 6 MeV to 7.5 MeV,1961,J.Kokame,2JPNKTO,2020/07/02,"Jour. Applied Radiation and Isotopes Vol.30, p.33, 1979",F0257013,F0257,"(J,ARI,30,33,1979)",1,1,0,31P,P,16,31,I,3.926725815489241,0.2037320754212949,Other,-24440.54095,0.00067,8481.167,0.0,-5398.016,0.229,30973761.99863,0.00072,23630.33,0.36,20810.72,0.34,-9668.6,0.05,-17405.99,3.45,-15864.67,2.89,-18452.6,0.21,12311.0,0.07,7296.55,0.02,-41865.3985290476,-29.37725000007299,8165.34,0.0,1916.31,0.0,-1943.49,0.08,-7296.55,-12311.0,-17905.7539,-15681.1879,-17897.5549,-22521.1094,-20810.72,-23630.33,-9668.6,-6180.362499999998,-7296.55,-12311.0,-10086.434,-19234.9465,-15148.5351,-10187.713500000002,-15082.3235,-7296.55,-5071.984,-12311.0,-9423.9589,-13092.6796,-6053.771,-1803.0756,-5416.607999999998,8266.6194,12517.3149
22478,proton,All_or_Total,51,All_or_Total,Other,Lab,6950000.0,48899.55851937544,0.0495,0.0068299929008968,1270000.0,2313881.3584273406,Level,J.Kokame (61)            ,F0257,13,No Pointer,15,"15-P-31(P,INL)15-P-31,PAR,SIG",Inelastic scattering of protons from several light odd-even nuclei in the energy range from 6 MeV to 7.5 MeV,1961,J.Kokame,2JPNKTO,2020/07/02,"Jour. Applied Radiation and Isotopes Vol.30, p.33, 1979",F0257013,F0257,"(J,ARI,30,33,1979)",1,1,0,31P,P,16,31,I,3.926725815489241,0.2037320754212949,Other,-24440.54095,0.00067,8481.167,0.0,-5398.016,0.229,30973761.99863,0.00072,23630.33,0.36,20810.72,0.34,-9668.6,0.05,-17405.99,3.45,-15864.67,2.89,-18452.6,0.21,12311.0,0.07,7296.55,0.02,-41865.3985290476,-29.37725000007299,8165.34,0.0,1916.31,0.0,-1943.49,0.08,-7296.55,-12311.0,-17905.7539,-15681.1879,-17897.5549,-22521.1094,-20810.72,-23630.33,-9668.6,-6180.362499999998,-7296.55,-12311.0,-10086.434,-19234.9465,-15148.5351,-10187.713500000002,-15082.3235,-7296.55,-5071.984,-12311.0,-9423.9589,-13092.6796,-6053.771,-1803.0756,-5416.607999999998,8266.6194,12517.3149
22479,proton,All_or_Total,51,All_or_Total,Other,Lab,7100000.0,49954.94467446987,0.055,0.0075888810009964,1270000.0,2313881.3584273406,Level,J.Kokame (61)            ,F0257,13,No Pointer,15,"15-P-31(P,INL)15-P-31,PAR,SIG",Inelastic scattering of protons from several light odd-even nuclei in the energy range from 6 MeV to 7.5 MeV,1961,J.Kokame,2JPNKTO,2020/07/02,"Jour. Applied Radiation and Isotopes Vol.30, p.33, 1979",F0257013,F0257,"(J,ARI,30,33,1979)",1,1,0,31P,P,16,31,I,3.926725815489241,0.2037320754212949,Other,-24440.54095,0.00067,8481.167,0.0,-5398.016,0.229,30973761.99863,0.00072,23630.33,0.36,20810.72,0.34,-9668.6,0.05,-17405.99,3.45,-15864.67,2.89,-18452.6,0.21,12311.0,0.07,7296.55,0.02,-41865.3985290476,-29.37725000007299,8165.34,0.0,1916.31,0.0,-1943.49,0.08,-7296.55,-12311.0,-17905.7539,-15681.1879,-17897.5549,-22521.1094,-20810.72,-23630.33,-9668.6,-6180.362499999998,-7296.55,-12311.0,-10086.434,-19234.9465,-15148.5351,-10187.713500000002,-15082.3235,-7296.55,-5071.984,-12311.0,-9423.9589,-13092.6796,-6053.771,-1803.0756,-5416.607999999998,8266.6194,12517.3149
22480,proton,All_or_Total,51,All_or_Total,Other,Lab,7350000.0,51713.92159962726,0.0513,0.0070783562791112,1270000.0,2313881.3584273406,Level,J.Kokame (61)            ,F0257,13,No Pointer,15,"15-P-31(P,INL)15-P-31,PAR,SIG",Inelastic scattering of protons from several light odd-even nuclei in the energy range from 6 MeV to 7.5 MeV,1961,J.Kokame,2JPNKTO,2020/07/02,"Jour. Applied Radiation and Isotopes Vol.30, p.33, 1979",F0257013,F0257,"(J,ARI,30,33,1979)",1,1,0,31P,P,16,31,I,3.926725815489241,0.2037320754212949,Other,-24440.54095,0.00067,8481.167,0.0,-5398.016,0.229,30973761.99863,0.00072,23630.33,0.36,20810.72,0.34,-9668.6,0.05,-17405.99,3.45,-15864.67,2.89,-18452.6,0.21,12311.0,0.07,7296.55,0.02,-41865.3985290476,-29.37725000007299,8165.34,0.0,1916.31,0.0,-1943.49,0.08,-7296.55,-12311.0,-17905.7539,-15681.1879,-17897.5549,-22521.1094,-20810.72,-23630.33,-9668.6,-6180.362499999998,-7296.55,-12311.0,-10086.434,-19234.9465,-15148.5351,-10187.713500000002,-15082.3235,-7296.55,-5071.984,-12311.0,-9423.9589,-13092.6796,-6053.771,-1803.0756,-5416.607999999998,8266.6194,12517.3149
22481,proton,All_or_Total,51,All_or_Total,Other,Lab,6540000.0,46014.83636211732,0.0539,0.0074371033809765,2320000.0,4226932.875237347,Level,J.Kokame (61)            ,F0257,13,No Pointer,15,"15-P-31(P,INL)15-P-31,PAR,SIG",Inelastic scattering of protons from several light odd-even nuclei in the energy range from 6 MeV to 7.5 MeV,1961,J.Kokame,2JPNKTO,2020/07/02,"Jour. Applied Radiation and Isotopes Vol.30, p.33, 1979",F0257013,F0257,"(J,ARI,30,33,1979)",1,1,0,31P,P,16,31,I,3.926725815489241,0.2037320754212949,Other,-24440.54095,0.00067,8481.167,0.0,-5398.016,0.229,30973761.99863,0.00072,23630.33,0.36,20810.72,0.34,-9668.6,0.05,-17405.99,3.45,-15864.67,2.89,-18452.6,0.21,12311.0,0.07,7296.55,0.02,-41865.3985290476,-29.37725000007299,8165.34,0.0,1916.31,0.0,-1943.49,0.08,-7296.55,-12311.0,-17905.7539,-15681.1879,-17897.5549,-22521.1094,-20810.72,-23630.33,-9668.6,-6180.362499999998,-7296.55,-12311.0,-10086.434,-19234.9465,-15148.5351,-10187.713500000002,-15082.3235,-7296.55,-5071.984,-12311.0,-9423.9589,-13092.6796,-6053.771,-1803.0756,-5416.607999999998,8266.6194,12517.3149
22482,proton,All_or_Total,51,All_or_Total,Other,Lab,6710000.0,47210.94067122434,0.0647,0.0089272836502631,2320000.0,4226932.875237347,Level,J.Kokame (61)            ,F0257,13,No Pointer,15,"15-P-31(P,INL)15-P-31,PAR,SIG",Inelastic scattering of protons from several light odd-even nuclei in the energy range from 6 MeV to 7.5 MeV,1961,J.Kokame,2JPNKTO,2020/07/02,"Jour. Applied Radiation and Isotopes Vol.30, p.33, 1979",F0257013,F0257,"(J,ARI,30,33,1979)",1,1,0,31P,P,16,31,I,3.926725815489241,0.2037320754212949,Other,-24440.54095,0.00067,8481.167,0.0,-5398.016,0.229,30973761.99863,0.00072,23630.33,0.36,20810.72,0.34,-9668.6,0.05,-17405.99,3.45,-15864.67,2.89,-18452.6,0.21,12311.0,0.07,7296.55,0.02,-41865.3985290476,-29.37725000007299,8165.34,0.0,1916.31,0.0,-1943.49,0.08,-7296.55,-12311.0,-17905.7539,-15681.1879,-17897.5549,-22521.1094,-20810.72,-23630.33,-9668.6,-6180.362499999998,-7296.55,-12311.0,-10086.434,-19234.9465,-15148.5351,-10187.713500000002,-15082.3235,-7296.55,-5071.984,-12311.0,-9423.9589,-13092.6796,-6053.771,-1803.0756,-5416.607999999998,8266.6194,12517.3149
22483,proton,All_or_Total,51,All_or_Total,Other,Lab,6940000.0,48829.19944236914,0.0529,0.0072991237264129,2320000.0,4226932.875237347,Level,J.Kokame (61)            ,F0257,13,No Pointer,15,"15-P-31(P,INL)15-P-31,PAR,SIG",Inelastic scattering of protons from several light odd-even nuclei in the energy range from 6 MeV to 7.5 MeV,1961,J.Kokame,2JPNKTO,2020/07/02,"Jour. Applied Radiation and Isotopes Vol.30, p.33, 1979",F0257013,F0257,"(J,ARI,30,33,1979)",1,1,0,31P,P,16,31,I,3.926725815489241,0.2037320754212949,Other,-24440.54095,0.00067,8481.167,0.0,-5398.016,0.229,30973761.99863,0.00072,23630.33,0.36,20810.72,0.34,-9668.6,0.05,-17405.99,3.45,-15864.67,2.89,-18452.6,0.21,12311.0,0.07,7296.55,0.02,-41865.3985290476,-29.37725000007299,8165.34,0.0,1916.31,0.0,-1943.49,0.08,-7296.55,-12311.0,-17905.7539,-15681.1879,-17897.5549,-22521.1094,-20810.72,-23630.33,-9668.6,-6180.362499999998,-7296.55,-12311.0,-10086.434,-19234.9465,-15148.5351,-10187.713500000002,-15082.3235,-7296.55,-5071.984,-12311.0,-9423.9589,-13092.6796,-6053.771,-1803.0756,-5416.607999999998,8266.6194,12517.3149
22484,proton,All_or_Total,51,All_or_Total,Other,Lab,7100000.0,49954.94467446987,0.0595,0.0082097894465325,2320000.0,4226932.875237347,Level,J.Kokame (61)            ,F0257,13,No Pointer,15,"15-P-31(P,INL)15-P-31,PAR,SIG",Inelastic scattering of protons from several light odd-even nuclei in the energy range from 6 MeV to 7.5 MeV,1961,J.Kokame,2JPNKTO,2020/07/02,"Jour. Applied Radiation and Isotopes Vol.30, p.33, 1979",F0257013,F0257,"(J,ARI,30,33,1979)",1,1,0,31P,P,16,31,I,3.926725815489241,0.2037320754212949,Other,-24440.54095,0.00067,8481.167,0.0,-5398.016,0.229,30973761.99863,0.00072,23630.33,0.36,20810.72,0.34,-9668.6,0.05,-17405.99,3.45,-15864.67,2.89,-18452.6,0.21,12311.0,0.07,7296.55,0.02,-41865.3985290476,-29.37725000007299,8165.34,0.0,1916.31,0.0,-1943.49,0.08,-7296.55,-12311.0,-17905.7539,-15681.1879,-17897.5549,-22521.1094,-20810.72,-23630.33,-9668.6,-6180.362499999998,-7296.55,-12311.0,-10086.434,-19234.9465,-15148.5351,-10187.713500000002,-15082.3235,-7296.55,-5071.984,-12311.0,-9423.9589,-13092.6796,-6053.771,-1803.0756,-5416.607999999998,8266.6194,12517.3149
22485,proton,All_or_Total,51,All_or_Total,Other,Lab,7340000.0,51643.56252262097,0.0492,0.0067885990045277,2320000.0,4226932.875237347,Level,J.Kokame (61)            ,F0257,13,No Pointer,15,"15-P-31(P,INL)15-P-31,PAR,SIG",Inelastic scattering of protons from several light odd-even nuclei in the energy range from 6 MeV to 7.5 MeV,1961,J.Kokame,2JPNKTO,2020/07/02,"Jour. Applied Radiation and Isotopes Vol.30, p.33, 1979",F0257013,F0257,"(J,ARI,30,33,1979)",1,1,0,31P,P,16,31,I,3.926725815489241,0.2037320754212949,Other,-24440.54095,0.00067,8481.167,0.0,-5398.016,0.229,30973761.99863,0.00072,23630.33,0.36,20810.72,0.34,-9668.6,0.05,-17405.99,3.45,-15864.67,2.89,-18452.6,0.21,12311.0,0.07,7296.55,0.02,-41865.3985290476,-29.37725000007299,8165.34,0.0,1916.31,0.0,-1943.49,0.08,-7296.55,-12311.0,-17905.7539,-15681.1879,-17897.5549,-22521.1094,-20810.72,-23630.33,-9668.6,-6180.362499999998,-7296.55,-12311.0,-10086.434,-19234.9465,-15148.5351,-10187.713500000002,-15082.3235,-7296.55,-5071.984,-12311.0,-9423.9589,-13092.6796,-6053.771,-1803.0756,-5416.607999999998,8266.6194,12517.3149
