,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
22764,proton,All_or_Total,9000,M,Other,Lab,21900000.0,300000.0,0.00342,0.0004788,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (93)  ",T0144,2,No Pointer,17,"17-CL-0(P,X)17-CL-34-M,,SIG",Theoretical and Experimental Excitation Functions for Proton Induced Nuclear Reactions on Z=10 to Z=82 Target Nuclides.,1993,M.C.Lagunas-Solar+,1USADAV,2001/02/05,"Conf. Conf.on Nucl.Data for Sci. and Technology, Nice 2007 Vol.2, p.1391, 2007",T0144002,T0144,"(C,2007NICE,2,1391,2007)",1,1,0,35Cl,Cl,18,35,N,4.088832887735737,0.1956548535890431,Other,-29267.7665,0.0355,8521.104500000001,0.001,-2628.3540000000003,0.362,35453000.0,0.038,22688.695,0.22,18402.685,0.95,-7319.975,0.045,-14972.79,0.425,-11853.49,1.34,-16626.300000000003,0.38,10612.275,0.025,7167.790000000001,0.035,-43672.96701255446,-7.046500000024537,9701.81,0.04,1896.98,0.04,1699.745,0.5700000000000001,-7167.790000000001,-10612.275,-16369.283900000002,-14144.7179,-17916.884899999997,-18877.8744,-18402.685,-22688.695,-7319.975,-3410.7005,-7167.790000000001,-10612.275,-8387.709,-17408.646500000003,-14206.9001,-8651.243500000004,-11071.1435,-7167.790000000001,-4943.224000000002,-10612.275,-7887.488900000002,-10684.6446,-4355.046,-1674.3156000000006,-2646.946,9965.3444,12646.0749
22765,proton,All_or_Total,9000,M,Other,Lab,23500000.0,300000.0,0.0109,0.001526,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (93)  ",T0144,2,No Pointer,17,"17-CL-0(P,X)17-CL-34-M,,SIG",Theoretical and Experimental Excitation Functions for Proton Induced Nuclear Reactions on Z=10 to Z=82 Target Nuclides.,1993,M.C.Lagunas-Solar+,1USADAV,2001/02/05,"Conf. Conf.on Nucl.Data for Sci. and Technology, Nice 2007 Vol.2, p.1391, 2007",T0144002,T0144,"(C,2007NICE,2,1391,2007)",1,1,0,35Cl,Cl,18,35,N,4.088832887735737,0.1956548535890431,Other,-29267.7665,0.0355,8521.104500000001,0.001,-2628.3540000000003,0.362,35453000.0,0.038,22688.695,0.22,18402.685,0.95,-7319.975,0.045,-14972.79,0.425,-11853.49,1.34,-16626.300000000003,0.38,10612.275,0.025,7167.790000000001,0.035,-43672.96701255446,-7.046500000024537,9701.81,0.04,1896.98,0.04,1699.745,0.5700000000000001,-7167.790000000001,-10612.275,-16369.283900000002,-14144.7179,-17916.884899999997,-18877.8744,-18402.685,-22688.695,-7319.975,-3410.7005,-7167.790000000001,-10612.275,-8387.709,-17408.646500000003,-14206.9001,-8651.243500000004,-11071.1435,-7167.790000000001,-4943.224000000002,-10612.275,-7887.488900000002,-10684.6446,-4355.046,-1674.3156000000006,-2646.946,9965.3444,12646.0749
22766,proton,All_or_Total,9000,M,Other,Lab,25300000.0,300000.0,0.067,0.00938,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (93)  ",T0144,2,No Pointer,17,"17-CL-0(P,X)17-CL-34-M,,SIG",Theoretical and Experimental Excitation Functions for Proton Induced Nuclear Reactions on Z=10 to Z=82 Target Nuclides.,1993,M.C.Lagunas-Solar+,1USADAV,2001/02/05,"Conf. Conf.on Nucl.Data for Sci. and Technology, Nice 2007 Vol.2, p.1391, 2007",T0144002,T0144,"(C,2007NICE,2,1391,2007)",1,1,0,35Cl,Cl,18,35,N,4.088832887735737,0.1956548535890431,Other,-29267.7665,0.0355,8521.104500000001,0.001,-2628.3540000000003,0.362,35453000.0,0.038,22688.695,0.22,18402.685,0.95,-7319.975,0.045,-14972.79,0.425,-11853.49,1.34,-16626.300000000003,0.38,10612.275,0.025,7167.790000000001,0.035,-43672.96701255446,-7.046500000024537,9701.81,0.04,1896.98,0.04,1699.745,0.5700000000000001,-7167.790000000001,-10612.275,-16369.283900000002,-14144.7179,-17916.884899999997,-18877.8744,-18402.685,-22688.695,-7319.975,-3410.7005,-7167.790000000001,-10612.275,-8387.709,-17408.646500000003,-14206.9001,-8651.243500000004,-11071.1435,-7167.790000000001,-4943.224000000002,-10612.275,-7887.488900000002,-10684.6446,-4355.046,-1674.3156000000006,-2646.946,9965.3444,12646.0749
22767,proton,All_or_Total,9000,M,Other,Lab,27700000.0,300000.0,0.096,0.01344,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (93)  ",T0144,2,No Pointer,17,"17-CL-0(P,X)17-CL-34-M,,SIG",Theoretical and Experimental Excitation Functions for Proton Induced Nuclear Reactions on Z=10 to Z=82 Target Nuclides.,1993,M.C.Lagunas-Solar+,1USADAV,2001/02/05,"Conf. Conf.on Nucl.Data for Sci. and Technology, Nice 2007 Vol.2, p.1391, 2007",T0144002,T0144,"(C,2007NICE,2,1391,2007)",1,1,0,35Cl,Cl,18,35,N,4.088832887735737,0.1956548535890431,Other,-29267.7665,0.0355,8521.104500000001,0.001,-2628.3540000000003,0.362,35453000.0,0.038,22688.695,0.22,18402.685,0.95,-7319.975,0.045,-14972.79,0.425,-11853.49,1.34,-16626.300000000003,0.38,10612.275,0.025,7167.790000000001,0.035,-43672.96701255446,-7.046500000024537,9701.81,0.04,1896.98,0.04,1699.745,0.5700000000000001,-7167.790000000001,-10612.275,-16369.283900000002,-14144.7179,-17916.884899999997,-18877.8744,-18402.685,-22688.695,-7319.975,-3410.7005,-7167.790000000001,-10612.275,-8387.709,-17408.646500000003,-14206.9001,-8651.243500000004,-11071.1435,-7167.790000000001,-4943.224000000002,-10612.275,-7887.488900000002,-10684.6446,-4355.046,-1674.3156000000006,-2646.946,9965.3444,12646.0749
22768,proton,All_or_Total,9000,M,Other,Lab,29800000.0,300000.0,0.114,0.01596,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (93)  ",T0144,2,No Pointer,17,"17-CL-0(P,X)17-CL-34-M,,SIG",Theoretical and Experimental Excitation Functions for Proton Induced Nuclear Reactions on Z=10 to Z=82 Target Nuclides.,1993,M.C.Lagunas-Solar+,1USADAV,2001/02/05,"Conf. Conf.on Nucl.Data for Sci. and Technology, Nice 2007 Vol.2, p.1391, 2007",T0144002,T0144,"(C,2007NICE,2,1391,2007)",1,1,0,35Cl,Cl,18,35,N,4.088832887735737,0.1956548535890431,Other,-29267.7665,0.0355,8521.104500000001,0.001,-2628.3540000000003,0.362,35453000.0,0.038,22688.695,0.22,18402.685,0.95,-7319.975,0.045,-14972.79,0.425,-11853.49,1.34,-16626.300000000003,0.38,10612.275,0.025,7167.790000000001,0.035,-43672.96701255446,-7.046500000024537,9701.81,0.04,1896.98,0.04,1699.745,0.5700000000000001,-7167.790000000001,-10612.275,-16369.283900000002,-14144.7179,-17916.884899999997,-18877.8744,-18402.685,-22688.695,-7319.975,-3410.7005,-7167.790000000001,-10612.275,-8387.709,-17408.646500000003,-14206.9001,-8651.243500000004,-11071.1435,-7167.790000000001,-4943.224000000002,-10612.275,-7887.488900000002,-10684.6446,-4355.046,-1674.3156000000006,-2646.946,9965.3444,12646.0749
22769,proton,All_or_Total,9000,M,Other,Lab,31900000.0,300000.0,0.107,0.01498,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (93)  ",T0144,2,No Pointer,17,"17-CL-0(P,X)17-CL-34-M,,SIG",Theoretical and Experimental Excitation Functions for Proton Induced Nuclear Reactions on Z=10 to Z=82 Target Nuclides.,1993,M.C.Lagunas-Solar+,1USADAV,2001/02/05,"Conf. Conf.on Nucl.Data for Sci. and Technology, Nice 2007 Vol.2, p.1391, 2007",T0144002,T0144,"(C,2007NICE,2,1391,2007)",1,1,0,35Cl,Cl,18,35,N,4.088832887735737,0.1956548535890431,Other,-29267.7665,0.0355,8521.104500000001,0.001,-2628.3540000000003,0.362,35453000.0,0.038,22688.695,0.22,18402.685,0.95,-7319.975,0.045,-14972.79,0.425,-11853.49,1.34,-16626.300000000003,0.38,10612.275,0.025,7167.790000000001,0.035,-43672.96701255446,-7.046500000024537,9701.81,0.04,1896.98,0.04,1699.745,0.5700000000000001,-7167.790000000001,-10612.275,-16369.283900000002,-14144.7179,-17916.884899999997,-18877.8744,-18402.685,-22688.695,-7319.975,-3410.7005,-7167.790000000001,-10612.275,-8387.709,-17408.646500000003,-14206.9001,-8651.243500000004,-11071.1435,-7167.790000000001,-4943.224000000002,-10612.275,-7887.488900000002,-10684.6446,-4355.046,-1674.3156000000006,-2646.946,9965.3444,12646.0749
22770,proton,All_or_Total,9000,M,Other,Lab,33600000.0,300000.0,0.094,0.01316,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (93)  ",T0144,2,No Pointer,17,"17-CL-0(P,X)17-CL-34-M,,SIG",Theoretical and Experimental Excitation Functions for Proton Induced Nuclear Reactions on Z=10 to Z=82 Target Nuclides.,1993,M.C.Lagunas-Solar+,1USADAV,2001/02/05,"Conf. Conf.on Nucl.Data for Sci. and Technology, Nice 2007 Vol.2, p.1391, 2007",T0144002,T0144,"(C,2007NICE,2,1391,2007)",1,1,0,35Cl,Cl,18,35,N,4.088832887735737,0.1956548535890431,Other,-29267.7665,0.0355,8521.104500000001,0.001,-2628.3540000000003,0.362,35453000.0,0.038,22688.695,0.22,18402.685,0.95,-7319.975,0.045,-14972.79,0.425,-11853.49,1.34,-16626.300000000003,0.38,10612.275,0.025,7167.790000000001,0.035,-43672.96701255446,-7.046500000024537,9701.81,0.04,1896.98,0.04,1699.745,0.5700000000000001,-7167.790000000001,-10612.275,-16369.283900000002,-14144.7179,-17916.884899999997,-18877.8744,-18402.685,-22688.695,-7319.975,-3410.7005,-7167.790000000001,-10612.275,-8387.709,-17408.646500000003,-14206.9001,-8651.243500000004,-11071.1435,-7167.790000000001,-4943.224000000002,-10612.275,-7887.488900000002,-10684.6446,-4355.046,-1674.3156000000006,-2646.946,9965.3444,12646.0749
22771,proton,All_or_Total,9000,M,Other,Lab,35500000.0,300000.0,0.082,0.01148,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (93)  ",T0144,2,No Pointer,17,"17-CL-0(P,X)17-CL-34-M,,SIG",Theoretical and Experimental Excitation Functions for Proton Induced Nuclear Reactions on Z=10 to Z=82 Target Nuclides.,1993,M.C.Lagunas-Solar+,1USADAV,2001/02/05,"Conf. Conf.on Nucl.Data for Sci. and Technology, Nice 2007 Vol.2, p.1391, 2007",T0144002,T0144,"(C,2007NICE,2,1391,2007)",1,1,0,35Cl,Cl,18,35,N,4.088832887735737,0.1956548535890431,Other,-29267.7665,0.0355,8521.104500000001,0.001,-2628.3540000000003,0.362,35453000.0,0.038,22688.695,0.22,18402.685,0.95,-7319.975,0.045,-14972.79,0.425,-11853.49,1.34,-16626.300000000003,0.38,10612.275,0.025,7167.790000000001,0.035,-43672.96701255446,-7.046500000024537,9701.81,0.04,1896.98,0.04,1699.745,0.5700000000000001,-7167.790000000001,-10612.275,-16369.283900000002,-14144.7179,-17916.884899999997,-18877.8744,-18402.685,-22688.695,-7319.975,-3410.7005,-7167.790000000001,-10612.275,-8387.709,-17408.646500000003,-14206.9001,-8651.243500000004,-11071.1435,-7167.790000000001,-4943.224000000002,-10612.275,-7887.488900000002,-10684.6446,-4355.046,-1674.3156000000006,-2646.946,9965.3444,12646.0749
22772,proton,All_or_Total,9000,M,Other,Lab,37400000.0,300000.0,0.07,0.0098,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (93)  ",T0144,2,No Pointer,17,"17-CL-0(P,X)17-CL-34-M,,SIG",Theoretical and Experimental Excitation Functions for Proton Induced Nuclear Reactions on Z=10 to Z=82 Target Nuclides.,1993,M.C.Lagunas-Solar+,1USADAV,2001/02/05,"Conf. Conf.on Nucl.Data for Sci. and Technology, Nice 2007 Vol.2, p.1391, 2007",T0144002,T0144,"(C,2007NICE,2,1391,2007)",1,1,0,35Cl,Cl,18,35,N,4.088832887735737,0.1956548535890431,Other,-29267.7665,0.0355,8521.104500000001,0.001,-2628.3540000000003,0.362,35453000.0,0.038,22688.695,0.22,18402.685,0.95,-7319.975,0.045,-14972.79,0.425,-11853.49,1.34,-16626.300000000003,0.38,10612.275,0.025,7167.790000000001,0.035,-43672.96701255446,-7.046500000024537,9701.81,0.04,1896.98,0.04,1699.745,0.5700000000000001,-7167.790000000001,-10612.275,-16369.283900000002,-14144.7179,-17916.884899999997,-18877.8744,-18402.685,-22688.695,-7319.975,-3410.7005,-7167.790000000001,-10612.275,-8387.709,-17408.646500000003,-14206.9001,-8651.243500000004,-11071.1435,-7167.790000000001,-4943.224000000002,-10612.275,-7887.488900000002,-10684.6446,-4355.046,-1674.3156000000006,-2646.946,9965.3444,12646.0749
22773,proton,All_or_Total,9000,M,Other,Lab,39500000.0,300000.0,0.0636,0.008904,0.0,0.0,Other,"M.C.LAGUNAS-SOLAR, (93)  ",T0144,2,No Pointer,17,"17-CL-0(P,X)17-CL-34-M,,SIG",Theoretical and Experimental Excitation Functions for Proton Induced Nuclear Reactions on Z=10 to Z=82 Target Nuclides.,1993,M.C.Lagunas-Solar+,1USADAV,2001/02/05,"Conf. Conf.on Nucl.Data for Sci. and Technology, Nice 2007 Vol.2, p.1391, 2007",T0144002,T0144,"(C,2007NICE,2,1391,2007)",1,1,0,35Cl,Cl,18,35,N,4.088832887735737,0.1956548535890431,Other,-29267.7665,0.0355,8521.104500000001,0.001,-2628.3540000000003,0.362,35453000.0,0.038,22688.695,0.22,18402.685,0.95,-7319.975,0.045,-14972.79,0.425,-11853.49,1.34,-16626.300000000003,0.38,10612.275,0.025,7167.790000000001,0.035,-43672.96701255446,-7.046500000024537,9701.81,0.04,1896.98,0.04,1699.745,0.5700000000000001,-7167.790000000001,-10612.275,-16369.283900000002,-14144.7179,-17916.884899999997,-18877.8744,-18402.685,-22688.695,-7319.975,-3410.7005,-7167.790000000001,-10612.275,-8387.709,-17408.646500000003,-14206.9001,-8651.243500000004,-11071.1435,-7167.790000000001,-4943.224000000002,-10612.275,-7887.488900000002,-10684.6446,-4355.046,-1674.3156000000006,-2646.946,9965.3444,12646.0749
