,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
22892,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,1602000.0,39337.450683465686,0.000101,1.0150755148488751e-05,0.0,0.0,Other,"R.O.Weber,ET.AL. (85)    ",A0309,4,No Pointer,17,"17-CL-37(P,N)18-AR-37,,SIG",Cross sections and thermonuclear reaction raates of proton-induced reactions on Cl-37.,1985,R.O.Weber+,3AULAML,2004/02/05,"Jour. Physical Review Vol.109, p.1243, 1958",A0309004,A0309,"(J,PR,109,1243,1958)",1,1,0,37Cl,Cl,20,37,I,4.165277314557441,0.1920640426998795,Other,-31761.538,0.052,8570.280999999999,0.001,-813.873,0.2,36965902.584,0.055,18890.64,0.06,21481.68,1.87,-7849.11,1.09,-6961.34,0.11,-18799.47,13.11,-9601.32,0.06,10310.85,0.06,8386.38,0.19,-35282.0,300.0,7795.47,0.07,3034.2,0.07,-1566.44,0.81,-8386.38,-10310.85,-18275.6239,-16051.0579,-16779.6649,-22144.0594,-21481.68,-18890.64,-7849.11,-1596.2195000000004,-8386.38,-10310.85,-8086.2840000000015,-10383.6665,-10408.8451,-10557.5835,-18017.1235,-8386.38,-6161.813999999999,-10310.85,-9793.8289,-13763.6396,-4053.621,-2892.9055999999987,-832.465,10266.7694,11427.4849
22893,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,1602000.0,39337.450683465686,0.00061,6.130654099582314e-05,0.0,0.0,Other,"R.O.Weber,ET.AL. (85)    ",A0309,4,No Pointer,17,"17-CL-37(P,N)18-AR-37,,SIG",Cross sections and thermonuclear reaction raates of proton-induced reactions on Cl-37.,1985,R.O.Weber+,3AULAML,2004/02/05,"Jour. Physical Review Vol.109, p.1243, 1958",A0309004,A0309,"(J,PR,109,1243,1958)",1,1,0,37Cl,Cl,20,37,I,4.165277314557441,0.1920640426998795,Other,-31761.538,0.052,8570.280999999999,0.001,-813.873,0.2,36965902.584,0.055,18890.64,0.06,21481.68,1.87,-7849.11,1.09,-6961.34,0.11,-18799.47,13.11,-9601.32,0.06,10310.85,0.06,8386.38,0.19,-35282.0,300.0,7795.47,0.07,3034.2,0.07,-1566.44,0.81,-8386.38,-10310.85,-18275.6239,-16051.0579,-16779.6649,-22144.0594,-21481.68,-18890.64,-7849.11,-1596.2195000000004,-8386.38,-10310.85,-8086.2840000000015,-10383.6665,-10408.8451,-10557.5835,-18017.1235,-8386.38,-6161.813999999999,-10310.85,-9793.8289,-13763.6396,-4053.621,-2892.9055999999987,-832.465,10266.7694,11427.4849
22894,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,1651000.0,40540.65610387131,0.00232,0.0002331658608365,0.0,0.0,Other,"R.O.Weber,ET.AL. (85)    ",A0309,4,No Pointer,17,"17-CL-37(P,N)18-AR-37,,SIG",Cross sections and thermonuclear reaction raates of proton-induced reactions on Cl-37.,1985,R.O.Weber+,3AULAML,2004/02/05,"Jour. Physical Review Vol.109, p.1243, 1958",A0309004,A0309,"(J,PR,109,1243,1958)",1,1,0,37Cl,Cl,20,37,I,4.165277314557441,0.1920640426998795,Other,-31761.538,0.052,8570.280999999999,0.001,-813.873,0.2,36965902.584,0.055,18890.64,0.06,21481.68,1.87,-7849.11,1.09,-6961.34,0.11,-18799.47,13.11,-9601.32,0.06,10310.85,0.06,8386.38,0.19,-35282.0,300.0,7795.47,0.07,3034.2,0.07,-1566.44,0.81,-8386.38,-10310.85,-18275.6239,-16051.0579,-16779.6649,-22144.0594,-21481.68,-18890.64,-7849.11,-1596.2195000000004,-8386.38,-10310.85,-8086.2840000000015,-10383.6665,-10408.8451,-10557.5835,-18017.1235,-8386.38,-6161.813999999999,-10310.85,-9793.8289,-13763.6396,-4053.621,-2892.9055999999987,-832.465,10266.7694,11427.4849
22895,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,1700000.0,41743.86152427695,0.0054,0.0005427136416023,0.0,0.0,Other,"R.O.Weber,ET.AL. (85)    ",A0309,4,No Pointer,17,"17-CL-37(P,N)18-AR-37,,SIG",Cross sections and thermonuclear reaction raates of proton-induced reactions on Cl-37.,1985,R.O.Weber+,3AULAML,2004/02/05,"Jour. Physical Review Vol.109, p.1243, 1958",A0309004,A0309,"(J,PR,109,1243,1958)",1,1,0,37Cl,Cl,20,37,I,4.165277314557441,0.1920640426998795,Other,-31761.538,0.052,8570.280999999999,0.001,-813.873,0.2,36965902.584,0.055,18890.64,0.06,21481.68,1.87,-7849.11,1.09,-6961.34,0.11,-18799.47,13.11,-9601.32,0.06,10310.85,0.06,8386.38,0.19,-35282.0,300.0,7795.47,0.07,3034.2,0.07,-1566.44,0.81,-8386.38,-10310.85,-18275.6239,-16051.0579,-16779.6649,-22144.0594,-21481.68,-18890.64,-7849.11,-1596.2195000000004,-8386.38,-10310.85,-8086.2840000000015,-10383.6665,-10408.8451,-10557.5835,-18017.1235,-8386.38,-6161.813999999999,-10310.85,-9793.8289,-13763.6396,-4053.621,-2892.9055999999987,-832.465,10266.7694,11427.4849
22896,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,1749000.0,42947.06694468257,0.0072,0.0007236181888031,0.0,0.0,Other,"R.O.Weber,ET.AL. (85)    ",A0309,4,No Pointer,17,"17-CL-37(P,N)18-AR-37,,SIG",Cross sections and thermonuclear reaction raates of proton-induced reactions on Cl-37.,1985,R.O.Weber+,3AULAML,2004/02/05,"Jour. Physical Review Vol.109, p.1243, 1958",A0309004,A0309,"(J,PR,109,1243,1958)",1,1,0,37Cl,Cl,20,37,I,4.165277314557441,0.1920640426998795,Other,-31761.538,0.052,8570.280999999999,0.001,-813.873,0.2,36965902.584,0.055,18890.64,0.06,21481.68,1.87,-7849.11,1.09,-6961.34,0.11,-18799.47,13.11,-9601.32,0.06,10310.85,0.06,8386.38,0.19,-35282.0,300.0,7795.47,0.07,3034.2,0.07,-1566.44,0.81,-8386.38,-10310.85,-18275.6239,-16051.0579,-16779.6649,-22144.0594,-21481.68,-18890.64,-7849.11,-1596.2195000000004,-8386.38,-10310.85,-8086.2840000000015,-10383.6665,-10408.8451,-10557.5835,-18017.1235,-8386.38,-6161.813999999999,-10310.85,-9793.8289,-13763.6396,-4053.621,-2892.9055999999987,-832.465,10266.7694,11427.4849
22897,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,1798000.0,44150.2723650882,0.0141,0.0014170856197395,0.0,0.0,Other,"R.O.Weber,ET.AL. (85)    ",A0309,4,No Pointer,17,"17-CL-37(P,N)18-AR-37,,SIG",Cross sections and thermonuclear reaction raates of proton-induced reactions on Cl-37.,1985,R.O.Weber+,3AULAML,2004/02/05,"Jour. Physical Review Vol.109, p.1243, 1958",A0309004,A0309,"(J,PR,109,1243,1958)",1,1,0,37Cl,Cl,20,37,I,4.165277314557441,0.1920640426998795,Other,-31761.538,0.052,8570.280999999999,0.001,-813.873,0.2,36965902.584,0.055,18890.64,0.06,21481.68,1.87,-7849.11,1.09,-6961.34,0.11,-18799.47,13.11,-9601.32,0.06,10310.85,0.06,8386.38,0.19,-35282.0,300.0,7795.47,0.07,3034.2,0.07,-1566.44,0.81,-8386.38,-10310.85,-18275.6239,-16051.0579,-16779.6649,-22144.0594,-21481.68,-18890.64,-7849.11,-1596.2195000000004,-8386.38,-10310.85,-8086.2840000000015,-10383.6665,-10408.8451,-10557.5835,-18017.1235,-8386.38,-6161.813999999999,-10310.85,-9793.8289,-13763.6396,-4053.621,-2892.9055999999987,-832.465,10266.7694,11427.4849
22898,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,1846000.0,45328.9225728325,0.017,0.0017085429457852,0.0,0.0,Other,"R.O.Weber,ET.AL. (85)    ",A0309,4,No Pointer,17,"17-CL-37(P,N)18-AR-37,,SIG",Cross sections and thermonuclear reaction raates of proton-induced reactions on Cl-37.,1985,R.O.Weber+,3AULAML,2004/02/05,"Jour. Physical Review Vol.109, p.1243, 1958",A0309004,A0309,"(J,PR,109,1243,1958)",1,1,0,37Cl,Cl,20,37,I,4.165277314557441,0.1920640426998795,Other,-31761.538,0.052,8570.280999999999,0.001,-813.873,0.2,36965902.584,0.055,18890.64,0.06,21481.68,1.87,-7849.11,1.09,-6961.34,0.11,-18799.47,13.11,-9601.32,0.06,10310.85,0.06,8386.38,0.19,-35282.0,300.0,7795.47,0.07,3034.2,0.07,-1566.44,0.81,-8386.38,-10310.85,-18275.6239,-16051.0579,-16779.6649,-22144.0594,-21481.68,-18890.64,-7849.11,-1596.2195000000004,-8386.38,-10310.85,-8086.2840000000015,-10383.6665,-10408.8451,-10557.5835,-18017.1235,-8386.38,-6161.813999999999,-10310.85,-9793.8289,-13763.6396,-4053.621,-2892.9055999999987,-832.465,10266.7694,11427.4849
22899,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,1895000.0,46532.12799323812,0.0187,0.0018793972403637,0.0,0.0,Other,"R.O.Weber,ET.AL. (85)    ",A0309,4,No Pointer,17,"17-CL-37(P,N)18-AR-37,,SIG",Cross sections and thermonuclear reaction raates of proton-induced reactions on Cl-37.,1985,R.O.Weber+,3AULAML,2004/02/05,"Jour. Physical Review Vol.109, p.1243, 1958",A0309004,A0309,"(J,PR,109,1243,1958)",1,1,0,37Cl,Cl,20,37,I,4.165277314557441,0.1920640426998795,Other,-31761.538,0.052,8570.280999999999,0.001,-813.873,0.2,36965902.584,0.055,18890.64,0.06,21481.68,1.87,-7849.11,1.09,-6961.34,0.11,-18799.47,13.11,-9601.32,0.06,10310.85,0.06,8386.38,0.19,-35282.0,300.0,7795.47,0.07,3034.2,0.07,-1566.44,0.81,-8386.38,-10310.85,-18275.6239,-16051.0579,-16779.6649,-22144.0594,-21481.68,-18890.64,-7849.11,-1596.2195000000004,-8386.38,-10310.85,-8086.2840000000015,-10383.6665,-10408.8451,-10557.5835,-18017.1235,-8386.38,-6161.813999999999,-10310.85,-9793.8289,-13763.6396,-4053.621,-2892.9055999999987,-832.465,10266.7694,11427.4849
22900,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,1934000.0,47489.78128703036,0.0401,0.0040301513015287,0.0,0.0,Other,"R.O.Weber,ET.AL. (85)    ",A0309,4,No Pointer,17,"17-CL-37(P,N)18-AR-37,,SIG",Cross sections and thermonuclear reaction raates of proton-induced reactions on Cl-37.,1985,R.O.Weber+,3AULAML,2004/02/05,"Jour. Physical Review Vol.109, p.1243, 1958",A0309004,A0309,"(J,PR,109,1243,1958)",1,1,0,37Cl,Cl,20,37,I,4.165277314557441,0.1920640426998795,Other,-31761.538,0.052,8570.280999999999,0.001,-813.873,0.2,36965902.584,0.055,18890.64,0.06,21481.68,1.87,-7849.11,1.09,-6961.34,0.11,-18799.47,13.11,-9601.32,0.06,10310.85,0.06,8386.38,0.19,-35282.0,300.0,7795.47,0.07,3034.2,0.07,-1566.44,0.81,-8386.38,-10310.85,-18275.6239,-16051.0579,-16779.6649,-22144.0594,-21481.68,-18890.64,-7849.11,-1596.2195000000004,-8386.38,-10310.85,-8086.2840000000015,-10383.6665,-10408.8451,-10557.5835,-18017.1235,-8386.38,-6161.813999999999,-10310.85,-9793.8289,-13763.6396,-4053.621,-2892.9055999999987,-832.465,10266.7694,11427.4849
22901,proton,All_or_Total,4,All_or_Total,Other,Center_of_Mass,1993000.0,48938.53883404938,0.0401,0.0040301513015287,0.0,0.0,Other,"R.O.Weber,ET.AL. (85)    ",A0309,4,No Pointer,17,"17-CL-37(P,N)18-AR-37,,SIG",Cross sections and thermonuclear reaction raates of proton-induced reactions on Cl-37.,1985,R.O.Weber+,3AULAML,2004/02/05,"Jour. Physical Review Vol.109, p.1243, 1958",A0309004,A0309,"(J,PR,109,1243,1958)",1,1,0,37Cl,Cl,20,37,I,4.165277314557441,0.1920640426998795,Other,-31761.538,0.052,8570.280999999999,0.001,-813.873,0.2,36965902.584,0.055,18890.64,0.06,21481.68,1.87,-7849.11,1.09,-6961.34,0.11,-18799.47,13.11,-9601.32,0.06,10310.85,0.06,8386.38,0.19,-35282.0,300.0,7795.47,0.07,3034.2,0.07,-1566.44,0.81,-8386.38,-10310.85,-18275.6239,-16051.0579,-16779.6649,-22144.0594,-21481.68,-18890.64,-7849.11,-1596.2195000000004,-8386.38,-10310.85,-8086.2840000000015,-10383.6665,-10408.8451,-10557.5835,-18017.1235,-8386.38,-6161.813999999999,-10310.85,-9793.8289,-13763.6396,-4053.621,-2892.9055999999987,-832.465,10266.7694,11427.4849
