,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
184,proton,All_or_Total,4,All_or_Total,Other,Lab,1012000.0,35710.0,0.1028,0.004285,0.0,0.0,Other,J.D.SEAGRAVE (60)        ,A0152,3,No Pointer,1,"1-H-3(P,N)2-HE-3,,SIG,,,EXP","THE T(P,N)HE-3 REACTION AND ITS INVERSE",1960,J.D.Seagrave,1USALAS,1983/01/01,"Conf. Conf.Nucl.Forces and Few-Nucleon Probl.,London 1959 Vol.2, p.583, 1960",A0152003,A0152,"(C,59LONDON,2,583,60)",1,1,0,3H,H,2,3,I,1.8028119628842605,0.4437512155844062,Other,14949.80993,0.00022,2827.265,0.0,18.592,0.0,3016049.28199,0.00023,8481.79,0.0,0.0,0.0,0.0,0.0,-13717.0,2000.0,0.0,0.0,1080.694967107618,-357.2800014197255,6257.23,0.0,2224.57,0.0,-86152.99999999997,5064.000000000001,17589.3,0.0,19813.86,0.0,0.0,0.0,-2224.57,-6257.23,-8481.7939,-6257.227900000003,-0.0048999999999068,0.0,0.0,-8481.79,0.0,-763.7545,-2224.57,-6257.23,-4032.664,298.34878133661186,0.0048999999999068,-763.7535000000024,0.0,-2224.57,-0.0040000000003601,-6257.23,0.0010999999976775,0.0,-0.0009999999992942,3268.9044,0.0,14320.3894,17589.2949
185,proton,All_or_Total,4,All_or_Total,Other,Lab,1013000.0,35710.0,0.1071,0.004285,0.0,0.0,Other,J.D.SEAGRAVE (60)        ,A0152,3,No Pointer,1,"1-H-3(P,N)2-HE-3,,SIG,,,EXP","THE T(P,N)HE-3 REACTION AND ITS INVERSE",1960,J.D.Seagrave,1USALAS,1983/01/01,"Conf. Conf.Nucl.Forces and Few-Nucleon Probl.,London 1959 Vol.2, p.583, 1960",A0152003,A0152,"(C,59LONDON,2,583,60)",1,1,0,3H,H,2,3,I,1.8028119628842605,0.4437512155844062,Other,14949.80993,0.00022,2827.265,0.0,18.592,0.0,3016049.28199,0.00023,8481.79,0.0,0.0,0.0,0.0,0.0,-13717.0,2000.0,0.0,0.0,1080.694967107618,-357.2800014197255,6257.23,0.0,2224.57,0.0,-86152.99999999997,5064.000000000001,17589.3,0.0,19813.86,0.0,0.0,0.0,-2224.57,-6257.23,-8481.7939,-6257.227900000003,-0.0048999999999068,0.0,0.0,-8481.79,0.0,-763.7545,-2224.57,-6257.23,-4032.664,298.34878133661186,0.0048999999999068,-763.7535000000024,0.0,-2224.57,-0.0040000000003601,-6257.23,0.0010999999976775,0.0,-0.0009999999992942,3268.9044,0.0,14320.3894,17589.2949
186,proton,All_or_Total,4,All_or_Total,Other,Lab,1034000.0,35710.0,0.06426,0.004285,0.0,0.0,Other,J.D.SEAGRAVE (60)        ,A0152,3,No Pointer,1,"1-H-3(P,N)2-HE-3,,SIG,,,EXP","THE T(P,N)HE-3 REACTION AND ITS INVERSE",1960,J.D.Seagrave,1USALAS,1983/01/01,"Conf. Conf.Nucl.Forces and Few-Nucleon Probl.,London 1959 Vol.2, p.583, 1960",A0152003,A0152,"(C,59LONDON,2,583,60)",1,1,0,3H,H,2,3,I,1.8028119628842605,0.4437512155844062,Other,14949.80993,0.00022,2827.265,0.0,18.592,0.0,3016049.28199,0.00023,8481.79,0.0,0.0,0.0,0.0,0.0,-13717.0,2000.0,0.0,0.0,1080.694967107618,-357.2800014197255,6257.23,0.0,2224.57,0.0,-86152.99999999997,5064.000000000001,17589.3,0.0,19813.86,0.0,0.0,0.0,-2224.57,-6257.23,-8481.7939,-6257.227900000003,-0.0048999999999068,0.0,0.0,-8481.79,0.0,-763.7545,-2224.57,-6257.23,-4032.664,298.34878133661186,0.0048999999999068,-763.7535000000024,0.0,-2224.57,-0.0040000000003601,-6257.23,0.0010999999976775,0.0,-0.0009999999992942,3268.9044,0.0,14320.3894,17589.2949
187,proton,All_or_Total,4,All_or_Total,Other,Lab,1038000.0,35710.0,0.09425,0.004285,0.0,0.0,Other,J.D.SEAGRAVE (60)        ,A0152,3,No Pointer,1,"1-H-3(P,N)2-HE-3,,SIG,,,EXP","THE T(P,N)HE-3 REACTION AND ITS INVERSE",1960,J.D.Seagrave,1USALAS,1983/01/01,"Conf. Conf.Nucl.Forces and Few-Nucleon Probl.,London 1959 Vol.2, p.583, 1960",A0152003,A0152,"(C,59LONDON,2,583,60)",1,1,0,3H,H,2,3,I,1.8028119628842605,0.4437512155844062,Other,14949.80993,0.00022,2827.265,0.0,18.592,0.0,3016049.28199,0.00023,8481.79,0.0,0.0,0.0,0.0,0.0,-13717.0,2000.0,0.0,0.0,1080.694967107618,-357.2800014197255,6257.23,0.0,2224.57,0.0,-86152.99999999997,5064.000000000001,17589.3,0.0,19813.86,0.0,0.0,0.0,-2224.57,-6257.23,-8481.7939,-6257.227900000003,-0.0048999999999068,0.0,0.0,-8481.79,0.0,-763.7545,-2224.57,-6257.23,-4032.664,298.34878133661186,0.0048999999999068,-763.7535000000024,0.0,-2224.57,-0.0040000000003601,-6257.23,0.0010999999976775,0.0,-0.0009999999992942,3268.9044,0.0,14320.3894,17589.2949
188,proton,All_or_Total,4,All_or_Total,Other,Lab,1043000.0,35710.0,0.1328,0.004285,0.0,0.0,Other,J.D.SEAGRAVE (60)        ,A0152,3,No Pointer,1,"1-H-3(P,N)2-HE-3,,SIG,,,EXP","THE T(P,N)HE-3 REACTION AND ITS INVERSE",1960,J.D.Seagrave,1USALAS,1983/01/01,"Conf. Conf.Nucl.Forces and Few-Nucleon Probl.,London 1959 Vol.2, p.583, 1960",A0152003,A0152,"(C,59LONDON,2,583,60)",1,1,0,3H,H,2,3,I,1.8028119628842605,0.4437512155844062,Other,14949.80993,0.00022,2827.265,0.0,18.592,0.0,3016049.28199,0.00023,8481.79,0.0,0.0,0.0,0.0,0.0,-13717.0,2000.0,0.0,0.0,1080.694967107618,-357.2800014197255,6257.23,0.0,2224.57,0.0,-86152.99999999997,5064.000000000001,17589.3,0.0,19813.86,0.0,0.0,0.0,-2224.57,-6257.23,-8481.7939,-6257.227900000003,-0.0048999999999068,0.0,0.0,-8481.79,0.0,-763.7545,-2224.57,-6257.23,-4032.664,298.34878133661186,0.0048999999999068,-763.7535000000024,0.0,-2224.57,-0.0040000000003601,-6257.23,0.0010999999976775,0.0,-0.0009999999992942,3268.9044,0.0,14320.3894,17589.2949
189,proton,All_or_Total,4,All_or_Total,Other,Lab,1045000.0,35710.0,0.1542,0.01286,0.0,0.0,Other,J.D.SEAGRAVE (60)        ,A0152,3,No Pointer,1,"1-H-3(P,N)2-HE-3,,SIG,,,EXP","THE T(P,N)HE-3 REACTION AND ITS INVERSE",1960,J.D.Seagrave,1USALAS,1983/01/01,"Conf. Conf.Nucl.Forces and Few-Nucleon Probl.,London 1959 Vol.2, p.583, 1960",A0152003,A0152,"(C,59LONDON,2,583,60)",1,1,0,3H,H,2,3,I,1.8028119628842605,0.4437512155844062,Other,14949.80993,0.00022,2827.265,0.0,18.592,0.0,3016049.28199,0.00023,8481.79,0.0,0.0,0.0,0.0,0.0,-13717.0,2000.0,0.0,0.0,1080.694967107618,-357.2800014197255,6257.23,0.0,2224.57,0.0,-86152.99999999997,5064.000000000001,17589.3,0.0,19813.86,0.0,0.0,0.0,-2224.57,-6257.23,-8481.7939,-6257.227900000003,-0.0048999999999068,0.0,0.0,-8481.79,0.0,-763.7545,-2224.57,-6257.23,-4032.664,298.34878133661186,0.0048999999999068,-763.7535000000024,0.0,-2224.57,-0.0040000000003601,-6257.23,0.0010999999976775,0.0,-0.0009999999992942,3268.9044,0.0,14320.3894,17589.2949
190,proton,All_or_Total,4,All_or_Total,Other,Lab,1100000.0,35710.0,0.1671,0.03,0.0,0.0,Other,J.D.SEAGRAVE (60)        ,A0152,3,No Pointer,1,"1-H-3(P,N)2-HE-3,,SIG,,,EXP","THE T(P,N)HE-3 REACTION AND ITS INVERSE",1960,J.D.Seagrave,1USALAS,1983/01/01,"Conf. Conf.Nucl.Forces and Few-Nucleon Probl.,London 1959 Vol.2, p.583, 1960",A0152003,A0152,"(C,59LONDON,2,583,60)",1,1,0,3H,H,2,3,I,1.8028119628842605,0.4437512155844062,Other,14949.80993,0.00022,2827.265,0.0,18.592,0.0,3016049.28199,0.00023,8481.79,0.0,0.0,0.0,0.0,0.0,-13717.0,2000.0,0.0,0.0,1080.694967107618,-357.2800014197255,6257.23,0.0,2224.57,0.0,-86152.99999999997,5064.000000000001,17589.3,0.0,19813.86,0.0,0.0,0.0,-2224.57,-6257.23,-8481.7939,-6257.227900000003,-0.0048999999999068,0.0,0.0,-8481.79,0.0,-763.7545,-2224.57,-6257.23,-4032.664,298.34878133661186,0.0048999999999068,-763.7535000000024,0.0,-2224.57,-0.0040000000003601,-6257.23,0.0010999999976775,0.0,-0.0009999999992942,3268.9044,0.0,14320.3894,17589.2949
191,proton,All_or_Total,4,All_or_Total,Other,Lab,1131000.0,35710.0,0.2013,0.01716,0.0,0.0,Other,J.D.SEAGRAVE (60)        ,A0152,3,No Pointer,1,"1-H-3(P,N)2-HE-3,,SIG,,,EXP","THE T(P,N)HE-3 REACTION AND ITS INVERSE",1960,J.D.Seagrave,1USALAS,1983/01/01,"Conf. Conf.Nucl.Forces and Few-Nucleon Probl.,London 1959 Vol.2, p.583, 1960",A0152003,A0152,"(C,59LONDON,2,583,60)",1,1,0,3H,H,2,3,I,1.8028119628842605,0.4437512155844062,Other,14949.80993,0.00022,2827.265,0.0,18.592,0.0,3016049.28199,0.00023,8481.79,0.0,0.0,0.0,0.0,0.0,-13717.0,2000.0,0.0,0.0,1080.694967107618,-357.2800014197255,6257.23,0.0,2224.57,0.0,-86152.99999999997,5064.000000000001,17589.3,0.0,19813.86,0.0,0.0,0.0,-2224.57,-6257.23,-8481.7939,-6257.227900000003,-0.0048999999999068,0.0,0.0,-8481.79,0.0,-763.7545,-2224.57,-6257.23,-4032.664,298.34878133661186,0.0048999999999068,-763.7535000000024,0.0,-2224.57,-0.0040000000003601,-6257.23,0.0010999999976775,0.0,-0.0009999999992942,3268.9044,0.0,14320.3894,17589.2949
192,proton,All_or_Total,4,All_or_Total,Other,Lab,1186000.0,35710.0,0.2227,0.01286,0.0,0.0,Other,J.D.SEAGRAVE (60)        ,A0152,3,No Pointer,1,"1-H-3(P,N)2-HE-3,,SIG,,,EXP","THE T(P,N)HE-3 REACTION AND ITS INVERSE",1960,J.D.Seagrave,1USALAS,1983/01/01,"Conf. Conf.Nucl.Forces and Few-Nucleon Probl.,London 1959 Vol.2, p.583, 1960",A0152003,A0152,"(C,59LONDON,2,583,60)",1,1,0,3H,H,2,3,I,1.8028119628842605,0.4437512155844062,Other,14949.80993,0.00022,2827.265,0.0,18.592,0.0,3016049.28199,0.00023,8481.79,0.0,0.0,0.0,0.0,0.0,-13717.0,2000.0,0.0,0.0,1080.694967107618,-357.2800014197255,6257.23,0.0,2224.57,0.0,-86152.99999999997,5064.000000000001,17589.3,0.0,19813.86,0.0,0.0,0.0,-2224.57,-6257.23,-8481.7939,-6257.227900000003,-0.0048999999999068,0.0,0.0,-8481.79,0.0,-763.7545,-2224.57,-6257.23,-4032.664,298.34878133661186,0.0048999999999068,-763.7535000000024,0.0,-2224.57,-0.0040000000003601,-6257.23,0.0010999999976775,0.0,-0.0009999999992942,3268.9044,0.0,14320.3894,17589.2949
193,proton,All_or_Total,4,All_or_Total,Other,Lab,1241000.0,35710.0,0.2355,0.02143,0.0,0.0,Other,J.D.SEAGRAVE (60)        ,A0152,3,No Pointer,1,"1-H-3(P,N)2-HE-3,,SIG,,,EXP","THE T(P,N)HE-3 REACTION AND ITS INVERSE",1960,J.D.Seagrave,1USALAS,1983/01/01,"Conf. Conf.Nucl.Forces and Few-Nucleon Probl.,London 1959 Vol.2, p.583, 1960",A0152003,A0152,"(C,59LONDON,2,583,60)",1,1,0,3H,H,2,3,I,1.8028119628842605,0.4437512155844062,Other,14949.80993,0.00022,2827.265,0.0,18.592,0.0,3016049.28199,0.00023,8481.79,0.0,0.0,0.0,0.0,0.0,-13717.0,2000.0,0.0,0.0,1080.694967107618,-357.2800014197255,6257.23,0.0,2224.57,0.0,-86152.99999999997,5064.000000000001,17589.3,0.0,19813.86,0.0,0.0,0.0,-2224.57,-6257.23,-8481.7939,-6257.227900000003,-0.0048999999999068,0.0,0.0,-8481.79,0.0,-763.7545,-2224.57,-6257.23,-4032.664,298.34878133661186,0.0048999999999068,-763.7535000000024,0.0,-2224.57,-0.0040000000003601,-6257.23,0.0010999999976775,0.0,-0.0009999999992942,3268.9044,0.0,14320.3894,17589.2949
