,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
23064,proton,All_or_Total,9000,All_or_Total,Other,Lab,54460000.0,1388208.9135751294,1.11e-05,inf,0.0,0.0,Other,"H.Lundqvist,ET.AL. (79)  ",A0299,13,No Pointer,18,"18-AR-0(P,X)11-NA-24,,SIG","Production of carrier-free Mg-28 and Na-24 by 50-180 MeV proton on Si,P,Cl,S,Ar and K: Excitation functions and chemical separation.",1979,H.Lundqvist+,2SWDUPP,2018/06/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.62, p.014610, 2000",A0299013,A0299,"(J,PR/C,62,014610,2000)",1,1,0,40Ar,Ar,22,40,N,4.274939866691742,0.1871371352456234,Other,-34141.04232,2.50112,8578.9285,0.064,-469.7014999999999,2.528,39948000.0,2.6847000000000003,17452.434999999998,2.595,21840.17,6.085,-6810.79,2.595,-3076.5,2.53,-16418.08,29.37,-10908.385,2.5,8233.855,5.0,11630.86,3.365,-30815.755,180.0,7349.58,2.55,1364.785,2.525,285.6300000000001,2.6,-11630.86,-8233.855,-18721.5139,-16496.9479,-18449.0799,-20291.9894,-21840.17,-17452.434999999998,-6810.79,-1252.0479999999998,-11630.86,-8233.855,-6009.289000000001,-11690.7315,-8970.640099999999,-11003.473500000002,-15635.7335,-11630.86,-9406.293999999998,-8233.855,-10239.7189,-14122.1296,-1976.6259999999995,-6137.3856,-488.2934999999999,12343.7644,8183.0049
23065,proton,All_or_Total,9000,All_or_Total,Other,Lab,78930000.0,2011959.778708868,6.93e-05,inf,0.0,0.0,Other,"H.Lundqvist,ET.AL. (79)  ",A0299,13,No Pointer,18,"18-AR-0(P,X)11-NA-24,,SIG","Production of carrier-free Mg-28 and Na-24 by 50-180 MeV proton on Si,P,Cl,S,Ar and K: Excitation functions and chemical separation.",1979,H.Lundqvist+,2SWDUPP,2018/06/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.62, p.014610, 2000",A0299013,A0299,"(J,PR/C,62,014610,2000)",1,1,0,40Ar,Ar,22,40,N,4.274939866691742,0.1871371352456234,Other,-34141.04232,2.50112,8578.9285,0.064,-469.7014999999999,2.528,39948000.0,2.6847000000000003,17452.434999999998,2.595,21840.17,6.085,-6810.79,2.595,-3076.5,2.53,-16418.08,29.37,-10908.385,2.5,8233.855,5.0,11630.86,3.365,-30815.755,180.0,7349.58,2.55,1364.785,2.525,285.6300000000001,2.6,-11630.86,-8233.855,-18721.5139,-16496.9479,-18449.0799,-20291.9894,-21840.17,-17452.434999999998,-6810.79,-1252.0479999999998,-11630.86,-8233.855,-6009.289000000001,-11690.7315,-8970.640099999999,-11003.473500000002,-15635.7335,-11630.86,-9406.293999999998,-8233.855,-10239.7189,-14122.1296,-1976.6259999999995,-6137.3856,-488.2934999999999,12343.7644,8183.0049
23066,proton,All_or_Total,9000,All_or_Total,Other,Lab,96620000.0,2462885.516519078,0.0001216,inf,0.0,0.0,Other,"H.Lundqvist,ET.AL. (79)  ",A0299,13,No Pointer,18,"18-AR-0(P,X)11-NA-24,,SIG","Production of carrier-free Mg-28 and Na-24 by 50-180 MeV proton on Si,P,Cl,S,Ar and K: Excitation functions and chemical separation.",1979,H.Lundqvist+,2SWDUPP,2018/06/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.62, p.014610, 2000",A0299013,A0299,"(J,PR/C,62,014610,2000)",1,1,0,40Ar,Ar,22,40,N,4.274939866691742,0.1871371352456234,Other,-34141.04232,2.50112,8578.9285,0.064,-469.7014999999999,2.528,39948000.0,2.6847000000000003,17452.434999999998,2.595,21840.17,6.085,-6810.79,2.595,-3076.5,2.53,-16418.08,29.37,-10908.385,2.5,8233.855,5.0,11630.86,3.365,-30815.755,180.0,7349.58,2.55,1364.785,2.525,285.6300000000001,2.6,-11630.86,-8233.855,-18721.5139,-16496.9479,-18449.0799,-20291.9894,-21840.17,-17452.434999999998,-6810.79,-1252.0479999999998,-11630.86,-8233.855,-6009.289000000001,-11690.7315,-8970.640099999999,-11003.473500000002,-15635.7335,-11630.86,-9406.293999999998,-8233.855,-10239.7189,-14122.1296,-1976.6259999999995,-6137.3856,-488.2934999999999,12343.7644,8183.0049
23067,proton,All_or_Total,9000,All_or_Total,Other,Lab,113770000.0,2900046.4211796266,0.0002108,inf,0.0,0.0,Other,"H.Lundqvist,ET.AL. (79)  ",A0299,13,No Pointer,18,"18-AR-0(P,X)11-NA-24,,SIG","Production of carrier-free Mg-28 and Na-24 by 50-180 MeV proton on Si,P,Cl,S,Ar and K: Excitation functions and chemical separation.",1979,H.Lundqvist+,2SWDUPP,2018/06/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.62, p.014610, 2000",A0299013,A0299,"(J,PR/C,62,014610,2000)",1,1,0,40Ar,Ar,22,40,N,4.274939866691742,0.1871371352456234,Other,-34141.04232,2.50112,8578.9285,0.064,-469.7014999999999,2.528,39948000.0,2.6847000000000003,17452.434999999998,2.595,21840.17,6.085,-6810.79,2.595,-3076.5,2.53,-16418.08,29.37,-10908.385,2.5,8233.855,5.0,11630.86,3.365,-30815.755,180.0,7349.58,2.55,1364.785,2.525,285.6300000000001,2.6,-11630.86,-8233.855,-18721.5139,-16496.9479,-18449.0799,-20291.9894,-21840.17,-17452.434999999998,-6810.79,-1252.0479999999998,-11630.86,-8233.855,-6009.289000000001,-11690.7315,-8970.640099999999,-11003.473500000002,-15635.7335,-11630.86,-9406.293999999998,-8233.855,-10239.7189,-14122.1296,-1976.6259999999995,-6137.3856,-488.2934999999999,12343.7644,8183.0049
23068,proton,All_or_Total,9000,All_or_Total,Other,Lab,113770000.0,2900046.4211796266,0.0002359,inf,0.0,0.0,Other,"H.Lundqvist,ET.AL. (79)  ",A0299,13,No Pointer,18,"18-AR-0(P,X)11-NA-24,,SIG","Production of carrier-free Mg-28 and Na-24 by 50-180 MeV proton on Si,P,Cl,S,Ar and K: Excitation functions and chemical separation.",1979,H.Lundqvist+,2SWDUPP,2018/06/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.62, p.014610, 2000",A0299013,A0299,"(J,PR/C,62,014610,2000)",1,1,0,40Ar,Ar,22,40,N,4.274939866691742,0.1871371352456234,Other,-34141.04232,2.50112,8578.9285,0.064,-469.7014999999999,2.528,39948000.0,2.6847000000000003,17452.434999999998,2.595,21840.17,6.085,-6810.79,2.595,-3076.5,2.53,-16418.08,29.37,-10908.385,2.5,8233.855,5.0,11630.86,3.365,-30815.755,180.0,7349.58,2.55,1364.785,2.525,285.6300000000001,2.6,-11630.86,-8233.855,-18721.5139,-16496.9479,-18449.0799,-20291.9894,-21840.17,-17452.434999999998,-6810.79,-1252.0479999999998,-11630.86,-8233.855,-6009.289000000001,-11690.7315,-8970.640099999999,-11003.473500000002,-15635.7335,-11630.86,-9406.293999999998,-8233.855,-10239.7189,-14122.1296,-1976.6259999999995,-6137.3856,-488.2934999999999,12343.7644,8183.0049
23069,proton,All_or_Total,9000,All_or_Total,Other,Lab,128460000.0,3274500.8637139387,0.0003432,inf,0.0,0.0,Other,"H.Lundqvist,ET.AL. (79)  ",A0299,13,No Pointer,18,"18-AR-0(P,X)11-NA-24,,SIG","Production of carrier-free Mg-28 and Na-24 by 50-180 MeV proton on Si,P,Cl,S,Ar and K: Excitation functions and chemical separation.",1979,H.Lundqvist+,2SWDUPP,2018/06/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.62, p.014610, 2000",A0299013,A0299,"(J,PR/C,62,014610,2000)",1,1,0,40Ar,Ar,22,40,N,4.274939866691742,0.1871371352456234,Other,-34141.04232,2.50112,8578.9285,0.064,-469.7014999999999,2.528,39948000.0,2.6847000000000003,17452.434999999998,2.595,21840.17,6.085,-6810.79,2.595,-3076.5,2.53,-16418.08,29.37,-10908.385,2.5,8233.855,5.0,11630.86,3.365,-30815.755,180.0,7349.58,2.55,1364.785,2.525,285.6300000000001,2.6,-11630.86,-8233.855,-18721.5139,-16496.9479,-18449.0799,-20291.9894,-21840.17,-17452.434999999998,-6810.79,-1252.0479999999998,-11630.86,-8233.855,-6009.289000000001,-11690.7315,-8970.640099999999,-11003.473500000002,-15635.7335,-11630.86,-9406.293999999998,-8233.855,-10239.7189,-14122.1296,-1976.6259999999995,-6137.3856,-488.2934999999999,12343.7644,8183.0049
23070,proton,All_or_Total,9000,All_or_Total,Other,Lab,141260000.0,3600778.390224436,0.0004193,inf,0.0,0.0,Other,"H.Lundqvist,ET.AL. (79)  ",A0299,13,No Pointer,18,"18-AR-0(P,X)11-NA-24,,SIG","Production of carrier-free Mg-28 and Na-24 by 50-180 MeV proton on Si,P,Cl,S,Ar and K: Excitation functions and chemical separation.",1979,H.Lundqvist+,2SWDUPP,2018/06/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.62, p.014610, 2000",A0299013,A0299,"(J,PR/C,62,014610,2000)",1,1,0,40Ar,Ar,22,40,N,4.274939866691742,0.1871371352456234,Other,-34141.04232,2.50112,8578.9285,0.064,-469.7014999999999,2.528,39948000.0,2.6847000000000003,17452.434999999998,2.595,21840.17,6.085,-6810.79,2.595,-3076.5,2.53,-16418.08,29.37,-10908.385,2.5,8233.855,5.0,11630.86,3.365,-30815.755,180.0,7349.58,2.55,1364.785,2.525,285.6300000000001,2.6,-11630.86,-8233.855,-18721.5139,-16496.9479,-18449.0799,-20291.9894,-21840.17,-17452.434999999998,-6810.79,-1252.0479999999998,-11630.86,-8233.855,-6009.289000000001,-11690.7315,-8970.640099999999,-11003.473500000002,-15635.7335,-11630.86,-9406.293999999998,-8233.855,-10239.7189,-14122.1296,-1976.6259999999995,-6137.3856,-488.2934999999999,12343.7644,8183.0049
23071,proton,All_or_Total,9000,All_or_Total,Other,Lab,155140000.0,3954585.583034256,0.0005252,inf,0.0,0.0,Other,"H.Lundqvist,ET.AL. (79)  ",A0299,13,No Pointer,18,"18-AR-0(P,X)11-NA-24,,SIG","Production of carrier-free Mg-28 and Na-24 by 50-180 MeV proton on Si,P,Cl,S,Ar and K: Excitation functions and chemical separation.",1979,H.Lundqvist+,2SWDUPP,2018/06/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.62, p.014610, 2000",A0299013,A0299,"(J,PR/C,62,014610,2000)",1,1,0,40Ar,Ar,22,40,N,4.274939866691742,0.1871371352456234,Other,-34141.04232,2.50112,8578.9285,0.064,-469.7014999999999,2.528,39948000.0,2.6847000000000003,17452.434999999998,2.595,21840.17,6.085,-6810.79,2.595,-3076.5,2.53,-16418.08,29.37,-10908.385,2.5,8233.855,5.0,11630.86,3.365,-30815.755,180.0,7349.58,2.55,1364.785,2.525,285.6300000000001,2.6,-11630.86,-8233.855,-18721.5139,-16496.9479,-18449.0799,-20291.9894,-21840.17,-17452.434999999998,-6810.79,-1252.0479999999998,-11630.86,-8233.855,-6009.289000000001,-11690.7315,-8970.640099999999,-11003.473500000002,-15635.7335,-11630.86,-9406.293999999998,-8233.855,-10239.7189,-14122.1296,-1976.6259999999995,-6137.3856,-488.2934999999999,12343.7644,8183.0049
23072,proton,All_or_Total,9000,All_or_Total,Other,Lab,164400000.0,4190626.981119193,0.0005878,inf,0.0,0.0,Other,"H.Lundqvist,ET.AL. (79)  ",A0299,13,No Pointer,18,"18-AR-0(P,X)11-NA-24,,SIG","Production of carrier-free Mg-28 and Na-24 by 50-180 MeV proton on Si,P,Cl,S,Ar and K: Excitation functions and chemical separation.",1979,H.Lundqvist+,2SWDUPP,2018/06/01,"Jour. Physical Review, Part C, Nuclear Physics Vol.62, p.014610, 2000",A0299013,A0299,"(J,PR/C,62,014610,2000)",1,1,0,40Ar,Ar,22,40,N,4.274939866691742,0.1871371352456234,Other,-34141.04232,2.50112,8578.9285,0.064,-469.7014999999999,2.528,39948000.0,2.6847000000000003,17452.434999999998,2.595,21840.17,6.085,-6810.79,2.595,-3076.5,2.53,-16418.08,29.37,-10908.385,2.5,8233.855,5.0,11630.86,3.365,-30815.755,180.0,7349.58,2.55,1364.785,2.525,285.6300000000001,2.6,-11630.86,-8233.855,-18721.5139,-16496.9479,-18449.0799,-20291.9894,-21840.17,-17452.434999999998,-6810.79,-1252.0479999999998,-11630.86,-8233.855,-6009.289000000001,-11690.7315,-8970.640099999999,-11003.473500000002,-15635.7335,-11630.86,-9406.293999999998,-8233.855,-10239.7189,-14122.1296,-1976.6259999999995,-6137.3856,-488.2934999999999,12343.7644,8183.0049
23073,proton,All_or_Total,9000,All_or_Total,Other,Lab,171000000.0,4358863.830726168,4.86e-06,inf,0.0,0.0,Other,"J.Martensson,ET.AL. (00) ",O1058,5,No Pointer,18,"18-AR-0(P,X)1-PP-0,,SIG",Pion production excitation functions in proton-nucleus collisions from the absolute threshold to 500 MeV,2000,J.Martensson+,2SWDLND,2017/04/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.1, Issue.6, p.1955, 1970",O1058005,O1058,"(J,PR/C,1,(6),1955,1970)",1,1,0,40Ar,Ar,22,40,N,4.274939866691742,0.1871371352456234,Other,-34141.04232,2.50112,8578.9285,0.064,-469.7014999999999,2.528,39948000.0,2.6847000000000003,17452.434999999998,2.595,21840.17,6.085,-6810.79,2.595,-3076.5,2.53,-16418.08,29.37,-10908.385,2.5,8233.855,5.0,11630.86,3.365,-30815.755,180.0,7349.58,2.55,1364.785,2.525,285.6300000000001,2.6,-11630.86,-8233.855,-18721.5139,-16496.9479,-18449.0799,-20291.9894,-21840.17,-17452.434999999998,-6810.79,-1252.0479999999998,-11630.86,-8233.855,-6009.289000000001,-11690.7315,-8970.640099999999,-11003.473500000002,-15635.7335,-11630.86,-9406.293999999998,-8233.855,-10239.7189,-14122.1296,-1976.6259999999995,-6137.3856,-488.2934999999999,12343.7644,8183.0049
