,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
23389,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1106000.0,27158.065203441354,7e-06,7.035176835586263e-07,0.0,0.0,Other,"C.H.Johnson,ET.AL. (64)  ",T0126,2,No Pointer,19,"19-K-41(P,N)20-CA-41,,SIG","Thresholds for (p,n) reactions on 26 intermediate- weight nuclei",1964,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Nuclear Physics, Section A Vol.454, p.128, 1986",T0126002,T0126,"(J,NP/A,454,128,1986)",1,1,0,41K,K,22,41,I,4.310271550478413,0.185603155307281,Other,-35559.54331,0.0038,8576.072,0.0,-421.653,0.138,40961825.25796,0.0040799999999999,17894.99,0.01,20337.28,1.73,-6222.92,0.05,-6917.13,0.08,-15290.7,32.07,-8784.48,0.02,10095.37,0.06,7808.62,0.0,-35880.0,200.0,8393.45,5.0,4019.33,0.2,-115.04,0.1,-7808.62,-10095.37,-17677.6439,-15453.0779,-15794.5349,-20692.6594,-20337.28,-17894.99,-6222.92,-1203.9995,-7808.62,-10095.37,-7870.804000000001,-9566.8265,-9413.1951,-9959.6035,-14508.3535,-7808.62,-5584.054,-10095.37,-9195.8489,-12619.2396,-3838.1410000000014,-2315.1456,-440.245,10482.2494,12005.244900000003
23390,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1123000.0,27575.503818684123,8e-06,8.040202097812872e-07,0.0,0.0,Other,"C.H.Johnson,ET.AL. (64)  ",T0126,2,No Pointer,19,"19-K-41(P,N)20-CA-41,,SIG","Thresholds for (p,n) reactions on 26 intermediate- weight nuclei",1964,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Nuclear Physics, Section A Vol.454, p.128, 1986",T0126002,T0126,"(J,NP/A,454,128,1986)",1,1,0,41K,K,22,41,I,4.310271550478413,0.185603155307281,Other,-35559.54331,0.0038,8576.072,0.0,-421.653,0.138,40961825.25796,0.0040799999999999,17894.99,0.01,20337.28,1.73,-6222.92,0.05,-6917.13,0.08,-15290.7,32.07,-8784.48,0.02,10095.37,0.06,7808.62,0.0,-35880.0,200.0,8393.45,5.0,4019.33,0.2,-115.04,0.1,-7808.62,-10095.37,-17677.6439,-15453.0779,-15794.5349,-20692.6594,-20337.28,-17894.99,-6222.92,-1203.9995,-7808.62,-10095.37,-7870.804000000001,-9566.8265,-9413.1951,-9959.6035,-14508.3535,-7808.62,-5584.054,-10095.37,-9195.8489,-12619.2396,-3838.1410000000014,-2315.1456,-440.245,10482.2494,12005.244900000003
23391,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1157000.0,28410.38104916966,2.2e-05,2.21105557689854e-06,0.0,0.0,Other,"C.H.Johnson,ET.AL. (64)  ",T0126,2,No Pointer,19,"19-K-41(P,N)20-CA-41,,SIG","Thresholds for (p,n) reactions on 26 intermediate- weight nuclei",1964,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Nuclear Physics, Section A Vol.454, p.128, 1986",T0126002,T0126,"(J,NP/A,454,128,1986)",1,1,0,41K,K,22,41,I,4.310271550478413,0.185603155307281,Other,-35559.54331,0.0038,8576.072,0.0,-421.653,0.138,40961825.25796,0.0040799999999999,17894.99,0.01,20337.28,1.73,-6222.92,0.05,-6917.13,0.08,-15290.7,32.07,-8784.48,0.02,10095.37,0.06,7808.62,0.0,-35880.0,200.0,8393.45,5.0,4019.33,0.2,-115.04,0.1,-7808.62,-10095.37,-17677.6439,-15453.0779,-15794.5349,-20692.6594,-20337.28,-17894.99,-6222.92,-1203.9995,-7808.62,-10095.37,-7870.804000000001,-9566.8265,-9413.1951,-9959.6035,-14508.3535,-7808.62,-5584.054,-10095.37,-9195.8489,-12619.2396,-3838.1410000000014,-2315.1456,-440.245,10482.2494,12005.244900000003
23392,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1168000.0,28680.488388444395,7.4e-05,7.437186940476906e-06,0.0,0.0,Other,"C.H.Johnson,ET.AL. (64)  ",T0126,2,No Pointer,19,"19-K-41(P,N)20-CA-41,,SIG","Thresholds for (p,n) reactions on 26 intermediate- weight nuclei",1964,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Nuclear Physics, Section A Vol.454, p.128, 1986",T0126002,T0126,"(J,NP/A,454,128,1986)",1,1,0,41K,K,22,41,I,4.310271550478413,0.185603155307281,Other,-35559.54331,0.0038,8576.072,0.0,-421.653,0.138,40961825.25796,0.0040799999999999,17894.99,0.01,20337.28,1.73,-6222.92,0.05,-6917.13,0.08,-15290.7,32.07,-8784.48,0.02,10095.37,0.06,7808.62,0.0,-35880.0,200.0,8393.45,5.0,4019.33,0.2,-115.04,0.1,-7808.62,-10095.37,-17677.6439,-15453.0779,-15794.5349,-20692.6594,-20337.28,-17894.99,-6222.92,-1203.9995,-7808.62,-10095.37,-7870.804000000001,-9566.8265,-9413.1951,-9959.6035,-14508.3535,-7808.62,-5584.054,-10095.37,-9195.8489,-12619.2396,-3838.1410000000014,-2315.1456,-440.245,10482.2494,12005.244900000003
23393,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1208000.0,29662.69689489797,0.000129,1.2964825882723256e-05,0.0,0.0,Other,"C.H.Johnson,ET.AL. (64)  ",T0126,2,No Pointer,19,"19-K-41(P,N)20-CA-41,,SIG","Thresholds for (p,n) reactions on 26 intermediate- weight nuclei",1964,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Nuclear Physics, Section A Vol.454, p.128, 1986",T0126002,T0126,"(J,NP/A,454,128,1986)",1,1,0,41K,K,22,41,I,4.310271550478413,0.185603155307281,Other,-35559.54331,0.0038,8576.072,0.0,-421.653,0.138,40961825.25796,0.0040799999999999,17894.99,0.01,20337.28,1.73,-6222.92,0.05,-6917.13,0.08,-15290.7,32.07,-8784.48,0.02,10095.37,0.06,7808.62,0.0,-35880.0,200.0,8393.45,5.0,4019.33,0.2,-115.04,0.1,-7808.62,-10095.37,-17677.6439,-15453.0779,-15794.5349,-20692.6594,-20337.28,-17894.99,-6222.92,-1203.9995,-7808.62,-10095.37,-7870.804000000001,-9566.8265,-9413.1951,-9959.6035,-14508.3535,-7808.62,-5584.054,-10095.37,-9195.8489,-12619.2396,-3838.1410000000014,-2315.1456,-440.245,10482.2494,12005.244900000003
23394,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1247000.0,30620.350188690205,0.00029,2.9145732604571666e-05,0.0,0.0,Other,"C.H.Johnson,ET.AL. (64)  ",T0126,2,No Pointer,19,"19-K-41(P,N)20-CA-41,,SIG","Thresholds for (p,n) reactions on 26 intermediate- weight nuclei",1964,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Nuclear Physics, Section A Vol.454, p.128, 1986",T0126002,T0126,"(J,NP/A,454,128,1986)",1,1,0,41K,K,22,41,I,4.310271550478413,0.185603155307281,Other,-35559.54331,0.0038,8576.072,0.0,-421.653,0.138,40961825.25796,0.0040799999999999,17894.99,0.01,20337.28,1.73,-6222.92,0.05,-6917.13,0.08,-15290.7,32.07,-8784.48,0.02,10095.37,0.06,7808.62,0.0,-35880.0,200.0,8393.45,5.0,4019.33,0.2,-115.04,0.1,-7808.62,-10095.37,-17677.6439,-15453.0779,-15794.5349,-20692.6594,-20337.28,-17894.99,-6222.92,-1203.9995,-7808.62,-10095.37,-7870.804000000001,-9566.8265,-9413.1951,-9959.6035,-14508.3535,-7808.62,-5584.054,-10095.37,-9195.8489,-12619.2396,-3838.1410000000014,-2315.1456,-440.245,10482.2494,12005.244900000003
23395,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1326000.0,32560.21198893602,0.000736,7.396985929987843e-05,0.0,0.0,Other,"C.H.Johnson,ET.AL. (64)  ",T0126,2,No Pointer,19,"19-K-41(P,N)20-CA-41,,SIG","Thresholds for (p,n) reactions on 26 intermediate- weight nuclei",1964,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Nuclear Physics, Section A Vol.454, p.128, 1986",T0126002,T0126,"(J,NP/A,454,128,1986)",1,1,0,41K,K,22,41,I,4.310271550478413,0.185603155307281,Other,-35559.54331,0.0038,8576.072,0.0,-421.653,0.138,40961825.25796,0.0040799999999999,17894.99,0.01,20337.28,1.73,-6222.92,0.05,-6917.13,0.08,-15290.7,32.07,-8784.48,0.02,10095.37,0.06,7808.62,0.0,-35880.0,200.0,8393.45,5.0,4019.33,0.2,-115.04,0.1,-7808.62,-10095.37,-17677.6439,-15453.0779,-15794.5349,-20692.6594,-20337.28,-17894.99,-6222.92,-1203.9995,-7808.62,-10095.37,-7870.804000000001,-9566.8265,-9413.1951,-9959.6035,-14508.3535,-7808.62,-5584.054,-10095.37,-9195.8489,-12619.2396,-3838.1410000000014,-2315.1456,-440.245,10482.2494,12005.244900000003
23396,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1416000.0,34770.18112845656,0.00121,0.0001216080567294,0.0,0.0,Other,"C.H.Johnson,ET.AL. (64)  ",T0126,2,No Pointer,19,"19-K-41(P,N)20-CA-41,,SIG","Thresholds for (p,n) reactions on 26 intermediate- weight nuclei",1964,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Nuclear Physics, Section A Vol.454, p.128, 1986",T0126002,T0126,"(J,NP/A,454,128,1986)",1,1,0,41K,K,22,41,I,4.310271550478413,0.185603155307281,Other,-35559.54331,0.0038,8576.072,0.0,-421.653,0.138,40961825.25796,0.0040799999999999,17894.99,0.01,20337.28,1.73,-6222.92,0.05,-6917.13,0.08,-15290.7,32.07,-8784.48,0.02,10095.37,0.06,7808.62,0.0,-35880.0,200.0,8393.45,5.0,4019.33,0.2,-115.04,0.1,-7808.62,-10095.37,-17677.6439,-15453.0779,-15794.5349,-20692.6594,-20337.28,-17894.99,-6222.92,-1203.9995,-7808.62,-10095.37,-7870.804000000001,-9566.8265,-9413.1951,-9959.6035,-14508.3535,-7808.62,-5584.054,-10095.37,-9195.8489,-12619.2396,-3838.1410000000014,-2315.1456,-440.245,10482.2494,12005.244900000003
23397,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1495000.0,36710.04292870237,0.00355,0.0003567839680904,0.0,0.0,Other,"C.H.Johnson,ET.AL. (64)  ",T0126,2,No Pointer,19,"19-K-41(P,N)20-CA-41,,SIG","Thresholds for (p,n) reactions on 26 intermediate- weight nuclei",1964,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Nuclear Physics, Section A Vol.454, p.128, 1986",T0126002,T0126,"(J,NP/A,454,128,1986)",1,1,0,41K,K,22,41,I,4.310271550478413,0.185603155307281,Other,-35559.54331,0.0038,8576.072,0.0,-421.653,0.138,40961825.25796,0.0040799999999999,17894.99,0.01,20337.28,1.73,-6222.92,0.05,-6917.13,0.08,-15290.7,32.07,-8784.48,0.02,10095.37,0.06,7808.62,0.0,-35880.0,200.0,8393.45,5.0,4019.33,0.2,-115.04,0.1,-7808.62,-10095.37,-17677.6439,-15453.0779,-15794.5349,-20692.6594,-20337.28,-17894.99,-6222.92,-1203.9995,-7808.62,-10095.37,-7870.804000000001,-9566.8265,-9413.1951,-9959.6035,-14508.3535,-7808.62,-5584.054,-10095.37,-9195.8489,-12619.2396,-3838.1410000000014,-2315.1456,-440.245,10482.2494,12005.244900000003
23398,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1579000.0,38772.68079225488,0.00507,0.0005095478079488,0.0,0.0,Other,"C.H.Johnson,ET.AL. (64)  ",T0126,2,No Pointer,19,"19-K-41(P,N)20-CA-41,,SIG","Thresholds for (p,n) reactions on 26 intermediate- weight nuclei",1964,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Nuclear Physics, Section A Vol.454, p.128, 1986",T0126002,T0126,"(J,NP/A,454,128,1986)",1,1,0,41K,K,22,41,I,4.310271550478413,0.185603155307281,Other,-35559.54331,0.0038,8576.072,0.0,-421.653,0.138,40961825.25796,0.0040799999999999,17894.99,0.01,20337.28,1.73,-6222.92,0.05,-6917.13,0.08,-15290.7,32.07,-8784.48,0.02,10095.37,0.06,7808.62,0.0,-35880.0,200.0,8393.45,5.0,4019.33,0.2,-115.04,0.1,-7808.62,-10095.37,-17677.6439,-15453.0779,-15794.5349,-20692.6594,-20337.28,-17894.99,-6222.92,-1203.9995,-7808.62,-10095.37,-7870.804000000001,-9566.8265,-9413.1951,-9959.6035,-14508.3535,-7808.62,-5584.054,-10095.37,-9195.8489,-12619.2396,-3838.1410000000014,-2315.1456,-440.245,10482.2494,12005.244900000003
23399,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1675000.0,41129.98120774346,0.00595,0.0005979900310248,0.0,0.0,Other,"C.H.Johnson,ET.AL. (64)  ",T0126,2,No Pointer,19,"19-K-41(P,N)20-CA-41,,SIG","Thresholds for (p,n) reactions on 26 intermediate- weight nuclei",1964,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Nuclear Physics, Section A Vol.454, p.128, 1986",T0126002,T0126,"(J,NP/A,454,128,1986)",1,1,0,41K,K,22,41,I,4.310271550478413,0.185603155307281,Other,-35559.54331,0.0038,8576.072,0.0,-421.653,0.138,40961825.25796,0.0040799999999999,17894.99,0.01,20337.28,1.73,-6222.92,0.05,-6917.13,0.08,-15290.7,32.07,-8784.48,0.02,10095.37,0.06,7808.62,0.0,-35880.0,200.0,8393.45,5.0,4019.33,0.2,-115.04,0.1,-7808.62,-10095.37,-17677.6439,-15453.0779,-15794.5349,-20692.6594,-20337.28,-17894.99,-6222.92,-1203.9995,-7808.62,-10095.37,-7870.804000000001,-9566.8265,-9413.1951,-9959.6035,-14508.3535,-7808.62,-5584.054,-10095.37,-9195.8489,-12619.2396,-3838.1410000000014,-2315.1456,-440.245,10482.2494,12005.244900000003
23400,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1771000.0,43487.28162323204,0.00816,0.0008201006139769,0.0,0.0,Other,"C.H.Johnson,ET.AL. (64)  ",T0126,2,No Pointer,19,"19-K-41(P,N)20-CA-41,,SIG","Thresholds for (p,n) reactions on 26 intermediate- weight nuclei",1964,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Nuclear Physics, Section A Vol.454, p.128, 1986",T0126002,T0126,"(J,NP/A,454,128,1986)",1,1,0,41K,K,22,41,I,4.310271550478413,0.185603155307281,Other,-35559.54331,0.0038,8576.072,0.0,-421.653,0.138,40961825.25796,0.0040799999999999,17894.99,0.01,20337.28,1.73,-6222.92,0.05,-6917.13,0.08,-15290.7,32.07,-8784.48,0.02,10095.37,0.06,7808.62,0.0,-35880.0,200.0,8393.45,5.0,4019.33,0.2,-115.04,0.1,-7808.62,-10095.37,-17677.6439,-15453.0779,-15794.5349,-20692.6594,-20337.28,-17894.99,-6222.92,-1203.9995,-7808.62,-10095.37,-7870.804000000001,-9566.8265,-9413.1951,-9959.6035,-14508.3535,-7808.62,-5584.054,-10095.37,-9195.8489,-12619.2396,-3838.1410000000014,-2315.1456,-440.245,10482.2494,12005.244900000003
23401,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1867000.0,45844.58203872062,0.018,0.0018090454720078,0.0,0.0,Other,"C.H.Johnson,ET.AL. (64)  ",T0126,2,No Pointer,19,"19-K-41(P,N)20-CA-41,,SIG","Thresholds for (p,n) reactions on 26 intermediate- weight nuclei",1964,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Nuclear Physics, Section A Vol.454, p.128, 1986",T0126002,T0126,"(J,NP/A,454,128,1986)",1,1,0,41K,K,22,41,I,4.310271550478413,0.185603155307281,Other,-35559.54331,0.0038,8576.072,0.0,-421.653,0.138,40961825.25796,0.0040799999999999,17894.99,0.01,20337.28,1.73,-6222.92,0.05,-6917.13,0.08,-15290.7,32.07,-8784.48,0.02,10095.37,0.06,7808.62,0.0,-35880.0,200.0,8393.45,5.0,4019.33,0.2,-115.04,0.1,-7808.62,-10095.37,-17677.6439,-15453.0779,-15794.5349,-20692.6594,-20337.28,-17894.99,-6222.92,-1203.9995,-7808.62,-10095.37,-7870.804000000001,-9566.8265,-9413.1951,-9959.6035,-14508.3535,-7808.62,-5584.054,-10095.37,-9195.8489,-12619.2396,-3838.1410000000014,-2315.1456,-440.245,10482.2494,12005.244900000003
23402,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1951000.0,47907.21990227313,0.0177,0.001778894714141,0.0,0.0,Other,"C.H.Johnson,ET.AL. (64)  ",T0126,2,No Pointer,19,"19-K-41(P,N)20-CA-41,,SIG","Thresholds for (p,n) reactions on 26 intermediate- weight nuclei",1964,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Nuclear Physics, Section A Vol.454, p.128, 1986",T0126002,T0126,"(J,NP/A,454,128,1986)",1,1,0,41K,K,22,41,I,4.310271550478413,0.185603155307281,Other,-35559.54331,0.0038,8576.072,0.0,-421.653,0.138,40961825.25796,0.0040799999999999,17894.99,0.01,20337.28,1.73,-6222.92,0.05,-6917.13,0.08,-15290.7,32.07,-8784.48,0.02,10095.37,0.06,7808.62,0.0,-35880.0,200.0,8393.45,5.0,4019.33,0.2,-115.04,0.1,-7808.62,-10095.37,-17677.6439,-15453.0779,-15794.5349,-20692.6594,-20337.28,-17894.99,-6222.92,-1203.9995,-7808.62,-10095.37,-7870.804000000001,-9566.8265,-9413.1951,-9959.6035,-14508.3535,-7808.62,-5584.054,-10095.37,-9195.8489,-12619.2396,-3838.1410000000014,-2315.1456,-440.245,10482.2494,12005.244900000003
