,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
853,proton,All_or_Total,3,All_or_Total,Other,Lab,23350000.0,422980.2410102994,0.051,0.012,0.0,0.0,Other,"A.M.Sourkes,ET.AL. (76)  ",A1261,3,No Pointer,2,"2-HE-4(P,NON),,SIG",Total reaction cross section for protons on He-3 and He-4 between 18 and 48 MeV.,1976,A.M.Sourkes+,1CANMNA,2010/10/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.13, p.451, 1976",A1261003,A1261,"(J,PR/C,13,451,1976)",1,1,0,4He,He,2,4,I,1.9842513149602488,0.4031747359663594,Other,2424.91561,6e-05,7073.915,0.0,-22898.273,212.132,4002603.25413,6e-05,14483.110040345164,-18.20800000004301,7718.04,0.0,0.0,0.0,-29252.60602673793,1302.7066733252682,0.0,0.0,-34313.0,2000.0,20577.62,0.0,19813.86,0.0,-78359.73986799263,-133.87166666696157,0.0,0.0,0.0,0.0,0.0,0.0,-19813.86,-20577.62,-26071.0939,-23846.5279,-19813.8649,-20577.6194,-7718.04,-14483.110001633591,0.0,-23680.6195,-19813.86,-20577.62,-18353.054,-35095.3465,-6001.315159040555,-18353.0535,0.0,-19813.86,-17589.293999999998,-20577.62,-17589.2989,0.0003999999998995,-14320.391,-14320.3856,-22916.865,-0.0005999999993946,0.0048999999999068
854,proton,All_or_Total,3,All_or_Total,Other,Lab,24000000.0,434754.8515737553,0.052,0.012,0.0,0.0,Other,"A.M.Sourkes,ET.AL. (76)  ",A1261,3,No Pointer,2,"2-HE-4(P,NON),,SIG",Total reaction cross section for protons on He-3 and He-4 between 18 and 48 MeV.,1976,A.M.Sourkes+,1CANMNA,2010/10/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.13, p.451, 1976",A1261003,A1261,"(J,PR/C,13,451,1976)",1,1,0,4He,He,2,4,I,1.9842513149602488,0.4031747359663594,Other,2424.91561,6e-05,7073.915,0.0,-22898.273,212.132,4002603.25413,6e-05,14483.110040345164,-18.20800000004301,7718.04,0.0,0.0,0.0,-29252.60602673793,1302.7066733252682,0.0,0.0,-34313.0,2000.0,20577.62,0.0,19813.86,0.0,-78359.73986799263,-133.87166666696157,0.0,0.0,0.0,0.0,0.0,0.0,-19813.86,-20577.62,-26071.0939,-23846.5279,-19813.8649,-20577.6194,-7718.04,-14483.110001633591,0.0,-23680.6195,-19813.86,-20577.62,-18353.054,-35095.3465,-6001.315159040555,-18353.0535,0.0,-19813.86,-17589.293999999998,-20577.62,-17589.2989,0.0003999999998995,-14320.391,-14320.3856,-22916.865,-0.0005999999993946,0.0048999999999068
855,proton,All_or_Total,3,All_or_Total,Other,Lab,24450000.0,442906.5050407632,0.059,0.011,0.0,0.0,Other,"A.M.Sourkes,ET.AL. (76)  ",A1261,3,No Pointer,2,"2-HE-4(P,NON),,SIG",Total reaction cross section for protons on He-3 and He-4 between 18 and 48 MeV.,1976,A.M.Sourkes+,1CANMNA,2010/10/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.13, p.451, 1976",A1261003,A1261,"(J,PR/C,13,451,1976)",1,1,0,4He,He,2,4,I,1.9842513149602488,0.4031747359663594,Other,2424.91561,6e-05,7073.915,0.0,-22898.273,212.132,4002603.25413,6e-05,14483.110040345164,-18.20800000004301,7718.04,0.0,0.0,0.0,-29252.60602673793,1302.7066733252682,0.0,0.0,-34313.0,2000.0,20577.62,0.0,19813.86,0.0,-78359.73986799263,-133.87166666696157,0.0,0.0,0.0,0.0,0.0,0.0,-19813.86,-20577.62,-26071.0939,-23846.5279,-19813.8649,-20577.6194,-7718.04,-14483.110001633591,0.0,-23680.6195,-19813.86,-20577.62,-18353.054,-35095.3465,-6001.315159040555,-18353.0535,0.0,-19813.86,-17589.293999999998,-20577.62,-17589.2989,0.0003999999998995,-14320.391,-14320.3856,-22916.865,-0.0005999999993946,0.0048999999999068
856,proton,All_or_Total,3,All_or_Total,Other,Lab,25700000.0,465549.986893563,0.057,0.011,0.0,0.0,Other,"A.M.Sourkes,ET.AL. (76)  ",A1261,3,No Pointer,2,"2-HE-4(P,NON),,SIG",Total reaction cross section for protons on He-3 and He-4 between 18 and 48 MeV.,1976,A.M.Sourkes+,1CANMNA,2010/10/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.13, p.451, 1976",A1261003,A1261,"(J,PR/C,13,451,1976)",1,1,0,4He,He,2,4,I,1.9842513149602488,0.4031747359663594,Other,2424.91561,6e-05,7073.915,0.0,-22898.273,212.132,4002603.25413,6e-05,14483.110040345164,-18.20800000004301,7718.04,0.0,0.0,0.0,-29252.60602673793,1302.7066733252682,0.0,0.0,-34313.0,2000.0,20577.62,0.0,19813.86,0.0,-78359.73986799263,-133.87166666696157,0.0,0.0,0.0,0.0,0.0,0.0,-19813.86,-20577.62,-26071.0939,-23846.5279,-19813.8649,-20577.6194,-7718.04,-14483.110001633591,0.0,-23680.6195,-19813.86,-20577.62,-18353.054,-35095.3465,-6001.315159040555,-18353.0535,0.0,-19813.86,-17589.293999999998,-20577.62,-17589.2989,0.0003999999998995,-14320.391,-14320.3856,-22916.865,-0.0005999999993946,0.0048999999999068
857,proton,All_or_Total,3,All_or_Total,Other,Lab,27000000.0,489099.2080204748,0.055,0.01,0.0,0.0,Other,"A.M.Sourkes,ET.AL. (76)  ",A1261,3,No Pointer,2,"2-HE-4(P,NON),,SIG",Total reaction cross section for protons on He-3 and He-4 between 18 and 48 MeV.,1976,A.M.Sourkes+,1CANMNA,2010/10/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.13, p.451, 1976",A1261003,A1261,"(J,PR/C,13,451,1976)",1,1,0,4He,He,2,4,I,1.9842513149602488,0.4031747359663594,Other,2424.91561,6e-05,7073.915,0.0,-22898.273,212.132,4002603.25413,6e-05,14483.110040345164,-18.20800000004301,7718.04,0.0,0.0,0.0,-29252.60602673793,1302.7066733252682,0.0,0.0,-34313.0,2000.0,20577.62,0.0,19813.86,0.0,-78359.73986799263,-133.87166666696157,0.0,0.0,0.0,0.0,0.0,0.0,-19813.86,-20577.62,-26071.0939,-23846.5279,-19813.8649,-20577.6194,-7718.04,-14483.110001633591,0.0,-23680.6195,-19813.86,-20577.62,-18353.054,-35095.3465,-6001.315159040555,-18353.0535,0.0,-19813.86,-17589.293999999998,-20577.62,-17589.2989,0.0003999999998995,-14320.391,-14320.3856,-22916.865,-0.0005999999993946,0.0048999999999068
858,proton,All_or_Total,3,All_or_Total,Other,Lab,28000000.0,507213.99350271455,0.064,0.01,0.0,0.0,Other,"A.M.Sourkes,ET.AL. (76)  ",A1261,3,No Pointer,2,"2-HE-4(P,NON),,SIG",Total reaction cross section for protons on He-3 and He-4 between 18 and 48 MeV.,1976,A.M.Sourkes+,1CANMNA,2010/10/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.13, p.451, 1976",A1261003,A1261,"(J,PR/C,13,451,1976)",1,1,0,4He,He,2,4,I,1.9842513149602488,0.4031747359663594,Other,2424.91561,6e-05,7073.915,0.0,-22898.273,212.132,4002603.25413,6e-05,14483.110040345164,-18.20800000004301,7718.04,0.0,0.0,0.0,-29252.60602673793,1302.7066733252682,0.0,0.0,-34313.0,2000.0,20577.62,0.0,19813.86,0.0,-78359.73986799263,-133.87166666696157,0.0,0.0,0.0,0.0,0.0,0.0,-19813.86,-20577.62,-26071.0939,-23846.5279,-19813.8649,-20577.6194,-7718.04,-14483.110001633591,0.0,-23680.6195,-19813.86,-20577.62,-18353.054,-35095.3465,-6001.315159040555,-18353.0535,0.0,-19813.86,-17589.293999999998,-20577.62,-17589.2989,0.0003999999998995,-14320.391,-14320.3856,-22916.865,-0.0005999999993946,0.0048999999999068
859,proton,All_or_Total,3,All_or_Total,Other,Lab,30200000.0,547066.5215636421,0.07,0.009,0.0,0.0,Other,"A.M.Sourkes,ET.AL. (76)  ",A1261,3,No Pointer,2,"2-HE-4(P,NON),,SIG",Total reaction cross section for protons on He-3 and He-4 between 18 and 48 MeV.,1976,A.M.Sourkes+,1CANMNA,2010/10/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.13, p.451, 1976",A1261003,A1261,"(J,PR/C,13,451,1976)",1,1,0,4He,He,2,4,I,1.9842513149602488,0.4031747359663594,Other,2424.91561,6e-05,7073.915,0.0,-22898.273,212.132,4002603.25413,6e-05,14483.110040345164,-18.20800000004301,7718.04,0.0,0.0,0.0,-29252.60602673793,1302.7066733252682,0.0,0.0,-34313.0,2000.0,20577.62,0.0,19813.86,0.0,-78359.73986799263,-133.87166666696157,0.0,0.0,0.0,0.0,0.0,0.0,-19813.86,-20577.62,-26071.0939,-23846.5279,-19813.8649,-20577.6194,-7718.04,-14483.110001633591,0.0,-23680.6195,-19813.86,-20577.62,-18353.054,-35095.3465,-6001.315159040555,-18353.0535,0.0,-19813.86,-17589.293999999998,-20577.62,-17589.2989,0.0003999999998995,-14320.391,-14320.3856,-22916.865,-0.0005999999993946,0.0048999999999068
860,proton,All_or_Total,3,All_or_Total,Other,Lab,32250000.0,584201.8318022337,0.073,0.008,0.0,0.0,Other,"A.M.Sourkes,ET.AL. (76)  ",A1261,3,No Pointer,2,"2-HE-4(P,NON),,SIG",Total reaction cross section for protons on He-3 and He-4 between 18 and 48 MeV.,1976,A.M.Sourkes+,1CANMNA,2010/10/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.13, p.451, 1976",A1261003,A1261,"(J,PR/C,13,451,1976)",1,1,0,4He,He,2,4,I,1.9842513149602488,0.4031747359663594,Other,2424.91561,6e-05,7073.915,0.0,-22898.273,212.132,4002603.25413,6e-05,14483.110040345164,-18.20800000004301,7718.04,0.0,0.0,0.0,-29252.60602673793,1302.7066733252682,0.0,0.0,-34313.0,2000.0,20577.62,0.0,19813.86,0.0,-78359.73986799263,-133.87166666696157,0.0,0.0,0.0,0.0,0.0,0.0,-19813.86,-20577.62,-26071.0939,-23846.5279,-19813.8649,-20577.6194,-7718.04,-14483.110001633591,0.0,-23680.6195,-19813.86,-20577.62,-18353.054,-35095.3465,-6001.315159040555,-18353.0535,0.0,-19813.86,-17589.293999999998,-20577.62,-17589.2989,0.0003999999998995,-14320.391,-14320.3856,-22916.865,-0.0005999999993946,0.0048999999999068
861,proton,All_or_Total,3,All_or_Total,Other,Lab,34100000.0,617714.1849443774,0.082,0.007,0.0,0.0,Other,"A.M.Sourkes,ET.AL. (76)  ",A1261,3,No Pointer,2,"2-HE-4(P,NON),,SIG",Total reaction cross section for protons on He-3 and He-4 between 18 and 48 MeV.,1976,A.M.Sourkes+,1CANMNA,2010/10/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.13, p.451, 1976",A1261003,A1261,"(J,PR/C,13,451,1976)",1,1,0,4He,He,2,4,I,1.9842513149602488,0.4031747359663594,Other,2424.91561,6e-05,7073.915,0.0,-22898.273,212.132,4002603.25413,6e-05,14483.110040345164,-18.20800000004301,7718.04,0.0,0.0,0.0,-29252.60602673793,1302.7066733252682,0.0,0.0,-34313.0,2000.0,20577.62,0.0,19813.86,0.0,-78359.73986799263,-133.87166666696157,0.0,0.0,0.0,0.0,0.0,0.0,-19813.86,-20577.62,-26071.0939,-23846.5279,-19813.8649,-20577.6194,-7718.04,-14483.110001633591,0.0,-23680.6195,-19813.86,-20577.62,-18353.054,-35095.3465,-6001.315159040555,-18353.0535,0.0,-19813.86,-17589.293999999998,-20577.62,-17589.2989,0.0003999999998995,-14320.391,-14320.3856,-22916.865,-0.0005999999993946,0.0048999999999068
862,proton,All_or_Total,3,All_or_Total,Other,Lab,37000000.0,670247.0628428728,0.095,0.007,0.0,0.0,Other,"A.M.Sourkes,ET.AL. (76)  ",A1261,3,No Pointer,2,"2-HE-4(P,NON),,SIG",Total reaction cross section for protons on He-3 and He-4 between 18 and 48 MeV.,1976,A.M.Sourkes+,1CANMNA,2010/10/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.13, p.451, 1976",A1261003,A1261,"(J,PR/C,13,451,1976)",1,1,0,4He,He,2,4,I,1.9842513149602488,0.4031747359663594,Other,2424.91561,6e-05,7073.915,0.0,-22898.273,212.132,4002603.25413,6e-05,14483.110040345164,-18.20800000004301,7718.04,0.0,0.0,0.0,-29252.60602673793,1302.7066733252682,0.0,0.0,-34313.0,2000.0,20577.62,0.0,19813.86,0.0,-78359.73986799263,-133.87166666696157,0.0,0.0,0.0,0.0,0.0,0.0,-19813.86,-20577.62,-26071.0939,-23846.5279,-19813.8649,-20577.6194,-7718.04,-14483.110001633591,0.0,-23680.6195,-19813.86,-20577.62,-18353.054,-35095.3465,-6001.315159040555,-18353.0535,0.0,-19813.86,-17589.293999999998,-20577.62,-17589.2989,0.0003999999998995,-14320.391,-14320.3856,-22916.865,-0.0005999999993946,0.0048999999999068
