,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
31317,proton,All_or_Total,3,All_or_Total,Other,Lab,60800000.0,1101378.9573201805,0.853,0.08,0.0,0.0,Other,"J.J.MENET,ET.AL. (71)    ",O0081,18,No Pointer,22,"22-TI-50(P,NON),,SIG,,,EXP",TOTAL-REACTION-CROSS SECTION MEASUREMENTS FOR 30-60-MEV PROTONS AND THE IMAGINARY OPTICAL POTENTIAL.,1971,J.J.Menet+,1USAORL,1995/02/03,"Jour. Nuclear Physics, Section A Vol.346, p.523, 1980",O0081018,O0081,"(J,NP/A,346,523,1980)",1,1,0,50Ti,Ti,28,50,I,4.605039373300483,0.173722727462074,Other,-51431.66,0.121,8755.718,0.002,-2207.647,0.426,49944785.839,0.129,19081.59,0.05,21784.97,0.09,-10717.21,2.23,-1169.59,0.45,-17420.87,0.2,-11541.05,0.82,10939.19,0.04,12159.37,2.7,-16955.2,8.38,3782.99,4.95,-2231.01,1.93,-3440.84,2.22,-12159.37,-10939.19,-22288.1039,-20063.537900000007,-22044.87490000001,-24018.4594,-21784.97,-19081.59,-10717.21,-2989.9935,-12159.37,-10939.19,-8714.624,-12323.3965,-10599.7951,-14570.063500000002,-16638.5235,-12159.37,-9934.804,-10939.19,-13806.308900000002,-14066.9296,-4681.960999999999,-6665.895600000002,-2226.239,9638.4294,7654.4949
31318,proton,All_or_Total,4,All_or_Total,Other,Lab,3330000.0,81768.85816226013,0.000525,0.000245,0.0,0.0,Other,"S.R.Kennett,ET.AL. (80)  ",D0681,3,No Pointer,22,"22-TI-50(P,N)23-V-50,,SIG","Cross-section measurements and thermonuclear reaction rates for 50Ti(p,g)51V and 50Ti(p,n)50V",1980,S.R.Kennett+,3AULAML,2012/04/00,"Jour. Physical Review, Part C, Nuclear Physics Vol.12, p.1789, 1975",D0681003,D0681,"(J,PR/C,12,1789,1975)",1,1,0,50Ti,Ti,28,50,I,4.605039373300483,0.173722727462074,Other,-51431.66,0.121,8755.718,0.002,-2207.647,0.426,49944785.839,0.129,19081.59,0.05,21784.97,0.09,-10717.21,2.23,-1169.59,0.45,-17420.87,0.2,-11541.05,0.82,10939.19,0.04,12159.37,2.7,-16955.2,8.38,3782.99,4.95,-2231.01,1.93,-3440.84,2.22,-12159.37,-10939.19,-22288.1039,-20063.537900000007,-22044.87490000001,-24018.4594,-21784.97,-19081.59,-10717.21,-2989.9935,-12159.37,-10939.19,-8714.624,-12323.3965,-10599.7951,-14570.063500000002,-16638.5235,-12159.37,-9934.804,-10939.19,-13806.308900000002,-14066.9296,-4681.960999999999,-6665.895600000002,-2226.239,9638.4294,7654.4949
31319,proton,All_or_Total,4,All_or_Total,Other,Lab,3360000.0,82505.51454210031,0.000587,0.000184,0.0,0.0,Other,"S.R.Kennett,ET.AL. (80)  ",D0681,3,No Pointer,22,"22-TI-50(P,N)23-V-50,,SIG","Cross-section measurements and thermonuclear reaction rates for 50Ti(p,g)51V and 50Ti(p,n)50V",1980,S.R.Kennett+,3AULAML,2012/04/00,"Jour. Physical Review, Part C, Nuclear Physics Vol.12, p.1789, 1975",D0681003,D0681,"(J,PR/C,12,1789,1975)",1,1,0,50Ti,Ti,28,50,I,4.605039373300483,0.173722727462074,Other,-51431.66,0.121,8755.718,0.002,-2207.647,0.426,49944785.839,0.129,19081.59,0.05,21784.97,0.09,-10717.21,2.23,-1169.59,0.45,-17420.87,0.2,-11541.05,0.82,10939.19,0.04,12159.37,2.7,-16955.2,8.38,3782.99,4.95,-2231.01,1.93,-3440.84,2.22,-12159.37,-10939.19,-22288.1039,-20063.537900000007,-22044.87490000001,-24018.4594,-21784.97,-19081.59,-10717.21,-2989.9935,-12159.37,-10939.19,-8714.624,-12323.3965,-10599.7951,-14570.063500000002,-16638.5235,-12159.37,-9934.804,-10939.19,-13806.308900000002,-14066.9296,-4681.960999999999,-6665.895600000002,-2226.239,9638.4294,7654.4949
31320,proton,All_or_Total,4,All_or_Total,Other,Lab,3390000.0,83242.17092194049,0.000581,0.000159,0.0,0.0,Other,"S.R.Kennett,ET.AL. (80)  ",D0681,3,No Pointer,22,"22-TI-50(P,N)23-V-50,,SIG","Cross-section measurements and thermonuclear reaction rates for 50Ti(p,g)51V and 50Ti(p,n)50V",1980,S.R.Kennett+,3AULAML,2012/04/00,"Jour. Physical Review, Part C, Nuclear Physics Vol.12, p.1789, 1975",D0681003,D0681,"(J,PR/C,12,1789,1975)",1,1,0,50Ti,Ti,28,50,I,4.605039373300483,0.173722727462074,Other,-51431.66,0.121,8755.718,0.002,-2207.647,0.426,49944785.839,0.129,19081.59,0.05,21784.97,0.09,-10717.21,2.23,-1169.59,0.45,-17420.87,0.2,-11541.05,0.82,10939.19,0.04,12159.37,2.7,-16955.2,8.38,3782.99,4.95,-2231.01,1.93,-3440.84,2.22,-12159.37,-10939.19,-22288.1039,-20063.537900000007,-22044.87490000001,-24018.4594,-21784.97,-19081.59,-10717.21,-2989.9935,-12159.37,-10939.19,-8714.624,-12323.3965,-10599.7951,-14570.063500000002,-16638.5235,-12159.37,-9934.804,-10939.19,-13806.308900000002,-14066.9296,-4681.960999999999,-6665.895600000002,-2226.239,9638.4294,7654.4949
31321,proton,All_or_Total,4,All_or_Total,Other,Lab,3430000.0,84224.37942839407,0.0171,0.0017185931984075,0.0,0.0,Other,"S.R.Kennett,ET.AL. (80)  ",D0681,3,No Pointer,22,"22-TI-50(P,N)23-V-50,,SIG","Cross-section measurements and thermonuclear reaction rates for 50Ti(p,g)51V and 50Ti(p,n)50V",1980,S.R.Kennett+,3AULAML,2012/04/00,"Jour. Physical Review, Part C, Nuclear Physics Vol.12, p.1789, 1975",D0681003,D0681,"(J,PR/C,12,1789,1975)",1,1,0,50Ti,Ti,28,50,I,4.605039373300483,0.173722727462074,Other,-51431.66,0.121,8755.718,0.002,-2207.647,0.426,49944785.839,0.129,19081.59,0.05,21784.97,0.09,-10717.21,2.23,-1169.59,0.45,-17420.87,0.2,-11541.05,0.82,10939.19,0.04,12159.37,2.7,-16955.2,8.38,3782.99,4.95,-2231.01,1.93,-3440.84,2.22,-12159.37,-10939.19,-22288.1039,-20063.537900000007,-22044.87490000001,-24018.4594,-21784.97,-19081.59,-10717.21,-2989.9935,-12159.37,-10939.19,-8714.624,-12323.3965,-10599.7951,-14570.063500000002,-16638.5235,-12159.37,-9934.804,-10939.19,-13806.308900000002,-14066.9296,-4681.960999999999,-6665.895600000002,-2226.239,9638.4294,7654.4949
31322,proton,All_or_Total,4,All_or_Total,Other,Lab,3460000.0,84961.03580823426,0.0231,0.0023216083557434,0.0,0.0,Other,"S.R.Kennett,ET.AL. (80)  ",D0681,3,No Pointer,22,"22-TI-50(P,N)23-V-50,,SIG","Cross-section measurements and thermonuclear reaction rates for 50Ti(p,g)51V and 50Ti(p,n)50V",1980,S.R.Kennett+,3AULAML,2012/04/00,"Jour. Physical Review, Part C, Nuclear Physics Vol.12, p.1789, 1975",D0681003,D0681,"(J,PR/C,12,1789,1975)",1,1,0,50Ti,Ti,28,50,I,4.605039373300483,0.173722727462074,Other,-51431.66,0.121,8755.718,0.002,-2207.647,0.426,49944785.839,0.129,19081.59,0.05,21784.97,0.09,-10717.21,2.23,-1169.59,0.45,-17420.87,0.2,-11541.05,0.82,10939.19,0.04,12159.37,2.7,-16955.2,8.38,3782.99,4.95,-2231.01,1.93,-3440.84,2.22,-12159.37,-10939.19,-22288.1039,-20063.537900000007,-22044.87490000001,-24018.4594,-21784.97,-19081.59,-10717.21,-2989.9935,-12159.37,-10939.19,-8714.624,-12323.3965,-10599.7951,-14570.063500000002,-16638.5235,-12159.37,-9934.804,-10939.19,-13806.308900000002,-14066.9296,-4681.960999999999,-6665.895600000002,-2226.239,9638.4294,7654.4949
31323,proton,All_or_Total,4,All_or_Total,Other,Lab,3490000.0,85697.69218807443,0.0187,0.0018793972403637,0.0,0.0,Other,"S.R.Kennett,ET.AL. (80)  ",D0681,3,No Pointer,22,"22-TI-50(P,N)23-V-50,,SIG","Cross-section measurements and thermonuclear reaction rates for 50Ti(p,g)51V and 50Ti(p,n)50V",1980,S.R.Kennett+,3AULAML,2012/04/00,"Jour. Physical Review, Part C, Nuclear Physics Vol.12, p.1789, 1975",D0681003,D0681,"(J,PR/C,12,1789,1975)",1,1,0,50Ti,Ti,28,50,I,4.605039373300483,0.173722727462074,Other,-51431.66,0.121,8755.718,0.002,-2207.647,0.426,49944785.839,0.129,19081.59,0.05,21784.97,0.09,-10717.21,2.23,-1169.59,0.45,-17420.87,0.2,-11541.05,0.82,10939.19,0.04,12159.37,2.7,-16955.2,8.38,3782.99,4.95,-2231.01,1.93,-3440.84,2.22,-12159.37,-10939.19,-22288.1039,-20063.537900000007,-22044.87490000001,-24018.4594,-21784.97,-19081.59,-10717.21,-2989.9935,-12159.37,-10939.19,-8714.624,-12323.3965,-10599.7951,-14570.063500000002,-16638.5235,-12159.37,-9934.804,-10939.19,-13806.308900000002,-14066.9296,-4681.960999999999,-6665.895600000002,-2226.239,9638.4294,7654.4949
31324,proton,All_or_Total,4,All_or_Total,Other,Lab,3520000.0,86434.34856791461,0.0147,0.0014773871354731,0.0,0.0,Other,"S.R.Kennett,ET.AL. (80)  ",D0681,3,No Pointer,22,"22-TI-50(P,N)23-V-50,,SIG","Cross-section measurements and thermonuclear reaction rates for 50Ti(p,g)51V and 50Ti(p,n)50V",1980,S.R.Kennett+,3AULAML,2012/04/00,"Jour. Physical Review, Part C, Nuclear Physics Vol.12, p.1789, 1975",D0681003,D0681,"(J,PR/C,12,1789,1975)",1,1,0,50Ti,Ti,28,50,I,4.605039373300483,0.173722727462074,Other,-51431.66,0.121,8755.718,0.002,-2207.647,0.426,49944785.839,0.129,19081.59,0.05,21784.97,0.09,-10717.21,2.23,-1169.59,0.45,-17420.87,0.2,-11541.05,0.82,10939.19,0.04,12159.37,2.7,-16955.2,8.38,3782.99,4.95,-2231.01,1.93,-3440.84,2.22,-12159.37,-10939.19,-22288.1039,-20063.537900000007,-22044.87490000001,-24018.4594,-21784.97,-19081.59,-10717.21,-2989.9935,-12159.37,-10939.19,-8714.624,-12323.3965,-10599.7951,-14570.063500000002,-16638.5235,-12159.37,-9934.804,-10939.19,-13806.308900000002,-14066.9296,-4681.960999999999,-6665.895600000002,-2226.239,9638.4294,7654.4949
31325,proton,All_or_Total,4,All_or_Total,Other,Lab,3550000.0,87171.0049477548,0.0205,0.0020603017875645,0.0,0.0,Other,"S.R.Kennett,ET.AL. (80)  ",D0681,3,No Pointer,22,"22-TI-50(P,N)23-V-50,,SIG","Cross-section measurements and thermonuclear reaction rates for 50Ti(p,g)51V and 50Ti(p,n)50V",1980,S.R.Kennett+,3AULAML,2012/04/00,"Jour. Physical Review, Part C, Nuclear Physics Vol.12, p.1789, 1975",D0681003,D0681,"(J,PR/C,12,1789,1975)",1,1,0,50Ti,Ti,28,50,I,4.605039373300483,0.173722727462074,Other,-51431.66,0.121,8755.718,0.002,-2207.647,0.426,49944785.839,0.129,19081.59,0.05,21784.97,0.09,-10717.21,2.23,-1169.59,0.45,-17420.87,0.2,-11541.05,0.82,10939.19,0.04,12159.37,2.7,-16955.2,8.38,3782.99,4.95,-2231.01,1.93,-3440.84,2.22,-12159.37,-10939.19,-22288.1039,-20063.537900000007,-22044.87490000001,-24018.4594,-21784.97,-19081.59,-10717.21,-2989.9935,-12159.37,-10939.19,-8714.624,-12323.3965,-10599.7951,-14570.063500000002,-16638.5235,-12159.37,-9934.804,-10939.19,-13806.308900000002,-14066.9296,-4681.960999999999,-6665.895600000002,-2226.239,9638.4294,7654.4949
31326,proton,All_or_Total,4,All_or_Total,Other,Lab,3580000.0,87907.66132759498,0.0317,0.0031859300812583,0.0,0.0,Other,"S.R.Kennett,ET.AL. (80)  ",D0681,3,No Pointer,22,"22-TI-50(P,N)23-V-50,,SIG","Cross-section measurements and thermonuclear reaction rates for 50Ti(p,g)51V and 50Ti(p,n)50V",1980,S.R.Kennett+,3AULAML,2012/04/00,"Jour. Physical Review, Part C, Nuclear Physics Vol.12, p.1789, 1975",D0681003,D0681,"(J,PR/C,12,1789,1975)",1,1,0,50Ti,Ti,28,50,I,4.605039373300483,0.173722727462074,Other,-51431.66,0.121,8755.718,0.002,-2207.647,0.426,49944785.839,0.129,19081.59,0.05,21784.97,0.09,-10717.21,2.23,-1169.59,0.45,-17420.87,0.2,-11541.05,0.82,10939.19,0.04,12159.37,2.7,-16955.2,8.38,3782.99,4.95,-2231.01,1.93,-3440.84,2.22,-12159.37,-10939.19,-22288.1039,-20063.537900000007,-22044.87490000001,-24018.4594,-21784.97,-19081.59,-10717.21,-2989.9935,-12159.37,-10939.19,-8714.624,-12323.3965,-10599.7951,-14570.063500000002,-16638.5235,-12159.37,-9934.804,-10939.19,-13806.308900000002,-14066.9296,-4681.960999999999,-6665.895600000002,-2226.239,9638.4294,7654.4949
