,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
31627,proton,All_or_Total,3,All_or_Total,Other,Lab,8800000.0,159410.1122437103,0.73,0.03,0.0,0.0,Other,"P.J.Bulman,ET.AL. (65)   ",D0535,3,No Pointer,23,"23-V-0(P,NON),,SIG",Proton reaction cross sections at 8.8 MeV,1965,P.J.Bulman+,2UK BIR,2009/06/00,"Jour. Physical Review Vol.129, p.2198, 1963",D0535003,D0535,"(J,PR,129,2198,1963)",1,1,0,51V,V,28,51,N,4.6355372115827365,0.1725797816919803,Other,-51823.8055,0.4105,8728.3405,0.008,1611.513,0.372,50942000.0,0.44,19373.47,0.535,20847.425000000003,8.87,-9828.5,3.47,-2348.225,1.14,-15224.745,17.505,-9038.39,0.27,9181.195,0.105,8530.525,0.54,-20972.26,28.415,8884.725,0.43,1568.495,0.425,-644.8499999999999,3.85,-8530.525,-9181.195,-17186.3689,-14961.8029,-18245.3699,-21222.4694,-20847.425000000003,-19373.47,-9828.5,829.1665,-8530.525,-9181.195,-6956.628999999999,-9820.7365,-10891.6751,-9468.3285,-14442.3985,-8530.525,-6305.959,-9181.195,-8704.573900000001,-13129.3846,-2923.965999999999,-3037.0506,1592.921,11396.4244,11283.3399
31628,proton,All_or_Total,3,All_or_Total,Other,Lab,9960000.0,440000.0,0.782,0.062,0.0,0.0,Other,"B.D.WILKINS,ET.AL. (63)  ",O0741,20,No Pointer,23,"23-V-0(P,NON),,SIG",10-MeV Proton Reaction Cross Sections For Several Elements.,1963,B.D.Wilkins+,1USALRL,2000/04/04,"Conf. Conf.on Nucl.Data for Sci.and Technol.,Juelich 1991 p.352, 1991",O0741020,O0741,"(C,91JUELIC,,352,1991)",1,1,0,51V,V,28,51,N,4.6355372115827365,0.1725797816919803,Other,-51823.8055,0.4105,8728.3405,0.008,1611.513,0.372,50942000.0,0.44,19373.47,0.535,20847.425000000003,8.87,-9828.5,3.47,-2348.225,1.14,-15224.745,17.505,-9038.39,0.27,9181.195,0.105,8530.525,0.54,-20972.26,28.415,8884.725,0.43,1568.495,0.425,-644.8499999999999,3.85,-8530.525,-9181.195,-17186.3689,-14961.8029,-18245.3699,-21222.4694,-20847.425000000003,-19373.47,-9828.5,829.1665,-8530.525,-9181.195,-6956.628999999999,-9820.7365,-10891.6751,-9468.3285,-14442.3985,-8530.525,-6305.959,-9181.195,-8704.573900000001,-13129.3846,-2923.965999999999,-3037.0506,1592.921,11396.4244,11283.3399
31629,proton,All_or_Total,9000,All_or_Total,Other,Lab,7400000.0,600000.0,0.515,inf,0.0,0.0,Other,P.Jung (91)              ,D4058,40,No Pointer,23,"23-V-0(P,X)24-CR-51,,SIG",Cross sections for the production of helium and long- living radioactive isotopes by protons and deuterons,1991,P.Jung,2GERJUL,2015/05/01,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.322, p.1711, 2019",D4058040,D4058,"(J,JRN,322,1711,2019)",1,1,0,51V,V,28,51,N,4.6355372115827365,0.1725797816919803,Other,-51823.8055,0.4105,8728.3405,0.008,1611.513,0.372,50942000.0,0.44,19373.47,0.535,20847.425000000003,8.87,-9828.5,3.47,-2348.225,1.14,-15224.745,17.505,-9038.39,0.27,9181.195,0.105,8530.525,0.54,-20972.26,28.415,8884.725,0.43,1568.495,0.425,-644.8499999999999,3.85,-8530.525,-9181.195,-17186.3689,-14961.8029,-18245.3699,-21222.4694,-20847.425000000003,-19373.47,-9828.5,829.1665,-8530.525,-9181.195,-6956.628999999999,-9820.7365,-10891.6751,-9468.3285,-14442.3985,-8530.525,-6305.959,-9181.195,-8704.573900000001,-13129.3846,-2923.965999999999,-3037.0506,1592.921,11396.4244,11283.3399
31630,proton,All_or_Total,9000,All_or_Total,Other,Lab,15700000.0,300000.0,0.457,inf,0.0,0.0,Other,P.Jung (91)              ,D4058,40,No Pointer,23,"23-V-0(P,X)24-CR-51,,SIG",Cross sections for the production of helium and long- living radioactive isotopes by protons and deuterons,1991,P.Jung,2GERJUL,2015/05/01,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.322, p.1711, 2019",D4058040,D4058,"(J,JRN,322,1711,2019)",1,1,0,51V,V,28,51,N,4.6355372115827365,0.1725797816919803,Other,-51823.8055,0.4105,8728.3405,0.008,1611.513,0.372,50942000.0,0.44,19373.47,0.535,20847.425000000003,8.87,-9828.5,3.47,-2348.225,1.14,-15224.745,17.505,-9038.39,0.27,9181.195,0.105,8530.525,0.54,-20972.26,28.415,8884.725,0.43,1568.495,0.425,-644.8499999999999,3.85,-8530.525,-9181.195,-17186.3689,-14961.8029,-18245.3699,-21222.4694,-20847.425000000003,-19373.47,-9828.5,829.1665,-8530.525,-9181.195,-6956.628999999999,-9820.7365,-10891.6751,-9468.3285,-14442.3985,-8530.525,-6305.959,-9181.195,-8704.573900000001,-13129.3846,-2923.965999999999,-3037.0506,1592.921,11396.4244,11283.3399
31631,proton,All_or_Total,9000,All_or_Total,Other,Lab,23700000.0,300000.0,0.0624,inf,0.0,0.0,Other,P.Jung (91)              ,D4058,40,No Pointer,23,"23-V-0(P,X)24-CR-51,,SIG",Cross sections for the production of helium and long- living radioactive isotopes by protons and deuterons,1991,P.Jung,2GERJUL,2015/05/01,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.322, p.1711, 2019",D4058040,D4058,"(J,JRN,322,1711,2019)",1,1,0,51V,V,28,51,N,4.6355372115827365,0.1725797816919803,Other,-51823.8055,0.4105,8728.3405,0.008,1611.513,0.372,50942000.0,0.44,19373.47,0.535,20847.425000000003,8.87,-9828.5,3.47,-2348.225,1.14,-15224.745,17.505,-9038.39,0.27,9181.195,0.105,8530.525,0.54,-20972.26,28.415,8884.725,0.43,1568.495,0.425,-644.8499999999999,3.85,-8530.525,-9181.195,-17186.3689,-14961.8029,-18245.3699,-21222.4694,-20847.425000000003,-19373.47,-9828.5,829.1665,-8530.525,-9181.195,-6956.628999999999,-9820.7365,-10891.6751,-9468.3285,-14442.3985,-8530.525,-6305.959,-9181.195,-8704.573900000001,-13129.3846,-2923.965999999999,-3037.0506,1592.921,11396.4244,11283.3399
31632,proton,All_or_Total,9000,All_or_Total,Other,Lab,26500000.0,800000.0,0.0043,0.0002,0.0,0.0,Other,"G.Pupillo,ET.AL. (19)    ",O2450,2,No Pointer,23,"23-V-0(P,X)21-SC-47,,SIG",Production of 47Sc with natural vanadium targets: results of the PASTA project,2019,G.Pupillo+,2ITYPAD,2020/03/02,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.322, p.1711, 2019",O2450002,O2450,"(J,JRN,322,1711,2019)",1,1,0,51V,V,28,51,N,4.6355372115827365,0.1725797816919803,Other,-51823.8055,0.4105,8728.3405,0.008,1611.513,0.372,50942000.0,0.44,19373.47,0.535,20847.425000000003,8.87,-9828.5,3.47,-2348.225,1.14,-15224.745,17.505,-9038.39,0.27,9181.195,0.105,8530.525,0.54,-20972.26,28.415,8884.725,0.43,1568.495,0.425,-644.8499999999999,3.85,-8530.525,-9181.195,-17186.3689,-14961.8029,-18245.3699,-21222.4694,-20847.425000000003,-19373.47,-9828.5,829.1665,-8530.525,-9181.195,-6956.628999999999,-9820.7365,-10891.6751,-9468.3285,-14442.3985,-8530.525,-6305.959,-9181.195,-8704.573900000001,-13129.3846,-2923.965999999999,-3037.0506,1592.921,11396.4244,11283.3399
31633,proton,All_or_Total,9000,All_or_Total,Other,Lab,29200000.0,800000.0,0.0074,0.0005,0.0,0.0,Other,"G.Pupillo,ET.AL. (19)    ",O2450,2,No Pointer,23,"23-V-0(P,X)21-SC-47,,SIG",Production of 47Sc with natural vanadium targets: results of the PASTA project,2019,G.Pupillo+,2ITYPAD,2020/03/02,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.322, p.1711, 2019",O2450002,O2450,"(J,JRN,322,1711,2019)",1,1,0,51V,V,28,51,N,4.6355372115827365,0.1725797816919803,Other,-51823.8055,0.4105,8728.3405,0.008,1611.513,0.372,50942000.0,0.44,19373.47,0.535,20847.425000000003,8.87,-9828.5,3.47,-2348.225,1.14,-15224.745,17.505,-9038.39,0.27,9181.195,0.105,8530.525,0.54,-20972.26,28.415,8884.725,0.43,1568.495,0.425,-644.8499999999999,3.85,-8530.525,-9181.195,-17186.3689,-14961.8029,-18245.3699,-21222.4694,-20847.425000000003,-19373.47,-9828.5,829.1665,-8530.525,-9181.195,-6956.628999999999,-9820.7365,-10891.6751,-9468.3285,-14442.3985,-8530.525,-6305.959,-9181.195,-8704.573900000001,-13129.3846,-2923.965999999999,-3037.0506,1592.921,11396.4244,11283.3399
31634,proton,All_or_Total,9000,All_or_Total,Other,Lab,31200000.0,700000.0,0.009,0.0005,0.0,0.0,Other,"G.Pupillo,ET.AL. (19)    ",O2450,2,No Pointer,23,"23-V-0(P,X)21-SC-47,,SIG",Production of 47Sc with natural vanadium targets: results of the PASTA project,2019,G.Pupillo+,2ITYPAD,2020/03/02,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.322, p.1711, 2019",O2450002,O2450,"(J,JRN,322,1711,2019)",1,1,0,51V,V,28,51,N,4.6355372115827365,0.1725797816919803,Other,-51823.8055,0.4105,8728.3405,0.008,1611.513,0.372,50942000.0,0.44,19373.47,0.535,20847.425000000003,8.87,-9828.5,3.47,-2348.225,1.14,-15224.745,17.505,-9038.39,0.27,9181.195,0.105,8530.525,0.54,-20972.26,28.415,8884.725,0.43,1568.495,0.425,-644.8499999999999,3.85,-8530.525,-9181.195,-17186.3689,-14961.8029,-18245.3699,-21222.4694,-20847.425000000003,-19373.47,-9828.5,829.1665,-8530.525,-9181.195,-6956.628999999999,-9820.7365,-10891.6751,-9468.3285,-14442.3985,-8530.525,-6305.959,-9181.195,-8704.573900000001,-13129.3846,-2923.965999999999,-3037.0506,1592.921,11396.4244,11283.3399
31635,proton,All_or_Total,9000,All_or_Total,Other,Lab,33300000.0,600000.0,0.0109,0.0006,0.0,0.0,Other,"G.Pupillo,ET.AL. (19)    ",O2450,2,No Pointer,23,"23-V-0(P,X)21-SC-47,,SIG",Production of 47Sc with natural vanadium targets: results of the PASTA project,2019,G.Pupillo+,2ITYPAD,2020/03/02,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.322, p.1711, 2019",O2450002,O2450,"(J,JRN,322,1711,2019)",1,1,0,51V,V,28,51,N,4.6355372115827365,0.1725797816919803,Other,-51823.8055,0.4105,8728.3405,0.008,1611.513,0.372,50942000.0,0.44,19373.47,0.535,20847.425000000003,8.87,-9828.5,3.47,-2348.225,1.14,-15224.745,17.505,-9038.39,0.27,9181.195,0.105,8530.525,0.54,-20972.26,28.415,8884.725,0.43,1568.495,0.425,-644.8499999999999,3.85,-8530.525,-9181.195,-17186.3689,-14961.8029,-18245.3699,-21222.4694,-20847.425000000003,-19373.47,-9828.5,829.1665,-8530.525,-9181.195,-6956.628999999999,-9820.7365,-10891.6751,-9468.3285,-14442.3985,-8530.525,-6305.959,-9181.195,-8704.573900000001,-13129.3846,-2923.965999999999,-3037.0506,1592.921,11396.4244,11283.3399
31636,proton,All_or_Total,9000,All_or_Total,Other,Lab,39500000.0,600000.0,0.0083,0.0005,0.0,0.0,Other,"G.Pupillo,ET.AL. (19)    ",O2450,2,No Pointer,23,"23-V-0(P,X)21-SC-47,,SIG",Production of 47Sc with natural vanadium targets: results of the PASTA project,2019,G.Pupillo+,2ITYPAD,2020/03/02,"Jour. Journal of Radioanalytical and Nuclear Chemistry Vol.322, p.1711, 2019",O2450002,O2450,"(J,JRN,322,1711,2019)",1,1,0,51V,V,28,51,N,4.6355372115827365,0.1725797816919803,Other,-51823.8055,0.4105,8728.3405,0.008,1611.513,0.372,50942000.0,0.44,19373.47,0.535,20847.425000000003,8.87,-9828.5,3.47,-2348.225,1.14,-15224.745,17.505,-9038.39,0.27,9181.195,0.105,8530.525,0.54,-20972.26,28.415,8884.725,0.43,1568.495,0.425,-644.8499999999999,3.85,-8530.525,-9181.195,-17186.3689,-14961.8029,-18245.3699,-21222.4694,-20847.425000000003,-19373.47,-9828.5,829.1665,-8530.525,-9181.195,-6956.628999999999,-9820.7365,-10891.6751,-9468.3285,-14442.3985,-8530.525,-6305.959,-9181.195,-8704.573900000001,-13129.3846,-2923.965999999999,-3037.0506,1592.921,11396.4244,11283.3399
