,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
33327,proton,All_or_Total,3,All_or_Total,Other,Lab,28000000.0,507213.99350271455,0.98,0.041,0.0,0.0,Other,"M.Q.Makino,ET.AL. (64)   ",C1212,4,No Pointer,24,"24-CR-0(P,NON),,SIG",Study of shell closure effect on proton total reaction cross sections,1964,M.Q.Makino+,1USAUSC,2011/06/03,"Jour. Physical Review Vol.115, p.925, 1959",C1212004,C1212,"(J,PR,115,925,195908)",1,1,0,52Cr,Cr,28,52,N,4.665638946021559,0.1714663327478798,Other,-55353.120500000005,0.344,8768.093499999999,0.0069999999999999,-2654.421,1.1035,51996000.0,0.3685,20639.02,0.53,19348.81,0.485,-9249.79,0.36,-5714.175,3.39,-13040.765,3.845,-13948.855,1.2200000000000002,9989.115,0.325,10818.285,0.53,-29372.585,212.575,6071.615,0.52,-1896.0950000000005,0.71,291.0049999999999,0.365,-10818.285,-9989.115,-19999.4789,-17774.9129,-21709.9599,-20286.6144,-19348.81,-20639.02,-9249.79,-3436.767499999999,-10818.285,-9989.115,-7764.548999999999,-14731.2015,-12157.2251,-12281.438500000002,-12258.4185,-10818.285,-8593.719000000001,-9989.115,-11517.683900000002,-11630.7696,-3731.886,-5324.810600000002,-2673.012999999999,10588.5044,8995.5799
33328,proton,All_or_Total,4,All_or_Total,Other,Lab,3600000.0,88398.76558082177,0.12,0.018,0.0,0.0,Other,R.D.ALBERT (59)          ,T0130,3,No Pointer,24,"24-CR-0(P,N),,SIG","(p,n) Cross Section and Proton Optical-Model Parameters in the 4 to 5.5 MeV Energy Region",1959,R.D.Albert,1USALRL,2001/07/05,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",T0130003,T0130,"(J,NP/A,106,323,1968)",1,1,0,52Cr,Cr,28,52,N,4.665638946021559,0.1714663327478798,Other,-55353.120500000005,0.344,8768.093499999999,0.0069999999999999,-2654.421,1.1035,51996000.0,0.3685,20639.02,0.53,19348.81,0.485,-9249.79,0.36,-5714.175,3.39,-13040.765,3.845,-13948.855,1.2200000000000002,9989.115,0.325,10818.285,0.53,-29372.585,212.575,6071.615,0.52,-1896.0950000000005,0.71,291.0049999999999,0.365,-10818.285,-9989.115,-19999.4789,-17774.9129,-21709.9599,-20286.6144,-19348.81,-20639.02,-9249.79,-3436.767499999999,-10818.285,-9989.115,-7764.548999999999,-14731.2015,-12157.2251,-12281.438500000002,-12258.4185,-10818.285,-8593.719000000001,-9989.115,-11517.683900000002,-11630.7696,-3731.886,-5324.810600000002,-2673.012999999999,10588.5044,8995.5799
33329,proton,All_or_Total,4,All_or_Total,Other,Lab,4000000.0,98220.85064535752,0.17,0.0255,0.0,0.0,Other,R.D.ALBERT (59)          ,T0130,3,No Pointer,24,"24-CR-0(P,N),,SIG","(p,n) Cross Section and Proton Optical-Model Parameters in the 4 to 5.5 MeV Energy Region",1959,R.D.Albert,1USALRL,2001/07/05,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",T0130003,T0130,"(J,NP/A,106,323,1968)",1,1,0,52Cr,Cr,28,52,N,4.665638946021559,0.1714663327478798,Other,-55353.120500000005,0.344,8768.093499999999,0.0069999999999999,-2654.421,1.1035,51996000.0,0.3685,20639.02,0.53,19348.81,0.485,-9249.79,0.36,-5714.175,3.39,-13040.765,3.845,-13948.855,1.2200000000000002,9989.115,0.325,10818.285,0.53,-29372.585,212.575,6071.615,0.52,-1896.0950000000005,0.71,291.0049999999999,0.365,-10818.285,-9989.115,-19999.4789,-17774.9129,-21709.9599,-20286.6144,-19348.81,-20639.02,-9249.79,-3436.767499999999,-10818.285,-9989.115,-7764.548999999999,-14731.2015,-12157.2251,-12281.438500000002,-12258.4185,-10818.285,-8593.719000000001,-9989.115,-11517.683900000002,-11630.7696,-3731.886,-5324.810600000002,-2673.012999999999,10588.5044,8995.5799
33330,proton,All_or_Total,4,All_or_Total,Other,Lab,4500000.0,110498.4569760272,0.23,0.0345,0.0,0.0,Other,R.D.ALBERT (59)          ,T0130,3,No Pointer,24,"24-CR-0(P,N),,SIG","(p,n) Cross Section and Proton Optical-Model Parameters in the 4 to 5.5 MeV Energy Region",1959,R.D.Albert,1USALRL,2001/07/05,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",T0130003,T0130,"(J,NP/A,106,323,1968)",1,1,0,52Cr,Cr,28,52,N,4.665638946021559,0.1714663327478798,Other,-55353.120500000005,0.344,8768.093499999999,0.0069999999999999,-2654.421,1.1035,51996000.0,0.3685,20639.02,0.53,19348.81,0.485,-9249.79,0.36,-5714.175,3.39,-13040.765,3.845,-13948.855,1.2200000000000002,9989.115,0.325,10818.285,0.53,-29372.585,212.575,6071.615,0.52,-1896.0950000000005,0.71,291.0049999999999,0.365,-10818.285,-9989.115,-19999.4789,-17774.9129,-21709.9599,-20286.6144,-19348.81,-20639.02,-9249.79,-3436.767499999999,-10818.285,-9989.115,-7764.548999999999,-14731.2015,-12157.2251,-12281.438500000002,-12258.4185,-10818.285,-8593.719000000001,-9989.115,-11517.683900000002,-11630.7696,-3731.886,-5324.810600000002,-2673.012999999999,10588.5044,8995.5799
33331,proton,All_or_Total,4,All_or_Total,Other,Lab,5000000.0,122776.06330669687,0.3,0.045,0.0,0.0,Other,R.D.ALBERT (59)          ,T0130,3,No Pointer,24,"24-CR-0(P,N),,SIG","(p,n) Cross Section and Proton Optical-Model Parameters in the 4 to 5.5 MeV Energy Region",1959,R.D.Albert,1USALRL,2001/07/05,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",T0130003,T0130,"(J,NP/A,106,323,1968)",1,1,0,52Cr,Cr,28,52,N,4.665638946021559,0.1714663327478798,Other,-55353.120500000005,0.344,8768.093499999999,0.0069999999999999,-2654.421,1.1035,51996000.0,0.3685,20639.02,0.53,19348.81,0.485,-9249.79,0.36,-5714.175,3.39,-13040.765,3.845,-13948.855,1.2200000000000002,9989.115,0.325,10818.285,0.53,-29372.585,212.575,6071.615,0.52,-1896.0950000000005,0.71,291.0049999999999,0.365,-10818.285,-9989.115,-19999.4789,-17774.9129,-21709.9599,-20286.6144,-19348.81,-20639.02,-9249.79,-3436.767499999999,-10818.285,-9989.115,-7764.548999999999,-14731.2015,-12157.2251,-12281.438500000002,-12258.4185,-10818.285,-8593.719000000001,-9989.115,-11517.683900000002,-11630.7696,-3731.886,-5324.810600000002,-2673.012999999999,10588.5044,8995.5799
33332,proton,All_or_Total,4,All_or_Total,Other,Lab,5500000.0,135053.66963736658,0.37,0.0555,0.0,0.0,Other,R.D.ALBERT (59)          ,T0130,3,No Pointer,24,"24-CR-0(P,N),,SIG","(p,n) Cross Section and Proton Optical-Model Parameters in the 4 to 5.5 MeV Energy Region",1959,R.D.Albert,1USALRL,2001/07/05,"Jour. Nuclear Physics, Section A Vol.106, p.323, 1968",T0130003,T0130,"(J,NP/A,106,323,1968)",1,1,0,52Cr,Cr,28,52,N,4.665638946021559,0.1714663327478798,Other,-55353.120500000005,0.344,8768.093499999999,0.0069999999999999,-2654.421,1.1035,51996000.0,0.3685,20639.02,0.53,19348.81,0.485,-9249.79,0.36,-5714.175,3.39,-13040.765,3.845,-13948.855,1.2200000000000002,9989.115,0.325,10818.285,0.53,-29372.585,212.575,6071.615,0.52,-1896.0950000000005,0.71,291.0049999999999,0.365,-10818.285,-9989.115,-19999.4789,-17774.9129,-21709.9599,-20286.6144,-19348.81,-20639.02,-9249.79,-3436.767499999999,-10818.285,-9989.115,-7764.548999999999,-14731.2015,-12157.2251,-12281.438500000002,-12258.4185,-10818.285,-8593.719000000001,-9989.115,-11517.683900000002,-11630.7696,-3731.886,-5324.810600000002,-2673.012999999999,10588.5044,8995.5799
33333,proton,All_or_Total,4,All_or_Total,Other,Lab,7800000.0,191530.6587584472,0.342,0.03437186396815,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (68)   ",C0696,3,No Pointer,24,"24-CR-0(P,N),,SIG","Excitation functions for (p,n) and (p,2n) interactions in Sc, Cr, Mo, Cd and W between 8 and 14 MeV",1968,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Nuclear Instrum.and Methods in Physics Res. Vol.127, p.269, 1975",C0696003,C0696,"(J,NIM,127,269,1975)",1,1,0,52Cr,Cr,28,52,N,4.665638946021559,0.1714663327478798,Other,-55353.120500000005,0.344,8768.093499999999,0.0069999999999999,-2654.421,1.1035,51996000.0,0.3685,20639.02,0.53,19348.81,0.485,-9249.79,0.36,-5714.175,3.39,-13040.765,3.845,-13948.855,1.2200000000000002,9989.115,0.325,10818.285,0.53,-29372.585,212.575,6071.615,0.52,-1896.0950000000005,0.71,291.0049999999999,0.365,-10818.285,-9989.115,-19999.4789,-17774.9129,-21709.9599,-20286.6144,-19348.81,-20639.02,-9249.79,-3436.767499999999,-10818.285,-9989.115,-7764.548999999999,-14731.2015,-12157.2251,-12281.438500000002,-12258.4185,-10818.285,-8593.719000000001,-9989.115,-11517.683900000002,-11630.7696,-3731.886,-5324.810600000002,-2673.012999999999,10588.5044,8995.5799
33334,proton,All_or_Total,4,All_or_Total,Other,Lab,8200000.0,201352.7438229829,0.359,0.0360804069139352,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (68)   ",C0696,3,No Pointer,24,"24-CR-0(P,N),,SIG","Excitation functions for (p,n) and (p,2n) interactions in Sc, Cr, Mo, Cd and W between 8 and 14 MeV",1968,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Nuclear Instrum.and Methods in Physics Res. Vol.127, p.269, 1975",C0696003,C0696,"(J,NIM,127,269,1975)",1,1,0,52Cr,Cr,28,52,N,4.665638946021559,0.1714663327478798,Other,-55353.120500000005,0.344,8768.093499999999,0.0069999999999999,-2654.421,1.1035,51996000.0,0.3685,20639.02,0.53,19348.81,0.485,-9249.79,0.36,-5714.175,3.39,-13040.765,3.845,-13948.855,1.2200000000000002,9989.115,0.325,10818.285,0.53,-29372.585,212.575,6071.615,0.52,-1896.0950000000005,0.71,291.0049999999999,0.365,-10818.285,-9989.115,-19999.4789,-17774.9129,-21709.9599,-20286.6144,-19348.81,-20639.02,-9249.79,-3436.767499999999,-10818.285,-9989.115,-7764.548999999999,-14731.2015,-12157.2251,-12281.438500000002,-12258.4185,-10818.285,-8593.719000000001,-9989.115,-11517.683900000002,-11630.7696,-3731.886,-5324.810600000002,-2673.012999999999,10588.5044,8995.5799
33335,proton,All_or_Total,4,All_or_Total,Other,Lab,8800000.0,216085.87141978653,0.413,0.0415075433299589,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (68)   ",C0696,3,No Pointer,24,"24-CR-0(P,N),,SIG","Excitation functions for (p,n) and (p,2n) interactions in Sc, Cr, Mo, Cd and W between 8 and 14 MeV",1968,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Nuclear Instrum.and Methods in Physics Res. Vol.127, p.269, 1975",C0696003,C0696,"(J,NIM,127,269,1975)",1,1,0,52Cr,Cr,28,52,N,4.665638946021559,0.1714663327478798,Other,-55353.120500000005,0.344,8768.093499999999,0.0069999999999999,-2654.421,1.1035,51996000.0,0.3685,20639.02,0.53,19348.81,0.485,-9249.79,0.36,-5714.175,3.39,-13040.765,3.845,-13948.855,1.2200000000000002,9989.115,0.325,10818.285,0.53,-29372.585,212.575,6071.615,0.52,-1896.0950000000005,0.71,291.0049999999999,0.365,-10818.285,-9989.115,-19999.4789,-17774.9129,-21709.9599,-20286.6144,-19348.81,-20639.02,-9249.79,-3436.767499999999,-10818.285,-9989.115,-7764.548999999999,-14731.2015,-12157.2251,-12281.438500000002,-12258.4185,-10818.285,-8593.719000000001,-9989.115,-11517.683900000002,-11630.7696,-3731.886,-5324.810600000002,-2673.012999999999,10588.5044,8995.5799
33336,proton,All_or_Total,4,All_or_Total,Other,Lab,9800000.0,240641.0840811259,0.498,0.0500502580588851,0.0,0.0,Other,"R.G.THOMAS,ET.AL. (68)   ",C0696,3,No Pointer,24,"24-CR-0(P,N),,SIG","Excitation functions for (p,n) and (p,2n) interactions in Sc, Cr, Mo, Cd and W between 8 and 14 MeV",1968,R.G.Thomas+,1USALRL,2000/08/03,"Jour. Nuclear Instrum.and Methods in Physics Res. Vol.127, p.269, 1975",C0696003,C0696,"(J,NIM,127,269,1975)",1,1,0,52Cr,Cr,28,52,N,4.665638946021559,0.1714663327478798,Other,-55353.120500000005,0.344,8768.093499999999,0.0069999999999999,-2654.421,1.1035,51996000.0,0.3685,20639.02,0.53,19348.81,0.485,-9249.79,0.36,-5714.175,3.39,-13040.765,3.845,-13948.855,1.2200000000000002,9989.115,0.325,10818.285,0.53,-29372.585,212.575,6071.615,0.52,-1896.0950000000005,0.71,291.0049999999999,0.365,-10818.285,-9989.115,-19999.4789,-17774.9129,-21709.9599,-20286.6144,-19348.81,-20639.02,-9249.79,-3436.767499999999,-10818.285,-9989.115,-7764.548999999999,-14731.2015,-12157.2251,-12281.438500000002,-12258.4185,-10818.285,-8593.719000000001,-9989.115,-11517.683900000002,-11630.7696,-3731.886,-5324.810600000002,-2673.012999999999,10588.5044,8995.5799
