,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
34981,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1035000.0,25414.64510448626,1.1e-06,1.10552778844927e-07,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,6,No Pointer,25,"25-MN-55(P,N)26-FE-55,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Australian Journal of Physics Vol.36, p.1, 1983",T0122006,T0122,"(J,AUJ,36,1,1983)",1,1,0,55Mn,Mn,30,55,I,4.7536905759517385,0.1682902972370749,Other,-57712.413,0.303,8765.021999999999,0.006,-231.114,0.179,54938043.172,0.325,19164.93,0.43,20439.29,3.12,-7933.49,0.48,-3682.53,0.34,-15108.21,15.0,-9529.23,0.25,10226.1,1.05,8066.62,0.32,-26077.01,155.56,8285.39,0.32,2570.88,0.33,-622.24,0.5,-8066.62,-10226.1,-17785.7039,-15561.137900000002,-17242.9849,-21199.8594,-20439.29,-19164.93,-7933.49,-1013.4605,-8066.62,-10226.1,-8001.5340000000015,-10311.5765,-10683.1351,-10067.663500000002,-14325.8635,-8066.62,-5842.054,-10226.1,-9303.908900000002,-12721.2496,-3968.871,-2573.1456,-249.706,10351.5194,11747.244900000003
34982,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1035000.0,25414.64510448626,1.2e-06,1.2060303146719308e-07,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,6,No Pointer,25,"25-MN-55(P,N)26-FE-55,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Australian Journal of Physics Vol.36, p.1, 1983",T0122006,T0122,"(J,AUJ,36,1,1983)",1,1,0,55Mn,Mn,30,55,I,4.7536905759517385,0.1682902972370749,Other,-57712.413,0.303,8765.021999999999,0.006,-231.114,0.179,54938043.172,0.325,19164.93,0.43,20439.29,3.12,-7933.49,0.48,-3682.53,0.34,-15108.21,15.0,-9529.23,0.25,10226.1,1.05,8066.62,0.32,-26077.01,155.56,8285.39,0.32,2570.88,0.33,-622.24,0.5,-8066.62,-10226.1,-17785.7039,-15561.137900000002,-17242.9849,-21199.8594,-20439.29,-19164.93,-7933.49,-1013.4605,-8066.62,-10226.1,-8001.5340000000015,-10311.5765,-10683.1351,-10067.663500000002,-14325.8635,-8066.62,-5842.054,-10226.1,-9303.908900000002,-12721.2496,-3968.871,-2573.1456,-249.706,10351.5194,11747.244900000003
34983,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1043000.0,25611.086805776973,3.5e-06,3.517588417793132e-07,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,6,No Pointer,25,"25-MN-55(P,N)26-FE-55,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Australian Journal of Physics Vol.36, p.1, 1983",T0122006,T0122,"(J,AUJ,36,1,1983)",1,1,0,55Mn,Mn,30,55,I,4.7536905759517385,0.1682902972370749,Other,-57712.413,0.303,8765.021999999999,0.006,-231.114,0.179,54938043.172,0.325,19164.93,0.43,20439.29,3.12,-7933.49,0.48,-3682.53,0.34,-15108.21,15.0,-9529.23,0.25,10226.1,1.05,8066.62,0.32,-26077.01,155.56,8285.39,0.32,2570.88,0.33,-622.24,0.5,-8066.62,-10226.1,-17785.7039,-15561.137900000002,-17242.9849,-21199.8594,-20439.29,-19164.93,-7933.49,-1013.4605,-8066.62,-10226.1,-8001.5340000000015,-10311.5765,-10683.1351,-10067.663500000002,-14325.8635,-8066.62,-5842.054,-10226.1,-9303.908900000002,-12721.2496,-3968.871,-2573.1456,-249.706,10351.5194,11747.244900000003
34984,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1056000.0,25930.304570374385,3.8e-06,3.819095996461114e-07,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,6,No Pointer,25,"25-MN-55(P,N)26-FE-55,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Australian Journal of Physics Vol.36, p.1, 1983",T0122006,T0122,"(J,AUJ,36,1,1983)",1,1,0,55Mn,Mn,30,55,I,4.7536905759517385,0.1682902972370749,Other,-57712.413,0.303,8765.021999999999,0.006,-231.114,0.179,54938043.172,0.325,19164.93,0.43,20439.29,3.12,-7933.49,0.48,-3682.53,0.34,-15108.21,15.0,-9529.23,0.25,10226.1,1.05,8066.62,0.32,-26077.01,155.56,8285.39,0.32,2570.88,0.33,-622.24,0.5,-8066.62,-10226.1,-17785.7039,-15561.137900000002,-17242.9849,-21199.8594,-20439.29,-19164.93,-7933.49,-1013.4605,-8066.62,-10226.1,-8001.5340000000015,-10311.5765,-10683.1351,-10067.663500000002,-14325.8635,-8066.62,-5842.054,-10226.1,-9303.908900000002,-12721.2496,-3968.871,-2573.1456,-249.706,10351.5194,11747.244900000003
34985,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1065000.0,26151.30148432644,3.6e-06,3.618090944015792e-07,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,6,No Pointer,25,"25-MN-55(P,N)26-FE-55,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Australian Journal of Physics Vol.36, p.1, 1983",T0122006,T0122,"(J,AUJ,36,1,1983)",1,1,0,55Mn,Mn,30,55,I,4.7536905759517385,0.1682902972370749,Other,-57712.413,0.303,8765.021999999999,0.006,-231.114,0.179,54938043.172,0.325,19164.93,0.43,20439.29,3.12,-7933.49,0.48,-3682.53,0.34,-15108.21,15.0,-9529.23,0.25,10226.1,1.05,8066.62,0.32,-26077.01,155.56,8285.39,0.32,2570.88,0.33,-622.24,0.5,-8066.62,-10226.1,-17785.7039,-15561.137900000002,-17242.9849,-21199.8594,-20439.29,-19164.93,-7933.49,-1013.4605,-8066.62,-10226.1,-8001.5340000000015,-10311.5765,-10683.1351,-10067.663500000002,-14325.8635,-8066.62,-5842.054,-10226.1,-9303.908900000002,-12721.2496,-3968.871,-2573.1456,-249.706,10351.5194,11747.244900000003
34986,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1075000.0,26396.853610939837,6e-06,6.030151573359654e-07,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,6,No Pointer,25,"25-MN-55(P,N)26-FE-55,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Australian Journal of Physics Vol.36, p.1, 1983",T0122006,T0122,"(J,AUJ,36,1,1983)",1,1,0,55Mn,Mn,30,55,I,4.7536905759517385,0.1682902972370749,Other,-57712.413,0.303,8765.021999999999,0.006,-231.114,0.179,54938043.172,0.325,19164.93,0.43,20439.29,3.12,-7933.49,0.48,-3682.53,0.34,-15108.21,15.0,-9529.23,0.25,10226.1,1.05,8066.62,0.32,-26077.01,155.56,8285.39,0.32,2570.88,0.33,-622.24,0.5,-8066.62,-10226.1,-17785.7039,-15561.137900000002,-17242.9849,-21199.8594,-20439.29,-19164.93,-7933.49,-1013.4605,-8066.62,-10226.1,-8001.5340000000015,-10311.5765,-10683.1351,-10067.663500000002,-14325.8635,-8066.62,-5842.054,-10226.1,-9303.908900000002,-12721.2496,-3968.871,-2573.1456,-249.706,10351.5194,11747.244900000003
34987,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1083000.0,26593.295312230548,8.5e-06,8.542714728926176e-07,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,6,No Pointer,25,"25-MN-55(P,N)26-FE-55,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Australian Journal of Physics Vol.36, p.1, 1983",T0122006,T0122,"(J,AUJ,36,1,1983)",1,1,0,55Mn,Mn,30,55,I,4.7536905759517385,0.1682902972370749,Other,-57712.413,0.303,8765.021999999999,0.006,-231.114,0.179,54938043.172,0.325,19164.93,0.43,20439.29,3.12,-7933.49,0.48,-3682.53,0.34,-15108.21,15.0,-9529.23,0.25,10226.1,1.05,8066.62,0.32,-26077.01,155.56,8285.39,0.32,2570.88,0.33,-622.24,0.5,-8066.62,-10226.1,-17785.7039,-15561.137900000002,-17242.9849,-21199.8594,-20439.29,-19164.93,-7933.49,-1013.4605,-8066.62,-10226.1,-8001.5340000000015,-10311.5765,-10683.1351,-10067.663500000002,-14325.8635,-8066.62,-5842.054,-10226.1,-9303.908900000002,-12721.2496,-3968.871,-2573.1456,-249.706,10351.5194,11747.244900000003
34988,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1094000.0,26863.40265150528,6.5e-06,6.532664204472958e-07,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,6,No Pointer,25,"25-MN-55(P,N)26-FE-55,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Australian Journal of Physics Vol.36, p.1, 1983",T0122006,T0122,"(J,AUJ,36,1,1983)",1,1,0,55Mn,Mn,30,55,I,4.7536905759517385,0.1682902972370749,Other,-57712.413,0.303,8765.021999999999,0.006,-231.114,0.179,54938043.172,0.325,19164.93,0.43,20439.29,3.12,-7933.49,0.48,-3682.53,0.34,-15108.21,15.0,-9529.23,0.25,10226.1,1.05,8066.62,0.32,-26077.01,155.56,8285.39,0.32,2570.88,0.33,-622.24,0.5,-8066.62,-10226.1,-17785.7039,-15561.137900000002,-17242.9849,-21199.8594,-20439.29,-19164.93,-7933.49,-1013.4605,-8066.62,-10226.1,-8001.5340000000015,-10311.5765,-10683.1351,-10067.663500000002,-14325.8635,-8066.62,-5842.054,-10226.1,-9303.908900000002,-12721.2496,-3968.871,-2573.1456,-249.706,10351.5194,11747.244900000003
34989,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1104000.0,27108.954778118677,9.3e-06,9.346734938707464e-07,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,6,No Pointer,25,"25-MN-55(P,N)26-FE-55,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Australian Journal of Physics Vol.36, p.1, 1983",T0122006,T0122,"(J,AUJ,36,1,1983)",1,1,0,55Mn,Mn,30,55,I,4.7536905759517385,0.1682902972370749,Other,-57712.413,0.303,8765.021999999999,0.006,-231.114,0.179,54938043.172,0.325,19164.93,0.43,20439.29,3.12,-7933.49,0.48,-3682.53,0.34,-15108.21,15.0,-9529.23,0.25,10226.1,1.05,8066.62,0.32,-26077.01,155.56,8285.39,0.32,2570.88,0.33,-622.24,0.5,-8066.62,-10226.1,-17785.7039,-15561.137900000002,-17242.9849,-21199.8594,-20439.29,-19164.93,-7933.49,-1013.4605,-8066.62,-10226.1,-8001.5340000000015,-10311.5765,-10683.1351,-10067.663500000002,-14325.8635,-8066.62,-5842.054,-10226.1,-9303.908900000002,-12721.2496,-3968.871,-2573.1456,-249.706,10351.5194,11747.244900000003
34990,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1115000.0,27379.06211739341,1.2e-05,1.2060303146719307e-06,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,6,No Pointer,25,"25-MN-55(P,N)26-FE-55,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Australian Journal of Physics Vol.36, p.1, 1983",T0122006,T0122,"(J,AUJ,36,1,1983)",1,1,0,55Mn,Mn,30,55,I,4.7536905759517385,0.1682902972370749,Other,-57712.413,0.303,8765.021999999999,0.006,-231.114,0.179,54938043.172,0.325,19164.93,0.43,20439.29,3.12,-7933.49,0.48,-3682.53,0.34,-15108.21,15.0,-9529.23,0.25,10226.1,1.05,8066.62,0.32,-26077.01,155.56,8285.39,0.32,2570.88,0.33,-622.24,0.5,-8066.62,-10226.1,-17785.7039,-15561.137900000002,-17242.9849,-21199.8594,-20439.29,-19164.93,-7933.49,-1013.4605,-8066.62,-10226.1,-8001.5340000000015,-10311.5765,-10683.1351,-10067.663500000002,-14325.8635,-8066.62,-5842.054,-10226.1,-9303.908900000002,-12721.2496,-3968.871,-2573.1456,-249.706,10351.5194,11747.244900000003
