,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
41105,proton,All_or_Total,3,All_or_Total,Other,Lab,14500000.0,262664.3894924772,0.976,0.014,0.0,0.0,Other,"J.F.Dicello,ET.AL. (67)  ",C1217,5,No Pointer,26,"26-FE-57(P,NON),,SIG","Proton Total Reaction Cross Sections for 22 Isotopes of Ti, Fe, Ni, Cu, Zn, Zr, and Sn at 14.5 MeV",1967,J.F.Dicello+,1USALAS,2010/03/02,"Jour. Canadian Journal of Physics Vol.64, p.685, 1986",C1217005,C1217,"(J,CJP,64,685,1986)",1,1,0,57Fe,Fe,31,57,I,4.8106264140960056,0.1662985089958046,Other,-60181.83900000001,0.304,8770.279,0.005,-836.2760000000002,0.451,56935392.134,0.326,18843.17,0.23,19650.07,0.38,-7319.76,0.34,-4098.01,0.51,-12185.81,0.52,-12212.75,0.41,7646.07,0.04,10559.27,0.21,-27632.0,200.0,8241.38,0.16,239.84,1.06,2399.33,0.34,-10559.27,-7646.07,-17829.713900000002,-15605.147900000002,-19574.0249,-18178.2894,-19650.07,-18843.17,-7319.76,-1618.6225,-10559.27,-7646.07,-5421.504,-12995.0965,-10361.375099999996,-10111.673500000004,-11403.4635,-10559.27,-8334.704000000002,-7646.07,-9347.918900000002,-11932.0296,-1388.8409999999994,-5065.7956,-854.868,12931.5494,9254.5949
41106,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,20900000.0,100000.0,1.222,0.037,0.0,0.0,Other,"R.H.MCCAMIS,ET.AL. (86)  ",T0100,5,No Pointer,26,"26-FE-57(P,NON),,SIG",A Study of Proton Total Reaction Cross Sections For Several Medium-Mass Nuclei Between 20 and 48 MeV.,1986,R.H.Mccamis+,1CANMNA,1999/07/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.4, p.1114, 1971",T0100005,T0100,"(J,PR/C,4,1114,71)",1,1,0,57Fe,Fe,31,57,I,4.8106264140960056,0.1662985089958046,Other,-60181.83900000001,0.304,8770.279,0.005,-836.2760000000002,0.451,56935392.134,0.326,18843.17,0.23,19650.07,0.38,-7319.76,0.34,-4098.01,0.51,-12185.81,0.52,-12212.75,0.41,7646.07,0.04,10559.27,0.21,-27632.0,200.0,8241.38,0.16,239.84,1.06,2399.33,0.34,-10559.27,-7646.07,-17829.713900000002,-15605.147900000002,-19574.0249,-18178.2894,-19650.07,-18843.17,-7319.76,-1618.6225,-10559.27,-7646.07,-5421.504,-12995.0965,-10361.375099999996,-10111.673500000004,-11403.4635,-10559.27,-8334.704000000002,-7646.07,-9347.918900000002,-11932.0296,-1388.8409999999994,-5065.7956,-854.868,12931.5494,9254.5949
41107,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,24900000.0,100000.0,1.201,0.028,0.0,0.0,Other,"R.H.MCCAMIS,ET.AL. (86)  ",T0100,5,No Pointer,26,"26-FE-57(P,NON),,SIG",A Study of Proton Total Reaction Cross Sections For Several Medium-Mass Nuclei Between 20 and 48 MeV.,1986,R.H.Mccamis+,1CANMNA,1999/07/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.4, p.1114, 1971",T0100005,T0100,"(J,PR/C,4,1114,71)",1,1,0,57Fe,Fe,31,57,I,4.8106264140960056,0.1662985089958046,Other,-60181.83900000001,0.304,8770.279,0.005,-836.2760000000002,0.451,56935392.134,0.326,18843.17,0.23,19650.07,0.38,-7319.76,0.34,-4098.01,0.51,-12185.81,0.52,-12212.75,0.41,7646.07,0.04,10559.27,0.21,-27632.0,200.0,8241.38,0.16,239.84,1.06,2399.33,0.34,-10559.27,-7646.07,-17829.713900000002,-15605.147900000002,-19574.0249,-18178.2894,-19650.07,-18843.17,-7319.76,-1618.6225,-10559.27,-7646.07,-5421.504,-12995.0965,-10361.375099999996,-10111.673500000004,-11403.4635,-10559.27,-8334.704000000002,-7646.07,-9347.918900000002,-11932.0296,-1388.8409999999994,-5065.7956,-854.868,12931.5494,9254.5949
41108,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,29800000.0,100000.0,1.168,0.026,0.0,0.0,Other,"R.H.MCCAMIS,ET.AL. (86)  ",T0100,5,No Pointer,26,"26-FE-57(P,NON),,SIG",A Study of Proton Total Reaction Cross Sections For Several Medium-Mass Nuclei Between 20 and 48 MeV.,1986,R.H.Mccamis+,1CANMNA,1999/07/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.4, p.1114, 1971",T0100005,T0100,"(J,PR/C,4,1114,71)",1,1,0,57Fe,Fe,31,57,I,4.8106264140960056,0.1662985089958046,Other,-60181.83900000001,0.304,8770.279,0.005,-836.2760000000002,0.451,56935392.134,0.326,18843.17,0.23,19650.07,0.38,-7319.76,0.34,-4098.01,0.51,-12185.81,0.52,-12212.75,0.41,7646.07,0.04,10559.27,0.21,-27632.0,200.0,8241.38,0.16,239.84,1.06,2399.33,0.34,-10559.27,-7646.07,-17829.713900000002,-15605.147900000002,-19574.0249,-18178.2894,-19650.07,-18843.17,-7319.76,-1618.6225,-10559.27,-7646.07,-5421.504,-12995.0965,-10361.375099999996,-10111.673500000004,-11403.4635,-10559.27,-8334.704000000002,-7646.07,-9347.918900000002,-11932.0296,-1388.8409999999994,-5065.7956,-854.868,12931.5494,9254.5949
41109,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,34800000.0,100000.0,1.147,0.03,0.0,0.0,Other,"R.H.MCCAMIS,ET.AL. (86)  ",T0100,5,No Pointer,26,"26-FE-57(P,NON),,SIG",A Study of Proton Total Reaction Cross Sections For Several Medium-Mass Nuclei Between 20 and 48 MeV.,1986,R.H.Mccamis+,1CANMNA,1999/07/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.4, p.1114, 1971",T0100005,T0100,"(J,PR/C,4,1114,71)",1,1,0,57Fe,Fe,31,57,I,4.8106264140960056,0.1662985089958046,Other,-60181.83900000001,0.304,8770.279,0.005,-836.2760000000002,0.451,56935392.134,0.326,18843.17,0.23,19650.07,0.38,-7319.76,0.34,-4098.01,0.51,-12185.81,0.52,-12212.75,0.41,7646.07,0.04,10559.27,0.21,-27632.0,200.0,8241.38,0.16,239.84,1.06,2399.33,0.34,-10559.27,-7646.07,-17829.713900000002,-15605.147900000002,-19574.0249,-18178.2894,-19650.07,-18843.17,-7319.76,-1618.6225,-10559.27,-7646.07,-5421.504,-12995.0965,-10361.375099999996,-10111.673500000004,-11403.4635,-10559.27,-8334.704000000002,-7646.07,-9347.918900000002,-11932.0296,-1388.8409999999994,-5065.7956,-854.868,12931.5494,9254.5949
41110,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,39800000.0,100000.0,1.106,0.028,0.0,0.0,Other,"R.H.MCCAMIS,ET.AL. (86)  ",T0100,5,No Pointer,26,"26-FE-57(P,NON),,SIG",A Study of Proton Total Reaction Cross Sections For Several Medium-Mass Nuclei Between 20 and 48 MeV.,1986,R.H.Mccamis+,1CANMNA,1999/07/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.4, p.1114, 1971",T0100005,T0100,"(J,PR/C,4,1114,71)",1,1,0,57Fe,Fe,31,57,I,4.8106264140960056,0.1662985089958046,Other,-60181.83900000001,0.304,8770.279,0.005,-836.2760000000002,0.451,56935392.134,0.326,18843.17,0.23,19650.07,0.38,-7319.76,0.34,-4098.01,0.51,-12185.81,0.52,-12212.75,0.41,7646.07,0.04,10559.27,0.21,-27632.0,200.0,8241.38,0.16,239.84,1.06,2399.33,0.34,-10559.27,-7646.07,-17829.713900000002,-15605.147900000002,-19574.0249,-18178.2894,-19650.07,-18843.17,-7319.76,-1618.6225,-10559.27,-7646.07,-5421.504,-12995.0965,-10361.375099999996,-10111.673500000004,-11403.4635,-10559.27,-8334.704000000002,-7646.07,-9347.918900000002,-11932.0296,-1388.8409999999994,-5065.7956,-854.868,12931.5494,9254.5949
41111,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,44900000.0,100000.0,1.049,0.029,0.0,0.0,Other,"R.H.MCCAMIS,ET.AL. (86)  ",T0100,5,No Pointer,26,"26-FE-57(P,NON),,SIG",A Study of Proton Total Reaction Cross Sections For Several Medium-Mass Nuclei Between 20 and 48 MeV.,1986,R.H.Mccamis+,1CANMNA,1999/07/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.4, p.1114, 1971",T0100005,T0100,"(J,PR/C,4,1114,71)",1,1,0,57Fe,Fe,31,57,I,4.8106264140960056,0.1662985089958046,Other,-60181.83900000001,0.304,8770.279,0.005,-836.2760000000002,0.451,56935392.134,0.326,18843.17,0.23,19650.07,0.38,-7319.76,0.34,-4098.01,0.51,-12185.81,0.52,-12212.75,0.41,7646.07,0.04,10559.27,0.21,-27632.0,200.0,8241.38,0.16,239.84,1.06,2399.33,0.34,-10559.27,-7646.07,-17829.713900000002,-15605.147900000002,-19574.0249,-18178.2894,-19650.07,-18843.17,-7319.76,-1618.6225,-10559.27,-7646.07,-5421.504,-12995.0965,-10361.375099999996,-10111.673500000004,-11403.4635,-10559.27,-8334.704000000002,-7646.07,-9347.918900000002,-11932.0296,-1388.8409999999994,-5065.7956,-854.868,12931.5494,9254.5949
41112,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,47800000.0,100000.0,1.021,0.038,0.0,0.0,Other,"R.H.MCCAMIS,ET.AL. (86)  ",T0100,5,No Pointer,26,"26-FE-57(P,NON),,SIG",A Study of Proton Total Reaction Cross Sections For Several Medium-Mass Nuclei Between 20 and 48 MeV.,1986,R.H.Mccamis+,1CANMNA,1999/07/05,"Jour. Physical Review, Part C, Nuclear Physics Vol.4, p.1114, 1971",T0100005,T0100,"(J,PR/C,4,1114,71)",1,1,0,57Fe,Fe,31,57,I,4.8106264140960056,0.1662985089958046,Other,-60181.83900000001,0.304,8770.279,0.005,-836.2760000000002,0.451,56935392.134,0.326,18843.17,0.23,19650.07,0.38,-7319.76,0.34,-4098.01,0.51,-12185.81,0.52,-12212.75,0.41,7646.07,0.04,10559.27,0.21,-27632.0,200.0,8241.38,0.16,239.84,1.06,2399.33,0.34,-10559.27,-7646.07,-17829.713900000002,-15605.147900000002,-19574.0249,-18178.2894,-19650.07,-18843.17,-7319.76,-1618.6225,-10559.27,-7646.07,-5421.504,-12995.0965,-10361.375099999996,-10111.673500000004,-11403.4635,-10559.27,-8334.704000000002,-7646.07,-9347.918900000002,-11932.0296,-1388.8409999999994,-5065.7956,-854.868,12931.5494,9254.5949
41113,proton,All_or_Total,3,All_or_Total,Other,Lab,40000000.0,724591.4192895922,1.124,0.13,0.0,0.0,Other,"J.J.MENET,ET.AL. (71)    ",O0081,14,No Pointer,26,"26-FE-57(P,NON),,SIG,,,EXP",TOTAL-REACTION-CROSS SECTION MEASUREMENTS FOR 30-60-MEV PROTONS AND THE IMAGINARY OPTICAL POTENTIAL.,1971,J.J.Menet+,1USAORL,1995/02/03,"Jour. Physical Review Vol.136, p.B1719, 1964",O0081014,O0081,"(J,PR,136,B1719,196412)",1,1,0,57Fe,Fe,31,57,I,4.8106264140960056,0.1662985089958046,Other,-60181.83900000001,0.304,8770.279,0.005,-836.2760000000002,0.451,56935392.134,0.326,18843.17,0.23,19650.07,0.38,-7319.76,0.34,-4098.01,0.51,-12185.81,0.52,-12212.75,0.41,7646.07,0.04,10559.27,0.21,-27632.0,200.0,8241.38,0.16,239.84,1.06,2399.33,0.34,-10559.27,-7646.07,-17829.713900000002,-15605.147900000002,-19574.0249,-18178.2894,-19650.07,-18843.17,-7319.76,-1618.6225,-10559.27,-7646.07,-5421.504,-12995.0965,-10361.375099999996,-10111.673500000004,-11403.4635,-10559.27,-8334.704000000002,-7646.07,-9347.918900000002,-11932.0296,-1388.8409999999994,-5065.7956,-854.868,12931.5494,9254.5949
41114,proton,All_or_Total,3,All_or_Total,Other,Lab,60800000.0,1101378.9573201805,0.783,0.12,0.0,0.0,Other,"J.J.MENET,ET.AL. (71)    ",O0081,14,No Pointer,26,"26-FE-57(P,NON),,SIG,,,EXP",TOTAL-REACTION-CROSS SECTION MEASUREMENTS FOR 30-60-MEV PROTONS AND THE IMAGINARY OPTICAL POTENTIAL.,1971,J.J.Menet+,1USAORL,1995/02/03,"Jour. Physical Review Vol.136, p.B1719, 1964",O0081014,O0081,"(J,PR,136,B1719,196412)",1,1,0,57Fe,Fe,31,57,I,4.8106264140960056,0.1662985089958046,Other,-60181.83900000001,0.304,8770.279,0.005,-836.2760000000002,0.451,56935392.134,0.326,18843.17,0.23,19650.07,0.38,-7319.76,0.34,-4098.01,0.51,-12185.81,0.52,-12212.75,0.41,7646.07,0.04,10559.27,0.21,-27632.0,200.0,8241.38,0.16,239.84,1.06,2399.33,0.34,-10559.27,-7646.07,-17829.713900000002,-15605.147900000002,-19574.0249,-18178.2894,-19650.07,-18843.17,-7319.76,-1618.6225,-10559.27,-7646.07,-5421.504,-12995.0965,-10361.375099999996,-10111.673500000004,-11403.4635,-10559.27,-8334.704000000002,-7646.07,-9347.918900000002,-11932.0296,-1388.8409999999994,-5065.7956,-854.868,12931.5494,9254.5949
