,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
56910,proton,All_or_Total,3,All_or_Total,Other,Lab,8700000.0,157598.6336954863,0.746,0.05,0.0,0.0,Other,"P.J.Bulman,ET.AL. (65)   ",D0535,9,No Pointer,29,"29-CU-63(P,NON),,SIG",Proton reaction cross sections at 8.8 MeV,1965,P.J.Bulman+,2UK BIR,2009/06/00,"Jour. Nuclear Physics, Section A Vol.111, p.315, 1968",D0535009,D0535,"(J,NP/A,111,315,1968)",1,1,0,63Cu,Cu,34,63,I,4.97382150987049,0.1608421207742194,Other,-65579.75200000001,0.44,8752.138,0.0069999999999999,-3366.355,1.546,62929597.236,0.472,19738.33,0.95,17259.63,0.73,-5774.96,0.37,-9032.66,1.38,-11444.44,18.57,-12483.1,0.45,10863.64,0.48,6122.4,0.06,-32080.0,200.0,9352.96,0.31,3757.42,0.31,1716.96,0.38,-6122.4,-10863.64,-16718.1339,-14493.567900000002,-16056.4449,-18860.6594,-17259.63,-19738.33,-5774.96,-4148.7015,-6122.4,-10863.64,-8639.074,-13265.4465,-11256.5351,-9000.093500000003,-10662.0935,-6122.4,-3897.834,-10863.64,-8236.338900000002,-9541.5896,-4606.410999999999,-628.9255999999996,-3384.947,9713.9794,13691.4649
56911,proton,All_or_Total,3,All_or_Total,Other,Lab,9100000.0,164844.54788838222,0.751,0.029,0.0,0.0,Other,"P.J.Bulman,ET.AL. (68)   ",D0534,4,No Pointer,29,"29-CU-63(P,NON),,SIG",Proton total reaction cross sections at 9.1 MeV,1968,P.J.Bulman+,2UK BIR,2009/04/01,"Jour. Nuclear Physics Vol.73, p.206, 1965",D0534004,D0534,"(J,NP,73,206,1965)",1,1,0,63Cu,Cu,34,63,I,4.97382150987049,0.1608421207742194,Other,-65579.75200000001,0.44,8752.138,0.0069999999999999,-3366.355,1.546,62929597.236,0.472,19738.33,0.95,17259.63,0.73,-5774.96,0.37,-9032.66,1.38,-11444.44,18.57,-12483.1,0.45,10863.64,0.48,6122.4,0.06,-32080.0,200.0,9352.96,0.31,3757.42,0.31,1716.96,0.38,-6122.4,-10863.64,-16718.1339,-14493.567900000002,-16056.4449,-18860.6594,-17259.63,-19738.33,-5774.96,-4148.7015,-6122.4,-10863.64,-8639.074,-13265.4465,-11256.5351,-9000.093500000003,-10662.0935,-6122.4,-3897.834,-10863.64,-8236.338900000002,-9541.5896,-4606.410999999999,-628.9255999999996,-3384.947,9713.9794,13691.4649
56912,proton,All_or_Total,3,All_or_Total,Other,Lab,9110000.0,390000.0,0.725,0.035,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,10,No Pointer,29,"29-CU-63(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Physical Review Vol.157, p.1001, 1967",D0314010,D0314,"(J,PR,157,1001,1967)",1,1,0,63Cu,Cu,34,63,I,4.97382150987049,0.1608421207742194,Other,-65579.75200000001,0.44,8752.138,0.0069999999999999,-3366.355,1.546,62929597.236,0.472,19738.33,0.95,17259.63,0.73,-5774.96,0.37,-9032.66,1.38,-11444.44,18.57,-12483.1,0.45,10863.64,0.48,6122.4,0.06,-32080.0,200.0,9352.96,0.31,3757.42,0.31,1716.96,0.38,-6122.4,-10863.64,-16718.1339,-14493.567900000002,-16056.4449,-18860.6594,-17259.63,-19738.33,-5774.96,-4148.7015,-6122.4,-10863.64,-8639.074,-13265.4465,-11256.5351,-9000.093500000003,-10662.0935,-6122.4,-3897.834,-10863.64,-8236.338900000002,-9541.5896,-4606.410999999999,-628.9255999999996,-3384.947,9713.9794,13691.4649
56913,proton,All_or_Total,3,All_or_Total,Other,Lab,10140000.0,360000.0,0.808,0.03,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,10,No Pointer,29,"29-CU-63(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Physical Review Vol.157, p.1001, 1967",D0314010,D0314,"(J,PR,157,1001,1967)",1,1,0,63Cu,Cu,34,63,I,4.97382150987049,0.1608421207742194,Other,-65579.75200000001,0.44,8752.138,0.0069999999999999,-3366.355,1.546,62929597.236,0.472,19738.33,0.95,17259.63,0.73,-5774.96,0.37,-9032.66,1.38,-11444.44,18.57,-12483.1,0.45,10863.64,0.48,6122.4,0.06,-32080.0,200.0,9352.96,0.31,3757.42,0.31,1716.96,0.38,-6122.4,-10863.64,-16718.1339,-14493.567900000002,-16056.4449,-18860.6594,-17259.63,-19738.33,-5774.96,-4148.7015,-6122.4,-10863.64,-8639.074,-13265.4465,-11256.5351,-9000.093500000003,-10662.0935,-6122.4,-3897.834,-10863.64,-8236.338900000002,-9541.5896,-4606.410999999999,-628.9255999999996,-3384.947,9713.9794,13691.4649
56914,proton,All_or_Total,3,All_or_Total,Other,Lab,11180000.0,320000.0,0.855,0.026,0.0,0.0,Other,"K.Bearpark,ET.AL. (65)   ",D0314,10,No Pointer,29,"29-CU-63(P,NON),,SIG",Total proton and deuteron reaction cross-sections in the energy range 8.5 to 11.5 MeV,1965,K.Bearpark+,2UK OXF,2018/05/04,"Jour. Physical Review Vol.157, p.1001, 1967",D0314010,D0314,"(J,PR,157,1001,1967)",1,1,0,63Cu,Cu,34,63,I,4.97382150987049,0.1608421207742194,Other,-65579.75200000001,0.44,8752.138,0.0069999999999999,-3366.355,1.546,62929597.236,0.472,19738.33,0.95,17259.63,0.73,-5774.96,0.37,-9032.66,1.38,-11444.44,18.57,-12483.1,0.45,10863.64,0.48,6122.4,0.06,-32080.0,200.0,9352.96,0.31,3757.42,0.31,1716.96,0.38,-6122.4,-10863.64,-16718.1339,-14493.567900000002,-16056.4449,-18860.6594,-17259.63,-19738.33,-5774.96,-4148.7015,-6122.4,-10863.64,-8639.074,-13265.4465,-11256.5351,-9000.093500000003,-10662.0935,-6122.4,-3897.834,-10863.64,-8236.338900000002,-9541.5896,-4606.410999999999,-628.9255999999996,-3384.947,9713.9794,13691.4649
56915,proton,All_or_Total,3,All_or_Total,Other,Lab,14500000.0,262664.3894924772,0.985,0.018,0.0,0.0,Other,"J.F.Dicello,ET.AL. (67)  ",C1217,10,No Pointer,29,"29-CU-63(P,NON),,SIG","Proton Total Reaction Cross Sections for 22 Isotopes of Ti, Fe, Ni, Cu, Zn, Zr, and Sn at 14.5 MeV",1967,J.F.Dicello+,1USALAS,2005/04/05,"Jour. Australian Journal of Physics Vol.36, p.463, 1983",C1217010,C1217,"(J,AUJ,36,463,83)",1,1,0,63Cu,Cu,34,63,I,4.97382150987049,0.1608421207742194,Other,-65579.75200000001,0.44,8752.138,0.0069999999999999,-3366.355,1.546,62929597.236,0.472,19738.33,0.95,17259.63,0.73,-5774.96,0.37,-9032.66,1.38,-11444.44,18.57,-12483.1,0.45,10863.64,0.48,6122.4,0.06,-32080.0,200.0,9352.96,0.31,3757.42,0.31,1716.96,0.38,-6122.4,-10863.64,-16718.1339,-14493.567900000002,-16056.4449,-18860.6594,-17259.63,-19738.33,-5774.96,-4148.7015,-6122.4,-10863.64,-8639.074,-13265.4465,-11256.5351,-9000.093500000003,-10662.0935,-6122.4,-3897.834,-10863.64,-8236.338900000002,-9541.5896,-4606.410999999999,-628.9255999999996,-3384.947,9713.9794,13691.4649
56916,proton,All_or_Total,4,All_or_Total,Other,Lab,2426000.0,10000.0,0.000101,1e-05,0.0,0.0,Other,"M.E.SEVIOR,ET.AL. (83)   ",A0198,8,No Pointer,29,"29-CU-63(P,INL)29-CU-63,PAR,SIG,,,EXP","ABSOLUTE CROSS SECTIONS OF PROTON INDUCED REACTIONS ON CU-65,NI-64,CU-63.",1983,M.E.Sevior+,3AULAML,1987/09/03,"Jour. Physical Review Vol.80, p.939, 1950",A0198008,A0198,"(J,PR,80,939,1950)",1,1,0,63Cu,Cu,34,63,I,4.97382150987049,0.1608421207742194,Other,-65579.75200000001,0.44,8752.138,0.0069999999999999,-3366.355,1.546,62929597.236,0.472,19738.33,0.95,17259.63,0.73,-5774.96,0.37,-9032.66,1.38,-11444.44,18.57,-12483.1,0.45,10863.64,0.48,6122.4,0.06,-32080.0,200.0,9352.96,0.31,3757.42,0.31,1716.96,0.38,-6122.4,-10863.64,-16718.1339,-14493.567900000002,-16056.4449,-18860.6594,-17259.63,-19738.33,-5774.96,-4148.7015,-6122.4,-10863.64,-8639.074,-13265.4465,-11256.5351,-9000.093500000003,-10662.0935,-6122.4,-3897.834,-10863.64,-8236.338900000002,-9541.5896,-4606.410999999999,-628.9255999999996,-3384.947,9713.9794,13691.4649
56917,proton,All_or_Total,4,All_or_Total,Other,Lab,2474000.0,10000.0,8.8e-05,1.1e-05,0.0,0.0,Other,"M.E.SEVIOR,ET.AL. (83)   ",A0198,8,No Pointer,29,"29-CU-63(P,INL)29-CU-63,PAR,SIG,,,EXP","ABSOLUTE CROSS SECTIONS OF PROTON INDUCED REACTIONS ON CU-65,NI-64,CU-63.",1983,M.E.Sevior+,3AULAML,1987/09/03,"Jour. Physical Review Vol.80, p.939, 1950",A0198008,A0198,"(J,PR,80,939,1950)",1,1,0,63Cu,Cu,34,63,I,4.97382150987049,0.1608421207742194,Other,-65579.75200000001,0.44,8752.138,0.0069999999999999,-3366.355,1.546,62929597.236,0.472,19738.33,0.95,17259.63,0.73,-5774.96,0.37,-9032.66,1.38,-11444.44,18.57,-12483.1,0.45,10863.64,0.48,6122.4,0.06,-32080.0,200.0,9352.96,0.31,3757.42,0.31,1716.96,0.38,-6122.4,-10863.64,-16718.1339,-14493.567900000002,-16056.4449,-18860.6594,-17259.63,-19738.33,-5774.96,-4148.7015,-6122.4,-10863.64,-8639.074,-13265.4465,-11256.5351,-9000.093500000003,-10662.0935,-6122.4,-3897.834,-10863.64,-8236.338900000002,-9541.5896,-4606.410999999999,-628.9255999999996,-3384.947,9713.9794,13691.4649
56918,proton,All_or_Total,4,All_or_Total,Other,Lab,2516000.0,10000.0,0.000109,1.2e-05,0.0,0.0,Other,"M.E.SEVIOR,ET.AL. (83)   ",A0198,8,No Pointer,29,"29-CU-63(P,INL)29-CU-63,PAR,SIG,,,EXP","ABSOLUTE CROSS SECTIONS OF PROTON INDUCED REACTIONS ON CU-65,NI-64,CU-63.",1983,M.E.Sevior+,3AULAML,1987/09/03,"Jour. Physical Review Vol.80, p.939, 1950",A0198008,A0198,"(J,PR,80,939,1950)",1,1,0,63Cu,Cu,34,63,I,4.97382150987049,0.1608421207742194,Other,-65579.75200000001,0.44,8752.138,0.0069999999999999,-3366.355,1.546,62929597.236,0.472,19738.33,0.95,17259.63,0.73,-5774.96,0.37,-9032.66,1.38,-11444.44,18.57,-12483.1,0.45,10863.64,0.48,6122.4,0.06,-32080.0,200.0,9352.96,0.31,3757.42,0.31,1716.96,0.38,-6122.4,-10863.64,-16718.1339,-14493.567900000002,-16056.4449,-18860.6594,-17259.63,-19738.33,-5774.96,-4148.7015,-6122.4,-10863.64,-8639.074,-13265.4465,-11256.5351,-9000.093500000003,-10662.0935,-6122.4,-3897.834,-10863.64,-8236.338900000002,-9541.5896,-4606.410999999999,-628.9255999999996,-3384.947,9713.9794,13691.4649
56919,proton,All_or_Total,4,All_or_Total,Other,Lab,2620000.0,10000.0,0.000408,4.100503069884565e-05,0.0,0.0,Other,"M.E.SEVIOR,ET.AL. (83)   ",A0198,8,No Pointer,29,"29-CU-63(P,INL)29-CU-63,PAR,SIG,,,EXP","ABSOLUTE CROSS SECTIONS OF PROTON INDUCED REACTIONS ON CU-65,NI-64,CU-63.",1983,M.E.Sevior+,3AULAML,1987/09/03,"Jour. Physical Review Vol.80, p.939, 1950",A0198008,A0198,"(J,PR,80,939,1950)",1,1,0,63Cu,Cu,34,63,I,4.97382150987049,0.1608421207742194,Other,-65579.75200000001,0.44,8752.138,0.0069999999999999,-3366.355,1.546,62929597.236,0.472,19738.33,0.95,17259.63,0.73,-5774.96,0.37,-9032.66,1.38,-11444.44,18.57,-12483.1,0.45,10863.64,0.48,6122.4,0.06,-32080.0,200.0,9352.96,0.31,3757.42,0.31,1716.96,0.38,-6122.4,-10863.64,-16718.1339,-14493.567900000002,-16056.4449,-18860.6594,-17259.63,-19738.33,-5774.96,-4148.7015,-6122.4,-10863.64,-8639.074,-13265.4465,-11256.5351,-9000.093500000003,-10662.0935,-6122.4,-3897.834,-10863.64,-8236.338900000002,-9541.5896,-4606.410999999999,-628.9255999999996,-3384.947,9713.9794,13691.4649
