,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
62079,proton,All_or_Total,3,All_or_Total,Other,Lab,14500000.0,262664.3894924772,1.075,0.017,0.0,0.0,Other,"J.F.Dicello,ET.AL. (67)  ",C1217,23,No Pointer,30,"30-ZN-68(P,NON),,SIG","Proton Total Reaction Cross Sections for 22 Isotopes of Ti, Fe, Ni, Cu, Zn, Zr, and Sn at 14.5 MeV",1967,J.F.Dicello+,1USALAS,2010/02/04,"Jour. Nuclear Physics, Section A Vol.290, p.45, 1977",C1217023,C1217,"(J,NP/A,290,45,1977)",1,1,0,68Zn,Zn,38,68,I,5.102068877396685,0.1567991376094862,Other,-70007.092,0.784,8755.68,0.012,-2921.1,1.2,67924844.29100001,0.841,17250.57,0.3,18578.75,1.6,-5333.09,0.76,-3028.3,2.03,-13553.38,2.99,-11199.36,1.14,10198.1,0.19,9976.55,0.85,-15817.65,0.93,6961.99,0.96,2120.62,0.96,764.99,0.77,-9976.55,-10198.1,-19109.1039,-16884.537900000007,-17693.2449,-19812.6294,-18578.75,-17250.57,-5333.09,-3703.4465,-9976.55,-10198.1,-7973.5340000000015,-11981.7065,-8768.775099999999,-11391.063500000002,-12771.0335,-9976.55,-7751.983999999998,-10198.1,-10627.308900000002,-10860.7096,-3940.871,-4483.075599999999,-2939.692,10379.5194,9837.3149
62080,proton,All_or_Total,3,All_or_Total,Other,Lab,22200000.0,402148.2377057237,1.236,0.032,0.0,0.0,Other,"N.E.Davison,ET.AL. (77)  ",C1868,5,No Pointer,30,"30-ZN-68(P,NON),,SIG","Measurements of the proton total reaction cross section for 24Mg, 64,66,68Zn and 140Ce between 17.5 and 48 MeV",1977,N.E.Davison+,1CANMNA,2011/11/06,"Jour. Nuclear Physics, Section A Vol.290, p.45, 1977",C1868005,C1868,"(J,NP/A,290,45,1977)",1,1,0,68Zn,Zn,38,68,I,5.102068877396685,0.1567991376094862,Other,-70007.092,0.784,8755.68,0.012,-2921.1,1.2,67924844.29100001,0.841,17250.57,0.3,18578.75,1.6,-5333.09,0.76,-3028.3,2.03,-13553.38,2.99,-11199.36,1.14,10198.1,0.19,9976.55,0.85,-15817.65,0.93,6961.99,0.96,2120.62,0.96,764.99,0.77,-9976.55,-10198.1,-19109.1039,-16884.537900000007,-17693.2449,-19812.6294,-18578.75,-17250.57,-5333.09,-3703.4465,-9976.55,-10198.1,-7973.5340000000015,-11981.7065,-8768.775099999999,-11391.063500000002,-12771.0335,-9976.55,-7751.983999999998,-10198.1,-10627.308900000002,-10860.7096,-3940.871,-4483.075599999999,-2939.692,10379.5194,9837.3149
62081,proton,All_or_Total,3,All_or_Total,Other,Lab,30500000.0,552500.9572083141,1.209,0.028,0.0,0.0,Other,"N.E.Davison,ET.AL. (77)  ",C1868,5,No Pointer,30,"30-ZN-68(P,NON),,SIG","Measurements of the proton total reaction cross section for 24Mg, 64,66,68Zn and 140Ce between 17.5 and 48 MeV",1977,N.E.Davison+,1CANMNA,2011/11/06,"Jour. Nuclear Physics, Section A Vol.290, p.45, 1977",C1868005,C1868,"(J,NP/A,290,45,1977)",1,1,0,68Zn,Zn,38,68,I,5.102068877396685,0.1567991376094862,Other,-70007.092,0.784,8755.68,0.012,-2921.1,1.2,67924844.29100001,0.841,17250.57,0.3,18578.75,1.6,-5333.09,0.76,-3028.3,2.03,-13553.38,2.99,-11199.36,1.14,10198.1,0.19,9976.55,0.85,-15817.65,0.93,6961.99,0.96,2120.62,0.96,764.99,0.77,-9976.55,-10198.1,-19109.1039,-16884.537900000007,-17693.2449,-19812.6294,-18578.75,-17250.57,-5333.09,-3703.4465,-9976.55,-10198.1,-7973.5340000000015,-11981.7065,-8768.775099999999,-11391.063500000002,-12771.0335,-9976.55,-7751.983999999998,-10198.1,-10627.308900000002,-10860.7096,-3940.871,-4483.075599999999,-2939.692,10379.5194,9837.3149
62082,proton,All_or_Total,3,All_or_Total,Other,Lab,39600000.0,717345.5050966963,1.143,0.022,0.0,0.0,Other,"N.E.Davison,ET.AL. (77)  ",C1868,5,No Pointer,30,"30-ZN-68(P,NON),,SIG","Measurements of the proton total reaction cross section for 24Mg, 64,66,68Zn and 140Ce between 17.5 and 48 MeV",1977,N.E.Davison+,1CANMNA,2011/11/06,"Jour. Nuclear Physics, Section A Vol.290, p.45, 1977",C1868005,C1868,"(J,NP/A,290,45,1977)",1,1,0,68Zn,Zn,38,68,I,5.102068877396685,0.1567991376094862,Other,-70007.092,0.784,8755.68,0.012,-2921.1,1.2,67924844.29100001,0.841,17250.57,0.3,18578.75,1.6,-5333.09,0.76,-3028.3,2.03,-13553.38,2.99,-11199.36,1.14,10198.1,0.19,9976.55,0.85,-15817.65,0.93,6961.99,0.96,2120.62,0.96,764.99,0.77,-9976.55,-10198.1,-19109.1039,-16884.537900000007,-17693.2449,-19812.6294,-18578.75,-17250.57,-5333.09,-3703.4465,-9976.55,-10198.1,-7973.5340000000015,-11981.7065,-8768.775099999999,-11391.063500000002,-12771.0335,-9976.55,-7751.983999999998,-10198.1,-10627.308900000002,-10860.7096,-3940.871,-4483.075599999999,-2939.692,10379.5194,9837.3149
62083,proton,All_or_Total,3,All_or_Total,Other,Lab,44600000.0,807919.4325078953,1.112,0.019,0.0,0.0,Other,"N.E.Davison,ET.AL. (77)  ",C1868,5,No Pointer,30,"30-ZN-68(P,NON),,SIG","Measurements of the proton total reaction cross section for 24Mg, 64,66,68Zn and 140Ce between 17.5 and 48 MeV",1977,N.E.Davison+,1CANMNA,2011/11/06,"Jour. Nuclear Physics, Section A Vol.290, p.45, 1977",C1868005,C1868,"(J,NP/A,290,45,1977)",1,1,0,68Zn,Zn,38,68,I,5.102068877396685,0.1567991376094862,Other,-70007.092,0.784,8755.68,0.012,-2921.1,1.2,67924844.29100001,0.841,17250.57,0.3,18578.75,1.6,-5333.09,0.76,-3028.3,2.03,-13553.38,2.99,-11199.36,1.14,10198.1,0.19,9976.55,0.85,-15817.65,0.93,6961.99,0.96,2120.62,0.96,764.99,0.77,-9976.55,-10198.1,-19109.1039,-16884.537900000007,-17693.2449,-19812.6294,-18578.75,-17250.57,-5333.09,-3703.4465,-9976.55,-10198.1,-7973.5340000000015,-11981.7065,-8768.775099999999,-11391.063500000002,-12771.0335,-9976.55,-7751.983999999998,-10198.1,-10627.308900000002,-10860.7096,-3940.871,-4483.075599999999,-2939.692,10379.5194,9837.3149
62084,proton,All_or_Total,3,All_or_Total,Other,Lab,48000000.0,869509.7031475106,1.101,0.02,0.0,0.0,Other,"N.E.Davison,ET.AL. (77)  ",C1868,5,No Pointer,30,"30-ZN-68(P,NON),,SIG","Measurements of the proton total reaction cross section for 24Mg, 64,66,68Zn and 140Ce between 17.5 and 48 MeV",1977,N.E.Davison+,1CANMNA,2011/11/06,"Jour. Nuclear Physics, Section A Vol.290, p.45, 1977",C1868005,C1868,"(J,NP/A,290,45,1977)",1,1,0,68Zn,Zn,38,68,I,5.102068877396685,0.1567991376094862,Other,-70007.092,0.784,8755.68,0.012,-2921.1,1.2,67924844.29100001,0.841,17250.57,0.3,18578.75,1.6,-5333.09,0.76,-3028.3,2.03,-13553.38,2.99,-11199.36,1.14,10198.1,0.19,9976.55,0.85,-15817.65,0.93,6961.99,0.96,2120.62,0.96,764.99,0.77,-9976.55,-10198.1,-19109.1039,-16884.537900000007,-17693.2449,-19812.6294,-18578.75,-17250.57,-5333.09,-3703.4465,-9976.55,-10198.1,-7973.5340000000015,-11981.7065,-8768.775099999999,-11391.063500000002,-12771.0335,-9976.55,-7751.983999999998,-10198.1,-10627.308900000002,-10860.7096,-3940.871,-4483.075599999999,-2939.692,10379.5194,9837.3149
62085,proton,All_or_Total,3,All_or_Total,Other,Lab,22200000.0,402148.2377057237,1.236,0.032,0.0,0.0,Other,"N.E.Davison,ET.AL. (77)  ",F1165,5,No Pointer,30,"30-ZN-68(P,NON),,SIG","Measurements of the proton total reaction cross section for Mg-24, Zn-64,66,68 and Ce-140 between 17.5 and 48 MeV.",1977,N.E.Davison+,1CANMNA,2013/07/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.4, p.1114, 1971",F1165005,F1165,"(J,PR/C,4,1114,71)",1,1,0,68Zn,Zn,38,68,I,5.102068877396685,0.1567991376094862,Other,-70007.092,0.784,8755.68,0.012,-2921.1,1.2,67924844.29100001,0.841,17250.57,0.3,18578.75,1.6,-5333.09,0.76,-3028.3,2.03,-13553.38,2.99,-11199.36,1.14,10198.1,0.19,9976.55,0.85,-15817.65,0.93,6961.99,0.96,2120.62,0.96,764.99,0.77,-9976.55,-10198.1,-19109.1039,-16884.537900000007,-17693.2449,-19812.6294,-18578.75,-17250.57,-5333.09,-3703.4465,-9976.55,-10198.1,-7973.5340000000015,-11981.7065,-8768.775099999999,-11391.063500000002,-12771.0335,-9976.55,-7751.983999999998,-10198.1,-10627.308900000002,-10860.7096,-3940.871,-4483.075599999999,-2939.692,10379.5194,9837.3149
62086,proton,All_or_Total,3,All_or_Total,Other,Lab,30500000.0,552500.9572083141,1.209,0.028,0.0,0.0,Other,"N.E.Davison,ET.AL. (77)  ",F1165,5,No Pointer,30,"30-ZN-68(P,NON),,SIG","Measurements of the proton total reaction cross section for Mg-24, Zn-64,66,68 and Ce-140 between 17.5 and 48 MeV.",1977,N.E.Davison+,1CANMNA,2013/07/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.4, p.1114, 1971",F1165005,F1165,"(J,PR/C,4,1114,71)",1,1,0,68Zn,Zn,38,68,I,5.102068877396685,0.1567991376094862,Other,-70007.092,0.784,8755.68,0.012,-2921.1,1.2,67924844.29100001,0.841,17250.57,0.3,18578.75,1.6,-5333.09,0.76,-3028.3,2.03,-13553.38,2.99,-11199.36,1.14,10198.1,0.19,9976.55,0.85,-15817.65,0.93,6961.99,0.96,2120.62,0.96,764.99,0.77,-9976.55,-10198.1,-19109.1039,-16884.537900000007,-17693.2449,-19812.6294,-18578.75,-17250.57,-5333.09,-3703.4465,-9976.55,-10198.1,-7973.5340000000015,-11981.7065,-8768.775099999999,-11391.063500000002,-12771.0335,-9976.55,-7751.983999999998,-10198.1,-10627.308900000002,-10860.7096,-3940.871,-4483.075599999999,-2939.692,10379.5194,9837.3149
62087,proton,All_or_Total,3,All_or_Total,Other,Lab,39600000.0,717345.5050966963,1.143,0.022,0.0,0.0,Other,"N.E.Davison,ET.AL. (77)  ",F1165,5,No Pointer,30,"30-ZN-68(P,NON),,SIG","Measurements of the proton total reaction cross section for Mg-24, Zn-64,66,68 and Ce-140 between 17.5 and 48 MeV.",1977,N.E.Davison+,1CANMNA,2013/07/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.4, p.1114, 1971",F1165005,F1165,"(J,PR/C,4,1114,71)",1,1,0,68Zn,Zn,38,68,I,5.102068877396685,0.1567991376094862,Other,-70007.092,0.784,8755.68,0.012,-2921.1,1.2,67924844.29100001,0.841,17250.57,0.3,18578.75,1.6,-5333.09,0.76,-3028.3,2.03,-13553.38,2.99,-11199.36,1.14,10198.1,0.19,9976.55,0.85,-15817.65,0.93,6961.99,0.96,2120.62,0.96,764.99,0.77,-9976.55,-10198.1,-19109.1039,-16884.537900000007,-17693.2449,-19812.6294,-18578.75,-17250.57,-5333.09,-3703.4465,-9976.55,-10198.1,-7973.5340000000015,-11981.7065,-8768.775099999999,-11391.063500000002,-12771.0335,-9976.55,-7751.983999999998,-10198.1,-10627.308900000002,-10860.7096,-3940.871,-4483.075599999999,-2939.692,10379.5194,9837.3149
62088,proton,All_or_Total,3,All_or_Total,Other,Lab,44600000.0,807919.4325078953,1.112,0.019,0.0,0.0,Other,"N.E.Davison,ET.AL. (77)  ",F1165,5,No Pointer,30,"30-ZN-68(P,NON),,SIG","Measurements of the proton total reaction cross section for Mg-24, Zn-64,66,68 and Ce-140 between 17.5 and 48 MeV.",1977,N.E.Davison+,1CANMNA,2013/07/02,"Jour. Physical Review, Part C, Nuclear Physics Vol.4, p.1114, 1971",F1165005,F1165,"(J,PR/C,4,1114,71)",1,1,0,68Zn,Zn,38,68,I,5.102068877396685,0.1567991376094862,Other,-70007.092,0.784,8755.68,0.012,-2921.1,1.2,67924844.29100001,0.841,17250.57,0.3,18578.75,1.6,-5333.09,0.76,-3028.3,2.03,-13553.38,2.99,-11199.36,1.14,10198.1,0.19,9976.55,0.85,-15817.65,0.93,6961.99,0.96,2120.62,0.96,764.99,0.77,-9976.55,-10198.1,-19109.1039,-16884.537900000007,-17693.2449,-19812.6294,-18578.75,-17250.57,-5333.09,-3703.4465,-9976.55,-10198.1,-7973.5340000000015,-11981.7065,-8768.775099999999,-11391.063500000002,-12771.0335,-9976.55,-7751.983999999998,-10198.1,-10627.308900000002,-10860.7096,-3940.871,-4483.075599999999,-2939.692,10379.5194,9837.3149
