,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
882,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,25000000.0,100000.0,0.4,0.014,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (85)  ",C0215,2,No Pointer,3,"3-LI-6(P,NON),,SIG","Measurements of proton total reaction cross sections for 6Li, 7Li, 14N, 20Ne and 40Ar between 23 and 49 MeV",1985,R.F.Carlson+,1USARDL,1999/02/04,"Jour. Nuclear Physics, Section A Vol.445, p.57, 1985",C0215002,C0215,"(J,NP/A,445,57,198507)",1,1,0,6Li,Li,3,6,I,2.2714007410401744,0.3522055732154269,Other,14086.87895,0.00144,5332.331,0.0,-4288.154,5.448,6015122.88742,0.00155,27378.94,212.13,25112.19,100.0,-1473.76,0.0,-33233.0,2003.0,-26094.54,89.44,-31123.0,2003.0,5663.32,50.0,4433.32,20.0,-98310.85600407484,790.9760003310271,22372.77,0.0,4019.72,0.0,4783.47,0.0,-4433.32,-5663.32,-3698.3239,-1473.7579000000003,-15794.1449,-15794.149399999998,-25112.19,-27378.94,-1473.76,-5070.5005,-4433.32,-5663.32,-3438.7540000000004,-31905.3465,-18897.1451,4019.716499999999,-25312.1935,-4433.32,-2208.754,-5663.32,4783.471099999999,-17394.149599999993,593.9090000000006,1060.1544000000004,-4306.746,14914.2994,15380.5449
883,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,30200000.0,100000.0,0.355,0.008,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (85)  ",C0215,2,No Pointer,3,"3-LI-6(P,NON),,SIG","Measurements of proton total reaction cross sections for 6Li, 7Li, 14N, 20Ne and 40Ar between 23 and 49 MeV",1985,R.F.Carlson+,1USARDL,1999/02/04,"Jour. Nuclear Physics, Section A Vol.445, p.57, 1985",C0215002,C0215,"(J,NP/A,445,57,198507)",1,1,0,6Li,Li,3,6,I,2.2714007410401744,0.3522055732154269,Other,14086.87895,0.00144,5332.331,0.0,-4288.154,5.448,6015122.88742,0.00155,27378.94,212.13,25112.19,100.0,-1473.76,0.0,-33233.0,2003.0,-26094.54,89.44,-31123.0,2003.0,5663.32,50.0,4433.32,20.0,-98310.85600407484,790.9760003310271,22372.77,0.0,4019.72,0.0,4783.47,0.0,-4433.32,-5663.32,-3698.3239,-1473.7579000000003,-15794.1449,-15794.149399999998,-25112.19,-27378.94,-1473.76,-5070.5005,-4433.32,-5663.32,-3438.7540000000004,-31905.3465,-18897.1451,4019.716499999999,-25312.1935,-4433.32,-2208.754,-5663.32,4783.471099999999,-17394.149599999993,593.9090000000006,1060.1544000000004,-4306.746,14914.2994,15380.5449
884,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,35000000.0,100000.0,0.327,0.008,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (85)  ",C0215,2,No Pointer,3,"3-LI-6(P,NON),,SIG","Measurements of proton total reaction cross sections for 6Li, 7Li, 14N, 20Ne and 40Ar between 23 and 49 MeV",1985,R.F.Carlson+,1USARDL,1999/02/04,"Jour. Nuclear Physics, Section A Vol.445, p.57, 1985",C0215002,C0215,"(J,NP/A,445,57,198507)",1,1,0,6Li,Li,3,6,I,2.2714007410401744,0.3522055732154269,Other,14086.87895,0.00144,5332.331,0.0,-4288.154,5.448,6015122.88742,0.00155,27378.94,212.13,25112.19,100.0,-1473.76,0.0,-33233.0,2003.0,-26094.54,89.44,-31123.0,2003.0,5663.32,50.0,4433.32,20.0,-98310.85600407484,790.9760003310271,22372.77,0.0,4019.72,0.0,4783.47,0.0,-4433.32,-5663.32,-3698.3239,-1473.7579000000003,-15794.1449,-15794.149399999998,-25112.19,-27378.94,-1473.76,-5070.5005,-4433.32,-5663.32,-3438.7540000000004,-31905.3465,-18897.1451,4019.716499999999,-25312.1935,-4433.32,-2208.754,-5663.32,4783.471099999999,-17394.149599999993,593.9090000000006,1060.1544000000004,-4306.746,14914.2994,15380.5449
885,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,39400000.0,100000.0,0.297,0.008,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (85)  ",C0215,2,No Pointer,3,"3-LI-6(P,NON),,SIG","Measurements of proton total reaction cross sections for 6Li, 7Li, 14N, 20Ne and 40Ar between 23 and 49 MeV",1985,R.F.Carlson+,1USARDL,1999/02/04,"Jour. Nuclear Physics, Section A Vol.445, p.57, 1985",C0215002,C0215,"(J,NP/A,445,57,198507)",1,1,0,6Li,Li,3,6,I,2.2714007410401744,0.3522055732154269,Other,14086.87895,0.00144,5332.331,0.0,-4288.154,5.448,6015122.88742,0.00155,27378.94,212.13,25112.19,100.0,-1473.76,0.0,-33233.0,2003.0,-26094.54,89.44,-31123.0,2003.0,5663.32,50.0,4433.32,20.0,-98310.85600407484,790.9760003310271,22372.77,0.0,4019.72,0.0,4783.47,0.0,-4433.32,-5663.32,-3698.3239,-1473.7579000000003,-15794.1449,-15794.149399999998,-25112.19,-27378.94,-1473.76,-5070.5005,-4433.32,-5663.32,-3438.7540000000004,-31905.3465,-18897.1451,4019.716499999999,-25312.1935,-4433.32,-2208.754,-5663.32,4783.471099999999,-17394.149599999993,593.9090000000006,1060.1544000000004,-4306.746,14914.2994,15380.5449
886,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,45100000.0,100000.0,0.28,0.007,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (85)  ",C0215,2,No Pointer,3,"3-LI-6(P,NON),,SIG","Measurements of proton total reaction cross sections for 6Li, 7Li, 14N, 20Ne and 40Ar between 23 and 49 MeV",1985,R.F.Carlson+,1USARDL,1999/02/04,"Jour. Nuclear Physics, Section A Vol.445, p.57, 1985",C0215002,C0215,"(J,NP/A,445,57,198507)",1,1,0,6Li,Li,3,6,I,2.2714007410401744,0.3522055732154269,Other,14086.87895,0.00144,5332.331,0.0,-4288.154,5.448,6015122.88742,0.00155,27378.94,212.13,25112.19,100.0,-1473.76,0.0,-33233.0,2003.0,-26094.54,89.44,-31123.0,2003.0,5663.32,50.0,4433.32,20.0,-98310.85600407484,790.9760003310271,22372.77,0.0,4019.72,0.0,4783.47,0.0,-4433.32,-5663.32,-3698.3239,-1473.7579000000003,-15794.1449,-15794.149399999998,-25112.19,-27378.94,-1473.76,-5070.5005,-4433.32,-5663.32,-3438.7540000000004,-31905.3465,-18897.1451,4019.716499999999,-25312.1935,-4433.32,-2208.754,-5663.32,4783.471099999999,-17394.149599999993,593.9090000000006,1060.1544000000004,-4306.746,14914.2994,15380.5449
887,proton,All_or_Total,3,All_or_Total,Approved_by_Author,Lab,48000000.0,100000.0,0.267,0.005,0.0,0.0,Other,"R.F.CARLSON,ET.AL. (85)  ",C0215,2,No Pointer,3,"3-LI-6(P,NON),,SIG","Measurements of proton total reaction cross sections for 6Li, 7Li, 14N, 20Ne and 40Ar between 23 and 49 MeV",1985,R.F.Carlson+,1USARDL,1999/02/04,"Jour. Nuclear Physics, Section A Vol.445, p.57, 1985",C0215002,C0215,"(J,NP/A,445,57,198507)",1,1,0,6Li,Li,3,6,I,2.2714007410401744,0.3522055732154269,Other,14086.87895,0.00144,5332.331,0.0,-4288.154,5.448,6015122.88742,0.00155,27378.94,212.13,25112.19,100.0,-1473.76,0.0,-33233.0,2003.0,-26094.54,89.44,-31123.0,2003.0,5663.32,50.0,4433.32,20.0,-98310.85600407484,790.9760003310271,22372.77,0.0,4019.72,0.0,4783.47,0.0,-4433.32,-5663.32,-3698.3239,-1473.7579000000003,-15794.1449,-15794.149399999998,-25112.19,-27378.94,-1473.76,-5070.5005,-4433.32,-5663.32,-3438.7540000000004,-31905.3465,-18897.1451,4019.716499999999,-25312.1935,-4433.32,-2208.754,-5663.32,4783.471099999999,-17394.149599999993,593.9090000000006,1060.1544000000004,-4306.746,14914.2994,15380.5449
888,proton,All_or_Total,102,All_or_Total,Other,Lab,157000.0,1714.7721558914322,2.065e-07,6.015e-08,0.0,0.0,Other,"Z.E.Switkowski, (79)     ",F0032,2,No Pointer,3,"3-LI-6(P,G)4-BE-7,,SIG","Cross section of the reaction Li-6(p,gamma)Be-7.",1979,Z.E.Switkowski+,3AULAML,2020/01/04,"Jour. Nuclear Physics, Section A Vol.331, p.50, 1979",F0032002,F0032,"(J,NP/A,331,50,1979)",1,1,0,6Li,Li,3,6,I,2.2714007410401744,0.3522055732154269,Other,14086.87895,0.00144,5332.331,0.0,-4288.154,5.448,6015122.88742,0.00155,27378.94,212.13,25112.19,100.0,-1473.76,0.0,-33233.0,2003.0,-26094.54,89.44,-31123.0,2003.0,5663.32,50.0,4433.32,20.0,-98310.85600407484,790.9760003310271,22372.77,0.0,4019.72,0.0,4783.47,0.0,-4433.32,-5663.32,-3698.3239,-1473.7579000000003,-15794.1449,-15794.149399999998,-25112.19,-27378.94,-1473.76,-5070.5005,-4433.32,-5663.32,-3438.7540000000004,-31905.3465,-18897.1451,4019.716499999999,-25312.1935,-4433.32,-2208.754,-5663.32,4783.471099999999,-17394.149599999993,593.9090000000006,1060.1544000000004,-4306.746,14914.2994,15380.5449
889,proton,All_or_Total,102,All_or_Total,Other,Lab,247000.0,2697.7625637272854,9.571e-07,5.154e-08,0.0,0.0,Other,"Z.E.Switkowski, (79)     ",F0032,2,No Pointer,3,"3-LI-6(P,G)4-BE-7,,SIG","Cross section of the reaction Li-6(p,gamma)Be-7.",1979,Z.E.Switkowski+,3AULAML,2020/01/04,"Jour. Nuclear Physics, Section A Vol.331, p.50, 1979",F0032002,F0032,"(J,NP/A,331,50,1979)",1,1,0,6Li,Li,3,6,I,2.2714007410401744,0.3522055732154269,Other,14086.87895,0.00144,5332.331,0.0,-4288.154,5.448,6015122.88742,0.00155,27378.94,212.13,25112.19,100.0,-1473.76,0.0,-33233.0,2003.0,-26094.54,89.44,-31123.0,2003.0,5663.32,50.0,4433.32,20.0,-98310.85600407484,790.9760003310271,22372.77,0.0,4019.72,0.0,4783.47,0.0,-4433.32,-5663.32,-3698.3239,-1473.7579000000003,-15794.1449,-15794.149399999998,-25112.19,-27378.94,-1473.76,-5070.5005,-4433.32,-5663.32,-3438.7540000000004,-31905.3465,-18897.1451,4019.716499999999,-25312.1935,-4433.32,-2208.754,-5663.32,4783.471099999999,-17394.149599999993,593.9090000000006,1060.1544000000004,-4306.746,14914.2994,15380.5449
890,proton,All_or_Total,102,All_or_Total,Other,Lab,251000.0,2741.451026297768,9.656e-07,1.037e-07,0.0,0.0,Other,"Z.E.Switkowski, (79)     ",F0032,2,No Pointer,3,"3-LI-6(P,G)4-BE-7,,SIG","Cross section of the reaction Li-6(p,gamma)Be-7.",1979,Z.E.Switkowski+,3AULAML,2020/01/04,"Jour. Nuclear Physics, Section A Vol.331, p.50, 1979",F0032002,F0032,"(J,NP/A,331,50,1979)",1,1,0,6Li,Li,3,6,I,2.2714007410401744,0.3522055732154269,Other,14086.87895,0.00144,5332.331,0.0,-4288.154,5.448,6015122.88742,0.00155,27378.94,212.13,25112.19,100.0,-1473.76,0.0,-33233.0,2003.0,-26094.54,89.44,-31123.0,2003.0,5663.32,50.0,4433.32,20.0,-98310.85600407484,790.9760003310271,22372.77,0.0,4019.72,0.0,4783.47,0.0,-4433.32,-5663.32,-3698.3239,-1473.7579000000003,-15794.1449,-15794.149399999998,-25112.19,-27378.94,-1473.76,-5070.5005,-4433.32,-5663.32,-3438.7540000000004,-31905.3465,-18897.1451,4019.716499999999,-25312.1935,-4433.32,-2208.754,-5663.32,4783.471099999999,-17394.149599999993,593.9090000000006,1060.1544000000004,-4306.746,14914.2994,15380.5449
891,proton,All_or_Total,102,All_or_Total,Other,Lab,261000.0,2850.672182723973,1.525e-06,1.808e-07,0.0,0.0,Other,"Z.E.Switkowski, (79)     ",F0032,2,No Pointer,3,"3-LI-6(P,G)4-BE-7,,SIG","Cross section of the reaction Li-6(p,gamma)Be-7.",1979,Z.E.Switkowski+,3AULAML,2020/01/04,"Jour. Nuclear Physics, Section A Vol.331, p.50, 1979",F0032002,F0032,"(J,NP/A,331,50,1979)",1,1,0,6Li,Li,3,6,I,2.2714007410401744,0.3522055732154269,Other,14086.87895,0.00144,5332.331,0.0,-4288.154,5.448,6015122.88742,0.00155,27378.94,212.13,25112.19,100.0,-1473.76,0.0,-33233.0,2003.0,-26094.54,89.44,-31123.0,2003.0,5663.32,50.0,4433.32,20.0,-98310.85600407484,790.9760003310271,22372.77,0.0,4019.72,0.0,4783.47,0.0,-4433.32,-5663.32,-3698.3239,-1473.7579000000003,-15794.1449,-15794.149399999998,-25112.19,-27378.94,-1473.76,-5070.5005,-4433.32,-5663.32,-3438.7540000000004,-31905.3465,-18897.1451,4019.716499999999,-25312.1935,-4433.32,-2208.754,-5663.32,4783.471099999999,-17394.149599999993,593.9090000000006,1060.1544000000004,-4306.746,14914.2994,15380.5449
