,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
69751,proton,All_or_Total,4,All_or_Total,Other,Lab,2230000.0,54758.12423478682,0.00047,2e-05,0.0,0.0,Other,"H.I.WEST JR,ET.AL. (93)  ",C0151,3,No Pointer,35,"35-BR-81(P,N)36-KR-81,,SIG",Bromine and iodine excitation-function measurements with protons and deuterons at 3-17 MeV,1993,H.I.West Jr+,1USALRL,1997/01/01,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",C0151003,C0151,"(B,LEVKOVSKIJ,,,1991)",1,1,0,81Br,Br,46,81,I,5.408435888652781,0.1479170718614687,Other,-77977.034,0.978,8695.946,0.012,-280.853,0.471,80916288.206,1.0490000000000002,18051.63,1.41,18918.93,5.42,-6485.63,1.95,-2520.36,5.0,-13051.51,3.47,-8155.0,1.17,10159.36,1.4,7506.55,1.37,-12264.12,5.49,8651.23,1.0,3912.96,0.99,486.31,9.83,-7506.55,-10159.36,-17419.8639,-15195.2979,-15900.9049,-20091.3094,-18918.93,-18051.63,-6485.63,-1063.1995,-7506.55,-10159.36,-7934.794000000001,-8937.3465,-9569.8351,-9701.823500000002,-12269.1635,-7506.55,-5281.984,-10159.36,-8938.068900000002,-11200.8896,-3902.131,-2013.0756,-299.445,10418.2594,12307.3149
69752,proton,All_or_Total,4,All_or_Total,Other,Lab,2800000.0,68754.59545175025,0.0029,9e-05,0.0,0.0,Other,"H.I.WEST JR,ET.AL. (93)  ",C0151,3,No Pointer,35,"35-BR-81(P,N)36-KR-81,,SIG",Bromine and iodine excitation-function measurements with protons and deuterons at 3-17 MeV,1993,H.I.West Jr+,1USALRL,1997/01/01,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",C0151003,C0151,"(B,LEVKOVSKIJ,,,1991)",1,1,0,81Br,Br,46,81,I,5.408435888652781,0.1479170718614687,Other,-77977.034,0.978,8695.946,0.012,-280.853,0.471,80916288.206,1.0490000000000002,18051.63,1.41,18918.93,5.42,-6485.63,1.95,-2520.36,5.0,-13051.51,3.47,-8155.0,1.17,10159.36,1.4,7506.55,1.37,-12264.12,5.49,8651.23,1.0,3912.96,0.99,486.31,9.83,-7506.55,-10159.36,-17419.8639,-15195.2979,-15900.9049,-20091.3094,-18918.93,-18051.63,-6485.63,-1063.1995,-7506.55,-10159.36,-7934.794000000001,-8937.3465,-9569.8351,-9701.823500000002,-12269.1635,-7506.55,-5281.984,-10159.36,-8938.068900000002,-11200.8896,-3902.131,-2013.0756,-299.445,10418.2594,12307.3149
69753,proton,All_or_Total,4,All_or_Total,Other,Lab,3170000.0,77840.02413644583,0.00866,0.00035,0.0,0.0,Other,"H.I.WEST JR,ET.AL. (93)  ",C0151,3,No Pointer,35,"35-BR-81(P,N)36-KR-81,,SIG",Bromine and iodine excitation-function measurements with protons and deuterons at 3-17 MeV,1993,H.I.West Jr+,1USALRL,1997/01/01,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",C0151003,C0151,"(B,LEVKOVSKIJ,,,1991)",1,1,0,81Br,Br,46,81,I,5.408435888652781,0.1479170718614687,Other,-77977.034,0.978,8695.946,0.012,-280.853,0.471,80916288.206,1.0490000000000002,18051.63,1.41,18918.93,5.42,-6485.63,1.95,-2520.36,5.0,-13051.51,3.47,-8155.0,1.17,10159.36,1.4,7506.55,1.37,-12264.12,5.49,8651.23,1.0,3912.96,0.99,486.31,9.83,-7506.55,-10159.36,-17419.8639,-15195.2979,-15900.9049,-20091.3094,-18918.93,-18051.63,-6485.63,-1063.1995,-7506.55,-10159.36,-7934.794000000001,-8937.3465,-9569.8351,-9701.823500000002,-12269.1635,-7506.55,-5281.984,-10159.36,-8938.068900000002,-11200.8896,-3902.131,-2013.0756,-299.445,10418.2594,12307.3149
69754,proton,All_or_Total,4,All_or_Total,Other,Lab,3940000.0,96747.53788567716,0.045,0.0018,0.0,0.0,Other,"H.I.WEST JR,ET.AL. (93)  ",C0151,3,No Pointer,35,"35-BR-81(P,N)36-KR-81,,SIG",Bromine and iodine excitation-function measurements with protons and deuterons at 3-17 MeV,1993,H.I.West Jr+,1USALRL,1997/01/01,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",C0151003,C0151,"(B,LEVKOVSKIJ,,,1991)",1,1,0,81Br,Br,46,81,I,5.408435888652781,0.1479170718614687,Other,-77977.034,0.978,8695.946,0.012,-280.853,0.471,80916288.206,1.0490000000000002,18051.63,1.41,18918.93,5.42,-6485.63,1.95,-2520.36,5.0,-13051.51,3.47,-8155.0,1.17,10159.36,1.4,7506.55,1.37,-12264.12,5.49,8651.23,1.0,3912.96,0.99,486.31,9.83,-7506.55,-10159.36,-17419.8639,-15195.2979,-15900.9049,-20091.3094,-18918.93,-18051.63,-6485.63,-1063.1995,-7506.55,-10159.36,-7934.794000000001,-8937.3465,-9569.8351,-9701.823500000002,-12269.1635,-7506.55,-5281.984,-10159.36,-8938.068900000002,-11200.8896,-3902.131,-2013.0756,-299.445,10418.2594,12307.3149
69755,proton,All_or_Total,4,All_or_Total,Other,Lab,4530000.0,111235.1133558674,0.1171,0.0047,0.0,0.0,Other,"H.I.WEST JR,ET.AL. (93)  ",C0151,3,No Pointer,35,"35-BR-81(P,N)36-KR-81,,SIG",Bromine and iodine excitation-function measurements with protons and deuterons at 3-17 MeV,1993,H.I.West Jr+,1USALRL,1997/01/01,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",C0151003,C0151,"(B,LEVKOVSKIJ,,,1991)",1,1,0,81Br,Br,46,81,I,5.408435888652781,0.1479170718614687,Other,-77977.034,0.978,8695.946,0.012,-280.853,0.471,80916288.206,1.0490000000000002,18051.63,1.41,18918.93,5.42,-6485.63,1.95,-2520.36,5.0,-13051.51,3.47,-8155.0,1.17,10159.36,1.4,7506.55,1.37,-12264.12,5.49,8651.23,1.0,3912.96,0.99,486.31,9.83,-7506.55,-10159.36,-17419.8639,-15195.2979,-15900.9049,-20091.3094,-18918.93,-18051.63,-6485.63,-1063.1995,-7506.55,-10159.36,-7934.794000000001,-8937.3465,-9569.8351,-9701.823500000002,-12269.1635,-7506.55,-5281.984,-10159.36,-8938.068900000002,-11200.8896,-3902.131,-2013.0756,-299.445,10418.2594,12307.3149
69756,proton,All_or_Total,4,All_or_Total,Other,Lab,4880000.0,119829.43778733617,0.1466,0.0059,0.0,0.0,Other,"H.I.WEST JR,ET.AL. (93)  ",C0151,3,No Pointer,35,"35-BR-81(P,N)36-KR-81,,SIG",Bromine and iodine excitation-function measurements with protons and deuterons at 3-17 MeV,1993,H.I.West Jr+,1USALRL,1997/01/01,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",C0151003,C0151,"(B,LEVKOVSKIJ,,,1991)",1,1,0,81Br,Br,46,81,I,5.408435888652781,0.1479170718614687,Other,-77977.034,0.978,8695.946,0.012,-280.853,0.471,80916288.206,1.0490000000000002,18051.63,1.41,18918.93,5.42,-6485.63,1.95,-2520.36,5.0,-13051.51,3.47,-8155.0,1.17,10159.36,1.4,7506.55,1.37,-12264.12,5.49,8651.23,1.0,3912.96,0.99,486.31,9.83,-7506.55,-10159.36,-17419.8639,-15195.2979,-15900.9049,-20091.3094,-18918.93,-18051.63,-6485.63,-1063.1995,-7506.55,-10159.36,-7934.794000000001,-8937.3465,-9569.8351,-9701.823500000002,-12269.1635,-7506.55,-5281.984,-10159.36,-8938.068900000002,-11200.8896,-3902.131,-2013.0756,-299.445,10418.2594,12307.3149
69757,proton,All_or_Total,4,All_or_Total,Other,Lab,5550000.0,136281.43027043354,0.21,0.008,0.0,0.0,Other,"H.I.WEST JR,ET.AL. (93)  ",C0151,3,No Pointer,35,"35-BR-81(P,N)36-KR-81,,SIG",Bromine and iodine excitation-function measurements with protons and deuterons at 3-17 MeV,1993,H.I.West Jr+,1USALRL,1997/01/01,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",C0151003,C0151,"(B,LEVKOVSKIJ,,,1991)",1,1,0,81Br,Br,46,81,I,5.408435888652781,0.1479170718614687,Other,-77977.034,0.978,8695.946,0.012,-280.853,0.471,80916288.206,1.0490000000000002,18051.63,1.41,18918.93,5.42,-6485.63,1.95,-2520.36,5.0,-13051.51,3.47,-8155.0,1.17,10159.36,1.4,7506.55,1.37,-12264.12,5.49,8651.23,1.0,3912.96,0.99,486.31,9.83,-7506.55,-10159.36,-17419.8639,-15195.2979,-15900.9049,-20091.3094,-18918.93,-18051.63,-6485.63,-1063.1995,-7506.55,-10159.36,-7934.794000000001,-8937.3465,-9569.8351,-9701.823500000002,-12269.1635,-7506.55,-5281.984,-10159.36,-8938.068900000002,-11200.8896,-3902.131,-2013.0756,-299.445,10418.2594,12307.3149
69758,proton,All_or_Total,4,All_or_Total,Other,Lab,6290000.0,154452.2876398247,0.359,0.014,0.0,0.0,Other,"H.I.WEST JR,ET.AL. (93)  ",C0151,3,No Pointer,35,"35-BR-81(P,N)36-KR-81,,SIG",Bromine and iodine excitation-function measurements with protons and deuterons at 3-17 MeV,1993,H.I.West Jr+,1USALRL,1997/01/01,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",C0151003,C0151,"(B,LEVKOVSKIJ,,,1991)",1,1,0,81Br,Br,46,81,I,5.408435888652781,0.1479170718614687,Other,-77977.034,0.978,8695.946,0.012,-280.853,0.471,80916288.206,1.0490000000000002,18051.63,1.41,18918.93,5.42,-6485.63,1.95,-2520.36,5.0,-13051.51,3.47,-8155.0,1.17,10159.36,1.4,7506.55,1.37,-12264.12,5.49,8651.23,1.0,3912.96,0.99,486.31,9.83,-7506.55,-10159.36,-17419.8639,-15195.2979,-15900.9049,-20091.3094,-18918.93,-18051.63,-6485.63,-1063.1995,-7506.55,-10159.36,-7934.794000000001,-8937.3465,-9569.8351,-9701.823500000002,-12269.1635,-7506.55,-5281.984,-10159.36,-8938.068900000002,-11200.8896,-3902.131,-2013.0756,-299.445,10418.2594,12307.3149
69759,proton,All_or_Total,4,All_or_Total,Other,Lab,6870000.0,168694.31098340152,0.448,0.018,0.0,0.0,Other,"H.I.WEST JR,ET.AL. (93)  ",C0151,3,No Pointer,35,"35-BR-81(P,N)36-KR-81,,SIG",Bromine and iodine excitation-function measurements with protons and deuterons at 3-17 MeV,1993,H.I.West Jr+,1USALRL,1997/01/01,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",C0151003,C0151,"(B,LEVKOVSKIJ,,,1991)",1,1,0,81Br,Br,46,81,I,5.408435888652781,0.1479170718614687,Other,-77977.034,0.978,8695.946,0.012,-280.853,0.471,80916288.206,1.0490000000000002,18051.63,1.41,18918.93,5.42,-6485.63,1.95,-2520.36,5.0,-13051.51,3.47,-8155.0,1.17,10159.36,1.4,7506.55,1.37,-12264.12,5.49,8651.23,1.0,3912.96,0.99,486.31,9.83,-7506.55,-10159.36,-17419.8639,-15195.2979,-15900.9049,-20091.3094,-18918.93,-18051.63,-6485.63,-1063.1995,-7506.55,-10159.36,-7934.794000000001,-8937.3465,-9569.8351,-9701.823500000002,-12269.1635,-7506.55,-5281.984,-10159.36,-8938.068900000002,-11200.8896,-3902.131,-2013.0756,-299.445,10418.2594,12307.3149
69760,proton,All_or_Total,4,All_or_Total,Other,Lab,6990000.0,171640.93650276226,0.456,0.018,0.0,0.0,Other,"H.I.WEST JR,ET.AL. (93)  ",C0151,3,No Pointer,35,"35-BR-81(P,N)36-KR-81,,SIG",Bromine and iodine excitation-function measurements with protons and deuterons at 3-17 MeV,1993,H.I.West Jr+,1USALRL,1997/01/01,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",C0151003,C0151,"(B,LEVKOVSKIJ,,,1991)",1,1,0,81Br,Br,46,81,I,5.408435888652781,0.1479170718614687,Other,-77977.034,0.978,8695.946,0.012,-280.853,0.471,80916288.206,1.0490000000000002,18051.63,1.41,18918.93,5.42,-6485.63,1.95,-2520.36,5.0,-13051.51,3.47,-8155.0,1.17,10159.36,1.4,7506.55,1.37,-12264.12,5.49,8651.23,1.0,3912.96,0.99,486.31,9.83,-7506.55,-10159.36,-17419.8639,-15195.2979,-15900.9049,-20091.3094,-18918.93,-18051.63,-6485.63,-1063.1995,-7506.55,-10159.36,-7934.794000000001,-8937.3465,-9569.8351,-9701.823500000002,-12269.1635,-7506.55,-5281.984,-10159.36,-8938.068900000002,-11200.8896,-3902.131,-2013.0756,-299.445,10418.2594,12307.3149
