,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
71676,proton,All_or_Total,9000,All_or_Total,Other,Lab,8245000.0,1593000.0,0.2313,0.02243,0.0,0.0,Other,"K.Sakamoto,ET.AL. (85)   ",E1867,8,No Pointer,37,"37-RB-0(P,X)38-SR-85,,SIG","Excitation functions for (p,xn) and (p,pxn) reactions on natural 79+81Br, 85+87Rb, 127I and 133Cs upto Ep=52 MeV",1985,K.Sakamoto+,2JPNKNZ,2006/11/02,"Jour. Applied Radiation and Isotopes Vol.36, Issue.6, p.481, 1985",E1867008,E1867,"(J,ARI,36,(6),481,198506)",1,1,0,85Rb,Rb,48,85,N,5.496037090197724,0.145559425249661,Other,-80963.14725000001,1.09949,8686.8325,0.013,-86.7225000000002,2.5745,85467999.99999999,1.18017,19476.57,3.0250000000000004,17284.9,3.095,-6455.05,1.7,-5094.87,11.89,-9853.725,15.055,-10310.88,4.21,9619.665,2.6950000000000003,7037.135,1.095,-17213.95,8.66,10038.87,1.1,3044.8900000000003,1.225,2421.1,1.685,-7037.135,-9619.665,-16032.2239,-13807.657900000002,-16768.9749,-18156.5194,-17284.9,-19476.57,-6455.05,-869.069,-7037.135,-9619.665,-7395.099,-11093.2265,-10994.7751,-8314.183500000001,-9071.3785,-7037.135,-4812.569,-9619.665,-7550.428900000001,-9566.8596,-3362.436,-1543.6606000000002,-105.31450000000008,10957.9544,12776.729899999998
71677,proton,All_or_Total,9000,All_or_Total,Other,Lab,11580000.0,1258000.0,0.3276,0.03177,0.0,0.0,Other,"K.Sakamoto,ET.AL. (85)   ",E1867,8,No Pointer,37,"37-RB-0(P,X)38-SR-85,,SIG","Excitation functions for (p,xn) and (p,pxn) reactions on natural 79+81Br, 85+87Rb, 127I and 133Cs upto Ep=52 MeV",1985,K.Sakamoto+,2JPNKNZ,2006/11/02,"Jour. Applied Radiation and Isotopes Vol.36, Issue.6, p.481, 1985",E1867008,E1867,"(J,ARI,36,(6),481,198506)",1,1,0,85Rb,Rb,48,85,N,5.496037090197724,0.145559425249661,Other,-80963.14725000001,1.09949,8686.8325,0.013,-86.7225000000002,2.5745,85467999.99999999,1.18017,19476.57,3.0250000000000004,17284.9,3.095,-6455.05,1.7,-5094.87,11.89,-9853.725,15.055,-10310.88,4.21,9619.665,2.6950000000000003,7037.135,1.095,-17213.95,8.66,10038.87,1.1,3044.8900000000003,1.225,2421.1,1.685,-7037.135,-9619.665,-16032.2239,-13807.657900000002,-16768.9749,-18156.5194,-17284.9,-19476.57,-6455.05,-869.069,-7037.135,-9619.665,-7395.099,-11093.2265,-10994.7751,-8314.183500000001,-9071.3785,-7037.135,-4812.569,-9619.665,-7550.428900000001,-9566.8596,-3362.436,-1543.6606000000002,-105.31450000000008,10957.9544,12776.729899999998
71678,proton,All_or_Total,9000,All_or_Total,Other,Lab,14780000.0,1425000.0,0.2733,0.02651,0.0,0.0,Other,"K.Sakamoto,ET.AL. (85)   ",E1867,8,No Pointer,37,"37-RB-0(P,X)38-SR-85,,SIG","Excitation functions for (p,xn) and (p,pxn) reactions on natural 79+81Br, 85+87Rb, 127I and 133Cs upto Ep=52 MeV",1985,K.Sakamoto+,2JPNKNZ,2006/11/02,"Jour. Applied Radiation and Isotopes Vol.36, Issue.6, p.481, 1985",E1867008,E1867,"(J,ARI,36,(6),481,198506)",1,1,0,85Rb,Rb,48,85,N,5.496037090197724,0.145559425249661,Other,-80963.14725000001,1.09949,8686.8325,0.013,-86.7225000000002,2.5745,85467999.99999999,1.18017,19476.57,3.0250000000000004,17284.9,3.095,-6455.05,1.7,-5094.87,11.89,-9853.725,15.055,-10310.88,4.21,9619.665,2.6950000000000003,7037.135,1.095,-17213.95,8.66,10038.87,1.1,3044.8900000000003,1.225,2421.1,1.685,-7037.135,-9619.665,-16032.2239,-13807.657900000002,-16768.9749,-18156.5194,-17284.9,-19476.57,-6455.05,-869.069,-7037.135,-9619.665,-7395.099,-11093.2265,-10994.7751,-8314.183500000001,-9071.3785,-7037.135,-4812.569,-9619.665,-7550.428900000001,-9566.8596,-3362.436,-1543.6606000000002,-105.31450000000008,10957.9544,12776.729899999998
71679,proton,All_or_Total,9000,All_or_Total,Other,Lab,17670000.0,1257000.0,0.1116,0.01246,0.0,0.0,Other,"K.Sakamoto,ET.AL. (85)   ",E1867,8,No Pointer,37,"37-RB-0(P,X)38-SR-85,,SIG","Excitation functions for (p,xn) and (p,pxn) reactions on natural 79+81Br, 85+87Rb, 127I and 133Cs upto Ep=52 MeV",1985,K.Sakamoto+,2JPNKNZ,2006/11/02,"Jour. Applied Radiation and Isotopes Vol.36, Issue.6, p.481, 1985",E1867008,E1867,"(J,ARI,36,(6),481,198506)",1,1,0,85Rb,Rb,48,85,N,5.496037090197724,0.145559425249661,Other,-80963.14725000001,1.09949,8686.8325,0.013,-86.7225000000002,2.5745,85467999.99999999,1.18017,19476.57,3.0250000000000004,17284.9,3.095,-6455.05,1.7,-5094.87,11.89,-9853.725,15.055,-10310.88,4.21,9619.665,2.6950000000000003,7037.135,1.095,-17213.95,8.66,10038.87,1.1,3044.8900000000003,1.225,2421.1,1.685,-7037.135,-9619.665,-16032.2239,-13807.657900000002,-16768.9749,-18156.5194,-17284.9,-19476.57,-6455.05,-869.069,-7037.135,-9619.665,-7395.099,-11093.2265,-10994.7751,-8314.183500000001,-9071.3785,-7037.135,-4812.569,-9619.665,-7550.428900000001,-9566.8596,-3362.436,-1543.6606000000002,-105.31450000000008,10957.9544,12776.729899999998
71680,proton,All_or_Total,9000,All_or_Total,Other,Lab,20470000.0,1257000.0,0.06175,0.005989,0.0,0.0,Other,"K.Sakamoto,ET.AL. (85)   ",E1867,8,No Pointer,37,"37-RB-0(P,X)38-SR-85,,SIG","Excitation functions for (p,xn) and (p,pxn) reactions on natural 79+81Br, 85+87Rb, 127I and 133Cs upto Ep=52 MeV",1985,K.Sakamoto+,2JPNKNZ,2006/11/02,"Jour. Applied Radiation and Isotopes Vol.36, Issue.6, p.481, 1985",E1867008,E1867,"(J,ARI,36,(6),481,198506)",1,1,0,85Rb,Rb,48,85,N,5.496037090197724,0.145559425249661,Other,-80963.14725000001,1.09949,8686.8325,0.013,-86.7225000000002,2.5745,85467999.99999999,1.18017,19476.57,3.0250000000000004,17284.9,3.095,-6455.05,1.7,-5094.87,11.89,-9853.725,15.055,-10310.88,4.21,9619.665,2.6950000000000003,7037.135,1.095,-17213.95,8.66,10038.87,1.1,3044.8900000000003,1.225,2421.1,1.685,-7037.135,-9619.665,-16032.2239,-13807.657900000002,-16768.9749,-18156.5194,-17284.9,-19476.57,-6455.05,-869.069,-7037.135,-9619.665,-7395.099,-11093.2265,-10994.7751,-8314.183500000001,-9071.3785,-7037.135,-4812.569,-9619.665,-7550.428900000001,-9566.8596,-3362.436,-1543.6606000000002,-105.31450000000008,10957.9544,12776.729899999998
71681,proton,All_or_Total,9000,All_or_Total,Other,Lab,23320000.0,1257000.0,0.05956,inf,0.0,0.0,Other,"K.Sakamoto,ET.AL. (85)   ",E1867,8,No Pointer,37,"37-RB-0(P,X)38-SR-85,,SIG","Excitation functions for (p,xn) and (p,pxn) reactions on natural 79+81Br, 85+87Rb, 127I and 133Cs upto Ep=52 MeV",1985,K.Sakamoto+,2JPNKNZ,2006/11/02,"Jour. Applied Radiation and Isotopes Vol.36, Issue.6, p.481, 1985",E1867008,E1867,"(J,ARI,36,(6),481,198506)",1,1,0,85Rb,Rb,48,85,N,5.496037090197724,0.145559425249661,Other,-80963.14725000001,1.09949,8686.8325,0.013,-86.7225000000002,2.5745,85467999.99999999,1.18017,19476.57,3.0250000000000004,17284.9,3.095,-6455.05,1.7,-5094.87,11.89,-9853.725,15.055,-10310.88,4.21,9619.665,2.6950000000000003,7037.135,1.095,-17213.95,8.66,10038.87,1.1,3044.8900000000003,1.225,2421.1,1.685,-7037.135,-9619.665,-16032.2239,-13807.657900000002,-16768.9749,-18156.5194,-17284.9,-19476.57,-6455.05,-869.069,-7037.135,-9619.665,-7395.099,-11093.2265,-10994.7751,-8314.183500000001,-9071.3785,-7037.135,-4812.569,-9619.665,-7550.428900000001,-9566.8596,-3362.436,-1543.6606000000002,-105.31450000000008,10957.9544,12776.729899999998
71682,proton,All_or_Total,9000,All_or_Total,Other,Lab,29970000.0,1006000.0,0.1948,0.02174,0.0,0.0,Other,"K.Sakamoto,ET.AL. (85)   ",E1867,8,No Pointer,37,"37-RB-0(P,X)38-SR-85,,SIG","Excitation functions for (p,xn) and (p,pxn) reactions on natural 79+81Br, 85+87Rb, 127I and 133Cs upto Ep=52 MeV",1985,K.Sakamoto+,2JPNKNZ,2006/11/02,"Jour. Applied Radiation and Isotopes Vol.36, Issue.6, p.481, 1985",E1867008,E1867,"(J,ARI,36,(6),481,198506)",1,1,0,85Rb,Rb,48,85,N,5.496037090197724,0.145559425249661,Other,-80963.14725000001,1.09949,8686.8325,0.013,-86.7225000000002,2.5745,85467999.99999999,1.18017,19476.57,3.0250000000000004,17284.9,3.095,-6455.05,1.7,-5094.87,11.89,-9853.725,15.055,-10310.88,4.21,9619.665,2.6950000000000003,7037.135,1.095,-17213.95,8.66,10038.87,1.1,3044.8900000000003,1.225,2421.1,1.685,-7037.135,-9619.665,-16032.2239,-13807.657900000002,-16768.9749,-18156.5194,-17284.9,-19476.57,-6455.05,-869.069,-7037.135,-9619.665,-7395.099,-11093.2265,-10994.7751,-8314.183500000001,-9071.3785,-7037.135,-4812.569,-9619.665,-7550.428900000001,-9566.8596,-3362.436,-1543.6606000000002,-105.31450000000008,10957.9544,12776.729899999998
71683,proton,All_or_Total,9000,All_or_Total,Other,Lab,36000000.0,1090000.0,0.1963,0.02191,0.0,0.0,Other,"K.Sakamoto,ET.AL. (85)   ",E1867,8,No Pointer,37,"37-RB-0(P,X)38-SR-85,,SIG","Excitation functions for (p,xn) and (p,pxn) reactions on natural 79+81Br, 85+87Rb, 127I and 133Cs upto Ep=52 MeV",1985,K.Sakamoto+,2JPNKNZ,2006/11/02,"Jour. Applied Radiation and Isotopes Vol.36, Issue.6, p.481, 1985",E1867008,E1867,"(J,ARI,36,(6),481,198506)",1,1,0,85Rb,Rb,48,85,N,5.496037090197724,0.145559425249661,Other,-80963.14725000001,1.09949,8686.8325,0.013,-86.7225000000002,2.5745,85467999.99999999,1.18017,19476.57,3.0250000000000004,17284.9,3.095,-6455.05,1.7,-5094.87,11.89,-9853.725,15.055,-10310.88,4.21,9619.665,2.6950000000000003,7037.135,1.095,-17213.95,8.66,10038.87,1.1,3044.8900000000003,1.225,2421.1,1.685,-7037.135,-9619.665,-16032.2239,-13807.657900000002,-16768.9749,-18156.5194,-17284.9,-19476.57,-6455.05,-869.069,-7037.135,-9619.665,-7395.099,-11093.2265,-10994.7751,-8314.183500000001,-9071.3785,-7037.135,-4812.569,-9619.665,-7550.428900000001,-9566.8596,-3362.436,-1543.6606000000002,-105.31450000000008,10957.9544,12776.729899999998
71684,proton,All_or_Total,9000,All_or_Total,Other,Lab,11630000.0,1546000.0,0.001146,inf,0.0,0.0,Other,"K.Sakamoto,ET.AL. (85)   ",E1867,12,No Pointer,37,"37-RB-0(P,X)37-RB-84,,SIG","Excitation functions for (p,xn) and (p,pxn) reactions on natural 79+81Br, 85+87Rb, 127I and 133Cs upto Ep=52 MeV",1985,K.Sakamoto+,2JPNKNZ,2006/11/02,"Jour. Applied Radiation and Isotopes Vol.36, Issue.6, p.481, 1985",E1867012,E1867,"(J,ARI,36,(6),481,198506)",1,1,0,85Rb,Rb,48,85,N,5.496037090197724,0.145559425249661,Other,-80963.14725000001,1.09949,8686.8325,0.013,-86.7225000000002,2.5745,85467999.99999999,1.18017,19476.57,3.0250000000000004,17284.9,3.095,-6455.05,1.7,-5094.87,11.89,-9853.725,15.055,-10310.88,4.21,9619.665,2.6950000000000003,7037.135,1.095,-17213.95,8.66,10038.87,1.1,3044.8900000000003,1.225,2421.1,1.685,-7037.135,-9619.665,-16032.2239,-13807.657900000002,-16768.9749,-18156.5194,-17284.9,-19476.57,-6455.05,-869.069,-7037.135,-9619.665,-7395.099,-11093.2265,-10994.7751,-8314.183500000001,-9071.3785,-7037.135,-4812.569,-9619.665,-7550.428900000001,-9566.8596,-3362.436,-1543.6606000000002,-105.31450000000008,10957.9544,12776.729899999998
71685,proton,All_or_Total,9000,All_or_Total,Other,Lab,14760000.0,1793000.0,0.005922,inf,0.0,0.0,Other,"K.Sakamoto,ET.AL. (85)   ",E1867,12,No Pointer,37,"37-RB-0(P,X)37-RB-84,,SIG","Excitation functions for (p,xn) and (p,pxn) reactions on natural 79+81Br, 85+87Rb, 127I and 133Cs upto Ep=52 MeV",1985,K.Sakamoto+,2JPNKNZ,2006/11/02,"Jour. Applied Radiation and Isotopes Vol.36, Issue.6, p.481, 1985",E1867012,E1867,"(J,ARI,36,(6),481,198506)",1,1,0,85Rb,Rb,48,85,N,5.496037090197724,0.145559425249661,Other,-80963.14725000001,1.09949,8686.8325,0.013,-86.7225000000002,2.5745,85467999.99999999,1.18017,19476.57,3.0250000000000004,17284.9,3.095,-6455.05,1.7,-5094.87,11.89,-9853.725,15.055,-10310.88,4.21,9619.665,2.6950000000000003,7037.135,1.095,-17213.95,8.66,10038.87,1.1,3044.8900000000003,1.225,2421.1,1.685,-7037.135,-9619.665,-16032.2239,-13807.657900000002,-16768.9749,-18156.5194,-17284.9,-19476.57,-6455.05,-869.069,-7037.135,-9619.665,-7395.099,-11093.2265,-10994.7751,-8314.183500000001,-9071.3785,-7037.135,-4812.569,-9619.665,-7550.428900000001,-9566.8596,-3362.436,-1543.6606000000002,-105.31450000000008,10957.9544,12776.729899999998
