,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
71666,proton,All_or_Total,17,All_or_Total,Other,Lab,29500000.0,579426.5809225102,0.509,0.0613513384356667,0.0,0.0,Other,"Z.Kovacs,ET.AL. (91)     ",A0489,6,No Pointer,36,"36-KR-86(P,3N)37-RB-84,,SIG","Excitation functions for the formation of some radioisotopes of rubidium in proton induced nuclear reactions on Kr-nat,Kr-82 and Kr-83 with special reference to the production of Rb-81(Kr-81-m)",1991,Z.Kovacs+,2GERJUL,2009/10/04,"Jour. Yadernaya Fizika Vol.35, p.1092, 1982",A0489006,A0489,"(J,YF,35,1092,1982)",1,1,0,86Kr,Kr,50,86,I,5.517506203052629,0.1449930404350773,Other,-83265.66563999999,0.00369,8712.029,0.0,-518.672,0.2,85910610.62627,0.00396,16968.96,0.0,21895.89,1.96,-8096.7,0.47,1257.42,0.0,-18141.0,2.61,-9169.65,0.0,9856.65,2.0,11979.17,3.08,-5296.65,3.57,5228.22,25.73,612.1,3.79,-2278.73,3.04,-11979.17,-9856.65,-20842.8739,-18618.3079,-19201.7649,-22856.3494,-21895.89,-16968.96,-8096.7,-1301.0185,-11979.17,-9856.65,-7632.084,-9951.9965,-8487.165099999998,-13124.8335,-17358.6535,-11979.17,-9754.604,-9856.65,-12361.0789,-14177.8496,-3599.421,-6485.6956,-537.264,10720.9694,7834.6949
71667,proton,All_or_Total,17,All_or_Total,Other,Lab,29000000.0,569605.7914153491,0.472,0.0568916144236438,0.0,0.0,Other,"Z.Kovacs,ET.AL. (91)     ",A0489,6,No Pointer,36,"36-KR-86(P,3N)37-RB-84,,SIG","Excitation functions for the formation of some radioisotopes of rubidium in proton induced nuclear reactions on Kr-nat,Kr-82 and Kr-83 with special reference to the production of Rb-81(Kr-81-m)",1991,Z.Kovacs+,2GERJUL,2009/10/04,"Jour. Yadernaya Fizika Vol.35, p.1092, 1982",A0489006,A0489,"(J,YF,35,1092,1982)",1,1,0,86Kr,Kr,50,86,I,5.517506203052629,0.1449930404350773,Other,-83265.66563999999,0.00369,8712.029,0.0,-518.672,0.2,85910610.62627,0.00396,16968.96,0.0,21895.89,1.96,-8096.7,0.47,1257.42,0.0,-18141.0,2.61,-9169.65,0.0,9856.65,2.0,11979.17,3.08,-5296.65,3.57,5228.22,25.73,612.1,3.79,-2278.73,3.04,-11979.17,-9856.65,-20842.8739,-18618.3079,-19201.7649,-22856.3494,-21895.89,-16968.96,-8096.7,-1301.0185,-11979.17,-9856.65,-7632.084,-9951.9965,-8487.165099999998,-13124.8335,-17358.6535,-11979.17,-9754.604,-9856.65,-12361.0789,-14177.8496,-3599.421,-6485.6956,-537.264,10720.9694,7834.6949
71668,proton,All_or_Total,17,All_or_Total,Other,Lab,28000000.0,549964.2124010267,0.397,0.0478516333181919,0.0,0.0,Other,"Z.Kovacs,ET.AL. (91)     ",A0489,6,No Pointer,36,"36-KR-86(P,3N)37-RB-84,,SIG","Excitation functions for the formation of some radioisotopes of rubidium in proton induced nuclear reactions on Kr-nat,Kr-82 and Kr-83 with special reference to the production of Rb-81(Kr-81-m)",1991,Z.Kovacs+,2GERJUL,2009/10/04,"Jour. Yadernaya Fizika Vol.35, p.1092, 1982",A0489006,A0489,"(J,YF,35,1092,1982)",1,1,0,86Kr,Kr,50,86,I,5.517506203052629,0.1449930404350773,Other,-83265.66563999999,0.00369,8712.029,0.0,-518.672,0.2,85910610.62627,0.00396,16968.96,0.0,21895.89,1.96,-8096.7,0.47,1257.42,0.0,-18141.0,2.61,-9169.65,0.0,9856.65,2.0,11979.17,3.08,-5296.65,3.57,5228.22,25.73,612.1,3.79,-2278.73,3.04,-11979.17,-9856.65,-20842.8739,-18618.3079,-19201.7649,-22856.3494,-21895.89,-16968.96,-8096.7,-1301.0185,-11979.17,-9856.65,-7632.084,-9951.9965,-8487.165099999998,-13124.8335,-17358.6535,-11979.17,-9754.604,-9856.65,-12361.0789,-14177.8496,-3599.421,-6485.6956,-537.264,10720.9694,7834.6949
71669,proton,All_or_Total,17,All_or_Total,Other,Lab,27000000.0,530322.6333867044,0.323,0.0389321852941461,0.0,0.0,Other,"Z.Kovacs,ET.AL. (91)     ",A0489,6,No Pointer,36,"36-KR-86(P,3N)37-RB-84,,SIG","Excitation functions for the formation of some radioisotopes of rubidium in proton induced nuclear reactions on Kr-nat,Kr-82 and Kr-83 with special reference to the production of Rb-81(Kr-81-m)",1991,Z.Kovacs+,2GERJUL,2009/10/04,"Jour. Yadernaya Fizika Vol.35, p.1092, 1982",A0489006,A0489,"(J,YF,35,1092,1982)",1,1,0,86Kr,Kr,50,86,I,5.517506203052629,0.1449930404350773,Other,-83265.66563999999,0.00369,8712.029,0.0,-518.672,0.2,85910610.62627,0.00396,16968.96,0.0,21895.89,1.96,-8096.7,0.47,1257.42,0.0,-18141.0,2.61,-9169.65,0.0,9856.65,2.0,11979.17,3.08,-5296.65,3.57,5228.22,25.73,612.1,3.79,-2278.73,3.04,-11979.17,-9856.65,-20842.8739,-18618.3079,-19201.7649,-22856.3494,-21895.89,-16968.96,-8096.7,-1301.0185,-11979.17,-9856.65,-7632.084,-9951.9965,-8487.165099999998,-13124.8335,-17358.6535,-11979.17,-9754.604,-9856.65,-12361.0789,-14177.8496,-3599.421,-6485.6956,-537.264,10720.9694,7834.6949
71670,proton,All_or_Total,17,All_or_Total,Other,Lab,26000000.0,510681.05437238194,0.254,0.0306154026771303,0.0,0.0,Other,"Z.Kovacs,ET.AL. (91)     ",A0489,6,No Pointer,36,"36-KR-86(P,3N)37-RB-84,,SIG","Excitation functions for the formation of some radioisotopes of rubidium in proton induced nuclear reactions on Kr-nat,Kr-82 and Kr-83 with special reference to the production of Rb-81(Kr-81-m)",1991,Z.Kovacs+,2GERJUL,2009/10/04,"Jour. Yadernaya Fizika Vol.35, p.1092, 1982",A0489006,A0489,"(J,YF,35,1092,1982)",1,1,0,86Kr,Kr,50,86,I,5.517506203052629,0.1449930404350773,Other,-83265.66563999999,0.00369,8712.029,0.0,-518.672,0.2,85910610.62627,0.00396,16968.96,0.0,21895.89,1.96,-8096.7,0.47,1257.42,0.0,-18141.0,2.61,-9169.65,0.0,9856.65,2.0,11979.17,3.08,-5296.65,3.57,5228.22,25.73,612.1,3.79,-2278.73,3.04,-11979.17,-9856.65,-20842.8739,-18618.3079,-19201.7649,-22856.3494,-21895.89,-16968.96,-8096.7,-1301.0185,-11979.17,-9856.65,-7632.084,-9951.9965,-8487.165099999998,-13124.8335,-17358.6535,-11979.17,-9754.604,-9856.65,-12361.0789,-14177.8496,-3599.421,-6485.6956,-537.264,10720.9694,7834.6949
71671,proton,All_or_Total,17,All_or_Total,Other,Lab,25000000.0,491039.4753580596,0.186,0.0224191531415206,0.0,0.0,Other,"Z.Kovacs,ET.AL. (91)     ",A0489,6,No Pointer,36,"36-KR-86(P,3N)37-RB-84,,SIG","Excitation functions for the formation of some radioisotopes of rubidium in proton induced nuclear reactions on Kr-nat,Kr-82 and Kr-83 with special reference to the production of Rb-81(Kr-81-m)",1991,Z.Kovacs+,2GERJUL,2009/10/04,"Jour. Yadernaya Fizika Vol.35, p.1092, 1982",A0489006,A0489,"(J,YF,35,1092,1982)",1,1,0,86Kr,Kr,50,86,I,5.517506203052629,0.1449930404350773,Other,-83265.66563999999,0.00369,8712.029,0.0,-518.672,0.2,85910610.62627,0.00396,16968.96,0.0,21895.89,1.96,-8096.7,0.47,1257.42,0.0,-18141.0,2.61,-9169.65,0.0,9856.65,2.0,11979.17,3.08,-5296.65,3.57,5228.22,25.73,612.1,3.79,-2278.73,3.04,-11979.17,-9856.65,-20842.8739,-18618.3079,-19201.7649,-22856.3494,-21895.89,-16968.96,-8096.7,-1301.0185,-11979.17,-9856.65,-7632.084,-9951.9965,-8487.165099999998,-13124.8335,-17358.6535,-11979.17,-9754.604,-9856.65,-12361.0789,-14177.8496,-3599.421,-6485.6956,-537.264,10720.9694,7834.6949
71672,proton,All_or_Total,17,All_or_Total,Other,Lab,24000000.0,471397.8963437372,0.105,0.0126559735476326,0.0,0.0,Other,"Z.Kovacs,ET.AL. (91)     ",A0489,6,No Pointer,36,"36-KR-86(P,3N)37-RB-84,,SIG","Excitation functions for the formation of some radioisotopes of rubidium in proton induced nuclear reactions on Kr-nat,Kr-82 and Kr-83 with special reference to the production of Rb-81(Kr-81-m)",1991,Z.Kovacs+,2GERJUL,2009/10/04,"Jour. Yadernaya Fizika Vol.35, p.1092, 1982",A0489006,A0489,"(J,YF,35,1092,1982)",1,1,0,86Kr,Kr,50,86,I,5.517506203052629,0.1449930404350773,Other,-83265.66563999999,0.00369,8712.029,0.0,-518.672,0.2,85910610.62627,0.00396,16968.96,0.0,21895.89,1.96,-8096.7,0.47,1257.42,0.0,-18141.0,2.61,-9169.65,0.0,9856.65,2.0,11979.17,3.08,-5296.65,3.57,5228.22,25.73,612.1,3.79,-2278.73,3.04,-11979.17,-9856.65,-20842.8739,-18618.3079,-19201.7649,-22856.3494,-21895.89,-16968.96,-8096.7,-1301.0185,-11979.17,-9856.65,-7632.084,-9951.9965,-8487.165099999998,-13124.8335,-17358.6535,-11979.17,-9754.604,-9856.65,-12361.0789,-14177.8496,-3599.421,-6485.6956,-537.264,10720.9694,7834.6949
71673,proton,All_or_Total,17,All_or_Total,Other,Lab,23000000.0,451756.3173294148,0.0169,0.0020370090757618,0.0,0.0,Other,"Z.Kovacs,ET.AL. (91)     ",A0489,6,No Pointer,36,"36-KR-86(P,3N)37-RB-84,,SIG","Excitation functions for the formation of some radioisotopes of rubidium in proton induced nuclear reactions on Kr-nat,Kr-82 and Kr-83 with special reference to the production of Rb-81(Kr-81-m)",1991,Z.Kovacs+,2GERJUL,2009/10/04,"Jour. Yadernaya Fizika Vol.35, p.1092, 1982",A0489006,A0489,"(J,YF,35,1092,1982)",1,1,0,86Kr,Kr,50,86,I,5.517506203052629,0.1449930404350773,Other,-83265.66563999999,0.00369,8712.029,0.0,-518.672,0.2,85910610.62627,0.00396,16968.96,0.0,21895.89,1.96,-8096.7,0.47,1257.42,0.0,-18141.0,2.61,-9169.65,0.0,9856.65,2.0,11979.17,3.08,-5296.65,3.57,5228.22,25.73,612.1,3.79,-2278.73,3.04,-11979.17,-9856.65,-20842.8739,-18618.3079,-19201.7649,-22856.3494,-21895.89,-16968.96,-8096.7,-1301.0185,-11979.17,-9856.65,-7632.084,-9951.9965,-8487.165099999998,-13124.8335,-17358.6535,-11979.17,-9754.604,-9856.65,-12361.0789,-14177.8496,-3599.421,-6485.6956,-537.264,10720.9694,7834.6949
71674,proton,All_or_Total,17,All_or_Total,Other,Lab,22000000.0,432114.7383150924,0.00117,0.000141023705245,0.0,0.0,Other,"Z.Kovacs,ET.AL. (91)     ",A0489,6,No Pointer,36,"36-KR-86(P,3N)37-RB-84,,SIG","Excitation functions for the formation of some radioisotopes of rubidium in proton induced nuclear reactions on Kr-nat,Kr-82 and Kr-83 with special reference to the production of Rb-81(Kr-81-m)",1991,Z.Kovacs+,2GERJUL,2009/10/04,"Jour. Yadernaya Fizika Vol.35, p.1092, 1982",A0489006,A0489,"(J,YF,35,1092,1982)",1,1,0,86Kr,Kr,50,86,I,5.517506203052629,0.1449930404350773,Other,-83265.66563999999,0.00369,8712.029,0.0,-518.672,0.2,85910610.62627,0.00396,16968.96,0.0,21895.89,1.96,-8096.7,0.47,1257.42,0.0,-18141.0,2.61,-9169.65,0.0,9856.65,2.0,11979.17,3.08,-5296.65,3.57,5228.22,25.73,612.1,3.79,-2278.73,3.04,-11979.17,-9856.65,-20842.8739,-18618.3079,-19201.7649,-22856.3494,-21895.89,-16968.96,-8096.7,-1301.0185,-11979.17,-9856.65,-7632.084,-9951.9965,-8487.165099999998,-13124.8335,-17358.6535,-11979.17,-9754.604,-9856.65,-12361.0789,-14177.8496,-3599.421,-6485.6956,-537.264,10720.9694,7834.6949
71675,proton,All_or_Total,9001,Ground,Other,Lab,600000000.0,8880081.822671477,0.0367,0.0008,0.0,0.0,Other,"V.V.Kuzminov,ET.AL. (82) ",A0131,2,5,36,"36-KR-86(P,X)36-KR-85-G,CUM,SIG","Cross sections of production of 81-Kr in the reactions (A>81)Kr(p,pXn)81Kr and 80Kr(n,gamma)81Kr.",1982,V.V.Kuzminov+,4ZZZDUB,2019/07/05,"Jour. Applied Radiation and Isotopes Vol.36, Issue.6, p.481, 1985",A01310025,A0131,"(J,ARI,36,(6),481,198506)",1,1,0,86Kr,Kr,50,86,I,5.517506203052629,0.1449930404350773,Other,-83265.66563999999,0.00369,8712.029,0.0,-518.672,0.2,85910610.62627,0.00396,16968.96,0.0,21895.89,1.96,-8096.7,0.47,1257.42,0.0,-18141.0,2.61,-9169.65,0.0,9856.65,2.0,11979.17,3.08,-5296.65,3.57,5228.22,25.73,612.1,3.79,-2278.73,3.04,-11979.17,-9856.65,-20842.8739,-18618.3079,-19201.7649,-22856.3494,-21895.89,-16968.96,-8096.7,-1301.0185,-11979.17,-9856.65,-7632.084,-9951.9965,-8487.165099999998,-13124.8335,-17358.6535,-11979.17,-9754.604,-9856.65,-12361.0789,-14177.8496,-3599.421,-6485.6956,-537.264,10720.9694,7834.6949
