,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
75669,proton,All_or_Total,4,All_or_Total,Other,Lab,2610000.0,64089.10504609578,0.000266,2.67336719752278e-05,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",P0033,11,No Pointer,38,"38-SR-87(P,N)39-Y-87,,SIG","Excitation functions and cross sections of the (p,n) reaction  (II)",1951,J.P.Blaser+,2SWTETH,1983/09/04,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",P0033011,P0033,"(B,LEVKOVSKIJ,,,1991)",1,1,0,87Sr,Sr,49,87,I,5.538809527117042,0.1444353693845834,Other,-84880.06595,0.0051,8705.235999999999,0.0,-1861.69,1.128,86908877.49615,0.00548,19919.42,2.81,17977.68,2.0,-7314.35,0.01,-5532.93,4.15,-8903.37,0.0,-13668.29,14.14,8428.29,0.01,9422.04,0.2,-17995.26,2.86,7998.07,0.0,-257.05,2.19,3205.67,0.0,-9422.04,-8428.29,-18073.0239,-15848.4579,-20070.9149,-17371.949399999998,-17977.68,-19919.42,-7314.35,-2644.0365,-9422.04,-8428.29,-6203.724000000001,-14450.6365,-11437.625099999996,-10354.983500000002,-8121.023500000001,-9422.04,-7197.474000000001,-8428.29,-9591.228900000002,-10259.6396,-2171.0610000000006,-3928.565600000001,-1880.282,12149.3294,10391.8249
75670,proton,All_or_Total,4,All_or_Total,Other,Lab,3060000.0,75138.9507436985,0.00151,0.0001517588145962,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",P0033,11,No Pointer,38,"38-SR-87(P,N)39-Y-87,,SIG","Excitation functions and cross sections of the (p,n) reaction  (II)",1951,J.P.Blaser+,2SWTETH,1983/09/04,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",P0033011,P0033,"(B,LEVKOVSKIJ,,,1991)",1,1,0,87Sr,Sr,49,87,I,5.538809527117042,0.1444353693845834,Other,-84880.06595,0.0051,8705.235999999999,0.0,-1861.69,1.128,86908877.49615,0.00548,19919.42,2.81,17977.68,2.0,-7314.35,0.01,-5532.93,4.15,-8903.37,0.0,-13668.29,14.14,8428.29,0.01,9422.04,0.2,-17995.26,2.86,7998.07,0.0,-257.05,2.19,3205.67,0.0,-9422.04,-8428.29,-18073.0239,-15848.4579,-20070.9149,-17371.949399999998,-17977.68,-19919.42,-7314.35,-2644.0365,-9422.04,-8428.29,-6203.724000000001,-14450.6365,-11437.625099999996,-10354.983500000002,-8121.023500000001,-9422.04,-7197.474000000001,-8428.29,-9591.228900000002,-10259.6396,-2171.0610000000006,-3928.565600000001,-1880.282,12149.3294,10391.8249
75671,proton,All_or_Total,4,All_or_Total,Other,Lab,3500000.0,85943.24431468782,0.00522,0.0005246231868822,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",P0033,11,No Pointer,38,"38-SR-87(P,N)39-Y-87,,SIG","Excitation functions and cross sections of the (p,n) reaction  (II)",1951,J.P.Blaser+,2SWTETH,1983/09/04,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",P0033011,P0033,"(B,LEVKOVSKIJ,,,1991)",1,1,0,87Sr,Sr,49,87,I,5.538809527117042,0.1444353693845834,Other,-84880.06595,0.0051,8705.235999999999,0.0,-1861.69,1.128,86908877.49615,0.00548,19919.42,2.81,17977.68,2.0,-7314.35,0.01,-5532.93,4.15,-8903.37,0.0,-13668.29,14.14,8428.29,0.01,9422.04,0.2,-17995.26,2.86,7998.07,0.0,-257.05,2.19,3205.67,0.0,-9422.04,-8428.29,-18073.0239,-15848.4579,-20070.9149,-17371.949399999998,-17977.68,-19919.42,-7314.35,-2644.0365,-9422.04,-8428.29,-6203.724000000001,-14450.6365,-11437.625099999996,-10354.983500000002,-8121.023500000001,-9422.04,-7197.474000000001,-8428.29,-9591.228900000002,-10259.6396,-2171.0610000000006,-3928.565600000001,-1880.282,12149.3294,10391.8249
75672,proton,All_or_Total,4,All_or_Total,Other,Lab,3880000.0,95274.2251259968,0.0106,0.0010653267779602,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",P0033,11,No Pointer,38,"38-SR-87(P,N)39-Y-87,,SIG","Excitation functions and cross sections of the (p,n) reaction  (II)",1951,J.P.Blaser+,2SWTETH,1983/09/04,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",P0033011,P0033,"(B,LEVKOVSKIJ,,,1991)",1,1,0,87Sr,Sr,49,87,I,5.538809527117042,0.1444353693845834,Other,-84880.06595,0.0051,8705.235999999999,0.0,-1861.69,1.128,86908877.49615,0.00548,19919.42,2.81,17977.68,2.0,-7314.35,0.01,-5532.93,4.15,-8903.37,0.0,-13668.29,14.14,8428.29,0.01,9422.04,0.2,-17995.26,2.86,7998.07,0.0,-257.05,2.19,3205.67,0.0,-9422.04,-8428.29,-18073.0239,-15848.4579,-20070.9149,-17371.949399999998,-17977.68,-19919.42,-7314.35,-2644.0365,-9422.04,-8428.29,-6203.724000000001,-14450.6365,-11437.625099999996,-10354.983500000002,-8121.023500000001,-9422.04,-7197.474000000001,-8428.29,-9591.228900000002,-10259.6396,-2171.0610000000006,-3928.565600000001,-1880.282,12149.3294,10391.8249
75673,proton,All_or_Total,4,All_or_Total,Other,Lab,4260000.0,104605.20593730576,0.0223,0.0022412063347653,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",P0033,11,No Pointer,38,"38-SR-87(P,N)39-Y-87,,SIG","Excitation functions and cross sections of the (p,n) reaction  (II)",1951,J.P.Blaser+,2SWTETH,1983/09/04,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",P0033011,P0033,"(B,LEVKOVSKIJ,,,1991)",1,1,0,87Sr,Sr,49,87,I,5.538809527117042,0.1444353693845834,Other,-84880.06595,0.0051,8705.235999999999,0.0,-1861.69,1.128,86908877.49615,0.00548,19919.42,2.81,17977.68,2.0,-7314.35,0.01,-5532.93,4.15,-8903.37,0.0,-13668.29,14.14,8428.29,0.01,9422.04,0.2,-17995.26,2.86,7998.07,0.0,-257.05,2.19,3205.67,0.0,-9422.04,-8428.29,-18073.0239,-15848.4579,-20070.9149,-17371.949399999998,-17977.68,-19919.42,-7314.35,-2644.0365,-9422.04,-8428.29,-6203.724000000001,-14450.6365,-11437.625099999996,-10354.983500000002,-8121.023500000001,-9422.04,-7197.474000000001,-8428.29,-9591.228900000002,-10259.6396,-2171.0610000000006,-3928.565600000001,-1880.282,12149.3294,10391.8249
75674,proton,All_or_Total,4,All_or_Total,Other,Lab,4600000.0,112953.97824216116,0.04,0.0040201010489064,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",P0033,11,No Pointer,38,"38-SR-87(P,N)39-Y-87,,SIG","Excitation functions and cross sections of the (p,n) reaction  (II)",1951,J.P.Blaser+,2SWTETH,1983/09/04,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",P0033011,P0033,"(B,LEVKOVSKIJ,,,1991)",1,1,0,87Sr,Sr,49,87,I,5.538809527117042,0.1444353693845834,Other,-84880.06595,0.0051,8705.235999999999,0.0,-1861.69,1.128,86908877.49615,0.00548,19919.42,2.81,17977.68,2.0,-7314.35,0.01,-5532.93,4.15,-8903.37,0.0,-13668.29,14.14,8428.29,0.01,9422.04,0.2,-17995.26,2.86,7998.07,0.0,-257.05,2.19,3205.67,0.0,-9422.04,-8428.29,-18073.0239,-15848.4579,-20070.9149,-17371.949399999998,-17977.68,-19919.42,-7314.35,-2644.0365,-9422.04,-8428.29,-6203.724000000001,-14450.6365,-11437.625099999996,-10354.983500000002,-8121.023500000001,-9422.04,-7197.474000000001,-8428.29,-9591.228900000002,-10259.6396,-2171.0610000000006,-3928.565600000001,-1880.282,12149.3294,10391.8249
75675,proton,All_or_Total,4,All_or_Total,Other,Lab,5220000.0,128178.21009219156,0.0862,0.0086633177603933,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",P0033,11,No Pointer,38,"38-SR-87(P,N)39-Y-87,,SIG","Excitation functions and cross sections of the (p,n) reaction  (II)",1951,J.P.Blaser+,2SWTETH,1983/09/04,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",P0033011,P0033,"(B,LEVKOVSKIJ,,,1991)",1,1,0,87Sr,Sr,49,87,I,5.538809527117042,0.1444353693845834,Other,-84880.06595,0.0051,8705.235999999999,0.0,-1861.69,1.128,86908877.49615,0.00548,19919.42,2.81,17977.68,2.0,-7314.35,0.01,-5532.93,4.15,-8903.37,0.0,-13668.29,14.14,8428.29,0.01,9422.04,0.2,-17995.26,2.86,7998.07,0.0,-257.05,2.19,3205.67,0.0,-9422.04,-8428.29,-18073.0239,-15848.4579,-20070.9149,-17371.949399999998,-17977.68,-19919.42,-7314.35,-2644.0365,-9422.04,-8428.29,-6203.724000000001,-14450.6365,-11437.625099999996,-10354.983500000002,-8121.023500000001,-9422.04,-7197.474000000001,-8428.29,-9591.228900000002,-10259.6396,-2171.0610000000006,-3928.565600000001,-1880.282,12149.3294,10391.8249
75676,proton,All_or_Total,4,All_or_Total,Other,Lab,5530000.0,135790.32601720677,0.122,0.0122613081991646,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",P0033,11,No Pointer,38,"38-SR-87(P,N)39-Y-87,,SIG","Excitation functions and cross sections of the (p,n) reaction  (II)",1951,J.P.Blaser+,2SWTETH,1983/09/04,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",P0033011,P0033,"(B,LEVKOVSKIJ,,,1991)",1,1,0,87Sr,Sr,49,87,I,5.538809527117042,0.1444353693845834,Other,-84880.06595,0.0051,8705.235999999999,0.0,-1861.69,1.128,86908877.49615,0.00548,19919.42,2.81,17977.68,2.0,-7314.35,0.01,-5532.93,4.15,-8903.37,0.0,-13668.29,14.14,8428.29,0.01,9422.04,0.2,-17995.26,2.86,7998.07,0.0,-257.05,2.19,3205.67,0.0,-9422.04,-8428.29,-18073.0239,-15848.4579,-20070.9149,-17371.949399999998,-17977.68,-19919.42,-7314.35,-2644.0365,-9422.04,-8428.29,-6203.724000000001,-14450.6365,-11437.625099999996,-10354.983500000002,-8121.023500000001,-9422.04,-7197.474000000001,-8428.29,-9591.228900000002,-10259.6396,-2171.0610000000006,-3928.565600000001,-1880.282,12149.3294,10391.8249
75677,proton,All_or_Total,4,All_or_Total,Other,Lab,5820000.0,142911.33768899518,0.158,0.0158793991431804,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",P0033,11,No Pointer,38,"38-SR-87(P,N)39-Y-87,,SIG","Excitation functions and cross sections of the (p,n) reaction  (II)",1951,J.P.Blaser+,2SWTETH,1983/09/04,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",P0033011,P0033,"(B,LEVKOVSKIJ,,,1991)",1,1,0,87Sr,Sr,49,87,I,5.538809527117042,0.1444353693845834,Other,-84880.06595,0.0051,8705.235999999999,0.0,-1861.69,1.128,86908877.49615,0.00548,19919.42,2.81,17977.68,2.0,-7314.35,0.01,-5532.93,4.15,-8903.37,0.0,-13668.29,14.14,8428.29,0.01,9422.04,0.2,-17995.26,2.86,7998.07,0.0,-257.05,2.19,3205.67,0.0,-9422.04,-8428.29,-18073.0239,-15848.4579,-20070.9149,-17371.949399999998,-17977.68,-19919.42,-7314.35,-2644.0365,-9422.04,-8428.29,-6203.724000000001,-14450.6365,-11437.625099999996,-10354.983500000002,-8121.023500000001,-9422.04,-7197.474000000001,-8428.29,-9591.228900000002,-10259.6396,-2171.0610000000006,-3928.565600000001,-1880.282,12149.3294,10391.8249
75678,proton,All_or_Total,4,All_or_Total,Other,Lab,6080000.0,149295.69298094342,0.216,0.0217085456640947,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",P0033,11,No Pointer,38,"38-SR-87(P,N)39-Y-87,,SIG","Excitation functions and cross sections of the (p,n) reaction  (II)",1951,J.P.Blaser+,2SWTETH,1983/09/04,"Book. Levkovskij,Act.Cs.By Protons and Alphas,Moscow 1991",P0033011,P0033,"(B,LEVKOVSKIJ,,,1991)",1,1,0,87Sr,Sr,49,87,I,5.538809527117042,0.1444353693845834,Other,-84880.06595,0.0051,8705.235999999999,0.0,-1861.69,1.128,86908877.49615,0.00548,19919.42,2.81,17977.68,2.0,-7314.35,0.01,-5532.93,4.15,-8903.37,0.0,-13668.29,14.14,8428.29,0.01,9422.04,0.2,-17995.26,2.86,7998.07,0.0,-257.05,2.19,3205.67,0.0,-9422.04,-8428.29,-18073.0239,-15848.4579,-20070.9149,-17371.949399999998,-17977.68,-19919.42,-7314.35,-2644.0365,-9422.04,-8428.29,-6203.724000000001,-14450.6365,-11437.625099999996,-10354.983500000002,-8121.023500000001,-9422.04,-7197.474000000001,-8428.29,-9591.228900000002,-10259.6396,-2171.0610000000006,-3928.565600000001,-1880.282,12149.3294,10391.8249
