,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
76716,proton,All_or_Total,3,All_or_Total,Other,Lab,60000000.0,1086887.1289343885,0.98,0.129,0.0,0.0,Other,"A.A.Caretto,ET.AL. (59)  ",C1299,25,No Pointer,39,"39-Y-89(P,NON),,SIG",Interaction of Yttrium with Protons of Energy between 60 and 240 Mev,1959,A.A.Caretto+,1USAROC,2009/10/04,"Jour. Helvetica Physica Acta Vol.24, p.441, 1951",C1299025,C1299,"(J,HPA,24,441,1951)",1,1,0,89Y,Y,50,89,I,5.580931369480672,0.143345249571568,Other,-87708.352,1.612,8713.978000000001,0.018,-2832.792,2.776,88905841.205,1.73,20832.61,1.97,17688.5,1.61,-7965.94,1.61,-7083.14,23.67,-12388.33,1.62,-12150.8,5.64,11480.65,2.2,7075.71,1.61,-20313.5,4.15,7882.52,1.61,1678.79,1.61,685.04,1.62,-7075.71,-11480.65,-18188.5739,-15964.0079,-18135.0749,-19892.5794,-17688.5,-20832.61,-7965.94,-3615.1385,-7075.71,-11480.65,-9256.084,-12933.1465,-12350.8151,-10470.5335,-11605.9835,-7075.71,-4851.144,-11480.65,-9706.7789,-9970.4596,-5223.420999999999,-1582.2356,-2851.384,9096.9694,12738.1549
76717,proton,All_or_Total,3,All_or_Total,Other,Lab,100000000.0,1811478.5482239805,0.502,0.064,0.0,0.0,Other,"A.A.Caretto,ET.AL. (59)  ",C1299,25,No Pointer,39,"39-Y-89(P,NON),,SIG",Interaction of Yttrium with Protons of Energy between 60 and 240 Mev,1959,A.A.Caretto+,1USAROC,2009/10/04,"Jour. Helvetica Physica Acta Vol.24, p.441, 1951",C1299025,C1299,"(J,HPA,24,441,1951)",1,1,0,89Y,Y,50,89,I,5.580931369480672,0.143345249571568,Other,-87708.352,1.612,8713.978000000001,0.018,-2832.792,2.776,88905841.205,1.73,20832.61,1.97,17688.5,1.61,-7965.94,1.61,-7083.14,23.67,-12388.33,1.62,-12150.8,5.64,11480.65,2.2,7075.71,1.61,-20313.5,4.15,7882.52,1.61,1678.79,1.61,685.04,1.62,-7075.71,-11480.65,-18188.5739,-15964.0079,-18135.0749,-19892.5794,-17688.5,-20832.61,-7965.94,-3615.1385,-7075.71,-11480.65,-9256.084,-12933.1465,-12350.8151,-10470.5335,-11605.9835,-7075.71,-4851.144,-11480.65,-9706.7789,-9970.4596,-5223.420999999999,-1582.2356,-2851.384,9096.9694,12738.1549
76718,proton,All_or_Total,3,All_or_Total,Other,Lab,150000000.0,2717217.8223359706,0.316,0.046,0.0,0.0,Other,"A.A.Caretto,ET.AL. (59)  ",C1299,25,No Pointer,39,"39-Y-89(P,NON),,SIG",Interaction of Yttrium with Protons of Energy between 60 and 240 Mev,1959,A.A.Caretto+,1USAROC,2009/10/04,"Jour. Helvetica Physica Acta Vol.24, p.441, 1951",C1299025,C1299,"(J,HPA,24,441,1951)",1,1,0,89Y,Y,50,89,I,5.580931369480672,0.143345249571568,Other,-87708.352,1.612,8713.978000000001,0.018,-2832.792,2.776,88905841.205,1.73,20832.61,1.97,17688.5,1.61,-7965.94,1.61,-7083.14,23.67,-12388.33,1.62,-12150.8,5.64,11480.65,2.2,7075.71,1.61,-20313.5,4.15,7882.52,1.61,1678.79,1.61,685.04,1.62,-7075.71,-11480.65,-18188.5739,-15964.0079,-18135.0749,-19892.5794,-17688.5,-20832.61,-7965.94,-3615.1385,-7075.71,-11480.65,-9256.084,-12933.1465,-12350.8151,-10470.5335,-11605.9835,-7075.71,-4851.144,-11480.65,-9706.7789,-9970.4596,-5223.420999999999,-1582.2356,-2851.384,9096.9694,12738.1549
76719,proton,All_or_Total,3,All_or_Total,Other,Lab,180000000.0,3260661.386803165,0.428,0.07,0.0,0.0,Other,"A.A.Caretto,ET.AL. (59)  ",C1299,25,No Pointer,39,"39-Y-89(P,NON),,SIG",Interaction of Yttrium with Protons of Energy between 60 and 240 Mev,1959,A.A.Caretto+,1USAROC,2009/10/04,"Jour. Helvetica Physica Acta Vol.24, p.441, 1951",C1299025,C1299,"(J,HPA,24,441,1951)",1,1,0,89Y,Y,50,89,I,5.580931369480672,0.143345249571568,Other,-87708.352,1.612,8713.978000000001,0.018,-2832.792,2.776,88905841.205,1.73,20832.61,1.97,17688.5,1.61,-7965.94,1.61,-7083.14,23.67,-12388.33,1.62,-12150.8,5.64,11480.65,2.2,7075.71,1.61,-20313.5,4.15,7882.52,1.61,1678.79,1.61,685.04,1.62,-7075.71,-11480.65,-18188.5739,-15964.0079,-18135.0749,-19892.5794,-17688.5,-20832.61,-7965.94,-3615.1385,-7075.71,-11480.65,-9256.084,-12933.1465,-12350.8151,-10470.5335,-11605.9835,-7075.71,-4851.144,-11480.65,-9706.7789,-9970.4596,-5223.420999999999,-1582.2356,-2851.384,9096.9694,12738.1549
76720,proton,All_or_Total,3,All_or_Total,Other,Lab,240000000.0,4347548.515737553,0.379,0.074,0.0,0.0,Other,"A.A.Caretto,ET.AL. (59)  ",C1299,25,No Pointer,39,"39-Y-89(P,NON),,SIG",Interaction of Yttrium with Protons of Energy between 60 and 240 Mev,1959,A.A.Caretto+,1USAROC,2009/10/04,"Jour. Helvetica Physica Acta Vol.24, p.441, 1951",C1299025,C1299,"(J,HPA,24,441,1951)",1,1,0,89Y,Y,50,89,I,5.580931369480672,0.143345249571568,Other,-87708.352,1.612,8713.978000000001,0.018,-2832.792,2.776,88905841.205,1.73,20832.61,1.97,17688.5,1.61,-7965.94,1.61,-7083.14,23.67,-12388.33,1.62,-12150.8,5.64,11480.65,2.2,7075.71,1.61,-20313.5,4.15,7882.52,1.61,1678.79,1.61,685.04,1.62,-7075.71,-11480.65,-18188.5739,-15964.0079,-18135.0749,-19892.5794,-17688.5,-20832.61,-7965.94,-3615.1385,-7075.71,-11480.65,-9256.084,-12933.1465,-12350.8151,-10470.5335,-11605.9835,-7075.71,-4851.144,-11480.65,-9706.7789,-9970.4596,-5223.420999999999,-1582.2356,-2851.384,9096.9694,12738.1549
76721,proton,All_or_Total,4,Ground,Other,Lab,3550000.0,87171.0049477548,7e-06,7.035176835586263e-07,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",P0033,12,No Pointer,39,"39-Y-89(P,N)40-ZR-89-G,,SIG","Excitation functions and cross sections of the (p,n) reaction  (II)",1951,J.P.Blaser+,2SWTETH,1983/09/04,"Jour. Nuclear Physics, Section A Vol.107, p.21, 1968",P0033012,P0033,"(J,NP/A,107,21,1968)",1,1,0,89Y,Y,50,89,I,5.580931369480672,0.143345249571568,Other,-87708.352,1.612,8713.978000000001,0.018,-2832.792,2.776,88905841.205,1.73,20832.61,1.97,17688.5,1.61,-7965.94,1.61,-7083.14,23.67,-12388.33,1.62,-12150.8,5.64,11480.65,2.2,7075.71,1.61,-20313.5,4.15,7882.52,1.61,1678.79,1.61,685.04,1.62,-7075.71,-11480.65,-18188.5739,-15964.0079,-18135.0749,-19892.5794,-17688.5,-20832.61,-7965.94,-3615.1385,-7075.71,-11480.65,-9256.084,-12933.1465,-12350.8151,-10470.5335,-11605.9835,-7075.71,-4851.144,-11480.65,-9706.7789,-9970.4596,-5223.420999999999,-1582.2356,-2851.384,9096.9694,12738.1549
76722,proton,All_or_Total,4,Ground,Other,Lab,3800000.0,93309.80811308965,0.000499,5.0150760585107786e-05,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",P0033,12,No Pointer,39,"39-Y-89(P,N)40-ZR-89-G,,SIG","Excitation functions and cross sections of the (p,n) reaction  (II)",1951,J.P.Blaser+,2SWTETH,1983/09/04,"Jour. Nuclear Physics, Section A Vol.107, p.21, 1968",P0033012,P0033,"(J,NP/A,107,21,1968)",1,1,0,89Y,Y,50,89,I,5.580931369480672,0.143345249571568,Other,-87708.352,1.612,8713.978000000001,0.018,-2832.792,2.776,88905841.205,1.73,20832.61,1.97,17688.5,1.61,-7965.94,1.61,-7083.14,23.67,-12388.33,1.62,-12150.8,5.64,11480.65,2.2,7075.71,1.61,-20313.5,4.15,7882.52,1.61,1678.79,1.61,685.04,1.62,-7075.71,-11480.65,-18188.5739,-15964.0079,-18135.0749,-19892.5794,-17688.5,-20832.61,-7965.94,-3615.1385,-7075.71,-11480.65,-9256.084,-12933.1465,-12350.8151,-10470.5335,-11605.9835,-7075.71,-4851.144,-11480.65,-9706.7789,-9970.4596,-5223.420999999999,-1582.2356,-2851.384,9096.9694,12738.1549
76723,proton,All_or_Total,4,Ground,Other,Lab,4250000.0,104359.65381069235,0.00391,0.0003929648775306,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",P0033,12,No Pointer,39,"39-Y-89(P,N)40-ZR-89-G,,SIG","Excitation functions and cross sections of the (p,n) reaction  (II)",1951,J.P.Blaser+,2SWTETH,1983/09/04,"Jour. Nuclear Physics, Section A Vol.107, p.21, 1968",P0033012,P0033,"(J,NP/A,107,21,1968)",1,1,0,89Y,Y,50,89,I,5.580931369480672,0.143345249571568,Other,-87708.352,1.612,8713.978000000001,0.018,-2832.792,2.776,88905841.205,1.73,20832.61,1.97,17688.5,1.61,-7965.94,1.61,-7083.14,23.67,-12388.33,1.62,-12150.8,5.64,11480.65,2.2,7075.71,1.61,-20313.5,4.15,7882.52,1.61,1678.79,1.61,685.04,1.62,-7075.71,-11480.65,-18188.5739,-15964.0079,-18135.0749,-19892.5794,-17688.5,-20832.61,-7965.94,-3615.1385,-7075.71,-11480.65,-9256.084,-12933.1465,-12350.8151,-10470.5335,-11605.9835,-7075.71,-4851.144,-11480.65,-9706.7789,-9970.4596,-5223.420999999999,-1582.2356,-2851.384,9096.9694,12738.1549
76724,proton,All_or_Total,4,Ground,Other,Lab,4670000.0,114672.8431284549,0.0182,0.0018291459772524,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",P0033,12,No Pointer,39,"39-Y-89(P,N)40-ZR-89-G,,SIG","Excitation functions and cross sections of the (p,n) reaction  (II)",1951,J.P.Blaser+,2SWTETH,1983/09/04,"Jour. Nuclear Physics, Section A Vol.107, p.21, 1968",P0033012,P0033,"(J,NP/A,107,21,1968)",1,1,0,89Y,Y,50,89,I,5.580931369480672,0.143345249571568,Other,-87708.352,1.612,8713.978000000001,0.018,-2832.792,2.776,88905841.205,1.73,20832.61,1.97,17688.5,1.61,-7965.94,1.61,-7083.14,23.67,-12388.33,1.62,-12150.8,5.64,11480.65,2.2,7075.71,1.61,-20313.5,4.15,7882.52,1.61,1678.79,1.61,685.04,1.62,-7075.71,-11480.65,-18188.5739,-15964.0079,-18135.0749,-19892.5794,-17688.5,-20832.61,-7965.94,-3615.1385,-7075.71,-11480.65,-9256.084,-12933.1465,-12350.8151,-10470.5335,-11605.9835,-7075.71,-4851.144,-11480.65,-9706.7789,-9970.4596,-5223.420999999999,-1582.2356,-2851.384,9096.9694,12738.1549
76725,proton,All_or_Total,4,Ground,Other,Lab,5070000.0,124494.92819299066,0.0418,0.0042010055961072,0.0,0.0,Other,"J.P.Blaser,ET.AL. (51)   ",P0033,12,No Pointer,39,"39-Y-89(P,N)40-ZR-89-G,,SIG","Excitation functions and cross sections of the (p,n) reaction  (II)",1951,J.P.Blaser+,2SWTETH,1983/09/04,"Jour. Nuclear Physics, Section A Vol.107, p.21, 1968",P0033012,P0033,"(J,NP/A,107,21,1968)",1,1,0,89Y,Y,50,89,I,5.580931369480672,0.143345249571568,Other,-87708.352,1.612,8713.978000000001,0.018,-2832.792,2.776,88905841.205,1.73,20832.61,1.97,17688.5,1.61,-7965.94,1.61,-7083.14,23.67,-12388.33,1.62,-12150.8,5.64,11480.65,2.2,7075.71,1.61,-20313.5,4.15,7882.52,1.61,1678.79,1.61,685.04,1.62,-7075.71,-11480.65,-18188.5739,-15964.0079,-18135.0749,-19892.5794,-17688.5,-20832.61,-7965.94,-3615.1385,-7075.71,-11480.65,-9256.084,-12933.1465,-12350.8151,-10470.5335,-11605.9835,-7075.71,-4851.144,-11480.65,-9706.7789,-9970.4596,-5223.420999999999,-1582.2356,-2851.384,9096.9694,12738.1549
