,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
82928,proton,All_or_Total,3,All_or_Total,Other,Lab,10170000.0,450000.0,0.703,0.068,0.0,0.0,Other,"B.D.WILKINS,ET.AL. (63)  ",O0741,10,No Pointer,41,"41-NB-93(P,NON),,SIG",10-MeV Proton Reaction Cross Sections For Several Elements.,1963,B.D.Wilkins+,1USALRL,2000/04/04,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",O0741010,O0741,"(J,CJP,44,1847,66)",1,1,0,93Nb,Nb,52,93,I,5.663318620104365,0.1412599314402087,Other,-87212.838,1.491,8664.184000000001,0.016,-405.769,1.501,92906373.161,1.6,16717.47,3.28,15439.48,2.37,-1929.4,2.2,-3606.73,1.8,-9685.32,9.25,-8475.58,1.5,8830.86,1.99,6042.78,1.49,-18201.04,3.02,11393.53,1.49,6423.75,1.5,4927.62,2.19,-6042.78,-8830.86,-14677.5639,-12452.9979,-13390.1149,-15649.9994,-15439.48,-16717.47,-1929.4,-1188.1155,-6042.78,-8830.86,-6606.294000000001,-9257.9265,-8235.6751,-6959.523500000001,-8902.9735,-6042.78,-3818.214,-8830.86,-6195.768900000001,-7721.4396,-2573.6310000000008,-549.3055999999997,-424.361,11746.7594,13771.084900000002
82929,proton,All_or_Total,3,All_or_Total,Other,Lab,9950000.0,550000.0,0.723,0.068,0.0,0.0,Other,"B.D.WILKINS,ET.AL. (63)  ",O0741,10,No Pointer,41,"41-NB-93(P,NON),,SIG",10-MeV Proton Reaction Cross Sections For Several Elements.,1963,B.D.Wilkins+,1USALRL,2000/04/04,"Jour. Canadian Journal of Physics Vol.44, p.1847, 1966",O0741010,O0741,"(J,CJP,44,1847,66)",1,1,0,93Nb,Nb,52,93,I,5.663318620104365,0.1412599314402087,Other,-87212.838,1.491,8664.184000000001,0.016,-405.769,1.501,92906373.161,1.6,16717.47,3.28,15439.48,2.37,-1929.4,2.2,-3606.73,1.8,-9685.32,9.25,-8475.58,1.5,8830.86,1.99,6042.78,1.49,-18201.04,3.02,11393.53,1.49,6423.75,1.5,4927.62,2.19,-6042.78,-8830.86,-14677.5639,-12452.9979,-13390.1149,-15649.9994,-15439.48,-16717.47,-1929.4,-1188.1155,-6042.78,-8830.86,-6606.294000000001,-9257.9265,-8235.6751,-6959.523500000001,-8902.9735,-6042.78,-3818.214,-8830.86,-6195.768900000001,-7721.4396,-2573.6310000000008,-549.3055999999997,-424.361,11746.7594,13771.084900000002
82930,proton,All_or_Total,3,All_or_Total,Other,Lab,98800000.0,1789740.8056452926,1.094,0.030632,0.0,0.0,Other,"P.KIRKBY,ET.AL. (66)     ",O0340,17,No Pointer,41,"41-NB-93(P,NON),,SIG,,,EXP",Faraday-Cup Measurement of Proton Total Reaction Cross Sections at 100 MeV.,1966,P.Kirkby+,1CANMCG,1997/06/05,"Jour. Zeitschrift fuer Physik A, Hadrons and Nuclei Vol.340, p.325, 1991",O0340017,O0340,"(J,ZP/A,340,325,1991)",1,1,0,93Nb,Nb,52,93,I,5.663318620104365,0.1412599314402087,Other,-87212.838,1.491,8664.184000000001,0.016,-405.769,1.501,92906373.161,1.6,16717.47,3.28,15439.48,2.37,-1929.4,2.2,-3606.73,1.8,-9685.32,9.25,-8475.58,1.5,8830.86,1.99,6042.78,1.49,-18201.04,3.02,11393.53,1.49,6423.75,1.5,4927.62,2.19,-6042.78,-8830.86,-14677.5639,-12452.9979,-13390.1149,-15649.9994,-15439.48,-16717.47,-1929.4,-1188.1155,-6042.78,-8830.86,-6606.294000000001,-9257.9265,-8235.6751,-6959.523500000001,-8902.9735,-6042.78,-3818.214,-8830.86,-6195.768900000001,-7721.4396,-2573.6310000000008,-549.3055999999997,-424.361,11746.7594,13771.084900000002
82931,proton,All_or_Total,3,All_or_Total,Other,Lab,800000000.0,14491828.385791844,0.89,0.018,0.0,0.0,Other,"M.Trzaska,ET.AL. (91)    ",O0837,6,No Pointer,41,"41-NB-93(P,NON),,SIG",Excitation of the delta (1232)-resonance in proton- nucleus collisions.,1991,M.Trzaska+,2GERHEI,2010/04/04,"Jour. Physical Review Vol.109, p.1243, 1958",O0837006,O0837,"(J,PR,109,1243,1958)",1,1,0,93Nb,Nb,52,93,I,5.663318620104365,0.1412599314402087,Other,-87212.838,1.491,8664.184000000001,0.016,-405.769,1.501,92906373.161,1.6,16717.47,3.28,15439.48,2.37,-1929.4,2.2,-3606.73,1.8,-9685.32,9.25,-8475.58,1.5,8830.86,1.99,6042.78,1.49,-18201.04,3.02,11393.53,1.49,6423.75,1.5,4927.62,2.19,-6042.78,-8830.86,-14677.5639,-12452.9979,-13390.1149,-15649.9994,-15439.48,-16717.47,-1929.4,-1188.1155,-6042.78,-8830.86,-6606.294000000001,-9257.9265,-8235.6751,-6959.523500000001,-8902.9735,-6042.78,-3818.214,-8830.86,-6195.768900000001,-7721.4396,-2573.6310000000008,-549.3055999999997,-424.361,11746.7594,13771.084900000002
82932,proton,All_or_Total,3,All_or_Total,Other,Lab,1600000000.0,28983656.771583688,1.009,0.02,0.0,0.0,Other,"M.Trzaska,ET.AL. (91)    ",O0837,6,No Pointer,41,"41-NB-93(P,NON),,SIG",Excitation of the delta (1232)-resonance in proton- nucleus collisions.,1991,M.Trzaska+,2GERHEI,2010/04/04,"Jour. Physical Review Vol.109, p.1243, 1958",O0837006,O0837,"(J,PR,109,1243,1958)",1,1,0,93Nb,Nb,52,93,I,5.663318620104365,0.1412599314402087,Other,-87212.838,1.491,8664.184000000001,0.016,-405.769,1.501,92906373.161,1.6,16717.47,3.28,15439.48,2.37,-1929.4,2.2,-3606.73,1.8,-9685.32,9.25,-8475.58,1.5,8830.86,1.99,6042.78,1.49,-18201.04,3.02,11393.53,1.49,6423.75,1.5,4927.62,2.19,-6042.78,-8830.86,-14677.5639,-12452.9979,-13390.1149,-15649.9994,-15439.48,-16717.47,-1929.4,-1188.1155,-6042.78,-8830.86,-6606.294000000001,-9257.9265,-8235.6751,-6959.523500000001,-8902.9735,-6042.78,-3818.214,-8830.86,-6195.768900000001,-7721.4396,-2573.6310000000008,-549.3055999999997,-424.361,11746.7594,13771.084900000002
82933,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1265000.0,31062.344016594318,1e-09,6e-10,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,13,No Pointer,41,"41-NB-93(P,N)42-MO-93,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Physical Review Vol.136, p.B1719, 1964",T0122013,T0122,"(J,PR,136,B1719,196412)",1,1,0,93Nb,Nb,52,93,I,5.663318620104365,0.1412599314402087,Other,-87212.838,1.491,8664.184000000001,0.016,-405.769,1.501,92906373.161,1.6,16717.47,3.28,15439.48,2.37,-1929.4,2.2,-3606.73,1.8,-9685.32,9.25,-8475.58,1.5,8830.86,1.99,6042.78,1.49,-18201.04,3.02,11393.53,1.49,6423.75,1.5,4927.62,2.19,-6042.78,-8830.86,-14677.5639,-12452.9979,-13390.1149,-15649.9994,-15439.48,-16717.47,-1929.4,-1188.1155,-6042.78,-8830.86,-6606.294000000001,-9257.9265,-8235.6751,-6959.523500000001,-8902.9735,-6042.78,-3818.214,-8830.86,-6195.768900000001,-7721.4396,-2573.6310000000008,-549.3055999999997,-424.361,11746.7594,13771.084900000002
82934,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1307000.0,32093.66294837057,2.7e-09,9.3e-10,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,13,No Pointer,41,"41-NB-93(P,N)42-MO-93,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Physical Review Vol.136, p.B1719, 1964",T0122013,T0122,"(J,PR,136,B1719,196412)",1,1,0,93Nb,Nb,52,93,I,5.663318620104365,0.1412599314402087,Other,-87212.838,1.491,8664.184000000001,0.016,-405.769,1.501,92906373.161,1.6,16717.47,3.28,15439.48,2.37,-1929.4,2.2,-3606.73,1.8,-9685.32,9.25,-8475.58,1.5,8830.86,1.99,6042.78,1.49,-18201.04,3.02,11393.53,1.49,6423.75,1.5,4927.62,2.19,-6042.78,-8830.86,-14677.5639,-12452.9979,-13390.1149,-15649.9994,-15439.48,-16717.47,-1929.4,-1188.1155,-6042.78,-8830.86,-6606.294000000001,-9257.9265,-8235.6751,-6959.523500000001,-8902.9735,-6042.78,-3818.214,-8830.86,-6195.768900000001,-7721.4396,-2573.6310000000008,-549.3055999999997,-424.361,11746.7594,13771.084900000002
82935,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1343000.0,32977.65060417879,5.8e-09,3.6e-09,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,13,No Pointer,41,"41-NB-93(P,N)42-MO-93,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Physical Review Vol.136, p.B1719, 1964",T0122013,T0122,"(J,PR,136,B1719,196412)",1,1,0,93Nb,Nb,52,93,I,5.663318620104365,0.1412599314402087,Other,-87212.838,1.491,8664.184000000001,0.016,-405.769,1.501,92906373.161,1.6,16717.47,3.28,15439.48,2.37,-1929.4,2.2,-3606.73,1.8,-9685.32,9.25,-8475.58,1.5,8830.86,1.99,6042.78,1.49,-18201.04,3.02,11393.53,1.49,6423.75,1.5,4927.62,2.19,-6042.78,-8830.86,-14677.5639,-12452.9979,-13390.1149,-15649.9994,-15439.48,-16717.47,-1929.4,-1188.1155,-6042.78,-8830.86,-6606.294000000001,-9257.9265,-8235.6751,-6959.523500000001,-8902.9735,-6042.78,-3818.214,-8830.86,-6195.768900000001,-7721.4396,-2573.6310000000008,-549.3055999999997,-424.361,11746.7594,13771.084900000002
82936,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1352000.0,33198.64751813084,7.3e-09,1.2e-09,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,13,No Pointer,41,"41-NB-93(P,N)42-MO-93,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Physical Review Vol.136, p.B1719, 1964",T0122013,T0122,"(J,PR,136,B1719,196412)",1,1,0,93Nb,Nb,52,93,I,5.663318620104365,0.1412599314402087,Other,-87212.838,1.491,8664.184000000001,0.016,-405.769,1.501,92906373.161,1.6,16717.47,3.28,15439.48,2.37,-1929.4,2.2,-3606.73,1.8,-9685.32,9.25,-8475.58,1.5,8830.86,1.99,6042.78,1.49,-18201.04,3.02,11393.53,1.49,6423.75,1.5,4927.62,2.19,-6042.78,-8830.86,-14677.5639,-12452.9979,-13390.1149,-15649.9994,-15439.48,-16717.47,-1929.4,-1188.1155,-6042.78,-8830.86,-6606.294000000001,-9257.9265,-8235.6751,-6959.523500000001,-8902.9735,-6042.78,-3818.214,-8830.86,-6195.768900000001,-7721.4396,-2573.6310000000008,-549.3055999999997,-424.361,11746.7594,13771.084900000002
82937,proton,All_or_Total,4,All_or_Total,Approved_by_Author,Lab,1377000.0,33812.527834664324,1.6e-08,5.7e-09,0.0,0.0,Other,"C.H.JOHNSON,ET.AL. (58)  ",T0122,13,No Pointer,41,"41-NB-93(P,N)42-MO-93,,SIG","Proton Strength Functions from (p,n) Cross Sections",1958,C.H.Johnson+,1USAORL,2000/11/01,"Jour. Physical Review Vol.136, p.B1719, 1964",T0122013,T0122,"(J,PR,136,B1719,196412)",1,1,0,93Nb,Nb,52,93,I,5.663318620104365,0.1412599314402087,Other,-87212.838,1.491,8664.184000000001,0.016,-405.769,1.501,92906373.161,1.6,16717.47,3.28,15439.48,2.37,-1929.4,2.2,-3606.73,1.8,-9685.32,9.25,-8475.58,1.5,8830.86,1.99,6042.78,1.49,-18201.04,3.02,11393.53,1.49,6423.75,1.5,4927.62,2.19,-6042.78,-8830.86,-14677.5639,-12452.9979,-13390.1149,-15649.9994,-15439.48,-16717.47,-1929.4,-1188.1155,-6042.78,-8830.86,-6606.294000000001,-9257.9265,-8235.6751,-6959.523500000001,-8902.9735,-6042.78,-3818.214,-8830.86,-6195.768900000001,-7721.4396,-2573.6310000000008,-549.3055999999997,-424.361,11746.7594,13771.084900000002
