,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
90981,proton,All_or_Total,4,M,Other,Lab,4870000.0,119583.88566072278,0.0281,0.0028241209868567,0.0,0.0,Other,"E.A.Skakun,ET.AL. (97)   ",A0655,3,No Pointer,44,"44-RU-99(P,N)45-RH-99-M,,SIG","Excitation functions of (p,n) reactions on 99-Ru, 100-Ru, 101-Ru and 102-Ru.  101-m-Rh production.",1997,E.A.Skakun+,4UKRKFT,2016/03/04,"Conf. Conf.on Nucl.Data for Sci.and Techn., Trieste 1997 Vol.2, p.1649, 1997",A0655003,A0655,"(C,97TRIEST,2,1649,1997)",1,1,0,99Ru,Ru,55,99,I,5.782581261478427,0.1383465210129126,Other,-87625.381,0.344,8608.712,0.003,-2044.081,6.69,98905930.278,0.369,17647.46,2.78,14658.63,0.38,-2338.44,0.36,-5442.73,4.99,-6798.38,0.38,-12521.49,11.91,7471.84,6.47,8482.15,3.39,-17694.26,1.62,10309.85,4.13,3060.31,5.16,6815.9,0.36,-8482.15,-7471.84,-15761.2439,-13536.6779,-16753.5549,-13761.7194,-14658.63,-17647.46,-2338.44,-2826.4275,-8482.15,-7471.84,-5247.274,-13303.8365,-9165.665099999998,-8043.203500000001,-6016.033500000001,-8482.15,-6257.584,-7471.84,-7279.448900000001,-6940.589599999998,-1214.611,-2988.6756,-2062.673,13105.7794,11331.7149
90982,proton,All_or_Total,4,M,Other,Lab,5960000.0,146349.0674615827,0.0932,0.0093668354439519,0.0,0.0,Other,"E.A.Skakun,ET.AL. (97)   ",A0655,3,No Pointer,44,"44-RU-99(P,N)45-RH-99-M,,SIG","Excitation functions of (p,n) reactions on 99-Ru, 100-Ru, 101-Ru and 102-Ru.  101-m-Rh production.",1997,E.A.Skakun+,4UKRKFT,2016/03/04,"Conf. Conf.on Nucl.Data for Sci.and Techn., Trieste 1997 Vol.2, p.1649, 1997",A0655003,A0655,"(C,97TRIEST,2,1649,1997)",1,1,0,99Ru,Ru,55,99,I,5.782581261478427,0.1383465210129126,Other,-87625.381,0.344,8608.712,0.003,-2044.081,6.69,98905930.278,0.369,17647.46,2.78,14658.63,0.38,-2338.44,0.36,-5442.73,4.99,-6798.38,0.38,-12521.49,11.91,7471.84,6.47,8482.15,3.39,-17694.26,1.62,10309.85,4.13,3060.31,5.16,6815.9,0.36,-8482.15,-7471.84,-15761.2439,-13536.6779,-16753.5549,-13761.7194,-14658.63,-17647.46,-2338.44,-2826.4275,-8482.15,-7471.84,-5247.274,-13303.8365,-9165.665099999998,-8043.203500000001,-6016.033500000001,-8482.15,-6257.584,-7471.84,-7279.448900000001,-6940.589599999998,-1214.611,-2988.6756,-2062.673,13105.7794,11331.7149
90983,proton,All_or_Total,4,M,Other,Lab,6900000.0,169430.9673632417,0.223,0.0224120633476533,0.0,0.0,Other,"E.A.Skakun,ET.AL. (97)   ",A0655,3,No Pointer,44,"44-RU-99(P,N)45-RH-99-M,,SIG","Excitation functions of (p,n) reactions on 99-Ru, 100-Ru, 101-Ru and 102-Ru.  101-m-Rh production.",1997,E.A.Skakun+,4UKRKFT,2016/03/04,"Conf. Conf.on Nucl.Data for Sci.and Techn., Trieste 1997 Vol.2, p.1649, 1997",A0655003,A0655,"(C,97TRIEST,2,1649,1997)",1,1,0,99Ru,Ru,55,99,I,5.782581261478427,0.1383465210129126,Other,-87625.381,0.344,8608.712,0.003,-2044.081,6.69,98905930.278,0.369,17647.46,2.78,14658.63,0.38,-2338.44,0.36,-5442.73,4.99,-6798.38,0.38,-12521.49,11.91,7471.84,6.47,8482.15,3.39,-17694.26,1.62,10309.85,4.13,3060.31,5.16,6815.9,0.36,-8482.15,-7471.84,-15761.2439,-13536.6779,-16753.5549,-13761.7194,-14658.63,-17647.46,-2338.44,-2826.4275,-8482.15,-7471.84,-5247.274,-13303.8365,-9165.665099999998,-8043.203500000001,-6016.033500000001,-8482.15,-6257.584,-7471.84,-7279.448900000001,-6940.589599999998,-1214.611,-2988.6756,-2062.673,13105.7794,11331.7149
90984,proton,All_or_Total,4,M,Other,Lab,7950000.0,195213.94065764805,0.306,0.0307537730241342,0.0,0.0,Other,"E.A.Skakun,ET.AL. (97)   ",A0655,3,No Pointer,44,"44-RU-99(P,N)45-RH-99-M,,SIG","Excitation functions of (p,n) reactions on 99-Ru, 100-Ru, 101-Ru and 102-Ru.  101-m-Rh production.",1997,E.A.Skakun+,4UKRKFT,2016/03/04,"Conf. Conf.on Nucl.Data for Sci.and Techn., Trieste 1997 Vol.2, p.1649, 1997",A0655003,A0655,"(C,97TRIEST,2,1649,1997)",1,1,0,99Ru,Ru,55,99,I,5.782581261478427,0.1383465210129126,Other,-87625.381,0.344,8608.712,0.003,-2044.081,6.69,98905930.278,0.369,17647.46,2.78,14658.63,0.38,-2338.44,0.36,-5442.73,4.99,-6798.38,0.38,-12521.49,11.91,7471.84,6.47,8482.15,3.39,-17694.26,1.62,10309.85,4.13,3060.31,5.16,6815.9,0.36,-8482.15,-7471.84,-15761.2439,-13536.6779,-16753.5549,-13761.7194,-14658.63,-17647.46,-2338.44,-2826.4275,-8482.15,-7471.84,-5247.274,-13303.8365,-9165.665099999998,-8043.203500000001,-6016.033500000001,-8482.15,-6257.584,-7471.84,-7279.448900000001,-6940.589599999998,-1214.611,-2988.6756,-2062.673,13105.7794,11331.7149
90985,proton,All_or_Total,4,M,Other,Lab,8860000.0,217559.1841794669,0.342,0.03437186396815,0.0,0.0,Other,"E.A.Skakun,ET.AL. (97)   ",A0655,3,No Pointer,44,"44-RU-99(P,N)45-RH-99-M,,SIG","Excitation functions of (p,n) reactions on 99-Ru, 100-Ru, 101-Ru and 102-Ru.  101-m-Rh production.",1997,E.A.Skakun+,4UKRKFT,2016/03/04,"Conf. Conf.on Nucl.Data for Sci.and Techn., Trieste 1997 Vol.2, p.1649, 1997",A0655003,A0655,"(C,97TRIEST,2,1649,1997)",1,1,0,99Ru,Ru,55,99,I,5.782581261478427,0.1383465210129126,Other,-87625.381,0.344,8608.712,0.003,-2044.081,6.69,98905930.278,0.369,17647.46,2.78,14658.63,0.38,-2338.44,0.36,-5442.73,4.99,-6798.38,0.38,-12521.49,11.91,7471.84,6.47,8482.15,3.39,-17694.26,1.62,10309.85,4.13,3060.31,5.16,6815.9,0.36,-8482.15,-7471.84,-15761.2439,-13536.6779,-16753.5549,-13761.7194,-14658.63,-17647.46,-2338.44,-2826.4275,-8482.15,-7471.84,-5247.274,-13303.8365,-9165.665099999998,-8043.203500000001,-6016.033500000001,-8482.15,-6257.584,-7471.84,-7279.448900000001,-6940.589599999998,-1214.611,-2988.6756,-2062.673,13105.7794,11331.7149
90986,proton,All_or_Total,4,All_or_Total,Other,Lab,4950000.0,121548.30267362992,0.0419,0.0042110558487294,0.0,0.0,Other,"E.A.Skakun,ET.AL. (97)   ",A0655,2,No Pointer,44,"44-RU-99(P,N)45-RH-99,,SIG","Excitation functions of (p,n) reactions on 99-Ru, 100-Ru, 101-Ru and 102-Ru.  101-m-Rh production.",1997,E.A.Skakun+,4UKRKFT,2016/03/04,"Jour. Physical Review Vol.100, p.1340, 1955",A0655002,A0655,"(J,PR,100,1340,1955)",1,1,0,99Ru,Ru,55,99,I,5.782581261478427,0.1383465210129126,Other,-87625.381,0.344,8608.712,0.003,-2044.081,6.69,98905930.278,0.369,17647.46,2.78,14658.63,0.38,-2338.44,0.36,-5442.73,4.99,-6798.38,0.38,-12521.49,11.91,7471.84,6.47,8482.15,3.39,-17694.26,1.62,10309.85,4.13,3060.31,5.16,6815.9,0.36,-8482.15,-7471.84,-15761.2439,-13536.6779,-16753.5549,-13761.7194,-14658.63,-17647.46,-2338.44,-2826.4275,-8482.15,-7471.84,-5247.274,-13303.8365,-9165.665099999998,-8043.203500000001,-6016.033500000001,-8482.15,-6257.584,-7471.84,-7279.448900000001,-6940.589599999998,-1214.611,-2988.6756,-2062.673,13105.7794,11331.7149
90987,proton,All_or_Total,4,All_or_Total,Other,Lab,5970000.0,146594.6195881961,0.14,0.0140703536711725,0.0,0.0,Other,"E.A.Skakun,ET.AL. (97)   ",A0655,2,No Pointer,44,"44-RU-99(P,N)45-RH-99,,SIG","Excitation functions of (p,n) reactions on 99-Ru, 100-Ru, 101-Ru and 102-Ru.  101-m-Rh production.",1997,E.A.Skakun+,4UKRKFT,2016/03/04,"Jour. Physical Review Vol.100, p.1340, 1955",A0655002,A0655,"(J,PR,100,1340,1955)",1,1,0,99Ru,Ru,55,99,I,5.782581261478427,0.1383465210129126,Other,-87625.381,0.344,8608.712,0.003,-2044.081,6.69,98905930.278,0.369,17647.46,2.78,14658.63,0.38,-2338.44,0.36,-5442.73,4.99,-6798.38,0.38,-12521.49,11.91,7471.84,6.47,8482.15,3.39,-17694.26,1.62,10309.85,4.13,3060.31,5.16,6815.9,0.36,-8482.15,-7471.84,-15761.2439,-13536.6779,-16753.5549,-13761.7194,-14658.63,-17647.46,-2338.44,-2826.4275,-8482.15,-7471.84,-5247.274,-13303.8365,-9165.665099999998,-8043.203500000001,-6016.033500000001,-8482.15,-6257.584,-7471.84,-7279.448900000001,-6940.589599999998,-1214.611,-2988.6756,-2062.673,13105.7794,11331.7149
90988,proton,All_or_Total,4,All_or_Total,Other,Lab,6970000.0,171149.83224953548,0.312,0.0313567881814702,0.0,0.0,Other,"E.A.Skakun,ET.AL. (97)   ",A0655,2,No Pointer,44,"44-RU-99(P,N)45-RH-99,,SIG","Excitation functions of (p,n) reactions on 99-Ru, 100-Ru, 101-Ru and 102-Ru.  101-m-Rh production.",1997,E.A.Skakun+,4UKRKFT,2016/03/04,"Jour. Physical Review Vol.100, p.1340, 1955",A0655002,A0655,"(J,PR,100,1340,1955)",1,1,0,99Ru,Ru,55,99,I,5.782581261478427,0.1383465210129126,Other,-87625.381,0.344,8608.712,0.003,-2044.081,6.69,98905930.278,0.369,17647.46,2.78,14658.63,0.38,-2338.44,0.36,-5442.73,4.99,-6798.38,0.38,-12521.49,11.91,7471.84,6.47,8482.15,3.39,-17694.26,1.62,10309.85,4.13,3060.31,5.16,6815.9,0.36,-8482.15,-7471.84,-15761.2439,-13536.6779,-16753.5549,-13761.7194,-14658.63,-17647.46,-2338.44,-2826.4275,-8482.15,-7471.84,-5247.274,-13303.8365,-9165.665099999998,-8043.203500000001,-6016.033500000001,-8482.15,-6257.584,-7471.84,-7279.448900000001,-6940.589599999998,-1214.611,-2988.6756,-2062.673,13105.7794,11331.7149
90989,proton,All_or_Total,4,All_or_Total,Other,Lab,7950000.0,195213.94065764805,0.426,0.0428140761708535,0.0,0.0,Other,"E.A.Skakun,ET.AL. (97)   ",A0655,2,No Pointer,44,"44-RU-99(P,N)45-RH-99,,SIG","Excitation functions of (p,n) reactions on 99-Ru, 100-Ru, 101-Ru and 102-Ru.  101-m-Rh production.",1997,E.A.Skakun+,4UKRKFT,2016/03/04,"Jour. Physical Review Vol.100, p.1340, 1955",A0655002,A0655,"(J,PR,100,1340,1955)",1,1,0,99Ru,Ru,55,99,I,5.782581261478427,0.1383465210129126,Other,-87625.381,0.344,8608.712,0.003,-2044.081,6.69,98905930.278,0.369,17647.46,2.78,14658.63,0.38,-2338.44,0.36,-5442.73,4.99,-6798.38,0.38,-12521.49,11.91,7471.84,6.47,8482.15,3.39,-17694.26,1.62,10309.85,4.13,3060.31,5.16,6815.9,0.36,-8482.15,-7471.84,-15761.2439,-13536.6779,-16753.5549,-13761.7194,-14658.63,-17647.46,-2338.44,-2826.4275,-8482.15,-7471.84,-5247.274,-13303.8365,-9165.665099999998,-8043.203500000001,-6016.033500000001,-8482.15,-6257.584,-7471.84,-7279.448900000001,-6940.589599999998,-1214.611,-2988.6756,-2062.673,13105.7794,11331.7149
90990,proton,All_or_Total,4,All_or_Total,Other,Lab,8930000.0,219278.04906576063,0.495,0.0497487504802171,0.0,0.0,Other,"E.A.Skakun,ET.AL. (97)   ",A0655,2,No Pointer,44,"44-RU-99(P,N)45-RH-99,,SIG","Excitation functions of (p,n) reactions on 99-Ru, 100-Ru, 101-Ru and 102-Ru.  101-m-Rh production.",1997,E.A.Skakun+,4UKRKFT,2016/03/04,"Jour. Physical Review Vol.100, p.1340, 1955",A0655002,A0655,"(J,PR,100,1340,1955)",1,1,0,99Ru,Ru,55,99,I,5.782581261478427,0.1383465210129126,Other,-87625.381,0.344,8608.712,0.003,-2044.081,6.69,98905930.278,0.369,17647.46,2.78,14658.63,0.38,-2338.44,0.36,-5442.73,4.99,-6798.38,0.38,-12521.49,11.91,7471.84,6.47,8482.15,3.39,-17694.26,1.62,10309.85,4.13,3060.31,5.16,6815.9,0.36,-8482.15,-7471.84,-15761.2439,-13536.6779,-16753.5549,-13761.7194,-14658.63,-17647.46,-2338.44,-2826.4275,-8482.15,-7471.84,-5247.274,-13303.8365,-9165.665099999998,-8043.203500000001,-6016.033500000001,-8482.15,-6257.584,-7471.84,-7279.448900000001,-6940.589599999998,-1214.611,-2988.6756,-2062.673,13105.7794,11331.7149
