,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
90675,proton,All_or_Total,17,All_or_Total,Other,Lab,99100000.0,500000.0,0.041,0.00615,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (92) ",O0298,2,No Pointer,43,"43-TC-99(P,3N)44-RU-97,,SIG","Excitation function and yield for Ru-97 production in Tc-99(p,3n)Ru-97 reaction in 20-100 MeV energy range.",1992,N.G.Zaitseva+,4ZZZDUB,2019/03/03,"Jour. Radiochimica Acta Vol.56, p.59, 1992",O0298002,O0298,"(J,RCA,56,59,1992)",1,1,0,99Tc,Tc,56,99,I,5.782581261478427,0.1383465210129126,Other,-87327.862,0.908,8613.61,0.009,297.519,0.946,98906249.678,0.974,16246.07,4.21,16300.03,4.34,-2966.52,1.04,-1746.56,6.75,-11092.23,5.08,-7174.32,6.52,8966.97,3.36,6500.86,0.9,-10615.39,6.33,10927.63,0.9,6331.07,0.91,3921.36,0.91,-6500.86,-8966.97,-15143.4639,-12918.897900000002,-13482.7949,-16656.2594,-16300.03,-16246.07,-2966.52,-484.8275,-6500.86,-8966.97,-6742.404,-7956.666499999998,-7764.275099999999,-7425.423500000003,-10309.8835,-6500.86,-4276.294,-8966.97,-6661.668900000002,-8581.9896,-2709.740999999999,-1007.3855999999996,278.927,11610.6494,13313.0049
90676,proton,All_or_Total,17,All_or_Total,Other,Lab,96450000.0,450000.0,0.047,0.00705,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (92) ",O0298,2,No Pointer,43,"43-TC-99(P,3N)44-RU-97,,SIG","Excitation function and yield for Ru-97 production in Tc-99(p,3n)Ru-97 reaction in 20-100 MeV energy range.",1992,N.G.Zaitseva+,4ZZZDUB,2019/03/03,"Jour. Radiochimica Acta Vol.56, p.59, 1992",O0298002,O0298,"(J,RCA,56,59,1992)",1,1,0,99Tc,Tc,56,99,I,5.782581261478427,0.1383465210129126,Other,-87327.862,0.908,8613.61,0.009,297.519,0.946,98906249.678,0.974,16246.07,4.21,16300.03,4.34,-2966.52,1.04,-1746.56,6.75,-11092.23,5.08,-7174.32,6.52,8966.97,3.36,6500.86,0.9,-10615.39,6.33,10927.63,0.9,6331.07,0.91,3921.36,0.91,-6500.86,-8966.97,-15143.4639,-12918.897900000002,-13482.7949,-16656.2594,-16300.03,-16246.07,-2966.52,-484.8275,-6500.86,-8966.97,-6742.404,-7956.666499999998,-7764.275099999999,-7425.423500000003,-10309.8835,-6500.86,-4276.294,-8966.97,-6661.668900000002,-8581.9896,-2709.740999999999,-1007.3855999999996,278.927,11610.6494,13313.0049
90677,proton,All_or_Total,17,All_or_Total,Other,Lab,93950000.0,450000.0,0.049,0.00735,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (92) ",O0298,2,No Pointer,43,"43-TC-99(P,3N)44-RU-97,,SIG","Excitation function and yield for Ru-97 production in Tc-99(p,3n)Ru-97 reaction in 20-100 MeV energy range.",1992,N.G.Zaitseva+,4ZZZDUB,2019/03/03,"Jour. Radiochimica Acta Vol.56, p.59, 1992",O0298002,O0298,"(J,RCA,56,59,1992)",1,1,0,99Tc,Tc,56,99,I,5.782581261478427,0.1383465210129126,Other,-87327.862,0.908,8613.61,0.009,297.519,0.946,98906249.678,0.974,16246.07,4.21,16300.03,4.34,-2966.52,1.04,-1746.56,6.75,-11092.23,5.08,-7174.32,6.52,8966.97,3.36,6500.86,0.9,-10615.39,6.33,10927.63,0.9,6331.07,0.91,3921.36,0.91,-6500.86,-8966.97,-15143.4639,-12918.897900000002,-13482.7949,-16656.2594,-16300.03,-16246.07,-2966.52,-484.8275,-6500.86,-8966.97,-6742.404,-7956.666499999998,-7764.275099999999,-7425.423500000003,-10309.8835,-6500.86,-4276.294,-8966.97,-6661.668900000002,-8581.9896,-2709.740999999999,-1007.3855999999996,278.927,11610.6494,13313.0049
90678,proton,All_or_Total,17,All_or_Total,Other,Lab,91400000.0,500000.0,0.052,0.0078,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (92) ",O0298,2,No Pointer,43,"43-TC-99(P,3N)44-RU-97,,SIG","Excitation function and yield for Ru-97 production in Tc-99(p,3n)Ru-97 reaction in 20-100 MeV energy range.",1992,N.G.Zaitseva+,4ZZZDUB,2019/03/03,"Jour. Radiochimica Acta Vol.56, p.59, 1992",O0298002,O0298,"(J,RCA,56,59,1992)",1,1,0,99Tc,Tc,56,99,I,5.782581261478427,0.1383465210129126,Other,-87327.862,0.908,8613.61,0.009,297.519,0.946,98906249.678,0.974,16246.07,4.21,16300.03,4.34,-2966.52,1.04,-1746.56,6.75,-11092.23,5.08,-7174.32,6.52,8966.97,3.36,6500.86,0.9,-10615.39,6.33,10927.63,0.9,6331.07,0.91,3921.36,0.91,-6500.86,-8966.97,-15143.4639,-12918.897900000002,-13482.7949,-16656.2594,-16300.03,-16246.07,-2966.52,-484.8275,-6500.86,-8966.97,-6742.404,-7956.666499999998,-7764.275099999999,-7425.423500000003,-10309.8835,-6500.86,-4276.294,-8966.97,-6661.668900000002,-8581.9896,-2709.740999999999,-1007.3855999999996,278.927,11610.6494,13313.0049
90679,proton,All_or_Total,17,All_or_Total,Other,Lab,88750000.0,450000.0,0.053,0.00795,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (92) ",O0298,2,No Pointer,43,"43-TC-99(P,3N)44-RU-97,,SIG","Excitation function and yield for Ru-97 production in Tc-99(p,3n)Ru-97 reaction in 20-100 MeV energy range.",1992,N.G.Zaitseva+,4ZZZDUB,2019/03/03,"Jour. Radiochimica Acta Vol.56, p.59, 1992",O0298002,O0298,"(J,RCA,56,59,1992)",1,1,0,99Tc,Tc,56,99,I,5.782581261478427,0.1383465210129126,Other,-87327.862,0.908,8613.61,0.009,297.519,0.946,98906249.678,0.974,16246.07,4.21,16300.03,4.34,-2966.52,1.04,-1746.56,6.75,-11092.23,5.08,-7174.32,6.52,8966.97,3.36,6500.86,0.9,-10615.39,6.33,10927.63,0.9,6331.07,0.91,3921.36,0.91,-6500.86,-8966.97,-15143.4639,-12918.897900000002,-13482.7949,-16656.2594,-16300.03,-16246.07,-2966.52,-484.8275,-6500.86,-8966.97,-6742.404,-7956.666499999998,-7764.275099999999,-7425.423500000003,-10309.8835,-6500.86,-4276.294,-8966.97,-6661.668900000002,-8581.9896,-2709.740999999999,-1007.3855999999996,278.927,11610.6494,13313.0049
90680,proton,All_or_Total,17,All_or_Total,Other,Lab,86150000.0,550000.0,0.055,0.00825,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (92) ",O0298,2,No Pointer,43,"43-TC-99(P,3N)44-RU-97,,SIG","Excitation function and yield for Ru-97 production in Tc-99(p,3n)Ru-97 reaction in 20-100 MeV energy range.",1992,N.G.Zaitseva+,4ZZZDUB,2019/03/03,"Jour. Radiochimica Acta Vol.56, p.59, 1992",O0298002,O0298,"(J,RCA,56,59,1992)",1,1,0,99Tc,Tc,56,99,I,5.782581261478427,0.1383465210129126,Other,-87327.862,0.908,8613.61,0.009,297.519,0.946,98906249.678,0.974,16246.07,4.21,16300.03,4.34,-2966.52,1.04,-1746.56,6.75,-11092.23,5.08,-7174.32,6.52,8966.97,3.36,6500.86,0.9,-10615.39,6.33,10927.63,0.9,6331.07,0.91,3921.36,0.91,-6500.86,-8966.97,-15143.4639,-12918.897900000002,-13482.7949,-16656.2594,-16300.03,-16246.07,-2966.52,-484.8275,-6500.86,-8966.97,-6742.404,-7956.666499999998,-7764.275099999999,-7425.423500000003,-10309.8835,-6500.86,-4276.294,-8966.97,-6661.668900000002,-8581.9896,-2709.740999999999,-1007.3855999999996,278.927,11610.6494,13313.0049
90681,proton,All_or_Total,17,All_or_Total,Other,Lab,83400000.0,500000.0,0.057,0.00855,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (92) ",O0298,2,No Pointer,43,"43-TC-99(P,3N)44-RU-97,,SIG","Excitation function and yield for Ru-97 production in Tc-99(p,3n)Ru-97 reaction in 20-100 MeV energy range.",1992,N.G.Zaitseva+,4ZZZDUB,2019/03/03,"Jour. Radiochimica Acta Vol.56, p.59, 1992",O0298002,O0298,"(J,RCA,56,59,1992)",1,1,0,99Tc,Tc,56,99,I,5.782581261478427,0.1383465210129126,Other,-87327.862,0.908,8613.61,0.009,297.519,0.946,98906249.678,0.974,16246.07,4.21,16300.03,4.34,-2966.52,1.04,-1746.56,6.75,-11092.23,5.08,-7174.32,6.52,8966.97,3.36,6500.86,0.9,-10615.39,6.33,10927.63,0.9,6331.07,0.91,3921.36,0.91,-6500.86,-8966.97,-15143.4639,-12918.897900000002,-13482.7949,-16656.2594,-16300.03,-16246.07,-2966.52,-484.8275,-6500.86,-8966.97,-6742.404,-7956.666499999998,-7764.275099999999,-7425.423500000003,-10309.8835,-6500.86,-4276.294,-8966.97,-6661.668900000002,-8581.9896,-2709.740999999999,-1007.3855999999996,278.927,11610.6494,13313.0049
90682,proton,All_or_Total,17,All_or_Total,Other,Lab,80500000.0,500000.0,0.058,0.0087,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (92) ",O0298,2,No Pointer,43,"43-TC-99(P,3N)44-RU-97,,SIG","Excitation function and yield for Ru-97 production in Tc-99(p,3n)Ru-97 reaction in 20-100 MeV energy range.",1992,N.G.Zaitseva+,4ZZZDUB,2019/03/03,"Jour. Radiochimica Acta Vol.56, p.59, 1992",O0298002,O0298,"(J,RCA,56,59,1992)",1,1,0,99Tc,Tc,56,99,I,5.782581261478427,0.1383465210129126,Other,-87327.862,0.908,8613.61,0.009,297.519,0.946,98906249.678,0.974,16246.07,4.21,16300.03,4.34,-2966.52,1.04,-1746.56,6.75,-11092.23,5.08,-7174.32,6.52,8966.97,3.36,6500.86,0.9,-10615.39,6.33,10927.63,0.9,6331.07,0.91,3921.36,0.91,-6500.86,-8966.97,-15143.4639,-12918.897900000002,-13482.7949,-16656.2594,-16300.03,-16246.07,-2966.52,-484.8275,-6500.86,-8966.97,-6742.404,-7956.666499999998,-7764.275099999999,-7425.423500000003,-10309.8835,-6500.86,-4276.294,-8966.97,-6661.668900000002,-8581.9896,-2709.740999999999,-1007.3855999999996,278.927,11610.6494,13313.0049
90683,proton,All_or_Total,17,All_or_Total,Other,Lab,77500000.0,600000.0,0.058,0.0087,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (92) ",O0298,2,No Pointer,43,"43-TC-99(P,3N)44-RU-97,,SIG","Excitation function and yield for Ru-97 production in Tc-99(p,3n)Ru-97 reaction in 20-100 MeV energy range.",1992,N.G.Zaitseva+,4ZZZDUB,2019/03/03,"Jour. Radiochimica Acta Vol.56, p.59, 1992",O0298002,O0298,"(J,RCA,56,59,1992)",1,1,0,99Tc,Tc,56,99,I,5.782581261478427,0.1383465210129126,Other,-87327.862,0.908,8613.61,0.009,297.519,0.946,98906249.678,0.974,16246.07,4.21,16300.03,4.34,-2966.52,1.04,-1746.56,6.75,-11092.23,5.08,-7174.32,6.52,8966.97,3.36,6500.86,0.9,-10615.39,6.33,10927.63,0.9,6331.07,0.91,3921.36,0.91,-6500.86,-8966.97,-15143.4639,-12918.897900000002,-13482.7949,-16656.2594,-16300.03,-16246.07,-2966.52,-484.8275,-6500.86,-8966.97,-6742.404,-7956.666499999998,-7764.275099999999,-7425.423500000003,-10309.8835,-6500.86,-4276.294,-8966.97,-6661.668900000002,-8581.9896,-2709.740999999999,-1007.3855999999996,278.927,11610.6494,13313.0049
90684,proton,All_or_Total,17,All_or_Total,Other,Lab,74300000.0,600000.0,0.06,0.009,0.0,0.0,Other,"N.G.Zaitseva,ET.AL. (92) ",O0298,2,No Pointer,43,"43-TC-99(P,3N)44-RU-97,,SIG","Excitation function and yield for Ru-97 production in Tc-99(p,3n)Ru-97 reaction in 20-100 MeV energy range.",1992,N.G.Zaitseva+,4ZZZDUB,2019/03/03,"Jour. Radiochimica Acta Vol.56, p.59, 1992",O0298002,O0298,"(J,RCA,56,59,1992)",1,1,0,99Tc,Tc,56,99,I,5.782581261478427,0.1383465210129126,Other,-87327.862,0.908,8613.61,0.009,297.519,0.946,98906249.678,0.974,16246.07,4.21,16300.03,4.34,-2966.52,1.04,-1746.56,6.75,-11092.23,5.08,-7174.32,6.52,8966.97,3.36,6500.86,0.9,-10615.39,6.33,10927.63,0.9,6331.07,0.91,3921.36,0.91,-6500.86,-8966.97,-15143.4639,-12918.897900000002,-13482.7949,-16656.2594,-16300.03,-16246.07,-2966.52,-484.8275,-6500.86,-8966.97,-6742.404,-7956.666499999998,-7764.275099999999,-7425.423500000003,-10309.8835,-6500.86,-4276.294,-8966.97,-6661.668900000002,-8581.9896,-2709.740999999999,-1007.3855999999996,278.927,11610.6494,13313.0049
