,Projectile,Target_Metastable_State,MT,Product_Metastable_State,EXFOR_Status,Center_of_Mass_Flag,Energy,dEnergy,Data,dData,ELV/HL,dELV/HL,I78,Short_Reference,EXFOR_Accession_Number,EXFOR_SubAccession_Number,EXFOR_Pointer,Z,Reaction_Notation,Title,Year,Author,Institute,Date,Reference,Dataset_Number,EXFOR_Entry,Reference_Code,Projectile_Z,Projectile_A,Projectile_N,Isotope,Element,N,A,Element_Flag,Nucleus_Radius,Neutron_Nucleus_Radius_Ratio,O,Mass_Excess,dMass_Excess,Binding_Energy,dBinding_Energy,B_Decay_Energy,dB_Decay_Energy,Atomic_Mass_Micro,dAtomic_Mass_Micro,S(2n),dS(2n),S(2p),dS(2p),Q(a),dQ(a),Q(2B-),dQ(2B-),Q(ep),dQ(ep),Q(B-n),dQ(B-n),S(n),dS(n),S(p),dS(p),Q(4B-),dQ(4B-),"Q(d,a)","dQ(d,a)","Q(p,a)","dQ(p,a)","Q(n,a)","dQ(n,a)","Q(g,p)","Q(g,n)","Q(g,pn)","Q(g,d)","Q(g,t)","Q(g,He3)","Q(g,2p)","Q(g,2n)","Q(g,a)","Q(p,n)","Q(p,2p)","Q(p,pn)","Q(p,d)","Q(p,2n)","Q(p,t)","Q(p,3He)","Q(n,2p)","Q(n,np)","Q(n,d)","Q(n,2n)","Q(n,t)","Q(n,3He)","Q(d,t)","Q(d,3He)","Q(3He,t)","Q(3He,a)","Q(t,a)"
3260,proton,All_or_Total,3,All_or_Total,Other,Lab,10150000.0,470000.0,0.663,0.014,0.0,0.0,Other,"B.D.WILKINS,ET.AL. (63)  ",O0741,2,No Pointer,4,"4-BE-9(P,NON),,SIG",10-MeV Proton Reaction Cross Sections For Several Elements.,1963,B.D.Wilkins+,1USALRL,2000/04/04,"Jour. Physical Review Vol.129, p.2198, 1963",O0741002,O0741,"(J,PR,129,2198,1963)",1,1,0,9Be,Be,5,9,I,2.60010477881488,0.3076799083322471,Other,11348.453,0.077,6462.6680000000015,0.009,-1068.035,0.899,9012183.066,0.0819999999999999,20563.18,0.1,29302.61,7.56,-2307.7,20.0,-17562.52,2.14,-27550.2,0.12,-19644.43,1.0,1664.54,0.08,16886.32,0.09,-58272.69498080516,-117.27600000026229,7152.15,0.08,2125.63,0.08,-597.24,0.09,-16886.32,-1664.54,-18918.9439,-16694.3779,-17688.2349,-21174.8594,-29302.61,-20563.18,-2307.7,-1850.3815,-16886.32,-1664.54,560.0259999999998,-20426.7765,-12081.3851,-11200.903500000002,-26767.8535,-16886.32,-14661.754,-1664.54,-10437.148900000002,-21584.56960000001,4592.689,-11392.8456,-1086.6270000000004,18913.0794,2927.544900000001
3261,proton,All_or_Total,3,All_or_Total,Other,Lab,9930000.0,470000.0,0.633,0.014,0.0,0.0,Other,"B.D.WILKINS,ET.AL. (63)  ",O0741,2,No Pointer,4,"4-BE-9(P,NON),,SIG",10-MeV Proton Reaction Cross Sections For Several Elements.,1963,B.D.Wilkins+,1USALRL,2000/04/04,"Jour. Physical Review Vol.129, p.2198, 1963",O0741002,O0741,"(J,PR,129,2198,1963)",1,1,0,9Be,Be,5,9,I,2.60010477881488,0.3076799083322471,Other,11348.453,0.077,6462.6680000000015,0.009,-1068.035,0.899,9012183.066,0.0819999999999999,20563.18,0.1,29302.61,7.56,-2307.7,20.0,-17562.52,2.14,-27550.2,0.12,-19644.43,1.0,1664.54,0.08,16886.32,0.09,-58272.69498080516,-117.27600000026229,7152.15,0.08,2125.63,0.08,-597.24,0.09,-16886.32,-1664.54,-18918.9439,-16694.3779,-17688.2349,-21174.8594,-29302.61,-20563.18,-2307.7,-1850.3815,-16886.32,-1664.54,560.0259999999998,-20426.7765,-12081.3851,-11200.903500000002,-26767.8535,-16886.32,-14661.754,-1664.54,-10437.148900000002,-21584.56960000001,4592.689,-11392.8456,-1086.6270000000004,18913.0794,2927.544900000001
3262,proton,All_or_Total,3,All_or_Total,Other,Lab,16200000.0,2500000.0,0.571,0.018,0.0,0.0,Other,"D.G.Montague,ET.AL. (73) ",C1867,2,No Pointer,4,"4-BE-9(P,NON),,SIG",Proton total reaction cross section of beryllium from 16 to 28 MeV,1973,D.G.Montague+,1USAUSC,2011/11/01,"Jour. Nuclear Physics, Section A Vol.199, p.457, 1973",C1867002,C1867,"(J,NP/A,199,457,1973)",1,1,0,9Be,Be,5,9,I,2.60010477881488,0.3076799083322471,Other,11348.453,0.077,6462.6680000000015,0.009,-1068.035,0.899,9012183.066,0.0819999999999999,20563.18,0.1,29302.61,7.56,-2307.7,20.0,-17562.52,2.14,-27550.2,0.12,-19644.43,1.0,1664.54,0.08,16886.32,0.09,-58272.69498080516,-117.27600000026229,7152.15,0.08,2125.63,0.08,-597.24,0.09,-16886.32,-1664.54,-18918.9439,-16694.3779,-17688.2349,-21174.8594,-29302.61,-20563.18,-2307.7,-1850.3815,-16886.32,-1664.54,560.0259999999998,-20426.7765,-12081.3851,-11200.903500000002,-26767.8535,-16886.32,-14661.754,-1664.54,-10437.148900000002,-21584.56960000001,4592.689,-11392.8456,-1086.6270000000004,18913.0794,2927.544900000001
3263,proton,All_or_Total,3,All_or_Total,Other,Lab,17000000.0,2400000.0,0.599,0.017,0.0,0.0,Other,"D.G.Montague,ET.AL. (73) ",C1867,2,No Pointer,4,"4-BE-9(P,NON),,SIG",Proton total reaction cross section of beryllium from 16 to 28 MeV,1973,D.G.Montague+,1USAUSC,2011/11/01,"Jour. Nuclear Physics, Section A Vol.199, p.457, 1973",C1867002,C1867,"(J,NP/A,199,457,1973)",1,1,0,9Be,Be,5,9,I,2.60010477881488,0.3076799083322471,Other,11348.453,0.077,6462.6680000000015,0.009,-1068.035,0.899,9012183.066,0.0819999999999999,20563.18,0.1,29302.61,7.56,-2307.7,20.0,-17562.52,2.14,-27550.2,0.12,-19644.43,1.0,1664.54,0.08,16886.32,0.09,-58272.69498080516,-117.27600000026229,7152.15,0.08,2125.63,0.08,-597.24,0.09,-16886.32,-1664.54,-18918.9439,-16694.3779,-17688.2349,-21174.8594,-29302.61,-20563.18,-2307.7,-1850.3815,-16886.32,-1664.54,560.0259999999998,-20426.7765,-12081.3851,-11200.903500000002,-26767.8535,-16886.32,-14661.754,-1664.54,-10437.148900000002,-21584.56960000001,4592.689,-11392.8456,-1086.6270000000004,18913.0794,2927.544900000001
3264,proton,All_or_Total,3,All_or_Total,Other,Lab,18500000.0,2300000.0,0.555,0.015,0.0,0.0,Other,"D.G.Montague,ET.AL. (73) ",C1867,2,No Pointer,4,"4-BE-9(P,NON),,SIG",Proton total reaction cross section of beryllium from 16 to 28 MeV,1973,D.G.Montague+,1USAUSC,2011/11/01,"Jour. Nuclear Physics, Section A Vol.199, p.457, 1973",C1867002,C1867,"(J,NP/A,199,457,1973)",1,1,0,9Be,Be,5,9,I,2.60010477881488,0.3076799083322471,Other,11348.453,0.077,6462.6680000000015,0.009,-1068.035,0.899,9012183.066,0.0819999999999999,20563.18,0.1,29302.61,7.56,-2307.7,20.0,-17562.52,2.14,-27550.2,0.12,-19644.43,1.0,1664.54,0.08,16886.32,0.09,-58272.69498080516,-117.27600000026229,7152.15,0.08,2125.63,0.08,-597.24,0.09,-16886.32,-1664.54,-18918.9439,-16694.3779,-17688.2349,-21174.8594,-29302.61,-20563.18,-2307.7,-1850.3815,-16886.32,-1664.54,560.0259999999998,-20426.7765,-12081.3851,-11200.903500000002,-26767.8535,-16886.32,-14661.754,-1664.54,-10437.148900000002,-21584.56960000001,4592.689,-11392.8456,-1086.6270000000004,18913.0794,2927.544900000001
3265,proton,All_or_Total,3,All_or_Total,Other,Lab,20000000.0,2100000.0,0.542,0.015,0.0,0.0,Other,"D.G.Montague,ET.AL. (73) ",C1867,2,No Pointer,4,"4-BE-9(P,NON),,SIG",Proton total reaction cross section of beryllium from 16 to 28 MeV,1973,D.G.Montague+,1USAUSC,2011/11/01,"Jour. Nuclear Physics, Section A Vol.199, p.457, 1973",C1867002,C1867,"(J,NP/A,199,457,1973)",1,1,0,9Be,Be,5,9,I,2.60010477881488,0.3076799083322471,Other,11348.453,0.077,6462.6680000000015,0.009,-1068.035,0.899,9012183.066,0.0819999999999999,20563.18,0.1,29302.61,7.56,-2307.7,20.0,-17562.52,2.14,-27550.2,0.12,-19644.43,1.0,1664.54,0.08,16886.32,0.09,-58272.69498080516,-117.27600000026229,7152.15,0.08,2125.63,0.08,-597.24,0.09,-16886.32,-1664.54,-18918.9439,-16694.3779,-17688.2349,-21174.8594,-29302.61,-20563.18,-2307.7,-1850.3815,-16886.32,-1664.54,560.0259999999998,-20426.7765,-12081.3851,-11200.903500000002,-26767.8535,-16886.32,-14661.754,-1664.54,-10437.148900000002,-21584.56960000001,4592.689,-11392.8456,-1086.6270000000004,18913.0794,2927.544900000001
3266,proton,All_or_Total,3,All_or_Total,Other,Lab,21900000.0,2000000.0,0.53,0.016,0.0,0.0,Other,"D.G.Montague,ET.AL. (73) ",C1867,2,No Pointer,4,"4-BE-9(P,NON),,SIG",Proton total reaction cross section of beryllium from 16 to 28 MeV,1973,D.G.Montague+,1USAUSC,2011/11/01,"Jour. Nuclear Physics, Section A Vol.199, p.457, 1973",C1867002,C1867,"(J,NP/A,199,457,1973)",1,1,0,9Be,Be,5,9,I,2.60010477881488,0.3076799083322471,Other,11348.453,0.077,6462.6680000000015,0.009,-1068.035,0.899,9012183.066,0.0819999999999999,20563.18,0.1,29302.61,7.56,-2307.7,20.0,-17562.52,2.14,-27550.2,0.12,-19644.43,1.0,1664.54,0.08,16886.32,0.09,-58272.69498080516,-117.27600000026229,7152.15,0.08,2125.63,0.08,-597.24,0.09,-16886.32,-1664.54,-18918.9439,-16694.3779,-17688.2349,-21174.8594,-29302.61,-20563.18,-2307.7,-1850.3815,-16886.32,-1664.54,560.0259999999998,-20426.7765,-12081.3851,-11200.903500000002,-26767.8535,-16886.32,-14661.754,-1664.54,-10437.148900000002,-21584.56960000001,4592.689,-11392.8456,-1086.6270000000004,18913.0794,2927.544900000001
3267,proton,All_or_Total,3,All_or_Total,Other,Lab,24200000.0,1800000.0,0.519,0.017,0.0,0.0,Other,"D.G.Montague,ET.AL. (73) ",C1867,2,No Pointer,4,"4-BE-9(P,NON),,SIG",Proton total reaction cross section of beryllium from 16 to 28 MeV,1973,D.G.Montague+,1USAUSC,2011/11/01,"Jour. Nuclear Physics, Section A Vol.199, p.457, 1973",C1867002,C1867,"(J,NP/A,199,457,1973)",1,1,0,9Be,Be,5,9,I,2.60010477881488,0.3076799083322471,Other,11348.453,0.077,6462.6680000000015,0.009,-1068.035,0.899,9012183.066,0.0819999999999999,20563.18,0.1,29302.61,7.56,-2307.7,20.0,-17562.52,2.14,-27550.2,0.12,-19644.43,1.0,1664.54,0.08,16886.32,0.09,-58272.69498080516,-117.27600000026229,7152.15,0.08,2125.63,0.08,-597.24,0.09,-16886.32,-1664.54,-18918.9439,-16694.3779,-17688.2349,-21174.8594,-29302.61,-20563.18,-2307.7,-1850.3815,-16886.32,-1664.54,560.0259999999998,-20426.7765,-12081.3851,-11200.903500000002,-26767.8535,-16886.32,-14661.754,-1664.54,-10437.148900000002,-21584.56960000001,4592.689,-11392.8456,-1086.6270000000004,18913.0794,2927.544900000001
3268,proton,All_or_Total,3,All_or_Total,Other,Lab,26600000.0,1700000.0,0.484,0.017,0.0,0.0,Other,"D.G.Montague,ET.AL. (73) ",C1867,2,No Pointer,4,"4-BE-9(P,NON),,SIG",Proton total reaction cross section of beryllium from 16 to 28 MeV,1973,D.G.Montague+,1USAUSC,2011/11/01,"Jour. Nuclear Physics, Section A Vol.199, p.457, 1973",C1867002,C1867,"(J,NP/A,199,457,1973)",1,1,0,9Be,Be,5,9,I,2.60010477881488,0.3076799083322471,Other,11348.453,0.077,6462.6680000000015,0.009,-1068.035,0.899,9012183.066,0.0819999999999999,20563.18,0.1,29302.61,7.56,-2307.7,20.0,-17562.52,2.14,-27550.2,0.12,-19644.43,1.0,1664.54,0.08,16886.32,0.09,-58272.69498080516,-117.27600000026229,7152.15,0.08,2125.63,0.08,-597.24,0.09,-16886.32,-1664.54,-18918.9439,-16694.3779,-17688.2349,-21174.8594,-29302.61,-20563.18,-2307.7,-1850.3815,-16886.32,-1664.54,560.0259999999998,-20426.7765,-12081.3851,-11200.903500000002,-26767.8535,-16886.32,-14661.754,-1664.54,-10437.148900000002,-21584.56960000001,4592.689,-11392.8456,-1086.6270000000004,18913.0794,2927.544900000001
3269,proton,All_or_Total,3,All_or_Total,Other,Lab,28000000.0,1600000.0,0.474,0.013,0.0,0.0,Other,"D.G.Montague,ET.AL. (73) ",C1867,2,No Pointer,4,"4-BE-9(P,NON),,SIG",Proton total reaction cross section of beryllium from 16 to 28 MeV,1973,D.G.Montague+,1USAUSC,2011/11/01,"Jour. Nuclear Physics, Section A Vol.199, p.457, 1973",C1867002,C1867,"(J,NP/A,199,457,1973)",1,1,0,9Be,Be,5,9,I,2.60010477881488,0.3076799083322471,Other,11348.453,0.077,6462.6680000000015,0.009,-1068.035,0.899,9012183.066,0.0819999999999999,20563.18,0.1,29302.61,7.56,-2307.7,20.0,-17562.52,2.14,-27550.2,0.12,-19644.43,1.0,1664.54,0.08,16886.32,0.09,-58272.69498080516,-117.27600000026229,7152.15,0.08,2125.63,0.08,-597.24,0.09,-16886.32,-1664.54,-18918.9439,-16694.3779,-17688.2349,-21174.8594,-29302.61,-20563.18,-2307.7,-1850.3815,-16886.32,-1664.54,560.0259999999998,-20426.7765,-12081.3851,-11200.903500000002,-26767.8535,-16886.32,-14661.754,-1664.54,-10437.148900000002,-21584.56960000001,4592.689,-11392.8456,-1086.6270000000004,18913.0794,2927.544900000001
